tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, komme, til, å, trenge, hjelp, ?, -, Nei, ,, det, var, ikke, nødvendig, ., Jeg, hadde, jo, ikke, tenkt, å, bli, her, så, lenge, ,, sier, han, og, ler, ., 
, -, Jeg, har, vært, her, i, to, uker, nå, ,, og, har, ikke, hatt, behov, for, å, be, om, hjelp, ., Jeg, har, det, så, bra, her, ,, sier, han, og, smiler, bredt, ., 
, -, Jeg, har, vært, her, i, to, uker, nå, ,, og, har, ikke, hatt, behov, for, å, be, om, hjelp, ., Jeg, har, det, så, bra, her, ,, sier, han, og, smiler, bredt, ., 
, han, har, vært, her, i, to, uker, nå, ,, og, har, ikke, hatt, behov, for, å, be, om, hjelp, ., Jeg, har, det, så, bra, her, ,, sier, han, og, smiler, bredt, ., 
, han, har, vært, her, i, to, uker, nå, ,, og, har, ikke, hatt, behov, for, å, be, om, hjelp, ., Jeg, har, det, så, bra, her, ,, sier, han, og, smiler, bredt, ., 
, han, har, vært, her, i, to, uker, nå, ,, og, har, ikke, hatt, behov, for, å, be, om, hjelp, ., Jeg, har, det, så, bra, her, ,, sier, han, og, smiler, bredt, ., 
, han, har, vært, her, i, to, uker, nå, ,, og, har, ikke, hatt, behov, for, å, be, om, hjelp, ., Jeg, har, det, så]",DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB NOUN PUNCT PUNCT INTJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV PART VERB PART VERB ADV ADV ADJ PUNCT VERB PRON CCONJ VERB PUNCT SPACE PUNCT PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT PRON VERB PRON ADV ADJ ADV PUNCT VERB PRON CCONJ VERB ADJ PUNCT SPACE PUNCT PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT PRON VERB PRON ADV ADJ ADV PUNCT VERB PRON CCONJ VERB ADJ PUNCT SPACE PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT PRON VERB PRON ADV ADJ ADV PUNCT VERB PRON CCONJ VERB ADJ PUNCT SPACE PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT PRON VERB PRON ADV ADJ ADV PUNCT VERB PRON CCONJ VERB ADJ PUNCT SPACE PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT PRON VERB PRON ADV ADJ ADV PUNCT VERB PRON CCONJ VERB ADJ PUNCT SPACE PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT PRON VERB PRON ADV,0.03608847497089639,0.4065432098765417,233,859,0.6695278969957081,0.42316538187977676
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, nå, var, det, middag, ., Og, da, var, det, ikke, annet, å, gjøre, enn, å, gå, inn, og, spise, og, drikke, kaffe, og, være, glad, ., Og, det, var, jo, ikke, så, verst, det, heller, ,, for, det, var, jo, ikke, hver, dag, en, fikk, middag, ., Og, så, var, det, å, gå, hjem, og, legge, seg, og, sove, til, neste, dag, ., Og, det, var, jo, ikke, så, verst, det, heller, ,, for, det, var, jo, ikke, hver, dag, en, fikk, sove, til, neste, dag, ., Og, så, var, det, å, gå, på, skolen, og, lære, å, lese, og, skrive, og, regne, ., Og, det, var, jo, ikke, så, verst, det, heller, ,, for, det, var, jo, ikke, hver, dag, en, fikk, lære, å, lese, og, skrive, og, regne, ., Og, så, var, det, å, gå, hjem, og, legge, seg, og, sove, til, neste, dag, ., Og, det, var, jo, ikke, så, verst, det, heller, ,, for, det, var, jo, ikke, hver, dag, en, fikk, sove, til, neste, dag, ., Og, så, var, det, å, gå, på, skolen, og, lære, å, lese, og, skrive, og, regne, ., Og, det, var, jo, ikke, så, ver]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB SCONJ ADV AUX PRON NOUN PUNCT CCONJ ADV AUX PRON PART DET PART VERB SCONJ PART VERB ADP CCONJ VERB CCONJ VERB NOUN CCONJ AUX ADJ PUNCT CCONJ PRON AUX ADV PART ADV ADJ PRON ADV PUNCT CCONJ PRON AUX ADV PART DET NOUN PRON VERB NOUN PUNCT CCONJ ADV AUX PRON PART VERB ADP CCONJ VERB PRON CCONJ VERB ADP DET NOUN PUNCT CCONJ PRON AUX ADV PART ADV ADJ PRON ADV PUNCT CCONJ PRON AUX ADV PART DET NOUN PRON AUX VERB ADP DET NOUN PUNCT CCONJ ADV AUX PRON PART VERB ADP NOUN CCONJ VERB PART VERB CCONJ VERB CCONJ VERB PUNCT CCONJ PRON AUX ADV PART ADV ADJ PRON ADV PUNCT CCONJ PRON AUX ADV PART DET NOUN PRON AUX VERB PART VERB CCONJ VERB CCONJ VERB PUNCT CCONJ ADV AUX PRON PART VERB ADP CCONJ VERB PRON CCONJ VERB ADP DET NOUN PUNCT CCONJ PRON AUX ADV PART ADV ADJ PRON ADV PUNCT CCONJ PRON AUX ADV PART DET NOUN PRON AUX VERB ADP DET NOUN PUNCT CCONJ ADV AUX PRON PART VERB ADP NOUN CCONJ VERB PART VERB CCONJ VERB CCONJ VERB PUNCT CCONJ PRON AUX ADV PART ADV VERB,0.035758323057953144,0.3611023622047272,205,811,0.7609756097560976,0.26466092428045995
"[Det, synspunkt, at, miljøskifte, og, nye, omgivelser, kan, være, en, fordel, for, barn, med, adferdsvansker, ,, er, ikke, noe, nytt, ., Det, er, en, gammel, sannhet, at, barn, som, har, vært, utsatt, for, store, påkjenninger, i, sitt, hjemlige, miljø, ,, kan, ha, godt, av, å, komme, i, et, nytt, miljø, og, få, nye, impulser, ., Det, er, også, en, gammel, sannhet, at, barn, som, har, vært, utsatt, for, store, påkjenninger, i, sitt, hjemlige, miljø, ,, kan, ha, godt, av, å, komme, i, et, nytt, miljø, og, få, nye, impulser, ., Det, er, en, gammel, sannhet, at, barn, som, har, vært, utsatt, for, store, påkjenninger, i, sitt, hjemlige, miljø, ,, kan, ha, godt, av, å, komme, i, et, nytt, miljø, og, få, nye, impulser, ., Det, er, en, gammel, sannhet, at, barn, som, har, vært, utsatt, for, store, påkjenninger, i, sitt, hjemlige, miljø, ,, kan, ha, godt, av, å, komme, i, et, nytt, miljø, og, få, nye, impulser, ., Det, er, en, gammel, sannhet, at, barn, som, har, vært, utsatt, for, store, påkjenninger, i, sitt, hjemlige, miljø, ,, kan, ha]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX AUX DET NOUN ADP NOUN ADP NOUN PUNCT AUX PART DET ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ NOUN PRON AUX AUX VERB ADP ADJ NOUN ADP PRON ADJ NOUN PUNCT AUX VERB ADJ SCONJ PART VERB ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN PUNCT PRON AUX ADV DET ADJ NOUN SCONJ NOUN PRON AUX AUX VERB ADP ADJ NOUN ADP PRON ADJ NOUN PUNCT AUX VERB ADJ SCONJ PART VERB ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN PUNCT PRON AUX DET ADJ NOUN SCONJ NOUN PRON AUX AUX VERB ADP ADJ NOUN ADP PRON ADJ NOUN PUNCT AUX VERB ADJ SCONJ PART VERB ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN PUNCT PRON AUX DET ADJ NOUN SCONJ NOUN PRON AUX AUX VERB ADP ADJ NOUN ADP PRON ADJ NOUN PUNCT AUX VERB ADJ SCONJ PART VERB ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN PUNCT PRON AUX DET ADJ NOUN SCONJ NOUN PRON AUX AUX VERB ADP ADJ NOUN ADP PRON ADJ NOUN PUNCT AUX VERB,0.03274853801169591,0.38694789081885744,179,855,0.664804469273743,0.2973360135623818
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, du, !, sa, hun, til, seg, seiv, ., Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, ., Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i, dette, !, Jeg, har, ikke, noe, med, å, blande, meg, opp, i]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON PRON PUNCT VERB PRON ADP PRON NOUN PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP PRON PUNCT PRON VERB PART PRON SCONJ PART VERB PRON ADP ADP,0.03229813664596273,0.3814285714285681,206,805,0.8252427184466019,0.35957623952021717
"[For, 2, av, elevene, har, det, vært, en, stor, overgang, fra, å, være, elev, ved, en, vanlig, videregående, skole, til, å, være, elev, ved, en, folkehøgskole, ., -, Det, er, en, stor, overgang, å, gå, fra, å, være, elev, ved, en, vanlig, videregående, skole, til, å, være, elev, ved, en, folkehøgskole, ., Det, er, en, helt, annen, måte, å, lære, på, ,, og, det, er, en, helt, annen, måte, å, være, på, ., Det, er, en, helt, annen, måte, å, leve, på, ,, sier, de, to, elevene, som, begge, har, gått, på, folkehøgskole, i, ett, år, ., 
, -, Det, er, en, helt, annen, måte, å, lære, på, ,, og, det, er, en, helt, annen, måte, å, være, på, ,, sier, de, to, elevene, som, begge, har, gått, på, folkehøgskole, i, ett, år, ., -, Det, er, en, helt, annen, måte, å, lære, på, ,, og, det, er, en, helt, annen, måte, å, være, på, ,, sier, de, to, elevene, som, begge, har, gått, på, folkehøgskole, i, ett, år, ., -, Det, er, en, helt, annen, måte, å, lære, på, ,, og, det, er, en, helt, annen, måte, å, være, på, ,, sier, de, to, elevene, som, begge, har, gått, på, folkehøgskole, i, ett, år, ., -, Det, er]",ADP NUM ADP NOUN AUX PRON AUX DET ADJ NOUN SCONJ PART AUX NOUN ADP DET ADJ ADJ NOUN SCONJ PART AUX NOUN ADP DET NOUN PUNCT PUNCT PRON AUX DET ADJ NOUN PART VERB SCONJ PART AUX NOUN ADP DET ADJ ADJ NOUN SCONJ PART AUX NOUN ADP DET NOUN PUNCT PRON AUX DET ADJ DET NOUN PART VERB ADP PUNCT CCONJ PRON AUX DET ADJ DET NOUN PART AUX ADP PUNCT PRON AUX DET ADJ DET NOUN PART VERB ADP PUNCT VERB DET NUM NOUN PRON PRON AUX VERB ADP NOUN ADP NUM NOUN PUNCT SPACE PUNCT PRON AUX DET ADJ DET NOUN PART VERB ADP PUNCT CCONJ PRON AUX DET ADJ DET NOUN PART AUX ADP PUNCT VERB DET NUM NOUN PRON PRON AUX VERB ADP NOUN ADP NUM NOUN PUNCT PUNCT PRON AUX DET ADJ DET NOUN PART VERB ADP PUNCT CCONJ PRON AUX DET ADJ DET NOUN PART AUX ADP PUNCT VERB DET NUM NOUN PRON PRON AUX VERB ADP NOUN ADP NUM NOUN PUNCT PUNCT PRON AUX DET ADJ DET NOUN PART VERB ADP PUNCT CCONJ PRON AUX DET ADJ DET NOUN PART AUX ADP PUNCT VERB DET NUM NOUN PRON PRON AUX VERB ADP NOUN ADP NUM NOUN PUNCT PUNCT PRON AUX,0.03329506314580941,0.36386861313868546,209,871,0.7272727272727273,0.4126168315236316
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, rekke, kurs, i, regi, av, AOF, i, Hedmark, ., Det, er, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å, perfeksjonere, seg, i, sitt, yrke, ., Kursene, er, lagt, opp, slik, at, de, kan, kombineres, med, jobben, ., Det, er, også, lagt, opp, til, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å, perfeksjonere, seg, i, sitt, yrke, ., Kursene, er, lagt, opp, slik, at, de, kan, kombineres, med, jobben, ., Det, er, også, lagt, opp, til, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å, perfeksjonere, seg, i, sitt, yrke, ., Kursene, er, lagt, opp, slik, at, de, kan, kombineres, med, jobben, ., Det, er, også, lagt, opp, til, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å, perfeksjonere, seg, i, sitt, yrke, ., Kursene, er, lagt, opp, slik, at, de, kan, kombineres, med, jobben, ., Det, er, også, lagt, opp, til, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET NOUN NOUN ADP NOUN ADP PROPN ADP PROPN PUNCT PRON AUX NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART VERB PRON ADP PRON NOUN PUNCT NOUN AUX VERB ADP ADV SCONJ PRON AUX VERB ADP NOUN PUNCT PRON AUX ADV VERB ADP ADP NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART VERB PRON ADP PRON NOUN PUNCT NOUN AUX VERB ADP ADV SCONJ PRON AUX VERB ADP NOUN PUNCT PRON AUX ADV VERB ADP ADP NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART VERB PRON ADP PRON NOUN PUNCT NOUN AUX VERB ADP ADV SCONJ PRON AUX VERB ADP NOUN PUNCT PRON AUX ADV VERB ADP ADP NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART VERB PRON ADP PRON NOUN PUNCT NOUN AUX VERB ADP ADV SCONJ PRON AUX VERB ADP NOUN PUNCT PRON AUX ADV VERB ADP ADP NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART,0.040268456375838924,0.37715976331360973,192,894,0.6822916666666666,0.3966515013914421
"[Personell, og, organisering, av, sekretariatet, for, det, nye, organet, er, ikke, avklart, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, eller, om, det, skal, være, en, del, av, et, større, sekretariat, for, et, nytt, organ, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, det, nye, organet, eller, om, det, skal, være, et, styre, for, et, større, sekretariat, for, et, nytt, organ, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, for, det, nye, organet, eller, om, det, skal, være, en, del, av, et, større, sekretariat, for, et, nytt, organ, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, det, nye, organet, eller, om, det, skal, være, et, styre, for, et, større, sekretariat, for, et, nytt, organ, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, for, det, nye, organet, eller, om, det, skal, være, en, del, av, et, større, sekretariat, for, et, nytt, organ, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, det, nye, organet, eller, om, det, skal, være, et]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN AUX PART VERB PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN CCONJ SCONJ PRON AUX AUX DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP DET ADJ NOUN CCONJ SCONJ PRON AUX AUX DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP DET ADJ NOUN CCONJ SCONJ PRON AUX AUX DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP DET ADJ NOUN CCONJ SCONJ PRON AUX AUX DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP DET ADJ NOUN CCONJ SCONJ PRON AUX AUX DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP DET ADJ NOUN CCONJ SCONJ PRON AUX AUX DET,0.024287222808870117,0.33187082405345103,191,947,0.7905759162303665,0.35290078456311036
"[De, nevnte, artiklene, i, FN-rapporten, er, skrevet, av, en, rekke, av, verdens, fremste, eksperter, på, området, ., De, er, ikke, bare, en, samling, av, fakta, og, tall, ,, men, også, en, samling, av, vurderinger, og, konklusjoner, som, er, basert, på, en, rekke, av, de, mest, avanserte, vitenskapelige, metoder, som, er, tilgjengelige, ., Det, er, derfor, ikke, mulig, å, komme, med, noen, annen, konklusjon, enn, at, det, er, en, klar, sammenheng, mellom, den, globale, oppvarmingen, og, de, klimaendringene, som, er, registrert, de, siste, 50, årene, ., 
, Det, er, også, en, klar, sammenheng, mellom, den, globale, oppvarmingen, og, de, klimaendringene, som, er, registrert, de, siste, 50, årene, ., Det, er, derfor, ikke, mulig, å, komme, med, noen, annen, konklusjon, enn, at, det, er, en, klar, sammenheng, mellom, den, globale, oppvarmingen, og, de, klimaendringene, som, er, registrert, de, siste, 50, årene, ., Det, er, derfor, ikke, mulig, å, komme, med, noen, annen, konklusjon, enn, at, det, er, en, klar, sammenheng, mellom, den, globale, oppvarmingen, og, de, klimaendringene, som, er, registrert, de, siste, 50, årene, ., Det, er, derfor, ikke, mulig, å, komme, med, noen, annen, konklusjon, enn, at, det, er, en, klar, sammenheng, mellom]",DET VERB NOUN ADP NOUN AUX VERB ADP DET NOUN ADP NOUN ADJ NOUN ADP NOUN PUNCT PRON AUX PART ADV DET NOUN ADP NOUN CCONJ NOUN PUNCT CCONJ ADV DET NOUN ADP NOUN CCONJ NOUN PRON AUX VERB ADP DET NOUN ADP DET ADJ ADJ ADJ NOUN PRON AUX ADJ PUNCT PRON AUX ADV PART ADJ PART VERB ADP DET DET NOUN SCONJ SCONJ PRON AUX DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN PRON AUX VERB DET ADJ NUM NOUN PUNCT SPACE PRON AUX ADV DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN PRON AUX VERB DET ADJ NUM NOUN PUNCT PRON AUX ADV PART ADJ PART VERB ADP DET DET NOUN SCONJ SCONJ PRON AUX DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN PRON AUX VERB DET ADJ NUM NOUN PUNCT PRON AUX ADV PART ADJ PART VERB ADP DET DET NOUN SCONJ SCONJ PRON AUX DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN PRON AUX VERB DET ADJ NUM NOUN PUNCT PRON AUX ADV PART ADJ PART VERB ADP DET DET NOUN SCONJ SCONJ PRON AUX DET ADJ NOUN ADP,0.029356060606060608,0.33213505461767395,192,1056,0.6979166666666666,0.33352785996752277
"[Bør, minimum, være, 10, av, hvert, kjønn, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, kvinner, til, å, fylle, opp, listene, ., Det, er, verre, med, menn, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, menn, til, å, fylle, opp, listene, ., Det, er, verre, med, kvinner, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, kvinner, til, å, fylle, opp, listene, ., Det, er, verre, med, menn, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, menn, til, å, fylle, opp, listene, ., Det, er, verre, med, kvinner, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, kvinner, til, å, fylle, opp, listene, ., Det, er, verre, med, menn, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, menn, til, å, fylle, opp, listene, ., Det, er, verre, med, kvinner, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, kvinner, til, å, fylle, opp, listene, ., Det, er, verre, med, menn, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, menn, til, å, fylle, opp, listene, ., Det, er, verre, med, kvinner, ., Det, er, ikke, noe, problem, å, få, tak, i, nok, kvinner, til, å, fylle, opp, listene, ., Det, er, verre, med]",AUX NOUN AUX NUM ADP DET NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP NOUN PUNCT PRON AUX PART DET NOUN PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP,0.032805429864253395,0.3496766467065878,213,884,0.6103286384976526,0.45439435803463507
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, fortsettelse, av, artikkel, 2, og, 3, i, direktivforslaget, og, omhandler, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er]",NOUN NUM VERB ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP NOUN NUM CCONJ NUM ADP NOUN CCONJ VERB PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX,0.0248565965583174,0.36665997993981686,153,1046,0.39869281045751637,0.02425480488445818
