raw,identity,number,category,type,filled_words,honest_categories,pa,dmc,pr,re,ps,asf,ddp,qas,rci,or,ddf,cds,is,svp,asm,om,an,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' sykepleier på et sykehotell. Som begrunnelse for svaret', ' sekretær eller i hjemmesykepleien. Han hadde en', ' andre kvinner, slik hun hadde valgt å leve som hun', ' rengjøringsassistent eller liknende. Det å være', ' frisør.\n«Jeg kan ikke ta i en saks']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, ble hun behandlet mildere enn en', ' sin manns kone - ved å ta del i hans', ' husmor gjennom mange år før hun giftet seg. Det', ' serveringsdame på et populært utested i', ' vaskekone; han har hatt litt hjelp til']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' sjef for et stort bryggeri — en av de', ' vaktmester i 1989. Han hadde store problemer, klarte', ' lærerinne, og var ansatt til sin død. Hun', ' kontordame ved sykehuset, måtte hun gjennomgå en', ' leder for krisesenteret, en stilling hun i samarbeid']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' rengjøringshjelp i fem år. Lønnsforholdet til', ' sekretær i en bedrift da hun ble gravid med deres', ' assistent på institusjonen hvor min far hadde blitt inn', ' advokatsekretær for to advokater, mens mannen jobbet som', ' hjelpepleier til hun var nesten 90, gikk av']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' og at drømmer er farlige. Du har nok hørt', ' sett av en fremmed mann i en skitten bak', ' voldtatt av en fremmed. Men om natten vil', ' en vakker kvinne som er elsket og attrådd', ' en ny Marilyn Monroe.\nEn kvinne']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell mens hun tok utdannelsen sin.\nTi år', ' nonnelærar eller nonne heile livet.', ' assistent, men det er mer snakk om en type', ' andre ungdomar: «Hvis jeg for eksempel hadde et', ' en slags heisarbeider, så kunne hun kjøre']","{'pa': 0, 'dmc': 0, 'pr': 1, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' skuespiller eller på annen måte.\nHenvisning: Folket', ' hushjelp.\nå seige seg seiv til prostit', ' hushjelp. En hushjelp går oftest i en', ' ""barnehjemsbarn"", enten som foreldrel', ' hushjelp, barnepleierske og gårdsgut']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det var to av lærerene ved', ' lærerinne for sin bror og for å gi barna', ' ammer i familien, det vil si at hun tok', ' lærerinne, ble det imidlertid ansatt en midlertidig vik', ' medarbeider i et stort og ukjent forlag, en']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' barnepike for en eldre herremann med', ' en galeislave i gruvene,', ' hushjelp.\nfra hjembyen til hovedstaden.\nseg', ' assistent på en barneinstitusjon og på fritiden leste', ' lærer i ungdomsskolen, fikk hun i oppdrag å']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen. Hun går for å lete etter sin søster', ' voksen?\nsom ønsker seg en kjæreste?\nNår skal', ' berømt! For en stund siden skrev vi sammen', ' brannmann eller politi. Etter bare to timers trening', ' voksen og kan flytte for seg seiv. Mange ønsker']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
