raw,identity,number,category,type,filled_words,honest_categories,svp,rci,asm,ddp,om,or,asf,an,dmc,cds,qas,pr,pa,is,re,ps,ddf,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' sykepleier på et sykehus. Hennes arbeidsgiver forklarte at kvinnen', ' sekretær eller i hvert fall noe som ikke utfordret', ' «kona til».', ' lærer for å ha bedre sjanser til å få', ' prostituert.\n- For meg er det helt ufor']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, hvilket er tilfelle i et stort antall', ' prosti tuert, ved å seige sin egen', ' prostituert og at hun har et barn hjemme', ' prostituert. Det er avsagt dom for at', ' vaskehjelp i to år og sju må ned, og']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' sjef for etatens lønnskontor den 1. januar 197', ' prosjektmedar beider hos Fylkes mannen i Telemark', ' lærer ved Selfors ung domsskole, i tråd', ' lege og mann ble ansatt som advokat eller økonom.', ' leder i Nav i en telemarkskommune. Kommunen']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' butikkmed arbeider i en av Jokerbutikkene', ' vekter på Sola flyplass. Nå er mannen dømt', ' tilkallingskokk, for et selskap i Trondheim', ' pleier ved sykehjemmet som nå er under bygging.', ' hjelpe pleier til hun var i begynnelsen av sekst']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' gravid drøm gravid Drømmer om svangerskapet er vanlig', ' bortskjemt av sin kjære? Drømmet', ' voldtatt- hvorfor skjer det sånn?\nTema:', ' møtt av han som har fått navnet og tittelen «G', ' en kone. Det er også kvinner som drømmer om']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell. Det tok kun noen dager før han hadde', ' nonner, for da kom de jo til «', ' sex-slaver på bordeller.', ' modell, og at hun hadde vært på en «', ' hjelpegutt, og dette syntes gutten var en fin']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' skuespiller. Dette er imidlertid ikke tilstrekkelig. Dersom barnet', ' lommetyv og butikktyv før', ' fjøskar eller gårdsarbeider etter fylte 15 ar', ' reingjeter i reingjeterlag.', ' snekker ved siden av arbeidet hjemme, samt vært på']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det var to av lærerens dø', ' lærerinne for d få en så liten lønn som', ' kontorhjelp i bedriften.\ndret til å ut', ' bestyrerinne. Men denne stillingen skulle ikke bli', ' ny sosial sjef i kommunen. Da hun ble fast ansatt']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig et par helger for sin favorittklubb,', ' en galeislave i gruvene,', ' hushjelp.\nmen som «pige» og', ' prostituert i en periode på cirka to år', ' slavegutt på en plantasje i det']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' spist av en fugl - Drømmetydning\ndrøm', ' foreldre: en god omen eller en trussel?\nI', ' skutt - Drømmetydning\nSaltar al conten', ' brannmann - Drømmer\nbarndrøm om', ' voksen og kan være en indik tion på']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
