tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, var, en, stor, interesse, for, å, få, en, egen, norsk, konge, ., I, Danmark, var, det, også, mange, som, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det, mange, som, var, lei, av, at, Norge, og, Danmark, var, i, union, ., De, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det, mange, som, var, lei, av, at, Norge, og, Danmark, var, i, union, ., De, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det, mange, som, var, lei, av, at, Norge, og, Danmark, var, i, union, ., De, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det, mange, som, var, lei, av, at, Norge, og, Danmark, var, i, union, ., De, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det, mange, som, var, lei, av, at, Norge, og, Danmark, var, i, union, ., De, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det, mange, som, var, lei, av, at, Norge, og, Danmark, var, i, union, ., De, ønsket, at, Norge, skulle, bli, en, egen, stat, ., I, Danmark, var, det]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON VERB DET ADJ NOUN SCONJ PART VERB DET DET ADJ NOUN PUNCT ADP PROPN VERB PRON ADV ADJ PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN VERB PRON ADJ PRON AUX ADJ SCONJ SCONJ PROPN CCONJ PROPN AUX ADP NOUN PUNCT PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN VERB PRON ADJ PRON AUX ADJ SCONJ SCONJ PROPN CCONJ PROPN AUX ADP NOUN PUNCT PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN VERB PRON ADJ PRON AUX ADJ SCONJ SCONJ PROPN CCONJ PROPN AUX ADP NOUN PUNCT PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN VERB PRON ADJ PRON AUX ADJ SCONJ SCONJ PROPN CCONJ PROPN AUX ADP NOUN PUNCT PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN VERB PRON ADJ PRON AUX ADJ SCONJ SCONJ PROPN CCONJ PROPN AUX ADP NOUN PUNCT PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN VERB PRON ADJ PRON AUX ADJ SCONJ SCONJ PROPN CCONJ PROPN AUX ADP NOUN PUNCT PRON VERB SCONJ PROPN AUX VERB DET DET NOUN PUNCT ADP PROPN AUX PRON,0.028538812785388126,0.3664570737605813,203,876,0.6551724137931034,0.36136648427478363
"[Det, var, ein, gong, ein, mann, som, hadde, ei, kjerring, som, var, så, tverr, og, vrang, at, det, var, ikkje, godt, å, vera, i, lag, med, henne, ;, mannen, ,, han, hadde, no, slett, inga, utkome, med, henne, ;, det, han, ville, ,, ville, ho, støtt, tvert, imot, ., Så, var, det, ein, sundag, utpå, sommaren, at, mannen, og, kona, gjekk, ut, og, skulle, sjå, korleis, åkeren, stod, ., Då, dei, kom, til, ein, åker, på, den, andre, sida, av, elva, ,, sa, mannen, :, «, Ja, ,, no, er, den, åkeren, skjær, ,, i, morgon, får, vi, til, å, skjera, han, ., », «, Ja, ,, den, kan, vi, ta, til, å, klippa, i, morgon, ,, », sa, kjerringa, ., «, Kva, for, noko, ,, skal, vi, klippa, ?, Skal, vi, ikkje, få, lov, til, å, skjera, heller, no, ?, », sa, mannen, ., Nei, ,, klippa, åkeren, skulle, dei, ,, meinte, kjerringa, ., «, Det, er, aldri, verre, enn, lite, å, vita, ,, », sa, mannen, ;, «, men, du, må, vel, ha, gått, frå, det, vesle, vitet, du, har, hatt, og, no., Har, du, sett, at, nokon]",PRON AUX X X X NOUN PRON VERB DET NOUN PRON AUX ADV ADJ CCONJ ADJ SCONJ PRON VERB ADV ADJ PART VERB ADP NOUN ADP PRON PUNCT NOUN PUNCT PRON VERB X ADJ NOUN VERB ADP PRON PUNCT PRON PRON VERB PUNCT AUX PROPN VERB ADV ADP PUNCT ADV AUX PRON X X ADP NOUN SCONJ NOUN CCONJ NOUN VERB ADP CCONJ AUX VERB X NOUN VERB PUNCT X X VERB ADP X NOUN ADP DET ADJ NOUN ADP NOUN PUNCT VERB NOUN PUNCT PUNCT INTJ PUNCT X AUX DET NOUN X PUNCT ADP NOUN VERB PRON SCONJ PART VERB PRON PUNCT PUNCT PUNCT INTJ PUNCT PRON AUX PRON VERB SCONJ PART VERB ADP NOUN PUNCT PUNCT VERB NOUN PUNCT PUNCT PROPN X X PUNCT AUX PRON NOUN PUNCT AUX PRON ADV VERB NOUN SCONJ PART VERB ADV X PUNCT PUNCT VERB NOUN PUNCT INTJ PUNCT VERB NOUN VERB X PUNCT X NOUN PUNCT PUNCT PRON AUX ADV ADJ ADP ADJ PART PROPN PUNCT PUNCT VERB NOUN PUNCT PUNCT CCONJ PRON AUX ADV AUX VERB PROPN DET ADJ NOUN PRON AUX VERB CCONJ NOUN AUX PRON VERB SCONJ PROPN,0.04730617608409987,0.3729494382022468,190,761,0.6157894736842106,0.3310532459341968
"[Det, var, så, vidt, det, holdt, for, de, norske, håndballjentene, i, den, første, kampen, i, mellomspillet, i, EM, ., Etter, en, jevn, første, omgang, ,, dro, Norge, fra, i, andre, omgang, og, vant, til, slutt, med, tre, mål, mot, Kroatia, ., Dermed, er, Norge, klare, for, semifinale, i, EM, ., –, Det, var, en, tøff, kamp, ., Vi, var, litt, nervøse, i, starten, ,, men, vi, fikk, justert, oss, inn, og, fikk, en, god, andre, omgang, ,, sier, Nora, Mørk, til, TV3, etter, kampen, ., –, Det, var, en, tøff, kamp, ,, men, vi, klarte, å, dra, det, i, land, ., Det, er, en, god, følelse, ,, sier, Stine, Bredal, Oftedal, til, TV3., –, Det, var, en, tøff, kamp, ,, men, vi, klarte, å, dra, det, i, land, ., Det, er, en, god, følelse, ,, sier, Stine, Bredal, Oftedal, til, TV3., –, Det, var, en, tøff, kamp, ,, men, vi, klarte, å, dra, det, i, land, ., Det, er, en, god, følelse, ,, sier, Stine, Bredal, Oftedal, til, TV3., –, Det, var, en, tøff, kamp, ,, men, vi, klarte, å, dra, det, i, land, ., Det]",PRON AUX ADV ADJ PRON VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADP PROPN PUNCT ADP DET ADJ ADJ NOUN PUNCT VERB PROPN ADP ADP ADJ NOUN CCONJ VERB ADP NOUN ADP NUM NOUN ADP PROPN PUNCT ADV AUX PROPN ADJ ADP NOUN ADP PROPN PUNCT PUNCT PRON AUX DET ADJ NOUN PUNCT PRON AUX ADJ ADJ ADP NOUN PUNCT CCONJ PRON AUX VERB PRON ADP CCONJ VERB DET ADJ ADJ NOUN PUNCT VERB PROPN PROPN ADP PROPN ADP NOUN PUNCT PUNCT PRON AUX DET ADJ NOUN PUNCT CCONJ PRON VERB PART VERB PRON ADP NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT VERB PROPN PROPN PROPN ADP PROPN PUNCT PRON AUX DET ADJ NOUN PUNCT CCONJ PRON VERB PART VERB PRON ADP NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT VERB PROPN PROPN PROPN ADP PROPN PUNCT PRON AUX DET ADJ NOUN PUNCT CCONJ PRON VERB PART VERB PRON ADP NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT VERB PROPN PROPN PROPN ADP PROPN PUNCT PRON AUX DET ADJ NOUN PUNCT CCONJ PRON VERB PART VERB PRON ADP NOUN PUNCT PRON,0.04671717171717172,0.3954777927321669,186,792,0.5483870967741935,0.28349181759732867
"[Ja, det, var, en, fin, dag, i, går, og, det, var, godt, å, komme, seg, ut, i, frisk, luft, ., Jeg, har, ikke, vært, så, mye, ute, i, det, siste, og, det, er, ikke, så, rart, for, jeg, har, vært, syk, ., Jeg, har, hatt, influensa, og, det, er, ikke, noe, særlig, ., Jeg, har, vært, slapp, og, hatt, vondt, i, kroppen, og, i, hodet, ., Jeg, har, ikke, orket, å, gjøre, så, mye, og, har, bare, ligget, på, sofaen, og, sett, på, tv, ., Jeg, har, ikke, orket, å, lese, en, gang, og, det, er, ikke, likt, meg, ., Jeg, har, ikke, orket, å, lese, på, flere, dager, og, det, er, ikke, likt, meg, det, heller, ., Jeg, har, ikke, orket, å, lese, på, flere, dager, og, det, er, ikke, likt, meg, det, heller, ., Jeg, har, ikke, orket, å, lese, på, flere, dager, og, det, er, ikke, likt, meg, det, heller, ., Jeg, har, ikke, orket, å, lese, på, flere, dager, og, det, er, ikke, likt, meg, det, heller, ., Jeg, har, ikke, orket, å, lese, på, flere, dager, og, det, er, ikke, likt, meg, det, heller, ., Jeg, har, ikke, orket, å, lese, på, flere, dager, og]",INTJ PRON AUX DET ADJ NOUN ADP NOUN CCONJ PRON AUX ADJ PART VERB PRON ADP ADP ADJ NOUN PUNCT PRON AUX PART AUX ADV ADJ ADP ADP DET ADJ CCONJ PRON AUX PART ADV ADJ SCONJ PRON AUX AUX ADJ PUNCT PRON AUX VERB NOUN CCONJ PRON VERB PART DET ADJ PUNCT PRON AUX AUX ADJ CCONJ VERB ADJ ADP NOUN CCONJ ADP NOUN PUNCT PRON AUX PART VERB PART VERB ADV ADJ CCONJ AUX ADV VERB ADP NOUN CCONJ VERB ADP NOUN PUNCT PRON AUX PART VERB PART VERB DET NOUN CCONJ PRON AUX PART VERB PRON PUNCT PRON AUX PART VERB PART VERB ADP ADJ NOUN CCONJ PRON AUX PART VERB PRON PRON ADV PUNCT PRON AUX PART VERB PART VERB ADP ADJ NOUN CCONJ PRON AUX PART VERB PRON PRON ADV PUNCT PRON AUX PART VERB PART VERB ADP ADJ NOUN CCONJ PRON AUX PART VERB PRON PRON ADV PUNCT PRON AUX PART VERB PART VERB ADP ADJ NOUN CCONJ PRON AUX PART VERB PRON PRON ADV PUNCT PRON AUX PART VERB PART VERB ADP ADJ NOUN CCONJ PRON AUX PART VERB PRON PRON ADV PUNCT PRON AUX PART VERB PART VERB ADP ADJ NOUN CCONJ,0.032569360675512665,0.3516153846153869,200,829,0.745,0.31398522476809176
"[Ja, det, er, en, god, ide, at, få, en, professionel, til, at, lave, en, tilstandsrapport, ,, så, du, ikke, får, nogle, ubehagelige, overraskelser, senere, hen, ., Det, er, også, en, god, ide, at, få, lavet, en, el-rapport, ,, så, du, er, sikker, på, at, alt, er, som, det, skal, være, med, el-installationerne, ., Det, er, også, en, god, ide, at, få, lavet, en, energimærkning, ,, så, du, kan, se, hvor, meget, energi, du, bruger, på, at, varme, huset, op., Det, er, også, en, god, ide, at, få, lavet, en, ejerskifteforsikring, ,, så, du, er, dækket, hvis, der, skulle, være, nogle, fejl, eller, mangler, ved, huset, som, du, ikke, var, klar, over, da, du, købte, det, ., Det, er, også, en, god, ide, at, få, lavet, en, husforsikring, ,, så, du, er, dækket, hvis, der, skulle, ske, noget, med, huset, som, du, ikke, selv, er, skyld, i., Det, er, også, en, god, ide, at, få, lavet, en, indboforsikring, ,, så, du, er, dækket, hvis, der, skulle, ske, noget, med, dine, ting, i, huset, ., Det, er, også, en, god, ide, at, få, lavet, en, bilforsikring, ,, så]",INTJ PRON AUX DET ADJ NOUN SCONJ VERB DET NOUN SCONJ SCONJ ADJ DET NOUN PUNCT CCONJ PRON PART VERB PROPN ADJ NOUN ADJ ADP PUNCT PRON AUX ADV DET ADJ NOUN SCONJ AUX VERB DET NOUN PUNCT CCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX PRON PRON AUX VERB ADP NOUN PUNCT PRON AUX ADV DET ADJ NOUN SCONJ AUX VERB DET NOUN PUNCT CCONJ PRON AUX VERB ADV ADV NOUN PRON VERB SCONJ SCONJ ADJ NOUN NOUN PRON AUX ADV DET ADJ NOUN SCONJ AUX VERB DET NOUN PUNCT CCONJ PRON AUX VERB SCONJ ADV AUX AUX PROPN NOUN CCONJ VERB ADP NOUN PRON PRON PART AUX ADJ ADP SCONJ PRON NOUN PRON PUNCT PRON AUX ADV DET ADJ NOUN SCONJ AUX VERB DET NOUN PUNCT CCONJ PRON AUX VERB SCONJ ADV AUX VERB PROPN ADP NOUN PRON PRON PART ADV AUX NOUN PUNCT PRON AUX ADV DET ADJ NOUN SCONJ AUX VERB DET NOUN PUNCT CCONJ PRON AUX VERB SCONJ ADV AUX VERB PROPN ADP PRON NOUN ADP NOUN PUNCT PRON AUX ADV DET ADJ NOUN SCONJ AUX VERB DET NOUN PUNCT ADV,0.03496503496503497,0.37092707045735446,186,858,0.6720430107526881,0.269624559023194
"[Så, var, det, dags, för, en, ny, tävling, !, Denna, gång, är, det, en, tävling, i, samarbete, med, Lyko.se, där, ni, kan, vinna, ett, presentkort, på, 500, kr, att, handla, för, på, deras, hemsida, ., Lyko, är, en, av, Sveriges, största, skönhetsbutiker, på, nätet, och, har, ett, stort, utbud, av, produkter, inom, hårvård, ,, hudvård, ,, makeup, och, parfym, ., De, har, även, ett, stort, utbud, av, produkter, för, män, ., De, har, även, en, fysisk, butik, i, Göteborg, som, jag, besökte, för, ett, tag, sedan, och, den, var, riktigt, fin, !, Så, om, ni, inte, har, besökt, den, så, tycker, jag, att, ni, ska, göra, det, nästa, gång, ni, är, i, Göteborg, ., Lyko, har, även, en, app, som, man, kan, ladda, ner, till, sin, telefon, där, man, kan, få, erbjudanden, och, rabatter, ., Så, om, ni, inte, har, den, så, tycker, jag, att, ni, ska, ladda, ner, den, !, 
, För, att, vara, med, och, tävla, så, ska, ni, svara, på, följande, fråga, :, Vilken, är, din, favoritprodukt, från, Lyko]",ADV AUX PRON NOUN X DET ADJ NOUN PUNCT X X X PRON DET NOUN ADP NOUN ADP PROPN X NUM AUX X NUM ADJ ADP NUM NOUN X X X X X NOUN PUNCT X X DET ADP PROPN PROPN PROPN X X X VERB NUM ADJ NOUN ADP NOUN PROPN PROPN PUNCT NOUN PUNCT X X X PUNCT PRON VERB NOUN NUM ADJ NOUN ADP NOUN X X PUNCT PRON VERB NOUN DET ADJ NOUN ADP PROPN ADP X X X X X X X PRON AUX ADJ ADJ PUNCT CCONJ ADP NUM NOUN AUX NOUN PRON VERB X X X X X X X ADJ PROPN X X ADP PROPN PUNCT PROPN VERB NOUN DET NOUN PRON PRON AUX X X X PRON NOUN X PRON AUX VERB NOUN X NOUN PUNCT CCONJ ADP NUM NOUN AUX PRON X X X X X X X X X PUNCT SPACE X X X X X X X X X X ADP ADJ PROPN PUNCT NOUN X PRON NOUN X X,0.048628428927680795,0.4061885790172634,172,802,0.37209302325581395,1.0
"[Det, var, som, om, en, bombe, hadde, slått, ned, i, den, lille, byen, i, det, sørlige, England, ., En, mann, var, blitt, drept, ,, og, det, var, ikke, en, hvilken, som, helst, mann, ., Det, var, en, av, byens, mest, kjente, og, respekterte, borgere, ,, en, mann, som, hadde, vært, med, på, å, bygge, opp, byen, og, som, hadde, vært, en, av, dens, mest, fremtredende, skikkelser, i, mange, år, ., Det, var, en, mann, som, hadde, vært, en, av, de, mest, populære, og, respekterte, menn, i, hele, distriktet, ., 
, Det, var, en, mann, som, hadde, vært, en, av, de, mest, populære, og, respekterte, menn, i, hele, distriktet, ., Det, var, en, mann, som, hadde, vært, en, av, de, mest, populære, og, respekterte, menn, i, hele, distriktet, ., Det, var, en, mann, som, hadde, vært, en, av, de, mest, populære, og, respekterte, menn, i, hele, distriktet, ., Det, var, en, mann, som, hadde, vært, en, av, de, mest, populære, og, respekterte, menn, i, hele, distriktet, ., Det, var, en, mann, som, hadde, vært, en, av, de, mest, populære, og, respekterte, menn, i, hele, distriktet, ., Det, var, en, mann, som, hadde, vært, en, av]",PRON AUX ADP ADP DET NOUN AUX VERB ADP ADP DET ADJ NOUN ADP DET ADJ PROPN PUNCT DET NOUN AUX AUX VERB PUNCT CCONJ PRON AUX PART DET DET ADP ADV NOUN PUNCT PRON AUX DET ADP NOUN ADJ ADJ CCONJ ADJ NOUN PUNCT DET NOUN PRON AUX AUX ADP SCONJ PART VERB ADP NOUN CCONJ PRON AUX AUX DET ADP DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX DET ADP DET ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT SPACE PRON AUX DET NOUN PRON AUX AUX DET ADP DET ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX DET ADP DET ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX DET ADP DET ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX DET ADP DET ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX DET ADP DET ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX DET ADP,0.03278688524590164,0.3536720554272515,194,915,0.6907216494845361,0.39682155279667264
"[Det, er, ikkje, berre, i, Noreg, at, det, er, stor, interesse, for, å, få, tak, i, dei, nye, passa, ., Ifølgje, politiet, er, det, stor, pågang, frå, heile, verda, for, å, få, tak, i, dei, nye, norske, passa, ., 
, –, Det, er, stor, interesse, for, dei, nye, norske, passa, i, heile, verda, ., Det, er, mange, som, vil, ha, tak, i, dei, ,, seier, seksjonssjef, Arne, Isak, Tveitan, i, Politidirektoratet, til, NRK, ., 
, Han, fortel, at, det, er, mange, som, har, kontakta, politiet, for, å, få, tak, i, dei, nye, passa, ,, og, at, det, er, mange, som, har, fått, tak, i, dei, ., 
, –, Det, er, mange, som, har, fått, tak, i, dei, nye, passa, ,, men, det, er, ikkje, alle, som, har, fått, tak, i, dei, enno, ., Det, er, mange, som, har, fått, tak, i, dei, nye, passa, ,, men, det, er, ikkje, alle, som, har, fått, tak, i, dei, enno, ,, seier, Tveitan, til, NRK, ., (, ©, NPK, )]",PRON VERB X X ADP PROPN SCONJ PRON VERB ADJ NOUN SCONJ PART VERB NOUN ADP NOUN ADJ NOUN PUNCT ADJ NOUN VERB PRON ADJ NOUN X X PROPN SCONJ PART VERB NOUN ADP PROPN ADJ ADJ NOUN PUNCT SPACE PUNCT PRON VERB ADJ NOUN ADP PROPN ADJ ADJ NOUN ADP ADJ X PUNCT PRON VERB ADJ PRON AUX VERB NOUN ADP NOUN PUNCT NOUN NOUN PROPN PROPN PROPN ADP PROPN ADP PROPN PUNCT SPACE PRON VERB SCONJ PRON VERB ADJ PRON VERB NOUN NOUN SCONJ PART VERB NOUN ADP NOUN ADJ NOUN PUNCT CCONJ SCONJ PRON VERB ADJ PRON AUX VERB NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB ADJ PRON AUX VERB NOUN ADP NOUN ADJ NOUN PUNCT CCONJ PRON AUX ADV PRON PRON AUX VERB NOUN ADP X ADV PUNCT PRON VERB ADJ PRON AUX VERB NOUN ADP NOUN ADJ NOUN PUNCT CCONJ PRON AUX ADV PRON PRON AUX VERB NOUN ADP X X PUNCT NOUN PROPN ADP PROPN PUNCT PUNCT SYM PROPN PUNCT,0.05652173913043478,0.3797503900156028,167,690,0.6766467065868264,0.5329686879643467
"[Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, stortingsval, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, kommuneval, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, fylkestingsval, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, sametingsval, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, kyrkjeval, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, EU-val, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, presidentval, i, USA, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, val, i, Storbritannia, ?, Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, brukar, å, røyste, ved, val, i, Tyskland, ?, Kor, mange, prosent, av, dei, som]",ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP PROPN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP PROPN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP PROPN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP PROPN ADP PROPN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP PROPN ADP PROPN PUNCT ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT X PART VERB ADP PROPN ADP PROPN PUNCT ADV ADJ NOUN ADP NOUN PRON,0.0416156670746634,0.43216145833333264,165,817,0.5393939393939394,0.19019962791189202
"[Det, er, veldig, mange, som, har, et, forhold, til, den, gamle, brannstasjonen, i, Flekkefjord, ., Den, har, vært, et, landemerke, i, byen, i, mange, tiår, ., Nå, er, det, imidlertid, slutt, ., Den, gamle, brannstasjonen, skal, rives, og, erstattes, med, et, nytt, bygg, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekkefjord, kommune, som, er, byggherre, for, det, nye, bygget, ., Det, er, Flekke]",PRON AUX ADJ ADJ PRON VERB DET NOUN ADP DET ADJ NOUN ADP PROPN PUNCT PRON AUX AUX DET NOUN ADP NOUN ADP ADJ NOUN PUNCT ADV AUX PRON ADV NOUN PUNCT DET ADJ NOUN AUX VERB CCONJ VERB ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PRON AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN,0.030716723549488054,0.3819518072289163,167,879,0.5988023952095808,0.28012700479742114
