tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, noe, annet, ,, en, dyp, avgrunn, som, hun, ikke, slapp, noen, over, ,, det, kunne, ikke, bli, bedre, enn, det, var, nå, ,, nå, hadde, hun, ikke, noen, sorger, for, framtiden, lenger, ,, ikke, noen, bekymringer, for, det, som, foregikk, her, i, livet, ., Hun, lot, ikke, lenger, noe, forstyrre, sitt, indre, liv, ,, ingen, tanker, ,, ingen, følelser, ,, hun, var, bare, tom, og, fri, og, lykkelig, ., 
, Fengslet, hun, var, kommet, til, ,, rommet, også, en, mengde, mennesker, ,, blant, dem, også, kvinner, ,, til, og, med, unge, kvinner, som, satt, der, for, forbrytelser, av, en, eller, annen, art, ., Det, var, en, gammel, kvinne, på, enogseksti, år, som, var, dømt, til, fengsel, på, livstid, for, tre, mord, ,, i, den, siste, forbrytelsen, hadde, hun, myrdet, et, barn, og, kvalt, en, annen, ., Men, et, så, stivt, menneske, som, hun, var, det, umulig, å, ta, av, dage, ,, til, det, brukte, man, nå, engang, ikke, skytevåpen, ,, man, slo, henne, ihjel, med, et, par, ørefiker, ,, eller, man, bandt, henne, og, kastet, henne, i, elven, eller, i, brønnen, ., For, de, som, ikke, tok, livet]",CCONJ PRON VERB DET DET PUNCT DET ADJ NOUN PRON PRON PART VERB PRON ADP PUNCT PRON AUX PART VERB ADJ SCONJ PRON AUX ADV PUNCT ADV VERB PRON PART DET NOUN ADP NOUN ADJ PUNCT PART DET NOUN ADP PRON PRON VERB ADV ADP NOUN PUNCT PRON VERB PART ADJ PRON VERB PRON ADJ NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT PRON AUX ADV ADJ CCONJ ADJ CCONJ ADJ PUNCT SPACE VERB PRON AUX VERB ADP PUNCT NOUN ADV DET NOUN NOUN PUNCT ADP PRON ADV NOUN PUNCT ADP CCONJ ADP ADJ NOUN PRON VERB ADV ADP NOUN ADP DET CCONJ DET NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN NOUN PRON AUX VERB ADP NOUN ADP NOUN ADP NUM NOUN PUNCT ADP DET ADJ NOUN AUX PRON VERB DET NOUN CCONJ VERB DET DET PUNCT CCONJ DET ADV ADJ NOUN PRON PRON AUX PRON ADJ PART VERB ADP NOUN PUNCT SCONJ PRON VERB PRON ADV ADV PART NOUN PUNCT PRON VERB PRON ADV ADP DET NOUN NOUN PUNCT CCONJ PRON VERB PRON CCONJ VERB PRON ADP NOUN CCONJ ADP NOUN PUNCT ADP PRON PRON PART VERB NOUN,0.034636871508379886,0.36815602836879546,191,895,0.6335078534031413,0.3420909058780744
"[Det, var, ein, gong, to, ungar, som, budde, i, same, hytta, ., Om, sommaren, budde, dei, i, eit, rom, innanfor, hytta, ,, men, om, vinteren, budde, dei, i, eit, rom, utanfor, hytta, ,, eit, stykke, ovanfor, der, dei, leika, om, sommaren, ., Dei, kalla, det, for, Rommet, til, ungane, ., Det, var, ein, gong, då, dei, ikkje, budde, i, rommet, ,, at, dei, gjekk, og, trakka, der, utanfor, hytta, og, vart, leie, av, det, ., Då, sprang, dei, inn, og, ropa, til, ungane, som, leika, der, :, -, Kva, skal, det, tya, at, de, fer, og, traskar, slik, utanfor, hytta, ,, om, vinteren, også, ?, Om, vinteren, kan, de, vel, like, godt, vera, inne, som, de, ikkje, det, er, i, hytta, ,, men, heller, utanfor, og, leika, dykk, ., Og, så, vart, ungane, bedne, innanfor, ., 
, -, Ja, ,, sa, dei, til, slutt, ,, eg, går, ikkje, nokon, stad, ,, eg, ,, for, det, vert, så, kaldt, å, gå, på, stigen, ., 
, -, Ja, ,, for, det, er, så, langt, ,, svara, dei, ., 
, -, Ja, ,, eg, har, ikkje, hug, til, å, gå, for, kvart, steg]",PRON AUX X X X PROPN X VERB ADP X NOUN PUNCT ADP NOUN VERB PROPN ADP X NOUN ADP NOUN PUNCT CCONJ ADP NOUN VERB PROPN ADP X NOUN ADP NOUN PUNCT X NOUN ADP ADV X X ADP NOUN PUNCT X VERB PRON ADP PROPN ADP PROPN PUNCT PRON AUX X X X X X VERB ADP NOUN PUNCT SCONJ PROPN VERB CCONJ VERB ADV ADP NOUN CCONJ VERB NOUN ADP PRON PUNCT X VERB NOUN ADP CCONJ PROPN ADP PROPN ADP VERB ADV PUNCT PUNCT INTJ VERB PRON NOUN SCONJ PRON NOUN CCONJ ADV ADV ADP NOUN PUNCT ADP NOUN ADV PUNCT ADP NOUN AUX PRON ADV ADV ADJ NOUN ADP PRON PRON X PRON VERB ADP NOUN PUNCT CCONJ ADV ADP CCONJ NOUN NOUN PUNCT CCONJ ADV VERB PROPN X X PUNCT SPACE PUNCT INTJ PUNCT VERB PROPN ADP NOUN PUNCT PRON VERB X X X PUNCT X PUNCT CCONJ PRON ADJ ADV ADJ PART VERB ADP NOUN PUNCT SPACE PUNCT INTJ PUNCT CCONJ PRON AUX ADV ADJ PUNCT X X PUNCT SPACE PUNCT INTJ PUNCT X VERB X X SCONJ PART VERB ADP NOUN VERB,0.04331210191082802,0.38173913043478264,190,785,0.6210526315789474,0.31088622068391303
"[Det, var, så, mye, hun, ville, utrette, ., Altfor, mye, ., Men, hun, måtte, ta, det, i, sitt, tempo, ,, og, være, fornøyd, med, en, enkelt, seier, nå, og, da, ., Hun, hadde, fått, en, slags, fred, på, sin, lille, og, avsidesliggende, gård, ., Den, tok, henne, som, en, mor, som, ikke, har, nok, mel, til, barnet, sitt, ., Og, når, en, stor, sorg, tynget, henne, ,, pleide, hun, å, lukke, øynene, og, huske, på, det, øyeblikket, hun, var, mest, lykkelig, i, sitt, liv, ., Hun, kunne, ikke, se, for, seg, når, en, slik, dag, hadde, kommet, og, gått, ,, for, å, begynne, med, den, dagen, hun, ble, født, ., 
, «, Kom, og, sett, deg, hos, meg, ,, jente, ., Hvis, du, ikke, kan, se, noe, ,, så, luk, øynene, igjen, ., Når, du, sitter, der, ,, kan, du, bare, be, og, drømme, ,, akkurat, som, før, ., Og, når, du, er, lei, deg, ,, kan, du, se, på, det, lille, smykket, ditt, ., Jeg, har, ikke, noe, annet, å, gi, deg, ., 
, Det, var, første, skoledag, ,, en, varm, ettermiddag, i, september, ., 
, «, Da, må, du, vente, til, middag, ,, frue, ., Det, tar, på, å, begynne, på, noe, nytt, ,, », sa, Jenn]",PRON VERB ADV ADJ PRON AUX VERB PUNCT ADV ADJ PUNCT CCONJ PRON AUX VERB PRON ADP PRON NOUN PUNCT CCONJ AUX ADJ ADP DET ADJ NOUN ADV CCONJ ADV PUNCT PRON AUX VERB DET NOUN NOUN ADP PRON ADJ CCONJ ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN PRON PART VERB ADV NOUN ADP NOUN PRON PUNCT CCONJ SCONJ DET ADJ NOUN VERB PRON PUNCT VERB PRON PART VERB NOUN CCONJ VERB ADP DET NOUN PRON AUX ADJ ADJ ADP PRON NOUN PUNCT PRON AUX PART VERB ADP PRON SCONJ DET DET NOUN AUX VERB CCONJ VERB PUNCT SCONJ PART VERB ADP DET NOUN PRON AUX VERB PUNCT SPACE PUNCT VERB CCONJ VERB PRON ADP PRON PUNCT NOUN PUNCT SCONJ PRON PART AUX VERB PRON PUNCT VERB CCONJ NOUN ADV PUNCT SCONJ PRON VERB ADV PUNCT AUX PRON ADV VERB CCONJ VERB PUNCT ADV ADP ADP PUNCT CCONJ SCONJ PRON AUX ADJ PRON PUNCT AUX PRON VERB ADP DET ADJ NOUN PRON PUNCT PRON VERB PART DET DET PART VERB PRON PUNCT SPACE PRON AUX ADJ NOUN PUNCT DET ADJ NOUN ADP NOUN PUNCT SPACE PUNCT ADV AUX PRON VERB ADP NOUN PUNCT NOUN PUNCT PRON VERB SCONJ PART VERB ADP DET ADJ PUNCT PUNCT VERB PROPN,0.04465334900117509,0.3947132169576059,209,851,0.6746411483253588,0.38040741848228254
"[Ja, det, var, en, gang, en, kjerring, .., ., For, lenge, ,, lenge, siden, bodde, det, en, rik, og, mektig, mann, oppe, i, ei, bygd, som, het, Tistedal, -, ved, bunnen, av, den, store, elva, Tista, ,, som, renner, ut, i, Iddefjorden, ved, Halden, ., Der, ligger, det, vesle, tettstedet, Halden, som, er, kjent, for, sine, mange, vakre, bygninger, og, gater, -, og, for, den, festningen, som, ble, kalt, Fredriksten, -, grunnlagt, i, 1661, ,, oppkalt, etter, vår, for, lengst, henfarne, Frederik, 111, av, Danmark, ., Oppe, i, bygda, var, det, på, denne, tiden, liv, og, røre, ., Om, sommeren, var, det, mange, arbeidere, som, arbeidet, på, sagbrukene, ,, og, om, vinteren, strømmet, det, tømmerflåter, på, tømmerflåter, ned, hele, vassdraget, mot, Halden, og, sagbrukene, der, ., 
, Bonden, og, treskjæreren, ,, Hans, Olsen, fra, Dalsland, ,, bodde, på, gården, Elingård, et, stykke, unna, Tistedal, ., Det, var, en, gammel, gård, -, med, historie, tilbake, til, vikingtiden, ., Nå, hadde, gården, lenge, vært, i, Hans, Elingårds, eie, og]",INTJ PRON AUX DET NOUN DET NOUN PUNCT PUNCT ADP ADJ PUNCT ADJ ADV VERB PRON DET ADJ CCONJ ADJ NOUN ADP ADP DET NOUN PRON VERB PROPN PUNCT ADP NOUN ADP DET ADJ NOUN PROPN PUNCT PRON VERB ADP ADP PROPN ADP PROPN PUNCT ADV VERB DET ADJ NOUN PROPN PRON AUX ADJ ADP PRON ADJ ADJ NOUN CCONJ NOUN PUNCT CCONJ ADP DET NOUN PRON AUX VERB PROPN PUNCT VERB ADP NUM PUNCT VERB ADP NOUN ADP ADJ ADJ PROPN NUM ADP PROPN PUNCT ADP ADP NOUN AUX PRON ADP DET NOUN NOUN CCONJ VERB PUNCT ADP NOUN VERB PRON ADJ NOUN PRON VERB ADP NOUN PUNCT CCONJ SCONJ NOUN VERB PRON NOUN ADP NOUN ADP ADJ NOUN ADP PROPN CCONJ NOUN ADV PUNCT SPACE NOUN CCONJ NOUN PUNCT PROPN PROPN ADP PROPN PUNCT VERB ADP NOUN PROPN DET NOUN ADP PROPN PUNCT PRON AUX DET ADJ NOUN PUNCT ADP NOUN ADP ADP NOUN PUNCT ADV AUX NOUN ADJ AUX ADP PROPN PROPN NOUN CCONJ,0.047841306884480746,0.3796287128712872,167,857,0.5269461077844312,0.28759202516080157
"[Ja, det, er, vel, egentlig, bare, å, prøve, å, gi, opp, ,, eller, gi, etter, ?, Det, er, ikke, riktig, å, tvinge, frem, en, avgjørelse, dersom, vi, ikke, seiv, kjenner, oss, sterke, nok, til, det, ., Hvis, vi, har, en, klar, følelse, av, at, livet, er, noe, som, skal, leves, og, at, vi, har, en, oppgave, i, det, ,, kan, ingen, motarbeide, oss, så, godt, som, en, uklar, angst, ., Vi, kan, for, eksempel, tenke, oss, at, det, er, angst, for, å, komme, i, konflikt, med, far, eller, mor, ,, at, vi, ikke, skal, greie, å, komme, på, ball, ,, dumme, oss, ut, eller, bli, ertet, ,, eller, at, vi, skal, gå, for, langt, ,, at, det, skal, komme, til, scener, ,, at, vi, ikke, skal, holde, mål, ,, etc., Det, kan, også, være, angst, for, å, føle, for, ensidig, eller, for, vanskelig, ., Slikt, noe, kan, det, være, like, greit, å, innrømme, for, seg, seiv, og, andre, og, la, få, utløp, på, annet, hold, enn, i, en, diskusjon, ., 
, Vi, får, nå, gjøre, bruk, av, det, verktøy, vi, har, vært, innom, tidligere, :, å, sette, mål, ,, å, lære, å, kontrollere, og, styre, sin, egen, atferd, ,, å, søke, løsninger, som]",INTJ PRON AUX ADV ADJ ADV PART VERB PART VERB ADP PUNCT CCONJ VERB ADP PUNCT PRON AUX PART ADJ PART VERB ADP DET NOUN SCONJ PRON PART NOUN VERB PRON ADJ ADV ADP PRON PUNCT SCONJ PRON VERB DET ADJ NOUN SCONJ SCONJ NOUN AUX PRON PRON AUX VERB CCONJ SCONJ PRON VERB DET NOUN ADP PRON PUNCT AUX PRON VERB PRON ADV ADJ ADP DET ADJ NOUN PUNCT PRON AUX ADP NOUN VERB PRON SCONJ PRON AUX NOUN SCONJ PART VERB ADP NOUN ADP NOUN CCONJ NOUN PUNCT SCONJ PRON PART AUX VERB PART VERB ADP NOUN PUNCT ADJ PRON ADP CCONJ AUX VERB PUNCT CCONJ SCONJ PRON AUX VERB ADV ADJ PUNCT SCONJ PRON AUX VERB ADP NOUN PUNCT SCONJ PRON PART AUX VERB NOUN PUNCT ADV PRON AUX ADV AUX NOUN SCONJ PART VERB ADV ADJ CCONJ ADV ADJ PUNCT DET PRON AUX PRON AUX ADV ADJ PART VERB ADP PRON NOUN CCONJ DET CCONJ VERB VERB NOUN ADP DET NOUN ADP ADP DET NOUN PUNCT SPACE PRON AUX ADV VERB NOUN ADP DET NOUN PRON AUX AUX ADP ADJ PUNCT PART VERB NOUN PUNCT PART VERB PART VERB CCONJ VERB PRON DET NOUN PUNCT PART VERB NOUN PRON,0.040632054176072234,0.36387096774193645,203,886,0.6995073891625616,0.3962541556617007
"[Så, var, det, den, vesle, prinsen, som, skulle, få, reise, ut, i, verda, ., Det, var, både, moro, og, leitt, ,, for, heime, hadde, ingen, tid, til, å, tala, med, han, ., Alle, folk, var, travelt, opptekne, —, alle, gjorde, sitt, arbeid, ,, og, alle, streva, og, streid, ., 
, Men, den, tida, prinsen, var, burte, ,, ville, mor, hans, finna, ein, ven, ., Ho, gjekk, derfor, ut, i, skogen, og, leita, og, leita, ., Ho, ville, finna, ein, ven, til, prinsen, sin, ., 
, Johannes, Tinbergendt, ., 1572., 
, Her, er, det, nok, ikkje, nokon, ven, ,, tenkte, ho, ,, men, der, står, det, ein, liten, prins, ., Så, tok, ho, han, opp, ,, for, alle, menneske, på, jord, er, vel, alltid, vener, ., No, vil, vi, leika, ein, stad, i, skogen, ,, sa, ho, ., Alle, born, er, nok, glade, i, leiken, ,, men, alle, born, på, jord, er, også, alltid, vener, ,, tenkjer, eg., Derfor, vil, no, alle, desse, borna, leika, saman, med, prinsen, ., 
, Så, gjekk, heile, flokken, ut, i, skogen, ., Ein, gong, stod, dei, der, alle, saman, ,, den, vesle]",ADV AUX PRON DET ADJ NOUN PRON AUX AUX VERB ADP ADP NOUN PUNCT PRON AUX CCONJ ADJ CCONJ NOUN PUNCT ADP NOUN VERB DET NOUN SCONJ PART PROPN ADP PRON PUNCT DET NOUN AUX ADJ ADJ PUNCT PRON VERB PRON NOUN PUNCT CCONJ DET NOUN CCONJ NOUN PUNCT SPACE CCONJ DET NOUN NOUN AUX ADJ PUNCT AUX NOUN PRON X X X PUNCT PROPN X ADV ADP ADP NOUN CCONJ ADJ CCONJ ADJ PUNCT X X X X X ADP NOUN PRON PUNCT SPACE PROPN PROPN PUNCT NUM SPACE ADV VERB PRON ADV X X X PUNCT VERB PROPN PUNCT CCONJ ADV VERB PRON X ADJ NOUN PUNCT ADV VERB NOUN PRON ADP PUNCT CCONJ DET NOUN ADP NOUN AUX ADV ADV NOUN PUNCT PROPN AUX PRON X X X ADP NOUN PUNCT VERB NOUN PUNCT DET PROPN AUX ADV ADJ ADP NOUN PUNCT CCONJ DET PROPN ADP NOUN AUX ADV ADV NOUN PUNCT VERB PRON ADV AUX X X X X PROPN PROPN ADP NOUN PUNCT SPACE ADV VERB ADJ NOUN ADP ADP NOUN PUNCT X X VERB PRON SCONJ DET PROPN PUNCT DET ADJ,0.0484472049689441,0.37695767195767227,187,805,0.5775401069518716,0.3028273709619935
"[Det, var, som, å, ha, en, ekstra, tann, i, gommen, ., Jeg, hadde, to, friske, tenner, ,, en, på, den, ene, siden, og, en, løs, på, den, andre, ., Det, var, en, underlig, følelse, å, gå, rundt, med, to, av, dem, løse, og, så, plutselig, være, uten, !, Jeg, husket, den, gangen, min, far, plutselig, og, uten, varsel, trakk, ut, en, løs, tann, ., Det, var, ikke, vanskelig, å, avgjøre, hva, som, da, ville, skje, med, den, andre, !, 
, Men, hva, er, ikke, lett, når, man, bare, er, tretten, år, og, er, redd, for, alt, mulig, ., 
, En, dag, da, jeg, kommer, hjem, fr, a, skolen, er, det, blitt, temmelig, sent, ., Det, siste, kvarteret, er, jeg, blitt, ropt, inn, på, gangen, flere, ganger, ., I, friminuttene, har, jeg, blitt, sendt, etter, melk, og, etter, en, sjokoladeplate, til, frøken, ., 
, Jeg, kommer, løpende, inn, porten, og, opp, trappen, ,, bare, redd, for, å, møte, faren, min., Mamma, og, far, ser, på, hverandre, uten, å, kjenne, meg, igjen, :, 
, «, Pappa, ,, gutten, min, ,, er, du, kommet, alt, ?, 
, Nesten, hver, gang, vi, har, hatt, fest, på, skolen, har, noen, av, gutta, kommet, innom, oss, hjemme]",PRON AUX ADP PART VERB DET ADJ NOUN ADP NOUN PUNCT PRON VERB NUM ADJ NOUN PUNCT DET ADP DET NUM NOUN CCONJ DET ADJ ADP DET DET PUNCT PRON AUX DET ADJ NOUN PART VERB ADP ADP NUM ADP PRON ADJ CCONJ ADV ADJ AUX ADP PUNCT PRON VERB DET NOUN PRON NOUN ADJ CCONJ ADP NOUN VERB ADP DET ADJ NOUN PUNCT PRON AUX PART ADJ PART VERB PRON PRON ADV AUX VERB ADP DET DET PUNCT SPACE CCONJ PRON AUX PART ADJ SCONJ PRON ADV AUX NUM NOUN CCONJ AUX ADJ ADP DET ADJ PUNCT SPACE DET NOUN SCONJ PRON VERB ADP NOUN PROPN NOUN AUX PRON VERB ADV ADJ PUNCT DET ADJ NOUN AUX PRON AUX VERB ADP ADP NOUN ADJ NOUN PUNCT ADP NOUN AUX PRON AUX VERB ADP NOUN CCONJ ADP DET NOUN ADP PROPN PUNCT SPACE PRON VERB ADJ ADP NOUN CCONJ ADP NOUN PUNCT ADV ADJ SCONJ PART VERB NOUN VERB NOUN CCONJ NOUN VERB ADP PRON SCONJ PART VERB PRON ADV PUNCT SPACE PUNCT NOUN PUNCT NOUN PRON PUNCT AUX PRON VERB PRON PUNCT SPACE ADV DET NOUN PRON AUX VERB NOUN ADP NOUN AUX DET ADP NOUN VERB ADP PRON ADP,0.0425531914893617,0.376729857819906,201,893,0.6318407960199005,0.37099860919312605
"[Det, er, ikkje, langt, mellom, dei, to, bygdene, Lalm, og, Kullungen, i, Oppstryn, ., Frå, gardane, deira, går, det, gamle, ferdselsårer, ., Men, den, store, ferdsla, er, det, ingen, som, minnest, i, dag, ., Det, er, stupbratt, og, langt, ned, til, sjøen, ,, og, vegen, ligg, i, djup, ur, i, store, svingar, ned, i, juva, og, over, hengjebruer, og, vassdemme, ., Når, dei, skulle, over, dammen, ,, hadde, dei, gjerne, ei, kløv, på, hesten, eller, ein, sekk, på, ryggen, ., Det, var, berre, i, fint, ver, ,, og, ikkje, så, ofte, i, gamle, dagar, ,, at, kløvhesten, gjekk, over, Kullungseidet, den, eine, gongen, i, året, -, på, heimreisa, frå, Jølster, ., Ein, gong, var, det, og, ein, hest, frå, Kullungseidet, som, gjekk, seg, fast, i, ura, nedom, Kullungsvatnet, ., Han, berga, seg, til, fots, ,, men, hesten, sat, innesperra, i, ura, i, dagevis, utan, at, dei, fann, han, ,, til, han, endel]",PRON AUX ADV ADJ ADP DET NUM NOUN PROPN CCONJ PROPN ADP PROPN PUNCT X PROPN PROPN VERB DET ADJ NOUN PUNCT CCONJ DET ADJ NOUN VERB PRON PRON SCONJ NOUN ADP NOUN PUNCT PRON AUX ADJ CCONJ ADJ ADP ADP NOUN PUNCT CCONJ NOUN VERB ADP ADJ X ADP ADJ NOUN ADP ADP PROPN CCONJ ADP NOUN CCONJ NOUN PUNCT SCONJ PROPN VERB ADP NOUN PUNCT VERB PRON ADV DET NOUN ADP NOUN CCONJ X NOUN ADP NOUN PUNCT PRON AUX ADV ADP ADJ NOUN PUNCT CCONJ X ADV ADJ ADP ADJ PROPN PUNCT SCONJ NOUN VERB ADP PROPN DET X NOUN ADP NOUN PUNCT ADP X X PROPN PUNCT X X AUX PRON CCONJ X X X PROPN PRON VERB PRON ADJ ADP PROPN NOUN PROPN PUNCT PRON VERB PRON ADP NOUN PUNCT CCONJ NOUN VERB NOUN ADP PROPN ADP ADV PROPN X X VERB PRON PUNCT ADP PRON NOUN,0.05075445816186557,0.3785588235294116,152,729,0.618421052631579,0.29901176181156314
"[Kor, mange, prosent, er, X, ?, 
, Av, oppgåvene, i, 7.-, klassane, skal, elevane, etter, L, 97, kunne, setje, opp, eit, funksjonsuttrykk, ,, rekne, ut, og, lage, tabell, ., 
, som, skal, vere, med, i, utrekninga, ., 
, Tala, står, for, prosent, ., Da, kan, det, vere, lurt, å, leggje, saman, prosenttala, og, få, eit, heilt, tal, ,, til, dømes, 8, %, ., 
, Finn, svaret, på, denne, oppgåva, direkte, ., 
, I, dei, fleste, slike, oppgåver, vil, vi, få, ut, eit, positivt, svar, ., Sia, vi, ikkje, skal, multiplisere, ut, prosent, ,, men, multiplisere, ut, tal, ,, må, vi, rekne, for, seg, slik, at, vi, heile, tida, har, like, mange, ledd, i, kvar, del, ., På, den, eine, sida, finn, vi, ein, prosentdel, av, alle, deltakarane, i, klassen, ., På, den, andre, sida, finn, vi, ein, prosentdel, av, det, samla, talet, på, deltakarar, ., 
, X, er, talet, på, alle, deltakarane, i, klassen, ., Det, talet, kallar, vi, N, ,, og, det, er, 66., Multipliserer, vi, dei, to, sifra, N, og, X, ,, X+N, får, vi]",ADV ADJ NOUN AUX PROPN PUNCT SPACE ADP NOUN ADP NUM NOUN AUX NOUN ADP PROPN NUM AUX VERB ADP DET NOUN PUNCT ADV ADP CCONJ VERB NOUN PUNCT SPACE PRON AUX VERB ADP ADP NOUN PUNCT SPACE PROPN VERB ADP NOUN PUNCT ADV AUX PRON AUX VERB PART VERB PROPN PROPN CCONJ VERB X X X PUNCT ADP NOUN NUM NOUN PUNCT SPACE VERB NOUN ADP DET NOUN ADJ PUNCT SPACE ADP DET ADJ DET NOUN AUX PRON VERB ADP DET ADJ NOUN PUNCT PROPN PRON DET AUX VERB ADP NOUN PUNCT CCONJ VERB ADP PROPN PUNCT AUX PRON ADJ ADP PRON ADV SCONJ PRON VERB NOUN AUX ADV ADJ NOUN ADP X NOUN PUNCT ADP DET X NOUN VERB PRON X NOUN ADP DET PROPN ADP NOUN PUNCT ADP DET ADJ NOUN VERB PRON X NOUN ADP DET ADJ NOUN ADP NOUN PUNCT SPACE NOUN AUX NOUN ADP DET PROPN ADP NOUN PUNCT DET NOUN PROPN PRON PROPN PUNCT CCONJ PRON AUX NUM VERB PRON DET NUM NOUN NOUN CCONJ PROPN PUNCT NOUN VERB PRON,0.05941845764854614,0.3694878706199472,177,791,0.5875706214689266,0.2147483681071836
"[Det, er, veldig, lenge, siden, det, kom, ut, noen, spennende, fortellinger, i, bokform, ., Jeg, har, en, forkjærlighet, for, de, gamle, bøkene, ,, jeg, vet, ikke, helt, hvorfor, ,, men, det, har, kanskje, noe, å, gjøre, med, det, at, jeg, alltid, har, hatt, et, ønske, om, å, bli, forfatter, ., Da, jeg, gikk, til, sengs, med, de, gamle, krimbøkene, mine, den, kvelden, ,, var, det, fordi, jeg, trodde, at, jeg, ble, i, stand, til, å, skrive, en, krimroman, bare, på, grunn, av, historien, jeg, hadde, satt, meg, inn, i, på, forhånd, ., 
, Jens, Ahlbom, :, Det, er, jo, en, fantastisk, historie, ., Og, det, kan, da, virkelig, ikke, være, mange, som, har, skrevet, om, dette, ., 
, Jessika, :, Nei, ,, det, tror, jeg, ikke, er, riktig, ,, for, dette, er, en, del, av, den, svenske, historien, ,, men, jeg, har, aldri, før, skrevet, noe, om, fortiden, slik, at, man, virkelig, ser, hvordan, det, hele, har, utspilt, seg, ., 
, Jens, Ahlbom, :, Men, når, man, ser, det, ,, så, får, man, altså, lyst, til, å, skrive, om, det, ?, 
, Jessika, :, Ja, ., Det, er, litt, det, samme, for, meg, .]",PRON AUX ADJ ADJ SCONJ PRON VERB ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PART ADJ ADV PUNCT CCONJ PRON VERB ADV PRON PART VERB ADP PRON SCONJ PRON ADV AUX VERB DET NOUN SCONJ PART VERB NOUN PUNCT SCONJ PRON VERB ADP NOUN ADP DET ADJ NOUN PRON DET NOUN PUNCT AUX PRON SCONJ PRON VERB SCONJ PRON VERB SCONJ NOUN SCONJ PART VERB DET NOUN ADV ADP NOUN ADP NOUN PRON AUX VERB PRON ADP ADP ADP NOUN PUNCT SPACE PROPN PROPN PUNCT PRON AUX ADV DET ADJ NOUN PUNCT CCONJ PRON AUX ADV ADJ PART AUX ADJ PRON AUX VERB ADP PRON PUNCT SPACE PROPN PUNCT INTJ PUNCT PRON VERB PRON PART AUX ADJ PUNCT CCONJ PRON AUX DET NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON AUX ADV ADP VERB PRON ADP NOUN ADV SCONJ PRON ADJ VERB ADV DET ADJ AUX VERB PRON PUNCT SPACE PROPN PROPN PUNCT CCONJ SCONJ PRON VERB PRON PUNCT ADV VERB PRON ADV NOUN SCONJ PART VERB ADP PRON PUNCT SPACE PROPN PUNCT INTJ PUNCT PRON AUX ADJ DET DET ADP PRON PUNCT,0.04161849710982659,0.38446078431372527,194,865,0.6752577319587629,0.48940913207498093
