tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, smågut, tene, fra, Vestsida, som, gjorde, det, bra, ., På, samme, turnering, var, en, del, av, de, eldste, J16-laget, på, plass, ., 
, Bra, med, folk, Også, i, år, har, de, fått, til, fine, for, hold, for, alle, de, 250, lagene, som, hadde, tatt, turen, ., 
, blitt, tatt, godt, vare, på, her, i, Pors, grunn, ., Vi, har, hatt, lag, her, både, i, vinter, og, i, høst, ., Når, det, er, som, nå, er, det, litt, kaotisk, i, starten, ,, men, da, kommer, folk, og, passer, på, så, det, går, greit, ., Folk, følger, opp, veldig, bra, ., Når, det, gjelder, årets, turnering, er, jeg, er, veldig, godt, fomøyd, med, det, som, har, blitt, levert, ,, sier, daglig, leder, ., Den, årlige, tumeringen, er, en, viktig, inntektskilde, for, klub, ben, ., -, Det, genererer, veldig, mange, penger, for, oss, ., Det, er, en, viktig, inntektskilde, for, oss, ., 
, HANDBALL, :, Turneringsansvarlig, Tine, Thorsteinsen, roser, klubbene, som, får, besøk, i, Pors, .]",CCONJ PRON AUX PART ADV ADJ NOUN ADP PROPN PRON VERB PRON ADJ PUNCT ADP DET NOUN AUX DET NOUN ADP DET ADJ NOUN SCONJ NOUN PUNCT SPACE ADJ ADP NOUN ADV ADP NOUN AUX PRON VERB ADP ADJ ADP NOUN ADP DET DET NUM NOUN PRON AUX VERB NOUN PUNCT SPACE AUX VERB ADJ NOUN ADP ADV ADP PROPN NOUN PUNCT PRON AUX VERB NOUN ADV CCONJ ADP NOUN CCONJ ADP NOUN PUNCT SCONJ PRON AUX PRON ADV AUX PRON ADJ ADJ ADP NOUN PUNCT CCONJ ADV VERB NOUN CCONJ VERB ADP SCONJ PRON VERB ADJ PUNCT NOUN VERB ADP ADJ ADJ PUNCT SCONJ PRON VERB NOUN NOUN AUX PRON AUX ADJ ADJ ADJ ADP PRON PRON AUX AUX VERB PUNCT VERB ADJ NOUN PUNCT DET ADJ NOUN AUX DET ADJ NOUN ADP NOUN NOUN PUNCT PUNCT PRON VERB ADJ ADJ NOUN ADP PRON PUNCT PRON AUX DET ADJ NOUN ADP PRON PUNCT SPACE PROPN PUNCT ADJ PROPN PROPN VERB NOUN PRON VERB NOUN ADP PROPN PUNCT,0.05994897959183673,0.38672108843537456,168,784,0.6309523809523809,0.20544962249838755
"[Det, var, ein, tung, dag, for, dei, som, har, vore, tilsette, i, butikken, på, Flå, ., Men, dei, tilsette, vart, i, går, informerte, om, at, Coop, Vestviken, kjem, til, å, legge, ned, butikken, og, sende, dei, tilsette, ut, i, ledig, ., Dei, skal, no, få, tilbod, om, anna, arbeid, i, Coop-systemet, ., Korleis, dette, vil, bera, av, sted, er, det, naturlegvis, umuleg, å, seie, noko, om, så, tidleg, i, prosessen, ,, men, ein, kan, nok, forvente, seg, at, dette, vert, ein, ryddig, prosess, med, tanke, på, det, å, finne, seg, nytt, arbeid, ., Butikken, har, ikkje, lenger, livets, rett, ., Dagleg, leiar, for, butikken, ,, Rune, Øksendal, ,, meiner, at, det, er, svært, lite, som, skal, til, ein, så, liten, butikk, ,, og, sjølv, meiner, han, at, eit, godt, personale, er, den, store, grunnen, ., Medan, leiinga, meiner, at, det, rett, og, slett, er, for, mykje, varer, i, butikken, til, at, ein, kan, behalde, den, ., Dei, hevdar, at, dei, har, vore, heldige, med, prisane, som, har, gjort, at, folk, har, kunna, handla, her, ., Rune, Øksendal, fortel, vidare, at, han, trur]",PRON AUX X ADJ NOUN ADP NOUN PRON AUX AUX VERB ADP NOUN ADP PROPN PUNCT CCONJ NOUN VERB VERB ADP NOUN ADJ SCONJ SCONJ PROPN PROPN VERB SCONJ PART VERB ADP NOUN CCONJ VERB PRON VERB ADP ADP ADJ PUNCT NOUN AUX X VERB NOUN ADP NOUN NOUN ADP NOUN PUNCT VERB PRON AUX NOUN ADP NOUN AUX PRON ADV NOUN PART VERB X ADP ADV PROPN ADP NOUN PUNCT CCONJ X AUX ADV VERB PRON SCONJ PRON AUX X ADJ NOUN ADP NOUN ADP PRON PART VERB PRON ADJ NOUN PUNCT NOUN VERB ADV ADJ NOUN NOUN PUNCT PROPN PROPN ADP NOUN PUNCT PROPN PROPN PUNCT VERB SCONJ PRON AUX ADJ ADJ PRON VERB ADP PROPN ADV ADJ NOUN PUNCT CCONJ X PROPN PRON SCONJ DET ADJ NOUN AUX DET ADJ NOUN PUNCT ADV NOUN PROPN SCONJ PRON ADJ CCONJ ADJ AUX ADP ADJ NOUN ADP NOUN SCONJ SCONJ X AUX VERB PRON PUNCT X VERB SCONJ PROPN AUX AUX ADJ ADP NOUN PRON AUX VERB SCONJ NOUN VERB ADV X ADV PUNCT PROPN PROPN X PROPN SCONJ PRON VERB,0.0418552036199095,0.36546107784431037,182,884,0.6538461538461539,0.24286597284754638
"[Det, var, så, som, så, med, forhol, dene, da, Elverum, svømmeklubb, avviklet, sitt, klubbmesterskap, i, svømming, på, Elverum, folke, høgskule, tirsdag, kveld, ,, men, den, dårlige, deltakelsen, kan, ikke, klubben, ta, skylden, for, ., De, be, gynner, å, bh, vante, med, den, si, tuasjonen, ., De, som, stilte, til, start, hadde, ingen, problemer, med, å, holde, seg, i, skinnet, på, tross, av, kaldt, og, surt, vær, ., Og, det, ble, et, riktig, hyggelig, mesterskap, med, mange, gode, resultater, ,, spesielt, på, de, korteste, distansene, ., 
, -, Så, langt, nede, på, listene, har, jeg, aldri, stått, ., Nei, ,, nå, tror, jeg, ikke, jeg, har, noen, sjanse, til, å, hevde, meg, i, landssammenheng, i, år, ., Og, det, var, synd, ,, for, det, er, jo, nå, det, først, begynner, ,, sier, en, skuffet, Erik, Røbech, etter, målpassering, ., I, Elverum, er, ikke, klubbmester, skapet, noe, offisielt, mesterskap, i, motsetning, til, for, eksempel, svømmere, fra, Kongsvinger, hvor, det, er, både, åpent, stevne, og, klubbmesterskap, ., Elverum, svøm, meklubb, har, også, vært, med]",PRON AUX ADV SCONJ ADV ADP NOUN NOUN SCONJ PROPN NOUN VERB PRON NOUN ADP NOUN ADP PROPN NOUN PROPN NOUN NOUN PUNCT CCONJ DET ADJ NOUN AUX PART NOUN VERB NOUN ADP PUNCT PRON VERB NOUN PART VERB ADJ ADP DET PRON NOUN PUNCT PRON PRON VERB ADP NOUN VERB DET NOUN SCONJ PART VERB PRON ADP NOUN ADP ADP ADP ADJ CCONJ ADJ NOUN PUNCT CCONJ PRON VERB DET ADJ ADJ NOUN ADP ADJ ADJ NOUN PUNCT ADJ ADP DET ADJ NOUN PUNCT SPACE PUNCT ADV ADJ ADP ADP NOUN AUX PRON ADV VERB PUNCT INTJ PUNCT ADV VERB PRON PART PRON VERB DET NOUN SCONJ PART VERB PRON ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX NOUN PUNCT CCONJ PRON AUX ADV ADV PRON ADV VERB PUNCT VERB DET ADJ PROPN PROPN ADP NOUN PUNCT ADP PROPN AUX PART VERB NOUN DET ADJ NOUN ADP NOUN ADP ADP NOUN NOUN ADP PROPN ADV PRON AUX CCONJ ADJ NOUN CCONJ NOUN PUNCT PROPN PROPN NOUN AUX ADV AUX ADP,0.04269662921348315,0.3815457788347205,171,890,0.5614035087719298,0.14664781728384088
"[Ja, det, var, det, som, var, saka, :, Ei, gentleg, skulle, ein, ha, skrive, at, :, Ja, ,, dersom, ein, skal, ta, bilete, av, fuglar, og, andre, dyr, ute, i, naturen, ,, og, skal, sende, bileta, som, ein, tek, ,, til, eit, dyrevernlag, eller, liknande, for, å, få, dei, trykt, på, ein, plakat, ,, så, bør, ein, alltid, ha, på, seg, gule, ,, raude, ,, kvi, te, eller, andre, sterke, fargar, ,, slik, at, bileta, ikkje, forsvinn, i, naturen, ., Og, dei, bileta, der, ein, ikkje, har, kledd, seg, godt, nok, ,, og, ein, berre, tek, bilete, av, seg, sjølv, ,, vil, snart, forsvinne, frå, naturen, ., Bilete, som, berre, viser, ein, vakker, fugl, i, fin, natur, ,, dei, bileta, får, fort, ståande, i, fred, i, den, gode, natu, ren, ., Så, til, slutt, ,, for, å, avslutte, :, Er, ein, av, den, typen, som, berre, vil, ta, bilete, av, sin, eigen, familie, ,, dei, aller, næraste, ,, og, ikkje, vil, ha, bilete, av, fuglar, eller, andre, dyreslag, utstilte, rundt, om, kring, i, naturen, ?, Då, kan, ein, trygt, halde, seg, litt, lenger, unna, dei, ver]",INTJ PRON AUX PRON PRON AUX NOUN PUNCT DET PROPN AUX X AUX VERB SCONJ PUNCT INTJ PUNCT SCONJ PROPN AUX VERB NOUN ADP PROPN CCONJ DET NOUN ADP ADP NOUN PUNCT CCONJ AUX VERB NOUN ADP X X PUNCT ADP PROPN NOUN CCONJ ADJ SCONJ PART VERB PROPN VERB ADP X NOUN PUNCT ADV AUX X ADV VERB ADP PRON ADJ PUNCT NOUN PUNCT PROPN NOUN CCONJ DET ADJ ADV PUNCT ADV SCONJ NOUN X NOUN ADP NOUN PUNCT CCONJ NOUN VERB SCONJ X X AUX VERB PRON ADJ ADV PUNCT CCONJ X X X PROPN ADP PRON DET PUNCT AUX ADJ VERB NUM NOUN PUNCT ADJ ADP ADV VERB X ADJ NOUN ADP ADJ NOUN PUNCT X PROPN VERB ADJ ADJ ADP NOUN ADP DET ADJ NOUN ADJ PUNCT ADV ADP NOUN PUNCT SCONJ PART VERB PUNCT AUX X ADP DET NOUN ADP ADV AUX VERB NOUN ADP PRON PROPN NOUN PUNCT NOUN ADV ADJ PUNCT CCONJ ADV AUX VERB NOUN ADP PROPN CCONJ DET NOUN VERB ADP ADP NOUN ADP NOUN PUNCT X X X ADJ X PRON ADJ ADJ SCONJ X X,0.041766109785202864,0.36542458808618566,186,838,0.6129032258064516,0.1941449882808
"[Ja, det, er, ingen, tvil, !, I, år, er, det, 70, år, siden, Biri, idrettslag, ble, stiftet, og, det, er, 100, år, siden, den, første, friidrettsøvelsen, ble, holdt, på, Biri, ., Lørdag, 5., juni, inviteres, alle, til, markering, av, jubileet, ., 
, Det, skriver, Per, Kristian, Tranberg, i, en, pressemelding, ., 
, Styret, i, IL, Biri, ,, som, består, av, Per, Kristian, Tranberg, ,, Tore, Fjeld, ,, Trond, Ødegård, og, Anne, Marie, Opsahl, ,, samt, hovedstyreleder, Roger, Moen, ,, har, hatt, god, hjelp, av, Arne, Brenden, ., Det, har, resultert, i, et, innholdsrikt, program, for, de, som, ønsker, å, benytte, anledningen, til, en, fin, markering, av, jubileet, ., 
, Det, blir, en, rekke, utstillinger, på, Biri, ungdomsskole, den, kvelden, og, det, åpnes, for, et, historisk, møte, mellom, ungdom, og, tidligere, friidrettsutøvere, ., Det, vil, også, bli, en, historisk, samling, på, idrettsplassen, der, alt, som, ligger, bak, Biri-idretten, vil, bli, samlet, og, vist, fram, ., 
, –, I, og, med, at, det, er, idrettens, år, og, en, markering, av, 70-årsjubileet, så]",INTJ PRON VERB DET NOUN PUNCT ADP NOUN AUX PRON NUM NOUN ADP PROPN NOUN AUX VERB CCONJ PRON AUX NUM NOUN SCONJ DET ADJ NOUN AUX VERB ADP PROPN PUNCT NOUN ADJ NOUN VERB PRON ADP NOUN ADP NOUN PUNCT SPACE PRON VERB PROPN PROPN PROPN ADP DET NOUN PUNCT SPACE NOUN ADP ADP PROPN PUNCT PRON VERB ADP PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT CCONJ NOUN PROPN PROPN PUNCT AUX VERB ADJ NOUN ADP PROPN PROPN PUNCT PRON AUX VERB ADP DET ADJ NOUN ADP PRON PRON VERB PART VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT SPACE PRON VERB DET NOUN NOUN ADP PROPN NOUN DET NOUN CCONJ PRON VERB ADP DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT PRON AUX ADV VERB DET ADJ NOUN ADP NOUN SCONJ PRON PRON VERB ADP NOUN AUX AUX VERB CCONJ VERB ADP PUNCT SPACE PUNCT ADP CCONJ ADP SCONJ PRON AUX NOUN NOUN CCONJ DET NOUN ADP NOUN VERB,0.05549263873159683,0.39314148681055205,170,883,0.5411764705882353,0.21383337160136043
"[Så, var, det, klart, for, å, få, besøk, ., Det, var, mange, biler, på, plass, og, vi, stilte, opp, alle, sammen, og, de, som, ønsket, fikk, tildelt, hver, sin, lapp, med, navn, og, nummer, ,, slik, at, vi, kunne, se, etter, hverandre, hvis, vi, treng, te, en, haiketur, ., 
, Alle, var, ikke, fullt, så, heldige, med, sine, lapper, ,, men, som, i, Norge, hadde, vi, ikke, regnet, med, bedre, vær, ,, så, vi, fikk, en, flott, dag, med, mye, moro, ., Mange, tok, seg, en, tur, på, stranden, og, en, gjeng, dro, inn, til, byen, og, handlet, mat, og, annet, de, trengte, ., 
, Tenk, ,, det, var, nesten, 20, grader, i, vannet, og, vi, fikk, skikkelig, «, feel, good-stemning, », ,, for, å, si, det, sånn, ., Ut, på, kvelden, da, kvelden, var, på, hell, ,, møtte, vi, opp, for, å, se, en, konsert, som, ble, arran, gert, av, en, kar, på, den, lokale, re, stauranten, i, Toscana, ., 
, Vi, dro, også, innom, en, li, ten, kirke, hvor, et, par, av, musi, kerne, fra, gruppen, som, sto, på, scenen, spilte, og, sang, ., 
, seg, å, haike, med, oss, ,, slik, at, vi, kunne]",ADV AUX PRON ADJ SCONJ PART VERB NOUN PUNCT PRON VERB ADJ NOUN ADP NOUN CCONJ PRON VERB ADP DET ADV CCONJ PRON PRON VERB AUX VERB DET PRON NOUN ADP NOUN CCONJ NOUN PUNCT ADV SCONJ PRON AUX VERB ADP PRON SCONJ PRON X X DET NOUN PUNCT SPACE PRON AUX PART ADJ ADV ADJ ADP PRON NOUN PUNCT CCONJ PRON ADP PROPN VERB PRON PART VERB ADP ADJ NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN ADP ADJ NOUN PUNCT ADJ VERB PRON DET NOUN ADP NOUN CCONJ DET NOUN VERB ADP ADP NOUN CCONJ VERB NOUN CCONJ DET PRON VERB PUNCT SPACE VERB PUNCT PRON AUX ADV NUM NOUN ADP NOUN CCONJ PRON VERB ADJ PUNCT X NOUN PUNCT PUNCT SCONJ PART VERB PRON ADV PUNCT ADP ADP NOUN SCONJ NOUN AUX SCONJ NOUN PUNCT VERB PRON ADP SCONJ PART VERB DET NOUN PRON VERB ADJ NOUN ADP DET NOUN ADP DET ADJ PROPN NOUN ADP PROPN PUNCT SPACE PRON VERB ADV ADP DET X X NOUN ADV DET NOUN ADP ADJ NOUN ADP NOUN PRON VERB ADP NOUN VERB CCONJ NOUN PUNCT SPACE PRON PART VERB ADP PRON PUNCT ADV SCONJ PRON VERB,0.04994054696789536,0.37290404040404146,197,841,0.6091370558375635,0.2505976351967196
"[Det, var, som, kjent, en, finsk, bilfører, som, kom, kjø, rende, på, E6, forbi, Svinesunds, tollen, og, videre, mot, Moss, i, går, som, ble, stoppet, på, Rygge, for, tolling, av, smuglervarer, ., I, bilen, fant, tollerne, 280, liter, øl, ,, 60, liter, brennevin, og, 7.600, sigaret, ter, ,, samt, noe, vin, og, tobakk, ., Det, er, ikke, opplyst, hvem, smugleren, er, fra, eller, hvil, ken, nasjonalitet, han, har, ., Vedkommende, må, nå, bela, ge, seg, på, en, noe, lengre, opp, holdstid, på, norsk, side, ,, siden, smuglingen, er, av, litt, størrel, sesorden, ., Bilen, ble, også, inn, hentet, av, politiet, og, det, ble, tatt, utvidet, blodprøve, ., De, uregelmessighetene, som, skjedde, under, kontrollen, i, går, ,, resulterte, i, at, to, norske, biler, ble, begjært, avskiltet, ., Videre, rykket, politiet, ut, å, stop, pet, en, svensk, bil, ved, Svine, sund, som, viste, seg, å, være, uregistrert, ., Vedkommende, ble, anmeldt, for, forholdet, .]",PRON AUX ADP ADJ DET ADJ NOUN PRON VERB VERB ADJ ADP PROPN ADP PROPN NOUN CCONJ ADJ ADP PROPN ADP NOUN PRON AUX VERB ADP PROPN ADP NOUN ADP NOUN PUNCT ADP NOUN VERB NOUN NUM NOUN NOUN PUNCT NUM NOUN NOUN CCONJ NUM NOUN PROPN PUNCT CCONJ DET NOUN CCONJ NOUN PUNCT PRON AUX PART VERB PRON NOUN AUX ADP CCONJ VERB NOUN NOUN PRON VERB PUNCT ADJ AUX ADV PROPN X PRON ADP DET PRON ADJ ADP NOUN ADP ADJ NOUN PUNCT SCONJ NOUN AUX ADP ADJ X NOUN PUNCT NOUN AUX ADV ADP VERB ADP NOUN CCONJ PRON AUX VERB VERB NOUN PUNCT DET NOUN PRON VERB ADP NOUN ADP NOUN PUNCT VERB SCONJ SCONJ NUM ADJ NOUN AUX VERB VERB PUNCT ADJ VERB NOUN ADP PART VERB NOUN DET ADJ NOUN ADP PROPN PROPN PRON VERB PRON PART AUX ADJ PUNCT ADJ AUX VERB ADP NOUN PUNCT,0.050761421319796954,0.3777807848443855,152,788,0.5131578947368421,0.11134093889577941
"[Det, er, ikkje, vanskeleg, å, skjøne, at, mange, av, dei, mest, utsette, kom, munane, i, Noreg, har, gått, til, det, uvanlege, steget, å, søkje, om, hjelp, frå, regjeringa, si, utvida, krisepakke, ,, sjølv, om, dei, allereie, ligg, under, grensa, for, det, ein, kan, kalle, for, «, skrapte, kommunar, », ., 
, Det, har, ikkje, mangla, på, åtvaringar, frå, fagrørsle-, og, arbeidarparti, hald, om, at, krisepakken, ikkje, kjem, til, å, berge, distrikts-, Noreg, ., Det, er, ikkje, rart, at, både, ordførarar, og, fagrørsle, folk, tek, til, orde, for, at, regjeringa, bør, ta, av, krisepakken, for, å, skaffe, pen, gar, til, arbeid, i, kommunar, med, store, arbeidsløyseproblem, ., Og, det, er, heller, ikkje, rart, at, fagrørsla, og, arbeidar, rørsla, står, samla, om, dette, ,, og, at, regjeringspartiet, Høgre, ikkje, ønskjer, å, hjelpe, arbeidarrørsla, over, kneika, i, offentleg, sektor, ved, å, pøse, inn, nye, milli, onar, til, den, skjerma, sektoren, ., 
, av, krisa, ,, i]",PRON AUX X X PART VERB SCONJ ADJ ADP DET ADJ ADJ VERB NOUN ADP PROPN AUX VERB ADP DET ADJ NOUN PART VERB ADP NOUN PROPN NOUN PRON VERB NOUN PUNCT NOUN ADP X NOUN VERB ADP NOUN ADP DET X AUX VERB ADP PUNCT PROPN PROPN PUNCT PUNCT SPACE PRON VERB X X ADP PROPN X NOUN CCONJ NOUN PROPN SCONJ SCONJ NOUN X VERB SCONJ PART VERB NOUN PROPN PUNCT PRON AUX ADV ADJ SCONJ CCONJ NOUN CCONJ ADJ NOUN NOUN ADP NOUN SCONJ SCONJ NOUN AUX VERB ADP NOUN SCONJ PART VERB ADJ X ADP NOUN ADP PROPN ADP ADJ NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ SCONJ PROPN CCONJ PROPN PROPN VERB ADV ADP PRON PUNCT CCONJ SCONJ NOUN PROPN X VERB PART VERB PROPN ADP NOUN ADP ADJ NOUN SCONJ PART VERB ADP ADJ NOUN PROPN ADP DET ADJ NOUN PUNCT SPACE ADP NOUN PUNCT ADP,0.041820418204182044,0.3785863874345553,153,813,0.5555555555555556,0.20444677319497873
"[Kor, mange, prosent, går, til, dei, med, høgare, utdanning, ?, 
, 5., Er, det, flest, menn, eller, kvinner, som, søkjer, jobb, ?, 
, Knut, :, Vi, skal, selje, aksjar, i, dag, ,, det, er, nok, ein, gong, eit, resultat, av, finanskrisa, ., Kanskje, vi, burde, kjøpe, aksjar, likevel, ?, 
, Elsa, :, Å, ,, ja, ,, vi, må, få, meir, til, å, spare, til, pensjonen, vår, !, Dessutan, må, du, kjøpe, aksjar, med, tanke, på, barna, dykkar, ,, ikkje, sant, ?, Eg, har, høyrt, om, fond, som, gir, utbytte, kvart, år, ,, og, derfor, ikkje, har, årlege, gebyr, i, det, hele, teke, ., Men, det, fondet, du, snakkar, om, her, ,, vil, gje, deg, både, årlege, gebyr, og, såre, fingrar, ,, og, det, er, vel, ikkje, nødvendig, om, vi, skal, spare, i, fond, berre, ein, gong, i, året, ?, Kvifor, spare, i, fond, i, det, heile, ,, om, du, berre, vil, late, det, stå, på, den, vanlege, bankkontoen, din, ?, 
, I, tillegg, er, det, viktig, å, lære, barna, gode, sparevanar, ., Det, er, sjølvsagt, at, vi, må, betale, skatt, av, rentene, vi, får, .]",ADV ADJ NOUN VERB ADP PROPN ADP PROPN NOUN PUNCT SPACE ADJ VERB PRON ADJ NOUN CCONJ NOUN PRON VERB NOUN PUNCT SPACE PROPN PUNCT PRON AUX X X ADP NOUN PUNCT PRON AUX ADV X X X NOUN ADP NOUN PUNCT ADV PRON AUX VERB ADJ ADV PUNCT SPACE PROPN PUNCT PART PUNCT INTJ PUNCT PRON AUX VERB PROPN SCONJ PART VERB ADP NOUN PRON PUNCT PROPN AUX PRON VERB NOUN ADP NOUN ADP NOUN X PUNCT X ADJ PUNCT PROPN X VERB ADP NOUN PRON VERB NOUN ADJ NOUN PUNCT CCONJ ADV X VERB ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ DET NOUN PRON VERB ADP ADV PUNCT AUX VERB PRON CCONJ ADJ NOUN CCONJ ADJ NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ SCONJ PRON AUX VERB ADP NOUN X X X ADP NOUN PUNCT ADV VERB ADP NOUN ADP DET ADJ PUNCT SCONJ PRON ADV AUX VERB PRON VERB ADP DET ADJ NOUN PRON PUNCT SPACE ADP NOUN AUX PRON ADJ PART VERB NOUN ADJ NOUN PUNCT PRON AUX ADV SCONJ PRON AUX VERB NOUN ADP NOUN PRON VERB PUNCT,0.04808877928483354,0.3995013123359575,185,811,0.5837837837837838,0.2559060308696102
"[Det, er, veldig, bra, at, Høyre, i, sitt, alternative, statsbudsjett, viser, hvordan, de, hadde, prioritert, dersom, de, styrte, landet, ., Selv, om, Høyre, legger, seg, litt, til, høyre, for, Frp, ,, er, det, en, del, som, er, gjenkjennelig, fra, Høy, res, programmer, ., Her, ser, man, hva, som, er, de, virkelige, forskjellene, mellom, partiene, ., FrP, har, siden, vi, kom, i, regjering, forsøkt, å, vise, at, handlingsrommet, i, budsjettet, er, annerledes, i, FrPs, regi, enn, i, den, rødgrønne, re, gjeringens, ., Det, virker, som, om, Høyre, bare, har, sett, på, tall, ,, uten, å, tenke, gjennom, at, de, også, har, sittet, på, makten, ., 
, en, har, vi, også, i, perioden, med, rød, grønn, regjering, foretatt, en, rekke, usosiale, kutt, ., Vi, har, gitt, folk, mer, valgfrihet, og, makt, over, egen, ar, beidsdag, ,, og, styrket, pasientenes, ret, tigheter, ., Høyre, er, mest, opptatt, av, skattekutt, til, dem, som, har, mest, fra, før, ., Dersom, Høyre, hadde, hatt, sty, ringsflertall, de, siste, 8, årene, ,, kunne, de, fortsatt, med, skattekutt, i, den, sam, me, skalaen, som, de, la, opp, til, ., På, den]",PRON AUX ADJ ADJ SCONJ PROPN ADP PRON ADJ NOUN VERB ADV PRON AUX VERB SCONJ PRON VERB NOUN PUNCT ADV SCONJ PROPN VERB PRON ADJ ADP NOUN ADP PROPN PUNCT VERB PRON DET NOUN PRON AUX ADJ ADP ADJ NOUN NOUN PUNCT ADV VERB PRON PRON PRON AUX DET ADJ NOUN ADP NOUN PUNCT PROPN AUX SCONJ PRON VERB ADP NOUN VERB PART VERB SCONJ NOUN ADP NOUN AUX ADJ ADP PROPN NOUN ADP ADP DET ADJ PROPN PROPN PUNCT PRON VERB SCONJ SCONJ PROPN ADV AUX VERB ADP NOUN PUNCT SCONJ PART VERB SCONJ SCONJ PRON ADV AUX VERB ADP NOUN PUNCT SPACE PRON VERB PRON ADV ADP NOUN ADP ADJ ADJ NOUN VERB DET NOUN ADJ NOUN PUNCT PRON AUX VERB NOUN ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN PUNCT CCONJ VERB NOUN PROPN NOUN PUNCT PROPN AUX ADJ ADJ ADP NOUN ADP PRON PRON VERB ADJ ADP ADP PUNCT SCONJ PROPN AUX VERB ADJ PROPN DET ADJ NUM NOUN PUNCT AUX PRON ADV ADP NOUN ADP DET X X NOUN PRON PRON VERB ADP ADP PUNCT ADP PRON,0.03683640303358613,0.3681235697940499,183,923,0.5901639344262295,0.13862207245288946
