prompt,generated_text,language
Men det var,"Men det var noe annet, en dyp avgrunn som skilte dem og la en dødlignende dysterhet over dem alle sammen. Tante Pauline var den eneste som ikke forsto hvorfor, hun som hadde levet seg så sterkt inn i livet på Kløverstad. Han var da hennes eget eneste barn. Det hadde hun vært helt siden hun og faren, Jonas, fant ham i et revehi. Hun elsket ham. Kjærligheten var like sterk som den hadde vært fra første stund. Det var hun som fant ham da hun tok hunden med seg inn på Kløverstad.
da hunden skulle kveles med et rep om halsen for at den ikke skulle jage sauene deres - en straff som var verre å bære enn å miste livet. Jonas følte den samme kjærligheten som hun gjorde for det nyfødte avkom met. Begge kjente den samme uro i seg for disse fire som ville være alene igjen der ute i ødemarka - de som ennå ikke hadde fått navn. Hun hadde gitt gutten navnet Mattis, men han var ennå så",nno
Det var ein,"Det var ein gong to ungar som budde i same hus. Ho heitte Ane, og ho likte å gå rundt i huset og berre sjå. - Eitt lite rom, og så stor plass, var mor til Ane sin kommentar. Sjølv måtte mor hennar og syte for at huset hadde det mest naudsynte.
På dagane drog Anesystera og mora hennar til butikken, og ungane sprang rundt og plukka bær og blomar mens mor ropa på dei. - Kva skal det der vere godt for???, spurde dei mora deira kvar gong dei såg ho kom. Ane tykte ho hadde det fantastisk godt. Eitt hus med berre ein hage, og utan ei stovedør med knirk. Ho gjekk rundt i huset og sa at eit slikt hus skulle ho ha når ho vart stor. Ein hage var bra, men ei stovedør med knirk hadde ho ikkje bruk for. Berre ein stovedør med knirk, det var for mykje arbeid",nno
Det var så,"Det var så mye å rekke av ting som skulle gjøres før vi var ferdige med alt arbeid, så det ble ikke så mye tid til å lese for meg. Men mamma leste mye høyt for meg, om nettene og på dagtid når jeg skulle sove. Og jeg likte å være med mamma på jobb. Der var det alltid veldig gøy å leke, enten med de voksne damene, med de kjekke arbeidskarene eller med dyrene.
En dag jeg skulle hente avisen, var hun spesielt opptatt av å vise meg noe. Dette bildet ble hun så fornøyd med at hun skrøt av det til alle i hele byen. Avisen var full av dette bildet, sa hun. Jeg skjønte ikke hvor det gikk an. At hun måtte be de andre arbeiderne på kaffe også. Og så sa hun at dette var et så sjeldent bilde, at de ville sende meg et avisutklipp slik at jeg kunne klippe det ut og henge det på veggen. Da måtte jeg spørre mamma hvor hun fikk hentet alt dette stoffet fra? Det var så mye spennende som skjedde på",nno
Ja det var,"Ja det var en gang at de tre herrer på bildet gikk sammen om a skape seg en arbeidsplass. Det er ikke alt som blir til på bestilling, - noen har så mange jern i ilden. Men disse tre har gjort det. De har funnet et hull i markedet. De har opparbeidet et eget marked for kvalitetsproduktet - og så har man kunnet tjene penger på det. Nå vil nok noen si at dette med kvalitet er gammelt nytt, men det er det langt fra. Produktene i seg seiv har også vært gode nok, de har hatt en god design, og de har vært funksjonelle. Forskjellen er bare at i denne historien så er det de som har utformet produktet som har vært produktet. Det er de som har skapt produktet som har vært skaperen.
Det at det ikke er noe som heter standardvarer eller varer på tilbud er også en viktig ting. De har hatt en unik produktfilosofi - ikke minst kan man vel si at det har vært en unik designfilosofi. De har sett at noen produkter har man i utgang",nno
Ja det er,"Ja det er vel egentlig bare å gratulere seg seiv og alle norske politikere, etter at man har funnet ut at en ny E18 gjennom Vestfold bør bygges med bom stasjon. Dette er ingen overras kelse at folk flest ikke ønsker å betale bompengeavgift på ny E18 gjennom Vestfold. Jeg har sagt det før:
ut og inn av Larvik.
negative holdninger fra både privat personer og næringslivet i Vestfold. Det kommer til å bli dyrere for oss som skal pendle nordover og sør over hele året. For familier som skal kjøre til og fra hyttene sine, så kommer det til å koste store penger å bruke hyttene så ofte man ønsker.
tilbakemelding - nå etter at en av oss har fått bommer utenfor stuedøra. Ja jeg tror faktisk at dette blir dyrere for folk flest.
ne få en bedre infrastruktur og sikrere veier, så er det helt på tryne at vi vanlige mennesker skal måtte betale en avgift som i prinsippet vil gå bort i det blå. Er dette hva vi kaller",nno
Så var det,"Så var det duket for dagens mest oppsiktsvekkende utspill. Han vil ha bort både det kommunale ølmonopolet og rusbrus. - Nå må vi bare komme oss ut av den kommunale øldvalen, tordnet han.
- Kommunen trenger ikke lenger ha noe med disse varene å gjøre, sa han. - Men det er jo slik at de som driver skjenkestedene og de som selger øl og vin i Porsgrunn bør få behol de konsesjonene og ølsortene. - Er det noen som trenger støtte så er det disse utsalgsstedene og bryggeri ene.
SKIEN En 31 år gammel mann har fått 5000 kroner i bot og inndratt førerkortet i seks måneder etter å ha kjørt i 118 km/t i 50-sone i Gulsetvei en i Skien 3. juni.
KRAGERØ En mann på 44 år er bøte lagt med 6 000 kroner for å ha knust en vindusrute i Kragerø sentrum. En 34 år gammel mann fra Kragerø må ut med",nno
Det var som,"Det var som vanlig mange blide fjes å se da koret i år hadde lagt opp til den tradisjonelle julefesten i Venneslahallen lørdag kveld.
Gunnar Aanesland, leder i koret var strålende fomøyd med re sponsen på festen. - Seiv om det var fullsatt kan man si at vi også i fjor hadde rundt 200 gjester. Den store opple velsen er at så godt som alle som kommer på festen sier at dette er et kjempebra tiltak, sa Aanes land til Vennesla Tidende, seiv ikke i sin villeste fantasi hadde han trodd at salen var så godt besatt. - Vi er fantastisk fomøyde med årets arrangement, og vil takke alle som har bidratt til suksessen. Jeg tror faktisk vi har fått en del nye medlemmer, og det må være et tegn på at dette er et kjem pearrangement som folk trives med å være med på. Og at vi også i år kan feire 40 år som kor, sier han videre.
Også korets dirigent, Ingrid Grø",nno
Det er ikkje,"Det er ikkje første gong dei to har samarbeidd musikalsk, mellom anna i duett i Vereide kyrkje saman med fleire av dei beste innan country og gospel i Europa då Melodi Grand Prix vart skipa.
– Det vart ein kjempekvelp som vart ein suksess. Vi gjekk aldri i null på den. Det vart ein braksuksess og det var veldig kjekt\! Det var utselde kyrkjer over alt, og over 100 millionar så det er ein bra kjendis på den plata, forklarar Kjetil. Han jobbar mykje åleine, men har etter kvart tre døtrer. Då kan han ikkje berre la musikken liggje og putre for seg sjølv, så då må han samarbeide med nokon, som han gjer med kona Kristin.
– Musikken betyr så mykje for deg, korleis orkar du å halde på?
– Eg tenker at du kan gjere kva du vil til kva tid du vil. Du har sjølv ansvar for ditt liv og ditt arbeid, så det er opp til oss å gjere det",nno
Kor mange prosent,"Kor mange prosent vert det gjort på nynorsk? - Det skal vere på mellom 25 og 36,9 prosent.
Eg tykkjer det er fint når det er i tråd med talemålet.
som det er i dag. Det er på deira side og vi er på deira, og så går det ut over norsken.
Kva for endringar har skjedd, og korleis har utviklinga vore på 20-30 år? - Når eg høyrer norsk på fjern synet, er språkbylgjene store når det gjeld bokmålsfolk til å gjere endringar. Difor er det viktig for oss å ta vare på nynorsken.
mune burde ligge under Språkrå det sine vedtekter om minimum 25 prosent nynorsk. - Det er ikkje noko urimeleg kra vet om å ha 25 prosent.
Kva er den viktigaste endringa i samfunnet, og kva konsekvensar får dette for språkbruk? - Det blir brukt meir engelsk i mange samanhengar, særleg innanfor teknologi. Det er naturleg at det veks fram eit nytt språk der fleire språk",nno
Det er veldig,"Det er veldig gledelig at den nye veien til Risør og Tvedestrand endelig er i ferd med å materialisere seg.
Det er også svært gledelig at nye Veier har prioritert ny vei til Risør. Det er et prosjekt de allerede har jobbet med i mer enn 20 år.
Og det er også gledelig at et nytt stort infrastrukturprosjekt ser dagens lys i vårt distrikt, og i samarbeid med kommunene som vil dra nytte av det, nemlig Tvedestrand og Risør.
Prosjektet vil ha stor betydning for vår region, og vil gjøre området mer attraktivt. Området kan da utvikles mer og da vil de store mulighetene realiseres.
Vi har et næringsliv som vil tjene på dette, men også innbyggerne og befolkningen generelt i vårt område vil nyte godt av dette. Risør vil få en kortere reisevei til Oslo, og Tvedestrand vil få kortere vei til Sørlandsparken og Brokelandsheia.
Vi står overfor et spennende byggeprosjekt, hvor store steinmasser skal knuses og brukes til samfunnsnyttige formål.",nno
Det er ein,"Det er ein spent leiar av 17.-maikomiteen, Linda H. Hantveit (17), Bøvågen på Holsnøy, som gjer seg klar til å ønskje heile Austrheim inn i finstasen. Ho har gått inn som leiar to veker før den store dagen, etter at fleire andre medlemmer trakk seg.
– Eg tenkte først nei. Eg har aldri vore leiar i komiteen før, og det er jo ein ganske stor jobb, seier ho i eit intervju med Avisa Nordhordland.
Men sjefsrolla har gitt meirsmak, og 17. mai-komiteen er med det blitt komplett, og Hantveit gler til det vidgjetne arrangementet. Det ho derimot ikkje ser så veldig fram til er å gå fremst i toget. Då må ho jo gjere noko ho eigentleg ikkje likar å gjere.
– Eg blir jo ei litt streng dame, seier ho og ler.
Kvar er det vaffelkonene kjem?
I ei tid der det er fokus på mobbing i skul",nno
Det er eit,"Det er eit variert liv i hagen til Gunvor Hopen Veka, som ligg på Leikanger ytst på nord sida av fjorden. Eit mangfald av frukt- og grønsaksdyrkarar, nokre med eigenproduserte po tetmarker, andre med blomster og grønsaker på friland.
Ho starta i det små med frukt, bær og grønsaker.
- I det store og heile har eg nok gått i fotspora til faren min, som var fruktdyrkar på Hauke set. Det er i grunnen han som har lært meg det aller meste, fortel ho.
- Men ikkje alt han har lært meg er like lett å få til her i Sogn?
- Nei, det kan vera krevjan de å få nye planter til å veksa her, men det er mange flinke folk kringom som eg kan spør ja om råd.
- Sju sorter er vel nok å halda styr på for ein vanleg hageeigar? - Ja, det kan vera litt for mange sortar å halda styr på, særleg når",nno
Det er viktig,"Det er viktig å være klar over at det er et krav at vedtektsfestete omsetningsoppgaver skal ligge til grunn under merverdiavgiftsmanntallet. Tilhørighet i manntallet gir bare en rett til at omsetningsoppgaver leveres og at inngående merverdiavgift registreres. Oppgavefritaket omfatter omsetning av helsetjenester og helserelaterte tjenester, inkludert tjenester utført i offentlige og private institusjoner og for øvrig virksomheter som har driftstilsagn fra helseforetakene. Oppgavefritaket omfatter også omsetning og utleie av fast eiendom, inkludert helsetjenester, herunder utleie av personell m.m. til blant annet fast eiendom og utleie av rom/villaer til beboere. Det er imidlertid gjort et unntak når det gjelder omsetning av helsetjenester som er omfattet av folketrygdloven kapittel 5. Dette er fordi enkelte deler av helsetjenesten ikke er omfattet av forskrift nr 1, slik som tannlege- og veterinærtjenester.",nno
Men det er,"Men det er bare småting med i denne betraktningen. Hovedpo enget er at han i det hele tatt ble kjent med denne personen. Det må være det helt avgjørende. En slik tanke ville da heller aldri vært tenkt av den som fikk vite om den fra Asbjørn. Og av dette skjønner man at hvis det er sant at Asbjørn fikk vite det av Klaus Rifbjerg, er det utelukket at han fikk vite det f ra en person i Klaus Rifbjergs bekjent skapskrets; for da ville Klaus i så fall med glede ha fortalt det til Asbjørn straks han hadde fått vite om dette - som en kjærkommen nyhet i den sammenheng. Det er ikke trolig at Klaus, for å komme en slik opplysning i forkjøpet - bevisst holdt tilbake for Asbjørn det han faktisk visste; dvs. i dette til fellet at den personen han visste det om - Klaus Rifbjerg - ble ut vist fra Norge fordi han hjalp en flyktning til å flykte (!) i",nno
Han fortel at,"Han fortel at han har vore til eit par behandlingar, men at det ikkje har vore så mykje endring i smertene. Ein gong i tida var dei verre enn no.
- Smertene er der dei alltid har vore, men dei pla ger nok ikkje meg like mykje som før. No er det nok slik at det vil bli betre med behandling for å bli kvitt smertene.
- Er du redd for å få dette igjen?
- Eg trur det er svært få som vil få det att. Eg ser lyst på det, og er ikkje redd for at det skal skje. Tankar som at det kanskje kunne kome igjen ein gong er så fjern for meg, seier han.
Akkurat no kjenner han godt til smertene, men han er nok lettare plaga enn andre i same situa sjon. Det å vere plaga med musklar i kroppen er nok ein god del meir enn normalt.
- Kva tid vil smertene bli redusert? - Det veit vi ikkje, det er umogleg å si. Dette vil nok ta to til fem",nno
Eg har ikkje,"Eg har ikkje gått etter nokon konkret stil-retning, eg har rett og slett ikkje vore så oppteken av det. Men eg les jo ein del bøker. I dei siste åra har eg helst lest ein og annan klassikar av Kafka, og no i sommar las eg ein del romanar som handlar om krig. Eg var veldig oppteken av romfart tidlegare, men det blir eg nok ikkje igjen. Men det er vanskeleg det der med stil. Det er ikkje slik at eg ser ned på visse sjangrar og så ser opp til andre. Eg veit ikkje i kva som er god og dårleg litteratur, men det er klart, det at mange forfattarar likar å skrive science fiction, betyr ikkje nødvendigvis at det er bra. Eg har sans for bøkene til Erlend Loe også, altså. Eg har lese dei alle, men eg les berre om att dersom eg må. I alle fall viss det handlar om ein hovudperson som ikkje er eit menneske. For at det skal bli bra med humor, må",nno
Det er mykje,"Det er mykje som tyder på at Jondal kjem til å søkja om vin ter-OL i 2026 for tredje gong. Jondal kommunestyre ved tok tysdag at dei er positive til å stilla seg bak søknaden til Jondal kommune. Det som skal til er at kommunestyret går inn for å gjennomføra ei formell handsaming av søknaden. Kommunestyret vedtok med 10 røyster å søkja om OL i 2026, og med ni røyster å søkja om 2028. Det vart også vedteke at ein på sikt ynskjer å sjå både 2026 og 2028 saman i ei søknad om dei to arrangementa. Saka går no vidare til kommunesty ret for endeleg handsaming. (©NPK).
Jondal skule har sendt ut invitasjon til alle elevane i kommunen. I slutten av mai blir det ope hus på skulen. - Me ynskjer alle elevane velkomne. Me ynskjer mange foreldre, sysken, be steforeldre, pensjonist",nno
Vi har ikkje,"Vi har ikkje lagt så stort i det med dette med det same — men no har visst mor hans gått så langt med dette som til doktoren at du bør sjå til han, sa Tore. — Det er visst på høg tid, sa Tørgjønn litt kvasst. — Du hadde sjølv bruk for ein doktor, Tore — her i vår, sa Gyda smilande.
Men no ser du ut slik at du kunne bli god å ha i huset dersom du og ville hjelpa oss som treng det, kviskra ho lågt — ho stod der i stutt stakk og med ei raud undertrøye over armen.
— Du kunne vel ikkje hjelpa meg på noko vis dersom du blir her? sa han litt brysk. — Eg tykkjer du sa du skulle på sætra i dag. — A, det spørs ikkje om sætra — du skal vel til Storlia og driva fram vinterveden? — Ja, det er det eg har tenkt. Det er ikkje berre det vi saknar her på Løland — vi",nno
Ei stund etter,"Ei stund etter fekk dei vita at det var for mykje vatn, men at dei måtte venta med å grava til vatnet hadde gått ned. Det var litt for seint, for då dei kom fram fann dei eit hol der som dei aldri hadde sett før. Ein heil kanal som gjekk innover i bakken. Eit lite stykke inne var det eit hol på ein halv meter i diameter. Dei byrja å grave innover.
seg. Så, då dei byrja å grave innover gjekk det hol på hol, og til slutt kom dei så langt at dei kunne sjå ut over heile dalen. Der var det ingen busetnad.
- Då kom ei dame gåande i mot oss, vi var heilt sikre på at det var ei hulder, men nei. Ho var eit heilt vanleg menneske og heitte Anna og hadde budd her i fire veker.
Hulder, troll og anna skrømt På vegen innover, gjekk dei forbi ein masse steinar som liknar store troll. Anna fortalde at det var slike ein fekk",nno
Hans og Knut,"Hans og Knut var ute på ein liten sykkeltur. Idet dei kom til ein stor bekk dei hadde lyst til å plaske i fekk Knut den lyse idéen at han ville kas te steinar i vatnet til Hans.
med steinar i vatnet slik at det blir ei bru. Vatnet var stille og blankt. Stei nane som Knut hadde fått ut av sykkel veska hoppa litt bortover. Knut kunne velje mellom ein stein av kvart slag. Steinane vart kasta. Til slutt landa alle på ein og same plass, - og der var det både trygt og godt. Då sa Knut: «Det er så mange steinar i vatnet. Kvar kan dei kome frå?
Kva skal vi bruke orda stein, vatn, bekk, bru, trygg og farleg til? Dette vert ein del av ordgåta, seier programleiaren Arne Grimstad.
I desse dagar er elevane på Sunnmøre Folkehøgskule på jakt etter gode ordgåter. Alle som kjem med",nno
Eg veit ikkje,"Eg veit ikkje korleis ting fun gerer i andre fylke, men i Roga land har det til nå vore slik at eit politisk parti har stått for den daglege kontakten med kommu nestyra, og det har gjort at den politiske sida i fylket har blitt så anonym. Det har nok vore ein fordel for dei fire kommunane at dei har hatt ei politisk leiing som har kome fram med sakene og prøvd å fremja dei på ein god måte og utan at det skulle ta for lang tid, seier fylkesord førar Arne Rettedal i ein kom mentar til «Haugesunds Avis» etter at partiet Høgre på kom munestyringsmøtet i Kvitsøy tysdag ikkje fekk fleirtal for sitt framlegg om å leggja ned kom munestyret og i staden innføre ei ordning slik me kjenner fra fylkestinget. Vi har sett at det kan bli gjort urett ved avrøystingar ved at partia har for sterke grupper, slik at det vert for vanskeleg for an dre. Ordninga",nno
No er det,"No er det på tide at ein av dei mest trafikkerte vegstrekningane på øya får fortau.
Far er ein mann som er glad i å fer dast i naturen og går mykje både til og frå jobb, skule, butikk og andre gjeremål. Han går kvar dag, og dei to siste åra har me begynt å merka den dårlege sikra vegbanen langs skulevegen til borna. Det går nesten ikkje an å komma forbi ein fotgjengar utan at det hamnar ein stein i hovudet på vedkommande. Det er også vanleg at fotgjengarar må gå i grøfta på grunn av manglande fortau.
Far har også tidlegare skrive om manglande sikring av vegbanen på Kattaland. Han var med å starta opp bygdelaget, og fekk nyss om at no skulle det vera folkemøte. Då han kom dit, såg han til si store over rasking at det skulle vera eit møte om saka. Dette møtet må ha vore ar rangert før møtet me skulle på",nno
Det var ei,"Det var ei tid i dette landet da den politiske agitatoren, med sine kvasse pennar, meir eller mindre direkte var det norske samfunnets fiende. I dette systemet var ein mann som Helge Seip både utskjelt og ut skjelt. Dei siste tiåra er det teke grep som medfører, meir enn andre, at den tradisjonelle venstresida gradvis har mista sin styrke og posisjon. Venstresida som gjennom historia har framstått som ein radikal, samlande og demokratisk opprørsfaktor som heile tida har vore i opposisjon er i dag i høg grad ein part i det etablerte politiske systemet. Det har medført at venstresi das rolle har blitt svekka på ein slik måte at enkelte meiner det kan vere på sin plass å snakke om venstresida sin «død». Ein seier i dag at venstresida sitt svar på desse utfordringane må vere å stå saman for å hindre at samfunnskreftene får ver keleg makt og at ein samstundes held på ide",nno
No var det,"No var det ikkje berre dei to nemnde som hadde fått med seg at noko stort var i gjære. Også ordførar Arne Vinje og råd mann Hans Kristian Lehmann var der for å helse bygdefolk vel komne til gards.
- Utan alle dei som har stilt opp på dugnad her hadde dette aldri gått. Eg veit det har vore jobba hardt for å få til dette her, og eg er også imponert over kva folk legg ned av tid i arbeidet. Utan dugnaden og eldsjelene bak hadde ingen kome nokon veg, sa ordføraren i sin op ningstale.
Ikkje mindre enn tre band har teke turen til Haukeli denne helga, med deira store satsing på sommarens konsert i Vest-Tele mark. Fredag braka det laus på Kroa i Åmot der gruppa Sugar lnd lokka med sin musikalske blan ding av pop, rock 'n' roll og soul. Laurdag var det Dreng Ose som var trekkplasteret",nno
Så var det,"Så var det å gå fra dør til dør å levere bibler igjen. Bøkene ble delt opp i to kolli og lagt av bak et eller annet sted i bygda. Jeg fant en ryggsekk jeg hadde glemt å levere noen gang, og i den lå det en pakke med åtte bind Bibelen: Det var det jeg kunne bidra med, og jeg sa noen ord om de verdier Bibelen hadde gitt meg.
Det viste seg at det var en jente på en av nabogårdene. Vi skrev en liten hilsen på Bibelen vi leverte og ble enige om å følge litt ekstra med på hverandre. Hun var vel den første som kom på døra mi siden den gang, og jeg tror også den siste.
Vi hadde bare bibler i huset. Jeg har også sett noen med fotobøker i, men dem er det lenge siden jeg så. Min far på 91 likte ikke slike bøker, men han var veldig interessert i historie. Så derfor brukte han bøkene som en slags reiseguide. Jeg så ingen bilder i dem, men det var godt å kunne peke på et bilde når vi",nno
Men best som,"Men best som det er, høyrer han hestetramp og folk som spring og kjem inn døri. Kjeften hans går med ein smell som ei kolskuffa, og han er like vaken i andlitet. Han har tenkt på noko slikt. — Og så ser dei han. Han står der med ein djevel i augo. Og dei kjem settande mot han. Eine skoen heng fast i leggen hans. Djevelen kjem til og skal dra skoen av han. Då tek han til og spring som ein elding, — men i det same kjem ein annan mann setjande på ski i fullt renn. No er det dei som skal takast. No gjeld det livet. Og dei spring! — Han tek det med ro, for han tenkjer seg til. Han ser han er ikkje åleine. Han tenkjer på far sin, han er ein framifrå skiløypar og kan kapprenn. Ein veit aldri kva han finn på. Og han har ei gamal mor som ikkje er klein",nno
