tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, er, blitt, slått, ned, ,, kan, han, heller, ikke, gi, —, bare, at, det, er, ham, som, gir, «, denne, beskjed, », ,, og, at, han, ikke, for, noen, pris, vil, utsette, seg, for, å, bli, slått, ned, av, et, eller, annet, politisk, «, vesen, », han, aldri, har, møtt, og, har, en, helt, annen, politisk, oppfatning, enn, dem, ., 
, Dette, er, bakgrunnen, for, en, sak, som, ble, innledet, i, byretten, i, Stavanger, torsdag, ., Et, par, dager, etter, at, Thorleif, Knutsen, hadde, lest, meld, ingen, i, avisen, ,, ble, han, overfalt, og, slått, ned, i, Stavanger, sentrum, ., Knutsen, ble, først, bragt, til, syke, hus, ,, i, neste, omgang, til, politiet, for, å, avgi, forklaring, ., Under, forhør, av, fire, menn, ble, Knut, sen, gjort, kjent, med, at, dette, var, en, sak, som, de, fire, skulle, for, ret, ten, for, ., Han, fikk, også, høre, at, det, var, en, annen, politisk, gruppe, han, var, gått, for, å, oppsøke, ., Han, fikk, høre, at, hans, «, feil, », var, «, å, være, av, det, rette, politiske, synet, », ., 
, at, de, fire, siktede, skulle, gi, en, skriftlig, erklæring, om, hvorfor, de, hadde, gått, til]",DET NOUN ADP NOUN PRON AUX AUX VERB ADP PUNCT AUX PRON ADV PART VERB PUNCT ADV SCONJ PRON AUX PRON PRON VERB PUNCT DET NOUN PUNCT PUNCT CCONJ SCONJ PRON PART ADP DET NOUN AUX VERB PRON SCONJ PART AUX VERB ADP ADP DET CCONJ DET ADJ PUNCT NOUN PUNCT PRON ADV AUX VERB CCONJ VERB DET ADJ DET ADJ NOUN ADP PRON PUNCT SPACE PRON AUX NOUN ADP DET NOUN PRON AUX VERB ADP NOUN ADP PROPN NOUN PUNCT DET NOUN NOUN SCONJ SCONJ PROPN PROPN AUX VERB NOUN PRON ADP NOUN PUNCT AUX PRON VERB CCONJ VERB ADP ADP PROPN NOUN PUNCT PROPN AUX ADV VERB ADP ADJ NOUN PUNCT ADP DET NOUN ADP NOUN SCONJ PART VERB NOUN PUNCT ADP NOUN ADP NUM NOUN AUX PROPN ADJ VERB ADJ SCONJ SCONJ PRON AUX DET NOUN PRON DET NUM VERB ADP PROPN PROPN ADP PUNCT PRON AUX ADV VERB SCONJ PRON AUX DET DET ADJ NOUN PRON AUX VERB SCONJ PART VERB PUNCT PRON AUX VERB SCONJ PRON PUNCT NOUN PUNCT AUX PUNCT PART AUX ADP DET ADJ ADJ NOUN PUNCT PUNCT SPACE SCONJ DET NUM NOUN AUX VERB DET ADJ NOUN ADP ADV PRON AUX VERB ADP,0.04225352112676056,0.3806407322654463,201,923,0.6218905472636815,0.27765597701297867
"[Men, så, banket, jomfru, Hansen, på, kirkedøren, ., Med, en, vred, liten, stemme, som, var, dobbelt, så, slem, som, den, burde, være, ,, spurte, jomfru, Hansen, om, ikke, hun, fikk, lov, å, komme, inn, ., Det, var, ingen, som, ba, henne, komme, ., Det, var, jo, også, så, langt, på, natt, ., Nei, ,, hun, fikk, ikke, komme, inn, i, stygge, kalde, kirken, ., Ikke, så, lenge, de, ville, holde, varmen, og, lyset, i, denne, avkrok, av, kirken, ., Hun, sto, utenfor, så, lenge, hun, hadde, lys, og, varme, til, å, tenne, og, slo, det, siden, ned, i, en, stake, ., 
, Jomfru, Hansen, sto, utenfor, og, tenkte, på, mangt, og, meget, ., Hun, var, en, from, og, gudfryktig, jomfru, og, kunne, ikke, begripe, hva, som, var, årsaken, til, dette, hervær, ., Stjele, lys, på, en, natt, ?, Det, kunne, ikke, være, mulig, ., Gud, i, himlen, hjelpe, henne, ., Hun, hadde, alltid, vært, så, snill, og, god, mot, alle, som, hadde, det, vondt, ,, uten, egen, vilje, ., For, denne, gang, ble, det, nok, lenge, til, hun, fikk, hjelp, om, ikke, hun, kom, til, å, tenke, på, enke]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT ADP DET VERB ADJ NOUN PRON AUX ADJ ADV ADJ PRON PRON AUX AUX PUNCT VERB PROPN PROPN SCONJ PART PRON VERB NOUN PART VERB ADP PUNCT PRON VERB PRON PRON VERB PRON VERB PUNCT PRON AUX ADV ADV ADV ADJ ADP NOUN PUNCT INTJ PUNCT PRON AUX PART VERB ADP ADP ADJ ADJ NOUN PUNCT PART ADV ADJ PRON AUX VERB NOUN CCONJ NOUN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADP ADV ADJ PRON VERB NOUN CCONJ NOUN SCONJ PART VERB CCONJ VERB PRON ADV ADP ADP DET NOUN PUNCT SPACE PROPN PROPN VERB ADP CCONJ VERB ADP ADJ CCONJ ADV PUNCT PRON AUX DET ADJ CCONJ ADJ NOUN CCONJ AUX PART VERB PRON PRON AUX NOUN ADP DET NOUN PUNCT VERB NOUN ADP DET NOUN PUNCT PRON AUX PART AUX ADJ PUNCT PROPN ADP NOUN VERB PRON PUNCT PRON AUX ADV AUX ADV ADJ CCONJ ADJ ADP PRON PRON VERB PRON ADJ PUNCT ADP DET NOUN PUNCT ADP DET NOUN VERB PRON ADV ADJ SCONJ PRON VERB NOUN SCONJ PART PRON VERB SCONJ PART VERB ADP NOUN,0.04460093896713615,0.38311332503113266,189,852,0.656084656084656,0.28015305309625355
"[Det, synspunkt, at, miljøskifte, og, miljøskifte, i, arbeidet, må, føre, til, ny, lærdom, ,, er, eit, sentralt, prinsipp, i, skule, verket, -, i, dag, kanskje, større, enn, nokon, gong, tidlegare, ., For, det, første, er, det, viktig, at, elevane, får, kjennskap, til, nye, miljø, og, fagområde, -, og, dernest, at, dei, får, høve, til, å, arbeide, med, dette, stoffet, i, nye, og, kanskje, uvante, samanhengar, ,, både, når, det, gjeld, metodar, og, lærestoff, ., Det, er, viktig, at, lærarar, tek, seg, tid, til, å, orientere, seg, på, nytt, ,, til, å, finne, nye, vegar, inn, i, stoffet, ,, og, ikkje, minst, :, til, å, arbeide, med, å, skape, metodar, som, høver, betre, til, vår, tids, faglege, standard, enn, dei, som, har, vore, vanlege, før, ., 
, Stord, lærarskule, har, arbeidd, med, dette, i, lang, tid, og, vonar, at, dette, forsøksopplegget, med, ein, tverrfagleg, komponent, vert, vidareført, ., Tilsvarande, opplegg, er, i, gang, ved, mange, andre, lærarhøgskular, ., Det, store, gjennombrotet, for, miljølære, i, lærarskulen, vil, vonleg]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN AUX VERB ADP ADJ NOUN PUNCT AUX DET ADJ NOUN ADP PROPN NOUN PUNCT ADP NOUN ADV ADJ ADP X X PROPN PUNCT ADP DET ADJ AUX PRON ADJ SCONJ NOUN VERB NOUN ADP ADJ NOUN CCONJ NOUN PUNCT CCONJ ADV SCONJ PROPN VERB NOUN SCONJ PART VERB ADP DET NOUN ADP ADJ CCONJ ADV ADJ NOUN PUNCT CCONJ SCONJ PRON NOUN NOUN CCONJ NOUN PUNCT PRON AUX ADJ SCONJ PROPN PROPN PRON NOUN SCONJ PART VERB PRON ADP ADJ PUNCT SCONJ PART VERB ADJ NOUN ADP ADP NOUN PUNCT CCONJ ADV ADJ PUNCT SCONJ PART VERB SCONJ PART VERB NOUN PRON VERB X ADP PRON NOUN X NOUN ADP PRON PRON AUX X X ADP PUNCT SPACE PROPN NOUN AUX VERB ADP PRON ADP ADJ NOUN CCONJ PROPN SCONJ PRON NOUN ADP PROPN PROPN X ADJ X PUNCT ADJ NOUN AUX ADP NOUN ADP ADJ DET NOUN PUNCT DET ADJ NOUN ADP NOUN ADP NOUN AUX NOUN,0.03881278538812785,0.3791293833131808,166,876,0.6325301204819277,0.275500300253724
"[Nei, sa, Beatrice, Bare, gå, videre, Du, kjenner, henne, ikke, igjen, Du, har, rett, ,, det, kommer, ikke, til, å, skje, Du, er, blitt, forrådt, På, tide, å, gå, videre, Jeg, var, aldri, hennes, beste, venn, Du, vet, hvordan, det, er, På, tide, å, gå, videre, Du, vet, jeg, var, aldri, den, virkelige, vennen, Du, var, sammen, med, alle, Og, du, vet, at, du, egentlig, forrådte, henne, Du, skulle, hørt, på, meg, Du, vet, at, jeg, aldri, vil, be, om, å, få, henne, igjen, Men, det, ville, være, feigt, av, deg, å, gå, Fra, henne, For, hun, betydde, så, mye, for, deg, Jeg, forrådte, henne, til, tross, for, hva, jeg, seiv, måtte, gjøre, Jeg, kom, inn, i, livet, hennes, på, et, galt, tidspunkt, Og, jeg, visste, hvordan, det, ville, fortsette, Min, del, i, livet, hennes, vil, alltid, være, en, hemmelighet, Vi, ble, aldri, venner, som, kunne, dele, samme, tanker, om, livet, I, stedet, så, vi, bare, på, hverandre, som, konkurrenter, Og, det, er, ingenting, en, venn, kan, gjøre, for, å, gjøre, en, annen, lykkelig, Uansett, så, vet, du, at, du, kan, stole, på, meg, Du, vet, at, jeg, alltid, vil, stå, ved, din, side, Det]",INTJ VERB PROPN ADV VERB ADJ PRON VERB PRON PART ADV PRON VERB ADJ PUNCT PRON VERB PART SCONJ PART VERB PRON AUX AUX VERB ADP NOUN PART VERB ADJ PRON AUX ADV PRON ADJ NOUN PRON VERB ADV PRON AUX ADP NOUN PART VERB ADJ PRON VERB PRON AUX ADV DET ADJ NOUN PRON AUX ADV ADP DET CCONJ PRON VERB SCONJ PRON ADJ VERB PRON PRON AUX VERB ADP PRON PRON VERB SCONJ PRON ADV AUX VERB SCONJ PART VERB PRON ADV CCONJ PRON AUX AUX ADJ ADP PRON PART VERB ADP PRON SCONJ PRON VERB ADV ADJ ADP PRON PRON VERB PRON SCONJ SCONJ SCONJ PRON PRON VERB AUX VERB PRON VERB ADP ADP NOUN PRON ADP DET ADJ NOUN CCONJ PRON VERB ADV PRON AUX VERB PRON NOUN ADP NOUN PRON AUX ADV AUX DET NOUN PRON VERB ADV NOUN PRON AUX VERB DET NOUN ADP NOUN ADP NOUN VERB PRON ADV ADP PRON SCONJ NOUN CCONJ PRON VERB PRON DET NOUN AUX VERB SCONJ PART VERB DET DET ADJ ADP ADV VERB PRON SCONJ PRON AUX VERB ADP PRON PRON VERB SCONJ PRON ADV AUX VERB ADP PRON NOUN PRON,0.040948275862068964,0.3609556313993173,195,928,0.7846153846153846,0.21887832581070063
"[For, 2, av, elevene, har, vi, ikke, funnet, deres, riktige, etternavn, ., De, har, derfor, fatt, egne, navn, ., 
, har, tatt, en, beslutning, som, er, helt, gal, og, med, fatale, følg, er, for, dem, ., De, blir, helt, uskyldig, revet, ut, av, en, trygg, og, god, sko, legang, de, er, i, gang, med, og, må, plutselig, begynne, på, sin, videre, gående, utdanning, ., De, har, kun, hatt, noen, få, måneder, på, å, prøve, seg, på, nytt, i, en, klasse, som, de, kjenner, fra, ungdomsskolen, ., Et, ter, få, dager, er, alle, fag, blitt, noe, de, knapt, forstår, ,, mens, de, kjen, ner, språket, og, kulturen, i, disse, fagene, ., Den, faglige, kunnskapen, er, ikke, tilstrekkelig, til, å, kunne, følge, med, i, resten, av, undervis, ningen, ,, som, er, mer, kompli, sert, og, går, i, et, altfor, sakte, tempo, ., 
, Vi, har, sett, hvordan, det, har, gått, med, flere, av, våre, elever, ., For, to, av, dem, har, vi, ikke, funn, et, deres, riktige, etternavn, ,, derfor, har, de, fått, egne, navn, :, Navn, :, Khaled, Navn, :, Khalid, .]",ADP NUM ADP NOUN AUX PRON PART VERB PRON ADJ NOUN PUNCT PRON VERB ADV VERB DET NOUN PUNCT SPACE AUX VERB DET NOUN PRON AUX ADJ ADJ CCONJ ADP ADJ NOUN AUX ADP PRON PUNCT PRON VERB ADJ ADJ VERB ADP ADP DET ADJ CCONJ ADJ NOUN ADV PRON AUX ADP NOUN ADP CCONJ AUX ADJ VERB ADP PRON ADJ ADJ NOUN PUNCT PRON AUX ADV VERB DET ADJ NOUN SCONJ PART VERB PRON ADP ADJ ADP DET NOUN PRON PRON VERB ADP NOUN PUNCT DET VERB ADJ NOUN AUX DET NOUN VERB PRON PRON ADJ VERB PUNCT SCONJ PRON NOUN PROPN NOUN CCONJ NOUN ADP DET NOUN PUNCT DET ADJ NOUN AUX PART ADJ SCONJ PART AUX VERB ADP ADP NOUN ADP VERB NOUN PUNCT PRON AUX ADJ NOUN VERB CCONJ VERB ADP DET ADV ADJ NOUN PUNCT SPACE PRON AUX VERB ADV PRON AUX VERB ADP ADJ ADP PRON NOUN PUNCT ADP NUM ADP PRON VERB PRON PART NOUN DET PRON ADJ NOUN PUNCT ADV AUX PRON VERB DET NOUN PUNCT NOUN PUNCT PROPN PROPN PUNCT PROPN PUNCT,0.04216867469879518,0.3634058898847629,181,830,0.6243093922651933,0.24853664258712801
"[Utover, høsten, 1987, vil, det, i, Bergen, by, på, den, reneste, valfart, for, å, skaffe, seg, bil, ligst, mulig, juletre, ., 
, gen, ., Vi, vil, helst, seige, en, del, trær, i, hele, lengder, ., Ellers, kan, vi, ikke, garantere, for, kvali, teten, ,, forklarer, salgssjef, Tor, Mjelde, ., Til, tider, vil, mellom, seks, og, åtte, medarbeidere, være, i, sving, for, å, seige, tre, til, de, rundt, 60, privatkundene, som, har, meldt, sin, ankomst, ., -, Vi, regner, med, å, seige, 1000, julenek, også, ., Nekene, har, vi, begynt, å, selge, allere, de, ., I, år, har, vi, med, oss, to, unge, gutter, som, skal, seige, jule, nekene, for, oss, ., Ellers, vil, jeg, oppfordre, folk, til, å, holde, seg, hjemme, ., Vi, selger, nemlig, treet, i, plastposer, ., Det, gir, størst, salgsutbytte, sier, Tor, Mjelde, ., -, Hvor, mye, regner, dere, å, seige, for, i, år, ?, -, En, drøy, halv, million, kroner, ., Det, er, omtrent, hva, vi, har, hatt, de, siste, par-tre, årene, ,, fortelter, salgssekretær, Anne, Berit, Bø, ., 
, til, at, det, blir, dyrere, enn, det]",ADP NOUN NUM AUX PRON ADP PROPN NOUN ADP DET ADJ NOUN SCONJ PART VERB PRON NOUN ADJ ADJ NOUN PUNCT SPACE NOUN PUNCT PRON AUX ADV ADJ DET NOUN NOUN ADP ADJ NOUN PUNCT ADV AUX PRON PART VERB ADP NOUN NOUN PUNCT VERB NOUN PROPN PROPN PUNCT ADP NOUN AUX ADP NUM CCONJ NUM NOUN VERB ADP NOUN SCONJ PART VERB NUM ADP DET ADP NUM NOUN PRON AUX VERB PRON NOUN PUNCT PUNCT PRON VERB SCONJ PART VERB NUM NOUN ADV PUNCT NOUN AUX PRON VERB PART VERB NOUN PRON PUNCT ADP NOUN AUX PRON ADP PRON NUM ADJ NOUN PRON AUX ADJ NOUN NOUN ADP PRON PUNCT ADV AUX PRON VERB NOUN SCONJ PART VERB PRON ADP PUNCT PRON VERB ADV NOUN ADP NOUN PUNCT PRON VERB ADJ NOUN VERB PROPN PROPN PUNCT PUNCT ADV ADJ VERB PRON PART VERB ADP ADP NOUN PUNCT PUNCT DET ADJ ADJ NOUN NOUN PUNCT PRON AUX ADV PRON PRON AUX VERB DET ADJ NOUN NOUN PUNCT PROPN PROPN PROPN PROPN PROPN PUNCT SPACE SCONJ SCONJ PRON VERB ADJ ADP PRON,0.05509964830011723,0.38206467661691496,181,853,0.5193370165745856,0.2929166557075198
"[Personell, og, organisering, av, sekretariatet, har, en, nøkkelrolle, i, å, skape, en, god, dialog, mellom, partene, i, arbeidslivet, ., Dette, må, ivaretas, og, utvikles, av, begge, parter, ., 
, avgjørende, for, gode, løsninger, ., 
, har, vi, en, unik, plattform, for, å, oppnå, gode, resultater, og, dermed, gi, flere, et, godt, møte, med, arbeidslivet, ., 
, opptatt, av, at, våre, kandidater, på, en, god, måte, blir, møtt, ,, kvalifisert, og, rekruttert, til, en, jobb, som, harmonerer, med, deres, ressurser, og, kompetanse, ., 
, som, kan, utvikles, ,, er, det, viktigste, vi, kan, gjøre, for, flere, inn, i, arbeidsli, vet, ., 
, som, må, være, i, fokus, ., 
, kan, de, gi, et, godt, supplement, til, arbeid, og, utdanning, ., I, tillegg, skal, det, være, en, arena, for, sosial, og, kulturell, nettverksbygging, ., Her, skapes, det, en, ny, arena, for, dialog, og, gjensidig, forståelse, ., Dette, er, en, investering, i, det, flerkul, turelle, Norge, ., Mangfold, som, verdi, har, fått, stort, fokus, i, samfunnsdebatten, det, siste, året, ., Det, må, være, plass, for, ulike, kulturelle, uttrykk, og, ulike, mater, å, leve, livet, på, ., Slik, gir, vi, også, grobunn, for, god, integrering, ., Det, er, bra, at]",NOUN CCONJ NOUN ADP NOUN VERB DET NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON AUX VERB CCONJ VERB ADP DET NOUN PUNCT SPACE ADJ ADP ADJ NOUN PUNCT SPACE VERB PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN CCONJ ADV VERB ADJ DET ADJ NOUN ADP NOUN PUNCT SPACE ADJ SCONJ SCONJ PRON NOUN ADP DET ADJ NOUN AUX VERB PUNCT ADJ CCONJ VERB ADP DET NOUN PRON VERB ADP PRON NOUN CCONJ NOUN PUNCT SPACE PRON AUX VERB PUNCT AUX DET ADJ PRON AUX VERB ADP ADJ ADP ADP NOUN VERB PUNCT SPACE PRON AUX VERB SCONJ NOUN PUNCT SPACE AUX PRON VERB DET ADJ NOUN ADP NOUN CCONJ NOUN PUNCT ADP NOUN AUX PRON AUX DET NOUN ADP ADJ CCONJ ADJ NOUN PUNCT ADV VERB PRON DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT PRON AUX DET NOUN ADP DET ADJ ADJ PROPN PUNCT NOUN SCONJ NOUN AUX VERB ADJ NOUN ADP NOUN DET ADJ NOUN PUNCT PRON AUX AUX NOUN ADP ADJ ADJ NOUN CCONJ ADJ NOUN PART VERB NOUN ADP PUNCT ADV VERB PRON ADV NOUN ADP ADJ NOUN PUNCT PRON AUX ADJ SCONJ,0.035,0.37652996845425757,196,1000,0.5612244897959183,0.2719810736680386
"[De, nevnte, artiklene, i, FN-rap, porten, har, et, felles, poeng, ,, nem, lig, at, en, viktig, drivkraft, i, utvik, lingen, av, økologisk, balanse, har, vært, avfolking, og, sentralisering, av, bosettingsmønsteret, ., Det, skal, også, sies, at, FN-rapporten, er, spe, kulativ, ., 
, kunne, ikke, ha, blitt, skrevet, om, utviklingen, i, Norden, ., For, her, har, det, ikke, foregått, hverken, sentralisering, eller, avfolking, ., Tvert, om, har, de, nordiske, land, ,, i, tillegg, til, land, i, Øst-Europa, ,, vært, foregangs, land, når, det, gjelder, å, bevare, miljø, og, ressurser, ., Denne, posisjo, nen, har, også, gitt, Norden, mulig, het, for, et, internasjonalt, miljø, ., Nordens, befolkningsmessige, sentrum, er, Nord-Jylland, ,, hvor, flere, land, har, sine, ambassader, i, dag, ., Dette, forteller, noe, om, et, tertraktelse, av, miljø, og, ressurser, ., Vi, bør, også, ta, med, at, det, er, i, gang, en, del, eksport, av, nordiske, miljøgods, til, utlandet, ., I, den, forbindelse, bør, nevnes, at, det, ikke, er, mange, år, siden, at, den, kjente, forfatteren, Thor, Heyer, dahl, uttrykte, seg, slik, :, «, Jeg, har]",DET VERB NOUN ADP PROPN NOUN VERB DET ADJ NOUN PUNCT X X SCONJ DET ADJ NOUN ADP PROPN NOUN ADP ADJ NOUN AUX AUX NOUN CCONJ NOUN ADP NOUN PUNCT PRON AUX ADV VERB SCONJ NOUN AUX X NOUN PUNCT SPACE AUX PART AUX AUX VERB ADP NOUN ADP PROPN PUNCT CCONJ ADV AUX PRON PART VERB CCONJ NOUN CCONJ NOUN PUNCT ADV ADP VERB DET ADJ NOUN PUNCT ADP NOUN ADP NOUN ADP PROPN PUNCT AUX NOUN NOUN SCONJ PRON VERB PART VERB NOUN CCONJ NOUN PUNCT DET NOUN NOUN AUX ADV VERB PROPN ADJ VERB ADP DET ADJ NOUN PUNCT PROPN ADJ NOUN AUX PROPN PUNCT ADV ADJ NOUN VERB PRON NOUN ADP NOUN PUNCT PRON VERB PRON ADP DET NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB SCONJ SCONJ PRON AUX ADP NOUN DET NOUN NOUN ADP ADJ NOUN ADP NOUN PUNCT ADP DET NOUN AUX VERB SCONJ PRON PART AUX ADJ NOUN ADV SCONJ DET ADJ NOUN PROPN PROPN PROPN VERB PRON ADV PUNCT PUNCT PRON VERB,0.04371002132196162,0.38346456692913283,174,938,0.5287356321839081,0.28593320700988384
"[Bør, minimum, være, 10, av, 15, kommuner, I, brevet, påpeker, Fet-ordfører, Lisbet, Lofthus, Gabrielsen, at, det, etter, hennes, oppfatning, ikke, er, grunnlag, for, tvang, dersom, flertallet, av, kommunestyrene, i, en, kommune, er, imot, sammenslåing, ., -, Dersom, det, blir, sammenslå, ing, tror, jeg, ikke, minst, at, det, vil, være, avgj, ørende, hvor, store, for, deler, kommunene, vil, oppnå, -, både, i, kroner, og, øre, ,, men, også, andre, fordeler, ., Avstand, til, kommunesenter, og, tilgang, på, administrative, og, politiske, ressurser, vil, være, viktig, ,, sier, Fet-ordføreren, ., 
, minimum, være, 15, av, 15, kommu, ner, for, at, tvang, kan, bli, aktuelt, ,, mener, hun, ., 
, En, sammenslåing, innebærer, at, Fet, frivillig, tar, hele, regningen, på, totalt, 1,9, millioner, kroner, ., 
, -, Ved, frivillig, sammenslåing, vil, regjeringen, overføre, fem, milli, oner, kroner, av, engangskostna, dene, fra, staten, til, kommunene, ., Men, det, er, på, ingen, måte, nok, penger, for, å, skape, en, moderne, og, attraktiv, kommune, .]",AUX NOUN AUX NUM ADP NUM NOUN ADP NOUN VERB NOUN PROPN PROPN PROPN SCONJ PRON ADP PRON NOUN PART AUX NOUN ADP NOUN SCONJ NOUN ADP NOUN ADP DET NOUN AUX ADP NOUN PUNCT PUNCT SCONJ PRON AUX NOUN NOUN VERB PRON PART ADJ SCONJ PRON AUX AUX ADJ ADJ ADV ADJ ADP NOUN NOUN AUX VERB PUNCT CCONJ ADP NOUN CCONJ NOUN PUNCT CCONJ ADV DET NOUN PUNCT NOUN ADP NOUN CCONJ NOUN ADP ADJ CCONJ ADJ NOUN AUX AUX ADJ PUNCT VERB NOUN PUNCT SPACE NOUN AUX NUM ADP NUM NOUN PROPN SCONJ SCONJ NOUN AUX VERB ADJ PUNCT VERB PRON PUNCT SPACE DET NOUN VERB SCONJ PROPN ADJ VERB ADJ NOUN ADP ADJ NUM NOUN NOUN PUNCT SPACE PUNCT ADP ADJ NOUN AUX PROPN VERB NUM NOUN NOUN NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX ADP DET NOUN ADV NOUN SCONJ PART VERB DET ADJ CCONJ ADJ NOUN PUNCT,0.04903078677309008,0.3799758454106272,158,877,0.47468354430379744,0.20117757372210962
"[Artikkel, 3, tar, opp, Kommisjonens, arbeid, med, å, revidere, hvitboken, av, 1987, og, inneholder, tre, vedlegg, som, har, betydning, ved, tolkningen, av, hvitboken, ., 
, Artikkel, 4, gir, en, oversikt, over, Kommisjonens, øvrige, publikasjoner, om, hvitboken, ., 
, -, Hvitbok, om, økonomisk, integrasjon, ,, 1989., 
, integrasjon, av, 1992., 
, Artikkel, 6, angir, Kommisjonens, arbeid, med, å, kartlegge, de, direkte, bedriftsbetingede, kostnadene, forårsaket, av, offentlige, aktiviteter, i, medlemslandene, ., 
, omkostninger, og, de, direkte, bedriftsbetingede, kostnadene, i, hele, Fellesskapet, ., 
, om, de, direkte, bedriftsbetingede, kostnadene, i, hele, Fellesskapet, ., 
, For, en, fremstilling, av, de, forskjellige, direktivene, i, hvitboken, vises, til, Vedlegg, 2, i, Hvitboken, av, 1988, om, Hvitboken, om, sysselsetting, og, erverv, av, arbeid, ., 
, Kommisjonens, arbeid, med, de, forskjellige, sysselsettingsdirektivene, er, inntatt, i, Vedlegg, 3., 
, Hvitbok, for, gjennomføringen, av, det, interne, marked, ., Om, å, fremme, bedre, forvaltning, som, et, ledd, i, det, økonomiske, og, sosiale, fellesskap, ., 
, Hvitboka, understreker, betydningen, av, å, fjerne, de, gjenværende, barrierene, for, handelen]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB NOUN ADP NUM CCONJ VERB NUM NOUN PRON VERB NOUN ADP NOUN ADP NOUN PUNCT SPACE NOUN NUM VERB DET NOUN ADP PROPN ADJ NOUN ADP NOUN PUNCT SPACE PUNCT PROPN ADP ADJ NOUN PUNCT PROPN SPACE NOUN ADP NUM SPACE NOUN NUM VERB PROPN NOUN SCONJ PART VERB DET ADJ ADJ NOUN VERB ADP ADJ NOUN ADP NOUN PUNCT SPACE NOUN CCONJ DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT SPACE SCONJ DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT SPACE ADP DET NOUN ADP DET ADJ NOUN ADP NOUN VERB ADP NOUN NUM ADP PROPN ADP NUM ADP PROPN ADP NOUN CCONJ NOUN ADP NOUN PUNCT SPACE NOUN NOUN ADP DET ADJ NOUN AUX VERB ADP NOUN ADJ SPACE NOUN ADP NOUN ADP DET ADJ NOUN PUNCT SCONJ PART VERB ADJ NOUN SCONJ DET NOUN ADP DET ADJ CCONJ ADJ NOUN PUNCT SPACE PROPN VERB NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN,0.041425818882466284,0.3865722952477239,165,1038,0.3878787878787879,0.10667242641072049
