tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, et, annet, ansikt, han, likte, å, se, :, Hans, datter, som, satt, og, lekte, på, gulvet, ,, liten, og, lyshåret, og, med, øyne, blå, som, himmelen, om, våren, ., 
, Tanker, kom, til, ham, ., Lengsler, ., Men, så, hadde, han, begynt, å, tenke, på, de, gamle, :, på, dem, han, hadde, levd, som, ung, mann, i, fjelldalen, ., 
, Men, hva, hadde, de, gjort, når, livet, gikk, i, stykker, for, dem, ?, 
, «, Tilgi, meg, !, », sa, han, opp, mot, Vår, Herres, mektige, himmel, :, «, For, jeg, har, syndet, !, 
, Han, fant, sin, lille, datter, sittende, med, noen, gamle, tøystykker, som, ble, helt, underlige, til, slutt, da, de, fikk, tråd, og, nål, mellom, hendene, ., Til, slutt, var, det, liksom, et, lite, menneske, ,, bare, hun, fikk, tråd, ,, og, tråd, gikk, det, godt, an, å, ta, av, ., Så, laget, hun, en, kjole, med, blonder, og, band, i, alle, regnbuens, farver, ., Og, under, arbeidet, sang, hun, :, 
, Og, hun, tenkte, på, engene, utenfor, stuedøra, ., På, de, saftige, gressgangene, der, små, lam, og, kal, ver, løp, ut, og, inn]",CCONJ PRON AUX DET DET NOUN PRON VERB PART VERB PUNCT PRON NOUN PRON VERB CCONJ VERB ADP NOUN PUNCT ADJ CCONJ NOUN CCONJ ADP NOUN ADJ ADP NOUN ADP NOUN PUNCT SPACE NOUN VERB ADP PRON PUNCT NOUN PUNCT CCONJ ADV AUX PRON VERB PART VERB ADP DET ADJ PUNCT ADP PRON PRON AUX VERB SCONJ ADJ NOUN ADP NOUN PUNCT SPACE CCONJ PRON AUX PRON VERB SCONJ NOUN VERB ADP NOUN ADP PRON PUNCT SPACE PUNCT VERB PRON PUNCT PUNCT VERB PRON ADP ADP PRON PROPN ADJ NOUN PUNCT PUNCT CCONJ PRON AUX VERB PUNCT SPACE PRON VERB PRON ADJ NOUN ADJ ADP DET ADJ NOUN PRON VERB ADJ ADJ ADP NOUN SCONJ PRON VERB NOUN CCONJ NOUN SCONJ NOUN PUNCT ADP NOUN AUX PRON ADV DET ADJ NOUN PUNCT ADV PRON VERB NOUN PUNCT CCONJ NOUN VERB PRON ADJ ADV PART VERB ADP PUNCT ADV VERB PRON DET NOUN ADP NOUN CCONJ NOUN ADP DET NOUN NOUN PUNCT CCONJ ADP NOUN VERB PRON PUNCT SPACE CCONJ PRON VERB ADP NOUN ADP NOUN PUNCT ADP DET ADJ NOUN SCONJ ADJ NOUN CCONJ NOUN X VERB ADP CCONJ ADP,0.04945717732207479,0.39115384615384546,190,829,0.5842105263157895,0.286173537713657
"[Det, var, ein, solskinsdag, midtvetters, ., Det, høyrde, eg, far, min, nemnde, for, mor, ei, tid, før, vi, skulde, ro, til, handelsmannen, og, handla, ., —, Vi, lyt, vera, med, båe, i, dag, ,, heldt, han, fram, ., —, Det, er, best, å, vera, to, mann, når, ein, skal, kjøpa, i, korga, med, seg, ., —, Det, er, slik, ein, underleg, vér-dag, ,, sa, han, så, ., —, Det, er, ikkie, nokon, vind, ,, utan, når, han, blæs, berre, retteleg, tungt, ., —, Ja, ja, ,, —, slik, fortalde, mor, det, ., Eg, høyrde, ho, sa, det, med, far, ,, just, som, det, var, ho, som, skulde, vera, mann, på, båten, ., Far, var, heller, ikkje, av, dei, som, berre, bruka, årane, ., —, Det, er, slik, ein, underleg, vér-dag, ,, sa, han, så, ., —, Underleg, ,, det, visste, eg, vel, ,, det, var, ikkje, så, underleg, det, ., —, Underleg, er, det, véret, ,, sa, eg., —, Å, ja, ,, —, underleg, er, det, med, det, ., —, Underleg, er, det, å, vera, til]",PRON AUX X NOUN NOUN PUNCT PRON X X NOUN PRON NOUN ADP NOUN DET NOUN SCONJ PRON VERB NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT PRON X VERB X ADJ ADP NOUN PUNCT VERB PRON ADP PUNCT PUNCT PRON AUX ADJ PART VERB NUM NOUN SCONJ PROPN AUX VERB ADP PROPN ADP PRON PUNCT PUNCT PRON AUX ADV ADJ PROPN NOUN PUNCT VERB PRON ADV PUNCT PUNCT PRON AUX X X X PUNCT PROPN SCONJ PRON PROPN X NOUN ADJ PUNCT PUNCT INTJ INTJ PUNCT PUNCT ADV ADJ NOUN PRON PUNCT X X X VERB PRON ADP NOUN PUNCT ADJ PRON PRON AUX PRON ADP X X PROPN ADP NOUN PUNCT NOUN AUX ADV X ADP NOUN X X X X PUNCT PUNCT PRON AUX ADV ADJ PROPN NOUN PUNCT VERB PRON ADV PUNCT PUNCT NOUN PUNCT PRON VERB PRON ADV PUNCT PRON VERB ADV ADV NOUN PRON PUNCT PUNCT NOUN AUX PRON ADJ PUNCT VERB ADV PUNCT INTJ INTJ PUNCT PUNCT NOUN AUX PRON ADP PRON PUNCT PUNCT NOUN AUX PRON PART VERB ADP,0.05138888888888889,0.4002086438152007,176,720,0.5625,0.3783036944145461
"[Det, var, så, mange, andre, viktige, ting, som, tok, kraften, fra, henne, ,, ting, som, krevde, og, tvang, og, stjal, tid, og, tanker, ., Det, var, en, ustanselig, strøm, av, pasienter, på, hospitalet, ,, og, hun, var, den, eneste, kvinnelige, legen, ., Men, det, kunne, ikke, overskygge, det, faktum, at, hun, var, på, rask, vei, til, å, bli, en, berømt, lege, og, en, berømt, kvinne, ., Hun, kunne, ikke, gjøre, noe, med, noen, av, disse, tingene, ,, men, hun, kunne, så, absolutt, kontrollere, dem, hvis, hun, bare, gad, anstrenge, seg, litt, ., Det, var, som, å, seile, over, ukjent, hav, hele, livet, og, en, gang, iblant, prøve, det, nye, landet, som, dukket, opp, ,, men, ofte, ble, det, for, varmt, ved, ekvator, og, andre, ganger, for, kaldt, ,, så, gikk, man, kanskje, glipp, av, den, ene, muligheten, ., Det, fikk, vente, til, senere, ,, for, som, hun, alltid, sa, ,, det, var, noe, som, ikke, kunne, vente, ,, og, det, var, livet, seiv, ., Og, på, en, måte, var, det, hun, som, hadde, skylden, for, at, de, var, der, i, Bitter, Water, alle, sammen, ., Hun, følte, at, det, var, noe]",PRON VERB ADV ADJ DET ADJ NOUN PRON VERB NOUN ADP PRON PUNCT NOUN PRON VERB CCONJ VERB CCONJ VERB NOUN CCONJ NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX DET NUM ADJ NOUN PUNCT CCONJ PRON AUX PART VERB DET NOUN SCONJ PRON AUX ADP ADJ NOUN SCONJ PART VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PRON AUX PART VERB PRON ADP DET ADP DET NOUN PUNCT CCONJ PRON AUX ADV ADJ VERB PRON SCONJ PRON ADV AUX VERB PRON ADJ PUNCT PRON AUX ADP PART VERB ADP ADJ NOUN ADJ NOUN CCONJ DET NOUN ADP VERB DET ADJ NOUN PRON VERB ADP PUNCT CCONJ ADJ VERB PRON ADV ADJ ADP NOUN CCONJ DET NOUN ADV ADJ PUNCT ADV VERB PRON ADV NOUN ADP DET NUM NOUN PUNCT PRON AUX VERB ADP ADJ PUNCT CCONJ PRON PRON ADV VERB PUNCT PRON VERB PRON PRON PART AUX VERB PUNCT CCONJ PRON AUX NOUN VERB PUNCT CCONJ ADP DET NOUN AUX PRON PRON PRON VERB NOUN SCONJ SCONJ PRON AUX ADV ADP PROPN PROPN PRON ADV PUNCT PRON VERB SCONJ PRON VERB PRON,0.036036036036036036,0.36836710369487574,191,888,0.6649214659685864,0.4421898900693655
"[Ja, det, var, vel, ikke, så, meget, at, det, kunde, være, noe, større, å, snakke, om, ,, han, så, ikke, synderlig, rar, ut, med, det, gule, håret, og, den, røde, og, blåflekkete, ansiktshuden, ,, men, for, henne, som, lå, hjemme, i, sengen, var, en, slik, mann, alltid, som, en, fremmed, ,, en, underlig, noe, som, likesom, ikke, hadde, noe, å, gjøre, med, henne, og, hennes, verden, ., Han, gikk, vel, der, og, kjedet, sig, og, var, utilfreds, ,, han, som, andre, mannfolk, ,, han, var, vel, ikke, fornoid, med, livet, av, en, eller, annen, grunn, ., Fordi, hun, trengte, noget, annet, og, mere, kunde, hun, ikke, vite, alltid, hvad, det, var, ,, hun, kunde, ikke, forklare, det, for, sig, seiv, ., Men, en, ting, var, hun, viss, på, og, det, var, at, han, ikke, var, tilfreds, ., 
, Nei, så, lenge, hun, kunde, minnes, hadde, hun, visst, at, det, ikke, var, lett, å, være, mann, ., Det, var, som, hun, så, å, si, hadde, hatt, det, på, fornemmelsen, fra, hun, kunde, huske, ,, det, var, som, noget, hun, hadde, ant, og, visst, fra, hun, var, ganske, liten, ., Men, det, gjorde, vel, en, viss]",INTJ PRON AUX ADV PART ADV ADV SCONJ PRON NOUN AUX DET ADJ PART VERB ADP PUNCT PRON VERB PART ADJ ADJ ADP ADP DET ADJ NOUN CCONJ DET ADJ CCONJ ADJ NOUN PUNCT CCONJ ADP PRON PRON VERB ADP ADP NOUN AUX DET DET NOUN ADV SCONJ DET ADJ PUNCT DET ADJ PRON PRON PRON PART VERB PRON PART VERB ADP PRON CCONJ PRON NOUN PUNCT PRON VERB ADV ADV CCONJ VERB ADV CCONJ AUX ADJ PUNCT PRON ADP DET NOUN PUNCT PRON AUX ADV PART NOUN ADP NOUN ADP DET CCONJ DET NOUN PUNCT SCONJ PRON VERB PROPN DET CCONJ ADJ NOUN PRON PART VERB ADV PROPN PRON AUX PUNCT PRON NOUN PART VERB PRON ADP X NOUN PUNCT CCONJ DET NOUN AUX PRON ADJ ADP CCONJ PRON AUX SCONJ PRON PART AUX ADJ PUNCT SPACE INTJ ADV ADJ PRON NOUN VERB AUX PRON VERB SCONJ PRON PART AUX ADJ PART AUX NOUN PUNCT PRON AUX PRON PRON VERB PART VERB AUX VERB PRON ADP NOUN ADP PRON NOUN VERB PUNCT PRON AUX SCONJ PROPN PRON VERB ADJ CCONJ ADJ SCONJ PRON AUX ADV ADJ PUNCT CCONJ PRON VERB ADV DET ADJ,0.038461538461538464,0.35712574850299367,194,884,0.711340206185567,0.4201675091942941
"[Ja, det, er, det, at, jeg, ikke, får, sove, noen, ta, netterne, for, jeg, hører, sånn, sus, i, lufta, ., Jeg, er, redd, at, det, er, skire, forgjorelsen, ., Det, er, likesom, no, rart, ute, om, natta, ., Jeg, ligg, og, lyer, og, lyer, ,, men, jeg, har, inte, no, jeg, kan, hore, med, —, som, jeg, veit, om, ., 
, «, Hørte, Di, no, om, natta, ?, 
, «, Men, inte, har, jeg, hørt, slikt, som, det, er, no, slags, skire, leven, inne, i, lufta, ., 
, «, A, langt, fra, !, For, det, er, skire, skrymtet, ., 
, «, Jo, ,, inatt, var, det, ,, ellers, har, jeg, aldri, hort, det, ., Men, vi, kan, nå, prøve, —, så, kanske, vi, hører, ,, om, det, er, så, jeg, sier, ., », De, prøvde, en, lang, stund, ,, men, de, hørte, hverken, noe, eller, noen, ., 
, Da, måtte, Anne, tro, det, allikevel, at, det, var, styggen, sjøl, som, hadde, skapt, seg, om, for, å, erte, henne, ., Hun, fikk, tårer, i, øinene, ,, og, hun, gråt, ., 
, «, Han, var, så, fæl, ,, somme, tider, ,, at, jeg, trudde]",INTJ PRON AUX PRON SCONJ PRON PART AUX VERB PRON VERB NOUN SCONJ PRON VERB ADV ADJ ADP NOUN PUNCT PRON AUX ADJ SCONJ PRON AUX NOUN NOUN PUNCT PRON AUX ADP X ADJ ADP ADP NOUN PUNCT PRON VERB CCONJ NOUN CCONJ NOUN PUNCT CCONJ PRON VERB X X PRON AUX VERB ADP PUNCT PRON PRON VERB ADP PUNCT SPACE PUNCT VERB PROPN X ADP NOUN PUNCT SPACE PUNCT CCONJ NOUN AUX PRON VERB PRON PRON PRON AUX X X NOUN NOUN ADP ADP NOUN PUNCT SPACE PUNCT PROPN ADJ ADP PUNCT CCONJ PRON AUX NOUN ADJ PUNCT SPACE PUNCT INTJ PUNCT ADJ AUX PRON PUNCT ADV AUX PRON ADV VERB PRON PUNCT CCONJ PRON AUX ADV VERB PUNCT ADV ADJ PRON VERB PUNCT SCONJ PRON AUX SCONJ PRON VERB PUNCT PUNCT PRON VERB DET ADJ NOUN PUNCT CCONJ PRON VERB CCONJ PRON CCONJ PRON PUNCT SPACE ADV AUX PROPN VERB PRON ADV SCONJ PRON AUX NOUN ADV PRON AUX VERB PRON SCONJ SCONJ PART VERB PRON PUNCT PRON VERB NOUN ADP NOUN PUNCT CCONJ PRON VERB PUNCT SPACE PUNCT PRON AUX ADV ADJ PUNCT ADJ NOUN PUNCT SCONJ PRON VERB,0.05128205128205128,0.39604046242774665,192,741,0.5677083333333334,0.36628521231790906
"[Så, var, det, noen, som, ropte, opp, :, «, Rød, !, Flagget, på, Rød, !, Still, opp, !, 
, Med, oppbydelse, av, sine, siste, krefter, og, en, god, porsjon, flaks, var, jeg, den, siste, ombord, på, Arangi, som, kom, meg, til, unnsetning, ., Stående, på, akterdekket, lente, jeg, meg, mot, rekken, og, forsøkte, å, få, en, rask, slutt, på, lidelsene, ., Jeg, kjente, hvordan, de, siste, kreftene, mine, svant, ., 
, Det, siste, jeg, husker, er, et, rop, fra, matrosen, som, hadde, ført, Arangi, inn, mot, stranden, ., «, Hundre, dollar, for, en, hvit, mann, !, Pengeutpressing, !, 
, I, samme, øyeblikk, smalt, det, i, en, øks, ved, siden, av, meg, ., Jeg, ble, halt, over, rekken, ., Det, var, den, siste, rest, av, krefter, og, raseri, som, holdt, meg, oppe, ., 
, Matrosen, hadde, trukket, revolveren, ,, Jeg, fikk, et, glimt, av, en, liten, kineser, som, kom, frem, bak, hyttene, i, land, og, løftet, øksen, sin, ., Jeg, hadde, ingen, mulighet, til, å, skyte, fra, rekken, ,, men, han, stod]",ADV VERB PRON PRON PRON VERB ADP PUNCT PUNCT PROPN PUNCT NOUN ADP PROPN PUNCT VERB ADP PUNCT SPACE ADP NOUN ADP PRON ADJ NOUN CCONJ DET ADJ NOUN NOUN AUX PRON DET ADJ NOUN ADP PROPN PRON VERB PRON ADP NOUN PUNCT ADJ ADP NOUN VERB PRON PRON ADP NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN PUNCT PRON VERB ADV DET ADJ NOUN PRON VERB PUNCT SPACE DET ADJ PRON VERB AUX DET NOUN ADP NOUN PRON AUX VERB PROPN ADP ADP NOUN PUNCT PUNCT X NOUN ADP DET ADJ NOUN PUNCT INTJ PUNCT SPACE ADP DET NOUN VERB PRON ADP DET NOUN SCONJ NOUN ADP PRON PUNCT PRON VERB VERB ADP NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN CCONJ NOUN PRON VERB PRON ADP PUNCT SPACE NOUN AUX VERB NOUN PUNCT PRON VERB DET NOUN ADP DET ADJ NOUN PRON VERB ADP ADP NOUN ADP NOUN CCONJ VERB NOUN PRON PUNCT PRON VERB DET NOUN SCONJ PART VERB ADP NOUN PUNCT CCONJ PRON VERB,0.050314465408805034,0.38777479892761435,171,795,0.5672514619883041,0.3324045241847049
"[Det, var, som, om, to, helt, forskjellige, verdener, støtet, sammen, i, den, mørke, natten, ., Mackinac, Bar, ved, St., Charles, Street, var, blitt, fylt, opp, av, festglade, mennesker, for, bare, et, kvarter, siden, ,, men, det, lå, noe, truende, i, den, tunge, luften, ., Noen, av, nykommerne, hadde, gått, rett, bort, til, ølkranene, ., Andre, var, bare, blitt, stående, midt, i, lokalet, og, stirre, på, hverandre, ., Mackinac, Bar, lignet, ikke, seg, selv, denne, lørdagskvelden, ., Det, var, noe, som, manglet, ,, noe, de, hadde, ventet, på, hele, kvelden, ., 
, «, Hvorfor, åpner, vi, ikke, ?, », sa, Kelly, O'Reilly, nervøst, ., 
, «, Altfor, tidlig, », ,, sa, Jerome, Fay, ., 
, Han, kastet, et, raskt, blikk, på, søsteren, sin, og, så, at, han, hadde, rett, ., «, Men, hun, sa, jo, at, hun, skulle, være, her, ., 
, «, Ikke, fra, Kelly, ,, nei, ., Jeg, skal, få, tak, i, Walton, ., 
, Jerome, nikket, og, vendte, oppmerksomheten, mot, den, første, av, mange, ølkraner, ., Han, ble, møtt, av, et, kaldt, gufs, da, han, løftet, hånd]",PRON AUX ADP SCONJ NUM ADJ ADJ NOUN NOUN ADV ADP DET ADJ NOUN PUNCT PROPN PROPN ADP PROPN PROPN PROPN AUX AUX VERB ADP ADP ADJ NOUN ADP ADV DET NOUN ADV PUNCT CCONJ PRON VERB DET ADJ ADP DET ADJ NOUN PUNCT DET ADP NOUN AUX VERB ADJ ADP ADP NOUN PUNCT DET AUX ADV VERB ADJ ADV ADP NOUN CCONJ VERB ADP PRON PUNCT PROPN PROPN VERB PART PRON DET DET NOUN PUNCT PRON VERB PRON PRON VERB PUNCT PRON PRON AUX VERB ADP ADJ NOUN PUNCT SPACE PUNCT ADV VERB PRON PART PUNCT PUNCT VERB PROPN PROPN ADJ PUNCT SPACE PUNCT ADV ADJ PUNCT PUNCT VERB PROPN PROPN PUNCT SPACE PRON VERB DET ADJ NOUN ADP NOUN PRON CCONJ VERB SCONJ PRON VERB NOUN PUNCT PUNCT CCONJ PRON VERB ADV SCONJ PRON AUX AUX ADV PUNCT SPACE PUNCT PART ADP PROPN PUNCT INTJ PUNCT PRON AUX VERB NOUN ADP PROPN PUNCT SPACE PROPN VERB CCONJ VERB NOUN ADP DET ADJ ADP ADJ NOUN PUNCT PRON AUX VERB ADP DET ADJ NOUN SCONJ PRON VERB NOUN,0.057971014492753624,0.39920410783055255,179,828,0.553072625698324,0.3506126715228763
"[Det, er, ikkje, lenge, til, no, ,, det, er, lenge, til, no, det, store, skal, skje, ., Det, store, skal, skje, !, Og, det, går, i, blodet, på, oss, ,, det, går, i, blodet, på, oss, ., Eg, står, her, ,, i, denne, byen, der, ho, har, levd, i, snart, tjuefem, år, ,, eg, er, like, gammal, som, dei, ,, eg, har, alt, gått, forbi, dei, ., Eg, kjenner, dei, ikkje, lenger, ., 
, frå, denne, byen, ,, i, denne, parken, ,, i, dette, huset, ,, i, dette, rommet, ,, her, i, denne, gata, ,, her, i, denne, gata, ,, her, i, denne, gata, ., Eg, kjenner, dei, berre, ikkje, igjen, ,, eg, kjenner, dei, ikkje, igjen, ,, ho, kjenner, dei, ikkje, igjen, ,, han, kjenner, dei, ikkje, igjen, ,, dei, går, til, ein, annan, ., Dei, går, vekk, ,, dei, stenger, meg, inne, ., For, dei, kjenner, dei, ikkje, igjen, frå, den, sommaren, ., Frå, den, hausten, ., Den, hausten, !, Men, det, er, noko, som, har, forandra, seg, ., Noko, har, forandra, seg, ., Noko, har, skjedd, ., Vi, har, gjort, noko, ., Eg, veit, ikkje, kva, det, er, ., Eg, veit, ikkje, kva, ., Eg, veit, ingen, ting, ., Eg, kan, ikkje, hugsa, ., Eg, orkar]",PRON VERB ADV ADJ ADP PROPN PUNCT PRON AUX ADJ ADP X DET ADJ AUX VERB PUNCT DET ADJ AUX VERB PUNCT CCONJ PRON VERB ADP NOUN ADP PRON PUNCT PRON VERB ADP NOUN ADP PRON PUNCT PROPN VERB ADV PUNCT ADP DET NOUN SCONJ NOUN AUX VERB ADP ADJ NUM NOUN PUNCT PROPN AUX ADV ADJ ADP X PUNCT PRON AUX PRON VERB ADP NOUN PUNCT PROPN VERB X ADV ADJ PUNCT SPACE NUM DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADV ADP DET NOUN PUNCT ADV ADP DET NOUN PUNCT ADV ADP DET NOUN PUNCT PROPN VERB X X X ADV PUNCT PRON VERB X X ADV PUNCT NOUN VERB X X ADV PUNCT PRON VERB X X ADV PUNCT PROPN VERB ADP X PROPN PUNCT NUM VERB ADP PUNCT NOUN VERB PRON ADP PUNCT CCONJ NOUN VERB X X ADV X DET NOUN PUNCT ADP DET NOUN PUNCT DET NOUN PUNCT CCONJ PRON AUX X PRON AUX VERB PRON PUNCT PROPN AUX VERB PRON PUNCT PROPN AUX VERB PUNCT PRON AUX VERB NOUN PUNCT X X X X PRON AUX PUNCT PROPN X X X PUNCT PROPN VERB DET NOUN PUNCT PROPN X X X PUNCT PROPN PROPN,0.03990610328638498,0.3320049813200514,209,852,0.6650717703349283,0.371368465145912
"[Kor, mange, prosent, av, dei, som, bur, i, dette, vesle, landet, på, denne, vesle, klota, på, denne, vesle, planeten, ,, har, lese, desse, fem, bøkene, ?, 
, Kva, er, det, for, ei, kjend, bok, som, får, alle, andre, bøker, til, å, bleikne, ?, 
, Kva, er, det, for, ei, bok, alle, bøkene, i, klassen, les, ?, 
, Kva, er, det, for, ei, bok, som, viser, tydeleg, at, det, ikkje, finst, nokon, vaksen, som, bryr, seg, ?, 
, Kva, er, det, for, ei, bok, alle, er, heilt, sikre, på, at, alle, dei, andre, elskar, ?, 
, Kva, er, det, for, ei, bok, som, får, dei, fleste, gutane, i, klassen, til, å, hyle, og, stikke, av, ?, 
, Kva, er, det, for, ei, bok, elevane, absolutt, ikkje, likar, å, lese, ?, 
, Kva, har, gjort, at, bøkene, i, dette, huset, blir, nøye, halden, i, sjakk, ?, 
, Kva, for, ord, manglar, i, fleire, tusen, skulebøker, ?, Kvifor, får, gutar, i, andre, land, lov, til, å, vere, som, dei, vil, ,, og, gutar, i, Noreg, ikkje, ?, 
, Kva, er, det, for, ei, bok, alle, har, lese, ?, 
, Kvifor, fekk, ikkje, elevane, på]",ADV ADJ NOUN ADP NOUN SCONJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT AUX VERB PROPN NUM NOUN PUNCT SPACE PROPN VERB PRON ADP DET X NOUN PRON VERB DET DET NOUN SCONJ PART VERB PUNCT SPACE PROPN VERB PRON ADP DET NOUN DET NOUN ADP NOUN VERB PUNCT SPACE PROPN VERB PRON ADP DET NOUN PRON VERB NOUN SCONJ X X X X PROPN PRON VERB PRON PUNCT SPACE PROPN VERB PRON ADP DET NOUN PRON AUX ADJ ADJ SCONJ SCONJ DET NOUN ADJ X PUNCT SPACE PROPN VERB PRON ADP DET NOUN PRON VERB PROPN ADJ NOUN ADP NOUN SCONJ PART VERB CCONJ VERB ADP PUNCT SPACE PROPN VERB PRON ADP DET NOUN X X X X PART VERB PUNCT SPACE NOUN AUX VERB SCONJ NOUN ADP PRON NOUN VERB ADJ NOUN ADP NOUN PUNCT SPACE NOUN ADP NOUN NOUN ADP ADJ NOUN NOUN PUNCT PROPN VERB PROPN ADP DET NOUN NOUN SCONJ PART VERB PRON NOUN VERB PUNCT CCONJ NOUN ADP PROPN X PUNCT SPACE PROPN VERB PRON ADP DET NOUN PRON AUX VERB PUNCT SPACE PROPN VERB X X ADP,0.03620474406991261,0.38999999999999935,191,801,0.6073298429319371,0.1891723581741402
"[Det, er, veldig, viktig, at, vi, velger, den, riktige, ., Den, riktige, er, den, som, passer, til, deg, ., Det, var, derfor, vi, laget, deg, ., 
, Du, er, skapt, for, å, passe, til, den, perfekte, partneren, ., Som, er, den, kjæresten, du, fortjener, ., 
, Liker, han, /, hun, å, være, aktiv, ..., går, han, i, fjellet, ,, jogger, eller, spiller, fotball, ?, Eller, liker, han, å, ro, ?, Liker, han, deg, kanskje, for, at, du, lager, god, mat, ,, men, ikke, at, du, bruker, så, mange, penger, på, den, ?, 
, Har, han, /, hun, humor, ?, Kanskje, han, /, hun, ler, av, de, samme, tingene, som, deg, ?, Liker, han, /, hun, dyr, ?, 
, Liker, han, /, hun, hagearbeid, ?, Eller, er, han, /, hun, et, ordentlig, ordensmenneske, ?, 
, driver, med, en, lidenskap, ..., spiller, han, et, instrument, eller, dyrker, blomster, ?, Eller, liker, han, best, å, lese, spennende, bøker, eller, se, gode, filmer, og, reiser, ?, 
, Drive, med, sport, ..., 
, Snakker, han, /, hun, om, følelser, eller, tenker, han, bare, på, jobb, ?, 
, i, en, bok, ?, Eller, liker, han, /, hun, å, gå, lange, turer, alene, ,, eller, vil, han, /, hun, helst, gå]",PRON AUX ADJ ADJ SCONJ PRON VERB DET ADJ PUNCT DET ADJ AUX PRON PRON VERB ADP PRON PUNCT PRON AUX ADV PRON VERB PRON PUNCT SPACE PRON AUX VERB SCONJ PART VERB ADP DET ADJ NOUN PUNCT ADP AUX DET NOUN PRON VERB PUNCT SPACE VERB PRON PUNCT PRON PART AUX ADJ PUNCT VERB PRON ADP NOUN PUNCT NOUN CCONJ VERB NOUN PUNCT CCONJ VERB PRON PART VERB PUNCT VERB PRON PRON ADV SCONJ SCONJ PRON VERB ADJ NOUN PUNCT CCONJ PART SCONJ PRON VERB ADV ADJ NOUN ADP PRON PUNCT SPACE VERB PRON PUNCT PRON NOUN PUNCT ADV PRON PUNCT PRON VERB ADP DET DET NOUN ADP PRON PUNCT VERB PRON PUNCT PRON ADJ PUNCT SPACE VERB PRON PUNCT PRON NOUN PUNCT CCONJ AUX PRON PUNCT PRON DET ADJ NOUN PUNCT SPACE VERB ADP DET NOUN PUNCT VERB PRON DET NOUN CCONJ VERB NOUN PUNCT CCONJ VERB PRON ADJ PART VERB ADJ NOUN CCONJ VERB ADJ NOUN CCONJ VERB PUNCT SPACE PROPN ADP NOUN PUNCT SPACE VERB PRON PUNCT PRON ADP NOUN CCONJ VERB PRON ADV ADP NOUN PUNCT SPACE ADP DET NOUN PUNCT CCONJ VERB PRON PUNCT PRON PART VERB ADJ NOUN ADV PUNCT CCONJ VERB PRON PUNCT PRON ADV VERB,0.04077010192525481,0.38023980815347713,204,883,0.5294117647058824,0.2540133533133228
