tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ikke, dukker, opp, ?, —, Ja, ,, sa, hun, og, tok, den, opp, av, vesken, ., 
, Luis, hadde, en, jobb, til, henne, ., Og, hun, ville, ikke, vente, ., 
, —, Jeg, er, på, vei, opp, dit, ., I, mellomtiden, kan, du, gå, inn, på, rommet, hennes, og, se, deg, rundt, ., Det, er, kanskje, noe, der, som, tilhører, henne, ., 
, —, Okei, ,, sa, hun, ,, seiv, om, hun, egentlig, ikke, hadde, tid, til, å, sjekke, om, hun, hadde, gått, glipp, av, noe, viktig, ,, og, nå, hadde, hun, dessuten, problemer, med, å, se, hva, det, skulle, være, ., 
, Luis, tok, henne, i, armen, som, om, han, ville, være, sikker, på, at, hun, ikke, prøvde, å, stikke, av, ., 
, —, Det, er, greit, ,, sa, hun, skarpt, og, løsnet, grepet, hans, ., Hun, visste, at, hun, burde, følge, opp, Luis, ', jobb, ,, men, hun, kunne, ikke, ., Hun, kunne, bare, ikke, ., 
, Drømmen, hadde, vart, i, flere, år, nå, ., Den, første, gangen, hadde, vært, et, sjokk, —, et, mareritt, hun, ikke, greide, å, få, ut, av, tankene, ., Hun, hadde, våknet, med, hamrende, hjerte, ,, skjelvende, og, andpusten, som, om]",DET NOUN ADP NOUN PRON PART VERB ADP PUNCT PUNCT INTJ PUNCT VERB PRON CCONJ VERB PRON ADP ADP NOUN PUNCT SPACE PROPN VERB DET NOUN ADP PRON PUNCT CCONJ PRON AUX PART VERB PUNCT SPACE PUNCT PRON AUX ADP NOUN ADP ADV PUNCT ADP NOUN AUX PRON VERB ADP ADP NOUN PRON CCONJ VERB PRON ADP PUNCT PRON VERB ADV PRON ADV PRON VERB PRON PUNCT SPACE PUNCT INTJ PUNCT VERB PRON PUNCT VERB SCONJ PRON ADJ PART VERB NOUN SCONJ PART VERB SCONJ PRON AUX VERB NOUN ADP DET ADJ PUNCT CCONJ ADV VERB PRON ADV NOUN SCONJ PART VERB PRON PRON AUX VERB PUNCT SPACE PROPN VERB PRON SCONJ NOUN SCONJ SCONJ PRON AUX AUX ADJ SCONJ SCONJ PRON PART VERB PART VERB ADP PUNCT SPACE PUNCT PRON AUX ADJ PUNCT VERB PRON ADJ CCONJ VERB NOUN PRON PUNCT PRON VERB SCONJ PRON AUX VERB ADP PROPN PUNCT NOUN PUNCT CCONJ PRON VERB PART PUNCT PRON AUX ADV PART PUNCT SPACE NOUN AUX VERB ADP ADJ NOUN ADV PUNCT DET ADJ NOUN AUX AUX DET NOUN PUNCT DET NOUN PRON PART VERB PART VERB ADP ADP NOUN PUNCT PRON AUX VERB ADP ADJ NOUN PUNCT ADJ CCONJ NOUN SCONJ SCONJ,0.04327485380116959,0.3949379652605453,203,855,0.645320197044335,0.42778974476078485
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, ,, at, nu, måtte, det, være, slutt, på, lesningen, ., Alle, sammen, la, fra, sig, bøkene, og, reiste, sig, ., 
, «, Ja, ,, jeg, har, dessverre, så, forferdelig, vondt, i, hodet, ,, », sa, Per, ., «, Jeg, tror, ikke, jeg, er, riktig, frisk, ., 
, «, Det, er, din, mor, ,, », sa, farmor, og, kom, ut, i, gangen, ., «, Du, ser, virkelig, skrekkelig, blek, ut, ., 
, «, Å, ,, ja, !, Det, er, den, snodige, hodepinen, min, ,, », sa, Per, ., 
, «, Du, kan, jo, hvile, dig, litt, på, sofaen, hvis, du, vil, ,, så, skal, jeg, komme, inn, med, en, kopp, sterk, buljong, til, dig, ,, », sa, farmor, ., 
, Ja, ,, det, vilde, Per, gjøre, ., 
, Og, da, farmor, kom, inn, med, buljongen, ,, hadde, han, virkelig, sovnet, ., Han, lå, med, lukkede, øine, på, sofaen, ., 
, «, Han, skulde, ha, vært, her, for, lenge, siden, ,, », sa, farmor, ergerlig, ., «, Vent, nu, ,, skal, dere, få, se, hvor, frisk, han, blir, ., 
, Hun, tok, med, sig, Per, ut, på, kjøkkenet, for, å, få, ro, ,, men, der, gikk, det, ikke, fort, å, få, far, op, fra, sofaen, ., 
, F]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB PUNCT SCONJ ADV AUX PRON AUX ADJ ADP NOUN PUNCT PRON ADV VERB ADP ADV NOUN CCONJ VERB ADV PUNCT SPACE PUNCT INTJ PUNCT PRON VERB ADV ADV ADJ ADJ ADP NOUN PUNCT PUNCT VERB PROPN PUNCT PUNCT PRON VERB PART PRON AUX ADJ ADJ PUNCT SPACE PUNCT PRON AUX PRON NOUN PUNCT PUNCT VERB NOUN CCONJ VERB ADP ADP NOUN PUNCT PUNCT PRON VERB ADJ ADJ ADJ ADP PUNCT SPACE PUNCT INTJ PUNCT INTJ PUNCT PRON AUX DET ADJ NOUN PRON PUNCT PUNCT VERB PROPN PUNCT SPACE PUNCT PRON AUX ADV VERB ADV ADJ ADP NOUN SCONJ PRON VERB PUNCT ADV AUX PRON VERB ADP ADP DET NOUN ADJ NOUN ADP X PUNCT PUNCT VERB NOUN PUNCT SPACE INTJ PUNCT PRON NOUN PROPN VERB PUNCT SPACE CCONJ SCONJ NOUN VERB ADP ADP NOUN PUNCT AUX PRON ADJ VERB PUNCT PRON VERB ADP ADJ NOUN ADP NOUN PUNCT SPACE PUNCT PRON NOUN AUX AUX ADV ADP ADJ ADV PUNCT PUNCT VERB NOUN ADJ PUNCT PUNCT VERB ADV PUNCT AUX PRON AUX VERB ADV ADJ PRON VERB PUNCT SPACE PRON VERB ADP ADV PROPN ADP ADP NOUN SCONJ PART VERB NOUN PUNCT CCONJ ADV VERB PRON PART ADJ PART VERB NOUN PROPN ADP NOUN PUNCT SPACE PROPN,0.049079754601226995,0.429582245430808,215,815,0.5162790697674419,0.37394862848946137
"[Det, synspunkt, at, miljøskifte, og, et, helt, år, hos, far, og, mor, fører, til, sjelelig, vekst, og, modning, ,, og, at, det, derfor, er, en, ulempe, å, være, under, det, miljøets, innflytelse, for, kort, tid, ,, går, tilbake, til, oldtidens, forfattere, ., Platon, sier, således, at, for, dem, som, går, gjennom, livet, uten, noensinne, å, se, den, sanne, by, ,, er, det, som, å, sove, i, en, dal, ., Sofokles, bemerker, når, vi, hører, ham, tale, om, sin, barndoms, Hellas, ,, at, han, var, en, rik, mann, som, aldri, hadde, smakt, mat, ,, men, enda, ikke, vært, i, fengsel, ., Seneca, forteller, oss, at, han, var, fri, ,, at, han, sov, på, et, leie, som, ikke, holdt, vind, og, regn, ute, ,, og, aldri, hadde, arbeidet, slik, han, nå, hadde, ,, og, at, hans, liv, ikke, hadde, vært, så, lykkelig, ., Homer, erklærer, også, at, den, som, hadde, tilbragt, alle, dager, i, havet, ,, følte, seg, ulykkelig, i, de, greske, kystboeres, drakt, ., I, virkeligheten, visste, ikke, Seneca, seg, fri, for, å, være, misunnelig, og, å, bebreide, Aristippus, at]",DET NOUN SCONJ NOUN CCONJ DET ADJ NOUN ADP NOUN CCONJ NOUN VERB ADP ADJ NOUN CCONJ NOUN PUNCT CCONJ SCONJ PRON ADV AUX DET NOUN PART AUX ADP DET NOUN NOUN ADP ADJ NOUN PUNCT VERB ADP ADP NOUN NOUN PUNCT PROPN VERB ADV SCONJ ADP PRON PRON VERB ADP NOUN ADP ADV PART VERB DET ADJ NOUN PUNCT AUX PRON PRON PART VERB ADP DET NOUN PUNCT PROPN VERB SCONJ PRON VERB PRON NOUN ADP PRON NOUN PROPN PUNCT SCONJ PRON AUX DET ADJ NOUN PRON ADV AUX VERB NOUN PUNCT CCONJ ADV PART AUX ADP NOUN PUNCT PROPN VERB PRON SCONJ PRON AUX ADJ PUNCT SCONJ PRON VERB ADP DET NOUN PRON PART VERB NOUN CCONJ NOUN ADP PUNCT CCONJ ADV AUX VERB ADV PRON ADV VERB PUNCT CCONJ SCONJ PRON NOUN PART AUX AUX ADV ADJ PUNCT PROPN VERB ADV SCONJ PRON PRON AUX VERB DET NOUN ADP NOUN PUNCT VERB PRON ADJ ADP DET ADJ NOUN NOUN PUNCT ADP NOUN VERB PART PROPN PRON ADJ SCONJ PART AUX ADJ CCONJ PART VERB PROPN SCONJ,0.03948896631823461,0.37061576354679865,179,861,0.5977653631284916,0.27949856384321287
"[Nei, sa, Beatrice, Bare, gå, videre, ,, vær, så, snill, ., Forstår, du, ?, 
, Morsomt, Beatrice, Nei, ,, jeg, ler, ikke, ., Ikke, si, noe, til, ham, ., Det, er, derfor, han, er, forbanner, ., Han, blir, verre, når, han, føler, seg, truffet, ., Gå, videre, !, 
, Du, er, en, veldig, slem, unge, ., 
, Hører, du, det, ?, Gå, videre, !, Hva, skal, du, gjøre, om, du, ikke, løper, ?, 
, Du, må, stå, opp, ., De, vil, komme, og, se, etter, deg, ., Du, er, borte, ., 
, De, vil, komme, og, se, etter, meg, ., Jeg, går, ikke, ut, ., 
, Se, ., De, står, overalt, ., De, tror, det, var, du, som, drepte, ham, ., 
, Gå, på, skolen, ., Ikke, si, noe, til, dem, ., Gå, på, skolen, ., 
, Det, var, deg, ., Du, er, en, slem, unge, ,, du, drepte, ham, ., Du, tok, ham, ., 
, Du, drepte, ham, ikke, ., 
, Jeg, hørte, at, du, sa, det, ., Du, drepte, ham, ., Det, var, deg, ., Du, drepte, ham, ., 
, Du, drepte, ham, ikke, ., 
, Si, det, til, mamma, ., 
, Hun, kommer, til, å, tro, på, deg, ., Mamma, kommer, til, å, bli, så, lei, seg, ., 
, Å, ,, jeg, er, lei, meg, ., 
, Jeg, er, lei, meg, ., Jeg, har, fått, henne, til, å, bli, redd, ., Slemme, unger, er, så, s]",INTJ VERB PROPN ADV VERB ADJ PUNCT AUX ADV ADJ PUNCT VERB PRON PUNCT SPACE ADJ PROPN PROPN PUNCT PRON VERB PART PUNCT PART VERB PRON ADP PRON PUNCT PRON AUX ADV PRON AUX VERB PUNCT PRON VERB ADJ SCONJ PRON VERB PRON VERB PUNCT VERB ADJ PUNCT SPACE PRON AUX DET ADJ ADJ ADJ PUNCT SPACE VERB PRON PRON PUNCT VERB ADJ PUNCT PRON AUX PRON VERB SCONJ PRON PART VERB PUNCT SPACE PRON AUX VERB ADP PUNCT PRON AUX VERB CCONJ VERB ADP PRON PUNCT PRON AUX ADP PUNCT SPACE PRON AUX VERB CCONJ VERB ADP PRON PUNCT PRON VERB PART ADP PUNCT SPACE VERB PUNCT PRON VERB ADV PUNCT PRON VERB PRON AUX PRON PRON VERB PRON PUNCT SPACE VERB ADP NOUN PUNCT PART VERB PRON ADP PRON PUNCT VERB ADP NOUN PUNCT SPACE PRON AUX PRON PUNCT PRON AUX DET ADJ NOUN PUNCT PRON VERB PRON PUNCT PRON VERB PRON PUNCT SPACE PRON VERB PRON PART PUNCT SPACE PRON VERB SCONJ PRON VERB PRON PUNCT PRON VERB PRON PUNCT PRON AUX PRON PUNCT PRON VERB PRON PUNCT SPACE PRON VERB PRON PART PUNCT SPACE VERB PRON ADP NOUN PUNCT SPACE PRON VERB SCONJ PART VERB ADP PRON PUNCT NOUN VERB SCONJ PART VERB ADV ADJ PRON PUNCT SPACE PART PUNCT PRON AUX ADJ PRON PUNCT SPACE PRON AUX ADJ PRON PUNCT PRON AUX VERB PRON SCONJ PART VERB ADJ PUNCT ADJ NOUN AUX ADV PROPN,0.04898446833930705,0.3934771573604064,239,837,0.606694560669456,0.3462534403536661
"[For, 2, av, elevene, har, vi, gleden, av, å, tilby, ekstra, undervisning, for, kr., 200.-/, time, ., Kontakt, i, så, fall, læreren, direkte, for, en, uforpliktende, samtale, ,, før, dere, avtaler, eventuelt, tidspunkt, ., Dette, er, selvsagt, kun, for, elever, for, disse, to, elevene, ., Med, ette, ønsker, vi, alle, og, gleder, seg, til, et, nytt, og, lærerikt, år, ., 
, feg, er, stor, feg, lover, ,, det, er, for, deg, jeg, har, laget, denne, listen, ., Du, skal, le, hver, dag, ., 
, I, dag, får, jeg, besøk, av, mamma, ., Hun, kommer, rett, fra, jobb, ., Det, er, så, koselig, å, bare, sette, seg, i, bilen, og, kjøre, til, henne, der, hun, bor, ., Men, akkurat, i, dag, føler, jeg, meg, trist, ., Mamma, har, det, nemlig, ikke, så, lett, for, tiden, ., Hun, er, syk, og, skal, være, borte, fra, arbeidet, en, god, stund, for, at, kroppen, hennes, skal, fa, hvile, ., Derfor, må, hun, jobbe, som, vikar, i, stedet, ., Så, derfor, kjeder, hun, seg, ofte, hjemme, ,, eller, så, bare, ligger, hun, i, sofaen, og, ser, på, tv, hele, dagen, lang, !, Seiv, om, jeg, er, liten, ,, synes, jeg, veldig, synd, på, mamma, ., For, når, hun, har]",ADP NUM ADP NOUN VERB PRON NOUN SCONJ PART VERB ADJ NOUN ADP NOUN NUM NOUN PUNCT NOUN ADP ADV NOUN NOUN ADJ ADP DET ADJ NOUN PUNCT SCONJ PRON VERB ADJ NOUN PUNCT PRON AUX ADJ ADV ADP NOUN ADP DET NUM NOUN PUNCT ADP ADJ VERB PRON DET CCONJ VERB PRON ADP DET ADJ CCONJ ADJ NOUN PUNCT SPACE NOUN AUX ADJ NOUN NOUN PUNCT PRON VERB ADP PRON PRON AUX VERB DET NOUN PUNCT PRON AUX VERB DET NOUN PUNCT SPACE ADP NOUN VERB PRON NOUN ADP NOUN PUNCT PRON VERB ADJ ADP NOUN PUNCT PRON AUX ADV ADJ PART ADV VERB PRON ADP NOUN CCONJ VERB ADP PRON SCONJ PRON VERB PUNCT CCONJ ADV ADP NOUN VERB PRON PRON ADJ PUNCT NOUN VERB PRON ADV PART ADV ADJ ADP NOUN PUNCT PRON AUX ADJ CCONJ AUX AUX ADP ADP NOUN DET ADJ NOUN SCONJ SCONJ NOUN PRON AUX AUX VERB PUNCT ADV AUX PRON VERB SCONJ NOUN ADP NOUN PUNCT CCONJ ADV VERB PRON PRON ADJ ADP PUNCT CCONJ ADV ADV VERB PRON ADP NOUN CCONJ VERB ADP NOUN ADJ NOUN ADJ PUNCT VERB SCONJ PRON AUX ADJ PUNCT VERB PRON ADJ NOUN ADP NOUN PUNCT CCONJ SCONJ PRON VERB,0.043859649122807015,0.38931633835457646,204,912,0.6127450980392157,0.3014971643191863
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, utstilling, med, tittelen, «, Du, ska, itte, trø, i, graset, », i, Videnskapsmuseet, i, Trondheim, ., Utstillingen, er, ledd, i, et, treårig, forskningsprogram, som, er, finansiert, av, NORKØS, -, Program, for, Nord-Norge-, og, Barentskunnskap, ved, Universitetet, i, Tromsø, ., Den, skal, avspeile, tre, forskjellige, temaer, :, 
, Hans, Rotmo, har, vært, med, som, støttespiller, og, har, tilrettelagt, prosjektet, for, Videnskapsmuseet, ., 
, Publikum, kan, komme, og, gå, i, utstillingen, ,, og, oppleve, dette, interaktive, prosjektet, som, gir, publikum, en, unik, følelse, av, medvirkning, ., 
, som, en, utstilling, i, utstillingen, ., Et, av, formålene, med, museets, forskningsprosjekt, har, vært, å, bevisstgjøre, skoleungdom, og, lærere, i, hele, Trøndelag, om, det, ansvaret, de, har, for, å, sette, grenser, for, bruk, av, nye, landskapsmotiver, i, naturen, og, i, kunsten, ., 
, Utstillingen, vil, bli, supplert, med, et, seminar, som, vil, ta, opp, kunstmiljøets, og, landskapets, nye, rolle, i, Norge, i, vår, kultur, ., 
, Utstillingen, og, seminaret, er, et, samarbeid, mellom, Videnskapsmuseet, og, NOR]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN ADP NOUN PUNCT X X PROPN NOUN ADP NOUN PUNCT ADP PROPN ADP PROPN PUNCT NOUN AUX NOUN ADP DET ADJ NOUN PRON AUX VERB ADP NOUN PUNCT NOUN ADP NOUN CCONJ PROPN ADP PROPN ADP PROPN PUNCT PRON AUX VERB NUM ADJ NOUN PUNCT SPACE PROPN PROPN AUX AUX ADP SCONJ NOUN CCONJ AUX VERB NOUN ADP PROPN PUNCT SPACE NOUN AUX VERB CCONJ VERB ADP NOUN PUNCT CCONJ VERB DET ADJ NOUN PRON VERB NOUN DET ADJ NOUN ADP NOUN PUNCT SPACE SCONJ DET NOUN ADP NOUN PUNCT DET ADP NOUN ADP NOUN NOUN AUX AUX PART VERB NOUN CCONJ NOUN ADP ADJ PROPN ADP DET NOUN PRON VERB SCONJ PART VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN CCONJ ADP NOUN PUNCT SPACE NOUN AUX AUX VERB ADP DET NOUN PRON AUX VERB ADP NOUN CCONJ NOUN ADJ NOUN ADP PROPN ADP PRON NOUN PUNCT SPACE NOUN CCONJ NOUN AUX DET NOUN ADP PROPN CCONJ PROPN,0.050761421319796954,0.3934615384615371,169,985,0.5088757396449705,0.18992859684637517
"[Personell, og, organisering, av, sekretariatet, i, Den, faglige, situasjonskomitéen, for, Nord-Norge, ,, 1963, -, 64, -, 66., 
, Artikkelsamling, fra, Den, faglige, situasjonskomités, årsblekk, ,, 1968, -, 69., Redigert, for, Institutt, for, samfunnsvitenskap, ,, og, trykt, i, Instituttets, årbok, som, "", Sånn, var, det, dengang, "", ,, 1969., Trykt, med, tillatelse, av, Universitetsbiblioteket, i, Tromsø, ., 
, Kunnskaper, og, opplysninger, ., Fra, Den, samiske, forfatterforening, :, Rapport, til, kongressen, i, Helsingfors, i, 1970, ,, 1973., 
, Artikkelsamling, fra, Arbeiderbevegelsens, Arkiv, i, Norge, ,, 1980, -, 83., Trykt, i, Arbeiderbevegelsens, Arkivs, årbok, ., 
, Isroser, -, dikt, og, fotografier, ., Fra, Den, samiske, forfatterforening, :, Rapport, til, kongressen, som, ble, holdt, i, Helsinki, i, 1970., Trykt, i, Arbeiderbevegelsens, Arkivs, årbok, ., 
, Nils, Jernsletten, :, Den, samiske, folkereisningen, i, Nord-Norge, har, satt, sine, spor, ., Redigert, av, Aslak, Guttorm, og, Tore, G., 
, Jo, ,, vi, skal, klare, det, ., 
, Illustrert]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN ADP PROPN PUNCT NUM PUNCT NUM PUNCT NUM SPACE NOUN ADP PROPN ADJ NOUN PROPN PUNCT NUM PUNCT VERB VERB ADP PROPN ADP NOUN PUNCT CCONJ VERB ADP PROPN NOUN X PUNCT ADV AUX PRON ADV PUNCT PUNCT NUM NOUN ADP NOUN ADP PROPN ADP PROPN PUNCT SPACE NOUN CCONJ NOUN PUNCT ADP DET ADJ NOUN PUNCT NOUN ADP NOUN ADP PROPN ADP NUM PUNCT NUM SPACE NOUN ADP PROPN PROPN ADP PROPN PUNCT NUM PUNCT VERB NOUN ADP PROPN PROPN NOUN PUNCT SPACE PROPN PUNCT NOUN CCONJ NOUN PUNCT ADP DET ADJ NOUN PUNCT NOUN ADP NOUN PRON AUX VERB ADP PROPN ADP NUM NOUN ADP PROPN PROPN NOUN PUNCT SPACE PROPN PROPN PUNCT DET ADJ NOUN ADP PROPN AUX VERB PRON NOUN PUNCT VERB ADP PROPN PROPN CCONJ PROPN PROPN SPACE ADV PUNCT PRON AUX VERB PRON PUNCT SPACE VERB,0.060090702947845805,0.43397358943577213,151,882,0.31788079470198677,0.126800539664425
"[De, nevnte, artiklene, i, FNLs, avis, gir, noen, konkrete, tall, angående, opprørernes, styrke, :, I, Hanoi, er, det, i, alt, 850, 000, Vietcong-soldater, ,, i, nord, i, alt, 20, 000, og, i, sør, ca., 2000, til, 3000., Av, disse, er, det, ikke, mer, enn, 350, som, er, landsatt, ,, mens, 10, 000, er, i, helikoptre, ., Hvis, man, for, sikkerhets, skyld, regner, med, at, det, er, 50, mann, i, hvert, helikopter, blir, det, likevel, 1200, og, 3000., 
, inntreffer, katastrofen, ., Med, den, fart, som, de, angripende, styrkene, rykker, fram, i, ,, vil, fienden, nå, kyststripen, med, sine, våpen, ,, før, troppene, har, satt, sine, føtter, der, ,, i, dette, tilfellet, kan, ingen, trekke, noen, annen, slutning, enn, at, vietnameserne, er, i, ferd, med, å, bli, slaktet, ., Her, vil, vi, igjen, minne, om, visse, sider, ved, den, amerikanske, krigføringen, i, Vietnam, :, De, helikoptre, som, blir, benyttet, er, M, 239A-1, Twin, Beech, med, to, turbindrevne, gassturbiner, ,, som, kan, stige, fra, havflaten]",DET VERB NOUN ADP PROPN NOUN VERB DET ADJ NOUN ADP NOUN NOUN PUNCT ADP PROPN AUX PRON ADP PRON NUM NUM NOUN PUNCT ADP ADP ADP PRON NUM NUM CCONJ ADP ADP ADV NUM ADP NUM ADP PRON AUX PRON PART ADJ ADP NUM PRON AUX VERB PUNCT SCONJ NUM NUM AUX SCONJ NOUN PUNCT SCONJ PRON ADP NOUN NOUN VERB SCONJ SCONJ PRON AUX NUM NOUN ADP DET NOUN VERB PRON ADV NUM CCONJ NUM SPACE VERB NOUN PUNCT ADP DET NOUN PRON DET ADJ NOUN VERB ADP ADP PUNCT AUX NOUN ADV NOUN ADP PRON NOUN PUNCT SCONJ NOUN AUX VERB PRON NOUN ADV PUNCT ADP DET NOUN AUX PRON VERB DET DET NOUN SCONJ SCONJ NOUN AUX SCONJ NOUN SCONJ PART AUX VERB PUNCT ADV AUX PRON ADV VERB ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN PUNCT DET NOUN PRON AUX VERB AUX PROPN PROPN PROPN PROPN ADP NUM ADJ NOUN PUNCT PRON AUX VERB ADP NOUN,0.05889423076923077,0.37800766283525117,163,832,0.5214723926380368,0.22009210757464354
"[Bør, minimum, være, 10, av, 10, !, -, Det, er, ikke, sant, ,, sa, Karianne, lavmælt, ., Hun, såtte, fra, seg, koppen, ,, det, kokende, vannet, skvulpet, over, ., -, Ikke, si, det, ., Ikke, etter, alt, ..., 
, -, Så, så, ,, avbrøt, moren, henne, ., -, Vi, kan, snakke, mer, om, dette, ., Kanskje, vi, skal, spise, litt, først, ,, så, kan, vi, snakke, om, det, etterpå, ., Hun, såtte, seg, overfor, Karianne, ,, strøk, henne, lett, over, håret, ., -, Har, du, hatt, en, fin, dag, ?, spurte, hun, så, ., 
, -, Det, går, bra, ,, sa, Karianne, ., -, Jeg, føler, meg, bedre, nå, ,, har, ikke, feber, i, hvert, fall, ., 
, -, Det, var, godt, å, høre, ., Hvordan, går, det, på, skolen, ?, 
, Karianne, smilte, ,, klarte, ikke, la, være, å, fortelle, moren, om, alt, det, rare, som, skjedde, med, henne, og, Tale, ., Moren, 10, ,, men, innimellom, glimtet, det, noe, mykt, i, øynene, hennes, ., Karianne, kjente, et, svakt, støt, av, skyld, for, det, hun, sa, ., Hadde, hun, vært, like, glad, som, sin, mor, den, gangen, hun, og, Tale, møttes, ,, da, hun, var, lykkelig, som, ung, mor, ?, Hvordan]",AUX NOUN AUX NUM ADP NUM PUNCT PUNCT PRON AUX PART ADJ PUNCT VERB PROPN ADJ PUNCT PRON VERB ADP PRON NOUN PUNCT DET ADJ NOUN VERB ADP PUNCT PUNCT PART VERB PRON PUNCT PART ADP PRON PUNCT SPACE PUNCT ADV ADV PUNCT VERB NOUN PRON PUNCT PUNCT PRON AUX VERB ADJ ADP PRON PUNCT ADV PRON AUX VERB ADJ ADV PUNCT ADV AUX PRON VERB ADP PRON ADV PUNCT PRON VERB PRON ADP PROPN PUNCT VERB PRON ADJ ADP NOUN PUNCT PUNCT AUX PRON VERB DET ADJ NOUN PUNCT VERB PRON ADV PUNCT SPACE PUNCT PRON VERB ADJ PUNCT VERB PROPN PUNCT PUNCT PRON VERB PRON ADJ ADV PUNCT VERB PART NOUN ADP DET NOUN PUNCT SPACE PUNCT PRON AUX ADJ PART VERB PUNCT ADV VERB PRON ADP NOUN PUNCT SPACE PROPN VERB PUNCT VERB PART VERB VERB PART VERB NOUN ADP DET DET ADJ PRON VERB ADP PRON CCONJ PROPN PUNCT NOUN NUM PUNCT CCONJ ADP NOUN PRON PRON ADJ ADP NOUN PRON PUNCT PROPN VERB DET ADJ NOUN ADP NOUN ADP PRON PRON VERB PUNCT AUX PRON AUX ADV ADJ SCONJ PRON NOUN DET NOUN PRON CCONJ PROPN VERB PUNCT SCONJ PRON AUX ADJ SCONJ ADJ NOUN PUNCT ADV,0.05058823529411765,0.40064918851435616,202,850,0.5297029702970297,0.34109852911058713
"[Artikkel, 3, tar, opp, Kommisjonens, ansvar, for, å, sikre, at, direktivets, materielle, rettsakler, blir, korrekt, gjennomført, i, de, enkelte, EU-medlemsstaters, lovgivninger, ., Dette, er, en, kodifisering, av, praksisen, med, EF-kommisjonens, forpliktelse, til, å, kontrollere, at, medlemsstatene, lojalt, gjennomfører, fellesskapsretten, ,, samt, i, dette, øyemed, å, foreta, en, nøyaktig, kontroll, av, den, nasjonale, gjennomføring, ,, jf., særlig, Ratlinskysaken, av, 19., november, 1988, (, saksnummer, 144/88, ), ., 
, Selve, gjennomføringsfristen, på, atten, måneder, blir, regnet, fra, direktivets, ikrafttredelse, ,, mens, artikkel, 4, nr., 3, oppstiller, en, «, fornyelsesperiode, », på, to, år, ., Etter, utløpet, av, denne, har, alle, bestemmelser, i, rettsakten, fortsatt, gyldighet, ,, men, de, nasjonale, myndigheter, kan, ikke, ha, gjennomført, dem, og, må, innen, atten, måneder, etter, utløpsfristen, pålegge, dem, det, dersom, de, fortsatt, er, ute, av, kraft, ., Et, unntak, fra, regelen, om, fornyelse, gjelder, for, den, materielle, delen, av, artikkel, 11, ,, som, det, fremgår, av, artikkel, 6, nr., 4., Dersom, dette, direktivet]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ NOUN ADJ NOUN AUX ADJ VERB ADP DET ADJ NOUN NOUN PUNCT PRON AUX DET NOUN ADP NOUN ADP NOUN NOUN SCONJ PART VERB SCONJ NOUN ADJ VERB NOUN PUNCT CCONJ ADP PRON NOUN PART VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT VERB ADJ NOUN ADP ADJ NOUN NUM PUNCT NOUN X PUNCT PUNCT SPACE DET NOUN ADP NUM NOUN AUX VERB ADP NOUN NOUN PUNCT SCONJ NOUN NUM NOUN NUM NOUN DET PUNCT PROPN PUNCT ADP NUM NOUN PUNCT ADP NOUN ADP PRON VERB DET NOUN ADP NOUN ADV NOUN PUNCT CCONJ DET ADJ NOUN AUX PART AUX VERB PRON CCONJ AUX ADP NUM NOUN ADP NOUN VERB PRON PRON SCONJ PRON ADV AUX SCONJ ADP NOUN PUNCT DET NOUN ADP NOUN ADP NOUN VERB ADP DET ADJ NOUN ADP NOUN NUM PUNCT PRON PRON VERB ADP NOUN NUM NOUN NUM SCONJ DET NOUN,0.0486815415821501,0.3780576307363909,157,986,0.46496815286624205,0.1654533504735296
