tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, få, en, oppringning, ,, og, ingen, av, barna, visste, noe, om, hans, oppring, ning, ., Men, så, kom, det, :, «, Hei, ,, det, er, far, ., Dette, er, min, telefonsvarer, hvor, mine, barn, og, jeg, har, lagt, igjen, beskjed, til, ham, », ., Og, da, var, han, som, i, sine, glansdager, !, Men, nå, kom, da, vel, ikke, dette, på, trykk, så, ..., Men, så, spør, han, om, hvordan, vi, fikk, tak, i, disse, to, damene, ., Og, da, sier, den, yngste, :, «, Det, var, jeg, som, ringte, henne, og, spurte, etter, en, telefonsvarer, », ., En, av, jentene, sier, :, «, Få, sjå, på'n, du, », -, og, har, i, det, samme, fått, tak, i, sin, mormors, veske, ., Denne, ble, behørig, sjekket, med, hensyn, til, eventuelle, barnebilder, som, ikke, lenger, skulle, være, i, veskene, ,, mens, mamma'n, og, jeg, var, opptatt, av, hvordan, samtalen, hadde, forløpt, ., Jeg, vet, ikke, hvem, som, var, mest, spent, på, svaret, ,, jeg, -, men, telefonen, var, taus, som, graven, ., Der, sto, vi, bare, og, ristet, på, hodene, og, sa, ingenting, ., Men, neste, telefon, var]",DET NOUN ADP NOUN PRON AUX VERB DET NOUN PUNCT CCONJ PRON ADP NOUN VERB PRON ADP PRON NOUN NOUN PUNCT CCONJ ADV VERB PRON PUNCT PUNCT INTJ PUNCT PRON AUX NOUN PUNCT PRON AUX PRON NOUN ADV PRON NOUN CCONJ PRON AUX VERB ADV NOUN ADP PRON PUNCT PUNCT CCONJ ADV AUX PRON PRON ADP PRON NOUN PUNCT CCONJ ADV VERB ADV ADV PART PRON ADP NOUN ADV PUNCT CCONJ ADV VERB PRON SCONJ ADV PRON VERB NOUN ADP DET NUM NOUN PUNCT CCONJ ADV VERB DET ADJ PUNCT PUNCT PRON AUX PRON PRON VERB PRON CCONJ VERB ADP DET NOUN PUNCT PUNCT DET ADP NOUN VERB PUNCT PUNCT VERB X X PRON PUNCT PUNCT CCONJ AUX ADP DET DET VERB NOUN ADP PRON NOUN NOUN PUNCT PRON AUX ADJ VERB ADP NOUN ADP ADJ NOUN PRON PART ADJ AUX VERB SCONJ NOUN PUNCT SCONJ NOUN CCONJ PRON AUX ADJ SCONJ ADV NOUN AUX VERB PUNCT PRON VERB PART PRON PRON AUX ADJ ADJ ADP NOUN PUNCT PRON PUNCT CCONJ NOUN AUX ADJ ADP NOUN PUNCT ADV VERB PRON ADV CCONJ VERB ADP NOUN CCONJ VERB PRON PUNCT CCONJ DET NOUN AUX,0.047180667433831994,0.38397560975609957,193,869,0.6269430051813472,0.28641557625728686
"[Men, så, banket, jomfru, Hansen, på, døren, ., :, 
, -, Nei, ,, nå, får, De, virkelig, be, hanke, på, den, døren, en, gang, til, ., Det, låter, som, om, vi, får, besøk, hvert, øyeblikk, ., —, Å, —, værsågod, ,, jomfru, Han, sen, !, ., —, Å, ,, har, vi, ikke, fått, -besøk, ,, så, har, vi, fått, ,, og, nå, har, De, vel, sett, så, mye, De, har, å, fortelle, Deres, jomfru, Hansen, !, ropte, gamle, Toresen, og, åpnet, døren, :, —, Goddag, ,, goddag, ,, Ole, Olsen, ,, og, velkommen, hit, ,, sier, jomfru, —, Hansen, og, tok, den, fremmede, ., i, hånden, :, 
, Ole, Olsen, var, et, hode, høyere, enn, de, andre, ,, og, han, var, en, riktig, godslig, kar, ., Han, var, så, vidt, kommet, til, skjels, år, og, alder, med, hår, og, skjegg, var, grått, og, ansiktet, hadde, fått, et, nesten, godtroende, uttrykk, ,, som, han, hadde, lært, av, alle, de, gamle, morskapsbøkene, ,, der, det, ofte, satt, et, bilde, av, en, mann, i, en, meget, ung, alder, ,, han, hadde, god, forstand, og, var, full, av, spøk, og, lune, ., Og, fordi]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT PUNCT SPACE PUNCT INTJ PUNCT ADV VERB PRON ADJ VERB NOUN ADP DET NOUN DET NOUN ADP PUNCT PRON VERB SCONJ SCONJ PRON VERB NOUN DET NOUN PUNCT PUNCT PART PUNCT NOUN PUNCT PROPN PRON ADJ PUNCT PUNCT PUNCT PART PUNCT AUX PRON PART VERB NOUN PUNCT ADV AUX PRON VERB PUNCT CCONJ ADV AUX PRON ADV VERB ADV ADJ PRON VERB PART VERB PRON NOUN PROPN PUNCT VERB ADJ PROPN CCONJ VERB NOUN PUNCT PUNCT NOUN PUNCT NOUN PUNCT PROPN PROPN PUNCT CCONJ ADJ ADV PUNCT VERB PROPN PUNCT PROPN CCONJ VERB DET ADJ PUNCT ADP NOUN PUNCT SPACE PROPN PROPN AUX DET NOUN ADJ ADP DET DET PUNCT CCONJ PRON AUX DET ADJ ADJ NOUN PUNCT PRON AUX ADV ADJ VERB ADP ADJ NOUN CCONJ NOUN ADP NOUN CCONJ NOUN AUX ADJ CCONJ NOUN AUX VERB DET ADV ADJ NOUN PUNCT PRON PRON AUX VERB ADP DET DET ADJ NOUN PUNCT SCONJ PRON ADJ VERB DET NOUN ADP DET NOUN ADP DET ADV ADJ NOUN PUNCT PRON VERB ADJ NOUN CCONJ AUX ADJ ADP NOUN CCONJ ADJ PUNCT CCONJ SCONJ,0.04962779156327544,0.3991545574636711,190,806,0.5210526315789473,0.30601692223842325
"[Det, synspunkt, at, miljøskifte, og, omplassering, av, barn, ikke, skal, forekomme, er, så, antikvert, at, det, grenser, mot, barbari, ., Det, sier, psykolog, og, adferdsterapeut, Rolf, Jenseg, til, Fædrelands, vennen, i, forbindelse, med, reak, sjonene, i, Høvåg, mot, måten, det, «, problembelastede, », barnet, er, blitt, omplassert, ., Jenseg, er, en, av, landets, leden, de, innen, adferdsterapi, og, be, handler, ikke, sjelden, vanskeligs, tilt, ungdom, med, adferdsproble, mer, som, har, ført, til, fengsels, straff, ., Han, uttaler, seg, i, forbindel, se, med, reaksjonene, fra, foreldre, og, elever, og, lærere, på, at, et, elevproblem, skal, ha, ført, til, om, plassering, av, to, små, barn, ., 
, overrasket, over, at, foreldre, og, andre, reagerer, når, et, barn, på, et, tidspunkt, blir, henvist, til, be, handling, for, skoleproblemer, ,, men, ikke, får, bli, i, skolemiljøet, slik, barna, kanskje, kjenner, det, og, har, hatt, sine, beste, år, i, ?, Ja, ,, og, på, dette, punkt, er, jeg, rystet, over, mangel, på, sunt, folkevett, ., Det, strider, mot, vanlig, fornuft]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN PART AUX VERB AUX ADV ADJ SCONJ PRON NOUN ADP PROPN PUNCT PRON VERB NOUN CCONJ NOUN PROPN PROPN ADP PROPN NOUN ADP NOUN ADP PROPN NOUN ADP PROPN ADP NOUN DET PUNCT ADJ PUNCT NOUN AUX AUX VERB PUNCT PROPN AUX DET ADP NOUN NOUN PRON ADP NOUN CCONJ VERB VERB PART ADV NOUN ADJ NOUN ADP NOUN ADJ PRON AUX VERB ADP NOUN NOUN PUNCT PRON VERB PRON ADP NOUN VERB ADP NOUN ADP NOUN CCONJ NOUN CCONJ NOUN SCONJ SCONJ DET NOUN AUX AUX VERB SCONJ SCONJ NOUN ADP NUM ADJ NOUN PUNCT SPACE ADJ SCONJ SCONJ NOUN CCONJ DET VERB SCONJ DET NOUN ADP DET NOUN AUX VERB SCONJ VERB NOUN ADP NOUN PUNCT CCONJ PART AUX VERB ADP NOUN ADV NOUN ADV VERB PRON CCONJ AUX VERB PRON ADJ NOUN ADP PUNCT INTJ PUNCT CCONJ ADP DET NOUN AUX PRON VERB ADP NOUN ADP ADJ NOUN PUNCT PRON VERB ADP ADJ NOUN,0.03969128996692393,0.37053613053613127,165,907,0.5393939393939394,0.22221668010629547
"[Nei, sa, Beatrice, Bare, gå, ut, !, I, morgen, kan, jeg, ikke, vente, len, ger, ., De, sa, at, Gubbens, bil, var, borte, ., De, mente, den, mannen, som, gikk, til, fots, på, gaten, ., Men, mannen, i, bilen, er, ikke, den, samme, som, mannen, som, ble, kidnappet, ., Jeg, vet, det, ., Han, er, en, annen, mann, ., Det, er, jo, det, alle, tror, ,, herr, Be, atrice, ., Det, er, lett, nok, for, meg, å, si, når, jeg, har, Deres, mann, til, å, beskytte, meg, ., Og, hva, er, De, her, for, ,, forresten, ?, Gubben, skulle, komme, til, bake, ., Det, var, Deres, ide, ., Du, har, alt, skrevet, under, på, papirer, ,, sa, Marco, ., Beatrice, trakk, på, skuldrene, ., Jeg, måtte, ta, en, avgjørel, se, ,, hadde, Marco, sagt, ., Jeg, kunne, ikke, vite, hva, som, skjedde, med, meg, når, jeg, ikke, lenger, hadde, Deres, beskyttelse, ., Be, atrice, gikk, med, på, å, betale, Gubben, noen, penger, for, å, slippe, ut, av, huset, og, dra, til, en, av, byene, ,, for, å, få, et, sted, å, bo, til, han, kom, tilbake, ., Så, var, det, Marco, som, trakk, i, trådene, ., 
, av, huset]",INTJ VERB PROPN ADV VERB ADP PUNCT ADP NOUN AUX PRON PART VERB ADJ NOUN PUNCT PRON VERB SCONJ NOUN NOUN AUX ADP PUNCT PRON VERB DET NOUN PRON VERB ADP NOUN ADP NOUN PUNCT CCONJ NOUN ADP NOUN AUX PART DET DET PRON NOUN PRON AUX VERB PUNCT PRON VERB PRON PUNCT PRON AUX DET DET NOUN PUNCT PRON AUX ADV PRON PRON VERB PUNCT PROPN PROPN PROPN PUNCT PRON AUX ADJ ADV ADP PRON PART VERB SCONJ PRON VERB PRON NOUN SCONJ PART VERB PRON PUNCT CCONJ PRON AUX PRON ADV ADP PUNCT ADV PUNCT PROPN AUX VERB ADP ADP PUNCT PRON AUX PROPN NOUN PUNCT PRON AUX PRON VERB ADP ADP NOUN PUNCT VERB PROPN PUNCT PROPN VERB ADP NOUN PUNCT PRON AUX VERB DET ADJ NOUN PUNCT AUX PROPN VERB PUNCT PRON AUX PART VERB PRON PRON VERB ADP PRON SCONJ PRON PART ADJ VERB PROPN NOUN PUNCT ADJ PROPN VERB ADP SCONJ PART VERB PROPN DET NOUN SCONJ PART VERB ADP ADP NOUN CCONJ VERB ADP DET ADP NOUN PUNCT SCONJ PART VERB DET NOUN PART VERB SCONJ PRON VERB ADP PUNCT ADV AUX PRON PROPN PRON VERB ADP NOUN PUNCT SPACE ADP NOUN,0.047505938242280284,0.3878940731399748,199,842,0.6080402010050251,0.32464107578170687
"[For, 2, av, elevene, har, disse, skole, år, resultert, i, eksamener, og, at, de, er, blitt, oppflytninger, i, realskolen, ., 
, har, fått, sine, vitnemål, var, disse, :, Liv, Tande, og, Inger, Johanne, Dal, ., Liv, Tande, oppnådde, meget, gode, karakterer, ., Inger, Johanne, Dal, fikk, S, i, norsk, tilleggsstil, og, Særs, godt, i, tegning, ., ., 
, Etter, endt, skoleår, var, det, en, festlig, tilstelning, ,, først, en, minne, høytidelighet, ved, et, par, elevers, gravsteder, ., Den, ene, eleven, var, død, ute, i, den, store, verden, ,, mens, den, andre, var, død, her, hjemme, ., 
, En, fikk, et, sterkt, inntrykk, av, at, elevene, satte, stor, pris, på, det, de, hadde, fått, med, seg, ,, og, at, disse, år, hadde, vært, av, betydning, for, dem, personlig, ., Lærerne, hadde, lagt, ned, et, stort, arbeide, for, å, få, det, hele, til, 2, bli, så, vellykket, som, mulig, ., De, er, alle, sammen, enige, om, at, denne, ordningen, med, å, ta, ett, år, om, gangen, må, fortsette, og, at, alle, elevene, må, få, det, samme, ut, bytte, av, skoleåret, ,, enten, de, går, over, i, realskolen, eller, i, andre, skoder]",ADP NUM ADP NOUN VERB PRON NOUN NOUN VERB ADP NOUN CCONJ SCONJ PRON AUX VERB NOUN ADP NOUN PUNCT SPACE AUX VERB PRON NOUN AUX PRON PUNCT PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PROPN PROPN VERB ADV ADJ NOUN PUNCT PROPN PROPN PROPN VERB PROPN ADP ADJ NOUN CCONJ PROPN ADJ ADP NOUN PUNCT PUNCT SPACE ADP ADJ NOUN VERB PRON DET ADJ NOUN PUNCT ADV DET ADJ NOUN ADP DET NOUN NOUN NOUN PUNCT DET NUM NOUN AUX ADJ ADP ADP DET ADJ NOUN PUNCT SCONJ DET DET AUX ADJ ADV ADP PUNCT SPACE PRON VERB DET ADJ NOUN SCONJ SCONJ NOUN VERB ADJ NOUN ADP PRON PRON AUX VERB ADP PRON PUNCT CCONJ SCONJ DET NOUN AUX VERB ADP NOUN ADP PRON ADJ PUNCT NOUN AUX VERB ADP DET ADJ NOUN SCONJ PART VERB DET ADJ ADP NUM VERB ADV ADJ ADP ADJ PUNCT PRON AUX DET ADV ADJ SCONJ SCONJ DET NOUN SCONJ PART VERB NUM NOUN ADP NOUN AUX VERB CCONJ SCONJ DET NOUN AUX VERB DET DET ADP VERB ADP NOUN PUNCT CCONJ PRON VERB ADP ADP NOUN CCONJ ADP DET NOUN,0.04185022026431718,0.3573457508731065,189,908,0.6031746031746031,0.2780717244035832
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, ny, type, kurs, innen, EDB, på, Fagernes, ., Det, er, kurset, «, IT, », som, av, mange, fagfolk, regnes, som, «, vidunderkurset, », innenfor, informasjonsteknologi, ., Kuri, set, er, skreddersydd, for, næringslivet, ,, men, det, har, også, stor, nytteverdi, for, folk, som, ønsker, å, bruke, informa, sjonsteknologi, som, hobby, ,, fortel, ler, kursleder, Oddbjørn, Hagen, ., Han, er, lektor, ved, Fagernes, vidaregåande, skule, ., Til, kurset, er, det, også, utarbeidet, en, egen, lære, bok, ,, skrevet, av, Jan, Erik, Vold, ., 
, re, å, sette, seg, inn, i, informasjonsteknologi, i, løpet, av, den, tida, kurset, varer, ., Det, er, lagt, opp, slik, at, man, ikke, trenger, noen, spesielle, forkunnskaper, for, å, delta, ,, sier, han, ., I, tillegg, til, at, kurset, er, lagt, opp, som, et, brevkurs, i, regi, av, NKI, ,, er, det, også, mulighet, for, å, få, med, seg, noen, kveldssamlinger, med, foreles, ninger, i, Gjøvik, for, kursdeltakere, derfrå, ., Studierektor, ved, NKI, ,, Ole, Gunnar, Sclsbøe, sier, at, et, brevkurs]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET ADJ NOUN NOUN ADP PROPN ADP PROPN PUNCT PRON AUX NOUN PUNCT PROPN PUNCT ADP ADP ADJ NOUN VERB SCONJ PUNCT NOUN PUNCT ADP NOUN PUNCT ADJ NOUN AUX VERB ADP NOUN PUNCT CCONJ PRON VERB ADV ADJ NOUN ADP NOUN PRON VERB PART VERB ADJ NOUN SCONJ NOUN PUNCT X VERB NOUN PROPN PROPN PUNCT PRON AUX NOUN ADP PROPN ADJ NOUN PUNCT ADP NOUN AUX PRON ADV VERB DET DET NOUN NOUN PUNCT VERB ADP PROPN PROPN PROPN PUNCT SPACE PROPN PART VERB PRON ADP ADP NOUN ADP NOUN ADP DET NOUN NOUN NOUN PUNCT PRON AUX VERB ADP ADV SCONJ PRON PART VERB DET ADJ NOUN SCONJ PART VERB PUNCT VERB PRON PUNCT ADP NOUN SCONJ SCONJ NOUN AUX VERB ADP SCONJ DET NOUN ADP NOUN ADP PROPN PUNCT VERB PRON ADV NOUN SCONJ PART VERB ADP PRON DET NOUN ADP PRON NOUN ADP PROPN ADP NOUN PROPN PUNCT NOUN ADP PROPN PUNCT PROPN PROPN PROPN VERB SCONJ DET NOUN,0.05605381165919283,0.3983867141162522,173,892,0.5144508670520231,0.3213476192971454
"[Personell, og, organisering, av, sekretariatet, •, Sekretariat, med, minimum, 3, stillinger, •, 2, stillinger, i, 6, mnd., til, sammen, ca., 70, %, •, 1, stilling, ved, oppstart, i, 6, mnd., ca., 15, %, •, 3, stillinger, i, 6, mnd., 
, Ønsket, bakgrunn, •, Relevant, utdanning, fra, høgskole, /, universitet, ., Relevant, erfaring, kan, erstatte, krav, til, dokumentert, utdanning, •, Minimum, 3, års, erfaring, •, Kjennskap, til, offentlig, forvaltning, er, en, fordel, •, Gode, samarbeidsevner, og, evne, til, å, takle, høyt, arbeidstempo, og, stress, •, Må, kunne, jobbe, selvstendig, og, ha, stor, arbeidskapasitet, •, Inngående, kjennskap, til, lov, og, avtaleverk, innen, statlig, personalpolitikk, •, Meget, gode, ferdigheter, i, bruk, av, IT, •, Interesse, for, ,, og, kunnskap, om, frivillig, organisasjonsarbeid, •, Kjennskap, til, Frivillighetsregisteret, •, God, skriftlig, og, muntlig, framstillingsevne, på, norsk, •, Evne, til, å, kommunisere, godt, med, frivillige, så, vel, som, ansatte, ,, og, kunne, formidle, informasjon, ,, både, skriftlig, og, muntlig, på, en, lettfattelig, måte, ., 
, Det, tilbys, •, Varierte, og, spennende, oppgåver, i, et, miljø, der]",NOUN CCONJ NOUN ADP NOUN PUNCT PROPN ADP NOUN NUM NOUN ADP NUM NOUN ADP NUM NOUN ADP ADV ADV NUM NOUN PUNCT NUM NOUN ADP NOUN ADP NUM NOUN ADV NUM NOUN PUNCT NUM NOUN ADP NUM NOUN SPACE ADJ NOUN PUNCT ADJ NOUN ADP NOUN PUNCT NOUN PUNCT ADJ NOUN AUX VERB NOUN ADP ADJ NOUN PUNCT NOUN NUM NOUN NOUN ADP NOUN ADP ADJ NOUN AUX DET NOUN PUNCT ADJ NOUN CCONJ NOUN SCONJ PART VERB ADJ NOUN CCONJ NOUN PUNCT AUX AUX VERB ADJ CCONJ VERB ADJ NOUN ADP ADJ NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT ADJ ADJ NOUN ADP NOUN ADP PROPN PUNCT NOUN ADP PUNCT CCONJ NOUN ADP ADJ NOUN PUNCT NOUN ADP PROPN PUNCT ADJ ADJ CCONJ ADJ NOUN ADP ADJ PUNCT NOUN SCONJ PART VERB ADJ ADP ADJ ADV ADV ADP ADJ PUNCT CCONJ AUX VERB NOUN PUNCT CCONJ ADJ CCONJ ADJ ADP DET ADJ NOUN PUNCT SPACE PRON VERB PUNCT ADJ CCONJ ADJ NOUN ADP DET NOUN SCONJ,0.05125628140703518,0.3983932346723029,170,995,0.3352941176470588,0.07816255677214329
"[De, nevnte, artiklene, i, FN-utredning, en, inneholder, mye, interessant, ,, men, det, er, et, stort, savn, at, man, ikke, har, vært, interessert, i, å, foreta, en, samlet, analyse, av, «, de, nære, ting, », ., Vi, har, for, søkt, å, sette, oss, inn, i, og, analysere, en, enkelt, sektor, av, samfunnslivet, ,, sam, funnsøkonomien, og, næringslivet, ., Det, te, er, et, forsøk, ,, og, det, er, langt, fra, no, en, «, vitenskapelig, », utredning, som, man, kan, stole, hundre, prosent, på, ., Vi, har, imidlertid, vært, villige, til, å, foreta, en, analyse, av, «, de, nære, ting, », ,, —, en, analyse, som, kan, være, til, hjelp, for, de, ansvarlige, i, norsk, politikk, og, næringsliv, ., Det, er, denne, «, nærmeste, ting, », vi, vil, anbefale, til, videre, studier, og, til, vurdering, av, politiske, tiltak, ., En, del, av, de, forslag, vi, har, fremmet, ville, nemlig, kunne, vært, en, vesentlig, hjelp, til, å, få, bedre, styring, på, norsk, øko, nomi, ., Forslagene, kunne, kanskje, også, gitt, grunnlag, for, en, ny, slags, industri, ,, som, mange, andre, land, også, vil, måtte, ta, stilling, til, i, den, omstillingsprosess, som, finner, sted, ., Det, beste, som, kunne, kom, me, ut, av, hele]",DET VERB NOUN ADP NOUN PRON VERB ADJ ADJ PUNCT CCONJ PRON AUX DET ADJ NOUN SCONJ PRON PART AUX AUX ADJ SCONJ PART VERB DET ADJ NOUN ADP PUNCT DET ADJ NOUN PUNCT PUNCT PRON AUX SCONJ VERB PART VERB PRON ADP ADP CCONJ VERB DET ADJ NOUN ADP NOUN PUNCT PROPN NOUN CCONJ NOUN PUNCT DET NOUN AUX DET NOUN PUNCT CCONJ PRON AUX ADJ ADP X DET PUNCT ADJ PUNCT NOUN PRON PRON AUX VERB NUM NOUN ADP PUNCT PRON AUX ADV AUX ADJ SCONJ PART VERB DET NOUN ADP PUNCT DET ADJ NOUN PUNCT PUNCT PUNCT DET NOUN PRON AUX AUX ADP NOUN ADP DET ADJ ADP ADJ NOUN CCONJ NOUN PUNCT PRON AUX DET PUNCT ADJ NOUN PUNCT PRON AUX VERB ADP ADJ NOUN CCONJ ADP NOUN ADP ADJ NOUN PUNCT DET NOUN ADP DET NOUN PRON AUX VERB AUX ADV AUX AUX DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP ADJ NOUN NOUN PUNCT NOUN AUX ADV ADV VERB NOUN ADP DET ADJ NOUN NOUN PUNCT ADP ADJ DET NOUN ADV AUX AUX VERB NOUN ADP ADP DET NOUN PRON VERB NOUN PUNCT DET ADJ PRON AUX VERB PRON ADP ADP ADJ,0.036585365853658534,0.3687700534759347,199,984,0.6231155778894473,0.290554418191656
"[Bør, minimum, være, 10, av, 10., 
, \-, Frist, for, innsending, av, stemmer, er, 14., januar, 2012., Stemmene, leveres, i, billettskranken, på, Fauske, kino, ., 
, Lillebil, Ibsen, og, Per, Aabel, fyller, kinosalen, på, Fauske, onsdag, kveld, ., ., 
, Den, Nationale, Scene, i, Ber, gen, fyller, 90, år, ,, har, jubile, umsfeiring, og, skal, spille, ut, drag, fra, Henrik, Ibsens, samlede, verker, på, Den, Na, tionale, Scene, i, Oslo, ., 
, «, .., .det, kommer, helt, an, på, de, valgene, man, gjør, », ,, sier, den, anerkjente, regissør, Stein, Winge, når, han, presen, teres, for, valgets, kvaler, av, Ibsen, i, «, Peer, Gynt, », ., 
, er, han, på, scenen, på, den, lille, scenen, hos, Fauske, kino, ., Den, Nationale, Scene, i, B, erg'en, spiller, utdrag, fra, Henrik, Ibsens, samlede, ver, ker, ., Den, Nationale, Scene, er, Nordens, eldste, teater, i, drift, og, ble, grunnlagt, i, 1876., Scenen, er, en, av, Norges, stør, ste, med, plass, til, godt, over, 2000, tilskuere, .]",AUX NOUN AUX NUM ADP ADJ SPACE PROPN NOUN ADP NOUN ADP NOUN AUX ADJ NOUN NUM NOUN VERB ADP NOUN ADP PROPN NOUN PUNCT SPACE PROPN PROPN CCONJ PROPN PROPN VERB NOUN ADP PROPN NOUN NOUN PUNCT PUNCT SPACE PROPN PROPN PROPN ADP PROPN NOUN VERB NUM NOUN PUNCT VERB ADJ NOUN CCONJ AUX VERB ADP NOUN ADP PROPN PROPN ADJ NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN PUNCT SPACE PUNCT PUNCT NOUN VERB ADJ ADV ADP DET NOUN PRON VERB PUNCT PUNCT VERB DET ADJ NOUN PROPN PROPN SCONJ PRON NOUN VERB ADP NOUN NOUN ADP PROPN ADP PUNCT PROPN PROPN PUNCT PUNCT SPACE AUX PRON ADP NOUN ADP DET ADJ NOUN ADP PROPN NOUN PUNCT DET PROPN PROPN ADP PROPN PRON VERB NOUN ADP PROPN PROPN ADJ X X PUNCT DET PROPN PROPN AUX PROPN ADJ NOUN ADP NOUN CCONJ AUX VERB ADP NOUN NOUN AUX DET ADP PROPN NOUN PROPN ADP NOUN ADP ADJ ADP NUM NOUN PUNCT,0.06900878293601004,0.41898395721925047,163,797,0.3803680981595092,0.12957212272169275
"[Artikkel, 3, tar, opp, Kommisjonens, arbeidsprogram, for, neste, år, og, en, oversikt, over, viktige, prosjekter, og, saker, kommi, sjonen, arbeider, med, ., Blant, annet, nevner, Artikkel, 3, «, Report, on, the, Functioning, of, the, Com, munications, Sector, », ,, som, vil, bli, fremmet, i, løpet, av, året, og, ha, stor, betydning, for, telekommuni, kasjonssektoren, ., Rapporten, vil, gi, en, vurdering, av, utviklingen, av, alle, deler, av, telenettet, i, medlemslandene, ,, av, strukturen, i, forskjellige, markeds, sektorer, og, av, konkurransesitua, sjonen, ., Den, vil, gi, råd, om, hvordan, konkurranseproblemer, kan, løses, ., Artikkel, 4, understreker, betyd, ningen, av, «, Regulation, of, Communications, Techniques, », ,, som, vil, bli, fremmet, neste, år, ., Med, andre, ord, vil, RMT, ta, for, seg, teleteknikk, ,, både, utstyr, og, applikasjonar, ,, og, den, vil, fremme, tiltak, på, dette, området, som, både, er, tekniske, og, konkurranse, messige, riktige, ., Artikkel, 5, tar, for, seg, kommisjonens, arbeid, med, å, utvikle, et, «, Statistical, System, for, the, Tran, sit, and, Domestic, Communications, »]",NOUN NUM VERB ADP PROPN NOUN ADP DET NOUN CCONJ DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN NOUN VERB ADP PUNCT ADP DET VERB PROPN NUM PUNCT PROPN X X PROPN X X PROPN PROPN PROPN PUNCT PUNCT PRON AUX AUX VERB ADP NOUN ADP NOUN CCONJ VERB ADJ NOUN ADP ADJ NOUN PUNCT NOUN AUX VERB DET NOUN ADP NOUN ADP DET NOUN ADP NOUN ADP NOUN PUNCT ADP NOUN ADP ADJ ADP NOUN CCONJ ADP NOUN NOUN PUNCT PRON AUX VERB NOUN ADP ADV NOUN AUX VERB PUNCT NOUN NUM VERB VERB NOUN ADP PUNCT PROPN X PROPN PROPN PUNCT PUNCT PRON AUX AUX VERB DET NOUN PUNCT ADP DET NOUN AUX PROPN VERB ADP PRON NOUN PUNCT CCONJ NOUN CCONJ PROPN PUNCT CCONJ PRON AUX VERB NOUN ADP DET NOUN PRON CCONJ AUX ADJ CCONJ NOUN ADJ ADJ PUNCT NOUN NUM VERB ADP PRON NOUN NOUN SCONJ PART VERB DET PUNCT PROPN PROPN ADP X X X X PROPN PROPN PUNCT,0.045310853530031614,0.38631111111111005,165,949,0.45454545454545453,0.16697819810115572
