tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, gå, over, ende, ., ., 
, Sekundant, :, Løpere, ,, ledere, ,, reserver, ., ., 
, Bud-skapet, ble, gitt, til, en, av, lagledelsens, medhjelpere, —, en, megetbeskjeden, og, sjenert, sådan, ,, faktisk, den, mest, beskjedne, av, hele, den, overveldende, hoye, stab, i, skiterminologien, ., Det, var, hans, jobb, å, holde, publikum, i, god, tro, slik, at, løperne, ikke, skulle, merke, noe, til, all, viraken, ,, og, det, gjorde, han, altså, ,, men, det, varte, bare, ikke, lenge, for, den, ellers, så, stille, og, beskjedne, mann, tok, til, å, storte, ., 
, Han, la, seg, flat, etter, den, ene, norske, vinneren, etter, den, andre, og, jubelen, og, suset, overdovet, ham, helt, ., Da, det, hele, var, over, ,, var, han, utkjort, ., 
, den, norske, oppvisningen, hadde, vært, sensasjonelt, ,, men, vi, ble, alle, sammen, slått, av, de, gode, ldperne, ,, forteller, han, ., De, har, i, mange, år, hatt, så, gode, folk, l, sving, ,, men, det, norske, innslaget, har, vært, for, beskjedent, ., Nå]",DET NOUN ADP NOUN PRON AUX VERB ADP NOUN PUNCT PUNCT SPACE NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT SPACE NOUN AUX VERB ADP DET ADP NOUN NOUN PUNCT DET NOUN CCONJ ADJ NOUN PUNCT ADJ DET ADJ ADJ ADP ADJ DET ADJ PROPN NOUN ADP NOUN PUNCT PRON AUX PRON NOUN PART VERB NOUN ADP ADJ NOUN ADV SCONJ NOUN PART AUX VERB PRON ADP DET NOUN PUNCT CCONJ PRON VERB PRON ADV PUNCT CCONJ PRON VERB ADV PART ADJ ADP PRON ADV ADV ADJ CCONJ ADJ NOUN VERB SCONJ PART VERB PUNCT SPACE PRON VERB PRON ADJ ADP DET NUM ADJ NOUN ADP DET ADJ CCONJ NOUN CCONJ NOUN VERB PRON ADJ PUNCT SCONJ DET ADJ AUX ADP PUNCT AUX PRON ADJ PUNCT SPACE DET ADJ NOUN AUX AUX ADJ PUNCT CCONJ PRON AUX DET ADV VERB ADP DET ADJ NOUN PUNCT VERB PRON PUNCT PRON AUX ADP ADJ NOUN VERB ADV ADJ NOUN NOUN NOUN PUNCT CCONJ DET ADJ NOUN AUX AUX ADV ADJ PUNCT ADV,0.044524669073405534,0.380460358056267,171,831,0.5847953216374269,0.22061098170235136
"[Men, så, banket, jomfru, Hansen, på, døren, og, spurte, hvordan, det, gikk, til, at, han, hadde, kommet, i, dag, ., -, A, jo, ,, svarte, den, andre, -, det, går, da, bra, ,, svarte, Maren, ., Jeg, holder, just, på, å, sy, en, kjole, til, Maren, Bakken, ,, som, skal, gifte, seg, til, jul, med, en, kontorist, oppe, fra, bygda, ., Men, det, skal, bli, en, overraskelse, så, du, får, ikke, vite, noe, om, det, -, her, skal, du, se, ,, la, hun, til, og, tok, ned, fra, et, skap, en, ferdig, kjole, i, brun, brokade, som, hun, viste, Maren, ., ., 
, Maren, så, på, kjolen, og, kunne, ik, ke, få, øynene, sine, fra, den, fine, kjo, len, ,, og, banket, forsiktig, på, kjøk, kendøren, igjen, ., Men, så, kom, jom, fru, Hansen, likevel, inn, igjen, ., -, Ja, ,, jeg, har, jo, sagt, at, det, bare, skal, være, en, overraskelse, ,, sa, hun, og, gikk, igjen, ., 
, Maren, ble, sittende, rett, opp, og, ned, i, stolen, og, se, på, kjolen, ., Hun, gråt, ikke, ,, men, det, rant, en, fuktig, stripe, nedetter, hvert, kinn, og, en, fin, perle, i, hvert]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB ADV PRON VERB SCONJ SCONJ PRON AUX VERB ADP NOUN PUNCT PUNCT PROPN ADV PUNCT VERB DET DET PUNCT PRON VERB ADV ADJ PUNCT VERB PROPN PUNCT PRON VERB ADJ SCONJ PART VERB DET NOUN ADP PROPN PROPN PUNCT PRON AUX VERB PRON ADP NOUN ADP DET NOUN ADP ADP NOUN PUNCT CCONJ PRON AUX VERB DET NOUN SCONJ PRON AUX PART VERB PRON ADP PRON PUNCT ADV AUX PRON VERB PUNCT VERB PRON ADP CCONJ VERB ADP ADP DET NOUN DET ADJ NOUN ADP ADJ NOUN PRON PRON VERB PROPN PUNCT PUNCT SPACE PROPN VERB ADP NOUN CCONJ VERB PROPN PROPN VERB NOUN PRON ADP DET ADJ NOUN ADV PUNCT CCONJ VERB ADJ ADP NOUN NOUN ADV PUNCT CCONJ ADV VERB NOUN PROPN PROPN ADV ADP ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADV VERB SCONJ PRON ADV AUX AUX DET NOUN PUNCT VERB PRON CCONJ VERB ADV PUNCT SPACE PROPN VERB ADJ ADJ ADP CCONJ ADP ADP NOUN CCONJ VERB ADP NOUN PUNCT PRON VERB PART PUNCT CCONJ PRON VERB DET ADJ NOUN VERB DET NOUN CCONJ DET ADJ NOUN ADP DET,0.041212121212121214,0.3920876288659794,193,825,0.6010362694300518,0.2978046355676811
"[Det, synspunkt, at, miljøskifte, og, utflytting, fra, miljøet, har, gjort, elevene, mindre, mottakelig, for, læring, har, fått, en, del, motbør, ., Særlig, fra, lærere, i, små, skole-enheter, blir, det, hevdet, at, utflyttingstesen, bygger, på, en, overdreven, frykt, for, miljøet, i, de, store, enhe, tene, ., 
, blitt, mer, like, ., De, har, fått, stør, re, skoler, og, flere, skoletilbud, ., Likevel, kan, det, synes, som, om, vi, er, kommet, til, et, punkt, i, norsk, skole, hvor, vi, har, fått, en, situasjon, hvor, det, er, blitt, sta, dig, viktigere, å, skape, mer, mil, jøer, ,, større, miljøer, ,, og, hvor, mange, har, fått, økt, trivsel, som, mål, for, sin, virksomhet, ., Et, viktig, trekk, ved, den, nye, skoleord, ningen, er, at, den, er, meget, ulik, den, gamle, ., Elevene, vil, ikke, bare, ta, del, i, mer, varierte, skoleti, mer, og, mer, varierte, miljøer, ., De, skal, også, møte, mange, flere, læ, rere, enn, før, ., De, skal, ha, time, sammen, med, et, stort, antall, elever, slik, at, det, blir, mindre, tid, til, den, enkelte, elev, enn, før, ., 
, skal, utplasseres, i, arbeidslivet, ,, og, med, den, utvikling, som]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN AUX VERB NOUN ADJ ADJ ADP NOUN AUX VERB DET NOUN NOUN PUNCT ADJ ADP NOUN ADP ADJ NOUN AUX PRON VERB SCONJ NOUN VERB ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN NOUN PUNCT SPACE VERB ADJ ADJ PUNCT PRON AUX VERB NOUN PROPN NOUN CCONJ ADJ NOUN PUNCT ADV AUX PRON VERB SCONJ SCONJ PRON AUX VERB ADP DET NOUN ADP ADJ NOUN ADV PRON AUX VERB DET NOUN ADV PRON AUX VERB ADJ ADV ADJ PART VERB ADJ NOUN NOUN PUNCT ADJ NOUN PUNCT CCONJ ADV ADJ AUX VERB ADJ NOUN ADP NOUN ADP PRON NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN NOUN AUX SCONJ PRON AUX ADV ADJ DET ADJ PUNCT NOUN AUX PART ADV VERB NOUN ADP ADJ VERB NOUN ADJ CCONJ ADJ ADJ NOUN PUNCT PRON AUX ADV VERB ADJ ADJ NOUN NOUN ADP ADP PUNCT PRON AUX VERB NOUN ADV ADP DET ADJ NOUN NOUN ADV SCONJ PRON VERB ADJ NOUN ADP DET ADJ NOUN ADP ADP PUNCT SPACE AUX VERB ADP NOUN PUNCT CCONJ ADP DET NOUN PRON,0.035218783351120594,0.36533783783783946,188,937,0.6382978723404256,0.288323586203558
"[Nei, sa, Beatrice, Bare, gå, Beatrice, ,, sa, hun, ,, da, hun, endelig, kom, til, syne, ., Hva, har, jeg, sagt, det, går, ikke, an, med, slikt, folk, i, huset, ., ., Og, nå, kom, jeg, til, å, tenke, på, det, at, hvis, hun, bare, kunde, bli, kvitt, Mimi, ,, så, vilde, jeg, kanskje, komme, litt, ut, av, det, ., ., 
, Hvem, skal, du, leie, ut, i, steden, ?, spurte, jeg, ., En, av, dine, be, kjente, ,, var, det, oppriktige, svaret, ., Mimi, !, skrek, hun, aldeles, sanseløs, ., Hva, skal, denne, slad, rekjerringa, få, på, gården, ?, Hun, er, en, sniker, av, rang, ,, en, sladre, kjærring, ,, en, utspekulert, dje, vel, ., Og, hun, går, alltid, og, lager, skravl, om, meg, som, om, jeg, skulde, være, i, nærheten, ,, den, fordømte, tis, pa, ., Hun, har, hengt, et, digert, bil, de, etter, seg, i, huset, mitt, som, en, slags, advarsel, med, sitt, hykleri, og, sin, falskhet, ., Ja, ,, jeg, har, da, hatt, nok, av, fuskprat, om, meg, i, huset, ,, men, ikke, mer, enn, at, jeg, greier, å]",INTJ VERB PROPN ADV VERB PROPN PUNCT VERB PRON PUNCT SCONJ PRON ADJ VERB ADP PROPN PUNCT PRON AUX PRON VERB PRON VERB PART ADV ADP DET NOUN ADP NOUN PUNCT PUNCT CCONJ ADV VERB PRON SCONJ PART VERB ADP PRON SCONJ SCONJ PRON ADV NOUN VERB ADJ PROPN PUNCT ADV NOUN PRON ADV VERB ADJ ADP ADP PRON PUNCT PUNCT SPACE PRON AUX PRON VERB ADP ADP NOUN PUNCT VERB PRON PUNCT DET ADP PRON VERB ADJ PUNCT VERB DET ADJ NOUN PUNCT PROPN PUNCT VERB PRON ADV ADJ PUNCT PRON AUX DET ADJ NOUN ADJ ADP NOUN PUNCT PRON AUX DET NOUN ADP NOUN PUNCT DET NOUN NOUN PUNCT DET ADJ NOUN ADV PUNCT CCONJ PRON VERB ADV CCONJ VERB NOUN ADP PRON SCONJ SCONJ PRON NOUN AUX SCONJ NOUN PUNCT DET ADJ NOUN X PUNCT PRON AUX VERB DET ADJ NOUN PRON ADP PRON ADP NOUN PRON SCONJ DET NOUN NOUN ADP PRON NOUN CCONJ PRON NOUN PUNCT INTJ PUNCT PRON AUX ADV VERB ADV ADP NOUN ADP PRON ADP NOUN PUNCT CCONJ PART ADJ SCONJ SCONJ PRON VERB PART,0.04865556978233035,0.3897540983606559,183,781,0.6010928961748634,0.307720917949462
"[For, 2, av, elevene, har, vi, kjøpt, møbler, fra, Sverige, ., Jeg, vil, for, øvrig, få, nevne, at, vår, skole, i, år, har, hatt, besøk, av, en, representant, for, den, svenske, skolekomite, ., Han, studerte, våre, undervisningsforhold, under, to, ukers, besøk, ., Som, en, hyggelig, gest, fra, skolen, fikk, de, anledning, og, besøk, av, ham, her, i, Oslo, for, å, se, hvordan, en, spesialskole, er, drevet, i, Norge, ., Elevene, ved, skolen, vår, har, ofte, lange, og, strabasiøse, reiser, for, å, få, undervisning, ., De, må, blant, annet, helt, til, Røros, ,, men, ikke, nok, med, det, :, de, må, også, ta, seg, fram, til, fots, til, og, fra, Trondheim, som, er, nærmere, 30, mil, unna, ., Jeg, kan, nevne, et, eksempel, :, for, noen, dager, siden, fikk, vi, en, elev, fra, Bindal, ., Hun, hadde, ca., 70, mils, reise, en, vei, for, å, komme, hit, til, vår, skole, ., Elevene, må, imidlertid, ikke, bare, reise, for, å, komme, til, skolen, ,, de, må, også, hjem, igjen, ,, og, dette, med, å, komme, til, og, fra, skolen, er, det, ofte, som, er, den, store, bøygen, ., De, lange, reiser, skaper, selvsagt, store, forstyrrelser, i, skole, arbeidet, ,]",ADP NUM ADP NOUN AUX PRON VERB NOUN ADP PROPN PUNCT PRON AUX ADP ADJ AUX VERB SCONJ PRON NOUN ADP NOUN AUX VERB NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON NOUN ADP NUM NOUN NOUN PUNCT SCONJ DET ADJ NOUN ADP NOUN VERB PRON NOUN CCONJ NOUN ADP PRON ADV ADP PROPN SCONJ PART VERB ADV DET NOUN AUX VERB ADP PROPN PUNCT NOUN ADP NOUN PRON AUX ADJ ADJ CCONJ ADJ VERB SCONJ PART VERB NOUN PUNCT PRON AUX ADP DET ADJ ADP PROPN PUNCT CCONJ PART ADV ADP PRON PUNCT PRON AUX ADV VERB PRON ADP ADP NOUN ADP CCONJ ADP PROPN PRON AUX ADJ NUM NOUN ADP PUNCT PRON AUX VERB DET NOUN PUNCT ADP DET NOUN ADV VERB PRON DET NOUN ADP PROPN PUNCT PRON VERB ADV NUM NOUN VERB DET NOUN SCONJ PART VERB ADV ADP PRON NOUN PUNCT NOUN AUX ADV PART ADV VERB SCONJ PART VERB ADP NOUN PUNCT PRON VERB ADV ADP ADV PUNCT CCONJ PRON SCONJ PART VERB ADP CCONJ ADP NOUN AUX PRON ADJ PRON AUX DET ADJ NOUN PUNCT DET ADJ NOUN VERB ADJ ADJ NOUN ADP NOUN NOUN PUNCT,0.04680851063829787,0.3750392817059476,197,940,0.6345177664974619,0.2557037566523466
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, «, Østfoldutstillingen, », i, regi, av, Østfold, Røde, Kors, ,, Barnehjelpen, ., Utstillingene, vil, bli, delt, opp, i, to, typer, ;, en, for, barn, og, en, for, hele, familien, ., 
, STOR, SAMLING, :, Over, 2000, gjenstander, ,, fra, dukke, vognertil, porselensfigurer, ,, skal, under, hammeren, når, det, fredag, og, lørdag, ar, rangeres, auksjon, i, Dronning, ensgate, ., ., 
, FORMENTA, FLAGGSTENGER, -TELETEKNIKK-, VESTAKKEN, SPORT, as, Ring, for, brosjyrer, og, priser, ., ., 
, Tlf, ., 62, 34, 95, 00, Fax, :, 
, (, tilsv., kr, 100, pr, time, ), og, vi, kan, tilby, meget, gode, betingelser, ., ✓, Vi, vil, gi, full, opplæring, i, bransjen, ., ✓, Tarifflønn, ., ✓, Vi, ønsker, oss, blide, ,, omgjengelige, personer, som, kan, jobbe, selvstendig, ., ✓, Send, inn, søknad, eller, ta, kontakt, med, Kent, på, tlf., 62, 59, 52, 51., 
, Benytt, www.bravida.no, ,, eller]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN PUNCT PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT PROPN PUNCT NOUN AUX AUX VERB ADP ADP NUM NOUN PUNCT PRON ADP NOUN CCONJ DET ADP ADJ NOUN PUNCT SPACE NOUN NOUN PUNCT ADP NUM NOUN PUNCT ADP NOUN ADP NOUN PUNCT AUX ADP NOUN SCONJ PRON NOUN CCONJ NOUN PROPN VERB NOUN ADP PROPN PROPN PUNCT PUNCT SPACE PROPN PROPN PUNCT PROPN PROPN PROPN PROPN ADP NOUN CCONJ NOUN PUNCT PUNCT SPACE ADP PUNCT NUM NUM NUM NUM ADJ PUNCT SPACE PUNCT NOUN NOUN NUM ADP NOUN PUNCT CCONJ PRON AUX VERB ADV ADJ NOUN PUNCT PUNCT PRON AUX VERB ADJ NOUN ADP NOUN PUNCT PUNCT PROPN PUNCT PUNCT PRON VERB PRON ADJ PUNCT ADJ NOUN PRON AUX VERB ADJ PUNCT PUNCT VERB ADP NOUN CCONJ VERB NOUN ADP PROPN ADP NOUN NUM NUM NUM ADJ SPACE VERB PROPN PUNCT CCONJ,0.08957219251336898,0.44309012875536435,152,748,0.32894736842105265,0.17647568596127255
"[Personell, og, organisering, av, sekretariatet, i, den, nye, region, Innlandet, har, vært, sentrale, punkter, i, sonderingen, mellom, de, to, fylkene, ., Hedmark, vil, ha, et, sekretariat, på, Hamar, med, sju, ansatte, ,, mens, Hedmarken, vil, ha, et, eget, kontor, for, Hedmark, i, Fylkeshuset, på, Lillehammer, ., Opposisjonspartiene, i, Oppland, ,, som, har, vært, på, gli, i, lokaliseringsdebatten, ,, kan, få, en, ekstra, utfordring, med, å, holde, på, Opplands-opposisjo, nen, med, tanke, på, at, en, skal, få, på, plass, felles, fylkesledelse, for, Oppland, og, Hedmark, ., Forhandlinger, handler, om, noe, mer, enn, fordeling, av, verve, eller, plasser, ., Fyl, kesmennene, Sigbjørn, Johnsen, og, Kristin, Hille, vall, har, ledet, sonderingsrundene, ., Fra, Hedmark, har, fylkesrådsleder, Njål, Føsker, (, Ap, ), ,, fylkesråd, Maj, C., Stenersen, Lund, (, SV, ), og, fylkesvaraord, fører, Reidun, Gravdahl, (, Ap, ), deltatt, ., Fra, Oppland, har, fylkesordfører, Audun, Tron, (, Ap, ), ,, fylkesrådsleder, Reidar, Åsgård, (, Ap, ), og, fylkesordfø, rer, Gro, Lund]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN PROPN AUX AUX ADJ NOUN ADP NOUN ADP DET NUM NOUN PUNCT PROPN AUX VERB DET NOUN ADP PROPN ADP NUM ADJ PUNCT SCONJ PROPN AUX VERB DET DET NOUN ADP PROPN ADP PROPN ADP PROPN PUNCT NOUN ADP PROPN PUNCT PRON AUX AUX ADP NOUN ADP NOUN PUNCT AUX VERB DET ADJ NOUN SCONJ PART VERB ADP NOUN NOUN ADP NOUN SCONJ SCONJ PRON AUX VERB ADP NOUN ADJ NOUN ADP PROPN CCONJ PROPN PUNCT NOUN VERB ADP DET ADJ ADP NOUN ADP ADJ CCONJ NOUN PUNCT ADJ NOUN PROPN PROPN CCONJ PROPN PROPN NOUN AUX VERB NOUN PUNCT ADP PROPN AUX NOUN PROPN PROPN PUNCT PROPN PUNCT PUNCT NOUN PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT CCONJ NOUN VERB PROPN PROPN PUNCT PROPN PUNCT VERB PUNCT ADP PROPN VERB NOUN PROPN PROPN PUNCT PROPN PUNCT PUNCT NOUN PROPN PROPN PUNCT PROPN PUNCT CCONJ NOUN NOUN PROPN PROPN,0.053691275167785234,0.40506508875739633,158,894,0.3860759493670886,0.17559603932263776
"[De, nevnte, artiklene, i, FN, er, ikke, blitt, bekreftet, på, noe, hold, ,, men, en, autoritativ, kilde, i, Washington, har, overfor, New, York, Times, sagt, at, det, ikke, synes, å, være, noen, grunn, til, å, betvile, dem, ., FN, har, sendt, tre, undersøkelseskomi, téer, til, Ungarn, og, Romania, og, har, gjort, det, klart, at, den, vil, gjøre, alt, som, står, i, dens, makt, for, å, for, svare, menneskerettighetene, i, land, som, er, medlemmer, av, FN, ., ., 
, Den, amerikanske, militærguvernør, ,, general, Omar, Bradley, ,, erklærte, nylig, at, den, røde, arme, hadde, satt, igang, en, systematisk, utplyndring, av, landet, og, at, den, russiske, propaganda, i, den, anledning, drev, en, intens, propaganda, for, å, gi, dette, sin, gyldighet, ., 
, PRESIDENT, TRUMAN, sendte, ons, dag, kveld, et, budskap, til, den, un, garske, regjering, og, uttrykte, sin, sto, re, bekymring, over, situasjonen, i, Un, garn, og, den, urett, som, angivelig, blir, begått, mot, folket, i, landet, ., 
, større, enn, noensinne, før, i, FN's, historie, ., I, henhold, til, loven, om, at, ingen, av, FN's, organer]",DET VERB NOUN ADP PROPN AUX PART AUX VERB ADP DET NOUN PUNCT CCONJ DET ADJ NOUN ADP PROPN VERB ADP PROPN PROPN PROPN VERB SCONJ PRON PART VERB PART AUX DET NOUN SCONJ PART VERB PRON PUNCT PROPN AUX VERB NUM ADJ NOUN ADP PROPN CCONJ PROPN CCONJ AUX VERB PRON ADJ SCONJ PRON AUX VERB PRON PRON VERB ADP DET NOUN SCONJ PART AUX VERB NOUN ADP NOUN PRON AUX NOUN ADP PROPN PUNCT PUNCT SPACE DET ADJ NOUN PUNCT NOUN PROPN PROPN PUNCT VERB ADV SCONJ DET ADJ NOUN AUX VERB ADV DET ADJ NOUN ADP NOUN CCONJ SCONJ DET ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN SCONJ PART VERB PRON PRON NOUN PUNCT SPACE NOUN PROPN VERB NOUN NOUN NOUN DET NOUN ADP DET X ADJ NOUN CCONJ VERB PRON VERB PROPN NOUN ADP NOUN ADP PROPN NOUN CCONJ DET NOUN PRON ADJ AUX VERB ADP NOUN ADP NOUN PUNCT SPACE ADJ ADP ADV ADP ADP PROPN NOUN PUNCT ADP NOUN ADP NOUN SCONJ SCONJ PRON ADP PROPN NOUN,0.05147864184008762,0.38178240740740743,175,913,0.5428571428571428,0.19165519973685521
"[Bør, minimum, være, 10, av, 11, rette, -, ikke, mer, enn, 10, av, 10., ®, Hva, er, det, som, er, så, morsomt, med, å, reise, på, fotballturer, rundt, i, verden, ?, -, Ikke, så, veldig, moro, ., ®, Kuldetaking, ., -, Hvor, stor, motor, bør, man, ha, i, en, snøskuter, ?, ®, Hvis, man, skulle, fått, oppfylt, et, ønske, ,, eller, drømmer, du, om, ?, ®, Hvor, ønsker, du, å, jobbe, som, jordmor, ?, ©, Hvor, ble, Alexander, Dale, Oen, født, ?, ©, Hva, er, det, beste, med, å, bo, i, Berlevåg, ?, ®, Jeg, skulle, ønske, at, «, Idol, », kunne, komme, tilbake, til, Norge, ,, men, det, har, vel, ikke, så, veldig, stor, effekt, med, mindre, Tone, vinner, da, ., ®, Du, skal, få, en, million, kroner, av, Jens, ., Hva, vil, du, bruke, peng, ene, på, ?, Det, hadde, vært, veldig, bra, om, Jens, kan, bruke, en, million, kroner, på, eldreomsorgen, for, det, er, den, som, er, best, og, ikke, skole, ,, det, er, ikke, den, beste, !, ®, Er, det, noen, du, vil, hilse, til, ?, JAA]",AUX NOUN AUX NUM ADP NUM ADJ PUNCT PART ADJ ADP NUM ADP ADJ NOUN PRON AUX PRON PRON AUX ADV ADJ SCONJ PART VERB ADP NOUN ADP ADP NOUN PUNCT PUNCT PART ADV ADJ NOUN PUNCT DET NOUN PUNCT PUNCT ADV ADJ NOUN AUX PRON VERB ADP DET NOUN PUNCT NOUN SCONJ PRON AUX AUX VERB DET NOUN PUNCT CCONJ VERB PRON ADP PUNCT NOUN ADV VERB PRON PART VERB SCONJ NOUN PUNCT PUNCT ADV AUX PROPN PROPN PROPN VERB PUNCT PUNCT PRON AUX DET ADJ SCONJ PART VERB ADP PROPN PUNCT NOUN PRON AUX VERB SCONJ PUNCT PROPN PUNCT AUX VERB ADP ADP PROPN PUNCT CCONJ PRON AUX ADV PART ADV ADJ ADJ NOUN ADP ADJ PROPN VERB ADV PUNCT NOUN PRON AUX VERB DET NOUN NOUN ADP PROPN PUNCT PRON AUX PRON VERB NOUN NUM ADP PUNCT PRON AUX AUX ADJ ADJ SCONJ PROPN AUX VERB DET NOUN NOUN ADP NOUN ADP PRON AUX PRON PRON AUX ADJ CCONJ PART NOUN PUNCT PRON AUX PART DET ADJ PUNCT NOUN VERB PRON PRON PRON AUX VERB ADP PUNCT PROPN,0.06307490144546649,0.4023876404494376,181,761,0.585635359116022,0.2805322306939542
"[Artikkel, 3, tar, opp, Kommisjonens, ansvar, for, å, sikre, at, direktivets, forpliktel, ser, følges, ., 
, ansvar, og, rett, til, å, sikre, at, alle, direktiver, innsendes, til, EF, domstolen, ,, for, vurdering, ., 
, Dersom, Kommisjonen, på, et, hvilket, som, helst, tidspunkt, i, beslutningsprosessen, har, in, formasjon, som, kan, tyde, på, at, direktivet, er, rettsstridig, ,, skal, Kommisjonen, gjøre, EF, domstolen, oppmerksom, på, dette, ., 
, EØS-avtalen, forplikter, Norge, til, å, gjennomføre, og, følge, opp, en, rekke, direktiver, ., Et, av, dis, se, direktivene, omhandler, det, indre, marked, for, elektriske, produkter, (, produktdirekti, vet, ), ., Direktivet, fastsetter, fel, les, retningslinjer, for, merking, og, registrering, av, elektriske, produkter, ., Dette, innebærer, blant, annet, at, det, skal, være, felles, bestemmelser, for, mer, king, av, brannfare, på, pro, dukter, som, er, tilgjengelig, for, allmennheten, ., Dessuten, skal, det, fastsettes, felles, pro, dukttester, på, markedet, ., 
, Kommisjonens, oppgave, er, altså, ikke, bare, å, vurdere, di, rektiver, når, de, blir, utformet, ,, men, den, skal, også, følge, med, og, gripe, inn, dersom, det, viser, seg, at, regelverket, og, prak, tiseringen]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ NOUN NOUN VERB VERB PUNCT SPACE NOUN CCONJ NOUN SCONJ PART VERB SCONJ DET NOUN VERB ADP PROPN NOUN PUNCT ADP NOUN PUNCT SPACE SCONJ PROPN ADP DET PRON ADP ADV NOUN ADP NOUN VERB ADJ NOUN PRON AUX VERB SCONJ SCONJ NOUN AUX ADJ PUNCT AUX PROPN VERB PROPN NOUN ADJ ADP PRON PUNCT SPACE NOUN VERB PROPN SCONJ PART VERB CCONJ VERB ADP DET NOUN NOUN PUNCT DET ADP NOUN VERB NOUN VERB DET ADJ NOUN ADP ADJ NOUN PUNCT NOUN VERB PUNCT PUNCT NOUN VERB PROPN VERB NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT PRON VERB ADP DET SCONJ PRON AUX AUX ADJ NOUN ADP ADJ NOUN ADP NOUN ADP PROPN NOUN PRON AUX ADJ ADP NOUN PUNCT ADV AUX PRON VERB ADJ X NOUN ADP NOUN PUNCT SPACE NOUN NOUN AUX ADV PART ADV PART VERB NOUN NOUN SCONJ PRON AUX VERB PUNCT CCONJ PRON AUX ADV VERB ADP CCONJ VERB ADP SCONJ PRON VERB PRON SCONJ NOUN CCONJ NOUN NOUN,0.03849855630413859,0.37078787878787844,177,1039,0.4858757062146893,0.2078591634587861
