tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ombestemte, seg, ?, Ja, -, nei, -, nei, -, han, hadde, gjort, det, en, gang, før, ,, ved, å, tilby, ham, en, leilighet, ,, men, avslo, fordi, de, ikke, hadde, barn, ., Var, det, i, orden, nå, ?, Han, husket, at, hans, mor, hadde, sagt, :, Det, er, ikke, et, barn, som, betyr, noe, for, en, mann, ., "", Hun, tenkte, da, på, mannens, følelser, overfor, barnet, -, slik, som, morskjærligheten, -, så, det, var, nok, meningen, at, vi, skulle, passe, godt, på, de, barna, ,, og, ta, oss, ordentlig, av, de, små, "", 
, leste, det, som, om, det, skulle, være, en, selvfølge, at, sønnen, ikke, skulle, ha, barn, -, og, om, han, hadde, barn, skulle, da, ikke, være, noen, hindring, for, dem, å, reise, dit, ., Men, om, hun, var, for, eller, mot, barn, -, kunne, ikke, gutten, forstå, -, fordi, hun, ikke, nevnte, barn, med, et, eneste, ord, -, men, hun, ville, ha, sagt, det, om, gutten, spurte, eller, ikke, -, Det, var, liksom, hennes, plikt, å, si, det, ,, og, at, han, skulle, adoptere, et, barn, -, hvis, hun, var, i, mot, barn, var, det, et, spørsmål]",DET NOUN ADP NOUN PRON VERB PRON PUNCT INTJ PUNCT INTJ PUNCT INTJ PUNCT PRON AUX VERB PRON DET NOUN ADP PUNCT SCONJ PART VERB PRON DET NOUN PUNCT CCONJ VERB SCONJ PRON PART VERB NOUN PUNCT AUX PRON ADP NOUN ADV PUNCT PRON VERB SCONJ PRON NOUN AUX VERB PUNCT PRON AUX PART DET NOUN PRON VERB PRON ADP DET NOUN PUNCT PUNCT PRON VERB ADV ADP NOUN NOUN ADP NOUN PUNCT ADV ADP NOUN PUNCT CCONJ PRON AUX ADV NOUN SCONJ PRON AUX VERB ADJ ADP DET NOUN PUNCT CCONJ VERB PRON ADJ ADP DET ADJ PUNCT SPACE VERB PRON SCONJ SCONJ PRON AUX AUX DET NOUN SCONJ NOUN PART AUX VERB NOUN PUNCT CCONJ SCONJ PRON VERB NOUN AUX ADV PART VERB DET NOUN ADP PRON PART VERB ADV PUNCT CCONJ SCONJ PRON AUX ADP CCONJ ADP NOUN PUNCT AUX PART NOUN VERB PUNCT SCONJ PRON PART VERB NOUN ADP DET NUM NOUN PUNCT CCONJ PRON AUX AUX VERB PRON SCONJ NOUN VERB CCONJ PART PUNCT PRON AUX ADV PRON NOUN PART VERB PRON PUNCT CCONJ SCONJ PRON AUX VERB DET NOUN PUNCT SCONJ PRON AUX ADP ADP NOUN AUX PRON DET NOUN,0.04357798165137615,0.37883353584447227,196,872,0.6581632653061225,0.31144943393020336
"[Men, så, banket, jomfru, Hansen, på, kjøkkendøren, en, dag, ,, og, da, hun, fikk, se, at, de, hadde, det, godt, ,, mente, hun, at, det, kunne, være, på, tide, noen, tok, seg, av, de, tre, minste, guttene, også, ., 
, «, Du, vil, vel, ha, han, Petter, med, du, ,, Jens, ,, kan, jeg, tenke, », ,, sa, hun, ., «, Nei, ,, det, er, ikke, noe, å, gjøre, for, meg, ,, for, her, steller, de, så, godt, for, meg, ., 
, «, Bare, jeg, kan, få, det, å, gjøre, ,, han, Jens, steller, for, ,, så, kan, det, hende, jeg, får, meg, en, tår, ., Men, i, min, ungdom, var, det, ingen, som, tenkte, på, slikt, ,, den, tid, jeg, var, til, skogs, ., Jeg, kan, ikke, tro, annet, enn, at, han, Jens, må, være, fra, en, gard, ., 
, «, Jeg, blir, bare, så, lei, når, jeg, får, litt, drikke, ,, og, når, jeg, får, en, dram, ,, er, den, som, spenner, imot, ,, den, blir, så, leie, ,, når, jeg, får, et, slagsmål, ,, så, er, det, som, vil, den, til, å, ta, igjen, ,, jeg, er, for, glad, i, å, drikke, til, slikt, », ., «, Jeg, får, vel, prøve, å, ta, fatt, på, deg, da, ,, Petter, », ,, sa, han, da]",CCONJ ADV VERB PROPN PROPN ADP NOUN DET NOUN PUNCT CCONJ SCONJ PRON AUX VERB SCONJ PRON VERB PRON ADJ PUNCT VERB PRON SCONJ PRON AUX AUX SCONJ NOUN PRON VERB PRON ADP DET NUM ADJ NOUN ADV PUNCT SPACE PUNCT PRON AUX ADV VERB PRON PROPN ADP PRON PUNCT PROPN PUNCT AUX PRON VERB PUNCT PUNCT VERB PRON PUNCT PUNCT INTJ PUNCT PRON VERB PART PRON PART VERB ADP PRON PUNCT CCONJ ADV VERB PRON ADV ADJ ADP PRON PUNCT SPACE PUNCT ADV PRON AUX VERB PRON PART VERB PUNCT PRON PROPN VERB ADP PUNCT ADV AUX PRON VERB PRON VERB PRON DET NOUN PUNCT CCONJ ADP PRON NOUN VERB PRON PRON PRON VERB ADP PRON PUNCT DET NOUN PRON AUX ADP NOUN PUNCT PRON AUX PART VERB DET SCONJ SCONJ PRON PROPN AUX AUX ADP DET NOUN PUNCT SPACE PUNCT PRON VERB ADV ADV ADJ SCONJ PRON VERB ADJ NOUN PUNCT CCONJ SCONJ PRON VERB DET NOUN PUNCT AUX PRON PRON VERB ADP PUNCT PRON VERB ADV NOUN PUNCT SCONJ PRON VERB DET NOUN PUNCT ADV AUX PRON PRON VERB PRON SCONJ PART VERB ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB ADP PRON PUNCT PUNCT PUNCT PRON VERB ADV VERB PART VERB ADV ADP PRON ADV PUNCT PROPN PUNCT PUNCT VERB PRON SCONJ,0.04428044280442804,0.38049738219895385,217,813,0.6912442396313364,0.376412347050656
"[Det, synspunkt, at, miljøskifte, og, miljøforandring, kan, påvirke, oss, gjennom, hele, livsløpet, ,, er, blitt, stadig, klarere, gjennom, de, senere, års, forskning, ., Når, den, psykologiske, forskningen, har, rettet, søkelyset, mot, betydningen, av, miljøskifte, for, oss, alle, ,, er, det, først, og, fremst, voksne, mennesker, forskningssituasjonene, har, angått, ., Selvsagt, er, det, viktig, å, undersøke, hvordan, mennesker, utvikler, seg, i, sitt, hjemlige, og, vante, miljø, ,, men, den, psykologiske, forskning, som, har, tatt, for, seg, små, barns, og, ungdoms, utvikling, ,, har, først, og, fremst, konsentrert, seg, om, miljøer, og, påvirkninger, som, er, annerledes, enn, den, hjemmebakgrunn, som, vi, gjerne, kaller, en, «, vellykket, barndom, », ., Dette, har, medført, at, forskningen, har, tatt, for, lite, hensyn, til, hvordan, vi, reagerer, på, det, som, er, annerledes, og, fremmed, i, vårt, barndomsmiljø, ,, og, også, i, våre, foreldres, barndomsmiljø, ., Den, har, vært, mer, opptatt, av, å, studere, hvordan, mennesker, reagerte, og, tilpasset, seg, miljøer, som, de, møtte, som, voksne, ., I, denne, boken, vil, vi, derfor, først, og, fremst, legge, den, psykologiske, vekten, på, de, mennesker, som, møtte, ,, eller, som, var, i]",DET NOUN SCONJ NOUN CCONJ NOUN AUX VERB PRON ADP ADJ NOUN PUNCT AUX VERB ADJ ADJ ADP DET ADJ NOUN NOUN PUNCT SCONJ DET ADJ NOUN AUX VERB NOUN ADP NOUN ADP NOUN ADP PRON DET PUNCT AUX PRON ADV CCONJ ADJ ADJ NOUN NOUN AUX VERB PUNCT ADJ AUX PRON ADJ PART VERB ADV NOUN VERB PRON ADP PRON ADJ CCONJ ADJ NOUN PUNCT CCONJ DET ADJ NOUN PRON AUX VERB ADP PRON ADJ NOUN CCONJ NOUN NOUN PUNCT AUX ADV CCONJ ADJ ADJ PRON ADP NOUN CCONJ NOUN PRON AUX ADJ ADP DET NOUN PRON PRON ADV VERB DET PUNCT ADJ NOUN PUNCT PUNCT PRON AUX VERB SCONJ NOUN AUX VERB ADV ADJ NOUN ADP ADV PRON VERB ADP PRON PRON AUX ADJ CCONJ ADJ ADP PRON NOUN PUNCT CCONJ ADV ADP PRON NOUN NOUN PUNCT PRON AUX AUX ADJ ADJ SCONJ PART VERB ADV NOUN VERB CCONJ VERB PRON NOUN PRON PRON VERB ADP ADJ PUNCT ADP DET NOUN VERB PRON ADV ADV CCONJ ADJ VERB DET ADJ NOUN ADP DET NOUN PRON VERB PUNCT CCONJ PRON AUX ADP,0.03110273327049953,0.3797035573122518,183,1061,0.6065573770491803,0.2766168739914525
"[Nei, sa, Beatrice, Bare, gå, bort, og, si, det, du, må, si, Og, Beatrice, nikket, Nei, jeg, vil, ikke, du, skal, si, det, Ja, jeg, har, sagt, det, ,, det, er, over, nå, Og, jeg, har, sagt, det, til, meg, seiv, siden, i, går, Den, gangen, jeg, trodde, du, brydde, deg, litt, Og, jeg, har, sett, meg, i, speilet, og, forstått, at, du, egentlig, elsker, meg, Det, som, skjedde, er, kanskje, ikke, over, likevel, Men, bare, jeg, kan, si, det, Og, jeg, vil, si, det, Beatrice, gå, og, si, det, Det, som, skjedde, er, kanskje, ikke, over, likevel, For, jeg, kan, ikke, si, det, seiv, Til, Beatrice, -, det, som, skjedde, var, mer, enn, jeg, kan, leve, med, Men, jeg, vil, la, Beatrice, komme, til, meg, Og, si, at, hennes, kjærlighet, må, bli, min, Beatrice, si, at, hennes, kjærlighet, må, bli, min, For, jeg, kan, ikke, si, det, seiv, Beatrice, -, jeg, har, sagt, det, som, må, sies, Og, jeg, vil, gå, dit, nå, Du, har, ikke, forstått, noe, Og, jeg, vil, si, det, Beatrice, gå, og, si, at, jeg, har, forstått, at, han, elsker, deg, Og, du, har, ikke, forstått, noe, Beatrice, -, det]",INTJ VERB PROPN ADV VERB ADP CCONJ VERB PRON PRON AUX VERB CCONJ PROPN VERB SCONJ PRON VERB PART PRON AUX VERB PRON INTJ PRON AUX VERB PRON PUNCT PRON AUX ADP ADV CCONJ PRON AUX VERB PRON ADP PRON NUM ADV ADP NOUN DET NOUN PRON VERB PRON VERB PRON ADJ CCONJ PRON AUX VERB PRON ADP NOUN CCONJ VERB SCONJ PRON ADJ VERB PRON PRON PRON VERB AUX ADV PART ADP ADV CCONJ ADV PRON AUX VERB PRON CCONJ PRON AUX VERB PRON PROPN VERB CCONJ VERB PRON PRON PRON VERB AUX ADV PART ADP ADV CCONJ PRON AUX PART VERB PRON NUM ADP PROPN PUNCT PRON PRON VERB AUX ADJ SCONJ PRON AUX VERB ADP CCONJ PRON AUX VERB PROPN VERB ADP PRON CCONJ VERB SCONJ PRON NOUN AUX VERB PRON PROPN VERB SCONJ PRON NOUN AUX VERB PRON SCONJ PRON AUX PART VERB PRON NOUN PROPN PUNCT PRON AUX VERB PRON PRON AUX VERB CCONJ PRON AUX VERB ADV ADV PRON AUX PART VERB PRON CCONJ PRON AUX VERB PRON PROPN VERB CCONJ VERB SCONJ PRON AUX VERB SCONJ PRON VERB PRON CCONJ PRON AUX PART VERB DET PROPN PUNCT PRON,0.039637599093997736,0.36805755395683537,195,883,0.8205128205128205,0.14680452534529498
"[For, 2, av, elevene, har, vi, ikke, registrert, tidligere, resultater, fordi, elevene, hadde, svært, dårlige, faglige, prestasjoner, på, den, tiden, de, gikk, grunnkurs, i, videregående, skole, og, fordi, det, tok, svært, lang, tid, før, vi, fikk, kontakt, med, de, aktuelle, elevene, ., De, fire, andre, elevene, ble, kartlagt, i, løpet, av, skoleåret, 1994/95., 
, Skoleåret, 1996/97, gjennomførte, vi, en, ny, kartleggingsundersøkelse, ., Av, de, 248, elevene, som, inngår, i, undersøkelsen, ,, gikk, 1/3, på, VKI, ., Det, dreier, seg, om, 1/4, av, kullet, totalt, ., Vi, sendte, et, spørreskjema, til, 2, 714, tilfeldige, elever, som, gikk, grunnkurset, høsten, 1992, ,, våren, 1993, og, høsten, 1994., Av, disse, skolene, ble, 20, skoler, plukket, ut, ,, og, i, hver, av, disse, skolene, gikk, 1/4, av, det, opprinnelige, antall, elever, og, 1/4, av, det, totale, antall, elever, ., For, elevene, som, gikk, på, videregående, kurs, I, det, aktuelle, skoleåret, ,, hadde, vi, på, forhånd, plukket, ut, en, skolene, ., For, at, elevene, skulle, få, det, samme, antall, undervisningstimer, i, kroppsøving, det, aktuelle, året, i, videregående, skole, som, tidligere, ,, ble]",ADP NUM ADP NOUN AUX PRON PART VERB ADJ NOUN SCONJ NOUN VERB ADJ ADJ ADJ NOUN ADP DET NOUN PRON VERB NOUN ADP ADJ NOUN CCONJ SCONJ PRON VERB ADJ ADJ NOUN SCONJ PRON VERB NOUN ADP DET ADJ NOUN PUNCT DET NUM DET NOUN AUX VERB ADP NOUN ADP NOUN NUM SPACE NOUN NUM VERB PRON DET ADJ NOUN PUNCT ADP DET NUM NOUN PRON VERB ADP NOUN PUNCT VERB NOUN ADP PROPN PUNCT PRON VERB PRON ADP NOUN ADP NOUN ADJ PUNCT PRON VERB DET NOUN ADP NUM NUM ADJ NOUN PRON VERB NOUN NOUN NUM PUNCT NOUN NUM CCONJ NOUN NUM ADP DET NOUN VERB NUM NOUN VERB ADP PUNCT CCONJ ADP DET ADP DET NOUN VERB NOUN ADP DET ADJ NOUN NOUN CCONJ NOUN ADP DET ADJ NOUN NOUN PUNCT ADP NOUN PRON VERB ADP ADJ NOUN ADP DET ADJ NOUN PUNCT VERB PRON ADP NOUN VERB ADP DET NOUN PUNCT SCONJ SCONJ NOUN AUX VERB DET DET NOUN NOUN ADP NOUN DET ADJ NOUN ADP ADJ NOUN PRON ADJ PUNCT VERB,0.04665314401622718,0.3949199573105636,177,986,0.5084745762711864,0.21819201297368898
"[Utover, høsten, 1987, vil, det, bli, gitt, orientering, /, demonstrasjon, /, undervisning, om, bruk, av, EDB, i, undervisningen, til, interesserte, studenter, ved, noen, av, de, følgende, institusjonene, :, 
, Kontaktpersoner, :, 
, Som, ledd, i, arbeidet, for, et, mer, attraktivt, studiemiljø, ved, Universitetet, i, Bergen, ,, er, det, opprettet, flere, nye, studentvelferdstiltak, ., En, vesentlig, del, av, velferdsarb, eidet, til, studentene, i, Bergen, ivaretas, av, Studentsamskipnaden, ., Studentsamskipnaden, er, et, integrert, service-organ, for, studenter, og, ansatte, ved, Universitetet, i, Bergen, ., Den, tilbyr, sine, tjenester, til, studenter, og, akademikere, ved, samtlige, utdanningsinstitusjoner, i, Bergen, ., Studentsamskipnaden, gir, en, rekke, tjenester, til, studenter, og, ansatte, gjennom, sine, syv, større, avdelinger, ., I, tillegg, kommer, en, rekke, mer, spesialiserte, tjenester, ., 
, I, det, følgende, vil, Studentsamskipnaden, beskrive, sitt, arbeid, med, innføring, av, EDB, i, de, forskjellige, avdelingene, ., Samtlige, tjenestetilbud, vil, bli, nærmere, redegjort, for, ., 
, Studentsamskipnaden, har, siden, 1977, arbeidet, aktivt, for, å, ta, i, bruk, informasjonsteknologi, på, en, rekke, felter, ., Dette, gjelder, såvel, til, interne, formål, som, innen, drift, av, egne, og]",ADP NOUN NUM AUX PRON AUX VERB NOUN PUNCT NOUN PUNCT NOUN ADP NOUN ADP PROPN ADP NOUN ADP ADJ NOUN ADP DET ADP DET ADJ NOUN PUNCT SPACE NOUN PUNCT SPACE ADP NOUN ADP NOUN ADP DET ADJ ADJ NOUN ADP PROPN ADP PROPN PUNCT AUX PRON VERB ADJ ADJ NOUN PUNCT DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADP PROPN VERB ADP NOUN PUNCT NOUN AUX DET ADJ NOUN ADP NOUN CCONJ ADJ ADP PROPN ADP PROPN PUNCT PRON VERB PRON NOUN ADP NOUN CCONJ NOUN ADP DET NOUN ADP PROPN PUNCT NOUN VERB DET NOUN NOUN ADP NOUN CCONJ ADJ ADP PRON NUM ADJ NOUN PUNCT ADP NOUN VERB DET NOUN ADJ ADJ NOUN PUNCT SPACE ADP DET ADJ AUX NOUN VERB PRON NOUN ADP NOUN ADP PROPN ADP DET ADJ NOUN PUNCT DET NOUN AUX AUX ADJ VERB ADP PUNCT SPACE NOUN AUX ADP NUM VERB ADJ SCONJ PART VERB ADP NOUN NOUN ADP DET NOUN NOUN PUNCT PRON VERB ADV ADP ADJ NOUN ADP ADP NOUN ADP DET CCONJ,0.038154392191659274,0.3695918367346928,175,1127,0.4685714285714286,0.21143984165927848
"[Personell, og, organisering, av, sekretariatet, -, 5, 3, -, 3, —, •, —, —, —, —, —, —, •, ■, —, —, —, —, —, —, ■, —, —, —, ■, ■, *, ', ', "", •, *, —, —, ■, —, -, v, —, :, ■, -, ■, ■, —, —, —, ■, f, —, —, —, —, *, ', •, •, *, —, •, 5, 3, -, 3, ', *, —, —, -, ■, —, —, ■, —, —, -, ■, —, -, ■, =, ■, ■, *, *, —, —, —, -, jg, _, ., ,, —, —, —, —, —, j, —, ■, —, —, ~, ~, -, -, -, -, ', -, >, •, *, ■, *, ', -, /, -, -, j, ~, —, -, -, -, -, -, v, —, t, /, -, *, ■, -, r, -, *, ', -, ■, ■, /, ', ., ?, :, ', ■, -, /, "", ., —, '', /, ', •, ■, —, ., ■, ?, «, r., :, *, •, *, *,  , *, -, ■, *, *, *, ', *, ', -, ', ., ■, *, •, *, *, •, *, -, •, *, _, ., •]",NOUN CCONJ NOUN ADP NOUN PUNCT NUM NUM PUNCT NUM PUNCT SYM PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT ADP PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT PUNCT PUNCT PUNCT X PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT ADP PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PUNCT PUNCT NUM NUM PUNCT NUM PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT X VERB PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT ADP PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PROPN PROPN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT PROPN PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT SPACE PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT X PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT,0.08333333333333333,0.228679245283019,204,420,0.04411764705882353,0.08030992729086002
"[De, nevnte, artiklene, i, FN-samlingen, av, denne, studien, er, merket, henholdsvis, I, ;, ,, II, osv., og, etterfølges, av, en, sidehenvisning, fra, de, angjeldende, innledende, artiklene, som, er, skrevet, på, norsk, ., Til, de, angitte, sider, i, den, norske, originalen, er, det, ikke, knyttet, noen, sidehenvisning, ., Viktige, deler, av, teksten, er, hentet, fra, originalfremstillingen, ., I, slike, tilfelle, er, dette, angitt, i, fotnoter, ., 
, De, originale, FN-publikasjoner, fra, 1943, som, ikke, er, inkludert, i, FN-samlingen, av, denne, studie, ,, og, for, hvilke, et, bind, foreligger, på, norsk, ,, gjengis, nedenfor, i, forkortet, stand, med, angivelse, av, sidetall, ., De, originale, artikler, og, kommentarer, som, ikke, er, tatt, med, i, disse, gjengivelser, med, sidetall, ,, er, trykt, i, originalutgåver, eller, samlet, i, særskilte, publikasjoner, som, gir, omfattende, kommentarer, til, krigsbegivenhetene, ., Flere, av, dem, er, tidligere, utgitt, på, engelsk, av, FN, ., 
, artikler, ,, kommentarer, og, utdrag, ., Oversettelser, av, dette, materiale, har, vi, også, tatt, med, ., 
, 1., General, Assembly, Adopted]",DET VERB NOUN ADP NOUN ADP DET NOUN AUX VERB ADV ADP PUNCT PUNCT NUM ADV CCONJ VERB ADP DET NOUN ADP DET ADJ ADJ NOUN PRON AUX VERB ADP NOUN PUNCT ADP DET ADJ NOUN ADP DET ADJ NOUN AUX PRON PART VERB DET NOUN PUNCT ADJ NOUN ADP NOUN AUX VERB ADP NOUN PUNCT ADP DET NOUN AUX PRON VERB ADP NOUN PUNCT SPACE DET ADJ NOUN ADP NUM PRON PART AUX VERB ADP NOUN ADP DET NOUN PUNCT CCONJ ADP DET DET NOUN VERB ADP NOUN PUNCT VERB ADP ADP VERB NOUN ADP NOUN ADP NOUN PUNCT DET ADJ NOUN CCONJ NOUN PRON PART AUX VERB ADP ADP DET NOUN ADP NOUN PUNCT AUX VERB ADP NOUN CCONJ VERB ADP ADJ NOUN PRON VERB ADJ NOUN ADP NOUN PUNCT ADJ ADP PRON AUX ADJ VERB ADP NOUN ADP PROPN PUNCT SPACE NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN ADP DET NOUN AUX PRON ADV VERB ADP PUNCT SPACE NUM PROPN PROPN PROPN,0.04483837330552659,0.36832967032966946,165,959,0.4909090909090909,0.21990603755042717
"[Bør, minimum, være, 10, av, hver, farge, ., Kan, legges, opp, som, vist, på, side, 4., Det, kan, også, være, greitt, å, trene, inn, fargeleggingen, samtidig, med, at, de, lærer, å, lese, ,, f.eks., ved, at, læreren, på, forhånd, har, skrevet, opp, de, ordene, det, skal, fargelegges, :, MØRK, GRØNN, ,, TURKIS, ,, LILLA, etc., Ordene, skrives, så, opp, sammen, med, de, andre, tingene, ,, slik, at, de, blir, til, "", kort, "", å, fargelegge, ., 
, Idéer, til, gjennomføring, og, arbeidsgang, :, 
, Her, får, hver, elev, ei, fargeskrin, ,, en, "", tegneserie, "", og, en, bunke, papir, i, fargene, gul, ,, grønn, ,, rød, ,, blå, ,, orange, og, fiolett, ., Så, kan, de, tegne, fra, forskjellige, tegneserier, etter, eget, valg, ,, klippe, dem, ut, og, lime, dem, opp, på, et, tegneark, i, de, respektive, fargene, ., Fargekoder, kan, settes, på, hvert, bilde, etter, at, de, er, limt, opp, ., Elevene, kan, lage, collager, og, pynte, til, og, ha, utstilling, av, collagen, ., Kanskje, kan, de, lage, noen, tekster]",AUX NOUN AUX NUM ADP DET NOUN PUNCT AUX VERB ADP SCONJ VERB ADP NOUN NUM PRON AUX ADV AUX ADJ PART VERB ADP NOUN ADJ SCONJ SCONJ PRON VERB PART VERB PUNCT ADV SCONJ SCONJ NOUN ADP NOUN AUX VERB ADP DET NOUN PRON AUX VERB PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN ADV NOUN VERB ADV ADP ADV ADP DET DET NOUN PUNCT ADV SCONJ PRON VERB SCONJ PUNCT ADJ PUNCT PART VERB PUNCT SPACE NOUN ADP NOUN CCONJ NOUN PUNCT SPACE ADV VERB DET NOUN DET NOUN PUNCT DET PUNCT NOUN PUNCT CCONJ DET NOUN NOUN ADP NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ NOUN PUNCT ADV AUX PRON VERB ADP ADJ NOUN ADP DET NOUN PUNCT VERB PRON ADP CCONJ VERB PRON ADP ADP DET NOUN ADP DET ADJ NOUN PUNCT NOUN AUX VERB ADP DET NOUN SCONJ SCONJ PRON AUX VERB ADP PUNCT NOUN AUX VERB NOUN CCONJ VERB ADP CCONJ VERB NOUN ADP NOUN PUNCT ADV AUX PRON VERB DET NOUN,0.06527093596059114,0.3832765399737891,171,812,0.5146198830409356,0.19816944429038513
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, til, en, bestemmelse, som, presiserer, en, presumsjon, om, at, EØS-avtalepartene, har, sammenfallende, syn, på, hvilke, bestemmelser, i, et, direktiv, som, er, relevante, for, EØS-avtalen, og, hvilke, bestemmelser, som, faller, utenfor, EØS-avtalen, ., Artikkel, 4, redegjør, for, Kommisjonens, oppfatning, om, at, avtalepartene, har, inntatt, en, slik, sammenfallende, oppfatning, gjennom, en, felles, og, samstemmig, forståelse, av, direktivet, ,, som, Kommisjonen, har, konstatert, å, være, i, tråd, med, Romatraktaten, ., 
, Det, er, på, det, rene, at, EØS-regelverket, på, noen, felter, inneholder, mer, vidtrekkende, bestemmelser, enn, EFTA-landenes, nasjonale, regelverk, ., Artikkel, 5, tar, opp, spørsmålet, om, EØS-avtalen, og, EF-traktaten, -, sammen, og, hver, for, seg, -, gir, grunnlag, for, EFTA-landenes, rett, til, under, hensyntagen, til, EØS-landenes, grunnleggende, interesser, ,, å, be, om, innlemmelse, også, av, andre, EØS-regler, enn, dem, som, direkte, gjelder, forholdet, til, EFs, regelverk, ., Artikkelen, vil, også, bli, brukt, for, å, belyse, hvilke, EFTA-regler, avtalen]",NOUN NUM VERB ADP PROPN NOUN ADP DET NOUN PRON VERB DET NOUN SCONJ SCONJ NOUN VERB ADJ NOUN ADP DET NOUN ADP DET NOUN PRON AUX ADJ ADP NOUN CCONJ DET NOUN PRON VERB ADP NOUN PUNCT NOUN NUM VERB ADP PROPN NOUN SCONJ SCONJ NOUN AUX VERB DET DET ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT PRON PROPN AUX VERB PART AUX SCONJ NOUN ADP PROPN PUNCT SPACE PRON AUX ADP DET ADJ SCONJ NOUN ADP DET NOUN VERB ADJ ADJ NOUN ADP PROPN ADJ NOUN PUNCT NOUN NUM VERB ADP NOUN ADP NOUN CCONJ NOUN PUNCT ADV CCONJ DET ADP PRON PUNCT VERB NOUN ADP PROPN NOUN ADP ADP NOUN ADP NOUN ADJ NOUN PUNCT PART VERB ADP NOUN ADV ADP DET NOUN ADP PRON PRON ADJ VERB NOUN ADP PROPN NOUN PUNCT NOUN AUX ADV AUX VERB SCONJ PART VERB DET NOUN NOUN,0.041456016177957536,0.38497872340425426,151,989,0.5033112582781457,0.15030471945047663
