tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, først, etter, den, fransk-tyske, krigen, i, 1870, -, 1871, at, tanken, på, en, norsk, jernbane, virkelig, begynte, å, ta, form, ., En, kongelig, jernbanekommisjon, ble, nedsatt, ,, og, dette, arbeidet, ledet, fram, til, Stortingsmelding, nr., 45, ,, 1891., Der, foreslo, kommisjonen, anleggelse, av, trebanenettet, :, Fra, Drammen, om, Kongsberg, og, Hokksund, over, Hønefoss, (, Ringeriksbanen, ), til, Randsfjord, stasjon, (, Sperillbanen, ), og, videre, med, forbindelsesbane, til, Bergen, gjennom, Flåmsdalen, og, Raundalen, ., Kommisjonen, mente, også, å, kunne, avse, en, samlet, investeringsramme, på, 4, mill., kroner, ., 
, Dette, var, før, Bergensbanen, ble, debattert, i, noe, annet, forum, ,, og, allerede, før, Stortinget, trådte, sammen, på, nyåret, 1892, ,, lå, det, i, postkassen, et, rykte, om, at, det, var, flertall, i, den, nye, jernbanekomiteen, i, Stortinget, for, at, banen, mellom, Kongsberg, og, Randsfjord, skulle, sløyfes, ., Dette, førte, til, sterk, uro, og, protest, i, distriktet, ,, og, en, komité, ble, sendt, til, hovedstaden, for, å, oppsøke, Stortingets, medlemmer, ., Kom]",CCONJ PRON AUX ADV ADP DET ADJ NOUN ADP NUM PUNCT NUM SCONJ NOUN ADP DET ADJ NOUN ADJ VERB PART VERB NOUN PUNCT DET ADJ NOUN AUX VERB PUNCT CCONJ DET NOUN VERB ADP ADP PROPN NOUN NUM PUNCT NUM ADV VERB NOUN NOUN ADP NOUN PUNCT ADP PROPN ADP PROPN CCONJ PROPN ADP PROPN PUNCT PROPN PUNCT ADP PROPN NOUN PUNCT PROPN PUNCT CCONJ ADJ ADP NOUN ADP PROPN ADP PROPN CCONJ PROPN PUNCT NOUN VERB ADV PART AUX VERB DET ADJ NOUN ADP NUM NOUN NOUN PUNCT SPACE PRON AUX SCONJ PROPN AUX VERB ADP DET DET NOUN PUNCT CCONJ ADV SCONJ PROPN VERB ADV ADP NOUN NUM PUNCT VERB PRON ADP NOUN DET NOUN SCONJ SCONJ PRON VERB NOUN ADP DET ADJ NOUN ADP PROPN SCONJ SCONJ NOUN ADP PROPN CCONJ PROPN AUX VERB PUNCT PRON VERB ADP ADJ NOUN CCONJ NOUN ADP NOUN PUNCT CCONJ DET NOUN AUX VERB ADP NOUN SCONJ PART VERB PROPN NOUN PUNCT VERB,0.05190677966101695,0.3883798882681548,163,944,0.49693251533742333,0.19621394307575496
"[Det, var, ein, tidleg, morgon, ., Tussmørkret, hadde, for, lengst, måtta, vike, for, dag, ., Dei, som, sat, i, bilen, og, for, vidare, mot, Bergen, ,, vart, difor, berre, eit, uskarpt, minne, ein, hadde, høyrt, om, ,, heilt, ute, av, syne, ., Hadde, dei, hatt, fjernsyn, ,, slik, som, eg, ,, ville, dei, fått, sjå, det, som, hende, vidare, i, livet, mitt, ., Dei, ville, ha, sett, meg, då, eg, kom, tilbake, til, fødestaden, min., Dei, ville, ha, sett, ei, jente, som, vart, boren, bort, for, å, døy, ., Dei, ville, ha, vore, vitne, til, at, eg, vart, teken, ut, av, kuvøsa, og, lagt, i, ei, kiste, ., 
, Far, og, mor, fortalde, meg, ikkje, så, mykje, ., Dei, heldt, det, meste, for, seg, sjølve, ., Men, nokre, av, dei, få, minna, eg, hadde, om, dei, ,, ville, eg, aldri, ha, bytt, bort, mot, noko, anna, ., Sjølv, etter, at, dei, var, borte, for, godt, ,, var, det, som, om, dei, følgde, meg, ., 
, Det, eg, ikkje, visste, ,, og, som, eg, aldri, fekk, vite, ,, var, at, far, hadde, gjort, noko, mot, mor, mi, som, gjorde]",PRON AUX X X X PUNCT NOUN AUX ADP ADJ NOUN VERB ADP NOUN PUNCT NOUN X VERB ADP NOUN CCONJ ADP NOUN ADP PROPN PUNCT VERB X X X ADJ NOUN PROPN X VERB ADP PUNCT VERB ADP ADP PROPN PUNCT AUX PRON VERB NOUN PUNCT ADV PRON X PUNCT AUX PROPN VERB VERB PRON PRON VERB NOUN ADP NOUN PRON PUNCT PROPN AUX AUX VERB PRON X X VERB ADP ADP NOUN VERB NOUN AUX AUX VERB DET NOUN PRON VERB NOUN ADP SCONJ PART VERB PUNCT PROPN AUX AUX AUX NOUN SCONJ SCONJ X VERB NOUN ADP ADP PROPN CCONJ VERB ADP DET NOUN PUNCT SPACE NOUN CCONJ NOUN VERB PRON X ADV X PUNCT X VERB DET ADJ ADP PRON ADJ PUNCT CCONJ ADJ ADP NOUN X NOUN X VERB ADP PRON PUNCT AUX PRON ADV AUX VERB ADP ADP X X PUNCT PROPN SCONJ SCONJ PROPN AUX ADP ADV ADJ PUNCT AUX PRON ADP SCONJ NOUN VERB PRON PUNCT SPACE PRON X X VERB PUNCT CCONJ PRON X ADV PROPN VERB PUNCT AUX SCONJ NOUN AUX VERB NOUN ADP NOUN PRON PRON VERB,0.041820418204182044,0.3832984293193711,188,813,0.7127659574468085,0.25907116451223366
"[Det, var, så, vidt, j, eg, fikk, lurt, meg, vekk, i, tide, ., Klokka, nærmet, seg, ti, ,, og, det, tok, til, å, skumre, ,, slik, det, gjør, her, på, denne, tid, av, døgnet, ., 
, Så, sto, jeg, der, i, mørket, ,, nesten, alene, ,, det, virket, iallfall, slik, ., Jeg, sto, der, på, toppen, av, den, skrenten, som, fra, landsiden, førte, opp, mot, den, lille, husklyngen, som, lå, spredt, oppover, skråningen, i, vest, ., 
, Jeg, hadde, ikke, tenkt, mer, på, flukten, og, hva, jeg, skulle, gjøre, der, jeg, sto, ,, da, jeg, fikk, høre, tunge, fottrinn, i, bakken, nedenfor, ., Det, lød, som, om, det, kom, nede, fra, den, lille, husklyngen, øverst, i, skråningen, ., Seiv, om, huset, lå, litt, for, seg, seiv, ,, var, det, ganske, mye, bråk, der, ., Jeg, kom, til, å, tenke, på, noen, av, de, lydene, jeg, noen, ganger, hadde, hørt, der, i, min, barndom, ., Det, var, ofte, leven, og, bråk, når, de, samlet, seg, på, plassen, for, å, høre, de, voksne, sladre, ;, noen, ganger, sang, de, også, ., Disse, menneskene, som, brukte, å, bo, der, i, huset, ,]",PRON AUX ADV ADJ PROPN PRON AUX VERB PRON ADP ADP NOUN PUNCT NOUN VERB PRON NUM PUNCT CCONJ PRON VERB SCONJ PART VERB PUNCT ADV PRON VERB ADV ADP DET NOUN ADP NOUN PUNCT SPACE ADV VERB PRON ADV ADP NOUN PUNCT ADV ADV PUNCT PRON VERB ADV ADV PUNCT PRON VERB ADV ADP NOUN ADP DET NOUN PRON ADP NOUN VERB ADP ADP DET ADJ NOUN PRON VERB ADJ ADP NOUN ADP ADP PUNCT SPACE PRON AUX PART VERB ADJ ADP NOUN CCONJ PRON PRON AUX VERB SCONJ PRON VERB PUNCT SCONJ PRON AUX VERB ADJ NOUN ADP NOUN ADP PUNCT PRON VERB ADP SCONJ PRON VERB ADP ADP DET ADJ NOUN ADJ ADP NOUN PUNCT PROPN SCONJ NOUN VERB ADJ ADP PRON NUM PUNCT AUX PRON ADV ADJ NOUN ADV PUNCT PRON VERB SCONJ PART VERB ADP DET ADP DET NOUN PRON DET NOUN AUX VERB ADV ADP PRON NOUN PUNCT PRON AUX ADJ NOUN CCONJ NOUN SCONJ PRON VERB PRON ADP NOUN SCONJ PART VERB DET ADJ DET PUNCT DET NOUN VERB PRON ADV PUNCT DET NOUN PRON VERB PART VERB ADV ADP NOUN PUNCT,0.039285714285714285,0.38482932996207236,189,840,0.6243386243386243,0.3226912453888684
"[Ja, det, var, vel, med, oss, det, var, noe, i, vegen, at, det, var, noen, som, var, mindre, verdt, enn, andre, og, dermed, mindre, respekterte, ., Jeg, synes, også, at, det, ikke, er, alle, som, blir, satt, like, høyt, verken, i, samfunnet, eller, i, kristendommen, ., Det, har, vi, fått, høre, mange, ganger, også, av, voksne, opp, gjennom, årene, ., Tenk, på, alle, de, gamle, som, gikk, rundt, med, ei, bøtte, og, som, ingen, så, opp, til, ., Så, kom, vi, fram, for, å, holde, juleandakten, med, dem, og, da, var, det, å, sette, alle, kluter, til, for, at, de, skulle, ha, det, trivelig, og, for, at, de, skulle, komme, i, julestemning, ., 
, Sånn, er, ikke, forholdene, nå, og, derfor, er, det, ikke, noe, å, utsette, på, de, gamle, som, sitter, der, i, dag, og, får, holde, andakten, seiv, ., Jeg, synes, at, vi, har, noe, å, lære, av, de, gamle, som, har, sittet, der, som, de, første, kristne, ., De, hadde, ikke, noe, med, seg, som, de, tok, med, hjem, for, å, kose, seg, med, ., De, måtte, gå, inn, bak, døra, der, og, så, måtte, de, legge, igjen, den, store, bibelen, et, annet, sted, ., Den]",INTJ PRON AUX ADV ADP PRON PRON VERB PRON ADP NOUN SCONJ PRON VERB PRON PRON AUX ADJ ADJ ADP DET CCONJ ADV ADJ ADJ PUNCT PRON VERB ADV SCONJ PRON PART AUX PRON PRON AUX VERB ADV ADJ CCONJ ADP NOUN CCONJ ADP NOUN PUNCT PRON AUX PRON AUX VERB ADJ NOUN ADV ADP ADJ ADP ADP NOUN PUNCT VERB ADP DET DET ADJ PRON VERB ADP ADP DET NOUN CCONJ PRON PRON VERB ADP ADP PUNCT ADV VERB PRON ADP SCONJ PART VERB NOUN ADP PRON CCONJ ADV AUX PRON PART VERB DET NOUN ADP SCONJ SCONJ PRON AUX VERB PRON ADJ CCONJ ADP SCONJ PRON AUX VERB ADP NOUN PUNCT SPACE ADV AUX PART NOUN ADV CCONJ ADV AUX PRON PART PRON PART VERB ADP DET ADJ PRON VERB ADV ADP NOUN CCONJ AUX VERB NOUN VERB PUNCT PRON VERB SCONJ PRON VERB PRON PART VERB ADP DET ADJ PRON AUX VERB ADV PRON DET ADJ ADJ PUNCT PRON VERB PART PRON ADP PRON PRON PRON VERB ADP ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX VERB ADP ADP NOUN ADV CCONJ ADV AUX PRON VERB ADV DET ADJ NOUN DET DET NOUN PUNCT PRON,0.034753363228699555,0.353190984578886,199,892,0.7989949748743719,0.40327281545155014
"[Ja, det, er, i, grunnen, den, beste, beskrivelsen, på, at, det, er, stor, forskjell, på, å, være, en, stor, og, sterk, mann, og, en, liten, og, svak, ., Forskjellen, er, enorm, -, og, stor, smerte, og, mange, tårer, blir, det, ., For, mitt, vedkommende, kom, denne, smerten, og, disse, tårene, med, alderen, ., At, det, virkelig, kan, gjøre, så, vondt, å, skulle, leve, med, å, ikke, lenger, være, den, største, gutten, i, gata, ,, den, flotteste, mannen, ,, idrettsmannen, ,, ja, den, beste, sjefen, på, jobben, ., Det, er, tøft, ., Jeg, måtte, bli, ordentlig, voksen, før, sannheten, gikk, opp, for, meg, -, at, det, ikke, lenger, var, meg, det, dreide, seg, om, -, at, det, ble, meg, man, var, redd, for, å, miste, hvis, jeg, ikke, lyktes, med, det, jeg, gjorde, ., 
, For, det, var, det, det, dreide, seg, om, ., Jeg, har, aldri, sett, opp, til, de, andre, i, firmaet, ,, men, jeg, beundret, dem, selvfølgelig, -, og, syntes, de, var, imponerende, flinke, til, alt, jeg, så, dem, utføre, ., 
, ikke, at, de, var, uvurderlige, og, uunnværlige, medarbeidere, ,, men, jeg, fikk, en, forståelse, av, at, det]",INTJ PRON AUX ADP NOUN DET ADJ NOUN SCONJ SCONJ PRON VERB ADJ NOUN SCONJ PART AUX DET ADJ CCONJ ADJ NOUN CCONJ DET ADJ CCONJ ADJ PUNCT NOUN AUX ADJ PUNCT CCONJ ADJ NOUN CCONJ ADJ NOUN VERB PRON PUNCT ADP PRON ADJ VERB DET NOUN CCONJ DET NOUN ADP NOUN PUNCT SCONJ PRON ADJ AUX VERB ADV ADJ PART AUX VERB SCONJ PART PART ADJ AUX DET ADJ NOUN ADP NOUN PUNCT DET ADJ NOUN PUNCT NOUN PUNCT INTJ DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADJ PUNCT PRON AUX VERB ADJ ADJ SCONJ NOUN VERB ADP ADP PRON PUNCT SCONJ PRON PART ADJ AUX PRON PRON VERB PRON ADP PUNCT SCONJ PRON VERB PRON PRON AUX ADJ SCONJ PART VERB SCONJ PRON PART VERB ADP PRON PRON VERB PUNCT SPACE CCONJ PRON AUX PRON PRON VERB PRON ADP PUNCT PRON AUX ADV VERB ADP ADP DET DET ADP NOUN PUNCT CCONJ PRON VERB PRON ADJ PUNCT CCONJ VERB PRON AUX ADJ ADJ ADP PRON PRON VERB PRON VERB PUNCT SPACE PART SCONJ PRON AUX ADJ CCONJ ADJ NOUN PUNCT CCONJ PRON VERB DET NOUN SCONJ SCONJ PRON,0.03666666666666667,0.3642773207990588,191,900,0.675392670157068,0.38022911285392513
"[Så, var, det, den, siste, natta, ., Du, skulle, døy, ., Du, hadde, fått, kreft, i, lever, og, nyre, ., No, måtte, du, dra, ut, dei, siste, kreftene, ., 
, Du, vart, trøyttare, for, dagen, ., Det, var, vanskeleg, å, gå, ,, vanskeleg, å, halde, fram, med, å, leve, ., 
, Du, fekk, den, siste, kveldsstunda, saman, med, dine, kjære, ,, og, du, fekk, ei, siste, natt, ., 
, I, strevet, for, å, nå, inn, til, oss, i, ei, verd, du, ikkje, lenger, makta, å, nå, inn, i., I, det, å, gi, det, avgjerande, teiknet, til, å, sleppe, og, sjå, fram, til, roleg, kvile, og, avskil, ., 
, Den, siste, natta, i, livet, til, ein, mann, vart, det, store, teiknet, ., Han, vart, teken, heim, til, Gud, ,, der, han, skal, få, kvile, frå, alle, krav, ., 
, om, å, sleppe, ,, og, om, å, nå, den, ro, som, ligg, i, Guds, nåde, ., 
, Det, var, det, same, som, var, skrive, inn, i, ditt, livsmi, ljo, -, og, som, no, vart, teiknet, inn, i, di, siste, natt, ., 
, Takk, at, du, makta, å, gjere, det]",ADV AUX PRON DET ADJ NOUN PUNCT PRON AUX VERB PUNCT PRON AUX VERB NOUN ADP NOUN CCONJ NOUN PUNCT ADP AUX PRON VERB ADP DET ADJ NOUN PUNCT SPACE PRON VERB NOUN ADP NOUN PUNCT PRON AUX ADJ PART VERB PUNCT ADV PART VERB ADP SCONJ PART VERB PUNCT SPACE PRON VERB DET ADJ PROPN PROPN ADP PRON ADJ PUNCT CCONJ PRON VERB DET ADJ NOUN PUNCT SPACE ADP NOUN SCONJ PART VERB ADP ADP PRON ADP DET ADJ PRON ADV ADJ NOUN PART VERB ADP PUNCT ADP PRON PART VERB DET ADJ NOUN SCONJ PART VERB CCONJ VERB ADP ADP PROPN PROPN CCONJ NOUN PUNCT SPACE DET ADJ NOUN ADP NOUN ADP X NOUN VERB DET ADJ NOUN PUNCT PRON VERB NOUN ADP ADP PROPN PUNCT SCONJ PRON AUX VERB ADJ PROPN DET NOUN PUNCT SPACE SCONJ PART VERB PUNCT CCONJ ADP PART VERB DET NOUN PRON VERB ADP PROPN NOUN PUNCT SPACE PRON AUX DET X PRON AUX VERB ADP ADP PRON ADJ NOUN PUNCT CCONJ X X X VERB ADP ADP PRON ADJ NOUN PUNCT SPACE NOUN SCONJ PRON NOUN PART VERB PRON,0.046357615894039736,0.37056657223796086,187,755,0.6256684491978609,0.3149499432076133
"[Det, var, som, om, noen, hadde, revet, bort, det, beskyttende, skallet, fra, meg, ., Jeg, kunne, ikke, vente, å, få, vite, hva, som, kom, til, å, skje, med, meg, videre, ., Det, eneste, jeg, hadde, å, holde, meg, til, ,, var, at, de, nærmeste, dagene, ble, svært, hektiske, ,, med, møter, ,, intervjuer, ,, forberedelser, ,, og, det, er, jo, alltid, hyggelig, i, begynnelsen, ., I, tillegg, er, det, vanlig, at, folk, som, er, blitt, gjenstand, for, en, slik, oppstandelse, i, media, som, jeg, hadde, fått, ,, kontakter, en, for, å, vite, mer, ., Noen, gjorde, det, også, ., 
, En, ting, som, uroet, meg, ,, var, at, det, tok, tid, å, komme, ordentlig, til, hektene, ., Jeg, hadde, følelsen, av, å, kjøre, berg-, og, dalbane, ., Om, nettene, kunne, jeg, ligge, våken, og, tenke, på, hva, som, helst, ., Det, var, umulig, å, slappe, av, ,, og, jeg, sov, omtrent, to, timer, på, dagen, ., Det, verste, var, likevel, at, jeg, ikke, hadde, krefter, ., Hver, morgen, når, jeg, sto, opp, ,, var, jeg, like, tom, ,, uansett, hva, jeg, tok, meg, til, ., Jeg, følte, at, det, var, som, om, jeg, sto, foran, et, fjell, ,, uten, mulighet, for, å, finne, en, eneste, sti]",PRON AUX ADP SCONJ PRON AUX VERB ADP DET ADJ NOUN ADP PRON PUNCT PRON AUX PART VERB PART AUX VERB PRON PRON VERB SCONJ PART VERB ADP PRON ADJ PUNCT DET NUM PRON VERB PART VERB PRON ADP PUNCT AUX SCONJ DET ADJ NOUN VERB ADJ ADJ PUNCT ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ ADP NOUN PUNCT ADP NOUN AUX PRON ADJ SCONJ NOUN PRON AUX VERB NOUN ADP DET DET NOUN ADP NOUN PRON PRON AUX VERB PUNCT VERB PRON SCONJ PART VERB ADJ PUNCT PRON VERB PRON ADV PUNCT SPACE DET NOUN PRON VERB PRON PUNCT AUX SCONJ PRON VERB NOUN PART VERB ADJ ADP NOUN PUNCT PRON VERB NOUN SCONJ PART VERB NOUN CCONJ NOUN PUNCT SCONJ NOUN AUX PRON VERB ADJ CCONJ VERB SCONJ PRON ADP ADV PUNCT PRON AUX ADJ PART VERB ADP PUNCT CCONJ PRON VERB ADV NUM NOUN ADP NOUN PUNCT DET ADJ AUX ADV SCONJ PRON PART VERB NOUN PUNCT DET NOUN SCONJ PRON VERB ADP PUNCT AUX PRON ADV ADJ PUNCT SCONJ PRON PRON VERB PRON ADP PUNCT PRON VERB SCONJ PRON AUX ADP SCONJ PRON VERB ADP DET NOUN PUNCT ADP NOUN SCONJ PART VERB DET NUM NOUN,0.038751345532831,0.38097727272727205,206,929,0.6699029126213593,0.38391355277541245
"[Det, er, ikkje, noko, særsyn, at, ein, elev, i, den, vidaregåande, skolen, klagar, over, dårlege, lærebøker, ., Sjølv, den, som, er, nøgd, ,, har, ofte, grunn, til, å, meina, at, boka, kan, gjerast, betre, og, meir, spennande, ., 
, Det, at, skulebøkene, blir, dårlege, år, om, anna, ,, kan, ein, ikkje, klaga, på, ,, og, ein, bør, heller, ikkje, kritisera, forlag, eller, forfattarar, for, det, ., Slik, einskildfeil, kan, ein, slå, stort, opp, dersom, dei, er, mange, ,, slik, at, det, går, ut, over, den, jamne, kvaliteten, ., Men, det, er, ofte, ei, alvorleg, innvending, dersom, lærebokverka, viser, grunnleggjande, veikskapar, ,, og, det, bør, også, få, konsekvensar, for, bok-, og, utgivingsarbeidet, ., 
, Kva, som, skaper, grunnleggjande, veikskapar, ved, eit, læreverk, ,, varierer, etter, stoffsamansetjing, i, boka, ., I, eit, verk, som, gir, eit, tverrsnitt, av, norsk, litteratur, i, eit, lengre, historisk, perspektiv, ,, vil, forfattarar, ,, redaksjonssjefar, ,, konsulentar, og, korrekturlesarar, ofte, gå, inn, på, område, som, dei, sjøl]",PRON AUX X X NOUN SCONJ X NOUN ADP DET ADJ NOUN PROPN ADP PROPN NOUN PUNCT PROPN PRON PRON AUX ADJ PUNCT VERB ADJ NOUN SCONJ PART PROPN SCONJ NOUN AUX VERB ADJ CCONJ PROPN PROPN PUNCT SPACE PRON SCONJ NOUN VERB NOUN NOUN ADP PROPN PUNCT AUX X X NOUN ADP PUNCT CCONJ PROPN AUX ADV PROPN PROPN NOUN CCONJ NOUN ADP PRON PUNCT ADV NOUN AUX X VERB ADJ ADP SCONJ PROPN AUX ADJ PUNCT ADV SCONJ PRON VERB ADP ADP DET NOUN NOUN PUNCT CCONJ PRON VERB ADJ DET ADV NOUN SCONJ NOUN VERB ADJ NOUN PUNCT CCONJ PRON AUX ADV VERB NOUN ADP NOUN CCONJ NOUN PUNCT SPACE PROPN PRON VERB ADJ PROPN ADP PROPN NOUN PUNCT VERB ADP NOUN ADP NOUN PUNCT ADP DET NOUN PRON VERB DET NOUN ADP ADJ NOUN ADP PROPN ADJ ADJ NOUN PUNCT AUX PROPN PUNCT NOUN PUNCT NOUN CCONJ NOUN ADJ VERB ADP ADP NOUN ADP PRON DET,0.03876852907639681,0.36398550724637674,160,877,0.59375,0.29424052855486343
"[Kor, mange, prosent, er, a, ?, 
, Fast, løysing, :, Vi, skal, multiplisere, med, vekstfaktoren, a., 
, =, Vi, ser, at, resultatet, blir, det, same, som, for, n-terot, ., 
, Vekstfaktoren, er, 1, +, 2, -, 100, =, 1,12., Multiplikasjonen, blir, gjord, først, ,, og, deretter, legg, vi, til, vekstfaktoren, ., 
, Vi, viser, metoden, på, to, måtar, ., 
, Vi, reknar, saman, og, skriv, svaret, så, enkelt, som, råd, ., 
, Fire, tidels, kilo, bananar, kostar, a, kroner, ., Kva, blir, prisen, for, 2, kg, ,, 1, kg, ,, 2, kg, og, 10, kg, ?, 
, Vi, finn, ut, kor, mykje, 10, •, a, svarer, til, ., Kor, mykje, er, 4, •, a, ?, 
, Vi, finn, først, kor, mykje, 1, •, a, svarer, til, ., 
, Eit, par, ski, kostar, a, kroner, ., Kva, blir, prisen, for, tre, par, ?, 
, Først, finn, vi, ut, kor, mykje, x, •, a, svarer, til, ., 
, Vi, finn, først, ut, kor, mykje, y, •, a, svarer, til, ., x, er, talet, på, par, som, er, like, mykje, som, eitt, av, para, vi, såg, på, ., 
, Kva, kostar, 3, dL, og, 5, dL, olje, ?, 
, 1, liter, olje, kostar, a, kroner, .]",ADV ADJ NOUN AUX PROPN PUNCT SPACE ADJ NOUN PUNCT PRON AUX VERB ADP NOUN PUNCT SPACE PUNCT PRON VERB SCONJ NOUN VERB DET X ADP ADP NOUN PUNCT SPACE NOUN AUX NUM PUNCT NUM PUNCT NUM PUNCT PROPN NOUN AUX VERB ADV PUNCT CCONJ ADV VERB PRON ADP NOUN PUNCT SPACE PRON VERB NOUN ADP NUM NOUN PUNCT SPACE PRON PROPN PROPN CCONJ VERB NOUN ADV ADJ ADP NOUN PUNCT SPACE NUM NOUN NOUN ADJ PROPN ADJ NOUN PUNCT NOUN VERB NOUN ADP NUM NOUN PUNCT NUM NOUN PUNCT NUM NOUN CCONJ NUM NOUN PUNCT SPACE PRON VERB ADP ADV ADJ NUM PUNCT NOUN VERB ADP PUNCT VERB X AUX NUM PUNCT NOUN PUNCT SPACE PRON VERB ADV ADV ADJ NUM NOUN NOUN VERB ADP PUNCT SPACE PROPN NOUN NOUN PROPN ADJ NOUN PUNCT NOUN VERB NOUN ADP NUM NOUN PUNCT SPACE ADV VERB PRON ADP ADV ADJ NOUN ADP NOUN VERB ADP PUNCT SPACE PRON VERB ADV ADP ADV X PROPN NOUN NOUN VERB ADP PUNCT NOUN AUX NOUN ADP NOUN PRON AUX ADV ADJ ADP X ADP PROPN PRON VERB ADP PUNCT SPACE X PROPN NUM NOUN CCONJ NUM PROPN NOUN PUNCT SPACE NUM NOUN NOUN PROPN ADJ NOUN PUNCT,0.05710659898477157,0.41672530446549333,203,788,0.4827586206896552,0.10224698022375701
"[Det, er, veldig, lett, å, gå, seg, bort, i, alle, de, fine, gatene, i, Paris, ,, men, dette, er, en, uvurderlig, hjelp, som, gjør, det, lett, å, finne, fram, ., 
, www.sabinefrancoise, ., 
, •, www.parisinfo, ., 
, www.parisinfo, ., fr, www.france-, paris, ., 
, www.museenes, ., 
, www.chateau, ., deparis, ., 
, Gratisbuss, hvert, 20., minutt, fra, RER-, Clignancourt, (, stasjon, ), kl., 11.35, til, kl., 19.35., 
, Buss, nummer, 9, går, mellom, Montparnasse, og, Montmartre, ., Den, stopper, ved, de, fleste, større, severdighetene, i, denne, spennende, gamle, bydelen, ,, mellom, Hotel, de, Ville, og, Notre-Dame, ., 
, Office, for, Disabled, visits, tours, :, Metropolitan, Police, ., ®, 09, -, 19, alle, dager, unntatt, mandag, ., Inngang, til, utstillingssentralen, fra, 18., 
, Metropolitan, Police, Office, for, Disabled, Visitors, ., ®, 11, -, 19.30, alle, dager, unntatt, mandag, ., Inngang, til, utstillingssentralen]",PRON AUX ADJ ADJ PART VERB PRON ADP ADP DET DET ADJ NOUN ADP PROPN PUNCT CCONJ PRON AUX DET ADJ NOUN PRON VERB PRON ADJ PART VERB ADP PUNCT SPACE NOUN PUNCT SPACE ADP NOUN PUNCT SPACE NOUN PUNCT VERB PROPN PROPN PUNCT SPACE PROPN PUNCT SPACE X PUNCT NOUN PUNCT SPACE PROPN DET ADJ NOUN SCONJ NOUN PROPN PUNCT NOUN PUNCT NOUN NUM ADP NOUN PROPN SPACE NOUN NOUN NUM VERB ADP PROPN CCONJ PROPN PUNCT PRON VERB ADP DET ADJ ADJ NOUN ADP DET ADJ ADJ NOUN PUNCT ADP PROPN PRON PROPN CCONJ PROPN PUNCT SPACE PROPN ADP PROPN PROPN X PUNCT PROPN PROPN PUNCT NUM NUM PUNCT NUM DET NOUN ADP NOUN PUNCT NOUN ADP NOUN ADP ADJ SPACE PROPN PROPN PROPN ADP PROPN PROPN PUNCT NUM NUM PUNCT NUM DET NOUN ADP NOUN PUNCT NOUN ADP NOUN,0.07323568575233022,0.4019658119658118,142,751,0.33098591549295775,0.1937838534345331
