tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, trenge, transport, opp, igjen, ?, ., 
, -, Nei, ,, nei, !, svarte, jeg, og, så, at, øynene, hennes, var, fulle, av, tårer, ., Som, om, det, skulle, finnes, en, måte, å, få, henne, til, å, bli, lykkelig, og, tilfreds, på, ., 
, Det, er, ikke, sant, ., Jeg, vil, bare, hjelpe, ., 
, Og, plutselig, var, det, det, ., Det, var, akkurat, det, jeg, ville, ., Hun, skulle, ikke, gi, opp, igjen, ., Men, hun, måtte, ville, det, ., 
, Jeg, tok, hånden, hennes, og, hun, sa, :, —, Du, må, love, å, komme, i, kveld, ,, så, vi, får, se, hva, som, skjer, ., 
, De, siste, ordene, runget, i, hodet, mitt, mens, jeg, sto, der, på, terrassen, i, mørket, og, så, at, hun, gikk, opp, stien, ,, og, at, lyset, i, vinduet, ble, borte, bak, henne, ., 
, Jeg, ble, stående, på, samme, sted, i, minst, ti, minutter, ., Hva, kunne, jeg, si, til, henne, ?, Hva, skulle, jeg, si, mens, jeg, så, henne, gå, opp, trappa, ?, Hjertet, mitt, sank, da, hun, var, forsvunnet, utenfor, hørevidde, ., Det, eneste, jeg, kunne, gjøre, var, å, lukke, øynene, og, la, alt, synke, inn, ., Det, eneste, som, betydde, noe, ., Den, eneste, kvinnen, i, mitt, liv, ., 
, Og]",DET NOUN ADP NOUN PRON AUX VERB NOUN ADP ADV PUNCT PUNCT SPACE PUNCT INTJ PUNCT INTJ PUNCT VERB PRON CCONJ VERB SCONJ NOUN PRON AUX ADJ ADP NOUN PUNCT SCONJ SCONJ PRON AUX VERB DET NOUN PART VERB PRON SCONJ PART VERB ADJ CCONJ ADJ ADP PUNCT SPACE PRON AUX PART ADJ PUNCT PRON AUX ADV VERB PUNCT SPACE CCONJ ADJ AUX PRON PRON PUNCT PRON AUX ADV PRON PRON VERB PUNCT PRON AUX PART VERB ADP ADV PUNCT CCONJ PRON AUX VERB PRON PUNCT SPACE PRON VERB NOUN PRON CCONJ PRON VERB PUNCT PUNCT PRON AUX VERB PART VERB ADP NOUN PUNCT CCONJ PRON AUX VERB PRON PRON VERB PUNCT SPACE DET ADJ NOUN VERB ADP NOUN PRON SCONJ PRON VERB ADV ADP NOUN ADP NOUN CCONJ ADV SCONJ PRON VERB ADP NOUN PUNCT CCONJ SCONJ NOUN ADP NOUN AUX ADP ADP PRON PUNCT SPACE PRON VERB ADJ ADP DET NOUN ADP ADJ NUM NOUN PUNCT PRON AUX PRON VERB ADP PRON PUNCT PRON AUX PRON VERB SCONJ PRON VERB PRON VERB ADP NOUN PUNCT NOUN PRON VERB SCONJ PRON AUX VERB ADP NOUN PUNCT DET NUM PRON AUX VERB AUX PART VERB NOUN CCONJ VERB PRON VERB ADP PUNCT DET NUM PRON VERB PRON PUNCT DET NUM NOUN ADP PRON NOUN PUNCT SPACE CCONJ,0.0425764192139738,0.3840138408304487,217,916,0.663594470046083,0.33567872110378255
"[Men, så, banket, jomfru, Hansen, på, døren, ., «, Hvem, er, det, ?, », spurte, hun, med, sin, krasse, rost, ., «, Å, ,, det, er, bare, meg, ., Jeg, skal, hilse, fra, mannen, min, —, og, si, at, han, vil, komme, på, besok, ., », «, Han, kommer, da, også, riktig, godt, og, beleilig, ., Jeg, håper, at, han, ikke, har, tenkt, seg, noe, alvorlig, ., Å, ,, jeg, vet, virkelig, ikke, hva, jeg, skal, tenke, ., Han, sier, at, han, må, ta, den, bestemmelse, han, selv, vil, ha, til, et, eller, annet, ., Du, vet, vi, har, sagt, så, meget, —, og, at, vi, må, gjøre, det, beste, ut, av, det, ., Det, nytter, ikke, å, vente, på, ham, —, enten, kommer, han, eller, også, kommer, han, ikke, ., Kanskje, kommer, han, —, kanskje, ikke, ., Men, hvis, han, kommer, ,, håper, jeg, at, han, ikke, vil, være, slik, mot, dere, —, og, kanskje, at, han, er, annerledes, enn, før, ., Det, hele, henger, nokså, meget, sammen, med, det, at, han, er, gift, ., Det, gjør, ham, kanskje, litt, anderledes, enn, han, var, i, gamle, dager, ., », «, Ja, ., Det, er, han, nok, i, grunnen, også, blitt, ., Det, var, derfor, jeg, ville, snakke, med, ham]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT PUNCT PRON AUX PRON PUNCT PUNCT VERB PRON ADP PRON ADJ NOUN PUNCT PUNCT INTJ PUNCT PRON VERB ADV PRON PUNCT PRON AUX VERB ADP NOUN PRON PUNCT CCONJ VERB SCONJ PRON AUX VERB ADP NOUN PUNCT PUNCT PUNCT PRON VERB ADV ADV ADJ ADJ CCONJ ADJ PUNCT PRON VERB SCONJ PRON PART AUX VERB PRON DET ADJ PUNCT PART PUNCT PRON VERB ADJ PART PRON PRON AUX VERB PUNCT PRON VERB SCONJ PRON AUX VERB DET NOUN PRON DET AUX VERB ADP DET CCONJ DET PUNCT PRON VERB PRON AUX VERB ADV ADV PUNCT CCONJ SCONJ PRON AUX VERB DET ADJ ADP ADP PRON PUNCT PRON VERB PART PART VERB ADP PRON PUNCT CCONJ VERB PRON CCONJ ADV VERB PRON PART PUNCT ADV VERB PRON PUNCT ADV PART PUNCT CCONJ SCONJ PRON VERB PUNCT VERB PRON SCONJ PRON PART AUX AUX ADV ADP PRON PUNCT CCONJ ADV SCONJ PRON AUX ADJ ADP ADP PUNCT DET ADJ VERB ADV ADV ADV ADP PRON SCONJ PRON AUX ADJ PUNCT PRON VERB PRON ADV ADJ ADJ SCONJ PRON AUX ADP ADJ NOUN PUNCT PUNCT PUNCT INTJ PUNCT PRON AUX PRON ADV ADP NOUN ADV VERB PUNCT PRON AUX ADV PRON AUX VERB ADP PRON,0.04190260475651189,0.3768345323741011,210,883,0.6952380952380952,0.32024789537032133
"[Det, synspunkt, at, miljøskifte, og, omplassering, av, barn, ikke, skal, komme, på, tale, hvis, det, ikke, fore, ligger, konkret, mistanke, om, alvor, lig, mishandling, ,, fikk, bred, støtte, i, Lagtinget, igår, og, vil, trolig, bli, gjenstand, for, avstemning, i, Stor, tinget, i, løpet, av, vårsesjonen, ., Både, fra, talerstolen, og, under, voteringen, uttalte, flere, repre, sentanter, seg, i, samme, retning, ., Ved, voteringen, ble, det, da, også, en, stemmig, vedtatt, å, sende, departe, mentets, regler, om, adgang, til, bar, nemishandling, ut, til, uttalelse, til, en, rekke, aktuelle, institusjoner, og, organisasjon, er, ., 
, SV, er, det, eneste, parti, som, går, sterkt, imot, at, loven, skal, inne, holde, en, så, klar, begrensning, i, adgangen, til, å, skille, mor, og, barn, ., Sosialistisk, Venstreparti, frem, met, i, likhet, med, Kristelig, folkepar, ti, og, Venstre, forslag, om, at, «, barn, ikke, skal, skilles, fra, sine, foreldre, mot, deres, vilje, fordi, det, foreligger, mistanke, om, fysisk, eller, psykiske, lidelser, ved, foreldrene, og, på, grunn, av, deres, oppførsel, overfor, barnet, .]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN PART AUX VERB ADP NOUN SCONJ PRON PART VERB VERB ADJ NOUN ADP NOUN X NOUN PUNCT VERB ADJ NOUN ADP PROPN NOUN CCONJ AUX ADJ VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ ADP NOUN CCONJ ADP NOUN VERB ADJ ADJ NOUN PRON ADP DET NOUN PUNCT ADP NOUN VERB PRON ADV ADV DET ADJ VERB PART VERB PROPN NOUN NOUN ADP NOUN ADP VERB NOUN ADP ADP NOUN ADP DET NOUN ADJ NOUN CCONJ NOUN AUX PUNCT SPACE PROPN AUX DET NUM NOUN PRON VERB ADJ ADP SCONJ NOUN AUX ADP VERB DET ADV ADJ NOUN ADP NOUN SCONJ PART VERB NOUN CCONJ NOUN PUNCT ADJ PROPN ADP NOUN ADP NOUN ADP PROPN VERB NUM CCONJ PROPN NOUN SCONJ SCONJ PUNCT NOUN PART AUX VERB ADP PRON NOUN ADP PRON NOUN SCONJ PRON VERB NOUN ADP ADJ CCONJ ADJ NOUN ADP NOUN CCONJ ADP NOUN ADP PRON NOUN ADP NOUN PUNCT,0.035940803382663845,0.34599777034559576,166,946,0.5180722891566265,0.15038064877328047
"[Nei, sa, Beatrice, Bare, gå, hjem, !, Beatrice, Nei, jeg, kan, ikke, ., Jeg, har, det, så, vanskelig, ,, sa, Olivia, ,, og, så, sa, hun, :, Ta, på, deg, klærne, og, kom, deg, hjem, ., Beatrice, Hun, sa, det, ., Ta, på, deg, klærne, ,, og, kom, deg, hjem, sa, hun, Beatrice, Du, kan, få, sitte, på, med, meg, ,, sa, Bea, ., Bare, ta, på, deg, en, genser, ,, sa, jeg, ., Beatrice, Sa, hun, ?, Kan, du, ikke, bli, med, hjem, ., Beatrice, sa, det, akkurat, nå, ., Ta, på, deg, genser, ,, sa, jeg, ., Beatrice, sa, ingenting, ., Det, var, ingen, i, kjøkkenet, akkurat, nå, ., Jeg, vil, ikke, være, til, unytte, ., Jeg, vil, ikke, være, til, unytte, ,, sa, Beatrice, ., Jeg, vil, sitte, hos, henne, hvis, jeg, kan, ., Om, jeg, kunne, ., Ikke, gå, ,, ikke, gå, ., Det, var, en, svak, ringing, ., Beatrice, Jeg, skal, gå, og, lukke, opp, ., Jeg, er, lei, av, henne, ., Bea, Det, tar, ikke, lang, tid, ., Beatrice, Nei, sa, hun, !, Du, kan, sitte, på, ., Beatrice, Ikke, gå, !, Bea, Nei, ,, jeg, er, sikker, på, at, du, kan, gjøre, noe, ., Beatrice, Jeg, er, lei, for]",INTJ VERB PROPN ADV VERB ADP PUNCT PROPN PROPN PRON VERB PART PUNCT PRON VERB PRON ADV ADJ PUNCT VERB PROPN PUNCT CCONJ ADV VERB PRON PUNCT VERB ADP PRON NOUN CCONJ VERB PRON ADP PUNCT PROPN PRON VERB PRON PUNCT VERB ADP PRON NOUN PUNCT CCONJ VERB PRON ADP VERB PRON PROPN PRON AUX AUX VERB ADP ADP PRON PUNCT VERB PROPN PUNCT ADV VERB ADP PRON DET NOUN PUNCT VERB PRON PUNCT PROPN VERB PRON PUNCT AUX PRON PART VERB ADP ADP PUNCT PROPN VERB PRON ADV ADV PUNCT VERB ADP PRON NOUN PUNCT VERB PRON PUNCT PROPN VERB PRON PUNCT PRON VERB PRON ADP NOUN ADV ADV PUNCT PRON AUX PART AUX SCONJ NOUN PUNCT PRON AUX PART AUX SCONJ NOUN PUNCT VERB PROPN PUNCT PRON AUX VERB ADP PRON SCONJ PRON VERB PUNCT SCONJ PRON VERB PUNCT PART VERB PUNCT PART VERB PUNCT PRON AUX DET ADJ NOUN PUNCT PROPN PRON AUX VERB CCONJ VERB ADP PUNCT PRON AUX ADJ ADP PRON PUNCT PROPN PRON VERB PART ADJ NOUN PUNCT PROPN PROPN VERB PRON PUNCT PRON AUX VERB ADP PUNCT PROPN PART VERB PUNCT PROPN PROPN PUNCT PRON AUX ADJ SCONJ SCONJ PRON AUX VERB PRON PUNCT PROPN PRON AUX ADJ ADP,0.05012224938875306,0.39924577373212,206,818,0.6456310679611651,0.3004532894439701
"[For, 2, av, elevene, har, turen, vært, ekstra, spesiell, ., Søstra, til, en, av, dem, skal, konfirmeres, i, dag, ., 
, han, fått, med, seg, søsteren, sin, ,, som, skal, konfirmeres, i, kirka, i, dag, ., 
, -, Jeg, kunne, jo, ikke, si, annet, enn, at, det, passet, meget, bra, ., I, til, legg, er, det, jo, veldig, bra, vær, ,, sier, han, ., 
, Og, om, været, var, bra, ,, var, ikke, elevene, mindre, fomøyd, med, in, spirasjonen, de, fikk, ., 
, -, Det, er, utrolig, artig, at, vi, får, være, med, å, sette, opp, ei, slik, forestilling, i, så, fine, omgivelser, ., I, tillegg, er, det, ikke, hver, dag, man, møter, et, så, godt, publikum, som, dette, ., Og, det, er, ikke, noen, tvil, om, at, vi, har, fått, veldig, mye, igjen, for, at, vi, har, meldt, oss, på, dette, ,, roser, elevene, ., ., 
, Turen, har, heller, ikke, gått, til, ba, re, de, som, har, tilknytning, til, korpset, ,, ifølge, Aune, ., 
, Elevene, har, blitt, kjent, med, læ, rere, og, fått, mange, nye, venner, ., 
, -, Vi, var, også, på, hyttetur, ., Det, var, nok, mange, som, fikk, et, lite, «, førsteinntrykk, »]",ADP NUM ADP NOUN AUX NOUN AUX ADJ ADJ PUNCT ADJ ADP DET ADP PRON AUX VERB ADP NOUN PUNCT SPACE PRON VERB ADP PRON NOUN PRON PUNCT PRON AUX VERB ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON AUX ADV PART VERB DET SCONJ SCONJ PRON VERB ADV ADJ PUNCT ADP ADP NOUN AUX PRON ADV ADJ ADJ NOUN PUNCT VERB PRON PUNCT SPACE CCONJ SCONJ NOUN AUX ADJ PUNCT AUX PART NOUN ADJ NOUN ADP PROPN NOUN PRON VERB PUNCT SPACE PUNCT PRON AUX ADJ ADJ SCONJ PRON AUX AUX SCONJ PART VERB ADP DET DET NOUN ADP ADV ADJ NOUN PUNCT ADP NOUN AUX PRON PART DET NOUN PRON VERB DET ADV ADJ NOUN ADP PRON PUNCT CCONJ PRON AUX PART DET NOUN SCONJ SCONJ PRON AUX VERB ADJ ADJ ADV SCONJ SCONJ PRON AUX VERB PRON ADP PRON PUNCT VERB NOUN PUNCT PUNCT SPACE NOUN AUX ADV PART VERB ADP VERB PROPN PRON PRON VERB NOUN ADP NOUN PUNCT ADP PROPN PUNCT SPACE NOUN AUX AUX VERB ADP NOUN NOUN CCONJ VERB ADJ ADJ NOUN PUNCT SPACE PUNCT PRON AUX ADV ADP NOUN PUNCT PRON VERB ADV ADJ PRON VERB DET ADJ PUNCT NOUN PUNCT,0.04929577464788732,0.39750933997509386,199,852,0.6381909547738693,0.38839692792323205
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, ny, kampanje, for, å, styrke, det, lo, kale, musikklivet, ., Kampanjen, ,, som, er, kalt, «, Kultur, på, tvers, ..., », ,, er, et, samar, beidsprosjekt, mellom, kulturkontorene, i, Hedmark, ,, Nord-Trøndelag, ,, Akershus, og, Hordaland, og, Rikskonsertene, ., I, løpet, av, høsten, skal, Rikskonsert, ne, gjennomføre, 20, turneer, med, lokale, /, regionale, ensembler, i, alle, de, fire, fylkene, ., Et, av, målene, med, denne, kampanjen, er, å, styrke, de, små, og, mer, spesielle, ensemblene, i, de, lo, kale, musikkmiljøene, ., Det, er, i, dag, lite, og, ingenting, tilskott, til, slike, en, sembler, ., Ensemblestøtten, innen, mu, sikk-området, ,, som, var, ment, som, til, skott, til, musikere, på, profesjonelt, nivå, ,, dekker, på, langt, nær, det, beho, vet, lokale, musikere, har, for, å, få, støt, te, ., Denne, turneen, har, derfor, som, mål, å, samle, lokale, /, regionale, en, sembler, ,, for, så, å, danne, et, større, pro, fesjonelt, ensemble, i, hvert, fylke, .]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET ADJ NOUN SCONJ PART VERB PRON VERB ADJ NOUN PUNCT NOUN PUNCT PRON AUX VERB PUNCT PROPN ADP NOUN PUNCT PUNCT PUNCT AUX DET X NOUN ADP NOUN ADP PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN CCONJ PROPN PUNCT ADP NOUN ADP NOUN AUX PROPN NOUN VERB NUM NOUN ADP ADJ PUNCT ADJ NOUN ADP DET DET NUM NOUN PUNCT DET ADP NOUN ADP DET NOUN AUX PART VERB DET ADJ CCONJ ADJ ADJ NOUN ADP PRON VERB ADJ NOUN PUNCT PRON VERB ADP NOUN ADJ CCONJ PRON PROPN ADP DET DET NOUN PUNCT NOUN ADP X NOUN PUNCT PRON AUX VERB PRON ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT VERB ADP ADJ ADJ PRON NOUN VERB ADJ NOUN VERB SCONJ PART VERB NOUN NOUN PUNCT DET NOUN VERB ADV SCONJ NOUN PART VERB ADJ PUNCT ADJ DET NOUN PUNCT SCONJ ADV PART VERB DET ADJ PROPN ADJ NOUN ADP DET NOUN PUNCT,0.05535924617196702,0.3853250000000002,164,849,0.4878048780487805,0.2863733501294567
"[Personell, og, organisering, av, sekretariatet, •, Sekretariat, med, minimum, 3, stillinger, •, 2, stillinger, i, 6, mnd., til, sammen, ca., kr., 730.000,--, •, Oppstart, ultimo, september, d.å, ., 
, Fullstendig, stillingsbeskrivelse, kan, fas, tilsendt, ved, henvendelse, til, Bravida, Norge, AS, ,, markedsavdelingen, ., Tlf, ., 23, 04, 48, 00, /, e-post, :, hr@bravida, ., ., 
, Prosjektet, er, et, samarbeid, mellom, :, -, Det, kommunale, og, regionale, næringsseiskap, i, Nord-Gudbrandsdal, -, Norges, forskningsråd, ,, programområde, Bioproduksjon, og, foredling, (, Hovedprogram, for, forskningsprogrammet, Produktivitet, 2005, ), -, Senter, for, bygdeforskning, og, Høgskolen, i, Lillehammer, ,, avd, ., ØSF, ,, (, Høgskolektorat, for, bygdeforskning, ), 
, HYTTENYTT, Medlemsbladet, Hyttenytt, utgis, med, 6, nummer, i, året, og, kommer, i, opplag, på, 3000., Medlemsbladet, er, også, tilgjengelig, for, alle, på, Internett, med, passord, .]",NOUN CCONJ NOUN ADP NOUN PUNCT PROPN ADP NOUN NUM NOUN ADP NUM NOUN ADP NUM NOUN ADP ADV ADV NOUN NOUN PUNCT NOUN ADJ NOUN ADJ PUNCT SPACE ADJ NOUN AUX AUX VERB ADP NOUN ADP PROPN PROPN PROPN PUNCT NOUN PUNCT INTJ PUNCT NUM NUM NUM NUM PUNCT NOUN PUNCT NOUN PUNCT PUNCT SPACE NOUN AUX DET NOUN ADP PUNCT PUNCT DET ADJ CCONJ ADJ NOUN ADP PROPN PUNCT PROPN NOUN PUNCT NOUN PROPN CCONJ NOUN PUNCT PROPN ADP NOUN PROPN NUM PUNCT PUNCT PROPN ADP NOUN CCONJ PROPN ADP PROPN PUNCT NOUN PUNCT PROPN PUNCT PUNCT PROPN ADP NOUN PUNCT SPACE PROPN PROPN ADJ VERB ADP NUM NOUN ADP NOUN CCONJ VERB ADP NOUN ADP NUM NOUN AUX ADV ADJ ADP PRON ADP PROPN ADP NOUN PUNCT,0.07625,0.42735019973368704,130,800,0.2692307692307692,0.09822338113274451
"[De, nevnte, artiklene, i, FN-paktens, del, II, er, et, brudd, på, internasjonal, rett, fordi, de, legger, grunnlag, for, ensidig, bruk, av, militær, makt, mot, en, annen, stat, ., Dette, er, et, brudd, på, artikkel, 2, i, den, første, tilleggsprotokoll, til, Genèvekonvensjonene, :, 
, «, Ingen, av, Genèvekonvensjonenes, artikler, ,, vedtektene, ,, tilleggsprotokollene, eller, denne, protokoll, ,, skal, anvendes, for, å, iversettet, de, mål, eller, utføre, de, handlinger, som, er, forbudt, ifølge, disse, overenskomster, eller, disses, tilleggsprotokoller, ,, eller, for, å, straffe, personer, som, har, opphørt, å, være, stridende, medlemmer, av, de, væpnede, styrker, ., 
, I, tilleggsprotokoll, I, artikkel, 33, til, Genèvekonvensjonene, står, det, klart, og, fast, at, Genèvekonvensjonenes, del, om, beskyttelse, av, sivile, i, krigstid, er, et, tillegg, til, de, eksisterende, konvensjoner, ,, men, at, den, ikke, gjelder, for, andre, konflikter, enn, dem, som, kommer, inn, under, Genèvekonvensjonene, ., Artikkel, 34, forbyr, partene, i, konflikten, fra, å, bruke, eller, oppmuntre, til, bruk, av, metoder, for]",DET VERB NOUN ADP PROPN NOUN NUM AUX DET NOUN ADP ADJ NOUN SCONJ PRON VERB NOUN ADP ADJ NOUN ADP ADJ NOUN ADP DET DET NOUN PUNCT PRON AUX DET NOUN ADP NOUN NUM ADP DET ADJ NOUN ADP PROPN PUNCT SPACE PUNCT DET ADP PROPN NOUN PUNCT NOUN PUNCT NOUN CCONJ DET NOUN PUNCT AUX VERB SCONJ PART VERB DET NOUN CCONJ VERB DET NOUN PRON AUX ADJ ADP DET NOUN CCONJ NOUN NOUN PUNCT CCONJ ADP PART VERB NOUN PRON AUX VERB PART AUX ADJ NOUN ADP DET ADJ NOUN PUNCT SPACE ADP NOUN ADP NOUN NUM ADP PROPN VERB PRON ADJ CCONJ ADJ SCONJ PROPN NOUN ADP NOUN ADP ADJ ADP NOUN AUX DET NOUN ADP DET ADJ NOUN PUNCT CCONJ SCONJ PRON PART VERB ADP DET NOUN ADP PRON PRON VERB ADP ADP PROPN PUNCT NOUN NUM VERB NOUN ADP NOUN SCONJ PART VERB CCONJ VERB ADP NOUN ADP NOUN ADP,0.0430672268907563,0.35545957918051013,156,952,0.5384615384615384,0.188970925857932
"[Bør, minimum, være, 10, av, 10., 
, \-, Vi, har, en, egenvurdering, av, spillerne, over, de, siste, tre, årene, ,, og, de, har, vært, gode, til, å, utvikle, seg, ., Vi, ser, også, en, tendens, til, at, flere, spillere, hevder, seg, i, landsdekkende, turneringer, nå, ,, sier, Johansen, ., 
, \-, Det, gjelder, å, ha, bredde, i, stallen, og, ha, spillere, som, kan, avgjøre, kamper, ., 
, \-1, Norge, har, vi, hatt, for, få, gode, spillere, i, en, årrekke, ., g, i, Norge, er, det, for, mange, ujevne, og, dårlige, lag, i, seniorklassene, ., 
, \-Hvordan, skal, Larvik, klare, å, ta, neste, steg, ?, 
, \-, Vi, må, bli, bedre, på, individuelle, ferdigheter, som, pasninger, ,, mottak, og, skudd, i, angrep, ,, og, på, taktiske, valg, i, forsvar, ., Dessuten, må, vi, heve, det, kollektive, spillet, for, at, både, spillere, og, tilskuere, skal, få, gode, opplevelser, ,, mener, Tine, Stange, ,, som, er, med, i, J98-landslaget, ., 
, Tine, spilte, landskamper, mot, Sverige, i, april, ., 
, Les, mer, om, NM-finalen, i, mandagens, papirutgave, av, ØP, .]",AUX NOUN AUX NUM ADP ADJ SPACE NOUN PRON VERB DET NOUN ADP NOUN ADP DET ADJ NUM NOUN PUNCT CCONJ PRON AUX AUX ADJ SCONJ PART VERB PRON PUNCT PRON VERB ADV DET NOUN SCONJ SCONJ ADJ NOUN VERB PRON ADP ADJ NOUN ADV PUNCT VERB PROPN PUNCT SPACE NOUN PRON VERB PART VERB NOUN ADP NOUN CCONJ VERB NOUN PRON AUX VERB NOUN PUNCT SPACE VERB PROPN AUX PRON VERB ADP ADJ ADJ NOUN ADP DET NOUN PUNCT NOUN ADP PROPN VERB PRON ADP ADJ ADJ CCONJ ADJ NOUN ADP NOUN PUNCT SPACE NOUN AUX PROPN VERB PART VERB DET NOUN PUNCT SPACE NOUN PRON AUX VERB ADJ ADP ADJ NOUN ADP NOUN PUNCT NOUN CCONJ NOUN ADP NOUN PUNCT CCONJ ADP ADJ NOUN SCONJ NOUN PUNCT ADV AUX PRON VERB DET ADJ NOUN SCONJ SCONJ CCONJ NOUN CCONJ NOUN AUX VERB ADJ NOUN PUNCT VERB PROPN PROPN PUNCT PRON AUX ADP ADP NOUN PUNCT SPACE PROPN VERB NOUN ADP PROPN ADP NOUN PUNCT SPACE VERB ADJ ADP NOUN ADP NOUN NOUN ADP PROPN PUNCT,0.05430932703659976,0.40007518796992353,177,847,0.5084745762711864,0.22748381245772978
"[Artikkel, 3, tar, opp, Kommisjonens, arbeidsprogram, for, år, 2000., Det, slås, innledningsvis, fast, at, det, første, steget, i, dette, er, å, sikre, en, effektiv, gjennomføring, av, den, felles, utenriks-, og, sikkerhetspolitikken, ., Dette, innebærer, at, det, etableres, nærmere, koblinger, mellom, den, sivile, og, militære, dimensjon, i, utenriks-, og, sikkerhetspolitikken, ,, og, det, arbeides, for, felles, institusjonelle, rammer, på, EU-nivå, ., Forøvrig, vil, tiltak, for, å, sikre, en, samordning, av, medlemsstatenes, politikk, på, ikke-militære, områder, bli, prioritert, ., Det, legges, vekt, på, de, områder, hvor, EU, som, organisasjon, har, kommet, lengst, på, vei, ,, som, energi, ,, miljø, og, kultur, ,, og, hvor, det, finnes, felles, målsettinger, om, en, mer, bærekraftig, utvikling, ., Dette, vil, også, omfatte, felles, tiltak, på, sektorer, som, turisme, og, sport, ,, hvor, medlemsstatene, og, deres, befolkning, deltar, ., Arbeidet, for, å, forhindre, spredning, av, massedødelige, våpen, og, for, å, styrke, den, kulturelle, og, akademiske, dimensjon, vil, fortsatt, gis, høy, prioritet, gjennom, programsamarbeidet, i, EU, ., Det, legges, også, vekt, på, å, sikre, at, arbeidet, med, å, forebygge, konsekvenser, av, naturkatastrofer]",NOUN NUM VERB ADP PROPN NOUN ADP NOUN NUM PRON VERB ADV ADJ SCONJ DET ADJ NOUN ADP PRON AUX PART VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT PRON VERB SCONJ PRON VERB ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN ADP NOUN CCONJ NOUN PUNCT CCONJ PRON VERB ADP ADJ ADJ NOUN ADP NOUN PUNCT ADV AUX NOUN SCONJ PART VERB DET NOUN ADP NOUN NOUN ADP ADJ NOUN AUX VERB PUNCT PRON VERB NOUN ADP DET NOUN ADV PROPN SCONJ NOUN AUX VERB ADJ ADP NOUN PUNCT ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT CCONJ ADV PRON VERB ADJ NOUN ADP DET ADJ ADJ NOUN PUNCT PRON AUX ADV VERB ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT ADV NOUN CCONJ PRON NOUN VERB PUNCT NOUN SCONJ PART VERB NOUN ADP ADJ NOUN CCONJ ADP PART VERB DET ADJ CCONJ ADJ NOUN AUX ADV VERB ADJ NOUN ADP NOUN ADP PROPN PUNCT PRON VERB ADV NOUN SCONJ PART VERB SCONJ NOUN SCONJ PART VERB NOUN ADP NOUN,0.03429101019462465,0.3793398058252428,174,1079,0.47701149425287354,0.21814350734569896
