tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, er, blitt, forsinket, ?, spurte, hun, med, påtatt, likegyldighet, ., 
, Barometeret, falt, ,, og, det, så, ikke, lyst, ut, ;, men, han, hadde, bare, et, kort, stykke, å, gå, til, ,, og, i, et, vær, som, dette, burde, en, mann, ha, litt, tid, ., Han, gikk, fort, nedover, ,, og, det, tok, ham, bare, ti, minutter, å, skritte, over, gaten, ., 
, Beskjed, ,, sa, han, bare, ., Hun, la, ikke, merke, til, at, han, snudde, seg, ., 
, Enten, er, han, blitt, forsinket, ,, eller, han, har, ikke, hørt, beskjeden, ., 
, Da, han, var, kommet, til, døren, stoppet, han, litt, ., —, Hvem, i, all, verden, kan, det, være, ?, Hvem, kan, det, være, ?, 
, Kanskje, han, har, hørt, det, ?, sa, hun, ., Han, så, opp, på, huset, og, lyttet, ., —, Nei, da, er, det, nok, ingen, der, ., Han, gikk, tilbake, til, porten, ., Det, eneste, som, hørtes, var, lyden, av, regnet, ., Han, åpnet, døren, og, gikk, inn, ., Hun, var, ikke, der, ., Regnet, plasket, mot, gulvet, ., Hun, var, ikke, der, ., 
, De, var, fremdeles, i, gangen, ., Han, snudde, seg, og, skyndte, seg, tilbake, til, dør]",DET NOUN ADP NOUN PRON AUX AUX VERB PUNCT VERB PRON ADP VERB NOUN PUNCT SPACE NOUN VERB PUNCT CCONJ PRON VERB PART NOUN ADP PUNCT CCONJ PRON VERB ADV DET ADJ NOUN PART VERB ADP PUNCT CCONJ ADP DET NOUN PRON PRON AUX DET NOUN VERB ADJ NOUN PUNCT PRON VERB ADJ ADP PUNCT CCONJ PRON VERB PRON ADV NUM NOUN PART VERB ADP NOUN PUNCT SPACE NOUN PUNCT VERB PRON ADV PUNCT PRON VERB PART NOUN SCONJ SCONJ PRON VERB PRON PUNCT SPACE CCONJ AUX PRON AUX VERB PUNCT CCONJ PRON AUX PART VERB ADJ PUNCT SPACE SCONJ PRON AUX VERB ADP NOUN VERB PRON ADJ PUNCT PUNCT PRON ADP DET NOUN AUX PRON VERB PUNCT PRON AUX PRON VERB PUNCT SPACE ADV PRON AUX VERB PRON PUNCT VERB PRON PUNCT PRON VERB ADP ADP NOUN CCONJ VERB PUNCT PUNCT INTJ ADV VERB PRON ADV PRON ADV PUNCT PRON VERB ADP ADP NOUN PUNCT DET NUM PRON VERB AUX NOUN ADP NOUN PUNCT PRON VERB NOUN CCONJ VERB ADP PUNCT PRON AUX PART ADV PUNCT NOUN VERB ADP NOUN PUNCT PRON AUX PART ADV PUNCT SPACE PRON AUX ADV ADP NOUN PUNCT PRON VERB PRON CCONJ VERB PRON ADP ADP VERB,0.04439252336448598,0.39556381660470646,203,856,0.6157635467980296,0.2966511786417647
"[Men, så, banket, jomfru, Hansen, på, døra, ., Og, inn, stormer, en, liten, tykk, kone, i, rutete, forkle, ,, med, hodetørkle, på, skjeve, ., 
, «, Å, er, den, mannen, hen, nå, ,, da, ?, », spør, hun, ., Det, er, tydelig, som, hun, vet, beskjed, ., Hu, Karine, hører, på, den, snøvlete, dialekten, som, om, hun, skulle, være, kjent, med, forholdene, her, fra, ungdommen, ,, og, så, sier, hun, :, «, Jøss, ,, åssen, fant, Dere, han, da, ,, fru, Hansen, -, så, tidlig, på, morran, ?, », Den, lille, tykke, kona, kniper, det, ene, øyet, sammen, ., Men, det, andre, ser, hun, etter, -, og, det, er, et, riktig, stygt, øye, -, og, det, er, tydelig, at, hun, vet, beskjed, ., «, Har, Dere, vært, i, seng, i, natt, De, da, ,, fru, Hansen, ?, », «, Ja, ,, jomfru, ,, ja, ., 
, Det, blir, en, liten, pause, ., Så, bryter, jomfru, Hansen, ut, med, det, :, 
, «, De, kan, tru, at, vi, blei, redde, ,, vi, som, budde, nere, ved, skauen, ., For, han, -, han, lå, oppe, i, skråningen, -, han, var, dau, da, vi, kom, ner, ., 
, De, to, små, grises]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT CCONJ ADP VERB DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT ADP NOUN ADP ADJ PUNCT SPACE PUNCT PART AUX DET NOUN ADP ADV PUNCT ADV PUNCT PUNCT VERB PRON PUNCT PRON AUX ADJ PRON PRON VERB NOUN PUNCT PROPN PROPN VERB ADP DET ADJ NOUN SCONJ SCONJ PRON AUX AUX ADJ ADP NOUN ADV ADP NOUN PUNCT CCONJ ADV VERB PRON PUNCT PUNCT INTJ PUNCT NOUN VERB PROPN PRON ADV PUNCT PROPN PROPN PUNCT ADV ADJ ADP NOUN PUNCT PUNCT DET ADJ ADJ NOUN VERB DET NUM NOUN ADV PUNCT CCONJ DET DET VERB PRON ADP PUNCT CCONJ PRON AUX DET ADJ ADJ NOUN PUNCT CCONJ PRON AUX ADJ SCONJ PRON VERB NOUN PUNCT PUNCT AUX PRON VERB ADP NOUN ADP NOUN PRON ADV PUNCT PROPN PROPN PUNCT PUNCT PUNCT INTJ PUNCT NOUN PUNCT INTJ PUNCT SPACE PRON VERB DET ADJ NOUN PUNCT ADV VERB PROPN PROPN ADP ADP PRON PUNCT SPACE PUNCT PRON AUX VERB SCONJ PRON VERB ADJ PUNCT PRON PRON VERB NOUN ADP PROPN PUNCT CCONJ PRON PUNCT PRON VERB ADP ADP NOUN PUNCT PRON AUX ADJ SCONJ PRON VERB PROPN PUNCT SPACE DET NUM ADJ NOUN,0.05296343001261034,0.4164247311827954,199,793,0.5025125628140703,0.23457436123527978
"[Det, synspunkt, at, miljøskifte, og, miljøskifte, i, arbeidet, må, føre, til, ny, lærdom, ,, er, eit, sentralt, prinsipp, i, skule, verket, -, i, dag, kanskje, spesielt, teke, opp, i, Kunnskapsløftet, ., Denne, erkjenninga, har, me, fått, med, oss, når, nye, lærebøker, i, kroppsøving, no, kjem, ut, ., Som, lesaren, vil, sjå, ,, har, dei, ein, sterk, miljøprofil, ., Me, vil, på, ingen, måte, avgrense, miljøomgrepet, til, berre, å, omhandla, det, fysiske, læringsmiljøet, ., I, det, økologiske, perspektivet, inngår, også, det, sosiale, ,, kulturelle, og, mellommenneskelege, ., Det, er, desse, faktorane, i, læringsmiljøet, som, no, har, kome, endå, tydelegare, fram, i, dei, nye, lærebøkene, i, kroppsøving, ., 
, Fleirfaglege, ., Bøkene, vil, i, sin, heilskap, koma, ut, i, løpet, av, hausten, og, vil, då, etter, kvart, og, liggja, føre, som, gratisabonnement, på, nettportalen, kroppsoving.org, ., Denne, nettportalen, vert, administrert, av, Utdanningsdirektoratet, og, har, til, føremål, å, informera, om, lærebøker, og, skulen, sitt, arbeid, med, dei, i, kropp]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN AUX VERB ADP ADJ NOUN PUNCT AUX DET ADJ NOUN ADP PROPN NOUN PUNCT ADP NOUN ADV ADJ NOUN ADP ADP PROPN PUNCT DET NOUN AUX X VERB ADP PRON SCONJ ADJ NOUN ADP NOUN X X ADP PUNCT SCONJ NOUN AUX VERB PUNCT VERB X X ADJ NOUN PUNCT NUM AUX ADP DET NOUN VERB NOUN ADP ADV PART ADV DET ADJ NOUN PUNCT ADP DET ADJ NOUN VERB ADV DET ADJ PUNCT ADJ CCONJ NOUN PUNCT PRON AUX X PROPN ADP NOUN ADP X X VERB PROPN NOUN ADP ADP DET ADJ NOUN ADP NOUN PUNCT SPACE NOUN PUNCT NOUN AUX ADP PRON NOUN ADJ ADP ADP NOUN ADP NOUN CCONJ AUX ADV ADP NOUN CCONJ NOUN VERB ADP NOUN ADP NOUN PROPN PUNCT DET NOUN AUX VERB ADP PROPN CCONJ VERB ADP NOUN PART VERB ADP NOUN CCONJ NOUN PRON NOUN ADP PROPN ADP NOUN,0.041019955654102,0.3930128956623673,156,902,0.5897435897435898,0.1430913263510076
"[Nei, sa, Beatrice, Bare, gå, videre, Du, kjenner, henne, ikke, igjen, Du, har, rett, ,, det, kommer, ikke, til, å, skje, Jeg, er, blitt, for, gammel, til, det, Beatrice, ,, du, må, hjelpe, oss, å, finne, dem, !, ., 
, Klokkespill, som, ringlet, med, sin, klokke, og, den, kjente, ,, søte, duften, av, roser, fylte, luften, ., 
, Dørklokken, ringte, i, hallen, ., Beatrice, åpnet, døren, for, sin, mor, og, far, i, den, lille, sorte, kjolen, ., —, Kom, inn, !, Jeg, skal, si, de, er, glad, over, å, se, deg, !, ropte, Jenny, ,, som, hadde, tatt, de, vanlige, hofteholder-ombré'en, på, seg, ., —, Jeg, kom, nettopp, inn, med, en, dame, som, gjerne, ville, hilse, på, Dem, ., Den, lille, damen, i, sort, åpnet, armene, ., —, Åh, ,, jeg, vet, det, ,, jeg, går, alltid, først, i, selskapet, ., Takk, ,, jeg, ville, så, gjerne, se, inn, i, Deres, vakre, hjem, ., ., ., 
, Jennys, stemme, var, myk, som, silke, ., Bea, så, på, henne, at, hun, hadde, drukket, ., Hun, hadde, en, kopp, varm, sjokolade, i, hånden, ., Hun, hadde]",INTJ VERB PROPN ADV VERB ADJ PRON VERB PRON PART ADV PRON VERB ADJ PUNCT PRON VERB PART SCONJ PART VERB PRON AUX VERB ADV ADJ ADP PRON PROPN PUNCT PRON AUX VERB PRON PART VERB PRON PUNCT PUNCT SPACE NOUN PRON VERB ADP PRON NOUN CCONJ DET ADJ PUNCT ADJ NOUN ADP NOUN VERB NOUN PUNCT SPACE NOUN VERB ADP NOUN PUNCT PROPN VERB NOUN ADP PRON NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN PUNCT PUNCT VERB ADP PUNCT PRON AUX VERB PRON AUX ADJ SCONJ PART VERB PRON PUNCT VERB PROPN PUNCT PRON AUX VERB DET ADJ NOUN ADP PRON PUNCT PUNCT PRON VERB ADV ADP ADP DET NOUN PRON ADV AUX VERB ADP PROPN PUNCT DET ADJ NOUN ADP ADJ VERB NOUN PUNCT PUNCT X PUNCT PRON VERB PRON PUNCT PRON VERB ADV ADV ADP NOUN PUNCT NOUN PUNCT PRON AUX ADV ADV VERB ADP ADP PRON ADJ ADP PUNCT PUNCT PUNCT SPACE PROPN NOUN AUX ADJ SCONJ NOUN PUNCT PROPN VERB ADP PRON SCONJ PRON AUX VERB PUNCT PRON VERB DET NOUN ADJ NOUN SCONJ NOUN PUNCT PRON VERB,0.05067985166872682,0.39568421052631547,184,809,0.5597826086956522,0.24577506719379869
"[For, 2, av, elevene, har, vi, imidlertid, benyttet, deres, gamle, personnummer, ., De, har, vært, i, kontakt, med, den, personen, som, var, registrert, som, deres, foresatte, i, den, siste, registreringsdatoen, i, Elevkartoteket, ., Det, viser, seg, at, ingen, av, disse, elevene, har, en, person, som, er, registrert, som, foresatt, i, det, sentrale, folkeregisteret, ,, men, de, har, fått, en, ny, foresatt, i, elevkartoteket, som, følge, av, endret, bostedsadresse, ., I, forhold, til, de, andre, elevene, har, vi, her, brukt, den, registrerte, personens, fornavn, og, etternavn, ., Elever, med, personnummer, har, fått, tilsendt, spørreskjerna, ,, der, det, har, manglet, opplysninger, ,, og, der, dette, har, vært, mulig, har, skolene, fylt, ut, manglende, informasjon, ved, behov, ., 
, med, spørreskjemaene, i, posten, ., 
, Figuren, nedenfor, viser, andelen, som, har, hatt, kontakt, med, sin, "", nye, "", skole, med, foreldresamtale, og, foreldremøte, ., For, åfå, et, inntrykk, ,, har, vi, sett, bort, fra, de, 11, %, som, har, hatt, slik, kontakt, for, 4, -, 7, år, siden, ., 
, I, spørreskjemaundersøkelsen, fikk, elevene, spørsmål, om, deres, "", nye, "", skolekontakt]",ADP NUM ADP NOUN AUX PRON ADV VERB PRON ADJ NOUN PUNCT PRON AUX AUX ADP NOUN ADP DET NOUN PRON AUX VERB SCONJ PRON ADJ ADP DET ADJ NOUN ADP PROPN PUNCT PRON VERB PRON SCONJ PRON ADP DET NOUN VERB DET NOUN PRON AUX VERB SCONJ NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON AUX VERB DET ADJ NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT ADP NOUN ADP DET DET NOUN VERB PRON ADV VERB DET ADJ NOUN NOUN CCONJ NOUN PUNCT NOUN ADP NOUN AUX AUX VERB NOUN PUNCT SCONJ PRON AUX VERB NOUN PUNCT CCONJ SCONJ PRON AUX AUX ADJ AUX NOUN VERB ADP ADJ NOUN ADP NOUN PUNCT SPACE ADP NOUN ADP NOUN PUNCT SPACE NOUN ADP VERB NOUN PRON AUX VERB NOUN ADP PRON PUNCT ADJ PUNCT NOUN ADP NOUN CCONJ NOUN PUNCT ADP ADJ DET NOUN PUNCT AUX PRON VERB ADP ADP DET NUM NOUN PRON AUX VERB DET NOUN ADP NUM PUNCT NUM NOUN ADV PUNCT SPACE ADP NOUN VERB NOUN NOUN ADP PRON PUNCT ADJ PUNCT NOUN,0.03987730061349693,0.3711087190527431,178,978,0.5617977528089888,0.2576006119805364
"[Utover, høsten, 1987, vil, det, i, Bergen, by, på, den, reneste, valfart, for, å, skaffe, seg, bil, ligst, mulig, juletre, ., 
, gen, ., Vi, vil, helst, seige, julenek, og, ., —, og, gjerne, få, med, et, par, ju, letreselgere, til, ,, slik, at, vi, kan, konkurrere, med, dem, som, er, på, jakt, etter, julenek, på, Torget, ,, sier, Svein, Lønne, ., I, løpet, av, en, helgevakt, tar, Lønne, en, titt, på, Torget, ,, som, en, prøve, på, julehandelen, ., Etterpå, ringer, han, rundt, til, selgerne, for, å, få, oversikt, over, deres, pri, ser, ., 
, Familien, Lønne, er, på, julehan, del, med, barna, Cathrine, (, 10, ), og, Magnus, (, 13, ), ,, og, mor, Anne, Guri, (, 48, ), ., —, Vi, tok, en, familiekveld, her, i, byen, i, år, ,, og, tenkte, vi, skulle, handle, noe, av, overskuddet, hjem, til, Flesland, ,, forteller, Anne, Guri, Lønne, ., Hun, er, med, i, hus, mortrioen, på, en, ny, handletur, i, byen, ., Vi, kommer, fra, Sløvåg, ,, en, to, timers, biltur, fra, Bergen, ,, og, ser, juletresalget, som]",ADP NOUN NUM AUX PRON ADP PROPN NOUN ADP DET ADJ NOUN SCONJ PART VERB PRON NOUN ADJ ADJ NOUN PUNCT SPACE NOUN PUNCT PRON AUX ADV ADJ NOUN CCONJ PUNCT PUNCT CCONJ ADV VERB ADP DET NOUN NOUN NOUN ADP PUNCT ADV SCONJ PRON AUX VERB ADP PRON PRON AUX ADP NOUN ADP NOUN ADP PROPN PUNCT VERB PROPN PROPN PUNCT ADP NOUN ADP DET NOUN VERB PROPN DET NOUN ADP PROPN PUNCT SCONJ DET NOUN ADP NOUN PUNCT ADV VERB PRON ADP ADP NOUN SCONJ PART VERB NOUN ADP NOUN NOUN VERB PUNCT SPACE NOUN PROPN AUX ADP PROPN NOUN ADP NOUN PROPN PUNCT NUM PUNCT CCONJ PROPN PUNCT NUM PUNCT PUNCT CCONJ NOUN PROPN PROPN PUNCT NUM PUNCT PUNCT PUNCT PRON VERB DET NOUN ADV ADP NOUN ADP NOUN PUNCT CCONJ VERB PRON AUX VERB PRON ADP NOUN ADP ADP PROPN PUNCT VERB PROPN PROPN PROPN PUNCT PRON AUX ADP ADP NOUN NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB ADP PROPN PUNCT DET NUM NOUN NOUN ADP PROPN PUNCT CCONJ VERB NOUN PRON,0.06375,0.4158988015978702,179,800,0.49162011173184356,0.250439590820063
"[Personell, og, organisering, av, sekretariatet, har, en, nøkkelrolle, i, å, skape, en, god, dialog, mellom, partene, i, arbeidslivet, ., Dette, må, ivaretas, og, utvikles, av, begge, parter, ., 
, avgjørende, for, gode, løsninger, ., 
, har, vi, en, unik, plattform, for, å, oppnå, gode, prosesser, ., Det, er, ikke, så, mange, arbeidsplasser, som, har, denne, muligheten, i, dag, ., Vi, har, et, godt, grunnlag, for, å, utvikle, dette, videre, ., 
, oppgåver, og, ansvar, må, fordeles, i, samsvar, med, kompetanse, og, res, surser, til, organisasjonen, og, mellom, organisasjonene, ., 
, gjennomføringen, av, IA-arbei, det, er, viktig, ., 
, beidet, ,, mens, arbeidsgiver, får, et, medansvar, for, de, andre, målene, ., 
, I, tråd, med, dette, må, hver, IA, virksomhet, :, 
, fordeler, blant, de, sykmeldte, etter, virksomhetens, behov, ., Dette, må, ikke, gå, forbi, eller, på, bekostning, av, de, med, langtidsfråvær, ., 
, kriteriene, som, skal, legges, til, grunn, er, de, samme, som, ved, opp, følging, av, sykmeldte, ., 
, som, er, innenfor, rammen, av, dagens, sykelønnsordning, ., 
, arbeidsplassen, som, er, best, egnet, til, å, ta, vare, på, og, følge, opp, den, enkelte, sykmeldte, ., 
, best, egnet, til]",NOUN CCONJ NOUN ADP NOUN VERB DET NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON AUX VERB CCONJ VERB ADP DET NOUN PUNCT SPACE ADJ ADP ADJ NOUN PUNCT SPACE VERB PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN PUNCT PRON AUX PART ADV ADJ NOUN PRON VERB DET NOUN ADP NOUN PUNCT PRON VERB DET ADJ NOUN SCONJ PART VERB PRON ADJ PUNCT SPACE NOUN CCONJ NOUN AUX VERB ADP NOUN ADP NOUN CCONJ NOUN NOUN ADP NOUN CCONJ ADP NOUN PUNCT SPACE NOUN ADP NOUN PRON AUX ADJ PUNCT SPACE NOUN PUNCT SCONJ NOUN VERB DET NOUN ADP DET DET NOUN PUNCT SPACE ADP NOUN ADP PRON AUX DET PROPN NOUN PUNCT SPACE VERB ADP DET ADJ ADP NOUN NOUN PUNCT PRON AUX PART VERB ADP CCONJ ADP NOUN ADP PRON ADP NOUN PUNCT SPACE NOUN PRON AUX VERB ADP NOUN AUX DET DET PRON ADP ADP NOUN ADP NOUN PUNCT SPACE PRON AUX ADP NOUN ADP NOUN NOUN PUNCT SPACE NOUN PRON AUX ADJ ADJ SCONJ PART VERB NOUN ADP CCONJ VERB ADP DET ADJ NOUN PUNCT SPACE ADJ ADJ ADP,0.03538928210313448,0.38104255319148866,190,989,0.531578947368421,0.296805571931682
"[De, nevnte, artiklene, i, FN-rap, porten, har, et, felles, poeng, ,, nem, lig, at, en, viktig, drivkraft, hos, de, militære, lederne, er, frykt, -, ikke, først, og, fremst, for, krig, ,, men, for, å, bli, stemplet, som, svake, og, inkompetente, ,, for, å, tape, kam, pen, mot, opprørsgrupper, som, kontrollerer, mye, av, ressursfor, valtningen, ., Et, annet, fellespoeng, er, at, vi, ser, et, annet, bilde, nå, -, at, de, militære, har, en, ny, og, langt, mer, velutviklet, forståelse, av, hvor, dan, man, skal, løse, konflikter, ., Dette, er, ingen, lett, oppgave, når, vi, står, overfor, de, store, utfor, dringene, :, Hvordan, unngå, at, et, væpnet, opprør, slår, rot, i, et, land, som, allerede, har, vært, gjennom, flere, tiår, der, militærmakt, har, vært, en, viktig, komponent, for, å, vinne, kriger, ., Ert, alternativ, er, å, lære, av, de, store, intervensjo, nene, som, har, foregått, i, flere, land, ,, også, i, FN-regi, ,, å, skape, den, type, politisk, og, økonomisk, «, normalisering, », som, for, ek, sempel, har, foregått, i, Sør-Sudan, ., Et, annet]",DET VERB NOUN ADP PROPN NOUN VERB DET ADJ NOUN PUNCT X X SCONJ DET ADJ NOUN ADP DET ADJ NOUN AUX NOUN PUNCT PART ADV CCONJ ADJ ADP NOUN PUNCT CCONJ ADP PART AUX VERB SCONJ ADJ CCONJ ADJ PUNCT SCONJ PART VERB NOUN ADJ ADP NOUN PRON VERB ADJ ADP PROPN NOUN PUNCT DET DET NOUN AUX SCONJ PRON VERB DET DET NOUN ADV PUNCT SCONJ DET ADJ VERB DET ADJ CCONJ ADJ ADJ ADJ NOUN ADP ADV NOUN PRON AUX VERB NOUN PUNCT PRON AUX DET ADJ NOUN SCONJ PRON VERB ADP DET ADJ ADP NOUN PUNCT ADV VERB SCONJ DET ADJ NOUN VERB NOUN ADP DET NOUN PRON ADV AUX AUX ADP ADJ NOUN SCONJ NOUN AUX AUX DET ADJ NOUN SCONJ PART VERB NOUN PUNCT PROPN NOUN AUX PART VERB ADP DET ADJ NOUN NOUN PRON AUX VERB ADP ADJ NOUN PUNCT ADV ADP NOUN PUNCT PART VERB DET NOUN ADJ CCONJ ADJ PUNCT NOUN PUNCT ADP ADP PROPN NOUN AUX VERB ADP PROPN PUNCT DET DET,0.04195011337868481,0.36717887154862083,172,882,0.5581395348837209,0.23090945211971137
"[Bør, minimum, være, 10, av, 15, kommuner, I, brevet, påpeker, Fet-ordfører, Lisbet, Lofthus, Gabrielsen, at, det, etter, hennes, oppfatning, ikke, er, grunnlag, for, tvang, dersom, regjeringen, har, for, utsetningen, om, kommunesammen, slåinger, i, bakhodet, ., ., 
, -, Vi, tror, en, slik, løsning, vil, være, negativ, for, kommuner, som, blir, stå, ende, igjen, på, utsida, av, reformen, ,, skriver, hun, i, brevet, til, kommunalmi, nister, Jan, Tore, Sanner, (, H, ), ., 
, Kommunereformens, primære, anliggende, er, frivillighet, ,, og, Fet, har, gått, for, å, være, blant, de, kom, munene, i, Norge, som, er, mest, apen, både, for, strukturendringer, og, sammenslåinger, ., 
, -, Vil, være, utfordrende, for, Fet-ord, føreren, har, ikke, tenkt, på, at, en, eventuell, sammenslåing, med, nabo, en, i, nord, vil, kunne, bli, mer, utfor, drende, enn, det, hun, mener, er, til, felle, med, sammenslåing, med, Aur, skog-Høland, ,, Rælingen, og, Lø, renskog, ., -, Vi, er, i, alle, fall, innstilt, på, å, være, med, på, førstevalget, som, er, sammenslåing, med, Skedsmo, ., Da, vil, vi, bli, en]",AUX NOUN AUX NUM ADP NUM NOUN ADP NOUN VERB NOUN PROPN PROPN PROPN SCONJ PRON ADP PRON NOUN PART AUX NOUN ADP NOUN SCONJ NOUN VERB ADP NOUN ADP NOUN NOUN ADP NOUN PUNCT PUNCT SPACE PUNCT PRON VERB DET DET NOUN AUX AUX ADJ ADP NOUN PRON AUX VERB VERB ADV ADP NOUN ADP NOUN PUNCT VERB PRON ADP NOUN ADP NOUN NOUN PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT SPACE NOUN ADJ NOUN AUX NOUN PUNCT CCONJ PROPN AUX VERB SCONJ PART AUX SCONJ PRON VERB NOUN ADP PROPN PRON AUX ADJ NOUN CCONJ ADP NOUN CCONJ NOUN PUNCT SPACE PUNCT AUX AUX ADJ ADP PROPN NOUN AUX PART VERB SCONJ SCONJ DET ADJ NOUN ADP NOUN PRON ADP ADP AUX AUX VERB ADJ ADP ADJ ADP PRON PRON VERB AUX SCONJ NOUN ADP NOUN ADP PROPN PROPN PUNCT PROPN CCONJ PROPN ADJ PUNCT PUNCT PRON AUX ADP DET NOUN VERB SCONJ PART AUX ADP ADP NOUN PRON AUX NOUN ADP PROPN PUNCT ADV AUX PRON VERB DET,0.05292171995589857,0.3927272727272723,171,907,0.5263157894736842,0.21760369708872226
"[Artikkel, 3, tar, opp, Kommisjonens, arbeid, med, å, sikre, at, prinsippet, benyttes, effektivt, og, rettslig, bindende, ., Det, har, vært, et, sentralt, tema, i, flere, år, ,, men, artikkel, 3, peker, nå, på, at, Kommisjonen, må, fortsette, sin, innsats, for, å, sikre, at, prinsippet, anvendes, effektivt, og, rettslig, bindende, ., 
, Det, fremheves, bl.a., at, Kommisjonen, ,, med, utgangspunkt, i, tidligere, Kommisjonsdokumenter, på, feltet, ,, vil, vurdere, i, hvilken, grad, det, er, behov, for, tiltak, for, å, øke, bruken, av, prinsippet, ., 
, Det, foreslås, også, at, Kommisjonen, skal, vurdere, virkningen, av, prinsippet, på, ulike, områder, som, ikke, er, dekket, av, direktiver, i, sin, rapport, fra, 2009., Artikkel, 3, foreslår, også, at, Kommisjonen, i, sin, rapport, fra, 2009, om, markedsordningene, i, matvarekjeden, vil, vurdere, om, det, er, behov, for, ytterligere, tiltak, ., 
, Kravet, om, at, det, skal, være, sammenheng, mellom, miljøhensyn, ,, forbrukerhensyn, og, konkurransehensyn, er, nytt, ,, og, bygger, på, artikkel, 9(4, ), i, tjenestedirektivet, ., Dette, kravet, er, tatt, inn, fordi, det, er, viktig, å, sikre, at, prinsippet, anvendes, konsekvent, i, hele, verdikjeden, ., 
, Kravet, om]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ NOUN VERB ADJ CCONJ ADJ ADJ PUNCT PRON AUX AUX DET ADJ NOUN ADP ADJ NOUN PUNCT CCONJ NOUN NUM VERB ADV SCONJ SCONJ PROPN AUX VERB PRON NOUN SCONJ PART VERB SCONJ NOUN VERB ADJ CCONJ ADJ ADJ PUNCT SPACE PRON VERB SCONJ SCONJ PROPN PUNCT ADP NOUN ADP ADJ PROPN ADP NOUN PUNCT AUX VERB ADP DET NOUN PRON AUX NOUN ADP NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE PRON VERB ADV SCONJ PROPN AUX VERB NOUN ADP NOUN ADP ADJ NOUN PRON PART AUX VERB ADP NOUN ADP PRON NOUN ADP NUM NOUN NUM VERB ADV SCONJ PROPN ADP PRON NOUN ADP NUM ADP NOUN ADP NOUN AUX VERB SCONJ PRON AUX NOUN ADP ADJ NOUN PUNCT SPACE NOUN SCONJ SCONJ PRON AUX AUX NOUN ADP NOUN PUNCT NOUN CCONJ NOUN AUX ADJ PUNCT CCONJ VERB ADP NOUN PROPN PUNCT ADP NOUN PUNCT DET NOUN AUX VERB ADP SCONJ PRON AUX ADJ PART VERB SCONJ NOUN VERB ADJ ADP ADJ NOUN PUNCT SPACE NOUN ADP,0.03696498054474708,0.37413687436159204,180,1028,0.5055555555555555,0.21244477802496164
