prompt,generated_text,language
Men det var,"Men det var også en av de gan gene han hadde problemer med å finne formen. Han lå da helt oppe på andre plass i det tyske mesterskapet etter at det ble gått to av tre renn. I det 3. rennet måtte han imidlertid stå over på grunn av at han kom for sent inn til start, og på grunn av en velt i første omgang i det andre rennet. ★ ★★— De to store rennene her i Kandahar er det viktigste for oss skifabrikanter. Derfor har jeg vært her en mannsalder, sier Hubert Schwartz, president i den tyske olympiske komité.
— Du er med andre ord på plass her også når lekene åpnes? — Ja, dette er noe av det hyggeligste jeg gjør. De fleste av oss har også vært med på lekene før, men de siste årene har en hel del av dem sluttet seg til oss, først og fremst for å gi oss alle litt av det stoffet vi trenger for å preparere skiene. Og vi kan også love",nno
Det var ein,"Det var ein av dei som har vore med tidlegare som fortalde dette, og at så ikkje hadde hendt før, det var i grunnen utruleg!
Etter å ha gjort opp for meg med ein god kopp kaffi og nysteikte vaflar gjekk turen heim att til Jønsrud. Det var som å kome til ei ukjend verd, ein stad på verdsrommet, som ein har høyrt forteljingar om, og som ein gjerne vil vende tilbake til.
Somme hugsar slike stunder som det var i går. Så er det dei som fortel at noko slikt ikkje har hendt tidlegare. Så har du alle dei mellom desse to gruppene. Nokre veit nok om liknande opple vingar, andre har truleg ikkje ofra det så mykje etter tanke. Vi kunne fortelje ein heil del vit skapelege data om kor vanleg dette er, men det er likevel ikkje dette som er poenget, og det kan vel hende du har opplevd det same, men likevel ikkje veit korleis det var å vere der",nno
Det var så,"Det var så mørkt at jeg måtte tenne billykta for å finne stripa, men det jeg ikke hadde re gistrert, men som mange andre gjorde, var i hvilken retning de forskjellige gatene ligger i forhold til den nye stripa. På vei til sentrum var det så glatt at da jeg skulle kjøre opp til høyre, måtte jeg sette på alt det bremsene var gode for og ta en sladd. Jeg kjente at bremsene gikk varme.
Etter at jeg hadde kjørt over den nye stripa ble jeg overrasket over hvor glatt det var der. Da var det godt at det er et for holdsvis stort område med asfalt det er snakk om og at det ikke er snakk om så veldig langt stykke å kjøre på den gamle stripa før man kom inn på den som var anlagt ved innkjørselen til Vorm sund ungdomsskole.
så glatt at man måtte ha på det aller minste av varme på bremsene, er det ikke rart at det skjer mange ulykker på det glatte føret. Jeg regner med",nno
Ja det var,"Ja det var ei gild tid på skulehuset i Kviteseid, då eg frå det hausten 1940. Men så var då også skulen der velsigna med ein sers dugande lærar. Han fekk med seg borna til mykje song og musikk. Dei kunne mange av dei gamle barne songane utanåt, og song dei av hjartet med fynd og klem.
Ein gong under øvingane til ein song som var omsett frå svensk, var det ein som ropa: «Nei me må ikke bli så høgstemte no». Dette vart og sagt når dei andre song. Alle vart lettare om hjartet etterpå, og meir frimodi ge som til vanleg når dei syng i kyrkja eller på møte.
ne mine, og som dei framleis har. Dette å synge ein gamal song er som å få oppleve ein gamal melodi omatt med nye tonar. Ofte når eg skriv, blir den tanken framand at eg og skriv, og at eg no får",nno
Ja det er,"Ja det er så sant og så sant, sa han ironisk og spyt tet langt ut i vannet. Og jeg som trodde at vi skulle hjelpe dere med å stifte bekjent skapet, men det vil altså ikke dere ha noe med og da får vi klare oss uten! Han reiste seg og skulle til d gå. Ja, så står jeg her, og du behøver ikke å vinke hvis jeg ik ke skulle finne deg mer! Jeg så han stusset litt, men det så ikke ut som han fant det merkverdig at en mann sto med luen i hånden og tok avskjed. Men så gikk dør en opp igjen og denne gang var det den unge pike som skulle til fjøset. Jaså, du står her og venter på meg! sa Torkil. Du skal vel se om jeg får det litt koselig med deg, så kan vi slå oss sammen vi tre! Den unge piken smil te. Er du aldeles blind, eller drømmer du? sa hun og tok ham smilende igjen under armen og de vand",nno
Så var det,"Så var det en gang en stor og fin eik et sted i Vestfold. Den hadde vokst seg ordentlig stor, og den var frisk og fin. Ja, så stor var det blitt at det var blitt litt av en jobb å fa den hjem til gården som lå like i nærheten. En dag var en liten gutt sendt ut i skogen med noen av naboene, og det var flere som ble med. Men den digre eika ville de ikke ha med seg, nei. «Vi lar den ligge til den tørker helt ut,» sa de. «Forresten så er den da så stor at den kan stå og tørke hele sommeren igjennom.» Ja, det syntes de var greit, og dermed så gikk de og gjorde nettopp det. Dagen etter var det flere som gikk ut i skogen, og da gikk det ikke så bra med eika. Den datt rett ned, og ikke en eneste gutt var å se. Ikke ei eneste ei! Men de små naboene hadde nå vært med, og da hadde de sett alt med det samme, mens de store hadde gitt",nno
Det var som,"Det var som om alt var snudd på hodet, som om alt hadde skiftet retning i et slags forrykt forsøk på å gjenopprette balansen og harmonien. For hva var det som var skjedd? Hva var det som var årsaken til dette? Hva var det som utløste dette vanvittige vanviddet? Hvem var det som sto bak? Og når alt kom til alt: Var det noen som ønsket det? Det var et spørsmål som var umulig å stille fordi alle var fanget i kaoset og meningsløsheten. Det var ingen annen løsning enn galskapen. I alle fall hadde jeg nå ingen annen mulighet til å redde meg. Om jeg bare kunne få snakke med noen som kunne fortelle meg hva som egentlig hadde skjedd! Det hadde jeg tenkt så ofte at jeg kunne dette utenat som en regle. Nå husket jeg det plutselig igjen i en slik situasjon som denne.
Så husket jeg plutselig den merkelige hendelsen med guttegjengen. Det hadde skint så sterkt bak ham at jeg hadde fått en forunderlig følelse av at",nno
Det er ikkje,"Det er ikkje mange som får så mykje ros som Magne Olav Aarsand Breistrand, etter at han har gjort ein stor innsats for å sikre området kring Fiskumvannet. Fiskumvatnet ligg i Flesberg, som ein inngangsport til Blefjell.
Ho fortel at det er Magne Aar sand Breistrand som tok initia tivet til å sikre området rundt Fiskumvannet som friluftsom råde. Det er mange som i man ge år har gjort ein stor innsats, men ingen enkeltperson har gjort så mykje for å bevare området for framtida som har gjort det.
Magne Olav Breistrand hadde lenge gått og sett på området kring Fiskumvannet, men hadde ikkje krefter nok til å stå på for å få gjort noko med det, sjølv om han såg at området hadde mykje verdt. Det måtte gjerast noko for å bevare det. Magne tok kontakt med Gunnar E.
Ola Kristiansen, som er grunneigar av den nordre delen av området, og han synte stor in teresse.
har gjort ein kjempeinn",nno
Kor mange prosent,"Kor mange prosent av røystene Ap mista frå 1977 til 1981 er det ikkje lett å rekna seg fram til. Men partiet har mista nesten ein tredjedel av dei som røysta partiet i 1981, og truleg har minst seks tusen av veljarane til Arbeidarpartiet gått over til SV. Og dei har slett ikkje gjort dårlege val.
- Det gjer vondt i eit sosialdemokratisk hjarta når SVs framgang trugar heile den sosiale tryggleiken, seier ein Ap-med lem. - Men vi må gløyma fortida og samarbeida frå sak til sak med SV, legg nokre til.
Det var SV-leiar Hanna Kvanmo som provoserte mange i Arbeidarpar tiet ved å uttala seg svært så positivt om «dette uvanleg frekke politiske fenomenet». Arbeidarpartiet sitt syn på SV kan verka provoserande. Partiet ser SV som eit alternativ for EF-motstandarar, men ikkje til partiet SV.
Venstre si line, seier den eine",nno
Det er veldig,"Det er veldig sjelden brannvesenet i Risør benytter seg av høyderedskap og brannbilen de bruker er av eldre årgang.
\- Vi øver på utrykning, men det betyr ikke at vi kan hoppe ut i hvilket som helst prosjekt, sier brannsjefen i Risør, Knut Erik Ulltveit.
\- I Risør er det vanlig at vi benytter brannslanger dersom det er snakk om å slukke brann i høyder, men andre steder der det er behov finnes brannbiler med stiger, eller eventuelt en annen stige på plass som kan brukes. Det er for øvrig alltid tre personer som deltar og en erfaren brannmann i ledelsen av øvelsen, sier han.
Helstad er klar på at det viktigste med øvelsen på Garthei ikke er å vise seg frem på hjemmeba ne, men å gjøre seg kjent på steder de møter på i redningsoppdrag.
\- Vi ønsker å se at slangene fungerer og at utstyret er på plass og at alt er i rute til beredskapen som trer",nno
Det er ein,"Det er ein del av den politiske plattforma Senterpartiet gjekk til val på for to år sidan. - Men me fekk ikkje gjennom slag i valkampen. Difor har me ikkje fått prøvd saka før, konstate rer Seltveit. Nå håper politikaren og små brukaren at dei folkevalde vil gjere eit prinsippvedtak, og at det blir ordna med veg med gang- og sykkelsti.
har ikkje nokon vanskar med å forsere den.
- Det er ein fin tur å gå både på sykkel og til fots. Me har vore på toppen tidlegare, og det ga meir smak med veg, smiler han.
Foreldra blir nå oppfordra til å vise omsyn, og halde borna ved bommen.
- Det er lett å forstå at ein yn skjer å leike i vegen, seier Selt veit.
Kommunen har sett av ein mil lion kroner til planarbeidet, men det blir likevel dyrare enn rekna med.
- Med nye reglar for anbod spakkar blir arbeidet dyare,",nno
Det er eit,"Det er eit velkjent faktum at menneske reagerer ulikt på medieinnhald og at menneske også er ulike når det gjeld kva preferansar dei har for filmsjangrar, for musikk, litteratur og andre former for kulturell konsumering.
Desse variasj onane handlar mellom anna om alder, kjønn, kjønnsidentitet og sosial klasse. Denne boka har ikkje som ambisjon å svare på kva som er «riktig» kulturkonsum. I staden vil eg med utgangspunkt i empiriske data frå NRK undersøke kva for nokre kulturelle preferansar som er stabile over tid i den norske befolkninga, og korleis desse preferansane heng saman med andre livsomstellingar som det er freistande å seie inngår i den såkalla «senmoderniteten». Denne forma for modernitet kan i korte drag skildrast som ein sekvens av ulike diskursar om det menneskelege sjølvet og dei måtar vi kan leve saman på i moderne samfunn. Ifølgje denne teorien er det ein sterk dynamikk og",nno
Det er viktig,"Det er viktig også for barna at noe av deres fritid blir fylt med gode minner fra en tid som både skal nytes og for dres.
være helt trygge for at de ikke kom mer i situasjoner hvor farlige rovdyr streifer tett opp til husene. Dette er et problem også i dag, da ulven på langt nær er utryddet, og det ikke finnes noen form for effektive til tak mot den! .
Når det skrives at bam er uvitende og ikke forstår hva som hendte med farens slektninger, så vil vi gjerne minne de ansvarlige om at alle rede i 1999 var det et bamedrap, hvor en 6 åring ble voldtatt og drept av et rovdyr. Dette var i den tiden hvor en trodde at ulven bare strei fer gjennom distriktene. At det i de siste årene er blitt mer ulv og at den har begynt og nærme seg husene, det er en kjent sak! Når barn i til legg til å lære om historien skal bli fortalt at ulven og andre",nno
Men det er,"Men det er ikke først og fremst fordi hun er gravid eller fordi hun vil spille på en nykommer og stor klubb at hun mener hun fortjener en plass på VM-laget.
– Det er fordi jeg har vært med og vist at jeg holder nivået allerede nå, og det i et mesterskap. Jeg kunne hatt et VM der jeg ikke spilte så bra, og i VM ville jeg fortsatt vært med fordi jeg hadde bevist at jeg hadde nivået på plass, forklarer Hergeirsson til VG.
Han vil nemlig ikke ta ut et VM-lag, selv om han tidligere i sesongen antydet at Kristine Lunde-Borgersen (33) skulle få «lov» til å reise. Lunde-Borgersen er den spilleren med mest rutine og mest internasjonal erfaring av de seks som kan få sjansen.
– Jeg vurderer Kristine veldig sterkt. Og det er godt at han vurderer meg sterkt. Men du må stå på selv om du er på landslaget eller ikke, fastslår Lunde-Borgersen – som ble mamma i forrige uke.
Breivik sier hun er imponert over det Katrine Lunde",nno
Han fortel at,"Han fortel at mange i bygda er sterkt uroa. — Det skjer noko ingen har kontroll over. Det skremmer oss, seier han. - Uvissa er den verste følel sen, seier han.
Egil Rune Mæland og dei andre i styret for bedehuset vil ha fram fakta om planane for utbygging og utviding av barnehagen. .
Janne Hove Bjørnøy ved Suldal kommune er prosjektleiar for barnehage utbygginga. :
Korleis har de merka uroa i bygda?
Det er ingen som snakkar om å leggja ned barnehage i Sandsbygdå, seier Egil Rune Mæland. :
Mange er redde for det som skjer når utbygginga kjem. Dei håpar prosjektet blir lagt bort.
Det som har skjedd er at me har fått til ein avtale med utbyg- Ijårgan gane. Dei har gitt frå seg areal mot at det blir laga ein ny, og svært mykje større barnehage, seier leiar for prosjektgruppa for barnehagane, Halle Joranger. Han seier det er ein føreset",nno
Eg har ikkje,"Eg har ikkje så mykje tid til å ta del i dette lokalpolitiske livet. Men sidan eg er så heldig å ha valt som eg har gjort, ser eg fram til dei neste fire åra.
Martin Kjøpstad (V) - Som ordførar skal ein ta viktige avgjerder og stå til ansvar for dei. Det har vore spennande og litt skummelt, og det blir det nok frametter dg.
Bente Fremsteidt (Ap) . - Dette blir mitt fjerde år der eg er med i formannska pet, og no får eg ta del i dei mange oppgåvene som det er å vere representant i kommunestyret.
framover. Her var det snakk om ein mann på over 70 år, som var klar for å ta over stafettpinnen.
- Eg skal gjere mitt beste, for kommunen er til for inn byggarane. Det går ikkje an å vere med i politikken berre for sin eigen del. ",nno
Det er mykje,"Det er mykje som skjer på kulturfronten i Hemsedal denne helga.
I morgon er det to konsertar på programmet.
Tid: Søndag 26. april Stad: Hemsedal kyrkje Kor: Hemsedal barnekor Publikum: cirka 100 Dirigent og musikalsk ansvarleg: inger Flagstad Kveding:
Konserten starta med ei songframsyning der borna fekk presentert songen dei hadde øvd på.
Det var lagt opp til ei fin framsyning med mykje liv og godt samspel.
heile fem songar frå boka «Godnattboken».
medan borna song. Det var ei framsyning som skapte eit godt inntrykk for både born og vaksne.
denne framsyninga på koret og fekk mange gode tilbake meldingar på songen. Med fine kostymar og fine kulisser som framheva songen på ein god måte, skapte dei eit godt og samansveisa inntrykk på publikum.
Elias Bergo Lien var konfe rans",nno
Vi har ikkje,"Vi har ikkje råd til å mista ei einaste ei.
- Er der ei «dame» som ønskjer å treffa ein mann? Ein god mann då, for eg er ikkje av dei som likar å bada seg fram til mannen. Eg likar å ta for meg av alt som er godt og velsmakande og eg likar å bh tatt på. Av og til kan der trengst. Av og til er det berre det at eg vil ha nokon å kose meg med, i lag med andre. Så om du har lyst til å bli kjent med ei positiv dame. Eg likar godt å gå turar og eg likar å sykla. Eg likar å få andre til å flira litt og, men eg kan og vera alvorleg av meg om nødvendig. Eg kan dg gå åleme, for eg er ein av desse som kan det.
Eg liker å vera åleme, men der har vel hendt før og at eg har likt å gå i lag med, og ha nær kontakt med andre",nno
Ei stund etter,"Ei stund etter at de kom til Amerika, flyttet familien til Polk township, Dodge County, Minn. Her døde han 26. juli 1902, og ble stedt til hvile ved Norman ton. Grava er også der merket av at han bodde ved Kaldvella.
Ole Olsen Holen fra Vingelen døde i 1911 ved Kaldvella. Han ble funnet død utpå sommeren. Han er gravlagt i Glenwood luth. cementarvm. Da var det også reist en gravstein der på hans grav med minneord.
Hans Larsen Gislesveen fra Øversvea kom i 1904 til Dakota. Der arbeidet han ved en skogsleir i Watertown. Han døde på St. ____Lucy 's Hospital, Sioux Falls, S.D., og er gravlagt på Dakota luth. Cemetery in Watertown. Enka Helga Gislesveen i New Hope, W",nno
Hans og Knut,"Hans og Knut Åserud ved en gammel og original modell av et treskeanlegg. Foto: ingsiv K.
til å besøke Modum under årets messe. På kvelden blir det bankett med middag og dans. Påmeldingsfristen er satt til 10. juni, og man må melde seg på til Kari Hole på Biri travbane innen den tid.
har sitt første møte etter ferien med foredrag av Knut Heggedal. Han skal kåsere om gamle minner fra en svunnen tid, særlig om tiden rundt andre verdenskrig. Dette foredraget er noe av det man kan komme til å høre i Biri Herredshus i kveld.
Mjøsmuseets Venner har satt opp igjen en gammel modell ved Biri Byg deamfi. Knut Åserud viser fram og forteller om denne modellen på mø tet i Biri Herredshus i kveld.
Barnehage-gjengen synes det er fint med en modell. Her er det Ingrid Viflat (t.v.) og Anne Kristine Berg og Marion Nilsen Berg som",nno
Eg veit ikkje,"Eg veit ikkje om Sanna Sarro må seiast å vera den nye rock-stjerna frå Bergen. Men at denne unge jenta skriv gode songtekstar og har ein sterk stemme, har ho alt bevist på fleire EP-ar ho har gitt ut. No er ho ute med sitt første album, der ho kombinerer pop, rock og viser. Ein ting har ho ikkje prøvt seg på enno, her er to coverlåtar: Den eine er av gode, gamle Kate Bush («Don't give up»). Den andre er Leonard Cohens «Hallelujah», framført på nynorsk som eit dikt av ein av våre mest kjende poetar. Sanna Sarro har ein særeigen stemme som liknar på stemma til Kate Bush, og den høver godt til songane. Tekstane handlar om korleis det er å vera kvinne, korleis ein skal takla ulike utfordringar og kjensler i ei tid med mykje endring. Det er ikkje mykje av det gamle pat",nno
No er det,"No er det mykje som tyder på at Tinns skatte- og bustadtal i framtida blir presenterte i eigen kommune, ikkje hos ein nabokommune.
Fjellvang i Telemark Kommunere visjon IKS har sett på dei årlege skatte reknskapa i dei 8-kom munane det no vert arbeidd med å slå saman.
blir ført til Tinn på Rju kan, skriv Telen.
Rekneskapa blir i dag presentert i Vest-Tele mark rådhus, i Kviteseid, Seljord, Nissedal, Fyres dal, Tokke og Vinje, i fylgje avisa. Med andre ord i dei seks kommunane som snart skal bli til éin. Fjell vang peikar på at i nokre kommunar går rekneskapa til Telemark skattekontor, medan andre vel å ha dei på rådhuset.
- I nokre kommunar skjer det at rekneskapa frå andre kommunar vert lagt fram for kommunestyret, og det er eit moment som talar for at dei bør",nno
