tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, også, en, av, de, gan, gene, han, hadde, problemer, med, å, finne, formen, ., Han, lå, da, helt, oppe, på, andre, plass, i, det, tyske, mesterskapet, etter, at, det, ble, gått, to, av, tre, renn, ., I, det, 3., rennet, måtte, han, imidlertid, stå, over, på, grunn, av, at, han, kom, for, sent, inn, til, start, ,, og, på, grunn, av, en, velt, i, første, omgang, i, det, andre, rennet, ., ★, ★, ★, —, De, to, store, rennene, her, i, Kandahar, er, det, viktigste, for, oss, skifabrikanter, ., Derfor, har, jeg, vært, her, en, mannsalder, ,, sier, Hubert, Schwartz, ,, president, i, den, tyske, olympiske, komité, ., 
, —, Du, er, med, andre, ord, på, plass, her, også, når, lekene, åpnes, ?, —, Ja, ,, dette, er, noe, av, det, hyggeligste, jeg, gjør, ., De, fleste, av, oss, har, også, vært, med, på, lekene, før, ,, men, de, siste, årene, har, en, hel, del, av, dem, sluttet, seg, til, oss, ,, først, og, fremst, for, å, gi, oss, alle, litt, av, det, stoffet, vi, trenger, for, å, preparere, skiene, ., Og, vi, kan, også, love]",CCONJ PRON VERB ADV DET ADP DET ADJ NOUN PRON VERB NOUN SCONJ PART VERB NOUN PUNCT PRON VERB ADV ADJ ADP ADP ADJ NOUN ADP DET ADJ NOUN SCONJ SCONJ PRON AUX VERB NUM ADP NUM NOUN PUNCT ADP DET ADJ NOUN AUX PRON ADV VERB ADP ADP NOUN SCONJ SCONJ PRON VERB ADV ADJ ADP ADP NOUN PUNCT CCONJ ADP NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN PUNCT PUNCT PUNCT PUNCT PUNCT DET NUM ADJ NOUN ADV ADP PROPN AUX DET ADJ ADP PRON NOUN PUNCT ADV AUX PRON AUX ADV DET NOUN PUNCT VERB PROPN PROPN PUNCT NOUN ADP DET ADJ ADJ NOUN PUNCT SPACE PUNCT PRON AUX ADP DET NOUN ADP NOUN ADV ADV SCONJ NOUN VERB PUNCT PUNCT INTJ PUNCT PRON AUX DET ADP DET ADJ PRON VERB PUNCT DET ADJ ADP PRON AUX ADV AUX ADP ADP NOUN ADP PUNCT CCONJ DET ADJ NOUN AUX DET ADJ NOUN ADP PRON VERB PRON ADP PRON PUNCT ADV CCONJ ADJ SCONJ PART VERB PRON DET ADJ ADP DET NOUN PRON VERB SCONJ PART VERB NOUN PUNCT CCONJ PRON AUX ADV VERB,0.05275779376498801,0.37077707006369304,189,834,0.6931216931216931,0.2870274768938532
"[Det, var, ein, av, dei, som, har, vore, med, tidlegare, som, fortalde, dette, ,, og, at, så, ikkje, hadde, hendt, før, ,, det, var, i, grunnen, utruleg, !, 
, Etter, å, ha, gjort, opp, for, meg, med, ein, god, kopp, kaffi, og, nysteikte, vaflar, gjekk, turen, heim, att, til, Jønsrud, ., Det, var, som, å, kome, til, ei, ukjend, verd, ,, ein, stad, på, verdsrommet, ,, som, ein, har, høyrt, forteljingar, om, ,, og, som, ein, gjerne, vil, vende, tilbake, til, ., 
, Somme, hugsar, slike, stunder, som, det, var, i, går, ., Så, er, det, dei, som, fortel, at, noko, slikt, ikkje, har, hendt, tidlegare, ., Så, har, du, alle, dei, mellom, desse, to, gruppene, ., Nokre, veit, nok, om, liknande, opple, vingar, ,, andre, har, truleg, ikkje, ofra, det, så, mykje, etter, tanke, ., Vi, kunne, fortelje, ein, heil, del, vit, skapelege, data, om, kor, vanleg, dette, er, ,, men, det, er, likevel, ikkje, dette, som, er, poenget, ,, og, det, kan, vel, hende, du, har, opplevd, det, same, ,, men, likevel, ikkje, veit, korleis, det, var, å, vere, der]",PRON AUX X ADP NOUN PRON AUX X ADP PROPN ADP VERB PRON PUNCT CCONJ SCONJ ADV X AUX VERB ADP PUNCT PRON AUX ADP NOUN NOUN PUNCT SPACE SCONJ PART AUX VERB ADP ADP PRON ADP X ADJ NOUN NOUN CCONJ PROPN PROPN VERB NOUN X X ADP PROPN PUNCT PRON AUX ADP PART VERB ADP DET PROPN ADJ PUNCT X X ADP NOUN PUNCT ADP X AUX ADJ PROPN ADP PUNCT CCONJ ADP PROPN ADV AUX VERB ADP ADP PUNCT SPACE PROPN ADJ DET NOUN PRON PRON AUX ADP NOUN PUNCT ADV AUX PRON X SCONJ X X X DET X AUX VERB PROPN PUNCT ADV VERB PRON DET NOUN ADP X NUM NOUN PUNCT ADJ VERB ADV ADP ADJ CCONJ NOUN PUNCT DET VERB NOUN X X PRON ADV ADJ ADP NOUN PUNCT PRON AUX X X X NOUN PROPN PROPN NOUN ADP ADV ADJ PRON AUX PUNCT CCONJ PRON AUX ADV X PRON PRON AUX NOUN PUNCT CCONJ PRON AUX ADV VERB PRON AUX VERB DET ADJ PUNCT CCONJ ADV X X X PRON AUX PART VERB SCONJ,0.04052443384982122,0.3781012658227842,182,839,0.6978021978021978,0.3278898858108818
"[Det, var, så, mørkt, at, jeg, måtte, tenne, billykta, for, å, finne, stripa, ,, men, det, jeg, ikke, hadde, re, gistrert, ,, men, som, mange, andre, gjorde, ,, var, i, hvilken, retning, de, forskjellige, gatene, ligger, i, forhold, til, den, nye, stripa, ., På, vei, til, sentrum, var, det, så, glatt, at, da, jeg, skulle, kjøre, opp, til, høyre, ,, måtte, jeg, sette, på, alt, det, bremsene, var, gode, for, og, ta, en, sladd, ., Jeg, kjente, at, bremsene, gikk, varme, ., 
, Etter, at, jeg, hadde, kjørt, over, den, nye, stripa, ble, jeg, overrasket, over, hvor, glatt, det, var, der, ., Da, var, det, godt, at, det, er, et, for, holdsvis, stort, område, med, asfalt, det, er, snakk, om, og, at, det, ikke, er, snakk, om, så, veldig, langt, stykke, å, kjøre, på, den, gamle, stripa, før, man, kom, inn, på, den, som, var, anlagt, ved, innkjørselen, til, Vorm, sund, ungdomsskole, ., 
, så, glatt, at, man, måtte, ha, på, det, aller, minste, av, varme, på, bremsene, ,, er, det, ikke, rart, at, det, skjer, mange, ulykker, på, det, glatte, føret, ., Jeg, regner, med]",PRON AUX ADV ADJ SCONJ PRON AUX VERB NOUN SCONJ PART VERB NOUN PUNCT CCONJ PRON PRON PART AUX PROPN ADJ PUNCT CCONJ ADP ADJ DET VERB PUNCT AUX ADP DET NOUN DET ADJ NOUN VERB ADP NOUN ADP DET ADJ NOUN PUNCT ADP NOUN ADP NOUN AUX PRON ADV ADJ SCONJ SCONJ PRON AUX VERB ADP ADP NOUN PUNCT AUX PRON VERB ADP DET PRON NOUN AUX ADJ ADP CCONJ VERB DET NOUN PUNCT PRON VERB SCONJ NOUN VERB NOUN PUNCT SPACE SCONJ SCONJ PRON AUX VERB ADP DET ADJ NOUN AUX PRON ADJ SCONJ ADV ADJ PRON AUX ADV PUNCT ADV AUX PRON ADJ SCONJ PRON AUX DET ADP ADV ADJ NOUN ADP NOUN PRON AUX NOUN ADP CCONJ SCONJ PRON PART AUX NOUN ADP ADV ADJ ADJ NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON VERB ADP ADP PRON PRON AUX VERB ADP NOUN ADP PROPN PROPN NOUN PUNCT SPACE ADV ADJ SCONJ PRON AUX VERB ADP DET ADV ADJ ADP NOUN ADP NOUN PUNCT AUX PRON PART ADJ SCONJ PRON VERB ADJ NOUN ADP DET ADJ NOUN PUNCT PRON VERB ADP,0.03690888119953864,0.36344743276283537,186,867,0.6827956989247311,0.3301433554900935
"[Ja, det, var, ei, gild, tid, på, skulehuset, i, Kviteseid, ,, då, eg, frå, det, hausten, 1940., Men, så, var, då, også, skulen, der, velsigna, med, ein, sers, dugande, lærar, ., Han, fekk, med, seg, borna, til, mykje, song, og, musikk, ., Dei, kunne, mange, av, dei, gamle, barne, songane, utanåt, ,, og, song, dei, av, hjartet, med, fynd, og, klem, ., 
, Ein, gong, under, øvingane, til, ein, song, som, var, omsett, frå, svensk, ,, var, det, ein, som, ropa, :, «, Nei, me, må, ikke, bli, så, høgstemte, no, », ., Dette, vart, og, sagt, når, dei, andre, song, ., Alle, vart, lettare, om, hjartet, etterpå, ,, og, meir, frimodi, ge, som, til, vanleg, når, dei, syng, i, kyrkja, eller, på, møte, ., 
, ne, mine, ,, og, som, dei, framleis, har, ., Dette, å, synge, ein, gamal, song, er, som, å, få, oppleve, ein, gamal, melodi, omatt, med, nye, tonar, ., Ofte, når, eg, skriv, ,, blir, den, tanken, framand, at, eg, og, skriv, ,, og, at, eg, no, får]",INTJ PRON VERB DET ADJ NOUN ADP NOUN ADP PROPN PUNCT X X X DET NOUN NUM CCONJ ADV AUX ADV ADV NOUN SCONJ NOUN ADP PROPN NOUN ADJ X PUNCT PRON VERB ADP PRON NOUN ADP X X CCONJ NOUN PUNCT NOUN VERB ADJ ADP DET ADJ NOUN NOUN PROPN PUNCT CCONJ X X ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE X X ADP PROPN ADP X X PRON AUX NOUN X NOUN PUNCT AUX PRON X ADP PROPN PUNCT PUNCT INTJ X AUX PART VERB ADV ADJ X PUNCT PUNCT PRON VERB CCONJ VERB SCONJ PROPN DET NOUN PUNCT PRON VERB ADV ADP NOUN ADV PUNCT CCONJ PROPN X X ADP ADP PROPN SCONJ PROPN VERB ADP PROPN CCONJ ADP NOUN PUNCT SPACE NOUN PRON PUNCT CCONJ PRON X ADJ VERB PUNCT PRON PART VERB X X X AUX ADP PART AUX VERB PROPN X NOUN ADJ ADP ADJ NOUN PUNCT ADJ SCONJ PRON NOUN PUNCT VERB DET NOUN NOUN SCONJ PROPN CCONJ VERB PUNCT CCONJ SCONJ X X VERB,0.05843293492695883,0.392017045454546,173,753,0.6011560693641619,0.26738139359240354
"[Ja, det, er, så, sant, og, så, sant, ,, sa, han, ironisk, og, spyt, tet, langt, ut, i, vannet, ., Og, jeg, som, trodde, at, vi, skulle, hjelpe, dere, med, å, stifte, bekjent, skapet, ,, men, det, vil, altså, ikke, dere, ha, noe, med, og, da, får, vi, klare, oss, uten, !, Han, reiste, seg, og, skulle, til, d, gå, ., Ja, ,, så, står, jeg, her, ,, og, du, behøver, ikke, å, vinke, hvis, jeg, ik, ke, skulle, finne, deg, mer, !, Jeg, så, han, stusset, litt, ,, men, det, så, ikke, ut, som, han, fant, det, merkverdig, at, en, mann, sto, med, luen, i, hånden, og, tok, avskjed, ., Men, så, gikk, dør, en, opp, igjen, og, denne, gang, var, det, den, unge, pike, som, skulle, til, fjøset, ., Jaså, ,, du, står, her, og, venter, på, meg, !, sa, Torkil, ., Du, skal, vel, se, om, jeg, får, det, litt, koselig, med, deg, ,, så, kan, vi, slå, oss, sammen, vi, tre, !, Den, unge, piken, smil, te, ., Er, du, aldeles, blind, ,, eller, drømmer, du, ?, sa, hun, og, tok, ham, smilende, igjen, under, armen, og, de, vand]",INTJ PRON AUX ADV ADJ CCONJ ADV ADJ PUNCT VERB PRON ADJ CCONJ ADJ ADV ADJ ADP ADP NOUN PUNCT CCONJ PRON PRON VERB SCONJ PRON AUX VERB PRON SCONJ PART VERB ADJ NOUN PUNCT CCONJ PRON AUX ADV PART PRON VERB PRON ADP CCONJ ADV VERB PRON VERB PRON ADP PUNCT PRON VERB PRON CCONJ AUX ADP NOUN VERB PUNCT INTJ PUNCT ADV VERB PRON ADV PUNCT CCONJ PRON VERB PART PART VERB SCONJ PRON X PROPN AUX VERB PRON ADJ PUNCT PRON VERB PRON VERB ADJ PUNCT CCONJ PRON VERB PART ADP PRON PRON VERB PRON ADJ SCONJ DET NOUN VERB ADP NOUN SCONJ NOUN CCONJ VERB NOUN PUNCT CCONJ ADV VERB VERB PRON ADP ADV CCONJ DET NOUN AUX PRON DET ADJ NOUN PRON AUX ADP NOUN PUNCT PROPN PUNCT PRON VERB ADV CCONJ VERB ADP PRON PUNCT VERB PROPN PUNCT PRON AUX ADV VERB SCONJ PRON VERB PRON ADJ ADJ ADP PRON PUNCT ADV AUX PRON VERB PRON ADV PRON NUM PUNCT DET ADJ NOUN NOUN NOUN PUNCT AUX PRON ADV ADJ PUNCT CCONJ VERB PRON PUNCT VERB PRON CCONJ VERB PRON ADJ ADV ADP NOUN CCONJ PRON NOUN,0.0440251572327044,0.38924932975871335,193,795,0.6839378238341969,0.21187607402045747
"[Så, var, det, en, gang, en, stor, og, fin, eik, et, sted, i, Vestfold, ., Den, hadde, vokst, seg, ordentlig, stor, ,, og, den, var, frisk, og, fin, ., Ja, ,, så, stor, var, det, blitt, at, det, var, blitt, litt, av, en, jobb, å, fa, den, hjem, til, gården, som, lå, like, i, nærheten, ., En, dag, var, en, liten, gutt, sendt, ut, i, skogen, med, noen, av, naboene, ,, og, det, var, flere, som, ble, med, ., Men, den, digre, eika, ville, de, ikke, ha, med, seg, ,, nei, ., «, Vi, lar, den, ligge, til, den, tørker, helt, ut, ,, », sa, de, ., «, Forresten, så, er, den, da, så, stor, at, den, kan, stå, og, tørke, hele, sommeren, igjennom, ., », Ja, ,, det, syntes, de, var, greit, ,, og, dermed, så, gikk, de, og, gjorde, nettopp, det, ., Dagen, etter, var, det, flere, som, gikk, ut, i, skogen, ,, og, da, gikk, det, ikke, så, bra, med, eika, ., Den, datt, rett, ned, ,, og, ikke, en, eneste, gutt, var, å, se, ., Ikke, ei, eneste, ei, !, Men, de, små, naboene, hadde, nå, vært, med, ,, og, da, hadde, de, sett, alt, med, det, samme, ,, mens, de, store, hadde, gitt]",ADV AUX PRON DET NOUN DET ADJ CCONJ ADJ NOUN DET NOUN ADP PROPN PUNCT PRON AUX VERB PRON ADJ ADJ PUNCT CCONJ PRON AUX ADJ CCONJ ADJ PUNCT INTJ PUNCT ADV ADJ AUX PRON VERB SCONJ PRON AUX VERB ADJ ADP DET NOUN PART VERB PRON ADP ADP NOUN PRON VERB ADV ADP NOUN PUNCT DET NOUN AUX DET ADJ NOUN VERB ADP ADP NOUN ADP DET ADP NOUN PUNCT CCONJ PRON AUX ADJ PRON VERB ADP PUNCT CCONJ DET ADJ NOUN AUX PRON PART VERB ADP PRON PUNCT INTJ PUNCT PUNCT PRON VERB PRON VERB ADP PRON VERB ADJ ADP PUNCT PUNCT VERB PRON PUNCT PUNCT ADV ADV AUX PRON ADV ADV ADJ SCONJ PRON AUX VERB CCONJ VERB ADJ NOUN ADP PUNCT PUNCT INTJ PUNCT PRON VERB PRON AUX ADJ PUNCT CCONJ ADV ADV VERB PRON CCONJ VERB ADV PRON PUNCT NOUN ADP AUX PRON ADJ PRON VERB ADP ADP NOUN PUNCT CCONJ ADV VERB PRON PART ADV ADJ ADP NOUN PUNCT PRON VERB ADJ ADP PUNCT CCONJ PART DET NUM NOUN AUX PART VERB PUNCT PART DET NUM DET PUNCT CCONJ DET ADJ NOUN AUX ADV AUX ADP PUNCT CCONJ ADV AUX PRON VERB PRON ADP DET DET PUNCT SCONJ DET ADJ AUX VERB,0.04567307692307692,0.35936143039591334,208,832,0.7355769230769231,0.29255856750341874
"[Det, var, som, om, alt, var, snudd, på, hodet, ,, som, om, alt, hadde, skiftet, retning, i, et, slags, forrykt, forsøk, på, å, gjenopprette, balansen, og, harmonien, ., For, hva, var, det, som, var, skjedd, ?, Hva, var, det, som, var, årsaken, til, dette, ?, Hva, var, det, som, utløste, dette, vanvittige, vanviddet, ?, Hvem, var, det, som, sto, bak, ?, Og, når, alt, kom, til, alt, :, Var, det, noen, som, ønsket, det, ?, Det, var, et, spørsmål, som, var, umulig, å, stille, fordi, alle, var, fanget, i, kaoset, og, meningsløsheten, ., Det, var, ingen, annen, løsning, enn, galskapen, ., I, alle, fall, hadde, jeg, nå, ingen, annen, mulighet, til, å, redde, meg, ., Om, jeg, bare, kunne, få, snakke, med, noen, som, kunne, fortelle, meg, hva, som, egentlig, hadde, skjedd, !, Det, hadde, jeg, tenkt, så, ofte, at, jeg, kunne, dette, utenat, som, en, regle, ., Nå, husket, jeg, det, plutselig, igjen, i, en, slik, situasjon, som, denne, ., 
, Så, husket, jeg, plutselig, den, merkelige, hendelsen, med, guttegjengen, ., Det, hadde, skint, så, sterkt, bak, ham, at, jeg, hadde, fått, en, forunderlig, følelse, av, at]",PRON AUX ADP SCONJ PRON AUX VERB ADP NOUN PUNCT SCONJ SCONJ PRON AUX VERB NOUN ADP DET NOUN ADJ NOUN SCONJ PART VERB NOUN CCONJ NOUN PUNCT CCONJ PRON AUX PRON PRON AUX VERB PUNCT PRON AUX PRON PRON AUX NOUN ADP PRON PUNCT PRON AUX PRON PRON VERB DET ADJ NOUN PUNCT PRON AUX PRON PRON VERB ADP PUNCT CCONJ SCONJ PRON VERB ADP PRON PUNCT VERB PRON PRON PRON VERB PRON PUNCT PRON VERB DET NOUN PRON AUX ADJ PART VERB SCONJ PRON AUX VERB ADP NOUN CCONJ NOUN PUNCT PRON VERB DET DET NOUN ADP NOUN PUNCT ADP DET NOUN VERB PRON ADV DET DET NOUN SCONJ PART VERB PRON PUNCT SCONJ PRON ADV AUX AUX VERB ADP PRON PRON AUX VERB PRON PRON PRON ADJ AUX VERB PUNCT PRON AUX PRON VERB ADV ADJ SCONJ PRON AUX PRON VERB SCONJ DET NOUN PUNCT ADV VERB PRON PRON ADJ ADV ADP DET DET NOUN ADP PRON PUNCT SPACE ADV VERB PRON ADJ DET ADJ NOUN ADP NOUN PUNCT PRON AUX VERB ADV ADJ ADP PRON SCONJ PRON AUX VERB DET ADJ NOUN SCONJ SCONJ,0.041666666666666664,0.3655156431054475,188,912,0.675531914893617,0.19545630237425402
"[Det, er, ikkje, mange, som, får, så, mykje, ros, som, Magne, Olav, Aarsand, Breistrand, ,, etter, at, han, har, gjort, ein, stor, innsats, for, å, sikre, området, kring, Fiskumvannet, ., Fiskumvatnet, ligg, i, Flesberg, ,, som, ein, inngangsport, til, Blefjell, ., 
, Ho, fortel, at, det, er, Magne, Aar, sand, Breistrand, som, tok, initia, tivet, til, å, sikre, området, rundt, Fiskumvannet, som, friluftsom, råde, ., Det, er, mange, som, i, man, ge, år, har, gjort, ein, stor, innsats, ,, men, ingen, enkeltperson, har, gjort, så, mykje, for, å, bevare, området, for, framtida, som, har, gjort, det, ., 
, Magne, Olav, Breistrand, hadde, lenge, gått, og, sett, på, området, kring, Fiskumvannet, ,, men, hadde, ikkje, krefter, nok, til, å, stå, på, for, å, få, gjort, noko, med, det, ,, sjølv, om, han, såg, at, området, hadde, mykje, verdt, ., Det, måtte, gjerast, noko, for, å, bevare, det, ., Magne, tok, kontakt, med, Gunnar, E., 
, Ola, Kristiansen, ,, som, er, grunneigar, av, den, nordre, delen, av, området, ,, og, han, synte, stor, in, teresse, ., 
, har, gjort, ein, kjempeinn]",PRON VERB ADV ADJ PRON VERB ADV ADJ NOUN ADP PROPN PROPN PROPN PROPN PUNCT SCONJ SCONJ PRON AUX VERB ADJ ADJ NOUN SCONJ PART VERB NOUN NOUN NOUN PUNCT NOUN VERB ADP PROPN PUNCT ADP X NOUN ADP PROPN PUNCT SPACE PROPN X SCONJ PRON AUX PROPN PROPN NOUN PROPN PRON VERB NOUN NOUN SCONJ PART VERB NOUN ADP PROPN PRON ADV NOUN PUNCT PRON VERB ADJ PRON ADP PRON X NOUN AUX VERB NOUN ADJ NOUN PUNCT CCONJ DET NOUN AUX VERB ADV ADJ SCONJ PART VERB NOUN ADP NOUN PRON AUX VERB PRON PUNCT SPACE PROPN PROPN PROPN AUX ADJ VERB CCONJ VERB ADP NOUN NOUN PROPN PUNCT CCONJ VERB ADV NOUN ADV SCONJ PART VERB ADP SCONJ PART AUX VERB NOUN ADP PRON PUNCT NOUN SCONJ PRON VERB SCONJ NOUN VERB ADJ ADJ PUNCT PRON AUX X NOUN SCONJ PART VERB PRON PUNCT PROPN VERB NOUN ADP PROPN PROPN SPACE PROPN PROPN PUNCT PRON AUX NOUN ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ NOUN NOUN PUNCT SPACE AUX VERB NOUN PROPN,0.04171364148816235,0.37694510739856807,179,887,0.5865921787709497,0.2877818576903614
"[Kor, mange, prosent, av, røystene, Ap, mista, frå, 1977, til, 1981, er, det, ikkje, lett, å, rekna, seg, fram, til, ., Men, partiet, har, mista, nesten, ein, tredjedel, av, dei, som, røysta, partiet, i, 1981, ,, og, truleg, har, minst, seks, tusen, av, veljarane, til, Arbeidarpartiet, gått, over, til, SV, ., Og, dei, har, slett, ikkje, gjort, dårlege, val, ., 
, -, Det, gjer, vondt, i, eit, sosialdemokratisk, hjarta, når, SVs, framgang, trugar, heile, den, sosiale, tryggleiken, ,, seier, ein, Ap-med, lem, ., -, Men, vi, må, gløyma, fortida, og, samarbeida, frå, sak, til, sak, med, SV, ,, legg, nokre, til, ., 
, Det, var, SV-leiar, Hanna, Kvanmo, som, provoserte, mange, i, Arbeidarpar, tiet, ved, å, uttala, seg, svært, så, positivt, om, «, dette, uvanleg, frekke, politiske, fenomenet, », ., Arbeidarpartiet, sitt, syn, på, SV, kan, verka, provoserande, ., Partiet, ser, SV, som, eit, alternativ, for, EF-motstandarar, ,, men, ikkje, til, partiet, SV, ., 
, Venstre, si, line, ,, seier, den, eine]",ADV ADJ NOUN ADP NOUN PROPN VERB PROPN NUM ADP NUM AUX PRON ADV ADJ PART VERB PRON ADP ADP PUNCT CCONJ NOUN AUX VERB ADV X NOUN ADP NOUN SCONJ NOUN NOUN ADP NUM PUNCT CCONJ NOUN VERB ADJ NUM NOUN ADP NOUN ADP PROPN VERB ADP ADP PROPN PUNCT CCONJ PROPN AUX ADJ X VERB NOUN PROPN PUNCT SPACE PUNCT PRON VERB ADJ ADP DET ADJ NOUN SCONJ PROPN NOUN PROPN PROPN DET ADJ NOUN PUNCT NOUN X X NOUN PUNCT PUNCT CCONJ PRON AUX NOUN NOUN CCONJ NOUN X NOUN ADP NOUN ADP PROPN PUNCT VERB NOUN ADP PUNCT SPACE PRON AUX ADJ PROPN PROPN PRON VERB ADJ ADP PROPN VERB SCONJ PART VERB PRON ADJ ADV ADJ ADP PUNCT DET ADJ ADJ ADJ NOUN PUNCT PUNCT NOUN PRON NOUN ADP PROPN AUX ADJ ADJ PUNCT NOUN VERB PROPN SCONJ X NOUN ADP NOUN PUNCT CCONJ X ADP NOUN PROPN PUNCT SPACE PROPN VERB NOUN PUNCT NOUN DET X,0.05589307411907655,0.40211886304909583,162,823,0.49382716049382713,0.21371530358011062
"[Det, er, veldig, sjelden, brannvesenet, i, Risør, benytter, seg, av, høyderedskap, og, brannbilen, de, bruker, er, av, eldre, årgang, ., 
, \-, Vi, øver, på, utrykning, ,, men, det, betyr, ikke, at, vi, kan, hoppe, ut, i, hvilket, som, helst, prosjekt, ,, sier, brannsjefen, i, Risør, ,, Knut, Erik, Ulltveit, ., 
, \-, I, Risør, er, det, vanlig, at, vi, benytter, brannslanger, dersom, det, er, snakk, om, å, slukke, brann, i, høyder, ,, men, andre, steder, der, det, er, behov, finnes, brannbiler, med, stiger, ,, eller, eventuelt, en, annen, stige, på, plass, som, kan, brukes, ., Det, er, for, øvrig, alltid, tre, personer, som, deltar, og, en, erfaren, brannmann, i, ledelsen, av, øvelsen, ,, sier, han, ., 
, Helstad, er, klar, på, at, det, viktigste, med, øvelsen, på, Garthei, ikke, er, å, vise, seg, frem, på, hjemmeba, ne, ,, men, å, gjøre, seg, kjent, på, steder, de, møter, på, i, redningsoppdrag, ., 
, \-, Vi, ønsker, å, se, at, slangene, fungerer, og, at, utstyret, er, på, plass, og, at, alt, er, i, rute, til, beredskapen, som, trer]",PRON AUX ADJ ADV NOUN ADP PROPN VERB PRON ADP NOUN CCONJ NOUN PRON VERB AUX ADP ADJ NOUN PUNCT SPACE NOUN PRON VERB ADP NOUN PUNCT CCONJ PRON VERB PART SCONJ PRON AUX VERB ADP SCONJ DET ADP ADV NOUN PUNCT VERB NOUN ADP PROPN PUNCT PROPN PROPN PROPN PUNCT SPACE NOUN ADP PROPN AUX PRON ADJ SCONJ PRON VERB NOUN SCONJ PRON AUX NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT CCONJ DET NOUN SCONJ PRON AUX NOUN VERB NOUN ADP NOUN PUNCT CCONJ ADJ DET DET NOUN ADP NOUN PRON AUX VERB PUNCT PRON AUX ADP ADJ ADV NUM NOUN PRON VERB CCONJ DET ADJ NOUN ADP NOUN ADP NOUN PUNCT VERB PRON PUNCT SPACE PROPN AUX ADJ SCONJ SCONJ DET ADJ ADP NOUN ADP PROPN PART AUX PART VERB PRON ADP ADP NOUN NOUN PUNCT CCONJ PART VERB PRON ADJ ADP NOUN PRON VERB ADP ADP NOUN PUNCT SPACE NOUN PRON VERB PART VERB SCONJ NOUN VERB CCONJ SCONJ NOUN AUX ADP NOUN CCONJ SCONJ PRON AUX ADP NOUN ADP NOUN PRON VERB,0.044548651817116064,0.3798756218905478,177,853,0.6045197740112994,0.23562112086064757
