prompt,generated_text,language
Men det var,"Men det var et annet ansikt han likte å se: Ansiktet til Betsy, som satt for enden av kjøkkenbordet med en bunke brev og en blyant. Når han kom inn på kjøkkenet, og det gjorde han så ofte han kunne, satt de der sammen, han og Betsy, som i det minste snakket med hverandre, om enn bare kort når han kom hjem. Betsy var ikke akkurat noe muntrasjonsråd og oppfbrdte seg i hvert fall ikke som om hun var det. Men han likte å se henne sitte der med brevene sine og gjøre notater under Betsys blyantskrift. Han smilte når han så dem på jobben, i den nye mørke dressen, hun litt foroverbøyd - han mente det var meningen man skulle gå rett i ryggen — og med det fine håret som hun nektet å klippe, som sto akkurat like langt opp fra tinningen som det hadde pleid å gjøre. Hun så på ham over kanten på lesebrillene og sa ingenting- og han gikk",nno
Det var ein,"Det var ein strålande formiddag. Eit bleikt solskin hadde fått det nyss fallne lauvet til å skjelva og rasla, og fuglane song av alle krefter utanfor den breie vindaugslemmen over hovudet til Peter. Han låg i den fine senga si, godt innpakka i silketeppet frå gamle herr Poggin. I senga ved sida av låg brørne og søstrene til Peter. Dei hadde gått til sengs like etter middagen — slik dei gjorde når far og mor var fråverande i embets medfør. Men herr Poggin hadde sagt at Peter hadde feber og ikkje hadde godt av å sjå framande eller kjenna seg uroa slik som dei gjorde no når det var så få av dei. Han ville bli uroleg dersom han fekk vita at det var nokon inne hos brørne og søstrene. Men som vel var, så var dei altfor oppglødde over det nye leikerommet sitt til",nno
Det var så,"Det var så mange ting jeg gjerne ville spørre mor om, men nå var det gått nesten tredve år siden sist. Men en morgen stanset jeg ved portnerhuset og ropte: «Jeg får nok se å finne mor engang!
—■ Hvem er det som kjenner Deres mor? var det en som spurte.
—■ Hun er en fattig og god kvinne som aldri har vært i Paris og vet svært lite om verden.
—■ Det er jeg så glad for, sa den fremmede kvinnen.
—■ Når jeg får se henne, vil jeg gjerne vite det, svarte jeg.
Og hele livet igjennom har jeg ofte tenkt: jeg får nok se å finne mor engang!
To dager etter begynte jeg på skolen.
Skolen lå i utkanten av selve Paris. Og jeg syntes den var forferdelig stor. Det måtte femti av de største guttene til for å bære over med overlæreren. Han het monsieur Castaing, og jeg var den eneste han ikke het, monsieur Castaing. Men på alle tavlene i klasseværelset stod",nno
Ja det var,"Ja det var vel ikke så rart at jeg følte på denne måten. Jeg følte det som om hele livet mitt ble tatt fra meg. Men jeg visste at det ikke var grunnen til at jeg oppførte meg som jeg gjorde.
Hadde det ikke vært for en eneste mann! Å, for en idiot jeg hadde vært! Han var slett ikke den riktige til å føre meg sammen med en bestemt mann. En sånn mann som jeg så ofte hadde fantasert om. Jeg trodde at et slikt forhold kunne vare evig. For meg var det så romantisk å tenke på en mann som min livsledsager for resten av livet. Nå kunne jeg ha grått øynene ut av hodet på meg. Men jeg kjempet mot tårene så godt jeg kunne. Jeg måtte ikke vise at jeg lot dem ta makten fra meg.
J e g snudde meg og gikk, og jeg kunne høre at han fulgte etter meg. Jeg kunne føle hvordan han gikk der ved siden av meg. Det var grusomt! Når vi nå snart er fremme, skulle vi skilles fra hverandre. Ja,",nno
Ja det er,"Ja det er det som er hemmeligheten. Ingen kan ta livet av deg, så lenge du kan holde det ut.
Du er født tl det. Du blir bare syk når du ikke kan holde ut lenger, fordi du har en eller annen feil på det området. Det kan være en feil på lungene, fordøyelsesorganene, hjertet — som regel et eller annet med hjertet.
Men det hender du ikke klarer å holde deg på bena — og det er da ulykken skjer. Et slaganfall. Hjerteslag. Hvis du ikke er forberedt på det da. Forberedt på ikke å slippe taket.
Det var det jeg lurte på der vi sto ved siden av hverandre inne hos henne. Men hun kom ikke inn på det, hun lå ganske stiv med armene langs siden, det var som om hun ventet noe uunngåelig. Da jeg kom til døren, sa hun:
— Hva gjør du her om dagen, da?
Det er vel noen som har fortalt det til deg.
— Ja, på arbeidsplassen. Men du vet hvem jeg mener — som arbeider med den saken.
Jeg hørte ikke",nno
Så var det,"Så var det noen som ropte oppe. Jeg gikk inn på kjøkkenet og så at han sto ved vasken og lot vannet renne lenge som om han hadde et helt hav inne i seg, så gikk han opp trappen i den grønne frottébadekåpen og tasset bort gangen. Jeg hørte han ropte noe, ikke så høyt, slik man kanskje gjør i drømme — men høyt nok til at jeg kunne tenke meg hva det var: «Jeg er ensom i kveld — ensom i kveld — ensom i kveld.
Det må ha vært en av de mest deprimerende nettene i mitt liv, eller i alle fall en av dem jeg husker best. Det virket som om regnet aldri ville opphøre, som om det aldri ville slutte å strømme ned over taket og vinduene over meg, som om det aldri skulle stoppe, fordi det aldri skulle stoppe i det hele tatt før evig tid. Jeg fant ikke frem til ro i sjelen, ikke i legemet heller. Jeg hadde en kvelende fornemmelse i brystet som fikk det",nno
Det var som,"Det var som om to helt forskjellige verdener støtet sammen i den brede, mørke gangen. Skrittene lød som torden, og de høyhælede dameskoene smalt mot det gamle steingulvet mens de spisse gulltuppene på skoene smalt mot steintrinnene.
Hvert trinn knirket da hun gikk opp, og i annen etasje banket det på enda mer ettertrykkelig på døren.
Lucy stivnet, men hun klarte å røre seg ikke mer enn noen tommer. — Hvem er det?
- Det er din bror. Det var så mørkt ute at det var som om noen hadde slukket lyset helt.
— Nei, jeg  Lucy fikk panikk i de mørke krokene. - Nei, jeg sover ikke.
Det lød dempede skritt ute i gangen, og så banket det på nytt. Det sto noen der, men denne dempede klapringen av høye hælet hørtes nesten nifst ut. Hun presset seg mot veggen bak seg og begynte å gjøre det samme",nno
Det er ikkje,"Det er ikkje lenge til jul, derfor har vi valt denne korte boka i serien «For dei yngste». Ho handlar om noko av det som skjer i desember, og som mange barn lurer på. — Og så er det moro å kunne hjelpe dei til å lage julestemning — og til å høyre om festlege tradisjonar frå gamle dagar.
Til venstre ser du den fine og gode boka i fargar. Den har vi laga for at barna skal få lyst til å bli betre kjende med høgtida, med alle fargane, med tinga dei kan lage, med orda som dei kan lese og lære. Og det er like viktig at du som er lærar i 1. klasse, kan hjelpe barna til å lære mest mogeleg frå den boka du gir dei. Vi vonar difor at vi på den måten kan hjelpe dei til å lære meir om dei finaste og beste julehøgtidene våre.
Oslo, desember 1978 Nynorsk salmebok nr. 732 (Mikkelsmess-salme, på allehelgensdagen",nno
Kor mange prosent,"Kor mange prosent av dei som bur i Noreg, er født i utlandet?
Syng og leik «Ja, vi elsker dette landet som det stiger frem». Vel gjerne tone A om du trur at teksten får alle til å trampe eller klappe. Vel du tone B må du vere på vakt - den som ser rarast ut, trampar først i golvet, så følgjer sidemannen hennar, og så resten av gjengen.
Du er ein god venn av Frida og Amir. I dag er de i ei av deira private leilegheiter, saman med mange fleire venner. Alle får kvar sin ting frå Fridas skap. Når alle har gått ut, skal du hjelpe Amir med å finne det han manglar for å gjere ferdig eit arbeid han held på med i verkstaden sin. Hugs å spørje minst to vaksne før du gjer det han ber om.
Dei yngste i klassen dykkar er småbarnsavdelinga, «Barnas hjørne». No samlast de alltid her når det er måltid. Korleis",nno
Det er veldig,"Det er veldig viktig med hygiene når du skal stelle en nyfødt baby.
Det er viktig å holde navlestumpen ren, for å hindre infeksjon, spesielt hvis navlestrengen ikke er helt f jernet, noe som er vanlig i dag, fordi vi i større grad føretrekker å klippe snoren.
Det er nødvendig å vaske babyen med en bøyd finger dyppet i lunkent vann for at den skal få sin naturlige urin. Det er best at mamma steller babyen når hun kommer hjem fra fødeklinikken.
Du må aldri bruke desinfiserende sprit fordi det kan skape sårhet i huden, og du kan ødelegge den naturlige beskyttende hinnen.
babyen mens du bruker såpe.
Den første avføringen kalles mekonium og er sort, grønn eller gul. Det er bra hvis denne avføringen har en fast konsistens, det vil si ikke for løs, og lukter ikke altfor sterkt. Når babyen er noen timer gammel, bør konsistensen ha en jevn gul-grønn farge. Man",nno
