tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, et, annet, ansikt, han, likte, å, se, :, Ansiktet, til, Betsy, ,, som, satt, for, enden, av, kjøkkenbordet, med, en, bunke, brev, og, en, blyant, ., Når, han, kom, inn, på, kjøkkenet, ,, og, det, gjorde, han, så, ofte, han, kunne, ,, satt, de, der, sammen, ,, han, og, Betsy, ,, som, i, det, minste, snakket, med, hverandre, ,, om, enn, bare, kort, når, han, kom, hjem, ., Betsy, var, ikke, akkurat, noe, muntrasjonsråd, og, oppfbrdte, seg, i, hvert, fall, ikke, som, om, hun, var, det, ., Men, han, likte, å, se, henne, sitte, der, med, brevene, sine, og, gjøre, notater, under, Betsys, blyantskrift, ., Han, smilte, når, han, så, dem, på, jobben, ,, i, den, nye, mørke, dressen, ,, hun, litt, foroverbøyd, -, han, mente, det, var, meningen, man, skulle, gå, rett, i, ryggen, —, og, med, det, fine, håret, som, hun, nektet, å, klippe, ,, som, sto, akkurat, like, langt, opp, fra, tinningen, som, det, hadde, pleid, å, gjøre, ., Hun, så, på, ham, over, kanten, på, lesebrillene, og, sa, ingenting-, og, han, gikk]",CCONJ PRON AUX DET DET NOUN PRON VERB PART VERB PUNCT NOUN ADP PROPN PUNCT PRON VERB ADP NOUN ADP NOUN ADP DET NOUN NOUN CCONJ DET NOUN PUNCT SCONJ PRON VERB ADP ADP NOUN PUNCT CCONJ PRON VERB PRON ADV ADJ PRON AUX PUNCT VERB PRON ADV ADV PUNCT PRON CCONJ PROPN PUNCT PRON ADP DET ADJ VERB ADP PRON PUNCT ADP ADP ADV ADJ SCONJ PRON VERB ADP PUNCT PROPN AUX PART ADV DET NOUN CCONJ VERB PRON ADP DET NOUN PART SCONJ SCONJ PRON AUX PRON PUNCT CCONJ PRON VERB PART VERB PRON VERB ADV ADP NOUN PRON CCONJ VERB NOUN ADP PROPN NOUN PUNCT PRON VERB SCONJ PRON VERB PRON ADP NOUN PUNCT ADP DET ADJ ADJ NOUN PUNCT PRON ADJ ADJ PUNCT PRON VERB PRON AUX NOUN PRON AUX VERB ADJ ADP NOUN PUNCT CCONJ ADP DET ADJ NOUN PRON PRON VERB PART VERB PUNCT PRON VERB ADV ADV ADJ ADP ADP NOUN PRON PRON AUX VERB PART VERB PUNCT PRON VERB ADP PRON ADP NOUN ADP NOUN CCONJ VERB NOUN CCONJ PRON VERB,0.0407673860911271,0.38537579617834333,179,834,0.6815642458100558,0.26604763685707256
"[Det, var, ein, strålande, formiddag, ., Eit, bleikt, solskin, hadde, fått, det, nyss, fallne, lauvet, til, å, skjelva, og, rasla, ,, og, fuglane, song, av, alle, krefter, utanfor, den, breie, vindaugslemmen, over, hovudet, til, Peter, ., Han, låg, i, den, fine, senga, si, ,, godt, innpakka, i, silketeppet, frå, gamle, herr, Poggin, ., I, senga, ved, sida, av, låg, brørne, og, søstrene, til, Peter, ., Dei, hadde, gått, til, sengs, like, etter, middagen, —, slik, dei, gjorde, når, far, og, mor, var, fråverande, i, embets, medfør, ., Men, herr, Poggin, hadde, sagt, at, Peter, hadde, feber, og, ikkje, hadde, godt, av, å, sjå, framande, eller, kjenna, seg, uroa, slik, som, dei, gjorde, no, når, det, var, så, få, av, dei, ., Han, ville, bli, uroleg, dersom, han, fekk, vita, at, det, var, nokon, inne, hos, brørne, og, søstrene, ., Men, som, vel, var, ,, så, var, dei, altfor, oppglødde, over, det, nye, leikerommet, sitt, til]",PRON AUX X ADJ NOUN PUNCT PROPN NOUN NOUN AUX VERB DET NOUN PROPN PROPN SCONJ PART VERB CCONJ PROPN PUNCT CCONJ X X ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP PROPN PUNCT PRON VERB ADP DET ADJ NOUN PRON PUNCT ADJ NOUN ADP NOUN X ADJ PROPN PROPN PUNCT ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN ADP PROPN PUNCT NOUN AUX VERB ADP NOUN ADV ADP NOUN PUNCT ADV NOUN VERB SCONJ NOUN CCONJ NOUN AUX ADJ ADP NOUN NOUN PUNCT CCONJ PROPN PROPN AUX VERB SCONJ PROPN VERB NOUN CCONJ X VERB ADJ SCONJ PART VERB PROPN CCONJ VERB PRON NOUN ADV PRON NOUN VERB PROPN SCONJ PRON AUX ADV ADJ ADP NOUN PUNCT PRON AUX VERB NOUN SCONJ PRON VERB PROPN SCONJ PRON VERB ADV ADP ADP NOUN CCONJ NOUN PUNCT CCONJ PRON ADV AUX PUNCT ADV AUX PRON ADV ADJ ADP DET ADJ NOUN PRON ADP,0.04308093994778068,0.37160390516039116,155,766,0.5935483870967742,0.2170651005226566
"[Det, var, så, mange, ting, jeg, gjerne, ville, spørre, mor, om, ,, men, nå, var, det, gått, nesten, tredve, år, siden, sist, ., Men, en, morgen, stanset, jeg, ved, portnerhuset, og, ropte, :, «, Jeg, får, nok, se, å, finne, mor, engang, !, 
, —, ■, Hvem, er, det, som, kjenner, Deres, mor, ?, var, det, en, som, spurte, ., 
, —, ■, Hun, er, en, fattig, og, god, kvinne, som, aldri, har, vært, i, Paris, og, vet, svært, lite, om, verden, ., 
, —, ■, Det, er, jeg, så, glad, for, ,, sa, den, fremmede, kvinnen, ., 
, —, ■, Når, jeg, får, se, henne, ,, vil, jeg, gjerne, vite, det, ,, svarte, jeg, ., 
, Og, hele, livet, igjennom, har, jeg, ofte, tenkt, :, jeg, får, nok, se, å, finne, mor, engang, !, 
, To, dager, etter, begynte, jeg, på, skolen, ., 
, Skolen, lå, i, utkanten, av, selve, Paris, ., Og, jeg, syntes, den, var, forferdelig, stor, ., Det, måtte, femti, av, de, største, guttene, til, for, å, bære, over, med, overlæreren, ., Han, het, monsieur, Castaing, ,, og, jeg, var, den, eneste, han, ikke, het, ,, monsieur, Castaing, ., Men, på, alle, tavlene, i, klasseværelset, stod]",PRON VERB ADV ADJ NOUN PRON ADV AUX VERB NOUN ADP PUNCT CCONJ ADV AUX PRON VERB ADV NUM NOUN ADV ADV PUNCT CCONJ DET NOUN VERB PRON ADP NOUN CCONJ VERB PUNCT PUNCT PRON VERB ADV VERB PART VERB NOUN ADV PUNCT SPACE PUNCT PUNCT PRON AUX PRON PRON VERB PRON NOUN PUNCT AUX PRON PRON PRON VERB PUNCT SPACE PUNCT PUNCT PRON AUX DET ADJ CCONJ ADJ NOUN PRON ADV AUX VERB ADP PROPN CCONJ VERB ADJ ADJ ADP NOUN PUNCT SPACE PUNCT PUNCT PRON AUX PRON ADV ADJ ADP PUNCT VERB DET ADJ NOUN PUNCT SPACE PUNCT PUNCT SCONJ PRON AUX VERB PRON PUNCT AUX PRON ADV VERB PRON PUNCT VERB PRON PUNCT SPACE CCONJ ADJ NOUN ADP AUX PRON ADJ VERB PUNCT PRON VERB ADV VERB PART VERB NOUN ADV PUNCT SPACE NUM NOUN ADP VERB PRON ADP NOUN PUNCT SPACE NOUN VERB ADP NOUN ADP DET PROPN PUNCT CCONJ PRON VERB PRON AUX ADJ ADJ PUNCT PRON AUX NUM ADP DET ADJ NOUN ADP SCONJ PART VERB ADP ADP NOUN PUNCT PRON VERB PROPN PROPN PUNCT CCONJ PRON AUX DET NUM PRON PART VERB PUNCT NOUN PROPN PUNCT CCONJ ADP DET NOUN ADP NOUN VERB,0.05188679245283019,0.39466833541927393,200,848,0.6,0.2381822198437211
"[Ja, det, var, vel, ikke, så, rart, at, jeg, følte, på, denne, måten, ., Jeg, følte, det, som, om, hele, livet, mitt, ble, tatt, fra, meg, ., Men, jeg, visste, at, det, ikke, var, grunnen, til, at, jeg, oppførte, meg, som, jeg, gjorde, ., 
, Hadde, det, ikke, vært, for, en, eneste, mann, !, Å, ,, for, en, idiot, jeg, hadde, vært, !, Han, var, slett, ikke, den, riktige, til, å, føre, meg, sammen, med, en, bestemt, mann, ., En, sånn, mann, som, jeg, så, ofte, hadde, fantasert, om, ., Jeg, trodde, at, et, slikt, forhold, kunne, vare, evig, ., For, meg, var, det, så, romantisk, å, tenke, på, en, mann, som, min, livsledsager, for, resten, av, livet, ., Nå, kunne, jeg, ha, grått, øynene, ut, av, hodet, på, meg, ., Men, jeg, kjempet, mot, tårene, så, godt, jeg, kunne, ., Jeg, måtte, ikke, vise, at, jeg, lot, dem, ta, makten, fra, meg, ., 
, J, e, g, snudde, meg, og, gikk, ,, og, jeg, kunne, høre, at, han, fulgte, etter, meg, ., Jeg, kunne, føle, hvordan, han, gikk, der, ved, siden, av, meg, ., Det, var, grusomt, !, Når, vi, nå, snart, er, fremme, ,, skulle, vi, skilles, fra, hverandre, ., Ja, ,]",INTJ PRON AUX ADV PART ADV ADJ SCONJ PRON VERB ADP DET NOUN PUNCT PRON VERB PRON SCONJ ADP ADJ NOUN PRON AUX VERB ADP PRON PUNCT CCONJ PRON VERB SCONJ PRON PART AUX NOUN SCONJ SCONJ PRON VERB PRON PRON PRON VERB PUNCT SPACE AUX PRON PART AUX ADP DET NUM NOUN PUNCT INTJ PUNCT ADP DET NOUN PRON AUX VERB PUNCT PRON AUX ADJ PART DET ADJ SCONJ PART VERB PRON ADV ADP DET ADJ NOUN PUNCT DET DET NOUN PRON PRON ADV ADJ AUX VERB ADP PUNCT PRON VERB SCONJ DET DET NOUN AUX VERB ADJ PUNCT ADP PRON AUX PRON ADV ADJ PART VERB ADP DET NOUN ADP PRON NOUN ADP NOUN ADP NOUN PUNCT ADV AUX PRON VERB ADJ NOUN ADP ADP NOUN ADP PRON PUNCT CCONJ PRON VERB ADP NOUN ADV ADJ PRON VERB PUNCT PRON AUX PART VERB SCONJ PRON VERB PRON VERB NOUN ADP PRON PUNCT SPACE PROPN PROPN PROPN VERB PRON CCONJ VERB PUNCT CCONJ PRON AUX VERB SCONJ PRON VERB ADP PRON PUNCT PRON AUX VERB ADV PRON VERB ADV ADP NOUN ADP PRON PUNCT PRON AUX ADJ PUNCT SCONJ PRON ADV ADJ AUX VERB PUNCT AUX PRON VERB ADP PRON PUNCT INTJ PUNCT,0.04223744292237443,0.3765900846432881,204,876,0.7058823529411765,0.29239025071218927
"[Ja, det, er, det, som, er, hemmeligheten, ., Ingen, kan, ta, livet, av, deg, ,, så, lenge, du, kan, holde, det, ut, ., 
, Du, er, født, tl, det, ., Du, blir, bare, syk, når, du, ikke, kan, holde, ut, lenger, ,, fordi, du, har, en, eller, annen, feil, på, det, området, ., Det, kan, være, en, feil, på, lungene, ,, fordøyelsesorganene, ,, hjertet, —, som, regel, et, eller, annet, med, hjertet, ., 
, Men, det, hender, du, ikke, klarer, å, holde, deg, på, bena, —, og, det, er, da, ulykken, skjer, ., Et, slaganfall, ., Hjerteslag, ., Hvis, du, ikke, er, forberedt, på, det, da, ., Forberedt, på, ikke, å, slippe, taket, ., 
, Det, var, det, jeg, lurte, på, der, vi, sto, ved, siden, av, hverandre, inne, hos, henne, ., Men, hun, kom, ikke, inn, på, det, ,, hun, lå, ganske, stiv, med, armene, langs, siden, ,, det, var, som, om, hun, ventet, noe, uunngåelig, ., Da, jeg, kom, til, døren, ,, sa, hun, :, 
, —, Hva, gjør, du, her, om, dagen, ,, da, ?, 
, Det, er, vel, noen, som, har, fortalt, det, til, deg, ., 
, —, Ja, ,, på, arbeidsplassen, ., Men, du, vet, hvem, jeg, mener, —, som, arbeider, med, den, saken, ., 
, Jeg, hørte, ikke]",INTJ PRON AUX PRON PRON AUX NOUN PUNCT PRON AUX VERB NOUN ADP PRON PUNCT ADV ADJ PRON AUX VERB PRON ADP PUNCT SPACE PRON AUX VERB ADJ PRON PUNCT PRON VERB ADV ADJ SCONJ PRON PART AUX VERB ADP ADJ PUNCT SCONJ PRON VERB DET CCONJ DET NOUN ADP DET NOUN PUNCT PRON AUX AUX DET NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT ADP NOUN DET CCONJ DET ADP NOUN PUNCT SPACE CCONJ PRON VERB PRON PART VERB PART VERB PRON ADP NOUN PUNCT CCONJ PRON AUX SCONJ NOUN VERB PUNCT DET NOUN PUNCT NOUN PUNCT SCONJ PRON PART AUX VERB ADP PRON ADV PUNCT VERB SCONJ PART PART VERB NOUN PUNCT SPACE PRON AUX PRON PRON VERB SCONJ SCONJ PRON VERB ADP NOUN ADP PRON ADP ADP PRON PUNCT CCONJ PRON VERB PART ADP ADP PRON PUNCT PRON VERB ADV ADJ ADP NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON VERB DET ADJ PUNCT SCONJ PRON VERB ADP NOUN PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PRON ADV ADP NOUN PUNCT ADV PUNCT SPACE PRON AUX ADV PRON PRON AUX VERB PRON ADP PRON PUNCT SPACE PUNCT INTJ PUNCT ADP NOUN PUNCT CCONJ PRON VERB PRON PRON VERB PUNCT PRON VERB ADP DET NOUN PUNCT SPACE PRON VERB PART,0.04308390022675737,0.39142857142857035,214,882,0.6495327102803738,0.34353864481246515
"[Så, var, det, noen, som, ropte, oppe, ., Jeg, gikk, inn, på, kjøkkenet, og, så, at, han, sto, ved, vasken, og, lot, vannet, renne, lenge, som, om, han, hadde, et, helt, hav, inne, i, seg, ,, så, gikk, han, opp, trappen, i, den, grønne, frottébadekåpen, og, tasset, bort, gangen, ., Jeg, hørte, han, ropte, noe, ,, ikke, så, høyt, ,, slik, man, kanskje, gjør, i, drømme, —, men, høyt, nok, til, at, jeg, kunne, tenke, meg, hva, det, var, :, «, Jeg, er, ensom, i, kveld, —, ensom, i, kveld, —, ensom, i, kveld, ., 
, Det, må, ha, vært, en, av, de, mest, deprimerende, nettene, i, mitt, liv, ,, eller, i, alle, fall, en, av, dem, jeg, husker, best, ., Det, virket, som, om, regnet, aldri, ville, opphøre, ,, som, om, det, aldri, ville, slutte, å, strømme, ned, over, taket, og, vinduene, over, meg, ,, som, om, det, aldri, skulle, stoppe, ,, fordi, det, aldri, skulle, stoppe, i, det, hele, tatt, før, evig, tid, ., Jeg, fant, ikke, frem, til, ro, i, sjelen, ,, ikke, i, legemet, heller, ., Jeg, hadde, en, kvelende, fornemmelse, i, brystet, som, fikk, det]",ADV VERB PRON PRON PRON VERB ADP PUNCT PRON VERB ADP ADP NOUN CCONJ ADV SCONJ PRON VERB ADP NOUN CCONJ VERB NOUN VERB ADJ SCONJ SCONJ PRON VERB DET ADJ NOUN ADP ADP PRON PUNCT ADV VERB PRON ADP NOUN ADP DET ADJ NOUN CCONJ VERB ADP NOUN PUNCT PRON VERB PRON VERB PRON PUNCT PART ADV ADJ PUNCT ADV PRON ADV VERB ADP NOUN PUNCT CCONJ ADJ ADV SCONJ SCONJ PRON AUX VERB PRON PRON PRON VERB PUNCT PUNCT PRON AUX ADJ ADP NOUN PUNCT ADJ ADP NOUN PUNCT ADJ ADP NOUN PUNCT SPACE PRON AUX AUX AUX DET ADP DET ADJ ADJ NOUN ADP PRON NOUN PUNCT CCONJ ADP DET NOUN DET ADP PRON PRON VERB ADJ PUNCT PRON VERB SCONJ SCONJ NOUN ADV AUX VERB PUNCT SCONJ SCONJ PRON ADV AUX VERB PART VERB ADP ADP NOUN CCONJ NOUN ADP PRON PUNCT SCONJ SCONJ PRON ADV AUX VERB PUNCT SCONJ PRON ADV AUX VERB ADP DET ADJ VERB ADP ADJ NOUN PUNCT PRON VERB PART ADP SCONJ NOUN ADP NOUN PUNCT PART ADP NOUN ADV PUNCT PRON VERB DET ADJ NOUN ADP NOUN PRON VERB PRON,0.041371158392434985,0.36097867001254763,190,846,0.6473684210526316,0.29877704198212934
"[Det, var, som, om, to, helt, forskjellige, verdener, støtet, sammen, i, den, brede, ,, mørke, gangen, ., Skrittene, lød, som, torden, ,, og, de, høyhælede, dameskoene, smalt, mot, det, gamle, steingulvet, mens, de, spisse, gulltuppene, på, skoene, smalt, mot, steintrinnene, ., 
, Hvert, trinn, knirket, da, hun, gikk, opp, ,, og, i, annen, etasje, banket, det, på, enda, mer, ettertrykkelig, på, døren, ., 
, Lucy, stivnet, ,, men, hun, klarte, å, røre, seg, ikke, mer, enn, noen, tommer, ., —, Hvem, er, det, ?, 
, -, Det, er, din, bror, ., Det, var, så, mørkt, ute, at, det, var, som, om, noen, hadde, slukket, lyset, helt, ., 
, —, Nei, ,, jeg,  , Lucy, fikk, panikk, i, de, mørke, krokene, ., -, Nei, ,, jeg, sover, ikke, ., 
, Det, lød, dempede, skritt, ute, i, gangen, ,, og, så, banket, det, på, nytt, ., Det, sto, noen, der, ,, men, denne, dempede, klapringen, av, høye, hælet, hørtes, nesten, nifst, ut, ., Hun, presset, seg, mot, veggen, bak, seg, og, begynte, å, gjøre, det, samme]",PRON AUX ADP SCONJ NUM ADJ ADJ NOUN NOUN ADV ADP DET ADJ PUNCT ADJ NOUN PUNCT NOUN VERB ADP NOUN PUNCT CCONJ DET ADJ NOUN VERB ADP DET ADJ NOUN SCONJ DET ADJ NOUN ADP NOUN VERB ADP NOUN PUNCT SPACE DET NOUN VERB SCONJ PRON VERB ADP PUNCT CCONJ ADP DET NOUN VERB PRON ADP ADV ADJ ADJ ADP NOUN PUNCT SPACE PROPN VERB PUNCT CCONJ PRON VERB PART VERB PRON PART ADJ ADP DET NOUN PUNCT PUNCT PRON AUX PRON PUNCT SPACE PUNCT PRON AUX PRON NOUN PUNCT PRON AUX ADV ADJ ADP SCONJ PRON AUX ADP SCONJ PRON AUX VERB NOUN ADJ PUNCT SPACE PUNCT INTJ PUNCT PRON SPACE PROPN VERB NOUN ADP DET ADJ NOUN PUNCT PUNCT INTJ PUNCT PRON VERB PART PUNCT SPACE PRON VERB ADJ NOUN ADP ADP NOUN PUNCT CCONJ ADV VERB PRON ADP ADJ PUNCT PRON VERB PRON ADV PUNCT CCONJ DET ADJ NOUN ADP ADJ NOUN VERB ADV VERB ADP PUNCT PRON VERB PRON ADP NOUN ADP PRON CCONJ VERB PART VERB DET DET,0.046894803548795945,0.38713513513513553,174,789,0.5287356321839081,0.2737050955867739
"[Det, er, ikkje, lenge, til, jul, ,, derfor, har, vi, valt, denne, korte, boka, i, serien, «, For, dei, yngste, », ., Ho, handlar, om, noko, av, det, som, skjer, i, desember, ,, og, som, mange, barn, lurer, på, ., —, Og, så, er, det, moro, å, kunne, hjelpe, dei, til, å, lage, julestemning, —, og, til, å, høyre, om, festlege, tradisjonar, frå, gamle, dagar, ., 
, Til, venstre, ser, du, den, fine, og, gode, boka, i, fargar, ., Den, har, vi, laga, for, at, barna, skal, få, lyst, til, å, bli, betre, kjende, med, høgtida, ,, med, alle, fargane, ,, med, tinga, dei, kan, lage, ,, med, orda, som, dei, kan, lese, og, lære, ., Og, det, er, like, viktig, at, du, som, er, lærar, i, 1., klasse, ,, kan, hjelpe, barna, til, å, lære, mest, mogeleg, frå, den, boka, du, gir, dei, ., Vi, vonar, difor, at, vi, på, den, måten, kan, hjelpe, dei, til, å, lære, meir, om, dei, finaste, og, beste, julehøgtidene, våre, ., 
, Oslo, ,, desember, 1978, Nynorsk, salmebok, nr., 732, (, Mikkelsmess-salme, ,, på, allehelgensdagen]",PRON VERB ADV ADJ ADP NOUN PUNCT ADV AUX PRON VERB DET ADJ NOUN ADP NOUN PUNCT VERB DET ADJ PUNCT PUNCT PROPN X ADP NOUN ADP PRON PRON VERB ADP NOUN PUNCT CCONJ PRON ADJ NOUN VERB ADP PUNCT PUNCT CCONJ ADV AUX PRON ADJ PART AUX VERB PROPN SCONJ PART VERB NOUN PUNCT CCONJ ADP PART VERB ADP PROPN PROPN X ADJ PROPN PUNCT SPACE ADP ADJ VERB PRON DET ADJ CCONJ ADJ NOUN ADP PROPN PUNCT PRON AUX PRON VERB SCONJ SCONJ NOUN AUX VERB NOUN SCONJ PART VERB ADJ ADJ ADP NOUN PUNCT ADP DET NOUN PUNCT ADP NOUN X AUX VERB PUNCT ADP NOUN PRON NOUN AUX VERB CCONJ VERB PUNCT CCONJ PRON AUX ADV ADJ SCONJ PRON PRON AUX PROPN ADP ADJ NOUN PUNCT AUX VERB NOUN SCONJ PART VERB ADJ NOUN X DET NOUN PRON VERB PRON PUNCT PRON PROPN ADV SCONJ PRON ADP DET NOUN AUX VERB NOUN SCONJ PART VERB PROPN ADP NOUN ADJ CCONJ ADJ NOUN PRON PUNCT SPACE PROPN PUNCT NOUN NUM ADJ NOUN NOUN NUM PUNCT ADJ PUNCT ADP PROPN,0.058240396530359353,0.3992612137203185,182,807,0.5714285714285714,0.30965718069679377
"[Kor, mange, prosent, av, dei, som, bur, i, Noreg, ,, er, født, i, utlandet, ?, 
, Syng, og, leik, «, Ja, ,, vi, elsker, dette, landet, som, det, stiger, frem, », ., Vel, gjerne, tone, A, om, du, trur, at, teksten, får, alle, til, å, trampe, eller, klappe, ., Vel, du, tone, B, må, du, vere, på, vakt, -, den, som, ser, rarast, ut, ,, trampar, først, i, golvet, ,, så, følgjer, sidemannen, hennar, ,, og, så, resten, av, gjengen, ., 
, Du, er, ein, god, venn, av, Frida, og, Amir, ., I, dag, er, de, i, ei, av, deira, private, leilegheiter, ,, saman, med, mange, fleire, venner, ., Alle, får, kvar, sin, ting, frå, Fridas, skap, ., Når, alle, har, gått, ut, ,, skal, du, hjelpe, Amir, med, å, finne, det, han, manglar, for, å, gjere, ferdig, eit, arbeid, han, held, på, med, i, verkstaden, sin, ., Hugs, å, spørje, minst, to, vaksne, før, du, gjer, det, han, ber, om, ., 
, Dei, yngste, i, klassen, dykkar, er, småbarnsavdelinga, ,, «, Barnas, hjørne, », ., No, samlast, de, alltid, her, når, det, er, måltid, ., Korleis]",ADV ADJ NOUN ADP NOUN SCONJ NOUN ADP PROPN PUNCT AUX VERB ADP NOUN PUNCT SPACE NOUN CCONJ PROPN PUNCT INTJ PUNCT PRON VERB DET NOUN PRON PRON VERB ADP PUNCT PUNCT ADV ADV VERB PROPN SCONJ PRON VERB SCONJ NOUN VERB PRON SCONJ PART VERB CCONJ VERB PUNCT ADV PRON VERB PROPN AUX PRON VERB SCONJ NOUN PUNCT PRON PRON VERB ADV ADP PUNCT PROPN ADV ADP NOUN PUNCT ADV VERB NOUN PROPN PUNCT CCONJ ADV NOUN ADP NOUN PUNCT SPACE PRON AUX X ADJ NOUN ADP PROPN CCONJ PROPN PUNCT ADP NOUN AUX PRON ADP NOUN ADP PROPN ADJ NOUN PUNCT PROPN ADP ADJ ADJ NOUN PUNCT PRON VERB DET PRON NOUN ADP PROPN NOUN PUNCT SCONJ PRON AUX VERB ADP PUNCT AUX PRON VERB PROPN SCONJ PART VERB PRON PRON PROPN SCONJ PART VERB ADJ DET NOUN PRON PROPN ADP ADP ADP NOUN PRON PUNCT VERB PART VERB ADJ NUM NOUN SCONJ PRON VERB PRON PRON VERB ADP PUNCT SPACE PROPN ADJ ADP NOUN X AUX NOUN PUNCT PUNCT PROPN NOUN PUNCT PUNCT X NOUN PRON ADV ADV SCONJ PRON AUX NOUN PUNCT ADV,0.05223880597014925,0.39470198675496654,187,804,0.5989304812834224,0.18439870148795603
"[Det, er, veldig, viktig, med, hygiene, når, du, skal, stelle, en, nyfødt, baby, ., 
, Det, er, viktig, å, holde, navlestumpen, ren, ,, for, å, hindre, infeksjon, ,, spesielt, hvis, navlestrengen, ikke, er, helt, f, jernet, ,, noe, som, er, vanlig, i, dag, ,, fordi, vi, i, større, grad, føretrekker, å, klippe, snoren, ., 
, Det, er, nødvendig, å, vaske, babyen, med, en, bøyd, finger, dyppet, i, lunkent, vann, for, at, den, skal, få, sin, naturlige, urin, ., Det, er, best, at, mamma, steller, babyen, når, hun, kommer, hjem, fra, fødeklinikken, ., 
, Du, må, aldri, bruke, desinfiserende, sprit, fordi, det, kan, skape, sårhet, i, huden, ,, og, du, kan, ødelegge, den, naturlige, beskyttende, hinnen, ., 
, babyen, mens, du, bruker, såpe, ., 
, Den, første, avføringen, kalles, mekonium, og, er, sort, ,, grønn, eller, gul, ., Det, er, bra, hvis, denne, avføringen, har, en, fast, konsistens, ,, det, vil, si, ikke, for, løs, ,, og, lukter, ikke, altfor, sterkt, ., Når, babyen, er, noen, timer, gammel, ,, bør, konsistensen, ha, en, jevn, gul-grønn, farge, ., Man]",PRON AUX ADJ ADJ ADP NOUN SCONJ PRON AUX VERB DET ADJ NOUN PUNCT SPACE PRON AUX ADJ PART VERB NOUN ADJ PUNCT SCONJ PART VERB NOUN PUNCT ADJ SCONJ NOUN PART AUX ADJ SCONJ NOUN PUNCT PRON PRON AUX ADJ ADP NOUN PUNCT SCONJ PRON ADP ADJ NOUN VERB PART VERB NOUN PUNCT SPACE PRON AUX ADJ PART VERB NOUN ADP DET ADJ NOUN VERB ADP ADJ NOUN SCONJ SCONJ PRON AUX VERB PRON ADJ NOUN PUNCT PRON AUX ADJ SCONJ NOUN VERB NOUN SCONJ PRON VERB ADP ADP NOUN PUNCT SPACE PRON AUX ADV VERB ADJ NOUN SCONJ PRON AUX VERB NOUN ADP NOUN PUNCT CCONJ PRON AUX VERB DET ADJ ADJ NOUN PUNCT SPACE NOUN SCONJ PRON VERB NOUN PUNCT SPACE DET ADJ NOUN VERB NOUN CCONJ AUX ADJ PUNCT ADJ CCONJ ADJ PUNCT PRON AUX ADJ SCONJ DET NOUN VERB DET ADJ NOUN PUNCT PRON AUX VERB PART ADV ADJ PUNCT CCONJ VERB PART ADV ADJ PUNCT SCONJ NOUN AUX DET NOUN ADJ PUNCT AUX NOUN VERB DET ADJ ADJ NOUN PUNCT PRON,0.03592120509849363,0.38820638820638786,177,863,0.536723163841808,0.22834543378977606
