tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ikke, dukker, opp, ?, —, Ja, ,, mange, takk, ., —, Takk, ,, mr, ., MacDougal, ., 
, et, øyeblikk, ,, mr, ., Harrington, ., Mr., Harrington, ., Takk, ., 
, og, sa, på, vakten, ., —, En, beskjed, til, mr, ., MacDougal, i, stolen, i, den, andre, enden, av, hallen, ., 
, Han, vil, ikke, komme, innom, her, på, noen, få, timers, tid, ., 
, vil, vente, her, til, han, kommer, tilbake, ., Det, ble, en, kort, ,, engstelig, pause, ,, så, svarte, vakten, :, —, Sir, ,, vil, du, vente, der, seiv, ?, Skal, jeg, ringe, til, den, mr, ., Harrington, som, han, venter, på, ?, 
, —, Nei, ,, jeg, møter, ham, her, etter, at, jeg, har, ventet, —, Nei, ,, sir, ..., nei, ,, jeg, skal, ordne, det, ., 
, —, Og, kom, ikke, inn, igjen, ., 
, Han, la, røret, på, og, gikk, ut, av, værelset, og, bortover, den, lange, ,, tomme, korridoren, ., 
, var, opptatt, i, den, andre, enden, av, hallen, ., 
, etasje, og, derfrå, i, femte, ., 
, om, det, som, hadde, hendt, ,, og, sa, :, —, De, har, tatt, ham, ., 
, etter, at, jeg, var]",DET NOUN ADP NOUN PRON PART VERB ADP PUNCT PUNCT INTJ PUNCT ADJ NOUN PUNCT PUNCT NOUN PUNCT PROPN PUNCT PROPN PUNCT SPACE DET NOUN PUNCT PROPN PUNCT PROPN PUNCT NOUN PROPN PUNCT NOUN PUNCT SPACE CCONJ VERB ADP NOUN PUNCT PUNCT DET NOUN ADP PROPN PUNCT PROPN ADP NOUN ADP DET DET NOUN ADP NOUN PUNCT SPACE PRON AUX PART VERB ADP ADV ADP DET ADJ NOUN NOUN PUNCT SPACE AUX VERB ADV SCONJ PRON VERB ADP PUNCT PRON VERB DET ADJ PUNCT ADJ NOUN PUNCT ADV VERB NOUN PUNCT PUNCT NOUN PUNCT AUX PRON VERB SCONJ NOUN PUNCT AUX PRON VERB ADP DET PROPN PUNCT PROPN PRON PRON VERB ADP PUNCT SPACE PUNCT INTJ PUNCT PRON VERB PRON ADV SCONJ SCONJ PRON AUX VERB PUNCT INTJ PUNCT X PUNCT INTJ PUNCT PRON AUX VERB PRON PUNCT SPACE PUNCT CCONJ VERB PART ADP ADV PUNCT SPACE PRON VERB NOUN ADP CCONJ VERB ADP ADP NOUN CCONJ ADP DET ADJ PUNCT ADJ NOUN PUNCT SPACE AUX ADJ ADP DET DET NOUN ADP NOUN PUNCT SPACE NOUN CCONJ PROPN ADP ADJ PUNCT SPACE ADP PRON PRON AUX VERB PUNCT CCONJ VERB PUNCT PUNCT PRON AUX VERB PRON PUNCT SPACE SCONJ SCONJ PRON AUX,0.05269922879177378,0.39999999999999963,202,778,0.48514851485148514,0.30822159616949224
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, ,, med, påtatt, overraskelse, i, stemmen, :, «, Disse, herrene, må, få, noe, å, drikke, ,, frue, ., 
, Jeg, fulgte, dem, inn, i, dagligstuen, ,, som, var, overdådig, møblert, —, og, som, fikk, et, preg, av, innestengt, mugglukt, da, vinduene, ble, lukket, opp, etter, en, stund, ., 
, Det, var, noe, hemmelighetsfullt, ved, alt, her, inne, ,, tenkte, jeg, ., Det, fantes, ingen, bøker, i, værelsene, ,, ikke, en, ukebladside, ,, ikke, et, frimerke, i, skuffer, eller, kommoden, Men, så, var, det, et, stort, oljemaleri, i, spisestuen, Og, jeg, husket, det, Jomfru, Hansen, hadde, sagt, om, det, ., At, det, alltid, hang, der, i, de, første, årene, av, fru, Sørensens, ekteskap, med, sin, første, mann, ,, og, at, det, var, slik, da, hun, fikk, sin, tredje, mann, ., 
, Jeg, gikk, bort, til, maleriet, og, så, nærmere, på, det, ., 
, Da, jeg, gjorde, det, ,, oppdaget, jeg, til, min, forundring, at, hun, seiv, hang, på, veggen, ,, i, en, stilling, som, kunne, tyde, på, at, hun, nettopp, var, avgått, ved, døden]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB PUNCT ADP ADJ NOUN ADP NOUN PUNCT PUNCT DET NOUN AUX VERB PRON PART VERB PUNCT NOUN PUNCT SPACE PRON VERB PRON ADP ADP NOUN PUNCT PRON AUX ADJ ADJ PUNCT CCONJ PRON VERB DET NOUN ADP ADJ NOUN SCONJ NOUN AUX VERB ADP ADP DET NOUN PUNCT SPACE PRON VERB DET ADJ ADP PRON ADV ADP PUNCT VERB PRON PUNCT PRON VERB DET NOUN ADP NOUN PUNCT PART DET NOUN PUNCT PART DET NOUN ADP NOUN CCONJ NOUN CCONJ ADV AUX PRON DET ADJ NOUN ADP NOUN CCONJ PRON VERB PRON PROPN PROPN AUX VERB ADP PRON PUNCT SCONJ PRON ADV VERB ADV ADP DET ADJ NOUN ADP PROPN PROPN NOUN ADP PRON ADJ NOUN PUNCT CCONJ SCONJ PRON AUX ADV SCONJ PRON VERB PRON ADJ NOUN PUNCT SPACE PRON VERB ADP ADP NOUN CCONJ ADV ADJ ADP PRON PUNCT SPACE SCONJ PRON VERB PRON PUNCT VERB PRON ADP PRON NOUN SCONJ PRON NOUN VERB ADP NOUN PUNCT ADP DET NOUN PRON AUX VERB SCONJ SCONJ PRON ADV AUX VERB ADP NOUN,0.044340723453908985,0.3867326732673262,182,857,0.6043956043956044,0.3742654163848528
"[Det, synspunkt, at, miljøskifte, og, et, helt, år, hjemmefra, ,, med, mulighet, til, å, utvikle, seg, ,, kan, være, til, hjelp, og, støtte, ,, og, at, en, forandring, i, det, gamle, kjente, miljøet, kan, føre, til, varige, forandringer, i, et, menneskes, liv, er, ganske, nytt, for, oss, ., Denne, boken, bygger, på, erfaringer, ,, og, på, hva, man, i, videste, forstand, kan, kalle, kunnskaper, ,, som, er, samlet, og, utgitt, av, forskere, i, de, fleste, land, ., 
, Boken, bygger, på, erfaringer, fra, en, lang, rekke, undersøkelsesprosjekter, ., Det, første, av, disse, var, et, tre, års, forskningsarbeid, i, USA, i, 1950, -, 52., Prosjektet, var, et, ledd, i, et, større, forskningsprosjekt, som, har, pågått, i, USA, siden, slutten, av, 1947, ,, innen, rammen, av, «, American, Council, for, the, United, Nations, », (, samarbeidsrådet, for, de, amerikanske, stater, ), og, «, International, Center, for, Distance, Education, », ., En, rekke, forskjellige, undersøkelser, er, foretatt, ,, med, den, hensikt, å, klarlegge, betingelsene, for, et, bedre, samvirke, mellom, hjem, og, skole, ., I, 1953, ble, boken, oversatt, og, utgitt, i, Norge, ., Siden, dengang, er, en, rekke, forskningsrapporter, med, tilknytning, til, prosjektet]",DET NOUN SCONJ NOUN CCONJ DET ADJ NOUN ADP PUNCT ADP NOUN SCONJ PART VERB PRON PUNCT AUX AUX ADP NOUN CCONJ NOUN PUNCT CCONJ SCONJ DET NOUN ADP DET ADJ ADJ NOUN AUX VERB ADP ADJ NOUN ADP DET NOUN NOUN AUX ADV ADJ ADP PRON PUNCT DET NOUN VERB ADP NOUN PUNCT CCONJ ADP PRON PRON ADP ADJ NOUN AUX VERB NOUN PUNCT PRON AUX VERB CCONJ VERB ADP NOUN ADP DET ADJ NOUN PUNCT SPACE NOUN VERB ADP NOUN ADP DET ADJ NOUN NOUN PUNCT DET ADJ ADP PRON AUX DET NUM NOUN NOUN ADP PROPN ADP NUM PUNCT ADJ NOUN AUX DET NOUN ADP DET ADJ NOUN PRON AUX VERB ADP PROPN ADP NOUN ADP NUM PUNCT ADP NOUN ADP PUNCT PROPN PROPN ADP PROPN PROPN PROPN PUNCT PUNCT NOUN ADP DET ADJ NOUN PUNCT CCONJ PUNCT PROPN PROPN ADP PROPN PROPN PUNCT PUNCT DET NOUN ADJ NOUN AUX VERB PUNCT ADP DET NOUN PART VERB NOUN ADP DET ADJ NOUN ADP ADP CCONJ NOUN PUNCT ADP NUM AUX NOUN VERB CCONJ VERB ADP PROPN PUNCT SCONJ NOUN AUX DET NOUN NOUN ADP NOUN ADP NOUN,0.05058365758754864,0.3946884576098045,190,1028,0.5,0.2526687557986486
"[Nei, sa, Beatrice, Bare, gå, videre, ,, vær, så, snill, ., Forstår, du, ?, 
, Morsomt, å, snakke, med, deg, også, ,, det, ville, vært, enda, morsommere, ', om, du, hadde, gjort, det, samme, for, meg, ., 
, Det, var, bare, det, at, faren, din, og, jeg, måtte, prate, sammen, litt, ., 
, Men, ,, jeg, er, et, barn, ., Ikke, glem, det, ., Og, hva, er, vel, vitsen, med, en, mann, som, ikke, vil, dele, ?, Og, siden, dette, bare, var, en, liten, prat, ,, så, ble, det, dessverre, ingen, penger, ut, av, den, ., 
, Nei, ,, du, kunne, ikke, klage, ., Jeg, beklager, at, den, ble, kort, ., 
, Dessuten, er, det, en, viss, del, av, meg, som, ikke, er, klar, over, hvor, mange, penger, jeg, har, ,, så, jeg, ville, ikke, hatt, noen, i, det, hele, tatt, ., 
, Du, er, for, slem, ,, Beatrice, ., Jeg, elsker, deg, ., 
, Men, du, lar, ham, bestemme, over, deg, ., 
, Og, jeg, elsker, ham, ., 
, ', Om, jeg, kunne, klare, a, snakke, til, ham, sånn, som, jeg, snakker, til, deg, ,, med, like, stor, respekt, ,, tror, jeg, at, vi, kunne, hatt, det, godt, sammen, ., 
, ikke, lenger, kunne, se, pa, meg, i, redsel, fordi, jeg, hadde, snakket, med, deg, ., 
, Du]",INTJ VERB PROPN ADV VERB ADJ PUNCT AUX ADV ADJ PUNCT VERB PRON PUNCT SPACE ADJ PART VERB ADP PRON ADV PUNCT PRON AUX AUX ADV ADJ PUNCT SCONJ PRON AUX VERB DET DET ADP PRON PUNCT SPACE PRON AUX ADV PRON SCONJ NOUN PRON CCONJ PRON AUX VERB ADV ADJ PUNCT SPACE CCONJ PUNCT PRON AUX DET NOUN PUNCT PART VERB PRON PUNCT CCONJ PRON AUX ADV NOUN ADP DET NOUN PRON PART AUX VERB PUNCT CCONJ SCONJ PRON ADV AUX DET ADJ NOUN PUNCT ADV VERB PRON ADV DET NOUN ADP ADP PRON PUNCT SPACE INTJ PUNCT PRON AUX PART VERB PUNCT PRON VERB SCONJ PRON VERB ADJ PUNCT SPACE ADV AUX PRON DET ADJ NOUN ADP PRON PRON PART AUX ADJ SCONJ ADV ADJ NOUN PRON VERB PUNCT CCONJ PRON AUX PART VERB PRON ADP DET ADJ VERB PUNCT SPACE PRON AUX ADV ADJ PUNCT PROPN PUNCT PRON VERB PRON PUNCT SPACE CCONJ PRON VERB PRON VERB ADP PRON PUNCT SPACE CCONJ PRON VERB PRON PUNCT SPACE PUNCT SCONJ PRON AUX VERB PROPN VERB ADP PRON ADV PRON PRON VERB ADP PRON PUNCT ADP ADV ADJ NOUN PUNCT VERB PRON SCONJ PRON AUX VERB PRON ADJ ADV PUNCT SPACE PART ADJ AUX VERB PROPN PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON PUNCT SPACE PRON,0.04218928164196123,0.3795169082125605,219,877,0.6666666666666666,0.40990585917097866
"[For, 2, av, elevene, har, vi, imidlertid, hatt, noen, vanskeligheter, ., En, elev, ,, Amelia, ,, syntes, å, ha, store, problemer, med, de, første, bokstavene, ., For, hver, bok, brukte, vi, derfor, 2, dager, på, bokstav-lyd-, trening, av, eleven, ,, enten, med, individuelle, treningsteknikker, ,, eller, i, fellesskap, og, i, samtale, med, læreren, ., Denne, eleven, har, vært, en, av, mine, hovedstudenter, i, arbeidet, med, å, utvikle, programmet, "", Skriv, og, les, "", ., Eleven, har, vært, svært, kreativ, og, flink, og, har, etter, hvert, fått, mye, bedre, "", stilfølelse, "", ., Amelia, har, derfor, vært, en, av, mine, mest, produktive, "", forfattere, "", som, har, skrevet, ca., 40, ferdige, setninger, og, ca., 25, forskjellige, ord, !, En, annen, elev, som, har, gjort, store, fremskritt, er, Yumiko, Takeze, ., Yumiko, tok, opp, tråden, fra, 3.klasse, nivået, ., Ved, å, arbeide, med, nivå, 1, har, hun, greid, å, finne, løsninger, på, vanskelige, oppgåver, ., Yumiko, har, nå, et, solid, leseteknisk, fundament, med, både, lesing, og, skriving, ,, og, har, blitt, svært, glad, i, å, lese, ., 
, I, dette]",ADP NUM ADP NOUN AUX PRON ADV VERB DET NOUN PUNCT DET NOUN PUNCT PROPN PUNCT VERB PART VERB ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ DET NOUN VERB PRON ADV NUM NOUN ADP PROPN NOUN ADP NOUN PUNCT CCONJ ADP ADJ NOUN PUNCT CCONJ ADP NOUN CCONJ ADP NOUN ADP NOUN PUNCT DET NOUN AUX AUX DET ADP PRON NOUN ADP NOUN SCONJ PART VERB NOUN PUNCT VERB CCONJ VERB PUNCT PUNCT NOUN AUX AUX ADJ ADJ CCONJ ADJ CCONJ AUX ADP DET VERB ADJ ADJ PUNCT NOUN PUNCT PUNCT PROPN AUX ADV AUX DET ADP PRON ADJ ADJ PUNCT NOUN PUNCT PRON AUX VERB ADV NUM ADJ NOUN CCONJ ADV NUM ADJ NOUN PUNCT DET DET NOUN PRON AUX VERB ADJ NOUN AUX PROPN PROPN PUNCT NOUN VERB ADP NOUN ADP NOUN NOUN PUNCT SCONJ PART VERB ADP NOUN NUM AUX PRON VERB PART VERB NOUN ADP ADJ NOUN PUNCT NOUN VERB ADV DET ADJ ADJ NOUN ADP CCONJ NOUN CCONJ NOUN PUNCT CCONJ AUX VERB ADJ ADJ SCONJ PART VERB PUNCT SPACE ADP PRON,0.0525164113785558,0.3911907514450852,178,914,0.5112359550561798,0.21893708835693548
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, utstillingsserie, for, maleri, ved, Tromsø, Kunstforening, ., Den, første, utstillingen, er, viet, maleri, og, video, ved, kunstnergruppen, som, kalte, seg, Situasjon, foran, et, vindu, -, en, gruppe, som, startet, sin, virksomhet, i, Norge, med, å, arrangere, utstillinger, og, happenings, i, Tromsø, ,, Oslo, og, Moss, og, etterhvert, som, et, kunstner-, og, performansekollektiv, som, satte, i, gang, og, ledet, happenings, ,, performance, ,, teaterprojekter, og, kunstneriske, happenings, og, utstillingsprosjekter, i, de, tre, nevnte, byer, og, etterhvert, andre, skandinaviske, byer, ;, Danmark, ,, Oslo, ,, Stockholm, ,, Gøteborg, ,, København, ., Situasjon, foran, et, vindu, arrangerte, sin, første, offisielle, utstillinger, i, Oslo, vinteren, og, våren, 1983-84, og, senere, fulgte, utstillinger, i, Gøteborg, og, København, i, 1985-86., Utstillingsrekken, som, igangsettes, i, Tromsø, har, fått, tittelen, :, "", Målerier, -, Video, -, Performance, "", og, viser, i, alt, 13, separatutstillinger, ved, kunstnere, som, alle, var, tilknyttet, Situasjon, foran, et, vindu, ,, eller, som, har, hatt, betydning, for, gruppens, arbeide, :, Anne-Karin]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN ADP NOUN ADP PROPN PROPN PUNCT DET ADJ NOUN AUX VERB NOUN CCONJ NOUN ADP NOUN PRON VERB PRON NOUN ADP DET NOUN PUNCT DET NOUN PRON VERB PRON NOUN ADP PROPN SCONJ PART VERB NOUN CCONJ NOUN ADP PROPN PUNCT PROPN CCONJ PROPN CCONJ ADV SCONJ DET NOUN CCONJ NOUN PRON VERB ADP NOUN CCONJ VERB NOUN PUNCT NOUN PUNCT NOUN CCONJ ADJ PRON CCONJ NOUN ADP DET NUM ADJ NOUN CCONJ ADV DET ADJ NOUN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT NOUN ADP DET NOUN VERB PRON ADJ ADJ NOUN ADP PROPN NOUN CCONJ NOUN PROPN CCONJ ADJ VERB NOUN ADP PROPN CCONJ PROPN ADP NUM NOUN PRON VERB ADP PROPN AUX VERB NOUN PUNCT PUNCT NOUN PUNCT NOUN PUNCT PROPN PUNCT CCONJ VERB ADP PRON NUM NOUN ADP NOUN PRON PRON AUX VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX VERB NOUN ADP NOUN NOUN PUNCT PROPN,0.04965920155793573,0.3886503067484655,165,1027,0.46060606060606063,0.08131308122744817
"[Personell, og, organisering, av, sekretariatet, i, Den, faglige, verdens, federasjon, ,, som, ble, dannet, i, Paris, i, oktober, 1919, under, navnet, Den, røde, faglige, internasjonale, ., 
, Det, internasjonale, sekretariatets, organisasjon, ,, struktur, og, oppgåver, ., Sekretariatet, var, sammensatt, av, en, representant, for, hver, arbeiderorganisasjon, ,, dannet, gjennom, forhandlinger, mellom, to, eller, flere, land, ,, og, som, var, representert, på, kongressene, i, Den, faglige, internasjonale, ., I, sekretariatet, for, Den, røde, faglige, internasjonale, hadde, man, valgt, ut, tre, medlemmer, fra, den, franske, seksjonen, ,, som, man, kunne, tilkalle, om, nødvendig, ,, og, disse, representerte, de, tre, hovedretningene, ,, sosialistene, ,, kommunistene, og, sosialidemokratene, ., Det, var, bare, tre, medlemmer, fra, de, franske, fagforeningsklubbenes, seksjoner, som, ble, valgt, ut, for, å, fylle, den, oppgaven, som, ble, beskrevet, som, «, oppgaven, med, å, overvåke, de, internasjonale, sekretaria, tene, i, hver, seksjon, som, sendte, delegater, fra, sin, fagforening, til, kongressene, ,, slik, at, det, kun, ble, holdt, felles, internasjonale, sekretariats-, og, kongressmøter, ., », Det, ble, understreket, at, de, ikke, skulle, blande, seg, i, de, tekniske, oppgåvene]",NOUN CCONJ NOUN ADP NOUN ADP PROPN ADJ NOUN NOUN PUNCT PRON AUX VERB ADP PROPN ADP NOUN NUM ADP NOUN PROPN ADJ ADJ ADJ PUNCT SPACE DET ADJ NOUN NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN AUX ADJ ADP DET NOUN ADP DET NOUN PUNCT VERB ADP NOUN ADP NUM CCONJ ADJ NOUN PUNCT CCONJ PRON AUX ADJ ADP NOUN ADP PROPN ADJ ADJ PUNCT ADP NOUN ADP PROPN ADJ ADJ ADJ AUX PRON VERB ADP NUM NOUN ADP DET ADJ NOUN PUNCT PRON PRON AUX VERB ADP ADJ PUNCT CCONJ PRON VERB DET NUM NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON AUX ADV NUM NOUN ADP DET ADJ NOUN NOUN PRON AUX VERB ADP SCONJ PART VERB DET NOUN PRON AUX VERB SCONJ PUNCT NOUN SCONJ PART VERB DET ADJ ADJ NOUN ADP DET NOUN PRON VERB NOUN ADP PRON NOUN ADP NOUN PUNCT ADV SCONJ PRON ADV AUX VERB ADJ ADJ NOUN CCONJ NOUN PUNCT PUNCT PRON AUX VERB SCONJ PRON PART AUX VERB PRON ADP DET ADJ NOUN,0.0325497287522604,0.3490255439924313,174,1106,0.5,0.22420234321117608
"[De, nevnte, artiklene, i, FNLs, avis, gir, noen, prøver, på, dette, nye, «, nye, », Kina, ., Dette, er, bare, en, ufullstendig, skisse, av, det, ,, men, jeg, håper, dere, forstår, at, jeg, ikke, bare, ber, om, tilgivelse, fra, dere, ,, men, om, velvilje, og, hjelp, til, å, fortsette, dette, arbeidet, ., 
, Temaet, for, denne, boken, er, ikke, revolusjoner, i, sin, alminnelighet, ,, for, revolusjonene, som, har, funnet, sted, opp, gjennom, historien, er, svært, forskjellige, ., Det, jeg, vil, utforske, er, ikke, noen, av, de, politiske, eller, filosofiske, teoriene, som, har, omformet, verden, gjennom, tidene, ,, men, derimot, den, revolusjonære, strategi, ,, taktikk, og, praksis, -, dvs., hvordan, revolusjoner, foregår, i, forskjellige, samfunn, ., 
, Disse, spørsmålene, angår, ikke, i, første, rekke, de, grunnleggende, forutsetningene, for, revolusjonære, strategier, ,, slik, som, «, historiske, krefter, », eller, «, utviklingslover, », når, det, gjelder, revolusjon, eller, kapitalisme, ., Seiv, om, de, er, viktige, for, den, teoretiske, forståelsen, av, revolusjoner, ,, reiser, de, ikke, de, presserende, spørsmålene, som, ethvert, menneske, i, kamp, står, overfor, ., Disse, spørsmålene, gjelder, snarere, hvordan, verden, av, i, dag, skal]",DET VERB NOUN ADP PROPN NOUN VERB PRON VERB ADP DET ADJ PUNCT ADJ PUNCT PROPN PUNCT PRON AUX ADV DET ADJ NOUN ADP PRON PUNCT CCONJ PRON VERB PRON VERB SCONJ PRON PART ADV VERB ADP NOUN ADP PRON PUNCT CCONJ ADP NOUN CCONJ NOUN SCONJ PART VERB DET NOUN PUNCT SPACE NOUN ADP DET NOUN AUX PART NOUN ADP PRON NOUN PUNCT ADP NOUN PRON AUX VERB NOUN ADP ADP NOUN AUX ADJ ADJ PUNCT PRON PRON AUX VERB AUX PART DET ADP DET ADJ CCONJ ADJ NOUN PRON AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV DET ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT ADV ADV NOUN VERB ADP ADJ NOUN PUNCT SPACE DET NOUN VERB PART ADP ADJ NOUN DET ADJ NOUN ADP ADJ NOUN PUNCT ADV SCONJ PUNCT ADJ NOUN PUNCT CCONJ PUNCT ADP PUNCT SCONJ PRON VERB NOUN CCONJ NOUN PUNCT PROPN SCONJ PRON AUX ADJ ADP DET ADJ NOUN ADP NOUN PUNCT VERB PRON PART DET ADJ NOUN ADP DET NOUN ADP NOUN VERB ADP PUNCT DET NOUN VERB ADJ ADV NOUN ADP ADP NOUN AUX,0.036053130929791274,0.3736517412935324,183,1054,0.5191256830601093,0.298077553379743
"[Bør, minimum, være, 10, av, 11, øvinger, gjennomført, ., Dårlige, prestasjoner, :, Bør, være, 4, eller, færre, gjennomført, ., God, fremgang, :, 6, eller, flere, gjennomført, ., 
, Forandringer, i, forhold, til, forrige, utgave, ., 
, Fagplanen, ble, første, gang, utgitt, i, 1981, og, erstattet, da, planen, fra, 1977., Dette, er, den, første, utgaven, med, ny, struktur, og, den, fjerde, versjonen, av, fagplanen, ., Studer, denne, boka, først, og, siden, tilleggsstoffet, ., 
, Forandringer, som, har, skjedd, i, fagplan, og, tilleggsstoff, fra, utgave, til, utgave, vil, bli, kunngjort, i, rundskriv, ., 
, Forord, til, 2., opplag, ., 
, Tverrfaglig, prosjektarbeid, på, yrkesfag, er, en, ny, måte, å, organisere, fag, og, undervisning, på, for, å, få, flest, mulig, elever, til, å, lære, grunnleggende, yrkeskunnskap, ., Elevene, skal, arbeide, med, et, felles, prosjekt, etter, at, de, har, fått, innsikt, i, og, oversikt, over, de, bransjene, og, yrkene, som, skal, være, innholdet, i, prosjektet, ., Elevene, velger, selv, hvilke, bransjer, de, vil, jobbe, i., Når, de, har, begynt, å, velge, seg, bransjer, og, yrker, ,, skal, de, danne, grupper, for, tverrfaglige, prosjekter, slik, at]",AUX NOUN AUX NUM ADP NUM NOUN VERB PUNCT ADJ NOUN PUNCT AUX AUX NUM CCONJ ADJ VERB PUNCT ADJ NOUN PUNCT NUM CCONJ ADJ VERB PUNCT SPACE NOUN ADP NOUN ADP DET NOUN PUNCT SPACE NOUN AUX ADJ NOUN VERB ADP NUM CCONJ VERB SCONJ NOUN ADP NUM PRON AUX DET ADJ NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN PUNCT VERB DET NOUN ADV CCONJ ADP NOUN PUNCT SPACE NOUN PRON AUX VERB ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN AUX AUX VERB ADP NOUN PUNCT SPACE NOUN ADP ADJ NOUN PUNCT SPACE ADJ NOUN ADP NOUN AUX DET ADJ NOUN PART VERB NOUN CCONJ NOUN ADP SCONJ PART VERB ADJ ADJ NOUN SCONJ PART VERB ADJ NOUN PUNCT NOUN AUX VERB ADP DET ADJ NOUN SCONJ SCONJ PRON AUX VERB NOUN ADP CCONJ NOUN ADP DET NOUN CCONJ NOUN PRON AUX AUX NOUN ADP NOUN PUNCT NOUN VERB ADV DET NOUN PRON AUX VERB PUNCT SCONJ PRON AUX VERB PART VERB PRON NOUN CCONJ NOUN PUNCT AUX PRON VERB NOUN ADP ADJ NOUN ADV SCONJ,0.04536290322580645,0.38772004241781477,181,992,0.4861878453038674,0.22194016317309073
"[Artikkel, 3, tar, opp, Kommisjonens, ansvar, for, å, treffe, tiltak, for, å, gjennomføre, Den, europeiske, unions, tiltak, og, virksomheter, ., Slike, tiltak, kan, være, slike, som, den, anser, nødvendig, for, å, fremme, og, gjennomføre, Den, europeiske, unions, mål, ,, særlig, når, det, gjelder, å, bekjempe, diskriminering, og, beskytte, den, enkeltes, grunnleggende, rettigheter, og, friheter, ., 
, Kommisjonens, ansvar, for, demokrati, bygger, på, retten, til, demokratisk, kontroll, ,, og, at, Unionens, valgregler, er, transparente, og, tilgjengelige, for, offentligheten, ., Kommisjonen, skal, i, sitt, arbeid, beskytte, menneskerettighetene, og, rettstatsstandarden, ., Kommisjonen, skal, ta, hensyn, til, alle, berørte, parter, ,, ikke, minst, arbeidslivets, parter, og, andre, berørte, parter, som, har, en, legitim, interesse, av, å, delta, aktivt, i, arbeidet, for, å, fremme, mål, og, verdier, i, Den, europeiske, union, ,, om, beskyttelse, av, grunnleggende, rettigheter, og, friheter, og, Den, europeiske, unions, videre, virke, ., 
, avstå, fra, tiltak, som, kan, sette, oppnåelsen, av, målene, i, traktaten, om, Den, europeiske, union, i, fare, ., 
, Det, følger, av, artikkel, 6, at, «, kommisjonen, handler, på, eget, initiativ, eller, etter, anmodning, fra, Europaparlamentet, eller, Rådet, », ,, hvilket, viser]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB NOUN SCONJ PART VERB PROPN ADJ PROPN NOUN CCONJ NOUN PUNCT DET NOUN AUX AUX DET PRON PRON VERB ADJ SCONJ PART VERB CCONJ VERB PROPN ADJ PROPN NOUN PUNCT ADJ SCONJ PRON VERB PART VERB NOUN CCONJ VERB DET ADJ ADJ NOUN CCONJ NOUN PUNCT SPACE NOUN NOUN ADP NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT CCONJ SCONJ PROPN NOUN AUX ADJ CCONJ ADJ ADP NOUN PUNCT NOUN AUX ADP PRON NOUN VERB NOUN CCONJ NOUN PUNCT NOUN AUX VERB NOUN ADP DET ADJ NOUN PUNCT PART ADJ NOUN NOUN CCONJ DET ADJ NOUN PRON VERB DET ADJ NOUN SCONJ PART VERB ADJ ADP NOUN SCONJ PART VERB NOUN CCONJ NOUN ADP PROPN ADJ NOUN PUNCT ADP NOUN ADP ADJ NOUN CCONJ NOUN CCONJ PROPN ADJ PROPN ADJ VERB PUNCT SPACE VERB ADP NOUN PRON AUX VERB NOUN ADP NOUN ADP NOUN ADP PROPN ADJ NOUN ADP NOUN PUNCT SPACE PRON VERB ADP NOUN NUM SCONJ PUNCT NOUN VERB ADP DET NOUN CCONJ ADP NOUN ADP PROPN CCONJ PROPN PUNCT PUNCT PRON VERB,0.034482758620689655,0.3637707948243982,184,1131,0.44565217391304346,0.16041169256826732
