tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, de, to, kvinnene, som, fikk, en, litt, lenger, reisevei, ., For, å, kunne, tilby, et, godt, nok, reisetilbud, for, folk, flest, ,, også, når, reisemønsteret, tar, seg, opp, etter, pandemien, ,, skal, SAS, redusere, det, eksisterende, rutenettet, sitt, med, rundt, 5, prosent, ., 
, –, Vi, ser, etter, fly, som, er, mer, miljøvennlige, og, med, økt, passasjerkapasitet, ,, sier, informasjonssjef, i, Norwegian, ,, Lasse, Sandaker, ,, til, TV, 2., 
, SAS, er, i, samme, båt, ,, og, planlegger, å, erstatte, flere, av, sine, ruter, dersom, markedet, tillater, ., 
, –, Vår, vekst, er, i, tråd, med, våre, prognoser, om, et, høyere, antall, reisevaner, ,, også, med, tanke, på, at, mange, kommer, til, å, fly, mer, i, tiden, fremover, ,, også, i, business-markedet, ,, sier, Sandaker, ., 
, I, dag, har, SAS, åtte, ruter, til, utlandet, og, 13, i, Norge, ., Selskapet, flyr, innenriks, på, ti, forskjellige, strekninger, i, Norge, ,, der, to, av, strekninger, ligger, i, Finnmark, ., Flyselskapet, har, ruter, til, fire, flyplasser, med, mer, enn, fem, mils, omkrets, ,, og, dekker, med, det, hele, det, langstrakte, landet, .]",CCONJ PRON AUX PART ADV DET NUM NOUN PRON VERB DET ADJ ADJ NOUN PUNCT SCONJ PART AUX VERB DET ADJ ADV NOUN ADP NOUN ADJ PUNCT ADV SCONJ NOUN VERB PRON ADP ADP NOUN PUNCT AUX PROPN VERB DET ADJ NOUN PRON ADP ADP NUM NOUN PUNCT SPACE PUNCT PRON VERB ADP NOUN PRON AUX ADJ ADJ CCONJ ADP ADJ NOUN PUNCT VERB NOUN ADP PROPN PUNCT PROPN PROPN PUNCT ADP PROPN ADJ SPACE PROPN AUX ADP DET NOUN PUNCT CCONJ VERB PART VERB ADJ ADP PRON NOUN SCONJ NOUN VERB PUNCT SPACE PUNCT PRON NOUN AUX ADP NOUN ADP PRON NOUN ADP DET ADJ NOUN NOUN PUNCT ADV ADP NOUN SCONJ SCONJ ADJ VERB SCONJ PART VERB ADJ ADP NOUN ADP PUNCT ADV ADP NOUN PUNCT VERB PROPN PUNCT SPACE ADP NOUN VERB PROPN NUM NOUN ADP NOUN CCONJ NUM ADP PROPN PUNCT NOUN VERB ADJ ADP NUM ADJ NOUN ADP PROPN PUNCT SCONJ NUM ADP NOUN VERB ADP PROPN PUNCT NOUN VERB NOUN ADP NUM NOUN ADP ADJ ADP NUM NOUN NOUN PUNCT CCONJ VERB ADP DET ADJ DET ADJ NOUN PUNCT,0.04579339723109691,0.37521348314606745,185,939,0.5351351351351351,0.20430755967535968
"[Det, var, ein, gong, ein, konge, som, hadde, tre, søner, ., Så, døydde, sø, nene, og, etterlet, seg, tre, enkjer, med, tre, døtre, ., Då, sa, gamlekongen, til, kongsdø, trene, :, «, Gå, nå, ut, i, hagen, og, hogg, av, dei, kvar, sin, blomeknupp, ., Ta, han, så, med, heim, ., Gjev, han, noko, å, drikka, ., Så, må, de, be, til, fest, for, han, ., », Dei, gjorde, som, gamle, kongen, sa, ., Guten, kom, heim, ., Han, fekk, nokre, glas, vin, og, sat, og, prata, med, vennen, sin, ., Men, så, ville, dei, ha, han, til, sengs, ., -, Har, du, fått, noko, å, ete, ?, spurde, kona, ., Han, rista, på, hovudet, :, -, Eg, har, ikkje, ete, ., Eg, vil, heller, høyre, frå, kongen, ., Og, så, fortalde, han, det, som, hadde, hendt, han, ., Og, så, gjekk, kongsdøtrene, ut, ., Så, gav, han, dei, frukt, og, dei, gav, han, ein, krukke, med, honning, ., Då, sette, den, minste, seg, til, å, stelle, til, selskap, for, seg, sjølv, ., Den, største, sytte, over, at]",PRON AUX X X X NOUN PRON VERB NUM NOUN PUNCT ADV VERB PROPN NOUN CCONJ NOUN PRON NUM NOUN ADP NUM NOUN PUNCT ADV VERB NOUN ADP PROPN VERB PUNCT PUNCT VERB ADV ADP ADP NOUN CCONJ VERB ADP NOUN X PRON NOUN PUNCT VERB PRON VERB ADP ADP PUNCT PROPN PRON VERB PART VERB PUNCT ADV AUX PRON VERB ADP NOUN ADP PRON PUNCT PUNCT NOUN VERB SCONJ ADJ NOUN VERB PUNCT NOUN VERB ADP PUNCT PRON VERB PROPN X NOUN CCONJ PROPN CCONJ VERB ADP NOUN PRON PUNCT CCONJ ADV AUX PRON VERB PRON ADP NOUN PUNCT PUNCT AUX PRON VERB NOUN PART VERB PUNCT VERB NOUN PUNCT PRON VERB ADP NOUN PUNCT PUNCT PROPN AUX ADV VERB PUNCT PROPN AUX ADV NOUN PROPN PROPN PUNCT CCONJ ADV VERB PRON PRON PRON AUX VERB PRON PUNCT CCONJ ADV VERB NOUN ADP PUNCT ADV VERB PRON X X CCONJ PROPN VERB PRON X NOUN ADP NOUN PUNCT X VERB DET ADJ PRON SCONJ PART VERB ADP NOUN ADP PRON DET PUNCT DET ADJ NOUN SCONJ SCONJ,0.05080213903743316,0.39035765379112985,178,748,0.6123595505617978,0.23248174827130913
"[Det, var, så, vidt, jeg, klarte, å, holde, maska, ,, men, folk, jublet, så, høyt, at, det, overdøvet, lyden, fra, alle, som, ble, drept, ,, sier, han, ., 
, James, kom, fra, Ripley, ., Han, har, jobbet, på, flere, av, de, beryktede, hotellene, i, Las, Vegas, :, Strato, Spinnaker, ,, Mirage, ,, Elvis, og, MGM, Grand, ., Han, bor, nå, i, Las, Vegas, og, holder, kontakten, med, venner, som, bor, andre, steder, ., 
, —, Det, har, ikke, kommet, så, langt, i, New, York, ,, men, folk, får, panikk, ., Hele, byen, skal, være, stengt, i, tre, dager, ., Men, her, stenger, vi, ikke, :, Byen, er, åpen, ., Den, er, i, full, funksjon, ., Vi, fortsetter, som, før, ., Folk, tar, ikke, hensyn, i, det, hele, tatt, ., De, blir, sinte, for, ingenting, ., 
, —, Men, det, er, jo, slik, det, er, i, New, York, -, og, ingen, vet, hvordan, det, vil, gå, her, i, Las, Vegas, ., Den, største, forskjellen, er, at, New, York, har, mange, andre, tilbud, ., Las, Vegas, har, ingenting, -, bare, dette, ene, hotellet, ,, tilføyer, han, .]",PRON AUX ADV ADJ PRON VERB PART VERB NOUN PUNCT CCONJ NOUN VERB ADV ADJ SCONJ PRON VERB NOUN ADP PRON PRON AUX VERB PUNCT VERB PRON PUNCT SPACE PROPN VERB ADP PROPN PUNCT PRON AUX VERB ADP ADJ ADP DET ADJ NOUN ADP PROPN PROPN PUNCT NOUN PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PROPN PUNCT PRON VERB ADV ADP PROPN PROPN CCONJ VERB NOUN ADP NOUN PRON VERB DET NOUN PUNCT SPACE PUNCT PRON AUX PART VERB ADV ADJ ADP PROPN PROPN PUNCT CCONJ NOUN VERB NOUN PUNCT ADJ NOUN AUX AUX VERB ADP NUM NOUN PUNCT CCONJ ADV VERB PRON PART PUNCT NOUN AUX ADJ PUNCT PRON AUX ADP ADJ NOUN PUNCT PRON VERB ADP ADP PUNCT NOUN VERB PART NOUN ADP DET ADJ VERB PUNCT PRON VERB ADJ ADP PRON PUNCT SPACE PUNCT CCONJ PRON AUX ADV ADV PRON VERB ADP PROPN PROPN PUNCT CCONJ PRON VERB ADV PRON AUX VERB ADV ADP PROPN PROPN PUNCT DET ADJ NOUN AUX SCONJ PROPN PROPN VERB ADJ DET NOUN PUNCT PROPN PROPN VERB PRON PUNCT ADV DET NUM NOUN PUNCT VERB PRON PUNCT,0.05721393034825871,0.408768211920529,185,804,0.518918918918919,0.2896834580951111
"[Ja, det, var, et, stort, øyeblikk, da, vi, fikk, innta, det, aller, første, måltidet, i, selvbygd, grendehus, ,, for, ca., 50, år, siden, ., Da, satt, vi, benket, på, langbord, som, var, plassert, etter, brannforskriftene, ., Menyen, bestod, av, poteter, som, var, tatt, opp, av, potetlandet, på, en, gammel, Gråtass, ,, og, ikke, minst, en, nydelig, fårikål, som, vi, laget, seiv, ., Husker, godt, at, vi, fikk, servert, både, kaffe, og, saft, ,, for, jeg, tror, at, husmora, var, sliten, ,, eller, hadde, en, av, dagene, ., Og, til, dessert, var, det, selvfølgelig, sviskegrøt, ., Det, var, ikke, elektrisk, komfyr, den, gang, ., Vi, hadde, heller, ikke, fryseboksen, ,, før, de, eldste, av, oss, var, 25, år, ., 
, Men, tilbake, til, det, fine, ,, nye, grendehuset, ., Det, var, stor, stas, ., Og, alle, var, ivrige, ,, og, alle, fikk, en, rolle, der, de, måtte, bidra, med, sin, arbeidsinnsats, ., Det, var, stor, stas, for, oss, unger, også, når, dugnadsfolkene, kom, ., Vi, ble, aldri, oversett, ,, eller, avvist, ., Vi, måtte, innord]",INTJ PRON AUX DET ADJ NOUN SCONJ PRON AUX VERB DET ADV ADJ NOUN ADP NOUN NOUN PUNCT ADP ADV NUM NOUN ADV PUNCT ADV VERB PRON VERB ADP NOUN PRON AUX VERB ADP NOUN PUNCT NOUN VERB ADP NOUN PRON AUX VERB ADP ADP NOUN ADP DET ADJ NOUN PUNCT CCONJ PART ADJ DET ADJ NOUN PRON PRON VERB VERB PUNCT VERB ADJ SCONJ PRON AUX VERB CCONJ NOUN CCONJ NOUN PUNCT CCONJ PRON VERB SCONJ NOUN AUX ADJ PUNCT CCONJ VERB DET ADP NOUN PUNCT CCONJ ADP NOUN AUX PRON ADJ PROPN PUNCT PRON AUX PART ADJ NOUN DET NOUN PUNCT PRON VERB ADV PART NOUN PUNCT SCONJ DET ADJ ADP PRON AUX NUM NOUN PUNCT SPACE CCONJ ADP ADP DET ADJ PUNCT ADJ NOUN PUNCT PRON AUX ADJ NOUN PUNCT CCONJ PRON AUX ADJ PUNCT CCONJ PRON VERB DET NOUN SCONJ PRON AUX VERB ADP PRON NOUN PUNCT PRON AUX ADJ NOUN ADP PRON NOUN ADV SCONJ NOUN VERB PUNCT PRON AUX ADV VERB PUNCT CCONJ VERB PUNCT PRON AUX VERB,0.04497041420118343,0.3751005025125621,174,845,0.5977011494252874,0.1991134957354974
"[Ja, det, er, et, mirakel, ., Jeg, sier, et, mirakel, for, i, dette, tilfellet, har, man, opplevd, dette, med, å, høre, og, gjøre, hva, Guds, ord, befaler, ., La, nå, dette, være, et, godt, eksempel, for, Dem, for, at, De, ikke, skal, skamme, Dem, over, å, være, en, kristen, ., Om, så, hele, verden, hånet, og, spottet, Dem, og, viste, Dem, ut, av, sine, samfunn, ville, det, ikke, hjelpe, Dem, ., Hvis, ikke, menneskene, omvender, seg, ,, om, det, så, skjer, ved, Dem, ,, da, må, de, som, er, født, av, Gud, ,, omvende, seg, ., Gud, er, god, ,, og, han, står, og, vil, hjelpe, Dem, til, å, være, et, godt, eksempel, for, alle, mennesker, og, for, alle, mennesker, ved, Dem, ., Hvis, De, ikke, var, et, eksemplar, for, andre, mennesker, ,, i, så, fall, ville, jeg, ha, vært, et, godt, eksempel, for, Dem, ved, meg, ., 
, «, Se, ,, jeg, kommer, snart, ,, og, min, lønn, er, med, meg, ,, til, å, gi, enhver, igjen, etter, som, hans, gjerning, er, ., », Apenbaringen, 22, ,, 12—13., 
, Vi, kjenner, alle, til, at, de, uvitende, barn, som, ikke, kjenner, skriften, ,, kan, si, mye, rart]",INTJ PRON VERB DET NOUN PUNCT PRON VERB DET NOUN ADP ADP DET NOUN AUX PRON VERB PRON SCONJ PART VERB CCONJ VERB PRON PROPN NOUN VERB PUNCT VERB ADV PRON AUX DET ADJ NOUN ADP PROPN SCONJ SCONJ PRON PART AUX VERB PRON SCONJ PART AUX DET ADJ PUNCT ADP ADV ADJ NOUN VERB CCONJ VERB PRON CCONJ VERB NOUN ADP ADP PRON NOUN AUX PRON PART VERB NOUN PUNCT SCONJ PART NOUN VERB PRON PUNCT SCONJ PRON ADV VERB ADP PROPN PUNCT ADV AUX PRON PRON AUX VERB ADP PROPN PUNCT VERB PRON PUNCT PROPN AUX ADJ PUNCT CCONJ PRON VERB CCONJ AUX VERB NOUN SCONJ PART AUX DET ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP PROPN PUNCT SCONJ PRON PART AUX DET NOUN ADP DET NOUN PUNCT ADP ADV NOUN AUX PRON AUX AUX DET ADJ NOUN ADP PRON ADP PRON PUNCT SPACE PUNCT VERB PUNCT PRON VERB ADJ PUNCT CCONJ PRON NOUN AUX ADP PRON PUNCT SCONJ PART VERB DET ADV ADP SCONJ PRON NOUN AUX PUNCT PUNCT PROPN NUM PUNCT NUM SPACE PRON VERB PRON SCONJ SCONJ DET ADJ NOUN PRON PART VERB NOUN PUNCT AUX VERB ADJ ADJ,0.04988399071925754,0.38066420664206607,197,862,0.6903553299492385,0.23283571882064547
"[Så, var, det, atter, ein, gong, ,, på, an, igjen, med, ny, runde, førarprøvar, for, bil, ., Eg, tenkjer, då, fyrst, og, fremst, på, det, å, sitje, i, bilen, og, høyre, på, radio, ., Ikkje, alle, li, kar, lyden, ,, og, det, har, eg, stor, forståeing, for, ., Eg, kan, ikkje, seie, at, eg, mislikar, den, nye, bilen, eg, har, kjøpt, ,, men, når, han, susar, forbi, langt, framme, kan, det, nok, høyrest, ut, som, at, han, køyrer, fort, ., Og, når, han, susar, forbi, med, eit, høgt, brøl, ,, ja, då, vert, bilkjøringa, i, ei, heilt, anna, verd, !, Men, heldigvis, så, er, det, slik, at, det, er, ikkje, berre, bilen, som, skaper, ulyder, ., Om, du, høyrer, godt, etter, ,, så, er, det, vel, ei, blanding, av, både, bil, med, musikk, frå, radioen, ,, vegane, ,, trafikk, og, ikkje, minst, hjarta, ditt, som, gjer, ulydar, ,, om, ikkje, så, høgt, som, ein, bil, kan, vere, i, sitt, brumming, !, Men, det, som, verkeleg, irriterar, meg, er, at, ein, kan, verte, så, irritert]",ADV VERB PRON ADV X X PUNCT SCONJ ADV ADV ADP ADJ NOUN NOUN ADP NOUN PUNCT PROPN X X PRON CCONJ ADJ ADP PRON PART X ADP NOUN CCONJ NOUN ADP NOUN PUNCT INTJ DET X NOUN NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN ADP PUNCT PROPN X X NOUN SCONJ X PROPN DET ADJ NOUN PRON AUX VERB PUNCT CCONJ SCONJ PRON NOUN ADP ADJ ADP AUX PRON ADV ADJ ADP SCONJ SCONJ PRON VERB ADJ PUNCT CCONJ SCONJ PRON DET ADP ADP X X NOUN PUNCT INTJ X X NOUN ADP DET X X X PUNCT CCONJ ADV ADV AUX PRON ADV SCONJ PRON VERB X ADV NOUN PRON VERB NOUN PUNCT SCONJ PRON VERB ADJ ADP PUNCT ADV VERB PRON ADV DET NOUN ADP CCONJ NOUN ADP NOUN PROPN NOUN PUNCT X PUNCT NOUN CCONJ ADV ADJ NOUN PRON PRON X PROPN PUNCT ADP X ADV X ADP X NOUN AUX VERB ADP PRON NOUN PUNCT CCONJ PRON ADP NOUN X PRON AUX SCONJ PROPN AUX ADJ ADV ADJ,0.040973111395646605,0.39431693989070987,174,781,0.632183908045977,0.28877680652365306
"[Det, var, som, sagt, en, meget, god, stemning, i, hjemmet, ,, fortalte, mor, ., De, hadde, aldri, hatt, noen, pro, blemer, sammen, ., Hun, kjente, ikke, mannen, ,, og, kjente, ikke, til, det, fak, tum, ,, at, hun, ventet, bam, ., Hun, kan, ikke, huske, et, sekund, at, faren, i, en, eneste, situasjon, i, livet, har, vist, henne, den, minste, ringeakt, ., 
, Hun, kjente, ham, ikke, det, grann, ., Dette, er, mors, ., egen, forklaring, i, saken, ,, men, det, synes, også, svært, ,, rart, at, denne, unge, jenta, skulle, være, istand, til, å, opptre, så, kaldt, og, brutalt, som, hun, gjorde, ., Men, ingen, ting, er, så, vanskelig, å, tro, som, påstanden, i, den, retning, ,, når, en, ser, hvor, dan, hun, var, ., Og, seiv, om, hun, ble, dømt, ,, er, hennes, sak, neppe, den, enes, te, ., Hun, har, bare, gjort, opprør, mot, en, urett, mot, seg, seiv, og, en, urett, mot, sin, familie, som, ikke, vil, bli, glemt, ., Ingen, kan, vite, hva, hun, kan, ha, vært, utsatt, for, opp, gjennom, ungdom, men, og, hva, hun, har, gått, og, båret, på, ., 
, Hvem, hadde, påtatt, seg, ansvaret, for, disse, barna, ,, foreldrene, eller, bar]",PRON AUX SCONJ VERB DET ADV ADJ NOUN ADP NOUN PUNCT VERB NOUN PUNCT PRON AUX ADV VERB DET ADJ NOUN ADV PUNCT PRON VERB PART NOUN PUNCT CCONJ VERB PART ADP DET X X PUNCT SCONJ PRON VERB NOUN PUNCT PRON AUX PART VERB DET NOUN SCONJ NOUN ADP DET NUM NOUN ADP NOUN AUX VERB PRON DET ADJ NOUN PUNCT SPACE PRON VERB PRON PART PRON NOUN PUNCT PRON AUX NOUN PUNCT DET NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV ADJ PUNCT ADJ SCONJ DET ADJ NOUN AUX AUX NOUN SCONJ PART VERB ADV ADJ CCONJ ADJ PRON PRON VERB PUNCT CCONJ DET NOUN AUX ADV ADJ PART VERB SCONJ NOUN ADP DET NOUN PUNCT SCONJ PRON VERB ADV NOUN PRON AUX PUNCT CCONJ VERB SCONJ PRON AUX VERB PUNCT AUX PRON NOUN ADV DET ADJ NOUN PUNCT PRON AUX ADV VERB NOUN ADP DET NOUN ADP PRON NOUN CCONJ DET NOUN ADP PRON NOUN PRON PART AUX AUX VERB PUNCT PRON AUX VERB PRON PRON AUX AUX AUX VERB ADP ADP ADP NOUN CCONJ CCONJ PRON PRON AUX VERB CCONJ VERB ADP PUNCT SPACE PRON AUX VERB PRON NOUN ADP DET NOUN PUNCT NOUN CCONJ VERB,0.03650442477876106,0.36332163742690066,200,904,0.62,0.20171466192965662
"[Det, er, ikkje, tvil, om, at, når, ein, får, på, plass, ein, tunnel, så, vert, den, både, ein, attraksjon, og, eit, verkemiddel, for, reiselivet, ., Ein, tunnel, gjennom, Aurlands, dalen, vil, også, vera, med, å, setja, Flåm, på, kartet, på, ein, heilt, ny, måte, ,, og, når, det, er, kome, tun, nel, frå, Flåm, til, Gudvangen, ,, så, er, det, enkelt, for, tilreisande, å, ta, turen, gjennom, fjellet, til, Aur, land, ., Dette, kan, vera, med, å, styrke, turistnæringa, og, gje, kommunen, eit, nytt, bein, å, stå, på, ., Eit, turistsenter, ,, kafé, ,, museum, ,, parkering, og, informasjons, senter, vil, kunna, vera, på, plass, i, ein, periode, ., I, tillegg, vil, det, vera, muleg, å, ha, eit, hotell, der, som, kan, vera, ope, i, høgtidene, når, attraksjonar, som, Gudvan, gen, er, stengt, ., Når, ein, ser, den, store, aktiviteten, Flåm, er, om, sommaren, ,, er, det, ikkje, tvil, om, at, tunnel, i, Aurlandsdalen, lett, vil, føra, til, stor, trafikk, både, i, som, mar-, og, vintersesong, ., Flåm, har, ikkje, kapasitet, til, å]",PRON VERB X NOUN SCONJ SCONJ SCONJ PROPN VERB ADP NOUN X NOUN ADV ADJ DET CCONJ ADJ NOUN CCONJ X NOUN ADP NOUN PUNCT ADJ NOUN ADP PROPN NOUN AUX ADV VERB SCONJ PART VERB PROPN ADP NOUN ADP X X ADJ NOUN PUNCT CCONJ SCONJ PRON AUX X X X X PROPN ADP PROPN PUNCT ADV AUX PRON ADJ ADP ADJ PART VERB NOUN ADP NOUN ADP PROPN NOUN PUNCT PRON AUX VERB SCONJ PART VERB NOUN CCONJ X NOUN PART ADJ NOUN PART VERB ADP PUNCT PROPN NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ PROPN NOUN AUX X X ADP NOUN ADP ADJ NOUN PUNCT ADP NOUN AUX X X PROPN PART VERB DET NOUN ADV PRON AUX X X ADP NOUN SCONJ NOUN ADP PROPN NOUN AUX VERB PUNCT SCONJ PROPN VERB DET ADJ NOUN PROPN AUX ADP NOUN PUNCT VERB PRON X NOUN SCONJ SCONJ NOUN ADP PROPN ADJ AUX NOUN ADP ADJ NOUN CCONJ ADP SCONJ NOUN CCONJ NOUN PUNCT PROPN VERB X NOUN SCONJ PART,0.04245283018867924,0.37576971214017596,173,848,0.6069364161849711,0.25196727214132336
"[Kor, mange, prosent, er, det, norske, folk, som, trur, på, reinkarnasjon, ?, spør, Klaus, Vigdius, (, bildet, ), i, dagens, BT, ., 
, SPØRSMÅLET, SKAL, TOL, KASTES, og, diskuteres, videre, i, en, ny, doktoravhandling, av, Per, Magne, Aadnanes, ., I, dag, går, den, første, av, de, tre, delopp, gåvene, i, studiet, ,, en, religionssosiologisk, studie, blant, en, gruppe, mennesker, som, sier, de, tror, på, reinkarnasjon, ,, ut, til, høring, ., Studien, er, et, samarbeid, mellom, NTNU, og, Norsk, senter, for, barneforskning, (, NOSEB, ), ,, og, prosjektet, har, som, mål, å, analysere, holdninger, til, kristendommen, i, skjæringspunktet, til, det, som, er, definert, som, nyreligiøse, strømninger, ., -, Når, du, tror, på, noe, som, ligger, på, siden, av, den, etablerte, kirken, ,, er, det, van, lig, at, folk, holder, dette, litt, for, seg, seiv, ., Det, er, derfor, interessant, å, se, om, troen, til, de, som, tror, på, reinkarnasjon, ,, er, blitt, mer, kjent, ,, sier, Vigdius, ., -, Det, jeg, seiv, kommer, til, å, undersø]",ADV ADJ NOUN AUX DET ADJ NOUN PRON VERB ADP NOUN PUNCT VERB PROPN PROPN PUNCT NOUN PUNCT ADP NOUN PROPN PUNCT SPACE NOUN VERB PROPN PROPN CCONJ VERB ADJ ADP DET ADJ NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN VERB DET ADJ ADP DET NUM NOUN NOUN ADP NOUN PUNCT DET ADJ NOUN ADP DET NOUN NOUN PRON VERB PRON VERB ADP NOUN PUNCT ADP ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN CCONJ PROPN NOUN ADP NOUN PUNCT PROPN PUNCT PUNCT CCONJ NOUN VERB SCONJ NOUN PART VERB NOUN ADP NOUN ADP NOUN ADP PRON PRON AUX VERB SCONJ ADJ NOUN PUNCT PUNCT SCONJ PRON VERB ADP PRON PRON VERB ADP NOUN ADP DET ADJ NOUN PUNCT VERB PRON X X SCONJ NOUN VERB PRON ADJ ADP PRON NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP NOUN ADP PRON PRON VERB ADP NOUN PUNCT AUX VERB ADJ ADJ PUNCT VERB PROPN PUNCT PUNCT PRON PRON NOUN VERB SCONJ PART VERB,0.0590318772136954,0.3917794486215533,165,847,0.5393939393939394,0.1932377266826751
"[Det, er, veldig, populært, med, bier, om, dagen, ,, men, er, det, sikkert, at, honning, er, så, sunt, og, godt, for, helsa, ,, lurer, Tina, Merethe, Nilsen, ., Hun, er, veldig, glad, i, honning, og, har, smakt, seg, frem, til, flere, fristende, oppskrifter, inspirert, av, bikubens, smaksfulle, verden, ., 
, Men, du, skal, være, litt, på, vakt, mot, å, spise, for, mye, av, naturens, søte, godbiter, ., Bier, og, andre, insekter, lever, tross, alt, av, nektar, og, honningen, de, produserer, kommer, fra, plantenes, nektar, ., Og, der, finner, du, både, gift, ,, sprøytemidler, og, smuss, i, store, mengder, ., 
, Men, nå, viser, en, kartlegging, av, honningprøver, fra, hele, landet, ,, utført, av, Mattilsynet, ,, at, de, fleste, norske, honninger, er, trygge, ., 
, –, Denne, kartleggingen, viser, at, norsk, honning, inneholder, lave, nivåer, av, bie-, og, sprøytemiddelrester, ,, sier, Julie, Håland, i, Mattilsynet, ., 
, –, Men, det, betyr, ikke, at, de, nødvendigvis, er, helt, fri, for, giftstoffer, ,, forklarer, hun, ., 
, Håland, forklarer, at, honning, fra, utlandet, er, dyrket, under, andre, forhold, og, at, honning]",PRON AUX ADJ ADJ ADP NOUN ADP NOUN PUNCT CCONJ AUX PRON ADJ SCONJ NOUN AUX ADV ADJ CCONJ ADJ ADP NOUN PUNCT VERB PROPN PROPN PROPN PUNCT PRON AUX ADJ ADJ ADP NOUN CCONJ AUX VERB PRON ADP ADP ADJ ADJ NOUN VERB ADP NOUN ADJ NOUN PUNCT SPACE CCONJ PRON AUX AUX ADJ SCONJ NOUN SCONJ PART VERB ADV ADJ ADP NOUN ADJ NOUN PUNCT NOUN CCONJ DET NOUN VERB ADP PRON ADP NOUN CCONJ NOUN PRON VERB VERB ADP NOUN NOUN PUNCT CCONJ ADV VERB PRON CCONJ ADJ PUNCT NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE CCONJ ADV VERB DET NOUN ADP NOUN ADP ADJ NOUN PUNCT VERB ADP PROPN PUNCT SCONJ DET ADJ ADJ NOUN AUX ADJ PUNCT SPACE PUNCT DET NOUN VERB SCONJ ADJ NOUN VERB ADJ NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN PROPN ADP PROPN PUNCT SPACE PUNCT CCONJ PRON VERB PART SCONJ PRON ADV AUX ADJ ADJ ADP NOUN PUNCT VERB PRON PUNCT SPACE PROPN VERB SCONJ NOUN ADP NOUN AUX VERB ADP DET NOUN CCONJ SCONJ NOUN,0.03978494623655914,0.3775255391600453,178,930,0.5224719101123596,0.16430607942137626
