prompt,generated_text,language
Men det var,"Men det var før hun ble kjent med det å jobbe. For å få jobb, måtte hun på audition, og det tok et halvt års tid før hun sto på podiet med tre koreografer, og det i to forskjellige sjangre. - Jég elsker å jobbe og å møte nye mennesker, forteller hun. - Men jeg tar alltid på meg masse sminke. Ikke det at jeg mener det er galt med litt naturlig sminke, men jeg føler meg så naken uten og det går aldri, sier hun med et glimt i øyet. Smaken av sceneliv er nok en ganske ny opplevelse for danseren, men hun har vært med i alt fra musikaler og teater til store turneer i utland og i Norge. - Det begynte med turne med Rikskonsertene, og deretter ble jeg tatt ut i en talentgruppe hvor det kom en koreograf som skulle jobbe videre med meg. Han ble jeg så glad i, så det endte med sommercamp hvor vi skulle danse sammen og bli kjent. Jeg tenkte,",nno
Det var ein,"Det var ein strålande nøgd prosjektleiar, Magne Sunde, som tok i mot prisen på 25 000 kroner i kategorien «Byggeskikk/ restaurering» på Norsk Kulturarvs haustmøte på Lillehammer den 27. oktober.
\- Ein slik pris heng høgt og er eit kvalitetsstempel. Her i Valdres har vi mange restaurerte kyrkjer og andre hus. Men vi har aldri tidlegare vunne denne prisen. Vi vil no få moglegheita til å sende forslag til Riksanti-krav og andre utfordringar inn til dei som vinn prisen, seier Sunde.
Det var ein imponert og stolt jury, sett saman av juryleiar Espen Johnsen, tidlegare rektor ved Institutt for estetiske fag, Høgskolen i Oslo og Akershus (HiOA), leiar for styret i Stiftelsen UNI Geir Thomas Risåsen, fylkeskonservator Kjell Marius Mathisen, fylkeskonservator Dagfinn Claudius og arkitekt og prosjektleiar Magne Sunde som har vurdert dei åtte nominerte",nno
Det var så,"Det var så mange andre viktige oppgåver som måtte løses først. Det var ikke penger nok, og ikke kapasitet i administra sjonen, hevdet ordføreren. - Det er viktig å ivareta inn byggerne nå, og vi må ta oss tid til å løse våre pålagte velferds oppgaver. Vi fikk ikke på plass ergoterapeut og psykolog. Da er det ikke nødvendig å ha på plass det vi ikke har penger, innvendte Hans Gregers Aarenes (Ap) fra talerstolen.
Godt valg - Arbeiderpartiet lover deg at hvis dere vinner valget skal det bli godt å bo hele livet og en gang i fremtiden komme på det nye sykehjemmet, repliserte Ruth Åse Tesdal (Sp) til Aarenes sitt innlegg.
- Den politiske kulturen i Flekkefjord er at saker er fer dig behandlet og avgjort lenge før de kommer til bystyret. Det må være helt klart at det nye bystyret tar over ansvaret på en helt annen måte, sa John Hansen (uavh) da formannskapet skulle ta stilling til innføring av fullverdig akuttfunksjon og",nno
Ja det var,"Ja det var vel ikke så rart at det norske folk stemte imot EU med knapp margin. Selv om vi i ettertid er blitt lurt som vi alltid blir og blir forsøkt lurt, var ikke den prosessen med EU så ille at det var verd å risikere en oppløsning av landet. Selv om folket i alle land nå ønsker seg tilbake til noe bedre, har man i en del land begynt med folkeavstemning der det er mange nei folk å velge mellom. Om alle disse velger å la være å stemme, vil det være nok til å sikre nei-flertall. Folkeavstemni nger kan ikke settes til side. Nå kan det som vi vet, hende at noen av oss en dag vil være i mindretall på grunn av store alderskull. Det kan være greit å vite at en i alle tilfeller må regne med mer uro, og mer bråk. Skal dette få lov å være et alternativ for oss? Det er da slett ikke sikkert at vi vil være i flertall. Kan vi da risikere at vi blir overlatt til oss",nno
Ja det er,"Ja det er det mange som gjør. Det er noen som sier at de har prøvd å finne en ektefelle, men de har ikke lykkes i det. Det kan tenkes at de ønsker seg en kjæreste som vil gi dem en god del kjærlighet. Det er mange som har opplevd at de har hatt sex med mange menn, men de som virkelig er glad i en person kan kanskje ikke gi vedkommende den kjærligheten som denne personen trenger for å oppleve det samme igjen.
Å velge å ha sex med mange vil ofte si det samme som at man velger bort en del av seg seiv. Sex er blitt en del av vår tid og vi er alle veldig bevisste på akkurat dette med sex, men de fleste mennesker har fremdeles et bevisst behov for å ha et rent sexliv med sin partner. For ikke å snakke om den psykiske tilknytningen som kan oppstå i et seksuelt forhold. Den fysiske siden av en slik opplevelse vil være den man kjenner til. Det vil den være på samme måte med andre former for seksuell aktivitet. Den psykiske siden vil være den man er klar over",nno
Så var det,"Så var det slutt med den gamle tia. Jeg har hørt at det snart skal være slutt med den gamle tida - men vil det vare lenge? Jeg vet en gammel, gammel skrott, som er nokså skrøpelig i sitt sinn.
som vil hjelpe den stakkars gamle kroken litt. Som sagt - gamle kropp - kan være noe så mangt. Sitte med en gammel pinnestol i fanget og ta imot en liten trøst og oppmuntring fra en ensom venn. Ja, for - da er det ingen sak. Men gamle kropp trenger en hand å holde i. Og ikke får'n fred, hvis han setter seg på en vanlig hvilebenk. Han reiser seg fort igjen - skal det være. Skratte og prate litt. Men det går ei stund. Det blir lenger og lenger mellom hvert ord, for gamle kropp kan ikke lenger lese. Derfor tror han at det er den andre som har reist seg fra benken for å gå litt videre alene i sin hverdag. Men det er det visst ikke. På den andre sida sier han ett",nno
Det var som,"Det var som en vegg i det som skulle bli deres nye hjem og deres nye hverdag. Men så tok de en sjanse. De hadde vært kjærester i flere år, men aldri snakket om å bo sammen. Da det ble slutt mellom dem, var de begge enige om at det var riktig: Det var riktig for dem å bo i samme hus, men ikke sammen.
Etter en stund fant de ut at tiden hadde vært inne. Hun ble værende, mens han flyttet til leiligheten på Majorstuen for å kunne være alene med sønnen. Det var jo tross alt de to – og bare de – som var sammen.
En stund senere kom det et brev fra barnevernet: De hadde fattet et hastevedtak. Fordi mannen «har utøvd vold og begått seksuelle overgrep, også overfor barna, er det funnet hjemmel for omsorgsovertagelse».
– Jeg prøvde å være sterk og si: «Av hele mitt hjerte » Men jeg vet at det er feil. Det er så lett for mennesker å tenke og konkludere på andres vegne, det som",nno
Det er ikkje,"Det er ikkje lenge til jul, derfor har vi valt litt julemat i dag. Denne helga har vi også vår juletallerken ståande som ein kan velje i i tillegg. Vil du ha julemat til middag i påska har vi også noko godt å tilby. Du kan få svineribbe, kjøtkaker i brun saus, og pinnekjøtet kan du få på tallerkenen alt i dag. I tillegg har vi den tradisjonelle julebuffeten. No er også vår julemat på plass, og julebuffeten har vi fram til 23. desember. Frå 2. januar til 7. januar har vi også det som går under vår tradisjonelle juletallerken. Vi har eit stort utval av mat her på kafeen som vi kan lage til deg. Ta ein kik innom for litt julemat! Velkomen skal du vere!
Club Raw Dance Events ønsker velkommen til en ny fantastisk sesong. Dette er en danseklubb som tilbyr et bredt utvalg av dansestiler til barn, ungdom og voksne. Velkommen til våre",nno
Kor mange prosent,"Kor mange prosent av dei som bur i Sogn og Fjordane skal vere over 67 år i 2040? Du kan svare ved å trykke på knappane under. Prosentane er i høve til talet på dei som bur i fylket i dag. Kvar gong du svarar kan du også stemme på den måten du vil, anten med knappane nedanfor, ved å følgje ei lenkje du får av å svare eller ved å gå inn på Facebook. Det var slik me fann ut at 6 prosent vil ha ei eldre befolkning i 2040. Prosentane gjeld heile fylket.
Din kommune kan du finne her på sfj.no. Der kan du også svare på dei ulike alderskategoriane.
Sogn Avis tar dette som eit ledd i arbeidet med å lage ei skikkeleg prognose for framtida vår. Og som du sikkert har forstått vil det bety veldig mykje. Om det er éin ting me veit sikkert, så er det at verda er i endring. Det har alltid vore endringar. Det har alltid vore meir",nno
Det er veldig,"Det er veldig viktig med riktig sko under trening. Det vil si at du bør ha sko som gir god støtte, er stødige og behagelig å bruke, ifølge ekspertene. – God støtdemping er essensielt. Men det er også veldig viktig at du i løpet av en treningsøkt får den samme fothelsen, eller de samme fothelsetilstandene som du hadde før treningsøkta. Du skal på hver treningsøkt bare trene den aktuelle dagen. Har du flere treningsøkter i løpet av en dag, må du tilpasse skoene dine til hver økt. Hvis ikke kan det gå ut over skadeforebyggingen, sier Mjølhus.
● På asfalt bør du være nøye med å ha gode såler. For eksempel kan en såle med godt mønster i gripe på glatt underlag.
● Det finnes også sko med såkalte «sommersåler» som egner seg godt på stein. Det gjør det lettere å løpe når steinene er tørre.
● Skal du trene i skogen eller ved havet i sandaler, så bør du ha",nno
