tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ikke, rakk, å, se, det, ?, Ja, ,, men, den, må, være, kort, ,, bare, noen, få, ord, ., 
, Luktesansen, er, den, mest, aktive, av, alle, menneskelige, sanser, ., 
, Det, finnes, en, hel, vitenskap, som, har, spesialisert, på, å, studere, lukt, på, avstand, ., 
, En, god, nese, kan, faktisk, måle, temperaturer, ., 
, Det, finnes, ting, i, luften, som, ingen, vitenskapsmenn, har, funnet, eller, i, alle, fall, ikke, har, kunnet, forklare, ., 
, Det, lukter, ofte, annerledes, hos, gamle, folk, enn, hos, unge, ., 
, Et, godt, hode, og, en, skarp, nese, er, det, beste, grunnlag, for, å, lukte, vondt, ., 
, En, gammel, mann, har, alltid, bedre, nese, enn, en, ung, ., 
, Følsom, nese, gir, mange, fine, opplevelser, ., 
, Det, er, ofte, ikke, den, smarteste, som, er, den, klokeste, —, og, omvendt, ., Når, en, nese, har, tatt, inn, noe, galt, i, lukteorganene, ,, tar, nesen, alltid, feil, ., 
, For, det, finnes, ingen, nese, ,, men, det, finnes, nesebor, ,, og, nesen, kan, lukte, vondt, ., Nesen, vår, er, så, finjustert, ,, så, utrolig, nøye, satt, sammen, av, så, mange, ørsmå, deler, at, den, lukter, det, vi, har, svelget, eller, pust]",DET NOUN ADP NOUN PRON PART VERB PART VERB PRON PUNCT INTJ PUNCT CCONJ PRON AUX AUX ADJ PUNCT ADV DET ADJ NOUN PUNCT SPACE NOUN AUX DET ADJ ADJ ADP DET ADJ NOUN PUNCT SPACE PRON VERB DET ADJ NOUN PRON AUX VERB SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE DET ADJ NOUN AUX ADJ VERB NOUN PUNCT SPACE PRON VERB NOUN ADP NOUN PRON DET NOUN AUX VERB CCONJ ADP DET NOUN PART AUX AUX VERB PUNCT SPACE PRON VERB ADJ ADJ ADP ADJ NOUN ADP ADP ADJ PUNCT SPACE DET ADJ NOUN CCONJ DET ADJ NOUN AUX DET ADJ NOUN SCONJ PART VERB ADJ PUNCT SPACE DET ADJ NOUN VERB ADV ADJ NOUN ADP DET ADJ PUNCT SPACE ADJ NOUN VERB ADJ ADJ NOUN PUNCT SPACE PRON AUX ADJ PART DET ADJ PRON AUX DET ADJ PUNCT CCONJ ADJ PUNCT SCONJ DET NOUN AUX VERB ADP DET ADJ ADP NOUN PUNCT VERB NOUN ADV ADJ PUNCT SPACE ADP PRON VERB DET NOUN PUNCT CCONJ PRON VERB NOUN PUNCT CCONJ NOUN AUX VERB ADJ PUNCT ADJ PRON AUX ADV ADJ PUNCT ADV ADJ ADJ VERB ADV ADP ADV ADJ ADJ NOUN SCONJ PRON VERB PRON PRON AUX VERB CCONJ NOUN,0.03854389721627409,0.36795480225988597,203,934,0.5369458128078818,0.25265948851189945
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, ,, at, nu, var, det, best, å, se, i, været, ., 
, Men, hun, hørte, ikke, etter, ., Det, var, nu, det, at, hun, sto, med, et, par, skøyter, og, en, liten, kuffert, av, lær, —, og, en, stor, pakke, med, klær, inne, på, sovekammerset, ., 
, Majoren, såtte, en, stor, strek, i, almanakken, —, den, som, viste, sol, og, måne, og, stjerner, —, den, som, folk, trodde, på, og, ikke, tok, så, nøye, for, bare, fem, år, siden, ., 
, «, Fem, år, ,, gutt, ,, fem, år, ., Det, var, da, et, godt, varsel, ,, », sa, han, og, tørket, seg, i, øynene, ., «, Velsigne, deg, ,, major, ,, du, ser, blek, og, dårlig, ut, ,, skal, jeg, si, det, ,, for, en, gangs, skyld, ., Velsigne, deg, ,, major, ,, det, var, i, grunnen, ikke, noe, dårlig, varsel, ., 
, «, Men, en, ting, er, jeg, glad, for, ,, », sa, majoren, til, gutten, sin, :, «, Du, slapp, i, hvert, fall, å, se, min, søster, i, dette, her, !, », —, Han, kunne, ikke, forklare, det, ,, men, han, syntes, hans, kone, så, ut, som]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB PUNCT SCONJ ADV AUX PRON ADJ PART VERB ADP NOUN PUNCT SPACE CCONJ PRON VERB PART ADP PUNCT PRON AUX ADV PRON SCONJ PRON VERB ADP DET NOUN NOUN CCONJ DET ADJ NOUN ADP NOUN PUNCT CCONJ DET ADJ NOUN ADP NOUN ADP ADP NOUN PUNCT SPACE PROPN VERB DET ADJ NOUN ADP NOUN PUNCT PRON PRON VERB NOUN CCONJ NOUN CCONJ NOUN PUNCT PRON PRON NOUN VERB ADP CCONJ PART VERB ADV ADJ ADP ADV NUM NOUN ADV PUNCT SPACE PUNCT NUM NOUN PUNCT NOUN PUNCT NUM NOUN PUNCT PRON AUX ADV DET ADJ NOUN PUNCT PUNCT VERB PRON CCONJ VERB PRON ADP NOUN PUNCT PUNCT VERB PRON PUNCT NOUN PUNCT PRON VERB ADJ CCONJ ADJ ADP PUNCT AUX PRON VERB PRON PUNCT CCONJ DET ADJ NOUN PUNCT VERB PRON PUNCT NOUN PUNCT PRON AUX ADP NOUN PART DET ADJ NOUN PUNCT SPACE PUNCT CCONJ DET NOUN AUX PRON ADJ ADP PUNCT PUNCT VERB NOUN ADP NOUN PRON PUNCT PUNCT PRON VERB ADP DET NOUN PART VERB PRON NOUN ADP PRON ADV PUNCT PUNCT PUNCT PRON AUX PART VERB PRON PUNCT CCONJ PRON VERB PRON NOUN ADV ADP SCONJ,0.04865556978233035,0.39877049180327756,199,781,0.5628140703517588,0.2617197518165693
"[Det, synspunkt, at, miljøskifte, og, utflytting, fra, miljøet, har, gjort, det, lettere, å, akseptere, de, nye, stoffene, ,, og, at, det, derfor, er, en, myte, at, det, er, det, miljøskadelige, ved, stoffene, som, skaper, problemene, ,, gjelder, ikke, for, alle, stoffer, ., De, som, i, dag, representerer, de, problemer, vi, sliter, mest, med, å, løse, ,, er, de, som, er, nye, ,, enten, de, kommer, som, nye, rusmidler, eller, ny, teknologi, ,, og, når, vi, vet, at, antallet, nye, stoffer, er, så, høyt, ,, så, vet, vi, også, at, det, er, langt, frem, til, at, alle, de, nye, stoffene, som, kommer, på, markedet, ,, er, under, kontroll, ., De, nye, stoffene, har, så, stor, variasjonsbredde, i, virkninger, at, vi, ikke, engang, kan, forutse, hvilke, som, vil, oppstå, i, årene, fremover, ., 
, Jeg, viser, også, til, SIRIUS-prosjektet, ,, som, er, en, av, de, største, nasjonale, satsingene, innenfor, rusforskning, som, er, gjort, ., Gjennom, forskning, har, en, bl.a., arbeidet, frem, et, bedre, bilde, av, hvordan, folk, flest, forholder, seg, til, rusmidler, ., SIRUS, har, undersøkt, befolkningens, kunnskapsnivå, og, holdninger, til, narkotika, ,, alkohol, og, doping, ., Vi]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN AUX VERB PRON ADJ PART VERB DET ADJ NOUN PUNCT CCONJ SCONJ PRON ADV AUX DET NOUN SCONJ PRON AUX DET ADJ ADP NOUN PRON VERB NOUN PUNCT VERB PART ADP DET NOUN PUNCT PRON PRON ADP NOUN VERB DET NOUN PRON VERB ADJ SCONJ PART VERB PUNCT AUX PRON PRON AUX ADJ PUNCT CCONJ PRON VERB SCONJ ADJ NOUN CCONJ ADJ NOUN PUNCT CCONJ SCONJ PRON VERB SCONJ NOUN ADJ NOUN AUX ADV ADJ PUNCT ADV VERB PRON ADV SCONJ PRON AUX ADJ SCONJ SCONJ SCONJ DET DET ADJ NOUN PRON VERB ADP NOUN PUNCT AUX ADP NOUN PUNCT DET ADJ NOUN VERB ADV ADJ NOUN ADP NOUN SCONJ PRON PART ADV AUX VERB DET PRON AUX VERB ADP NOUN ADP PUNCT SPACE PRON VERB ADV ADP NOUN PUNCT PRON AUX DET ADP DET ADJ ADJ NOUN ADP NOUN PRON AUX VERB PUNCT ADP NOUN AUX DET ADP VERB ADP DET ADJ NOUN ADP ADV NOUN ADJ VERB PRON ADP NOUN PUNCT PROPN AUX VERB NOUN NOUN CCONJ NOUN ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON,0.03665987780040733,0.36658092175777,186,982,0.6290322580645161,0.31196146543880077
"[Nei, sa, Beatrice, Bare, gå, videre, ,, vær, så, snill, ., Forstår, ?, 
, Beatrice, :, Hva, mente, du, ?, At, det, ville, bli, fred, og, slikt, ?, Bastard, :, Ja, ., Beatrice, :, Nei, ?, Bastard, :, Det, er, ikke, slik, ., Forstår, du, ikke, det, ?, 
, Beatrice, :, Ikke, det, ?, Så, er, ikke, jeg, den, du, tror, ., Bastard, :, Hva, er, det, som, ikke, er, slik, ?, Beatrice, :, Nå, er, vi, ferdige, med, disse, dumme, tingene, dine, og, vi, skal, ikke, snakke, mer, om, dette, ., Gå, nå, ,, og, det, fort, ., Forstår, du, det, ikke, ?, Beatrice, :, Jeg, skal, gå, med, en, gang, ., Bastard, :, Bare, gå, til, han, som, holder, i, tauet, ,, så, får, du, se, noe, som, er, enda, viktigere, ., 
, Beatrice, :, Dette, er, ikke, sant, ., Jeg, er, ikke, Bastard, ., 
, Soldaten, som, bærer, tauet, :, Forstår, De, hva, De, har, gjort, ,, frue, ?, Beatrice, :, Jeg, sa, at, De, skulle, ta, meg, til, fange, ., Soldaten, :, Ja, ,, men, det, er, ikke, sant, ., 
, Beatrice, :, Nå]",INTJ VERB PROPN ADV VERB ADJ PUNCT AUX ADV ADJ PUNCT VERB PUNCT SPACE PROPN PUNCT PRON VERB PRON PUNCT SCONJ PRON AUX VERB NOUN CCONJ PRON PUNCT PROPN PUNCT INTJ PUNCT PROPN PUNCT INTJ PUNCT PROPN PUNCT PRON AUX PART ADV PUNCT VERB PRON PART PRON PUNCT SPACE PROPN PUNCT PART PRON PUNCT ADV AUX PART PRON PRON PRON VERB PUNCT PROPN PUNCT PRON AUX PRON PRON PART AUX ADV PUNCT PROPN PUNCT ADV AUX PRON ADJ ADP DET ADJ NOUN PRON CCONJ PRON AUX PART VERB ADJ ADP PRON PUNCT VERB ADV PUNCT CCONJ PRON ADJ PUNCT VERB PRON PRON PART PUNCT PROPN PUNCT PRON AUX VERB ADP DET NOUN PUNCT PROPN PUNCT ADV VERB ADP PRON PRON VERB ADP NOUN PUNCT ADV AUX PRON VERB PRON PRON AUX ADV ADJ PUNCT SPACE PROPN PUNCT PRON AUX PART ADJ PUNCT PRON AUX PART PROPN PUNCT SPACE NOUN PRON VERB NOUN PUNCT VERB PRON PRON PRON AUX VERB PUNCT NOUN PUNCT PROPN PUNCT PRON VERB SCONJ PRON AUX VERB PRON SCONJ NOUN PUNCT NOUN PUNCT INTJ PUNCT CCONJ PRON AUX PART ADJ PUNCT SPACE PROPN PUNCT ADV,0.05170068027210884,0.40647230320699723,188,735,0.5478723404255319,0.3107509784469408
"[For, 2, av, elevene, har, vi, søkt, om, at, de, kan, begynne, for, fullt, når, de, kommer, i, 2., realskoleklasse, ., Men, da, må, man, være, sikret, ekstraundervisning, i, de, fag, hvor, det, ikke, går, med, de, to, elever, ., 
, Det, er, beklagelig, at, elevene, ved, et, gymnas, skal, være, avhengig, av, at, lærere, er, syke, ,, og, jeg, kan, dessverre, ikke, se, noen, vei, ut, av, knipa, ., Vedkommende, læreres, syk, dom, får, vi, ikke, gjort, stort, ved, og, vi, får, bare, ta, imot, de, elevene, som, blir, tildelt, oss, ., Som, man, kan, se, går, antallet, i, de, enkelte, fag, ned, i, år, og, for, at, vi, ikke, skal, få, alt, for, stort, fråvær, blant, lærerne, kan, jeg, si, at, det, også, må, bli, en, del, sykemeldinger, blant, læ, rerne, ,, sier, rektor, Dørstad, ., Det, er, mulig, at, vi, får, beholde, 2—3, av, de, aller, beste, lærerkrefter, og, jeg, får, bare, håpe, at, vi, må, få, beholde, disse, til, neste, år, ,, slutter, rektor, Dørstad, .]",ADP NUM ADP NOUN AUX PRON VERB SCONJ SCONJ PRON AUX VERB ADP ADJ SCONJ PRON VERB ADP ADJ NOUN PUNCT CCONJ ADV AUX PRON AUX VERB NOUN ADP DET NOUN ADV PRON PART VERB ADP DET NUM NOUN PUNCT SPACE PRON AUX ADJ SCONJ NOUN ADP DET NOUN AUX AUX ADJ SCONJ SCONJ NOUN AUX ADJ PUNCT CCONJ PRON AUX ADV PART VERB DET NOUN ADP ADP NOUN PUNCT ADJ VERB ADJ NOUN AUX PRON PART VERB ADJ ADP CCONJ PRON AUX ADV VERB ADP DET NOUN PRON AUX VERB PRON PUNCT SCONJ PRON AUX VERB VERB NOUN ADP DET ADJ NOUN ADP ADP NOUN CCONJ ADP SCONJ PRON PART AUX VERB PRON ADV ADJ NOUN ADP NOUN AUX PRON VERB SCONJ PRON ADV AUX VERB DET NOUN NOUN ADP NOUN NOUN PUNCT VERB NOUN PROPN PUNCT PRON AUX ADJ SCONJ PRON AUX VERB NOUN ADP DET ADV ADJ NOUN CCONJ PRON AUX ADV VERB SCONJ PRON AUX AUX VERB PRON ADP DET NOUN PUNCT VERB NOUN PROPN PUNCT,0.04580152671755725,0.36865671641791126,170,786,0.6941176470588235,0.3009348097650075
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, «, Østfold-møter, », i, regi, av, «, Aksjon, mot, hjemmeulykker, », ., «, Aksjonens, », hensikt, er, å, bevisstgjøre, publikum, om, hva, som, skal, til, for, å, bedre, livskvali, teten, for, mange, mennesker, ,, og, hva, som, gjøres, fra, myndighe, tenes, og, organisasjonenes, side, for, å, forebygge, ulykker, og, ska, der, ., I, første, omgang, blir, det, mø, ter, i, Fredrikstad, ,, Moss, ,, Sarps, borg, ,, Rakkestad, ,, Halden, ,, Spy, deberg, ,, Mysen, ,, Askim, og, Eidsberg, ., Disse, møtene, markerer, startskuddet, ,, og, en, har, valgt, ut, steder, som, ikke, ligger, altfor, langt, fra, hverandre, geogra, fisk, ., -, Vi, ønsker, å, sette, fokus, på, alle, de, mange, hjemmeulykkene, som, i, dag, rammer, hundretuse, ner, ,, og, med, dette, kan, vi, forhå, pentligvis, bidra, til, at, hver, og, én, ,, og, helst, hele, lokalmiljøet, blir, mer, bevisst, ., sier, Lotte, Holm-, Hanssen, ., leder, av, «, Aksjon, mot, hjem, meulykker, », til, FB, ., «, Aksjon, mot, hjemmeulyk]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN PUNCT NOUN PUNCT ADP NOUN ADP PUNCT PROPN ADP NOUN PUNCT PUNCT PUNCT NOUN PUNCT NOUN AUX PART VERB NOUN SCONJ PRON PRON VERB ADP SCONJ PART VERB NOUN NOUN ADP ADJ NOUN PUNCT CCONJ PRON PRON VERB ADP NOUN NOUN CCONJ NOUN NOUN SCONJ PART VERB NOUN CCONJ X ADV PUNCT ADP ADJ NOUN VERB PRON X X ADP PROPN PUNCT PROPN PUNCT PROPN NOUN PUNCT PROPN PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PUNCT DET NOUN VERB NOUN PUNCT CCONJ PRON AUX VERB ADP NOUN PRON PART VERB ADV ADJ ADP PRON ADJ NOUN PUNCT PUNCT PRON VERB PART VERB NOUN ADP DET DET ADJ NOUN PRON ADP NOUN VERB PROPN PROPN PUNCT CCONJ ADP PRON AUX PRON ADJ ADV VERB SCONJ SCONJ DET CCONJ NUM PUNCT CCONJ ADV ADJ NOUN VERB ADJ ADJ PUNCT VERB PROPN PROPN PROPN PUNCT NOUN ADP PUNCT PROPN NOUN ADP NOUN PUNCT ADP PROPN PUNCT PUNCT PROPN ADP PROPN,0.05653710247349823,0.40300000000000064,170,849,0.45294117647058824,0.2794541981584782
"[Personell, og, organisering, av, sekretariatet, i, den, nye, regionen, ., Kilde, :, www.regjeringen, ., 
, 2, Hva, er, en, region, ?, 
, Regionene, i, verden, i, dag, kan, inndeles, i, tre, kategorien, Vi, har, for, det, første, nasjonalstatene, ., Disse, er, relativt, små, i, omfang, ,, og, består, av, ett, eller, to, land, ., Denne, typen, regioner, har, vært, svært, utbredt, siden, andre, verdenskrig, ., Nasjonalstatene, har, vært, den, vanligste, form, for, politisk, organisering, helt, frem, til, de, siste, to, tiårene, ., 
, Den, andre, typen, regioner, er, de, funksjonelle, ., Dette, er, områder, hvor, mennesker, arbeider, og, der, varer, passerer, til, og, fra, ., Funksjonelle, regioner, er, ikke, naturlige, ,, slik, som, nasjonalstater, eller, andre, typer, regioner, ,, de, er, resultat, av, menneskers, organisering, ., I, denne, gruppen, finnes, byer, (, regionbyer, ), ,, store, landbruksområder, eller, forsteder, ,, store, industriområder, og, transport-knutepunkter, ., Regionenes, størrelse, og, tetthet, er, avhengig, av, en, rekke, forhold, ., Vi, skal, se, på, noen, av, dem, her, ., 
, Også, for, denne, typen, regioner, finnes, det, én, dominerende, størrelse, ,, nemlig, folketallet, ., Det, finnes, ingen, funksjonelle, regioner, som, ikke, er, befolket, ,]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT SPACE NUM PRON AUX DET NOUN PUNCT SPACE NOUN ADP NOUN ADP NOUN AUX VERB ADP NUM NOUN PRON VERB ADP DET ADJ NOUN PUNCT PRON AUX ADJ ADJ ADP NOUN PUNCT CCONJ VERB ADP NUM CCONJ NUM NOUN PUNCT DET NOUN NOUN AUX AUX ADJ ADJ ADP ADJ NOUN PUNCT NOUN AUX AUX DET ADJ NOUN ADP ADJ NOUN ADJ ADP ADP DET ADJ NUM NOUN PUNCT SPACE DET DET NOUN NOUN AUX DET ADJ PUNCT PRON AUX NOUN ADV NOUN VERB CCONJ ADV NOUN VERB ADP CCONJ ADP PUNCT ADJ NOUN AUX PART ADJ PUNCT ADV ADP NOUN CCONJ DET NOUN NOUN PUNCT PRON AUX NOUN ADP NOUN NOUN PUNCT ADP DET NOUN VERB NOUN PUNCT NOUN PUNCT PUNCT ADJ NOUN CCONJ NOUN PUNCT ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN CCONJ NOUN AUX ADJ ADP DET NOUN NOUN PUNCT PRON AUX VERB ADP DET ADP PRON ADV PUNCT SPACE ADV ADP DET NOUN NOUN VERB PRON NUM ADJ NOUN PUNCT ADV NOUN PUNCT PRON VERB DET ADJ NOUN PRON PART AUX ADJ PUNCT,0.04303086997193639,0.365921568627451,190,1069,0.5210526315789473,0.23537820677926213
"[De, nevnte, artiklene, i, FN, er, ikke, blitt, underskrevet, av, alle, medlemnasjoner, i, verdensorganisasjonen, ., Dette, går, fram, av, FNs, egne, arkiver, ,, viser, at, flere, land, har, reservert, seg, mot, de, enkelte, punktene, i, den, politiske, erklæringen, om, en, atomvåpenfri, sone, i, Norden, ., 
, Det, har, lenge, vært, kjent, at, Sovjetunionen, ikke, har, sluttet, seg, til, disse, erklæringene, ., Men, fra, og, med, i, morgen, slutter, også, Finland, og, Sverige, seg, til, ., Dermed, ser, det, ut, som, om, det, er, oppnådd, en, slags, enighet, om, en, slik, sone, for, de, nordiske, landene, ., 
, Senest, tirsdag, denne, uken, kunne, en, svensk, embetsmann, bekrefte, at, Sovjet, ikke, hadde, reservert, seg, mot, det, prinsipielle, innholdet, i, erklæringen, ., Og, det, faktum, at, de, to, siste, landene, ikke, har, reservert, seg, på, samme, måten, ,, indikerer, at, de, er, blitt, enige, om, andre, og, mer, begrensede, formuleringer, ., 
, Hvem, som, har, ansvaret, for, at, dette, ikke, kom, fram, i, FN-uttalelsen, for, fire, uker, siden, ,, er, fremdeles, uklart, ., Men, det, later, til, at, både, Norge, og, Sverige, har, spilt, en, avgjgrende]",DET VERB NOUN ADP PROPN AUX PART AUX VERB ADP DET NOUN ADP NOUN PUNCT PRON VERB ADP ADP PROPN DET NOUN PUNCT VERB SCONJ ADJ NOUN AUX VERB PRON ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN PUNCT SPACE PRON AUX ADJ AUX ADJ SCONJ PROPN PART AUX VERB PRON ADP DET NOUN PUNCT CCONJ ADP CCONJ ADP ADP NOUN VERB ADV PROPN CCONJ PROPN PRON ADP PUNCT ADV VERB PRON ADP SCONJ SCONJ PRON AUX VERB DET NOUN NOUN ADP DET DET NOUN ADP DET ADJ NOUN PUNCT SPACE ADV NOUN DET NOUN AUX DET ADJ NOUN VERB SCONJ PROPN PART AUX VERB PRON ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ DET NOUN SCONJ DET NUM ADJ NOUN PART AUX VERB PRON ADP DET NOUN PUNCT VERB SCONJ PRON AUX VERB ADJ ADP DET CCONJ ADJ ADJ NOUN PUNCT SPACE PRON PRON VERB NOUN SCONJ SCONJ PRON PART VERB ADP ADP NOUN ADP NUM NOUN ADV PUNCT AUX ADV ADJ PUNCT CCONJ PRON VERB SCONJ SCONJ CCONJ PROPN CCONJ PROPN AUX VERB DET ADJ,0.03487179487179487,0.36112311015118775,183,975,0.6229508196721312,0.27637312271755515
"[Bør, minimum, være, 10, av, 11, elever, -, ikke, mer, enn, 10, -, ikke, ia, være, å, velge, det, som, er, det, beste, for, eleven, ,, seiv, om, man, derved, bryter, regler, ., Bør, i, dette, tilfellet, være, opp, til, rektor, å, avgjøre, hvilke, kriterier, som, skal, ligge, til, grunn, ved, ansettelse, av, rektor, ., 
, Bør, i, dette, tilfellet, være, opp, til, den, enkelte, kommune, ., Det, er, de, som, kan, dette, best, ., Ikke, minst, økonomisk, ., Her, er, det, helt, klart, store, forskjeller, som, vil, slå, sterkt, negativt, ut, på, kommune, regnskapene, for, de, kommuner, som, vil, legge, seg, på, en, slik, linje, ., Det, må, være, opp, til, kommunene, seiv, å, av, gjøre, om, en, skoie, her, skal, være, todelt, eller, tredelt, ., 
, I, Norge, må, foreldrene, velge, seiv, !, Ingen, kommune, skal, fortelle, hver, eneste, forelder, hvilke, behov, de, forskjellige, barna, har, og, dermed, hvilke, behov, de, forskjellige, skole, ne, skal, dekke, !, 
, Bør, i, dette, tilfellet, ikke, være, opp, til, en, hver, kommune, eller, fyl, keskommune, å, avgjøre, ., Det, er, til, elevenes, beste, å, velge, den, skole, som, er, best, ut, fra, de, krav, som, stilles, ., Dette, gjelder, også, for]",AUX NOUN AUX NUM ADP NUM NOUN PUNCT PART ADJ ADP NUM PUNCT PART PROPN VERB PART VERB PRON PRON AUX DET ADJ ADP NOUN PUNCT VERB SCONJ PRON ADV VERB NOUN PUNCT AUX ADP DET NOUN VERB ADP SCONJ NOUN PART VERB DET NOUN PRON AUX VERB ADP NOUN ADP NOUN ADP NOUN PUNCT SPACE AUX ADP DET NOUN AUX ADP ADP DET ADJ NOUN PUNCT PRON AUX PRON PRON VERB PRON ADJ PUNCT PART ADJ ADJ PUNCT ADV AUX PRON ADJ ADJ ADJ NOUN PRON AUX VERB ADJ ADJ ADP ADP NOUN NOUN ADP DET NOUN PRON AUX VERB PRON ADP DET DET NOUN PUNCT PRON AUX VERB ADP ADP NOUN VERB PART SCONJ VERB ADP DET NOUN ADV AUX AUX ADJ CCONJ ADJ PUNCT SPACE ADP PROPN AUX NOUN VERB NOUN PUNCT DET NOUN AUX VERB DET NUM NOUN DET NOUN DET ADJ NOUN VERB CCONJ ADV DET NOUN DET ADJ NOUN NOUN AUX VERB PUNCT SPACE AUX ADP DET NOUN PART VERB ADP ADP DET DET NOUN CCONJ PROPN NOUN PART VERB PUNCT PRON AUX SCONJ NOUN ADJ PART VERB DET NOUN PRON AUX ADJ ADP ADP DET NOUN PRON VERB PUNCT PRON VERB ADV ADP,0.03756345177664975,0.3663247863247872,200,985,0.61,0.25876841177792115
"[Artikkel, 3, tar, opp, Kommisjonens, ansvar, for, å, sikre, at, direktivets, materielle, rettsakler, blir, overholdt, ., Ansvaret, går, på, tre, områder, ;, å, kontrollere, nasjonale, lovgiveres, lovvedtak, ,, å, sikre, at, medlemsstatenes, administrative, ,, juridiske, og, økonomiske, systemer, er, slik, utformet, at, de, sikrer, etterlevelse, ,, samt, å, sikre, at, Kommisjonens, gjennomføring, i, medlemslandene, oppfyller, direktivets, krav, ., Herunder, har, Kommisjonen, ansvar, for, å, utvikle, og, overvåke, en, ensartet, anvendelse, av, direktivet, ,, utarbeide, retningslinjer, for, gjennomføringen, av, direktivet, i, medlemslandene, ,, samt, utvikle, metoder, for, å, overvåke, og, kontrollere, at, medlemslandenes, overholdelse, av, rettsaktene, etterleves, ., 
, Artikkel, 4, slår, fast, at, medlemslandene, innenfor, angitte, geografiske, områder, skal, iverksette, tiltak, for, å, ivareta, miljøet, ., For, Norges, og, Nord-Norges, del, betyr, dette, tiltak, for, å, bevare, naturen, i, kystnære, og, fjordnære, områder, ., Artikkelen, nevner, spesielt, beskyttelse, av, havområder, ,, marine, verneområder, og, økologisk, viktige, områder, og, biologisk, mangfold, generelt, ., Disse, områdene, må, beskyttes, mot, enhver, form, for, skade, .]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ NOUN ADJ NOUN AUX VERB PUNCT NOUN VERB ADP NUM NOUN PUNCT PART VERB ADJ VERB NOUN PUNCT PART VERB SCONJ NOUN ADJ PUNCT ADJ CCONJ ADJ NOUN AUX ADV ADJ SCONJ PRON VERB NOUN PUNCT CCONJ PART VERB SCONJ PROPN NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV VERB PROPN NOUN SCONJ PART VERB CCONJ VERB DET ADJ NOUN ADP NOUN PUNCT VERB NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT CCONJ VERB NOUN SCONJ PART VERB CCONJ VERB SCONJ NOUN NOUN ADP NOUN VERB PUNCT SPACE NOUN NUM VERB ADJ SCONJ NOUN ADP ADJ ADJ NOUN AUX VERB NOUN SCONJ PART VERB NOUN PUNCT ADP PROPN CCONJ PROPN NOUN VERB PRON NOUN SCONJ PART VERB NOUN ADP ADJ CCONJ ADJ NOUN PUNCT NOUN VERB ADJ NOUN ADP NOUN PUNCT ADJ NOUN CCONJ ADJ ADJ NOUN CCONJ ADJ NOUN ADJ PUNCT DET NOUN AUX VERB ADP DET NOUN ADP NOUN PUNCT,0.03505535055350553,0.36307246376811486,162,1084,0.36419753086419754,0.13329368783661105
