tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, noe, annet, ,, en, dyp, uro, som, ville, opp, i, ham, ., Han, la, det, ned, igjen, ,, men, kjente, uroen, komme, ,, grep, det, tredje, speilet, ,, som, det, bare, var, litt, av, messingstasen, og, det, blanke, sølvbelegget, på, innsidene, ., Det, var, ikke, slik, han, hadde, forestilt, seg, det, i, det, innerste, av, kammerset, der, det, så, ofte, var, mørkt, ,, og, med, en, luke, i, gulvet, og, et, par, trappetrinn, ., Han, la, alt, ned, igjen, med, stor, omhu, ., Det, hadde, vært, en, annen, sak, om, det, sto, en, uthogd, steintavle, der, ,, med, forklaringer, om, alt, det, han, så, i, mørket, i, det, innerste, ., Men, det, skjedde, ingenting, ,, bare, et, blankt, skinn, på, gulvet, ., Det, var, hans, egen, uro, som, lå, der, og, lyste, ,, av, og, til, fløt, den, utover, gulvet, og, det, blinket, i, noe, annet, på, innsiden, ., Noe, farlig, og, nesten, skremmende, ., Slik, sto, det, i, alle, fall, for, ham, ., 
, -, Det, er, bare, et, speil, ,, tenkte, han, ,, men, det]",CCONJ PRON VERB DET DET PUNCT DET ADJ NOUN PRON VERB ADP ADP PRON PUNCT PRON VERB PRON ADP ADV PUNCT CCONJ ADJ NOUN VERB PUNCT VERB DET ADJ NOUN PUNCT PRON PRON ADV AUX ADJ ADP NOUN CCONJ DET ADJ NOUN ADP NOUN PUNCT PRON AUX PART ADV PRON AUX VERB PRON PRON ADP DET ADJ ADP NOUN SCONJ PRON ADV ADJ AUX ADJ PUNCT CCONJ ADP DET NOUN ADP NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PRON ADP ADV ADP ADJ NOUN PUNCT PRON AUX AUX DET DET NOUN SCONJ PRON VERB DET ADJ NOUN ADV PUNCT ADP NOUN ADP DET PRON PRON VERB ADP NOUN ADP DET ADJ PUNCT CCONJ PRON VERB PRON PUNCT ADV DET ADJ NOUN ADP NOUN PUNCT PRON AUX PRON DET NOUN PRON VERB ADV CCONJ VERB PUNCT ADP CCONJ ADP VERB PRON ADP NOUN CCONJ DET VERB ADP DET DET ADP NOUN PUNCT DET ADJ CCONJ ADV ADJ PUNCT ADV VERB PRON ADP DET NOUN ADP PRON PUNCT SPACE PUNCT PRON AUX ADV DET NOUN PUNCT VERB PRON PUNCT CCONJ PRON,0.0425,0.364207723035953,180,800,0.6722222222222223,0.36693898763621136
"[Det, var, ein, gong, to, ungar, som, budde, i, same, hus, ., Ho, heitte, Ane, ,, som, ei, oppmoding, ,, og, han, heitte, Per, ,, som, ein, kan, tenkje, er, dei, fleste, ungar, ., 
, Den, første, gongen, Ane, og, Per, gjekk, ut, ,, måtte, Per, gå, og, levere, frå, seg, sykkelen, i, porten, utanfor, huset, ., Utan, å, seie, noko, så, Ane, at, Per, fekk, ein, stor, klem, i, det, ho, gjekk, gjennom, porten, ., Då, Per, kom, heim, ,, ropa, han, :, Eg, skulle, berre, på, butikken, og, kjøpe, litt, brus, og, ein, laks, ,, eg, kjøpte, litt, meir, enn, vanleg, ., Ho, stod, bak, døra, og, hørte, på, ., 
, «, Ane, du, må, slutte, å, kjøpe, så, mykje, ,, det, er, ikkje, rett, !, », ropa, ho, ., «, Eg, kan, ikkje, stoppe, no, med, så, lite, mat, ., », Så, tok, ho, fram, eit, skrujern, frå, lomma, si, ., 
, «, Du, sa, du, aldri, skulle, bruke, eit, skrujern, ,, men, no, skal, eg, vise, at, eit, skrujern, kan, løyse, store, problem, », ., Ho, skrudde, opp, vindaugsholet, ,, men, det, spra]",PRON AUX X X X PROPN X VERB ADP X NOUN PUNCT PROPN ADJ PROPN PUNCT ADP DET NOUN PUNCT CCONJ PRON VERB PROPN PUNCT ADP X AUX VERB AUX DET ADJ PROPN PUNCT SPACE DET ADJ NOUN PROPN CCONJ PROPN VERB ADP PUNCT AUX PROPN VERB CCONJ VERB ADP PRON NOUN ADP NOUN ADP NOUN PUNCT ADP PART VERB NOUN CCONJ PROPN SCONJ PROPN VERB X ADJ NOUN ADP DET X VERB ADP NOUN PUNCT X PROPN VERB ADP PUNCT PROPN PRON PUNCT PROPN X ADV ADP NOUN CCONJ VERB ADJ NOUN CCONJ X NOUN PUNCT PRON VERB ADJ ADJ ADP X PUNCT PROPN VERB ADP NOUN CCONJ VERB ADP PUNCT SPACE PUNCT PROPN PRON AUX VERB PART VERB ADV X PUNCT PRON VERB ADV ADJ PUNCT PUNCT PROPN X PUNCT PUNCT PROPN AUX X VERB X ADP ADV ADJ NOUN PUNCT PUNCT ADV VERB NOUN ADP X X X NOUN PRON PUNCT SPACE PUNCT PRON VERB PRON ADV AUX VERB PROPN NOUN PUNCT CCONJ X X X VERB SCONJ X NOUN AUX NOUN ADJ NOUN PUNCT PUNCT PROPN VERB ADP NOUN PUNCT CCONJ PRON VERB,0.0494148244473342,0.4023333333333317,187,769,0.6149732620320856,0.27540622419418076
"[Det, var, så, mye, å, rekke, over, ., Og, som, alltid, :, En, rekke, avgjørelser, måtte, tas, under, veis, ,, og, da, måtte, man, nesten, bare, hive, seg, ut, i, det, ., Som, da, vi, en, mandag, bestemte, oss, for, å, utforske, Oslo's, utside, -, med, buss, ,, bane, og, trikk, ., Vi, hoppet, på, bussen, til, Bekkelaget, ,, og, derfrå, strake, veien, til, Nordstrand, ., Om, vi, ble, imponert, ?, Gjett, om, !, Etter, å, ha, vandret, fra, hus, til, hus, for, å, få, en, oppfatning, av, hva, folk, var, opptatt, av, på, Nordstrand, -, samt, en, liten, titt, på, hva, butikkene, hadde, å, tilby, -, tok, vi, bussen, hjem, igjen, ., Vel, hjemme, igjen, fortsatte, vi, med, husbesøk, ., Som, gikk, strålende, ., Alle, de, tre, husene, ble, beseglet, ,, og, vi, er, nå, eiere, av, bolig, på, Nordstrand, -, det, gleder, vi, oss, stort, over, !, Det, er, klart, at, et, slikt, boligkjøp, setter, sitt, preg, på, en, ung, pikes, hverdag, ;, hun, må, både, handle, mat, ,, betale, regninger, og, få, klær, på, kroppen, ,, for, å, nevne, noe, ., Men, vi, klarer, å]",PRON VERB ADV ADJ PART VERB ADP PUNCT CCONJ ADP ADV PUNCT DET NOUN NOUN AUX VERB ADP NOUN PUNCT CCONJ ADV AUX PRON ADV ADV VERB PRON ADP ADP PRON PUNCT ADP SCONJ PRON DET NOUN VERB PRON SCONJ PART VERB PROPN NOUN PUNCT ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON VERB ADP NOUN ADP PROPN PUNCT CCONJ PROPN ADJ NOUN ADP PROPN PUNCT SCONJ PRON VERB ADJ PUNCT VERB ADP PUNCT SCONJ PART AUX VERB ADP NOUN ADP NOUN SCONJ PART VERB DET NOUN ADP PRON NOUN AUX ADJ ADP ADP PROPN PUNCT CCONJ DET ADJ NOUN SCONJ PRON NOUN VERB PART VERB PUNCT VERB PRON NOUN ADP ADV PUNCT ADV ADP ADV VERB PRON ADP NOUN PUNCT SCONJ VERB ADJ PUNCT DET DET NUM NOUN AUX VERB PUNCT CCONJ PRON AUX ADV NOUN ADP NOUN ADP PROPN PUNCT PRON VERB PRON PRON ADJ ADP PUNCT PRON AUX ADJ SCONJ DET DET NOUN VERB PRON NOUN ADP DET ADJ NOUN NOUN PUNCT PRON AUX CCONJ VERB NOUN PUNCT VERB NOUN CCONJ VERB NOUN ADP NOUN PUNCT SCONJ PART VERB PRON PUNCT CCONJ PRON VERB PART,0.05058823529411765,0.3921098626716603,188,850,0.574468085106383,0.2649976028540291
"[Ja, det, var, en, gang, at, de, tre, herrer, på, bildet, gikk, i, flokk, gjennom, den, stille, ,, mørke, gate, -, mot, et, ukjent, mål, som, bare, var, kjent, av, noen, få, utvalgte, ., 
, De, tenkte, de, ville, ta, snarveien, gjennom, porten, til, et, av, de, gamle, husene, i, Øvre, Langgate, ,, nærmere, bestemt, til, Kockegården, ., 
, Det, gjorde, de, og, så, seg, rundt, ., I, en, stue, satt, det, noen, og, leste, i, en, bok, og, det, ble, stille, straks, disse, tre, besøkende, hadde, sagt, sitt, navn, og, hva, de, gikk, i, ærend, for, ., 
, De, tre, herrene, var, litt, nysgjerrige, på, hva, her, foregikk, og, banket, på, den, åpne, ovnsdøren, ,, kikket, inn, i, flammeskjæret, og, bød, høflig, på, en, liten, skjefull, varme, ., Det, skal, sies, til, de, tre, herrenes, ros, at, de, var, ikke, vemmelige, ,, men, heller, ikke, særlig, vennlige, å, se, til, ., 
, Etter, en, stunds, nølende, og, usikker, betenkning, fra, de, besøkendes, side, ,, ble, de, tre, herrer, invitert, inn, -, i, en, stol, -, i, et]",INTJ PRON AUX DET NOUN SCONJ DET NUM NOUN ADP NOUN VERB ADP NOUN ADP DET ADJ PUNCT ADJ NOUN PUNCT ADP DET ADJ NOUN PRON ADV AUX ADJ ADP DET ADJ ADJ PUNCT SPACE PRON VERB PRON AUX VERB NOUN ADP NOUN ADP DET ADP DET ADJ NOUN ADP PROPN PROPN PUNCT ADJ VERB ADP PROPN PUNCT SPACE PRON VERB PRON CCONJ VERB PRON ADP PUNCT ADP DET NOUN VERB PRON PRON CCONJ VERB ADP DET NOUN CCONJ PRON AUX ADJ ADV DET NUM ADJ AUX VERB PRON NOUN CCONJ PRON PRON VERB ADP NOUN ADP PUNCT SPACE DET NUM NOUN AUX ADJ ADJ SCONJ PRON ADV VERB CCONJ VERB ADP DET ADJ NOUN PUNCT VERB ADP ADP NOUN CCONJ VERB ADJ ADP DET ADJ ADJ NOUN PUNCT PRON AUX VERB ADP DET NUM NOUN NOUN SCONJ PRON AUX PART ADJ PUNCT CCONJ ADV PART ADJ ADJ PART VERB ADP PUNCT SPACE ADP DET NOUN ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN PUNCT VERB DET NUM NOUN VERB ADP PUNCT ADP DET NOUN PUNCT ADP DET,0.04495747266099635,0.3697932816537464,178,823,0.601123595505618,0.2575478999436126
"[Ja, det, er, vel, egentlig, bare, å, gratulere, seg, seiv, og, alle, norske, politikere, ,, etter, at, man, har, funnet, ut, at, en, ny, E18, gjennom, Vestfold, bør, bygges, med, bom, stasjoner, på, utsiden, av, Skaugtvedtmarmorka, pellet, på, Gulli, ., I, og, med, at, de, nå, har, tenkt, å, bygge, en, tunnel, fra, Gulli, og, inn, til, Farris, ,, så, må, vel, det, også, være, en, bomme, ., En, bom, der, bommen, kan, bli, stående, for, å, kreve, inn, pengene, man, har, tenkt, å, bruke, til, vei, og, biltrafikk, ,, når, veien, med, alt, hva, den, vil, by, på, forhåpentligvis, kommer, en, gang, i, tiden, i, fremtiden, ., Jeg, tar, for, gitt, at, ikke, de, som, skal, betale, bommen, ,, for, en, av, landets, dårligste, veier, ,, skal, få, gratis, adgang, på, den, samme, veien, ,, eller, for, den, sak, skyld, kjøre, gratis, frem, til, neste, bomstasjon, ., Derfrå, og, videre, må, de, betale, sin, veiavgift, på, lik, linje, med, alle, andre, bilførere, ., Og, med, en, sånn, bompakke, ,, så, ligger, det, jo, til, rette, for, en, formidabel, handels]",INTJ PRON AUX ADV ADJ ADV PART VERB PRON ADJ CCONJ DET ADJ NOUN PUNCT SCONJ SCONJ PRON AUX VERB ADP SCONJ DET ADJ PROPN ADP PROPN AUX VERB ADP NOUN NOUN ADP NOUN ADP PROPN NOUN ADP PROPN PUNCT ADP CCONJ ADP SCONJ PRON ADV AUX VERB PART VERB DET NOUN ADP PROPN CCONJ ADP ADP PROPN PUNCT ADV AUX ADV PRON ADV AUX DET VERB PUNCT DET NOUN SCONJ NOUN AUX VERB ADJ SCONJ PART VERB ADP NOUN PRON AUX VERB PART VERB ADP NOUN CCONJ NOUN PUNCT SCONJ NOUN ADP PRON PRON PRON AUX VERB ADP ADV VERB DET NOUN ADP NOUN ADP NOUN PUNCT PRON VERB SCONJ ADJ SCONJ PART PRON PRON AUX VERB NOUN PUNCT ADP DET ADP NOUN ADJ NOUN PUNCT AUX VERB ADJ NOUN ADP DET DET NOUN PUNCT CCONJ ADP DET NOUN NOUN VERB ADJ ADP ADP DET NOUN PUNCT PROPN CCONJ ADJ AUX PRON VERB PRON NOUN ADP ADJ NOUN ADP DET DET NOUN PUNCT CCONJ ADP DET DET NOUN PUNCT ADV VERB PRON ADV ADP ADJ ADP DET ADJ NOUN,0.04393063583815029,0.3824754901960777,180,865,0.6277777777777778,0.3197229344948271
"[Så, var, det, duket, for, dagens, mest, oppsiktsvekkende, utspill, ., Han, vil, ha, bort, både, det, kommunale, ølmonopolet, og, rusbrus, ., -, Nå, må, vi, bare, komme, oss, ut, av, den, kommunale, øldvalen, ,, og, jeg, tar, til, orde, for, et, lokalt, øl-, og, vinmonopol, ., Det, er, flere, grunner, til, at, jeg, mener, et, slikt, monopol, er, veien, å, gå, ,, sa, Otnes, ., En, viktig, begrunnelse, er, at, det, vil, føre, til, at, alkoholtilgangen, ikke, er, så, lett, tilgjengelig, som, i, dag, ., Men, også, det, at, vin, må, importeres, og, dermed, blir, mye, dyrere, i, Norge, ,, vil, tale, for, et, monopol, ,, ifølge, KrF-politikeren, ., Han, mener, også, at, et, vinmonopol, vil, øke, omsetningen, og, gi, mer, stabile, åpningstider, ., -, Vinmonopolet, har, god, økono, misk, styring, ., Det, ligger, mye, god, kompetanse, bak, en, forsvarlig, drift, ,, sier, Otnes, ., 
, om, at, det, allerede, i, dag, er, mulig, for, en, kjøpmann, å, søke, om, å, ha, et, ølutsalg, i, tillegg, ., Det, er]",ADV AUX PRON VERB ADP NOUN ADJ ADJ NOUN PUNCT PRON AUX VERB ADP CCONJ DET ADJ NOUN CCONJ NOUN PUNCT PUNCT ADV AUX PRON ADV VERB PRON ADP ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADP NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT PRON VERB ADJ NOUN SCONJ SCONJ PRON VERB DET DET NOUN AUX NOUN PART VERB PUNCT VERB PROPN PUNCT DET ADJ NOUN AUX SCONJ PRON AUX VERB SCONJ SCONJ NOUN PART AUX ADV ADJ ADJ PRON ADP NOUN PUNCT CCONJ ADV PRON SCONJ NOUN AUX VERB CCONJ ADV VERB ADJ ADJ ADP PROPN PUNCT AUX VERB ADP DET NOUN PUNCT ADP NOUN PUNCT PRON VERB ADV SCONJ DET NOUN AUX VERB NOUN CCONJ VERB ADJ ADJ NOUN PUNCT PUNCT PROPN VERB ADJ NOUN ADJ NOUN PUNCT PRON VERB ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT VERB PROPN PUNCT SPACE SCONJ SCONJ PRON ADV ADP NOUN AUX ADJ ADP DET NOUN PART VERB SCONJ PART VERB DET NOUN ADP NOUN PUNCT PRON AUX,0.04645476772616137,0.3850455136540966,169,818,0.6272189349112426,0.3764199074037104
"[Det, var, som, vanlig, mange, blide, fjes, å, se, da, koret, i, år, hadde, lagt, opp, til, den, tradisjonelle, julefesten, i, Venneslahallen, lørdag, kveld, ., 
, Gjester, var, elever, fra, tredje, klasse, på, barneskolen, ,, så, jule, stemningen, var, på, topp, da, festdeltakerne, benket, seg, og, programmet, kunne, begynne, ., -, Det, er, litt, annerledes, å, være, rektor, her, enn, det, var, da, jeg, var, elev, i, Vennesla, ., Men, dette, er, veldig, hyggelig, ,, og, jeg, må, si, jeg, er, imponert, ,, sa, rek, tor, Tore, Flottorp, da, festgle, desropene, lød, fra, salen, ., Her, var, det, både, juleevangeliet, fremført, av, elevene, ,, korsang, av, koret, ,, utdeling, av, stjerner, og, medaljer, fra, Natteravnene, til, stolte, elever, og, servering, av, jule, tallerken, med, riskrem, til, slutt, ., Til, stede, var, også, Vennesla, kommunes, ordfører, Torhild, Bransdal, som, blant, annet, delte, ut, blomster, og, gaver, til, rektor, og, lærerstab, på, skolen, ., Hun, hadde, seiv, mange, minner, og, stunder, ved, skolen, i, Vennesla, .]",PRON AUX ADP ADJ ADJ ADJ NOUN PART VERB ADV NOUN ADP NOUN AUX VERB ADP ADP DET ADJ NOUN ADP PROPN NOUN NOUN PUNCT SPACE NOUN AUX NOUN ADP ADJ NOUN ADP NOUN PUNCT ADV NOUN NOUN AUX SCONJ NOUN SCONJ NOUN VERB PRON CCONJ NOUN AUX VERB PUNCT PUNCT PRON AUX ADJ ADJ PART AUX NOUN ADV SCONJ PRON AUX SCONJ PRON AUX NOUN ADP PROPN PUNCT CCONJ PRON AUX ADJ ADJ PUNCT CCONJ PRON AUX VERB PRON AUX ADJ PUNCT VERB PROPN PROPN PROPN PROPN SCONJ PROPN NOUN VERB ADP NOUN PUNCT ADV AUX PRON CCONJ NOUN VERB ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN CCONJ NOUN ADP PROPN ADP ADJ NOUN CCONJ NOUN ADP NOUN NOUN ADP NOUN ADP NOUN PUNCT ADP NOUN AUX ADV PROPN NOUN NOUN PROPN PROPN ADP ADP DET VERB ADP NOUN CCONJ NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT PRON AUX VERB ADJ NOUN CCONJ NOUN ADP NOUN ADP PROPN PUNCT,0.04342857142857143,0.3730266343825658,164,875,0.5304878048780488,0.22785407707092226
"[Det, er, ikkje, første, gong, dei, to, har, vore, i, same, sal, i, løpet, av, dei, siste, vekene, ., Kvifor, skulle, dei, ikkje, det, ?, Begge, har, gjort, eit, sterkt, inntrykk, på, alle, som, høyrde, på, ,, og, ingen, kan, vel, vere, i, tvil, om, at, her, er, det, snakk, om, ei, vekking, som, har, verknad, ., 
, —, Ei, vekking, som, dette, må, ein, verkeleg, ta, seg, tid, til, å, lytte, til, ., Vi, må, ikkje, gløyme, ,, for, å, nemne, ei, lita, strofe, ,, at, livet, er, ein, kamp, ., Og, det, har, noko, for, seg, å, ta, dette, i, bruk, for, den, som, ikkje, berre, vil, vinne, på, ytre, vis, ., 
, ein, del, menneske, har, den, hald, ninga, ., Dei, synest, den, skal, berre, døy, ut, ,, så, er, dei, ikkje, så, nøye, ., Det, er, dei, som, sit, på, toppen, av, samfunnet, som, er, verst, til, å, drive, med, den, slags, ., 
, seie, ;, har, du, først, blitt, frelst, så, berga, du, til, evig, tid, ., 
, Dette, er, det, viktigaste, for, de, m, :, å, følgje, opp, etter, møta, ,, å, sjå, at, dei, kan, få]",PRON AUX ADV ADJ X X NUM AUX X ADP X NOUN ADP NOUN ADP DET ADJ NOUN PUNCT ADV X X X PRON PUNCT PRON AUX VERB DET ADJ NOUN ADP PRON PRON VERB ADP PUNCT CCONJ PRON AUX ADV VERB ADP NOUN SCONJ SCONJ ADV AUX PRON NOUN ADP DET NOUN PRON VERB NOUN PUNCT SPACE PUNCT DET NOUN ADP PRON AUX X PROPN VERB PRON NOUN SCONJ PART VERB ADP PUNCT PRON VERB X X PUNCT ADP PART NOUN DET ADJ NOUN PUNCT SCONJ NOUN AUX ADJ NOUN PUNCT CCONJ PRON VERB NOUN ADP PRON PART VERB PRON ADP NOUN ADP PRON SCONJ X X AUX VERB ADP ADJ NOUN PUNCT SPACE ADJ NOUN NOUN VERB PRON NOUN NOUN PUNCT NOUN VERB PRON AUX ADV NOUN ADP PUNCT ADV AUX PRON X ADV ADJ PUNCT PRON AUX X X X ADP NOUN ADP NOUN PRON AUX ADJ SCONJ PART VERB ADP DET NOUN PUNCT SPACE NOUN PUNCT AUX PRON ADV AUX VERB ADV VERB PRON ADP ADJ NOUN PUNCT SPACE PRON AUX DET ADJ ADP DET NOUN PUNCT PART VERB ADP ADP NOUN PUNCT PART VERB SCONJ PROPN AUX VERB,0.04671717171717172,0.37983849259757774,193,792,0.694300518134715,0.36603180358026305
"[Kor, mange, prosent, vert, det, gjort, på, nynorsk, ?, Dei, lærarane, som, skal, retta, prøvene, ,, får, sjølvsagt, eit, svare, strev, ., Dei, tek, då, prøva, som, bokmål, og, rettar, ho, deretter, ,, utan, å, vita, at, ho, er, på, nynorsk, ., Ein, kan, aldri, rekna, med, å, få, ei, lærarinne, (, eg, tenkjer, no, ikkje, på, ho, som, rettar, ), til, å, ta, på, seg, arbeidet, ,, og, det, har, då, heller, ikkje, mykje, å, seia, om, ho, seier, det, vert, gjort, for, lite, på, båe, mål, ., Det, einaste, er, ,, at, ho, som, rettar, prøvene, ,, må, bruka, tida, til, slikt, arbeid, !, 
, Men, på, eit, møte, i, Vestlandske, Mållag, tala, målsmannen, for, Norsk, Språknemnd, ,, direktør, Liestøl, ,, imot, det, arbeidet, professor, Indrebø, hadde, gjort, med, dette, målblandingsspørsmå, let, ., Han, ville, ikkje, retta, prøva, då, ho, er, på, bokmål, og, ikkje, har, fått, retta, ho, på, nynorsk, ., Han, gav, dette, grunngjeving, :, «, Målblandingsspørsmå, let, må, løy]",ADV ADJ NOUN AUX PRON VERB ADP NOUN PUNCT X PROPN PRON AUX ADJ NOUN PUNCT VERB ADV PART X NOUN PUNCT X X X X ADP NOUN CCONJ PROPN PROPN ADV PUNCT PROPN PART PROPN SCONJ NOUN AUX ADP NOUN PUNCT X AUX ADV ADJ SCONJ PART VERB DET NOUN PUNCT X X X X ADP NOUN ADP NOUN PUNCT SCONJ PART VERB ADP PRON NOUN PUNCT CCONJ PRON AUX ADV X X X PART VERB ADP NOUN NOUN PRON ADJ VERB ADV ADJ ADP ADJ NOUN PUNCT DET ADJ AUX PUNCT SCONJ NOUN ADP VERB NOUN PUNCT AUX VERB NOUN ADP DET NOUN PUNCT SPACE CCONJ ADP DET NOUN ADP PROPN PROPN PROPN X ADP PROPN PROPN PUNCT NOUN PROPN PUNCT ADP DET NOUN NOUN PROPN AUX VERB ADP DET ADJ NOUN PUNCT PRON AUX X X X X X AUX ADP NOUN CCONJ ADV AUX VERB NOUN PROPN ADP NOUN PUNCT PRON VERB PRON NOUN PUNCT PUNCT PROPN X AUX VERB,0.05590851334180432,0.4001084010840092,164,787,0.6036585365853658,0.20846350893450452
"[Det, er, veldig, gledelig, at, den, nye, veien, til, Risør, og, Tvedestrand, endelig, er, i, ferd, med, å, materialisere, seg, ., 
, Det, er, også, svært, gledelig, at, nye, Veier, har, prioritert, ny, vei, til, Risør, ., Det, er, et, prosjekt, de, allerede, har, jobbet, med, i, mer, enn, 20, år, ., 
, Og, det, er, også, gledelig, at, et, nytt, stort, veiprosjekt, ser, dagens, lys, i, Tvedestrands, nabokommune, til, Arendal, ., 
, Så, får, vi, inderlig, håpe, at, også, den, nye, veien, til, Gjerstad, vil, få, et, godt, kommunalt, vedlikehold, ., 
, Det, er, velkjent, at, veiene, til, Risør, og, Tvedestrand, er, de, viktigste, veiene, i, Østre, Agder, ., Risør, og, Tvedestrand, er, viktige, handelssteder, –, samtidig, er, det, den, delen, av, østre, Agder, som, sterkest, er, i, vekst, ., Da, er, det, ganske, underlig, at, man, ikke, prioriterer, å, gjøre, veien, trygg, ,, og, at, de, to, viktigste, kommunene, i, østre, Agder, blir, satt, på, vent, på, et, prosjekt, som, har, vært, så, høyt, prioritert, i, mange, tiår, ., 
, Veien, har]",PRON AUX ADJ ADJ SCONJ DET ADJ NOUN ADP PROPN CCONJ PROPN ADJ AUX ADP NOUN SCONJ PART VERB PRON PUNCT SPACE PRON AUX ADV ADJ ADJ SCONJ ADJ NOUN AUX VERB ADJ NOUN ADP PROPN PUNCT PRON AUX DET NOUN PRON ADV AUX VERB ADP ADP ADJ ADP NUM NOUN PUNCT SPACE CCONJ PRON AUX ADV ADJ SCONJ DET ADJ ADJ NOUN VERB NOUN NOUN ADP PROPN NOUN ADP PROPN PUNCT SPACE ADV VERB PRON ADJ VERB SCONJ ADV DET ADJ NOUN ADP PROPN AUX VERB DET ADJ ADJ NOUN PUNCT SPACE PRON AUX ADJ SCONJ NOUN ADP PROPN CCONJ PROPN AUX DET ADJ NOUN ADP PROPN PROPN PUNCT PROPN CCONJ PROPN AUX ADJ NOUN PUNCT ADJ AUX PRON DET NOUN ADP ADJ PROPN PRON ADJ AUX ADP NOUN PUNCT ADV AUX PRON ADV ADJ SCONJ PRON PART VERB PART VERB NOUN ADJ PUNCT CCONJ SCONJ DET NUM ADJ NOUN ADP ADJ PROPN AUX VERB ADP VERB ADP DET NOUN PRON AUX AUX ADV ADJ ADJ ADP ADJ NOUN PUNCT SPACE NOUN VERB,0.046674445740956826,0.3784158415841592,174,857,0.5919540229885057,0.35702302271464814
