tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, noe, annet, ,, en, dyp, uro, som, ville, opp, i, ham, ., Han, strøk, det, ned, igjen, ,, men, det, forsvant, ikke, ., Det, hadde, ikke, noe, med, henne, å, gjøre, ,, det, bare, var, der, ., Noe, som, han, skulle, igjennom, og, som, han, syntes, måtte, skje, en, gang, ., Hun, var, så, langt, der, ute, i, tiden, ,, en, fjern, skikkelse, ., Det, hadde, vel, vært, noe, slikt, allerede, da, han, sto, utenfor, vinduet, og, så, henne, komme, ut, av, huset, med, vesken, i, hånden, ., En, uro, han, ikke, riktig, forsto, hva, var, ,, men, som, var, der, ., Noe, utenfor, dem, seiv, ,, noe, de, bare, skulle, gjennomleve, på, en, eller, annen, måte, ., Hva, er, det, ,, tenkte, han, forvirret, ., Jeg, kan, da, ikke, gjøre, det, ..., Nei, !, Noe, i, ham, hadde, sagt, nei, uten, at, han, visste, hva, det, var, ., Det, var, noe, ukjent, i, ham, som, sa, ja, ., Men, det, lå, der, og, ulmet, av, noe, som, han, ennå, ikke, kunne, få, tak, i, og, forklare, ., Og, slik, stod, han, der, igjen, med, en, nesten, desperat, følelse, av, at, dette, må, opp, og, frem, og, frem, ., Det, er, bare, et, spørsmål, om, å, gjøre, seg, fri]",CCONJ PRON VERB DET DET PUNCT DET ADJ NOUN PRON VERB ADP ADP PRON PUNCT PRON VERB PRON ADP ADV PUNCT CCONJ PRON VERB PART PUNCT PRON VERB PART PRON ADP PRON PART VERB PUNCT PRON ADV AUX ADV PUNCT PRON PRON PRON AUX ADP CCONJ PRON PRON VERB AUX VERB DET NOUN PUNCT PRON AUX ADV ADJ ADV ADP ADP NOUN PUNCT DET ADJ NOUN PUNCT PRON AUX ADV AUX DET PRON ADV SCONJ PRON VERB ADP NOUN CCONJ VERB PRON VERB ADP ADP NOUN ADP NOUN SCONJ NOUN PUNCT DET NOUN PRON PART ADJ VERB PRON AUX PUNCT CCONJ PRON AUX ADV PUNCT DET ADP PRON VERB PUNCT PRON PRON ADV AUX VERB ADP DET CCONJ DET NOUN PUNCT PRON AUX PRON PUNCT VERB PRON ADJ PUNCT PRON AUX ADV PART VERB PRON PUNCT INTJ PUNCT DET ADP PRON AUX VERB NOUN SCONJ SCONJ PRON VERB PRON PRON AUX PUNCT PRON AUX DET ADJ ADP PRON PRON VERB NOUN PUNCT CCONJ PRON VERB ADV CCONJ VERB ADP PRON PRON PRON ADV PART AUX VERB NOUN ADP CCONJ VERB PUNCT CCONJ ADV VERB PRON ADV ADV ADP DET ADV ADJ NOUN SCONJ SCONJ PRON AUX ADP CCONJ ADP CCONJ ADP PUNCT PRON AUX ADV DET NOUN SCONJ PART VERB PRON ADJ,0.038802660753880266,0.37432590855803044,212,902,0.75,0.41548138795434525
"[Det, var, ein, gong, to, ungar, som, budde, i, same, hytta, ., Om, sommaren, budde, dei, i, eit, rom, innanfor, hytta, ,, men, om, vinteren, budde, dei, i, eit, rom, utanfor, hytta, ., Den, første, vinteren, sov, ungane, i, hytta, ,, men, neste, vinter, sov, dei, utanfor, ,, til, stor, glede, for, foreldra, sine, ., Om, sommaren, kom, foreldra, ut, for, å, leike, med, dei, ,, og, om, vinteren, kom, barna, heim, igjen, når, foreldra, gjekk, ut, ., 
, Det, blir, fortalt, at, dei, blei, flinke, til, å, leike, om, vinteren, ,, og, dei, kunne, halde, på, med, ting, som, dei, ikkje, kunne, få, til, om, sommaren, ,, men, også, ting, dei, hadde, lært, gjennom, leiking, om, sommarkveldane, kunne, dei, lære, i, løpet, av, natta, om, vinteren, ., Men, i, byrjinga, var, dei, litt, urolege, av, seg, ,, for, foreldra, sa, at, dei, var, redde, for, å, fryse, i, hjel, ., 
, å, vere, saman, med, barna, sine, ., 
, avhengig, av, at, foreldra, var, nøgde, med, måten, dei, hadde, stelt, i, stand, sengene, ., 
, Eingong, for, lenge, ,, lenge]",PRON AUX X X X PROPN X VERB ADP X NOUN PUNCT ADP NOUN VERB PROPN ADP X NOUN ADP NOUN PUNCT CCONJ ADP NOUN VERB PROPN ADP X NOUN ADP NOUN PUNCT DET ADJ NOUN VERB PROPN ADP NOUN PUNCT CCONJ DET NOUN VERB PROPN ADP PUNCT ADP ADJ NOUN ADP PROPN PRON PUNCT ADP NOUN VERB NOUN ADP SCONJ PART VERB ADP NOUN PUNCT CCONJ SCONJ NOUN VERB NOUN ADP ADV SCONJ PROPN VERB ADP PUNCT SPACE PRON AUX VERB SCONJ X VERB ADJ SCONJ PART VERB ADP NOUN PUNCT CCONJ PROPN AUX VERB ADP ADP NOUN PRON X X AUX VERB ADP SCONJ NOUN PUNCT CCONJ ADV NOUN PRON AUX VERB ADP NOUN ADP PROPN AUX PRON VERB ADP NOUN ADP NOUN ADP NOUN PUNCT CCONJ ADP NOUN AUX PRON ADJ NOUN ADP PRON PUNCT CCONJ PROPN VERB SCONJ PROPN AUX ADJ SCONJ PART VERB ADP NOUN PUNCT SPACE PART VERB PROPN ADP NOUN PRON PUNCT SPACE ADJ SCONJ SCONJ PROPN AUX ADJ ADP NOUN PRON AUX VERB ADP NOUN NOUN PUNCT SPACE PROPN ADV ADJ PUNCT ADJ,0.038461538461538464,0.3629629629629634,181,832,0.5966850828729282,0.3206269141964201
"[Det, var, så, mye, hun, ville, utrette, ., Altfor, mye, ., Men, hun, måtte, ta, tiden, til, hjelp, ,, og, da, fikk, hun, finne, seg, i, å, komme, for, sent, ., Hun, som, skulle, bli, den, nye, Fru, Marina, og, bli, kjent, blant, de, fine, i, Christiania, ., 
, Det, var, med, blandede, følelser, hun, steg, om, bord, i, «, Fruentimmeret, », for, å, bli, fraktet, innover, i, landet, ,, og, hun, prøvde, å, stålsette, seg, mot, alle, de, menneskene, som, skulle, se, henne, og, snakke, med, henne, ,, for, en, uerfaren, og, bortkommen, pike, å, være, ., 
, «, Fruentimmeret, », tilhørte, velstandsfolkene, ., Eieren, var, en, av, byens, rikeste, grosserere, ,, og, han, hadde, bestemt, at, hun, skulle, innkvarteres, hos, en, eldre, kvinne, ., Hun, skulle, se, ut, som, et, ordentlig, fruentimmer, og, ikke, som, en, liten, jente, ., Når, hun, så, ned, i, dammen, som, samlet, seg, foran, føttene, hennes, ,, måtte, hun, ta, seg, sammen, for, ikke, å, tråkke, i, vannet, som, nesten, rakk, henne, til, anklene, ., Hun, så, seg, forundret, omkring]",PRON VERB ADV ADJ PRON AUX VERB PUNCT ADV ADJ PUNCT CCONJ PRON AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON VERB PRON SCONJ PART VERB ADV ADJ PUNCT PRON PRON AUX VERB DET ADJ PROPN PROPN CCONJ VERB VERB ADP DET ADJ ADP PROPN PUNCT SPACE PRON AUX ADP ADJ NOUN PRON VERB ADP NOUN ADP PUNCT PROPN PUNCT SCONJ PART AUX VERB ADP ADP NOUN PUNCT CCONJ PRON VERB PART VERB PRON ADP DET DET NOUN PRON AUX VERB PRON CCONJ VERB ADP PRON PUNCT ADP DET ADJ CCONJ NOUN NOUN PART VERB PUNCT SPACE PUNCT PROPN PUNCT VERB NOUN PUNCT NOUN AUX DET ADP NOUN ADJ NOUN PUNCT CCONJ PRON AUX VERB SCONJ PRON AUX VERB ADP DET ADJ NOUN PUNCT PRON AUX VERB ADP SCONJ DET ADJ NOUN CCONJ PART ADP DET ADJ NOUN PUNCT SCONJ PRON VERB ADP ADP NOUN PRON VERB PRON ADP NOUN PRON PUNCT AUX PRON VERB PRON ADV SCONJ PART PART VERB ADP NOUN PRON ADV VERB PRON ADP NOUN PUNCT PRON VERB PRON ADJ ADP,0.0448642266824085,0.37458646616541363,177,847,0.632768361581921,0.33749230552663856
"[Ja, det, var, en, gang, en, kjerring, .., ., For, lenge, ,, lenge, siden, bodde, det, en, rik, og, mektig, mann, oppe, i, ei, bygd, som, het, Tistedal, -, ved, bunnen, av, den, store, elva, Tista, ,, som, renner, ut, i, Iddefjorden, ved, Halden, ., Der, ligger, det, vesle, stedet, Tistedal, som, er, blitt, kjent, takket, være, den, vakre, Iddefjords-malmen, og, Borregaards, store, bruk, ved, utløpet, av, elven, ., 
, med, elva, -, akkurat, her, ., Og, ved, en, av, fossene, i, den, mektige, elva, lå, det, et, stort, jernverk, som, hadde, arbeid, til, mange, hundre, mann, ., Der, hadde, arbeidere, bodd, i, lange, tider, ., Men, nå, var, verket, nedlagt, og, hele, bygda, merket, av, de, tidene, da, hele, verden, var, i, full, og, voldsom, blomstring, ., 
, På, den, tida, var, det, at, denne, kjerringa, hadde, tre, smågutter, som, het, Olaf, ,, Håkon, og, Karl, Fredrik, ., 
, i, Tistedals-bygda, -, oppe, i, noen, bratte, bakker, ,, like, ved, et, digert, jorde, ., 
, Da, kona, i, huset, forsto, hva, de]",INTJ PRON AUX DET NOUN DET NOUN PUNCT PUNCT ADP ADJ PUNCT ADJ ADV VERB PRON DET ADJ CCONJ ADJ NOUN ADP ADP DET NOUN PRON VERB PROPN PUNCT ADP NOUN ADP DET ADJ NOUN PROPN PUNCT PRON VERB ADP ADP PROPN ADP PROPN PUNCT ADV VERB DET ADJ NOUN PROPN PRON AUX AUX VERB VERB AUX DET ADJ NOUN CCONJ PROPN ADJ NOUN ADP NOUN ADP NOUN PUNCT SPACE ADP NOUN PUNCT ADV ADV PUNCT CCONJ ADP DET ADP NOUN ADP DET ADJ NOUN VERB PRON DET ADJ NOUN PRON VERB NOUN ADP ADJ NOUN NOUN PUNCT ADV AUX NOUN VERB ADP ADJ NOUN PUNCT CCONJ ADV AUX NOUN VERB CCONJ ADJ NOUN VERB ADP DET NOUN SCONJ ADJ NOUN AUX ADP ADJ CCONJ ADJ NOUN PUNCT SPACE ADP DET NOUN AUX PRON SCONJ DET NOUN VERB NUM NOUN PRON VERB PROPN PUNCT PROPN CCONJ PROPN PROPN PUNCT SPACE ADP NOUN PUNCT ADP ADP DET ADJ NOUN PUNCT ADV ADP DET ADJ NOUN PUNCT SPACE SCONJ NOUN ADP NOUN VERB PRON PRON,0.048721071863580996,0.37834196891191724,173,821,0.5375722543352601,0.24504618109242554
"[Ja, det, er, vel, egentlig, bare, å, prøve, å, gi, opp, ,, eller, gi, etter, ?, Det, er, ikke, riktig, å, tvinge, frem, en, ny, måte, å, oppføre, seg, på, ., Vi, er, født, med, den, personligheten, vi, har, ,, vi, er, alle, forskjellig, og, du, fortjener, å, leve, livet, ditt, akkurat, på, den, måten, du, ønsker, ., Hva, som, passer, deg, ?, Det, er, så, godt, som, umulig, å, prøve, å, tvinge, frem, en, god, måte, å, være, på, ., Det, er, helt, klart, viktig, å, ikke, skade, seg, seiv, eller, andre, ,, men, da, må, du, slutte, å, skylde, på, deg, seiv, og, innse, at, du, ikke, kan, være, noe, annet, enn, akkurat, det, du, er, ,, du, må, akseptere, andre, slik, de, er, og, slutte, å, tro, at, du, kan, oppnå, noe, som, helst, ,, du, kan, ikke, være, den, beste, skuespilleren, som, går, i, hele, verden, ,, du, kan, ikke, bestemme, hvordan, andre, rundt, deg, skal, være, eller, hvilke, verdier, de, har, ..., det, høres, helt, patetisk, ut, når, jeg, skriver, det, ned, på, den, måten, her, ., Du, kommer, ingen, vei, ,, absolutt, ingen, vei, ., Du, må, bare, gi, deg, ., Gi, bort, kontrollen, og, la, verden, være, som, den, er, ., Den]",INTJ PRON AUX ADV ADJ ADV PART VERB PART VERB ADP PUNCT CCONJ VERB ADP PUNCT PRON AUX PART ADJ PART VERB ADP DET ADJ NOUN PART VERB PRON ADP PUNCT PRON AUX VERB ADP DET NOUN PRON VERB PUNCT PRON AUX DET ADJ CCONJ PRON VERB PART VERB NOUN PRON ADV ADP DET NOUN PRON VERB PUNCT PRON PRON VERB PRON PUNCT PRON AUX ADV ADJ ADP ADJ PART VERB PART VERB ADP DET ADJ NOUN PART AUX ADP PUNCT PRON AUX ADJ ADJ ADJ PART PART VERB PRON NOUN CCONJ DET PUNCT CCONJ ADV AUX PRON VERB PART VERB ADP PRON ADJ CCONJ VERB SCONJ PRON PART AUX AUX DET DET ADP ADV PRON PRON AUX PUNCT PRON AUX VERB DET ADV PRON AUX CCONJ VERB PART VERB SCONJ PRON AUX VERB PRON ADP ADV PUNCT PRON AUX PART AUX DET ADJ NOUN PRON VERB ADP ADJ NOUN PUNCT PRON AUX PART VERB ADV DET ADP PRON AUX VERB CCONJ DET NOUN PRON VERB PUNCT PRON VERB ADJ ADJ ADP SCONJ PRON VERB PRON ADP ADP DET NOUN ADV PUNCT PRON VERB DET NOUN PUNCT ADJ DET NOUN PUNCT PRON AUX ADV VERB PRON PUNCT VERB ADP NOUN CCONJ VERB NOUN AUX PRON PRON VERB PUNCT PRON,0.035869565217391305,0.3639035591274398,209,920,0.7177033492822966,0.4251391749284672
"[Så, var, det, den, vesle, prinsen, som, alltid, gikk, omkring, og, tenkte, på, hva, som, var, riktig, og, hva, som, var, riktig, Han, var, alltid, på, leting, etter, den, gylne, regel, ., Men, seiv, om, han, prøvde, ,, kunne, han, ikke, finne, den, ., 
, —, Hva, betyr, det, for, deg, ?, 
, -, Å, ,, jeg, kan, ikke, finne, den, gylne, regel, ,, svarte, han, ., -, Men, hvis, jeg, finner, den, ,, kan, den, kanskje, hjelpe, meg, til, å, finne, den, ., Hvem, vet, ?, 
, Fant, den, !, Slik, går, det, når, en, ikke, tenker, seg, grundig, nok, om, ., Det, er, ikke, alltid, det, er, nok, å, si, :, -, La, oss, følge, den, gylne, regel, ., En, må, tenke, seg, grundig, om, før, en, finner, ut, hva, den, egentlig, betyr, ., 
, Den, gylne, regel, er, ikke, slik, å, forstå, at, du, bare, skal, gjøre, det, som, er, riktig, !, Du, skal, seiv, finne, ut, !, 
, Du, skal, tenke, seiv, ,, sier, den, lille, prinsen, til, prinsessen, ., 
, Dessuten, er, de, voksne, ofte, ukloke, hvis, de, tror, at, barneoppdragelse, er, å, sette, grenser, og, forbud, som, om, de, alltid, kan, forutsi, hva, barna, føler]",ADV AUX PRON DET ADJ NOUN PRON ADV VERB ADP CCONJ VERB SCONJ PRON PRON AUX ADJ CCONJ PRON PRON AUX ADJ PRON AUX ADV ADP NOUN ADP DET ADJ NOUN PUNCT CCONJ NOUN SCONJ PRON VERB PUNCT AUX PRON PART VERB PRON PUNCT SPACE PUNCT PRON VERB PRON ADP PRON PUNCT SPACE PUNCT PART PUNCT PRON AUX PART VERB DET ADJ NOUN PUNCT VERB PRON PUNCT PUNCT CCONJ SCONJ PRON VERB PRON PUNCT AUX PRON ADV VERB PRON SCONJ PART VERB PRON PUNCT PRON VERB PUNCT SPACE VERB PRON PUNCT ADV VERB PRON SCONJ PRON PART VERB PRON ADJ ADV ADP PUNCT PRON AUX PART ADV PRON AUX ADV PART VERB PUNCT PUNCT VERB PRON VERB DET ADJ NOUN PUNCT PRON AUX VERB PRON ADJ ADP SCONJ PRON VERB ADP PRON PRON ADJ VERB PUNCT SPACE DET ADJ NOUN AUX PART ADV PART VERB SCONJ PRON ADV AUX VERB PRON PRON AUX ADJ PUNCT PRON AUX NOUN VERB ADP PUNCT SPACE PRON AUX VERB NOUN PUNCT VERB DET ADJ NOUN ADP NOUN PUNCT SPACE ADV AUX DET ADJ ADJ ADJ SCONJ PRON VERB SCONJ NOUN AUX PART VERB NOUN CCONJ NOUN SCONJ SCONJ PRON ADV AUX VERB PRON NOUN VERB,0.046349942062572425,0.3781818181818176,201,863,0.6517412935323383,0.3794265872822519
"[Det, var, som, å, ha, gjort, en, oppfinnelse, :, Jeg, hadde, funnet, en, måte, å, avlytte, og, dekode, disse, beskjedene, på, ., Det, var, som, om, de, ikke, lenger, ville, være, de, samme, —, om, de, ble, lest, for, første, gang, ,, ville, de, fremstå, som, uforståelige, ., Kanskje, de, ville, blitt, det, om, man, hadde, klart, å, knekke, dem, på, annen, måte, enn, ved, det, språket, som, var, blitt, brukt, i, de, skriftlige, dokumentene, og, manuskriptene, ., Med, min, avlyttingsmetode, ,, som, var, temmelig, enkel, å, lære, ,, og, som, man, kunne, bruke, uten, større, anstrengelse, ,, kunne, jeg, nå, avlytte, beskjeder, som, kom, gjennom, en, eller, annen, telefonlinje, ., Om, jeg, ville, ,, kunne, jeg, avlytte, hvem, som, helst, hele, døgnet, rundt, —, for, en, billig, penge, —, og, uten, anstrengelser, ., 
, Jeg, kunne, ikke, bruke, denne, metoden, før, jeg, var, sikker, på, at, det, ville, bli, mulig, å, dechiffere, den, også, ., Jeg, lærte, en, god, del, ,, på, den, tiden, ., Jeg, trente, opp, ørene, ,, øynene, og, ørene, jeg, allerede, hadde, ., Og, så, begynte, jeg, å]",PRON AUX ADP PART AUX VERB DET NOUN PUNCT PRON AUX VERB DET NOUN PART VERB CCONJ NOUN DET NOUN ADP PUNCT PRON AUX ADP SCONJ PRON PART ADJ AUX AUX DET DET PUNCT SCONJ PRON AUX VERB ADP ADJ NOUN PUNCT AUX PRON VERB SCONJ ADJ PUNCT ADV PRON AUX VERB PRON SCONJ PRON AUX VERB PART VERB PRON ADP DET NOUN ADP ADP DET NOUN PRON AUX AUX VERB ADP DET ADJ NOUN CCONJ NOUN PUNCT ADP PRON NOUN PUNCT PRON AUX ADV ADJ PART VERB PUNCT CCONJ PRON PRON AUX VERB ADP ADJ NOUN PUNCT AUX PRON ADV VERB NOUN PRON VERB ADP DET CCONJ DET NOUN PUNCT SCONJ PRON VERB PUNCT AUX PRON VERB PRON ADP ADV ADJ NOUN ADP PUNCT ADP DET ADJ NOUN PUNCT CCONJ ADP NOUN PUNCT SPACE PRON AUX PART VERB DET NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX VERB ADJ PART VERB PRON ADV PUNCT PRON VERB DET ADJ NOUN PUNCT ADP DET NOUN PUNCT PRON VERB ADP NOUN PUNCT NOUN CCONJ NOUN PRON ADV VERB PUNCT CCONJ ADV VERB PRON PART,0.040313549832026875,0.37601895734597096,183,893,0.6939890710382514,0.35909134092251566
"[Det, er, ikkje, så, mykje, dei, to, har, skrivi, saman, ,, men, nok, til, at, vi, skulle, tru, at, boka, vart, til, under, eit, samliv, ,, og, er, eit, vitnemål, om, samarbeid, i, tanke, og, dikting, ., 
, I, eit, innleiingskapittel, gjer, Hauge, greie, for, si, livslei, ,, sin, estetiske, innstilling, ,, korleis, han, vil, arbeide, i, «, skrifta, », ,, i, dikting, og, lesing, ., I, andre, delen, vender, han, attende, til, den, tidlege, diktinga, og, dei, første, versa, han, skreiv, i, «, Hardanger, », ,, og, legg, for, dagen, ei, sterk, kjensle, for, den, unge, diktaren, som, freista, seg, på, eigen, vågnad, :, 
, Han, har, skrive, det, han, har, sett, ,, og, det, han, har, tenkt, ., Og, er, det, ikkje, så, vi, alle, skulle, gjere, ?, 
, Høgt, over, og, under, himmelen, ,, og, i, dette, riket, vi, kallar, Jorda, ,, gjekk, livet, sin, gang, ., Her, går, solstrålane, dagleg, ut, i, sfærene, sine, på, leit, etter, sitt, eige, att, ., Og, liv, er, blitt, skapt, ,, og, liv, er, gått, til, grunne, i]",PRON AUX X ADV X PROPN NUM AUX VERB PROPN PUNCT CCONJ ADV SCONJ SCONJ PRON AUX VERB SCONJ NOUN VERB ADP ADP X NOUN PUNCT CCONJ AUX NOUN NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE ADP NOUN NOUN X PROPN NOUN ADP PRON NOUN PUNCT PRON ADJ NOUN PUNCT VERB PRON AUX VERB ADP PUNCT NOUN PUNCT PUNCT ADP NOUN CCONJ NOUN PUNCT ADP ADJ NOUN VERB PRON ADJ ADP DET X NOUN CCONJ DET ADJ NOUN PRON VERB ADP PUNCT PROPN PUNCT PUNCT CCONJ VERB ADP NOUN DET ADJ NOUN ADP DET ADJ NOUN PRON VERB PRON ADP PROPN NOUN PUNCT SPACE PRON AUX VERB PRON PRON AUX VERB PUNCT CCONJ PRON PRON AUX VERB PUNCT CCONJ AUX PRON X VERB PRON DET AUX VERB PUNCT SPACE NOUN ADP CCONJ ADP NOUN PUNCT CCONJ ADP DET NOUN PRON VERB X PUNCT VERB NOUN PRON NOUN PUNCT ADV VERB PROPN PROPN ADP ADP NOUN PRON ADP ADJ ADP PRON X X PUNCT CCONJ NOUN AUX AUX VERB PUNCT CCONJ NOUN AUX VERB ADP NOUN ADP,0.04596273291925466,0.3598412698412702,178,805,0.601123595505618,0.3227606041898642
"[Kor, mange, prosent, er, X, ?, 
, Av, oppgåvene, i, 7.-, klassane, skal, elevane, etter, Lgr, ., 69, nr., 3, a, og, b, rekna, ut, kor, mange, prosent, av, ein, del, tal, som, er, oppgjevne, ., 
, Døme, :, Ein, kjøpmann, vil, finna, ut, kor, stor, brøkdel, av, eit, vareparti, han, selde, for, kr., 500, på, ein, dag, er, av, salet, ., Han, selde, 5, av, varepartiet, ., Når, berre, 5, av, varepartiet, vart, selde, ,, er, brøkdelen, 5, av, det, heile, 100, %, =, 5, %, ., 
, Ein, kan, og, rekna, ut, kor, mange, prosent, 5, av, 100, er, ,, eller, ein, kan, rekna, ut, kor, mange, prosent, 5, hundredel, er, av, :, 100, %, ,, eller, ein, kan, rekna, ut, kor, mange, prosent, 5, hundredelar, er, :, 100, %, ,, eller, ein, kan, rekna, ut, kor, mange, prosent, 5, tusendelar, er, :, 100, %, ., Alle, desse, utrekningane, er, likeverdige, ,, bortsett, frå, at, utrekninga, av, %, alltid, må, gjerast, med, tre, sifra, brøk, ., 
, 18., Finn, tala, ., I, desse]",ADV ADJ NOUN AUX PROPN PUNCT SPACE ADP NOUN ADP NUM NOUN AUX NOUN ADP PROPN PUNCT NUM NOUN NUM ADJ CCONJ PROPN NOUN ADP ADV ADJ NOUN ADP ADJ X X PRON AUX NOUN PUNCT SPACE PROPN PUNCT X NOUN AUX VERB ADP ADV ADJ NOUN ADP PROPN NOUN PRON VERB ADP NOUN NUM ADP ADJ NOUN VERB ADP NOUN PUNCT PRON VERB NUM ADP NOUN PUNCT SCONJ ADV NUM ADP NOUN AUX NOUN PUNCT AUX NOUN NUM ADP DET ADJ NUM NOUN PUNCT NUM NOUN PUNCT SPACE X X CCONJ ADJ ADP ADV ADJ NOUN NUM ADP NUM AUX PUNCT CCONJ X AUX X ADP ADV ADJ NOUN NUM NOUN AUX ADP PUNCT NUM NOUN PUNCT CCONJ X AUX X ADP ADV ADJ NOUN NUM NOUN VERB PUNCT NUM NOUN PUNCT CCONJ X AUX X ADP ADV ADJ NOUN NUM NOUN VERB PUNCT NUM NOUN PUNCT DET PRON NOUN AUX ADJ PUNCT ADJ NOUN SCONJ NOUN ADP NOUN ADV AUX VERB ADP NUM NOUN NOUN PUNCT SPACE ADJ PROPN PROPN PUNCT ADP X,0.06515957446808511,0.4011095305832151,175,752,0.5257142857142857,0.14353882078104588
"[Det, er, veldig, lenge, siden, det, ble, trykt, en, norsk, ordliste, ., Dels, har, en, for, liten, tid, å, ofre, på, denne, viktige, del, av, arbeidet, ,, og, dels, er, en, redd, for, at, en, slik, ordliste, skal, bli, en, for, stor, belastning, for, de, lærvillige, ., Men, så, er, det, da, til, all, lykke, kommet, så, mye, nytt, stoff, inn, i, norsk, målbruk, i, mellomtida, —, av, nytt, og, av, gammelt, så, å, si, —, at, det, skulle, være, på, tide, å, komme, med, ei, ny, ordliste, ., Dels, har, en, kunnet, bruke, mye, av, det, stoff, som, foreligger, ,, og, dels, har, en, da, laget, dette, nye, —, som, på, de, aller, fleste, punkter, bygger, helt, ut, på, det, eksisterende, ordtilfanget, og, bare, foretar, en, del, tilføyelser, ., Denne, framgangsmåten, har, også, ført, med, seg, at, en, har, måttet, omarbeide, ganske, mye, av, det, stoffet, som, var, trykt, i, den, tidligere, ordlista, ., 
, Ordforrådet, i, dette, nye, bandet, ble, altså, valgt, ut, i, nøye, samarbeid, med, fagnemndene, i, Norges, Lærerlag, ,, Norsk, Lektorlag, ,, Studentmål]",PRON AUX ADJ ADJ SCONJ PRON AUX VERB DET ADJ NOUN PUNCT ADV AUX DET ADV ADJ NOUN PART VERB ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ ADV AUX DET ADJ SCONJ SCONJ DET DET NOUN AUX VERB DET ADV ADJ NOUN ADP DET ADJ PUNCT CCONJ ADV AUX PRON ADV ADP DET NOUN VERB ADV ADJ ADJ NOUN ADP ADP ADJ NOUN ADP NOUN PUNCT ADP ADJ CCONJ ADP ADJ ADV PART VERB PUNCT SCONJ PRON AUX AUX SCONJ NOUN PART VERB ADP DET ADJ NOUN PUNCT ADV AUX DET AUX VERB ADJ ADP DET NOUN PRON VERB PUNCT CCONJ ADV AUX PRON ADV VERB DET ADJ PUNCT ADP ADP DET ADV ADJ NOUN VERB ADJ ADP ADP DET ADJ NOUN CCONJ ADV VERB DET NOUN NOUN PUNCT DET NOUN AUX ADV VERB ADP PRON SCONJ PRON AUX AUX VERB ADV ADJ ADP DET NOUN PRON AUX VERB ADP DET ADJ NOUN PUNCT SPACE NOUN ADP DET ADJ NOUN AUX ADV VERB ADP ADP ADJ NOUN ADP NOUN ADP PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN,0.0389908256880734,0.3598784933171333,178,872,0.6910112359550562,0.26864803489912986
