tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, det, at, han, hadde, mistet, begge, hender, at, folket, ville, se, ham, fornedret, ,, men, også, at, han, var, blitt, ført, til, bøddelens, stol, ,, han, skulle, henrettes, ., Det, gikk, en, stor, tid, med, messe, og, andakt, og, bønn, for, den, døde, ., Tårer, tørret, av, hans, panne, ;, han, fikk, høre, at, han, var, utstøtt, av, kirken, og, at, hans, hus, var, blitt, spart, ., Men, det, ble, snart, slutt, på, den, lykke, ., Det, var, kommet, opp, i, en, krig, med, et, annet, rike, ,, mot, hvem, alle, hærer, i, verden, samlet, seg, ., Den, gamle, patriark, ble, kalt, hjem, ,, og, hele, folket, hyldet, ham, ., 
, Kirkefyrstinnen, kom, for, å, salve, hans, hode, og, sette, ham, i, en, annen, stol, ., Da, satte, han, hendene, for, ansiktet, ,, løftet, messeklærne, opp, over, pannen, og, bøyde, sitt, hode, ved, hjelp, av, kledet, ;, han, bad, inntrengende, til, de, guddommelige, engler, om, å, være, sin, død, til, hjelp, ., Men, han, gjorde, seg, ingen, anstrengelser, for]",CCONJ PRON AUX PART ADV PRON SCONJ PRON AUX VERB DET NOUN SCONJ NOUN AUX VERB PRON VERB PUNCT CCONJ ADV SCONJ PRON AUX AUX VERB ADP NOUN NOUN PUNCT PRON AUX VERB PUNCT PRON VERB DET ADJ NOUN ADP NOUN CCONJ NOUN CCONJ NOUN ADP DET ADJ PUNCT VERB NOUN ADP PRON NOUN PUNCT PRON AUX VERB SCONJ PRON AUX VERB ADP NOUN CCONJ SCONJ PRON NOUN AUX AUX VERB PUNCT CCONJ PRON VERB ADJ ADJ ADP DET NOUN PUNCT PRON AUX VERB ADP ADP DET NOUN ADP DET DET ADJ PUNCT ADP PRON DET NOUN ADP NOUN VERB PRON PUNCT DET ADJ NOUN AUX VERB ADP PUNCT CCONJ ADJ NOUN NOUN PRON PUNCT SPACE NOUN VERB SCONJ PART VERB PRON NOUN CCONJ VERB PRON ADP DET DET NOUN PUNCT ADV VERB PRON NOUN ADP NOUN PUNCT VERB NOUN ADP ADP NOUN CCONJ VERB PRON NOUN ADP NOUN ADP NOUN PUNCT PRON VERB ADJ ADP DET ADJ NOUN SCONJ PART AUX PRON NOUN ADP NOUN PUNCT CCONJ PRON VERB PRON DET NOUN ADP,0.040194884287454324,0.3686269430051819,174,821,0.6149425287356322,0.3061102083563273
"[Det, var, ein, del, uklarheitar, rundt, den, såkalla, «, budsjettposten, », innan, helsesek, toren, i, Hå, i, formannskapet, ons, dag, ., Det, handla, om, den, pos, ten, på, 1,5, millionar, kroner, som, skal, finansiera, nytt, utstyr, på, hei, mesjukepleien, ., Rådmannen, hadde, foreslått, ein, reduksjon, på, 500.000, kroner, ,, for, å, spara, pengar, på, dette, ., Det, var, særleg, dei, to, siste, åra, med, ein, meirforbruk, på, denne, posten, at, det, hadde, lege, til, grunn, for, forslag, om, reduksjon, ., Men, etter, forslag, frå, Ragnvald, Nilsen, (, Ap, ), ,, ville, formannskapet, heller, gå, inn, for, å, auka, posten, med, ein, halv, million, kroner, ,, for, å, nytta, pengane, til, nytt, utstyr, på, hei, mesjukepleien, ., Dette, skal, dek, kast, inn, ved, å, ompriorittera, midlar, frå, andre, viktige, sektorar, i, kommunen, ., Og, på, møtet, vart, det, altså, fleirtal, for, dette, ., 
, -, Saka, er, grei, og, eg, vil, på, det, sterkaste, støtte, Ragnvald, Nil, sen., Det, er, ei, fornuftig, og, ri, meleg, prioritering, av, pengane, innan]",PRON AUX ADJ NOUN NOUN ADP DET X PUNCT NOUN PUNCT PROPN ADJ NOUN ADP PROPN ADP NOUN ADP NOUN PUNCT PRON VERB ADP DET X X ADP NUM ADJ NOUN PRON AUX NOUN ADJ NOUN ADP X NOUN PUNCT NOUN AUX VERB PROPN NOUN ADP NUM NOUN PUNCT SCONJ PART PROPN PROPN ADP PRON PUNCT PRON AUX X X NUM ADJ NOUN ADP X NOUN ADP DET NOUN SCONJ PRON VERB NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT CCONJ ADP NOUN PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT AUX NOUN ADV VERB ADP SCONJ PART VERB NOUN ADP PROPN ADJ NOUN NOUN PUNCT SCONJ PART VERB PROPN ADP ADJ NOUN ADP X NOUN PUNCT PRON AUX VERB NOUN ADP SCONJ PART VERB PROPN PROPN DET ADJ NOUN ADP NOUN PUNCT CCONJ ADP NOUN VERB PRON ADV NOUN ADP PRON PUNCT SPACE PUNCT NOUN AUX ADJ CCONJ PRON AUX ADP DET ADJ NOUN PROPN PROPN PROPN PRON AUX DET ADJ CCONJ VERB NOUN NOUN ADP PROPN PROPN,0.0502283105022831,0.3918016928657801,168,876,0.5178571428571429,0.26592361934776393
"[Det, var, så, mye, mer, enn, en, flytrapp, ,, men, en, slik, som, henger, ved, siden, av, en, stor, trapp, opp, til, en, annen, bro, over, en, elv, som, renner, gjennom, byen, ., Det, var, sånn, en, kunne, føle, seg, lykkelig, ,, litt, sånn, når, alt, er, i, orden, ,, tenker, jeg, –, mens, min, gode, gamle, far, sitter, der, og, ser, på, meg, ,, og, jeg, spør, ham, :, Hvor, lenge, har, du, vært, ansatt, her, da, ,, far, ?, Nå, var, han, plutselig, litt, urolig, :, Han, hadde, vært, her, i, to, år, ,, så, han, regnet, seg, som, pensjonist, nå, ., Og, så, blir, min, far, sittende, og, tenke, med, seg, selv, :, Så, rart, å, tenke, på, at, i, morgen, skal, vi, ta, farvel, med, ham, ., 
, –, Folk, fra, alle, verdens, hjørner, kommer, hit, og, vi, er, et, hjem, for, dem, ., Mange, lever, hele, livet, sammen, med, oss, ., Og, så, har, vi, et, lite, sted, ute, på, landet, oppe, i, skogen, der, hvor, vi, lever, i, pakt, med, naturen, og, naturen, er, det, samme, for, oss, som, vann, er, det, for, dem, ., Jeg, har, stor, respekt, for, dem, jeg, arbeider, sammen, med, .]",PRON VERB ADV ADJ ADJ ADP DET NOUN PUNCT CCONJ DET ADV PRON VERB ADP NOUN ADP DET ADJ NOUN ADP ADP DET DET NOUN ADP DET NOUN PRON VERB ADP NOUN PUNCT PRON AUX ADV PRON AUX VERB PRON ADJ PUNCT ADJ ADV SCONJ PRON AUX SCONJ NOUN PUNCT VERB PRON PUNCT SCONJ PRON ADJ ADJ NOUN VERB ADV CCONJ VERB ADP PRON PUNCT CCONJ PRON VERB PRON PUNCT ADV ADJ AUX PRON AUX ADJ ADV ADV PUNCT NOUN PUNCT ADV AUX PRON ADJ ADJ ADJ PUNCT PRON AUX AUX ADV ADP NUM NOUN PUNCT CCONJ PRON VERB PRON SCONJ NOUN ADV PUNCT CCONJ ADV VERB PRON NOUN ADJ CCONJ VERB ADP PRON DET PUNCT ADV ADJ PART VERB SCONJ SCONJ ADP NOUN AUX PRON VERB NOUN ADP PRON PUNCT SPACE PUNCT NOUN ADP DET NOUN NOUN VERB ADV CCONJ PRON AUX DET NOUN ADP PRON PUNCT ADJ VERB ADJ NOUN ADV ADP PRON PUNCT CCONJ ADV VERB PRON DET ADJ NOUN ADP ADP NOUN ADP ADP NOUN SCONJ ADV PRON VERB ADP NOUN ADP NOUN CCONJ NOUN AUX DET DET ADP PRON SCONJ NOUN AUX PRON ADP PRON PUNCT PRON VERB ADJ NOUN ADP PRON PRON VERB ADV ADP PUNCT,0.0456140350877193,0.3712158808933001,202,855,0.693069306930693,0.36298557686710176
"[Ja, det, var, en, ny, form, for, skyting, du, var, ute, på, ?, Har, du, tenkt, over, konsekvensene, ?, Skyter, du, på, blink, er, det, iallefall, slik, at, blinkene, ikke, kommer, så, høyt, ., Dermed, blir, du, nødt, til, å, skyte, på, en, litt, annen, måte, for, at, det, skal, bli, treff, ., Når, det, gjelder, siktedybde, i, øvelsesform, og, skyteform, som, du, er, inne, på, er, det, vel, det, som, er, spørsmålet, for, oss, som, er, ferske, i, denne, skytter-sporten, ., Siktelinja, på, banene, varierer, ,, men, slik, jeg, vet, det, er, hos, dere, i, RBIK, ., ., 
, Har, ikke, fått, målt, siktedybde, i, form, av, skudd, ,, bare, i, øvelsesform, og, det, ble, vel, ca, 25, meter, for, meg, ., Jeg, har, hørt, at, skytterne, hadde, en, del, diskusjoner, rundt, dette, men, synes, da, det, var, greit, at, vi, andre, var, på, samme, side, ...., 
, Jeg, har, lest, innlegg, og, i, de, fleste, innlegg, som, er, i, denne, tråden, ,, blir, jeg, fortalt, i, en, bisetning, at, det, går, mye, i, at, det, er]",INTJ PRON AUX DET ADJ NOUN ADP NOUN PRON AUX ADP ADP PUNCT AUX PRON VERB ADP NOUN PUNCT VERB PRON ADP NOUN AUX PRON NOUN ADV SCONJ NOUN PART VERB ADV ADJ PUNCT ADV VERB PRON ADJ SCONJ PART VERB ADP DET ADJ DET NOUN SCONJ SCONJ PRON AUX VERB NOUN PUNCT SCONJ PRON VERB NOUN ADP NOUN CCONJ NOUN PRON PRON AUX ADP ADP AUX PRON ADV PRON PRON AUX NOUN ADP PRON PRON AUX ADJ ADP DET NOUN PUNCT NOUN ADP NOUN VERB PUNCT CCONJ ADV PRON VERB PRON VERB SCONJ PRON ADP PROPN PUNCT PUNCT SPACE AUX PART AUX VERB NOUN ADP NOUN ADP NOUN PUNCT ADV ADP NOUN CCONJ PRON VERB ADV ADV NUM NOUN ADP PRON PUNCT PRON AUX VERB SCONJ NOUN VERB DET NOUN NOUN ADP PRON CCONJ VERB SCONJ PRON AUX ADJ SCONJ PRON DET AUX SCONJ DET NOUN PUNCT SPACE PRON AUX VERB NOUN CCONJ ADP DET ADJ NOUN PRON AUX ADP DET NOUN PUNCT AUX PRON VERB ADP DET NOUN SCONJ PRON VERB ADJ SCONJ SCONJ PRON AUX,0.05036855036855037,0.3754509803921561,178,814,0.6853932584269663,0.3633291553746037
"[Ja, det, er, mye, som, er, forandret, siden, den, gang, ., Mange, som, ikke, er, like, oppdaterte, som, det, «, de, fleste, », synes, å, være, ., 
, Det, er, mange, som, har, fått, med, seg, at, vi, fikk, inn, en, mye, bedre, modell, ., Så, da, er, det, bare, å, håpe, på, at, den, er, ferdig, og, kommer, i, salg, ,, og, at, de, kommer, med, en, modell, man, har, mulighet, for, to, eller, flere, skjermer, samtidig, ., 
, Men, om, vi, skal, vente, så, lenge, som, en, drøy, uke, må, vi, ha, en, ny, utgave, av, både, den, gamle, og, den, nye, modellen, ., 
, Da, er, jeg, klar, til, å, gå, å, kjøpe, ny, TV, eller, skjerm, hvis, noen, har, så, gode, tilbud, som, det, sies, de, har, på, disse, produktene, ., 
, Men, jeg, kan, da, for, f, .., ikke, stå, å, se, på, at, de, lager, noe, som, ikke, er, en, forbedring, !, 
, Den, ene, nye, modellen, vil, ha, HD-SDI, eller, HD-THX-skjerm, ,, og, det, kan, bli, vanskelig, å, få, tak, i, da, disse, produsentene, ikke, lager, HD-skjermer, ,, og, ikke, vil, levere, disse, til, alle, sine, leverandører, som, lager, disse, skjermene]",INTJ PRON VERB ADJ PRON AUX VERB ADP DET NOUN PUNCT ADJ PRON PART AUX ADV ADJ SCONJ DET PUNCT DET ADJ PUNCT VERB PART VERB PUNCT SPACE PRON VERB ADJ PRON AUX VERB ADP PRON SCONJ PRON VERB ADP DET ADJ ADJ NOUN PUNCT CCONJ ADV AUX PRON ADV PART VERB SCONJ SCONJ PRON AUX ADJ CCONJ VERB ADP NOUN PUNCT CCONJ SCONJ PRON VERB ADP DET NOUN PRON VERB NOUN ADP NUM CCONJ ADJ NOUN ADJ PUNCT SPACE CCONJ SCONJ PRON AUX VERB ADV ADJ SCONJ DET ADJ NOUN AUX PRON VERB DET ADJ NOUN ADP CCONJ DET ADJ CCONJ DET ADJ NOUN PUNCT SPACE ADV AUX PRON ADJ SCONJ PART VERB PART VERB ADJ NOUN CCONJ NOUN SCONJ PRON VERB ADV ADJ NOUN PRON PRON VERB PRON AUX ADP DET NOUN PUNCT SPACE CCONJ PRON VERB ADV ADP ADP PUNCT PART VERB PART VERB SCONJ SCONJ PRON VERB PRON PRON PART AUX DET NOUN PUNCT SPACE DET NUM ADJ NOUN AUX VERB NOUN CCONJ NOUN PUNCT CCONJ PRON AUX VERB ADJ PART VERB NOUN SCONJ SCONJ DET NOUN PART VERB NOUN PUNCT CCONJ PART AUX VERB PRON ADP DET PRON NOUN PRON VERB DET NOUN,0.047674418604651166,0.3844389642416772,198,860,0.7121212121212122,0.4405460731171036
"[Så, var, det, tilbake, til, hverdagen, ,, denne, uken, har, det, stort, sett, bare, gått, i, ett, ., Jeg, har, vært, på, jobb, fra, 5, hver, morgen, før, skolen, ble, stengt, ., Det, er, ganske, hektisk, ., Jeg, må, si, at, etter, en, uke, med, hjemmekontor, var, det, godt, ., Man, kan, nesten, dra, nytte, av, at, jeg, ikke, har, tatt, buss, på, grunn, av, dårlig, kollektivtilhørighet, ,, er, godt, å, komme, seg, på, skolen, og, å, trene, litt, !, Nå, mangler, jeg, bare, en, uke, jobb, før, sommerferien, står, for, tur, !,  , Det, blir, utrolig, deilig, 🙂,  , Jeg, er, så, glad, i, jobben, min, og, det, er, så, morsomt, å, endelig, komme, tilbake, til, gamle, rutiner, ., Er, ikke, alltid, det, er, like, gøy, å, våkne, og, sitte, i, en, travel, butikk, ,, men, det, går, vel, fint, med, litt, mer, rolige, dager, .,  , Jeg, har, tatt, litt, bilder, og, planer, for, uken, som, kommer, ,, jeg, kommer, med, mer, oppdatering, senere, i, dag, og, de, fleste, bildene, er, fra, turen, med, mamma, og, Benny, ❤, 
, Vi, var, også, en, tur, på, stranda, i, går, og, det, var, utrolig, deilig]",ADV VERB PRON ADP ADP NOUN PUNCT DET NOUN AUX PRON ADJ VERB ADV VERB ADP NUM PUNCT PRON AUX AUX ADP NOUN ADP NUM DET NOUN SCONJ NOUN AUX VERB PUNCT PRON AUX ADV ADJ PUNCT PRON AUX VERB SCONJ ADP DET NOUN ADP NOUN AUX PRON ADJ PUNCT PRON AUX ADV VERB NOUN SCONJ SCONJ PRON PART AUX VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT AUX ADJ PART VERB PRON ADP NOUN CCONJ PART VERB ADJ PUNCT ADV VERB PRON ADV DET NOUN NOUN SCONJ NOUN VERB ADP NOUN PUNCT SPACE PRON VERB ADJ ADJ ADV SPACE PRON AUX ADV ADJ ADP NOUN PRON CCONJ PRON AUX ADV ADJ PART ADJ VERB ADP ADP ADJ NOUN PUNCT AUX PART ADV PRON AUX ADV ADJ PART VERB CCONJ VERB ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADV ADJ ADP ADJ ADJ ADJ NOUN PUNCT SPACE PRON AUX VERB ADJ NOUN CCONJ NOUN ADP NOUN PRON VERB PUNCT PRON VERB ADP ADJ NOUN ADJ ADP NOUN CCONJ DET ADJ NOUN AUX ADP NOUN ADP NOUN CCONJ PROPN NOUN SPACE PRON VERB ADV DET NOUN ADP NOUN ADP NOUN CCONJ PRON AUX ADJ ADJ,0.04540295119182747,0.3630769230769241,195,881,0.6615384615384615,0.3800018099045301
"[Det, var, som, vanlig, mange, som, deltok, på, høstfesten, ,, denne, gang, også, mange, nye, fjes, ., Og, de, var, godt, fornøyd, med, det, festarrangement, som, komiteen, hadde, avviklet, ., Her, var, alt, som, hører, til, ,, og, på, festen, ble, det, mange, fine, gevinster, ,, og, de, største, ble, gjenstand, for, stor, hyldest, ,, og, det, var, mange, som, fikk, sin, takk, og, hyllest, på, festen, og, som, kvitterte, for, den, til, slutt, med, å, være, med, på, sangen, «, Vekk, min, hunger, ., », —, Hermed, er, dette, innlegget, lukket, ,, og, det, samme, gjelder, for, den, tid, det, varte, ., Hilsen, til, slutt, :, Jeg, takker, for, frammøte, og, takker, festkomiteen, og, festens, gjester, og, alle, som, ytet, en, innsats, ved, underholdning, og, bevertning, ., ., 
, Søndre, Nesodden, pensjonistforening, i, Søndre, Skøyen, kapell, 18., okt., ★, ★, Vi, holdt, vårt, første, møte, etter, ferien, på, Nordre, Skøyen, Hovedgård, og, fikk, en, god, velkomst, av, «, husstyrets, formann, », ,, Sverre, Mellegård, ., Møtet, ble, åpnet, av, formannen, i, Søndre]",PRON AUX ADP ADJ ADJ PRON VERB ADP NOUN PUNCT DET NOUN ADV ADJ ADJ NOUN PUNCT CCONJ PRON AUX ADJ ADJ ADP DET NOUN PRON NOUN AUX VERB PUNCT ADV AUX PRON PRON VERB ADP PUNCT CCONJ ADP NOUN VERB PRON ADJ ADJ NOUN PUNCT CCONJ DET ADJ VERB NOUN ADP ADJ NOUN PUNCT CCONJ PRON VERB ADJ PRON VERB PRON NOUN CCONJ NOUN ADP NOUN CCONJ PRON VERB ADP PRON ADP NOUN SCONJ PART AUX ADP ADP NOUN PUNCT VERB PRON NOUN PUNCT PUNCT PUNCT PROPN AUX DET NOUN VERB PUNCT CCONJ DET DET VERB ADP DET NOUN PRON VERB PUNCT NOUN ADP NOUN PUNCT PRON VERB ADP NOUN CCONJ VERB NOUN CCONJ NOUN NOUN CCONJ PRON PRON VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT SPACE PROPN PROPN NOUN ADP PROPN PROPN NOUN ADJ PROPN SYM PUNCT PRON VERB PRON ADJ NOUN ADP NOUN ADP PROPN PROPN PROPN CCONJ VERB DET ADJ NOUN ADP PUNCT NOUN NOUN PUNCT PUNCT PROPN PROPN PUNCT NOUN AUX VERB ADP NOUN ADP PROPN,0.0489749430523918,0.38967430639324546,173,878,0.5375722543352601,0.27153148802122207
"[Det, er, ikkje, alltid, like, godt, a, veta, kva, som, er, rektig, ,, nar, ein, skal, setja, namn, pa, eit, bilete, som, teiknar, noko, som, mest, skulle, vera, ei, rettleiing, ., I, dei, seinare, ar, har, det, vore, ei, mengd, med, bilete, i, avisa, som, fortel, kva, for, noko, det, er, som, har, vore, med, 1, eller, kan, vera, med, 1, i, tevlinga, 1, —, sa, mangfaldige, at, det, nok, er, u, vanleg, for, ein, vanleg, lesar, a, finna, ein, stad, som, det, 1, —, og, med, det, kan, det, i, sanning, samanliknast, med, ein, del, 2, —, ein, er, van, med, a, sja, eit, bilete, der, og, eit, anna, der, som, ein, kunne, finna, eit, 1, for, dei, same, folk, 1, og, ein, kan, godt, vera, 1, I, tvil, om, det, var, 1, i, motsetnad, til, det, 2, som, kom, ., Men, i, biletet, til, Torunn, var, det, slett, ikkje, noko, 2, i, pa, i, det, heile, ., Det, var, berre, ein, prydnad, ,, det, var, slett, 1, ., Men, samstundes, 2]",PRON AUX ADV ADV ADV ADJ X X X PRON AUX ADJ PUNCT VERB X X X X X X X X PROPN X PRON ADJ AUX X DET NOUN PUNCT ADP PROPN PROPN PROPN VERB PRON X DET NOUN ADP NOUN ADP NOUN SCONJ X X X X PRON AUX PRON AUX X ADP NUM CCONJ AUX VERB ADP NUM ADP NOUN NUM PUNCT VERB ADJ SCONJ PRON ADV AUX PROPN PROPN ADP X X X X X X X SCONJ PRON NUM PUNCT CCONJ ADP PRON VERB PRON ADP NOUN NOUN ADP ADJ PROPN NUM PUNCT X X PROPN ADP PROPN X X NOUN ADV CCONJ X X X SCONJ X X VERB PROPN NUM ADP X ADJ NOUN NUM CCONJ NOUN AUX ADJ NOUN NUM ADP NOUN SCONJ PRON AUX NUM ADP NOUN ADP DET NUM PRON VERB PUNCT CCONJ ADP NOUN ADP PROPN AUX PRON ADJ X X NUM ADP PROPN ADP DET ADJ PUNCT PRON AUX X X NOUN PUNCT PRON AUX ADJ NUM PUNCT CCONJ VERB NUM,0.041891891891891894,0.33505065123010175,173,740,0.6763005780346821,0.25090410644885064
"[Kor, mange, prosent, av, dei, som, står, i, jobb, om, eitt, år, ,, vil, kome, frå, eit, land, som, Norge, ?, Kor, mange, prosent, vil, vere, arbeidslause, ,, og, kor, mange, prosent, av, dei, som, stod, i, jobb, ifjor, om, eitt, år, ,, vil, vere, ledige, om, tre, år, ?, Svaret, er, nok, både, ja, og, nei, ., Sjølv, med, dei, høge, oljeprisane, vi, har, hatt, dei, siste, åra, ,, er, det, i, høgste, grad, teneleg, å, vere, optimistisk, med, omsyn, til, utviklinga, i, næringslivet, ., Vi, har, ikkje, sett, toppen, på, kostnadsveksten, ,, den, vil, truleg, halde, fram, lenge, før, den, har, stoppa, opp, ., Den, høge, aktiviteten, fører, også, til, større, behov, for, å, kjøpe, norske, varer, og, tenester, ., Dette, er, heilt, klart, ei, utfordring, for, den, norske, økonomien, og, dermed, for, den, som, driv, med, eksport, ., Det, er, ikkje, slik, at, det, finst, ein, norsk, verdi, på, 0., Det, er, ein, norsk, verdi, å, produsere, ting, for, Noreg, ., I, tillegg, til, dette, ,, er, vi, også, som, eit, lite, land, avhengige, av, den, store, verdiutviklinga, i, andre, delar, av]",ADV ADJ NOUN ADP NOUN PRON VERB ADP NOUN ADP ADJ NOUN PUNCT AUX X X X NOUN ADP PROPN PUNCT ADV ADJ NOUN AUX VERB PROPN PUNCT CCONJ ADV ADJ NOUN ADP NOUN PRON VERB ADP NOUN ADV ADP X NOUN PUNCT AUX VERB ADJ ADP NUM NOUN PUNCT NOUN AUX ADV CCONJ NOUN CCONJ NOUN PUNCT PROPN ADP X X PROPN PRON AUX VERB DET ADJ NOUN PUNCT AUX PRON ADP ADJ NOUN PROPN PART VERB ADJ ADP NOUN ADP NOUN ADP NOUN PUNCT PRON AUX ADV VERB NOUN ADP NOUN PUNCT PRON AUX NOUN VERB ADP ADJ SCONJ PRON AUX VERB ADP PUNCT DET ADJ NOUN VERB ADV ADP ADJ NOUN SCONJ PART VERB ADJ NOUN CCONJ NOUN PUNCT PRON AUX ADJ ADJ DET NOUN ADP DET ADJ NOUN CCONJ ADV ADP PRON PRON VERB ADP NOUN PUNCT PRON AUX ADV ADV SCONJ X X X ADJ NOUN ADP NUM PRON AUX ADJ ADJ NOUN PART VERB NOUN ADP PROPN PUNCT ADP NOUN ADP PRON PUNCT VERB PRON ADV ADP DET ADJ NOUN ADJ ADP DET ADJ NOUN ADP DET NOUN ADP,0.03932584269662921,0.3686087990487503,185,890,0.6972972972972973,0.35573809482215274
"[Det, er, veldig, hyggelig, at, så, mange, har, ønsket, seg, et, eget, kapittel, som, tar, for, seg, denne, saken, og, dette, temaet, ., Siden, det, er, veldig, relevant, for, alle, som, jobber, med, denne, sektoren, som, helsefagarbeider, ,, lærling, ,, assistent, og, i, andre, stillinger, –, vil, jeg, ta, for, meg, kapittel, 7, for, å, vise, at, det, ikke, bare, er, et, lite, avsnitt, ,, men, også, en, hel, bok, !, Vi, har, mange, utfordringer, når, det, gjelder, rekruttering, til, helsearbeiderfaget, ., Det, er, ikke, nok, søkere, til, disse, stillingene, ,, og, vi, ser, også, at, det, ikke, er, nok, elever, til, å, opprettholde, linja, ., Det, er, stor, arbeidsledighet, der, ute, for, disse, dyktige, ungdommene, og, for, mange, av, de, som, har, tatt, steget, og, utdannet, seg, til, helsearbeider, de, siste, årene, er, dette, en, av, de, yrkene, de, ønsker, seg, aller, mest, ., Det, er, en, utrolig, bra, utdanning, ,, der, du, er, med, på, å, bygge, morgendagens, eldreomsorg, ,, men, også, å, kunne, hjelpe, mennesker, i, din, egen, oppvekst, ., Vi, ser, det, er, et, stort, behov, for, helsearbeidere, innenfor, eldreomsorg, ,, og, de, trenger, mer, kompetanse, ., Det]",PRON AUX ADJ ADJ SCONJ ADV ADJ AUX VERB PRON DET DET NOUN PRON VERB ADP PRON DET NOUN CCONJ DET NOUN PUNCT SCONJ PRON AUX ADJ ADJ ADP PRON PRON VERB ADP DET NOUN ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ ADP DET NOUN PUNCT AUX PRON VERB ADP PRON NOUN NUM SCONJ PART VERB SCONJ PRON PART ADV AUX DET ADJ NOUN PUNCT CCONJ ADV DET ADJ NOUN PUNCT PRON VERB ADJ NOUN SCONJ PRON VERB NOUN ADP NOUN PUNCT PRON AUX PART ADV NOUN ADP DET NOUN PUNCT CCONJ PRON VERB ADV SCONJ PRON PART AUX ADV NOUN SCONJ PART VERB NOUN PUNCT PRON VERB ADJ NOUN ADV ADP ADP DET ADJ NOUN CCONJ ADP ADJ ADP PRON PRON AUX VERB VERB CCONJ VERB PRON ADP NOUN DET ADJ NOUN AUX PRON DET ADP DET NOUN PRON VERB PRON ADV ADJ PUNCT PRON AUX DET ADJ ADJ NOUN PUNCT SCONJ PRON AUX ADP SCONJ PART VERB NOUN NOUN PUNCT CCONJ ADV PART AUX VERB NOUN ADP PRON DET NOUN PUNCT PRON VERB PRON AUX DET ADJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ NOUN PUNCT PRON,0.03360488798370672,0.3463236870310835,192,982,0.671875,0.45836590329078325
