tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, likevel, noen, som, virkelig, fortjente, ros, denne, kvelden, :, Hele, salen, satt, og, nynnet, med, når, «, Gamle, Svarten, », ,, spilt, på, trekkspill, av, Tor, Stokke, ,, fikk, siste, ver, set, ., At, den, gamle, godstuten, «, lå, til, », og, lyttet, til, det, som, ble, sunget, ,, sier, jo, sitt, om, det, varte, i, mange, timer, ,, og, det, er, det, jo, gjerne, når, det, sitter, folk, og, hører, så, pass, lenge, på, en, sang, ., Rent, meloditro, var, det, ikke, med, noen, av, dem, hel, ler, ,, men, den, ene, gjorde, jo, det, ,, en, som, sang, så, fint, at, man, nesten, forsto, det, var, noen, som, ikke, kunne, for, stå, alt, ., Nå, skal, det, så, lite, til, for, en, og, annen, å, bli, en, flink, visesanger, :, Man, tar, fatt, i, sangen, og, får, noen, strofer, så, er, man, «, on, the, point, », ., Det, fikk, denne, salen, også, høre, om, den, ene, etter, den, andre, av, de, unge, viste, seg, fra, sin, beste, side, under, arrangementet, ., Ikke, noe, rart, i, det, kanskje, ., Det, viser, bare]",CCONJ PRON VERB ADV PRON PRON ADJ VERB NOUN DET NOUN PUNCT ADJ NOUN VERB CCONJ VERB ADP SCONJ PUNCT PROPN PROPN PUNCT PUNCT VERB ADP NOUN ADP PROPN PROPN PUNCT VERB ADJ X X PUNCT SCONJ DET ADJ NOUN PUNCT VERB ADP PUNCT CCONJ VERB ADP PRON PRON AUX VERB PUNCT VERB ADV PRON SCONJ PRON VERB ADP ADJ NOUN PUNCT CCONJ PRON AUX PRON ADV ADV SCONJ PRON VERB NOUN CCONJ VERB ADV NOUN ADJ ADP DET NOUN PUNCT ADJ NOUN AUX PRON PART ADP DET ADP PRON ADJ VERB PUNCT CCONJ DET NUM VERB ADV PRON PUNCT PRON PRON VERB ADV ADJ SCONJ PRON ADV VERB PRON VERB PRON PRON PART AUX ADV VERB PRON PUNCT ADV AUX PRON ADV ADJ ADP ADP DET CCONJ DET PART VERB DET ADJ NOUN PUNCT PRON VERB ADV ADP NOUN CCONJ VERB DET NOUN ADV AUX PRON PUNCT X X X PUNCT PUNCT PRON VERB DET NOUN ADV VERB ADP DET NUM ADP DET ADJ ADP DET ADJ VERB PRON ADP PRON ADJ NOUN ADP NOUN PUNCT PART DET ADJ ADP PRON ADV PUNCT PRON VERB ADV,0.04767726161369193,0.3489466840052022,187,818,0.6470588235294118,0.27895085117912805
"[Det, var, ein, personbil, som, vart, stolen, ved, Høllandsfaret, på, Klepp, ., To, menn, har, forgått, seg, med, vald, ., Politiet, på, Klepp, tek, ut, på, ny, jakt, etter, dei, to, mannlege, valdsmennene, .,  , Det, var, ein, som, hadde, vore, og, henta, nokre, saker, for, dei, som, skulle, i, fest, ,, som, han, stal, med, seg, da, ., Dei, to, andre, hadde, kome, inn, for, å, vita, ., Då, tok, valdsmannen, fram, eit, knivleg, gande, ,, og, heldt, han, like, over, andletet, og, heldt, kniven, mot, hjarta, til, offeret, som, for, å, slå, ., Han, hadde, også, vore, innom, soverommet, hans, og, skadd, han, ., Vakta, fekk, tak, i, bilen, ,, og, kniven, vart, funne, og, tatt, i, forvaring, av, politiet, ., Dei, to, karane, vart, sitjande, i, arrest, i, natt, ., Det, er, uklart, om, dei, skal, ha, vore, på, staden, då, politiet, kom, til, staden, ,, el, ler, om, nokon, har, stelt, til, fest, på, staden, før, dei, slo, til, og, stal, bilen, .]",PRON AUX X NOUN PRON VERB NOUN ADP PROPN ADP PROPN PUNCT NUM NOUN AUX VERB PRON ADP NOUN PUNCT NOUN ADP PROPN NOUN ADP ADP ADJ NOUN ADP PROPN NUM NOUN NOUN PUNCT SPACE PRON AUX X PRON VERB X CCONJ VERB ADJ NOUN ADP PROPN PRON VERB ADP NOUN PUNCT PRON PRON PROPN ADP PRON ADV PUNCT PROPN NUM DET AUX VERB ADP SCONJ PART PROPN PUNCT ADV VERB NOUN ADP X PROPN NOUN PUNCT CCONJ VERB PRON ADV ADP NOUN CCONJ ADJ NOUN ADP NOUN ADP NOUN PRON SCONJ PART VERB PUNCT PRON AUX ADV AUX ADP NOUN PRON CCONJ VERB PRON PUNCT NOUN VERB NOUN ADP NOUN PUNCT CCONJ NOUN VERB X CCONJ VERB ADP NOUN ADP NOUN PUNCT PROPN X PROPN VERB ADJ ADP NOUN ADP NOUN PUNCT PRON AUX ADJ SCONJ PRON AUX AUX VERB ADP NOUN X NOUN VERB ADP NOUN PUNCT PROPN VERB SCONJ PROPN AUX VERB ADP NOUN ADP NOUN SCONJ PROPN VERB ADP CCONJ PROPN NOUN PUNCT,0.04155844155844156,0.36002773925104203,167,770,0.6167664670658682,0.23078612074396088
"[Det, var, så, godt, når, man, kunne, være, ferdig, med, det, ., Huden, i, ansiktet, var, så, ren, og, klar, etter, at, man, hadde, fått, renset, godt, ut, slik, at, man, så, ut, som, seg, selv, ,, ikke, mange, minuttene, etter, at, man, hadde, våknet, om, morgenen, ., Så, jeg, tenker, å, prøve, igjen, litt, senere, jeg, ., Og, jeg, har, jo, faktisk, vært, så, heldig, å, få, to, produkter, som, var, full, stappet, med, både, glow, og, fuktighetsgivende, egenskaper.og, det, må, selvsagt, prøves, ut, !, 
, Så, derfor, tenkte, jeg, at, en, aldri, så, liten, før, og, etter, bilde, skal, dere, få, se, og, høre, litt, om, ., 
, Jeg, startet, første, gangs, med, disse, to, produktene, :, 
, Mine, to, faste, som, har, blitt, med, meg, over, i, ny, fase, ., 
, Silk, Bath, –, Rengjøringsmousse, 
, En, av, de, første, jeg, skulle, teste, ,, var, denneog, så, da, ble, valget, mitt, denne, ., En, ren, og, glossy, mousse, m, /, glanseffekt, som, kommer, i, en, tube, som, er, lett, til, å, holde, den, i, ,, denne, måtte, jeg, ha, rett]",PRON AUX ADV ADJ SCONJ PRON AUX AUX ADJ ADP PRON PUNCT NOUN ADP NOUN AUX ADV ADJ CCONJ ADJ SCONJ SCONJ PRON AUX AUX VERB ADJ ADP ADV SCONJ PRON VERB ADP SCONJ PRON DET PUNCT PART ADJ NOUN SCONJ SCONJ PRON AUX VERB ADP NOUN PUNCT CCONJ PRON VERB PART VERB ADV ADJ ADJ PRON PUNCT CCONJ PRON AUX ADV ADJ AUX ADV ADJ PART VERB NUM NOUN PRON AUX ADJ VERB ADP CCONJ NOUN CCONJ ADJ PROPN PRON AUX ADJ VERB ADP PUNCT SPACE CCONJ ADV VERB PRON SCONJ PRON ADV ADV ADJ ADP CCONJ ADP NOUN AUX PRON AUX VERB CCONJ VERB ADJ ADP PUNCT SPACE PRON VERB ADJ ADV ADP DET NUM NOUN PUNCT SPACE PRON NUM ADJ PRON AUX VERB ADP PRON ADP ADP ADJ NOUN PUNCT SPACE PROPN PROPN PUNCT PROPN SPACE DET ADP DET ADJ PRON AUX VERB PUNCT AUX PRON SCONJ ADV VERB NOUN PRON PRON PUNCT DET ADJ CCONJ ADJ NOUN NOUN PUNCT NOUN PRON VERB ADP DET NOUN PRON AUX ADJ SCONJ PART VERB PRON ADP PUNCT PRON AUX PRON VERB NOUN,0.05066344993968637,0.3908205128205118,183,829,0.6939890710382514,0.17075048797272682
"[Ja, det, var, det, ., Ja, ., Det, er, mye, !, Lurer, du, nå, på, hva, jeg, har, brukt, det, siste, halve, året, på, eller, ikke, så, er, det, bare, å, klikke, bort, eller, på, ., Ja, ,, jeg, har, det, stort, sett, med, meg, over, alt, ., Det, er, ikke, noe, å, sette, fingern, på, ,, alt, stemmer, ., Det, er, bare, å, klikke, ., Her, har, jeg, en, stor, samling, av, diverse, utstyr, ., I, fjor, ble, det, for, mye, ,, så, det, skal, jeg, ha, tatt, bort, mest, mulig, ,, samt, fjernet, det, verste, som, minner, om, spionutstyr, eller, noe, sånt, fra, den, tiden, jeg, drev, med, denne, aktivitet, og, det, er, blitt, for, mye, av, det, gode, og, dette, vil, jeg, ha, bort, ., Det, er, helt, i, orden, det, ., Liker, du, ikke, samlingen, vil, du, ikke, merke, noe, mer, ., 
, Jeg, har, en, samling, av, bilder, og, annet, som, forteller, min, fortid, ., Det, vil, bli, delt, ut, masse, informasjon, om, meg, i, løpet, av, året, ., Jeg, har, satt, sammen, en, liten, samling, med, info, om, meg, ,, men, det, finnes, flere, ,, men, så, får, du, ha, meg, unnskyllt, at, jeg, lager, meg, så, mye, bråk, for, det, ., Om]",INTJ PRON AUX PRON PUNCT INTJ PUNCT PRON VERB ADJ PUNCT VERB PRON ADV SCONJ PRON PRON AUX VERB DET ADJ ADJ NOUN ADP CCONJ PART ADV AUX PRON ADV PART VERB ADP CCONJ ADP PUNCT INTJ PUNCT PRON VERB PRON ADJ VERB ADP PRON ADP PRON PUNCT PRON VERB PART PRON PART VERB NOUN ADP PUNCT PRON VERB PUNCT PRON AUX ADV PART VERB PUNCT ADV VERB PRON DET ADJ NOUN ADP ADJ NOUN PUNCT ADP NOUN VERB PRON ADV ADJ PUNCT CCONJ PRON AUX PRON AUX VERB ADP ADJ ADJ PUNCT CCONJ VERB DET ADJ PRON VERB ADP NOUN CCONJ DET DET ADP DET NOUN PRON VERB ADP DET NOUN CCONJ PRON AUX VERB ADV ADJ ADP DET ADJ CCONJ PRON AUX PRON VERB ADP PUNCT PRON AUX ADJ ADP NOUN PRON PUNCT VERB PRON PART NOUN AUX PRON PART VERB DET ADJ PUNCT SPACE PRON VERB DET NOUN ADP NOUN CCONJ DET PRON VERB PRON NOUN PUNCT PRON AUX AUX VERB ADP ADJ NOUN ADP PRON ADP NOUN ADP NOUN PUNCT PRON AUX VERB ADV DET ADJ NOUN ADP NOUN ADP PRON PUNCT CCONJ PRON VERB ADJ PUNCT CCONJ ADV AUX PRON VERB PRON ADJ SCONJ PRON VERB PRON ADV ADJ NOUN ADP PRON PUNCT ADP,0.03837471783295711,0.36776583034647636,209,886,0.7416267942583732,0.294167710732408
"[Ja, det, er, som, å, høre, ham, på, radio, :, Det, var, et, lite, øyeblikk, i, sommer, med, sol, ,, og, så, begynte, regnet, ...., ., 
, Det, er, jo, ikke, godt, å, si, når, dette, regnet, tar, slutt, :, Noen, sier, september, andre, tror, det, kan, være, august, allerede, ,, ja, sånn, i, tillegg, til, at, det, jo, ikke, regner, ,, men, kommer, litt, i, dag, heller, ., Det, gjelder, vel, å, satse, på, å, beholde, skinnet, på, hue, og, at, værgudene, følger, sitt, eget, mønster, !, Ikke, så, lett, å, se, for, seg, for, øyeblikket, !, 
, Helge, :, Ikke, noe, rart, i, at, du, vil, satse, på, skinnet, ditt, du, nå, da, !, Jeg, er, glad, jeg, slipper, å, se, ut, slik, du, gjør, ,, for, det, er, slett, ikke, noe, vakkert, syn, nå, ., 
, Hei, !, Har, ikke, så, mye, vettugt, å, komme, med, ,, men, jeg, følger, litt, med, på, værutviklingen, .., Men, jeg, har, ikke, sett, noe, til, regn, ..., Men, blir, det, ikke, bedre, til, uken, kan, det, jo, hende, det, blir, noen, dager, med, skikkelig, gråvær, .., Ha-ha, :-)), 
, Bjørg, 47, :, Ja, ,, vi, kan]",INTJ PRON AUX ADP PART VERB PRON ADP NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ ADV VERB NOUN PUNCT PUNCT SPACE PRON AUX ADV PART ADJ PART VERB SCONJ PRON NOUN VERB NOUN PUNCT PRON VERB NOUN DET VERB PRON AUX AUX NOUN ADV PUNCT INTJ ADV ADP NOUN SCONJ SCONJ PRON ADV PART VERB PUNCT CCONJ VERB ADJ ADP NOUN ADV PUNCT PRON VERB ADV PART VERB SCONJ PART VERB NOUN ADP NOUN CCONJ SCONJ NOUN VERB PRON DET NOUN PUNCT PART ADV ADJ PART VERB ADP PRON ADP NOUN PUNCT SPACE PROPN PUNCT PART DET ADJ SCONJ SCONJ PRON AUX VERB ADP NOUN PRON PRON ADV ADV PUNCT PRON AUX ADJ PRON VERB PART VERB ADP ADV PRON VERB PUNCT CCONJ PRON AUX ADJ PART DET ADJ NOUN ADV PUNCT SPACE INTJ PUNCT VERB PART ADV ADJ ADJ PART VERB ADP PUNCT CCONJ PRON VERB ADJ ADP ADP NOUN PUNCT CCONJ PRON AUX PART VERB PRON ADP NOUN PUNCT CCONJ VERB PRON PART ADJ ADP NOUN AUX PRON ADV VERB PRON VERB DET NOUN ADP ADJ NOUN PUNCT INTJ X SPACE PROPN NUM PUNCT INTJ PUNCT PRON AUX,0.049338146811071,0.38173913043478264,196,831,0.6632653061224489,0.2795758334842499
"[Så, var, det, ikke, mer, å, velge, i, på, denne, fronten, ., Men, heldigvis, har, de, noen, knallgode, middagstips, på, lur, ., Men, det, er, en, ting, jeg, syns, alle, oppskrifter, skal, inneholde, –, og, det, er, hjemmelaget, rødvinsaus, ., Den, lager, du, ved, å, koke, inn, 1, kg, hakket, rødvin, og, to, hakkede, løk, og, litt, hvitløk, (, jeg, brukte, 4, fedd, ), til, en, tjukk, suppe, ,, i, en, kjele, sammen, med, litt, grønnsakbuljong, ., Kok, så, inn, litt, mer, vin, (, uten, løk, ), og, tilsett, hakket, ansjosfileter, ., Slå, av, plata, ,, men, la, den, stå, og, småputre, til, den, blir, redusert, til, ca, halvparten, ., Server, med, et, par, never, kruspersille, og, godt, brød, ., 
, du, er, ikke, alene, om, å, mene, at, det, kan, bli, for, tidlig, å, sitte, på, lesesalen, og, vente, på, at, klokka, skal, bli, ni, på, tirsdag, morgen, når, semesteret, begynt, ,, men, det, er, kanskje, greit, å, få, unna, litt, lesing, nå, ., Selv, om, jeg, ikke, skal, være, i, gang, for, fullt]",ADV VERB PRON PART ADJ PART VERB ADP ADP DET NOUN PUNCT CCONJ ADV VERB PRON DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET NOUN PRON VERB DET NOUN AUX VERB PUNCT CCONJ PRON AUX NOUN NOUN PUNCT PRON VERB PRON SCONJ PART VERB ADP NUM NOUN NOUN NOUN CCONJ NUM ADJ NOUN CCONJ ADJ NOUN PUNCT PRON VERB NUM NOUN PUNCT ADP DET ADJ NOUN PUNCT ADP DET NOUN ADV ADP ADJ NOUN PUNCT VERB ADV ADP ADJ ADJ NOUN PUNCT ADP NOUN PUNCT CCONJ X NOUN NOUN PUNCT NOUN ADP NOUN PUNCT CCONJ VERB PRON VERB CCONJ NOUN SCONJ PRON AUX VERB ADP ADV NOUN PUNCT NOUN ADP DET NOUN ADV ADJ CCONJ ADJ NOUN PUNCT SPACE PRON AUX PART ADV SCONJ PART VERB SCONJ PRON AUX VERB ADV ADJ PART VERB ADP NOUN CCONJ VERB SCONJ SCONJ NOUN AUX VERB NUM ADP NOUN NOUN SCONJ NOUN VERB PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADJ NOUN ADV PUNCT ADV SCONJ PRON PART AUX AUX ADP NOUN ADP ADJ,0.04702970297029703,0.38303030303030244,175,808,0.5942857142857143,0.22592190705586784
"[Det, var, som, om, jeg, kom, litt, ned, på, jorden, igjen, ,, sa, den, unge, kvinnen, som, forleden, skulle, betale, for, bilen, sin, i, en, forretning, i, Oslo, ., Belegget, på, disken, ble, for, tammt, av, seg, ,, og, bilselgeren, måt, te, tilkalle, noen, til, hjelp, fra, «, Oslo, bilservice, », .,  , Den, unge, kvinnen, hadde, vært, så, fortvilet, i, det, siste, ,, at, det, var, vanskelig, for, henne, at, hun, skulle, betale, den, prisen, han, forlangte, ., Det, er, vel, ikke, riktig, ,, sa, bil, selgeren, da, den, unge, tok, opp, spørsmålet, om, ikke, de, heller, skulle, gå, i, banken, og, ta, opp, et, billån, ., Jo, ,, det, vil, gjøre, slemme, streker, av, meg, ,, hvis, jeg, ikke, får, tak, i, et, billån, på, dagen, ,, svarte, den, unge, piken, med, dårlig, sam, vittighet, .,  , Men, hvordan, skulle, han, få, det, da, ?, Han, er, jo, bare, 18, år, gammel, ,, sa, den, fortvilte, bilselgeren, .,  , Hva, tenker, han, å, gjøre, ?, Skal, vi, ikke, ha, billån, eller, må, vi, ?, Det, spiller, ingen, rolle, ,, sa, den, unge, kvinn]",PRON AUX ADP SCONJ PRON VERB ADJ ADP ADP NOUN ADV PUNCT VERB DET ADJ NOUN PRON ADJ AUX VERB ADP NOUN PRON ADP DET NOUN ADP PROPN PUNCT NOUN ADP NOUN VERB ADP NOUN ADP PRON PUNCT CCONJ NOUN X NOUN VERB PRON ADP NOUN ADP PUNCT PROPN X PUNCT PUNCT SPACE DET ADJ NOUN AUX AUX ADV ADJ ADP DET ADJ PUNCT SCONJ PRON AUX ADJ ADP PRON SCONJ PRON AUX VERB DET NOUN PRON VERB PUNCT PRON AUX ADV PART ADJ PUNCT VERB NOUN NOUN SCONJ DET ADJ VERB ADP NOUN ADP PART PRON ADV AUX VERB ADP NOUN CCONJ VERB ADP DET NOUN PUNCT INTJ PUNCT PRON AUX VERB ADJ NOUN ADP PRON PUNCT SCONJ PRON PART VERB NOUN ADP DET NOUN ADP NOUN PUNCT VERB DET ADJ NOUN ADP ADJ PROPN NOUN PUNCT SPACE CCONJ ADV AUX PRON VERB PRON ADV PUNCT PRON AUX ADV ADV NUM NOUN ADJ PUNCT VERB DET ADJ NOUN PUNCT SPACE PRON VERB PRON PART VERB PUNCT AUX PRON PART VERB NOUN CCONJ VERB PRON PUNCT PRON VERB DET NOUN PUNCT VERB DET ADJ NOUN,0.04665071770334928,0.3927318932655658,185,836,0.5891891891891892,0.2315191795596898
"[Det, er, ikkje, mogleg, å, drive, handel, med, dei, store, selskapa, i, verda, utan, subsidier, ., Det, er, i, alle, fall, det, eg, held, fast, ved, ,, seier, Slinde, ., -, Me, fekk, inn, ein, del, klager, og, fekk, ein, del, folk, i, klagenemnda, til, å, ta, ein, tur, for, å, kontrollere, kva, dei, kunne, få, i, støtte, ., Det, tok, litt, tid, ,, men, då, kom, me, i, mål, ., Men, dei, som, er, i, klageten, den, har, fått, fullt, oppgjev, frå, oss, for, å, få, utbyte, på, dei, ,, forklarer, han, vidare, ., Men, han, vedgår, at, det, er, ein, del, av, dei, som, har, eit, ord, med, i, laget, og, må, ta, ein, dugnad, ., -, Det, blir, ei, vurdering, når, ein, ser, korleis, ein, skal, gjere, det, ,, seier, han, ., Også, ein, av, dei, største, medlemene, ,, som, var, den, første, som, var, inne, på, nettsida, ,, fekk, ei, utfordring, ., Slinde, hadde, tidlegare, vore, inne, på, ei, bestillingsside, for, å, kjøpe, eit, bilhjul, ,, der, det, var, mange, bilar, som, var, med, i, bestillinga, ., -, Men, når, ein, går, inn, på, sida, og, skriv, inn]",PRON AUX X PROPN PART VERB NOUN ADP PROPN ADJ NOUN ADP PROPN PROPN NOUN PUNCT PRON AUX ADP DET NOUN DET X X ADJ ADP PUNCT NOUN PROPN PUNCT PUNCT X VERB ADP ADJ NOUN NOUN CCONJ VERB PROPN NOUN NOUN ADP PROPN SCONJ PART VERB ADJ NOUN SCONJ PART VERB NOUN PROPN AUX VERB ADP NOUN PUNCT PRON VERB ADJ NOUN PUNCT CCONJ X VERB X ADP NOUN PUNCT CCONJ NOUN PRON AUX ADP NOUN PRON AUX VERB ADJ NOUN NUM PRON SCONJ PART VERB PROPN ADP PROPN PUNCT VERB PRON PROPN PUNCT CCONJ PRON VERB SCONJ PRON AUX ADJ NOUN ADP NOUN PRON VERB DET NOUN ADP ADP NOUN CCONJ AUX VERB ADJ NOUN PUNCT PUNCT PRON VERB DET NOUN SCONJ X X X X AUX VERB PRON PUNCT NOUN PRON PUNCT ADV PROPN ADP DET ADJ NOUN PUNCT PRON AUX DET ADJ PRON AUX ADP ADP NOUN PUNCT VERB DET NOUN PUNCT PROPN VERB PROPN PROPN ADP ADP DET NOUN SCONJ PART VERB PART NOUN PUNCT SCONJ PRON VERB ADJ NOUN PRON AUX ADP ADP NOUN PUNCT PUNCT CCONJ SCONJ PROPN VERB ADP ADP NOUN CCONJ VERB ADP,0.03664302600472813,0.3639648682559602,192,846,0.6979166666666666,0.35732832507048795
"[Kor, mange, prosent, ekstra, vil, det, kosta, for, å, driva, med, pelsdyr, ,, vil, bondelaget, vita, -, Bondebladet, 
, Økonomiprofessor, Kjell, Arne, Røvik, meiner, ei, samla, regjering, ikkje, står, bak, kravet, til, bøndene, om, auka, inntektsgjevande, investeringar, ., 
, Heller, ikkje, regjeringspartia, støttar, kravet, frå, bondelaget, ,, og, dermed, blir, det, opp, til, pelsdyrbøndene, sjølve, om, dei, vil, betala, ned, meir, gjeld, ,, skriv, Nationen, ., 
, Kommentaren, frå, statssekretær, Reynir, Johannesson, i, Landbruks-, og, matdepartementet, og, den, nasjonale, pelsmeldingen, slår, fast, at, den, samla, gjeldsbyrda, skal, ned, på, nivå, med, inntektsnivået, ved, det, som, ein, opphavleg, såg, føre, seg, ., Det, vil, i, praksis, seia, at, bøndene, må, innføra, ei, tilleggsrente, i, forhold, til, det, dei, har, per, i, dag, for, å, kunna, betala, ned, dyrare, ., Med, ein, rente, på, over, 8, %, skal, det, svi, litt, for, bøndene, ., Men, det, vil, bli, ei, ekstrabelastning, for, dei, som, måtte, velja, å, slutt]",ADV ADJ NOUN ADJ AUX PRON VERB SCONJ PART VERB ADP NOUN PUNCT AUX PROPN PROPN PUNCT PROPN SPACE NOUN PROPN PROPN PROPN VERB DET X NOUN X VERB ADP NOUN ADP NOUN ADP PRON ADJ PROPN PUNCT SPACE ADV X NOUN VERB NOUN PROPN NOUN PUNCT CCONJ ADV VERB PRON ADP ADP NOUN ADJ SCONJ NOUN AUX VERB ADP PROPN NOUN PUNCT VERB PROPN PUNCT SPACE NOUN PROPN NOUN PROPN PROPN ADP PROPN CCONJ NOUN CCONJ DET ADJ NOUN VERB ADJ SCONJ DET X X VERB ADP ADP NOUN ADP NOUN ADP PRON ADP X PROPN VERB VERB PRON PUNCT PRON AUX ADP NOUN NOUN SCONJ NOUN AUX NOUN DET NOUN ADP NOUN ADP PRON PRON VERB ADP ADP NOUN SCONJ PART X X ADP ADJ PUNCT ADP X NOUN ADP ADP NUM NOUN AUX PRON VERB ADJ ADP NOUN PUNCT CCONJ PRON AUX VERB DET NOUN ADP PRON PRON AUX ADJ PART VERB,0.04833141542002301,0.3853658536585364,155,869,0.535483870967742,0.16428031276816807
"[Det, er, veldig, kjekt, å, få, besøk, ., Det, syns, barna, i, alle, fall, på, Sandved, ., Som, alltid, da, det, var, bursdager, ., Barna, i, Sandved, barnehage, var, klare, for, å, åpne, pakke, kassen, sin, denne, ettermiddagen, ,, og, med, sang, av, bursdagssangen, ,, ble, barna, skikkelig, med, i, samlingsstund, ., Det, er, ikke, alltid, så, lett, å, åpne, en, pakke, med, fem, ting, i, som, man, bare, skal, ha, litt, av, hver, gang, ., Men, det, går, ganske, greit, når, en, kan, lese, seg, fram, til, hvilken, ting, den, enkelte, har, fått, ., Så, var, de, klar, i, en, fei, ., Nå, er, barnehagen, fylt, av, glade, barns, latter, og, spenning, ., Men, også, denne, morgenen, er, det, en, av, de, store, som, har, bursdag, ,, og, må, lage, bursdagssang, for, sin, store, bursdag, ,, for, bursdagsbarnet, vet, at, hun, kan, ta, seg, en, «, rai, rai, », ,, som, det, gjerne, heter, når, en, feirer, fødselsdag, ., Da, sangen, var, fremført, og, barnet, hadde, fått, klem, fra, mange, ,, var, det, en, kjempe, stas, stemning, i, barnehagen, ., Det, viktigste, var, at, alle, barna, var, fornøyde, ., Det]",PRON AUX ADJ ADJ PART VERB NOUN PUNCT PRON VERB NOUN ADP DET NOUN ADP PROPN PUNCT ADP ADV ADV PRON AUX NOUN PUNCT NOUN ADP PROPN NOUN AUX ADJ SCONJ PART VERB NOUN NOUN PRON DET NOUN PUNCT CCONJ ADP NOUN ADP NOUN PUNCT VERB NOUN ADJ ADP ADP NOUN PUNCT PRON AUX PART ADV ADV ADJ PART VERB DET NOUN ADP NUM NOUN ADP PRON PRON ADV AUX VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB ADV ADJ SCONJ PRON AUX VERB PRON SCONJ SCONJ DET NOUN DET ADJ AUX VERB PUNCT ADV AUX PRON ADJ ADP DET NOUN PUNCT ADV AUX NOUN VERB ADP ADJ NOUN NOUN CCONJ NOUN PUNCT CCONJ ADV DET NOUN AUX PRON DET ADP DET ADJ PRON VERB NOUN PUNCT CCONJ AUX VERB NOUN ADP PRON ADJ NOUN PUNCT CCONJ NOUN VERB SCONJ PRON AUX VERB PRON DET PUNCT NOUN NOUN PUNCT PUNCT PRON PRON ADV VERB SCONJ PRON VERB NOUN PUNCT SCONJ NOUN AUX VERB CCONJ NOUN AUX VERB NOUN ADP ADJ PUNCT AUX PRON DET DET NOUN NOUN ADP NOUN PUNCT DET ADJ AUX SCONJ DET NOUN AUX ADJ PUNCT PRON,0.03678929765886288,0.3560377358490577,191,897,0.6230366492146597,0.2632725585448676
