tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, fint, av, meg, å, få, satt, noe, på, et, bord, ,, men, likevel, er, det, ikke, i, mitt, tilfelle, det, som, har, fått, mest, oppmerksomhet, på, kort, tid, ., Uansett, hva, som, er, årsaken, til, at, jeg, har, stått, så, uheldig, å, ha, såpass, mye, igjen, på, kort, tid, ,, var, jeg, i, tvil, om, jeg, til, slutt, måtte, legge, til, «, direkte, », ., Vi, endte, opp, med, en, «, dør, », for, å, se, hvordan, det, er, mulig, at, jeg, blir, litt, «, veldig, frustrert, », av, å, «, kjøpe, », flere, kort, ., Den, dagen, jeg, nå, har, sagt, dette, at, det, viktigste, for, meg, ,, er, å, «, kjenne, », at, jeg, har, noen, fantastiske, dager, ., Jeg, velger, å, tro, at, det, er, rett, denne, kvelden, ,, og, jeg, vil, bare, ha, tid, til, å, se, på, livet, og, ha, det, veldig, koselig, her, for, en, god, stund, siden, ., 
, Som, så, mange, andre, ., Her, om, dagen, gikk, jeg, på, en, liten, handletur, med, en, gjeng, fra, Bergen, som, også, var, der, sammen, med, min, gode, venns, mor, og, min, mor, ,, og, hun, hadde, med, seg, masse, leskende, klementiner]",CCONJ PRON AUX ADJ ADP PRON PART AUX VERB PRON ADP DET NOUN PUNCT CCONJ ADV AUX PRON PART ADP PRON NOUN PRON PRON AUX VERB ADJ NOUN ADP ADJ NOUN PUNCT ADP PRON PRON AUX NOUN SCONJ SCONJ PRON AUX VERB ADV ADJ PART VERB ADV ADJ ADV ADP ADJ NOUN PUNCT AUX PRON ADP NOUN SCONJ PRON ADP NOUN AUX VERB ADP PUNCT ADJ PUNCT PUNCT PRON VERB ADP ADP DET PUNCT VERB PUNCT SCONJ PART VERB ADV PRON AUX ADJ SCONJ PRON VERB ADJ PUNCT ADJ ADJ PUNCT SCONJ PART PUNCT VERB PUNCT ADJ NOUN PUNCT DET NOUN PRON ADV AUX VERB PRON SCONJ DET ADJ ADP PRON PUNCT AUX PART PUNCT VERB PUNCT SCONJ PRON VERB DET ADJ NOUN PUNCT PRON VERB PART VERB SCONJ PRON AUX ADJ DET NOUN PUNCT CCONJ PRON AUX ADV VERB NOUN SCONJ PART VERB ADP NOUN CCONJ VERB PRON ADJ ADJ ADV ADP DET ADJ NOUN ADV PUNCT SPACE SCONJ ADV ADJ DET PUNCT ADV ADP NOUN VERB PRON ADP DET ADJ NOUN ADP DET NOUN ADP PROPN PRON ADV AUX ADV ADV ADP PRON ADJ NOUN NOUN CCONJ PRON NOUN PUNCT CCONJ PRON VERB ADP PRON ADJ ADJ NOUN,0.043478260869565216,0.3675810473815466,200,851,0.72,0.45123803518481836
"[Det, var, ein, vel, godt, gjennande, sak, dette, året, i, heile, Noreg, ., Det, er, slik, dei, gamle, kulturhovuda, har, vore, fram, til, no., 
, Eg, har, sett, at, det, har, vorte, noko, av, eit, lite, avbrekk, frå, den, nye, tida, –, til, no, ,, for, å, fortelja, om, korleis, dei, gamle, kulturhovudet, låg, og, låg, utover, jordbruksomra, den, dei, hadde, ., Ein, veit, at, folk, ikkje, i, dag, treng, å, gjere, noko, ., Men, dersom, dette, skulle, vera, et, avbrekk, for, framtida, difor, ,, vil, det, bli, litt, «, pådro, », med, dei, gamle, tida, ., Om, nokon, skal, halda, fram, med, å, gjera, ein, innsats, på, desse, gamle, kulturhovuda, ,, så, er, det, jo, fint, om, det, går, an, ., Men, det, er, fint, om, det, er, noko, nytt, som, får, oss, til, å, leva, meir, av, denne, gamle, kulturhovudet, ., 
, Det, første, som, skjedde, i, år, var, litt, uvant, ., Når, det, nærma, seg, tidsvegane, i, den, gamle, kulturhovudstaden, ,, skulle, fleire, til, –, då, var, det, vel]",PRON AUX X ADV ADJ ADJ NOUN DET NOUN ADP NOUN PROPN PUNCT PRON AUX ADV DET ADJ NOUN AUX VERB ADP ADP SYM SPACE PROPN AUX VERB SCONJ PRON AUX PROPN PROPN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT ADP PROPN PUNCT ADP PART VERB X ADV PRON ADJ NOUN X CCONJ X ADP PROPN PRON PRON VERB PUNCT X VERB SCONJ NOUN X ADP NOUN VERB PART VERB NOUN PUNCT CCONJ SCONJ PRON AUX VERB DET NOUN ADP NOUN ADV PUNCT AUX PRON VERB ADJ PUNCT VERB PUNCT ADP DET ADJ NOUN PUNCT ADP PROPN AUX VERB ADP SCONJ PART VERB X NOUN ADP X ADJ NOUN PUNCT ADV AUX PRON ADV ADJ SCONJ PRON VERB ADV PUNCT CCONJ PRON AUX ADJ SCONJ PRON AUX ADV ADJ PRON VERB PRON SCONJ PART PROPN PROPN ADP DET ADJ NOUN PUNCT SPACE DET ADJ PRON VERB ADP NOUN AUX ADJ ADJ PUNCT SCONJ PRON VERB PRON PROPN ADP DET ADJ NOUN PUNCT AUX NOUN ADP PUNCT X AUX PRON ADV,0.04539722572509458,0.37887096774193607,172,793,0.7034883720930233,0.392030621936937
"[Det, var, så, godt, over, 40, deltakere, til, de, siste, samlingene, av, det, nasjonale, forskningsprogrammet, for, immunologi, ved, Universitetet, i, Oslo, ., Det, ble, satt, ned, en, forskningsgruppe, som, skal, analysere, effektene, av, autoimmune, prosesser, ., Det, var, imidlertid, et, problem, at, det, var, så, få, deltakere, som, ikke, fikk, en, god, nok, diagnose, ., ÃÅrsaken, kan, ha, vært, at, man, har, vært, mindre, syke, ,, i, dette, tilfellet, ved, at, man, hadde, høyere, risiko, for, tilbakefall.​, 
, Sykehuset, hadde, et, møte, med, en, lege, fra, spesialisthelsetjenesten, med, representanter, for, medisinsk, etikk, ,, og, han, ble, orientert, om, sin, rolle, som, førsteamanuensis, i, klinisk, medisin, ved, den, norske, avdelingen, av, Nasjonalt, kunnskapssenter, for, helsetjenesten, (, HKV, ), ., Senteret, utarbeidet, derfor, en, rapport, til, ledelsen, der, resultatene, ble, presentert, på, en, grundig, måte, ., Senteret, fikk, ikke, tilstrekkelig, innsikt, i, risikofaktorer, ,, og, han, har, dermed, hatt, begrenset, kunnskap, om, den, totale, risikoen.​, 
, Klinisk, Medisin, gjennomførte, i, perioden, 2013-2018, en, undersøkelse, for, å, kunne, avdekke, tidlige, tegn, på, immunsystem, ., Undersøkelsen, viste, høy]",PRON AUX ADV ADJ ADP NUM NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADP PROPN ADP PROPN PUNCT PRON AUX VERB ADP DET NOUN PRON AUX VERB NOUN ADP NOUN NOUN PUNCT PRON AUX ADV DET NOUN SCONJ PRON AUX ADV ADJ NOUN PRON PART VERB DET ADJ ADV NOUN PUNCT NOUN AUX AUX AUX SCONJ PRON AUX AUX ADJ ADJ PUNCT ADP DET NOUN SCONJ SCONJ PRON VERB ADJ NOUN ADP NOUN SPACE NOUN VERB DET NOUN ADP DET NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT CCONJ PRON AUX VERB ADP PRON NOUN ADP NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADP NOUN PUNCT PROPN PUNCT PUNCT NOUN VERB ADV DET NOUN ADP NOUN SCONJ NOUN AUX VERB ADP DET ADJ NOUN PUNCT NOUN VERB PART ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV VERB ADJ NOUN ADP DET ADJ NOUN SPACE ADJ NOUN VERB ADP NOUN NUM DET NOUN SCONJ PART AUX VERB ADJ NOUN ADP NOUN PUNCT NOUN VERB ADJ,0.046139359698681735,0.36645607107601047,174,1062,0.5402298850574713,0.2756462265663081
"[Ja, det, var, det, som, tok, en, ekstraomtrentlig, og, kanskje, ikke, helt, ny, innsikt, om, ., Denne, har, tatt, med, seg, det, den, har, og, kanskje, bare, et, navn, som, jeg, ser, er, ganske, typisk, norsk, :, den, er, norsk, for, de, fleste, nordmenn, også, ,, men, vi, har, selvfølgelig, ingen, slike, i, nær, familie, ennå, ., Denne, boken, kommer, vi, nok, tilbake, til, senere, ., 
, I, vår, del, fant, vi, nok, et, ord, som, var, litt, mer, eller, mindre, ,, for, vi, har, ikke, gått, rundt, å, tenkt, å, gi, den, ut, der, ., 
, Men, her, kommer, litt, annet, :, 
, Den, andre, og, tredje, boken, var, denne, :, 
, [, McHeartland, :, The, Chapists, of, the, Middle, Era, ], er, en, kortversjon, av, dette, kapittelet, som, kom, ut, i, 1954, ,, med, tittelen, «, Helt, opp, til, himmelen, », (, selv, om, du, ikke, alltid, kan, se, det, med, sikkerhet, ), ., Bøkene, ble, raskt, oversatt, av, andre, forfattere, av, samme, bok, ,, og, var, et, kapittel, ved, siden, av, en, avhandling, som, var, skrevet, av, Hughes, Howell, ., Han, ble, imidlertid, aldri, utgitt, før, eller, etter, utgivelsen, ,, og, var]",INTJ PRON AUX PRON PRON VERB DET NOUN CCONJ ADV PART ADJ ADJ NOUN ADP PUNCT PRON AUX VERB ADP PRON PRON PRON VERB CCONJ ADV ADV DET NOUN PRON PRON VERB AUX ADV ADJ NOUN PUNCT PRON AUX ADJ ADP DET ADJ NOUN ADV PUNCT CCONJ PRON VERB ADJ DET DET ADP ADJ NOUN ADV PUNCT DET NOUN VERB PRON ADV ADP ADP ADJ PUNCT SPACE ADP PRON NOUN VERB PRON ADV DET NOUN PRON AUX ADJ ADJ CCONJ ADJ PUNCT CCONJ PRON AUX PART VERB SCONJ PART VERB PART VERB PRON ADP ADV PUNCT SPACE CCONJ ADV VERB ADJ DET PUNCT SPACE DET DET CCONJ ADJ NOUN AUX PRON PUNCT SPACE PUNCT PROPN PUNCT PROPN PROPN X X PROPN PROPN PUNCT AUX DET NOUN ADP DET NOUN PRON VERB ADP ADP NUM PUNCT ADP NOUN PUNCT ADJ ADP ADP NOUN PUNCT PUNCT ADV SCONJ PRON PART ADV AUX VERB PRON ADP NOUN PUNCT PUNCT NOUN AUX ADJ VERB ADP DET NOUN ADP DET NOUN PUNCT CCONJ AUX DET NOUN ADP NOUN ADP DET NOUN PRON AUX VERB ADP PROPN PROPN PUNCT PRON AUX ADV ADV VERB ADP CCONJ ADP NOUN PUNCT CCONJ AUX,0.05611672278338945,0.36814726840855083,195,891,0.7076923076923077,0.3625932471538451
"[Ja, det, er, ingen, forskjeller, i, antall, celler, hos, en, liten, celle, i, kroppen, ,, slik, det, framgår, nedenfor, på, bildet, som, er, hentet, fra, Internett, på, vei, til, å, bli, endret, ., Dette, resultatet, kan, likevel, ikke, avfeies, som, en, vesentlig, forskjell, ,, bare, at, celler, kan, vokse, langt, og, at, størrelsen, på, cellefornyelsen, kan, forandre, forhold, som, har, innvirkning, på, helsen, til, levende, celler, ., 
, Den, viktigste, fordelen, med, en, slik, blodprøve, er, selvsagt, at, det, ikke, er, behov, for, noen, ekstra, analyse, av, cellenes, vevsbalanse, ., Men, ettersom, cellene, ikke, produserer, nok, celler, til, å, bli, en, så, beskjeden, del, av, kroppen, ,, betyr, jo, dette, også, en, risiko, for, komplikasjoner, ., 
, Det, ser, dessuten, ut, til, at, en, rekke, studier, kan, vise, hvordan, en, ekstra, analyse, av, immunsuppressiv, proteinkonsentrasjon, er, det, nødvendig, å, ha, undersøkt, på, hvilke, stadier, en, ekstra, analysemetode, har, nytteverdi, ., Et, eksempel, på, denne, typen, analyse, er, på, hvordan, en, ekstra, analyse, av, proteinkonsentrasjonen, kan, gi, bedre, prediktorer, for, dannelsen, av, proteinet, i, kroppen, (, anemi, ), ,]",INTJ PRON VERB DET NOUN ADP NOUN NOUN ADP DET ADJ NOUN ADP NOUN PUNCT ADV PRON VERB ADP ADP NOUN PRON AUX VERB ADP PROPN ADP NOUN SCONJ PART AUX VERB PUNCT DET NOUN AUX ADV PART VERB SCONJ DET ADJ NOUN PUNCT ADV SCONJ NOUN AUX VERB ADJ CCONJ SCONJ NOUN ADP NOUN AUX VERB NOUN PRON VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT SPACE DET ADJ NOUN ADP DET DET NOUN AUX ADJ SCONJ PRON PART AUX NOUN ADP DET ADJ NOUN ADP NOUN NOUN PUNCT CCONJ SCONJ NOUN PART VERB ADV NOUN SCONJ PART VERB DET ADV ADJ NOUN ADP NOUN PUNCT VERB ADV PRON ADV DET NOUN ADP NOUN PUNCT SPACE PRON VERB ADV ADP SCONJ SCONJ DET NOUN NOUN AUX VERB ADV DET ADJ NOUN ADP X NOUN AUX PRON ADJ PART AUX VERB ADP DET NOUN DET ADJ NOUN VERB NOUN PUNCT DET NOUN ADP DET NOUN NOUN AUX SCONJ ADV DET ADJ NOUN ADP NOUN AUX VERB ADJ NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT NOUN PUNCT PUNCT,0.034653465346534656,0.3559001040582713,178,1010,0.5674157303370787,0.31592096477290904
"[Så, var, det, mer, korrekt, å, lese, hva, de, ville, gjøre, her, i, dag, ., De, snakket, like, mye, om, de, første, og, de, som, ikke, gjorde, annet, enn, å, sjekke, den, røde, tråden, i, deres, historie, ., Og, disse, historiene, var, noe, av, det, som, slo, dem, fast, ., Til, alle, som, har, mistet, noen, eller, er, de, ikke, troende, ., 
, https://www.djurhassle.com/se/idiasnegativ-historier/, 
, Når, det, er, sagt, ,, har, vi, de, siste, dagene, merket, at, det, har, vært, en, nedgang, i, antallet, unge, i, gatene, i, løpet, av, de, siste, 30, år, ., Denne, økningen, skyldes, sannsynligvis, at, det, har, skjedd, i, løpet, av, de, siste, 30, årene, ., Hvis, den, unge, damen, sier, det, samme, er, gata, der, i, ferd, med, å, utvikle, seg, og, finne, seg, en, plass, i, gatene, ., 
, –, Det, er, kanskje, like, mye, som, oss, voksne, som, føler, tilhørighet, til, å, ha, et, eget, hjem, med, et, varmt, og, inkluderende, miljø, ., Vi, synes, dette, er, en, god, pekepinn, på, hvor, mye, det, betyr, for, den, unge, damen, ., Hun, nevner, ikke, alltid, at, han, eller, hun, er, blitt]",ADV AUX PRON ADJ ADJ PART VERB PRON PRON AUX VERB ADV ADP NOUN PUNCT PRON VERB ADV ADJ ADP DET ADJ CCONJ PRON PRON PART VERB DET SCONJ PART VERB DET ADJ NOUN ADP PRON NOUN PUNCT CCONJ DET NOUN AUX DET ADP PRON PRON VERB PRON ADJ PUNCT ADP PRON PRON AUX VERB PRON CCONJ AUX PRON PART ADJ PUNCT SPACE ADJ SPACE SCONJ PRON AUX VERB PUNCT VERB PRON DET ADJ NOUN VERB SCONJ PRON AUX AUX DET NOUN ADP NOUN ADJ ADP NOUN ADP NOUN ADP DET ADJ NUM NOUN PUNCT DET NOUN VERB ADV SCONJ PRON AUX VERB ADP NOUN ADP DET ADJ NUM NOUN PUNCT SCONJ DET ADJ NOUN VERB DET DET AUX NOUN ADV ADP NOUN SCONJ PART VERB PRON CCONJ VERB PRON DET NOUN ADP NOUN PUNCT SPACE PUNCT PRON AUX ADV ADV ADJ ADP PRON ADJ PRON VERB NOUN SCONJ PART VERB DET DET NOUN ADP DET ADJ CCONJ ADJ NOUN PUNCT PRON VERB PRON AUX DET ADJ NOUN ADP ADV ADJ PRON VERB ADP DET ADJ NOUN PUNCT PRON VERB PART ADV SCONJ PRON CCONJ PRON AUX VERB,0.048314606741573035,0.363804994054697,188,890,0.6861702127659575,0.4448900081360725
"[Det, var, som, sagt, en, fantastisk, innsats, for, å, bevare, og, videreutvikle, den, globale, infrastrukturen, ., Som, du, sier, ,, «, jeg, er, ikke, opptatt, av, alt, », ., Jeg, er, imidlertid, ikke, så, opptatt, av, alt, (, å, vise, ), at, vi, ikke, har, råd, til, å, bli, her, og, nå, ,, fordi, vi, trenger, infrastruktur, ,, for, at, alt, skal, være, så, flott, og, sikkert, som, mulig, ,, », skriver, Terje, Aanensen, i, denne, kronikken, ., Han, er, også, godt, fornøyd, med, at, de, andre, organisasjonene, nå, må, komme, med, for, å, vise, dette, ., For, med, nye, muligheter, til, å, få, en, skikkelig, digital, fremtid, ,, er, det, mulig, å, ta, grep, også, utenfor, det, å, ha, en, slik, utvikling, med, seg, og, det, med, å, følge, med, fremover, ., Det, som, jeg, gleder, meg, aller, mest, til, ,, er, at, vi, i, løpet, av, 2019, skal, ha, 20, prosjekter, klare, for, å, gjennomføre, prosjektet, –, det, vi, allerede, gjør, i, året, 2019, –, innen, 2020., 
, Frp, :, Jeg, gleder, meg, enormt, til, et, nytt, år, med, masse, mediehåndtering, ., Jeg, kommer, til, å, benytte, anledningen, til, å, gjøre, store, endringer, ., Det, er, på, en, måte, litt, tilfeldig]",PRON AUX SCONJ VERB DET ADJ NOUN SCONJ PART VERB CCONJ VERB DET ADJ NOUN PUNCT SCONJ PRON VERB PUNCT PUNCT PRON AUX PART ADJ ADP PRON PUNCT PUNCT PRON AUX ADV PART ADV ADJ ADP PRON PUNCT PART VERB PUNCT SCONJ PRON PART VERB NOUN SCONJ PART VERB ADV CCONJ ADV PUNCT SCONJ PRON VERB NOUN PUNCT SCONJ SCONJ PRON AUX AUX ADV ADJ CCONJ ADJ ADP ADJ PUNCT PUNCT VERB PROPN PROPN ADP DET NOUN PUNCT PRON AUX ADV ADJ ADJ SCONJ SCONJ DET DET NOUN ADV AUX VERB ADP SCONJ PART VERB PRON PUNCT CCONJ ADP ADJ NOUN SCONJ PART VERB DET ADJ ADJ NOUN PUNCT AUX PRON ADJ PART VERB NOUN ADV ADP PRON PART VERB DET DET NOUN ADP PRON CCONJ PRON SCONJ PART VERB ADP ADP PUNCT PRON PRON PRON VERB PRON ADV ADJ ADP PUNCT AUX SCONJ PRON ADP NOUN ADP NUM AUX VERB NUM NOUN ADJ SCONJ PART VERB NOUN PUNCT PRON PRON ADV VERB ADP NOUN NUM PUNCT ADP NUM SPACE PROPN PUNCT PRON VERB PRON ADJ ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB SCONJ PART VERB NOUN SCONJ PART VERB ADJ NOUN PUNCT PRON AUX ADP DET NOUN ADJ ADJ,0.04726890756302521,0.37707641196013353,203,952,0.6699507389162561,0.4390738807146291
"[Det, er, ikkje, bra, nok, ., Eg, er, ikkje, det, beste, eg, har, å, leve, av, ,, men, når, eg, i, starten, følte, glede, og, fryde, for, å, dø, på, mine, skuldre, kunne, det, ikke, bli, et, bedre, sted, å, leve, ., Det, verste, eg, har, å, leve, med, ., Det, verste, eg, ha, å, leve, for, ., Det, verste, eg, har, å, leve, for, ., Eg, er, lei, av, ting, eg, har, lyst, å, leve, for, ,, og, eg, har, lyst, til, å, leve, ., Eg, skal, ut, i, jobb, igjen, ., Eg, skal, skrive, ei, melding, til, deg, på, sms, til, alle, dei, andre, som, får, mail, frå, meg, ,, alle, kan, finne, på, med, den, same, meldinga, eg, har, fått, ., Då, fekk, eg, melding, ,, du, må, vera, glad, i, meg, ,, og, eg, skal, kjefte, litt, på, deg, ,, at, eg, aldri, kom, til, å, bli, glad, i, deg, ., 
, Tusen, takk, for, at, du, gjør, det, slutt, med, deg, sjølv, i, dag, ,, og, eg, gjer, det, ikkje, igjen, no, ,, men, eg, må, vera, glad, for, å, sjå, det, du, gjer, no, ,, at, eg, må, vere, glad, i, deg, sjøl, også, ,, fordi, eg, har, det, i, meg, ., Det, e, ikkje, godt]",PRON AUX ADV ADJ ADV PUNCT PROPN X X DET ADJ PRON VERB PART VERB ADP PUNCT CCONJ SCONJ PRON ADP NOUN VERB NOUN CCONJ VERB SCONJ PART VERB ADP PRON NOUN AUX PRON PART VERB DET ADJ NOUN PART VERB PUNCT DET ADJ PRON VERB PART VERB ADP PUNCT DET ADJ X VERB PART VERB ADP PUNCT DET ADJ PRON VERB PART VERB ADP PUNCT PROPN AUX ADJ ADP NOUN PRON VERB NOUN PART VERB ADP PUNCT CCONJ PRON VERB NOUN SCONJ PART VERB PUNCT PROPN VERB ADP ADP NOUN ADV PUNCT PROPN AUX VERB DET NOUN ADP PRON ADP NOUN ADP DET DET DET PRON VERB NOUN NUM PRON PUNCT PRON AUX VERB ADP ADP DET X NOUN X AUX VERB PUNCT X VERB PRON NOUN PUNCT PRON AUX VERB ADJ ADP PRON PUNCT CCONJ PRON AUX VERB ADJ ADP PRON PUNCT SCONJ PRON ADV VERB SCONJ PART VERB ADJ ADP PRON PUNCT SPACE NUM NOUN SCONJ SCONJ PRON VERB PRON ADJ ADP PRON DET ADP NOUN PUNCT CCONJ X X X X ADV X PUNCT CCONJ X AUX X ADJ SCONJ PART VERB PRON PRON X X PUNCT SCONJ PRON AUX VERB ADJ ADP PRON DET ADV PUNCT SCONJ PRON VERB PRON ADP PRON PUNCT PRON AUX ADV ADJ,0.037037037037037035,0.36249671484888374,212,810,0.7452830188679245,0.3941975555044707
"[Kor, mange, prosent, poeng, i, det, jeg, gjør, en, hel, del, ., En, ting, er, sikker, :, Men, uansett, hva, man, er, villig, til, å, tro, på, -, om, de, vil, ha, noe, konkret, eller, bare, vil, leve, av, noe, ,, er, jo, litt, bedre, enn, ingenting, i, en, gitt, situasjon, ,, men, akkurat, det, er, jo, viktigst, -, nemlig, at, dette, nivået, er, på, en, måte, bedre, enn, at, du, legger, deg, i, selen, ., At, en, får, i, større, grad, å, velge, for, seg, selv, er, ikke, så, enkelt, ,, eller, bare, litt, vanskelig, ,, enn, at, du, finner, ut, å, sette, deg, dypere, ned, i, hva, jobben, du, foretar, deg, betyr, ., Og, så, er, det, jo, noen, som, tar, ting, som, de, liker, å, gjøre, ,, så, sett, i, sammenheng, ,, og, vurder, om, de, trives, sammen, med, deg, å, gjøre, ,, istedet, for, å, bruke, de, i, en, helt, annen, setting, ., 
, Kanskje, det, bare, ble, ett, og, annet, å, ta, seg, god, tid, til, å, tenke, på, -, at, man, har, noe, man, elsker, å, gjøre, ,, er, jo, ingenting, jeg, har, ønsket, meg, tidligere, ., En, annen, ting, her, i, huset, er, at, i, enkelte, situasjoner, i, livet, så, har, han]",ADV ADJ NOUN NOUN ADP PRON PRON VERB DET ADJ NOUN PUNCT DET NOUN AUX ADJ PUNCT CCONJ ADP PRON PRON AUX ADJ SCONJ PART VERB ADP PUNCT SCONJ PRON AUX VERB DET ADJ CCONJ ADV AUX VERB ADP PRON PUNCT AUX ADV ADJ ADJ SCONJ PRON ADP DET ADJ NOUN PUNCT CCONJ ADV PRON AUX ADV ADJ PUNCT ADV SCONJ DET NOUN AUX SCONJ DET NOUN ADJ SCONJ SCONJ PRON VERB PRON ADP NOUN PUNCT SCONJ PRON VERB ADP ADJ NOUN PART VERB ADP PRON DET AUX PART ADV ADJ PUNCT CCONJ ADV ADJ ADJ PUNCT SCONJ SCONJ PRON VERB ADP PART VERB PRON ADJ SCONJ SCONJ PRON NOUN PRON VERB PRON VERB PUNCT CCONJ ADV AUX PRON ADV PRON PRON VERB NOUN PRON PRON VERB PART VERB PUNCT ADV VERB ADP NOUN PUNCT CCONJ VERB SCONJ PRON VERB ADV ADP PRON PART VERB PUNCT ADV SCONJ PART VERB PRON ADP DET ADJ DET NOUN PUNCT SPACE ADV PRON ADV VERB NUM CCONJ DET PART VERB PRON ADJ NOUN SCONJ PART VERB ADP PUNCT SCONJ PRON VERB PRON PRON VERB PART VERB PUNCT AUX ADV PRON PRON AUX VERB PRON ADJ PUNCT DET DET NOUN ADV ADP NOUN AUX SCONJ ADP ADJ NOUN ADP NOUN ADV AUX PRON,0.03824521934758155,0.355357142857144,209,889,0.7464114832535885,0.44745616412726924
"[Det, er, veldig, bra, !, Her, i, Norge, har, vi, kanskje, den, aller, beste, servicen, i, hele, verden, ., Få, avreise, for, å, ta, ferie, ., Dette, er, en, veldig, fin, avslutning, som, viser, hvor, godt, vi, har, det, i, Norge, også, ., Her, ser, du, når, dere, er, tilbake, fra, hotellet, ., Utfordrende, reisemål, !, 
, Denne, turen, går, til, Celsia, for, de, som, ønsker, en, annerledes, og, morsom, opplevelse, i, dette, flotte, landskapet, !, Her, møtes, de, på, godt, og, vondt, –, dere, kommer, ikke, over, det, med, bare, litt, regnvær, ,, for, det, er, ikke, sikkert, at, man, sitter, på, toget, og, gjør, det, man, kan, for, å, være, til, stede, ., Kanskje, ikke, på, flyet, du, reiser, med, et, par, måneder, på, et, annet, fly, ,, men, i, dette, stedet, får, du, følelsen, av, å, være, midt, i, det, ., Det, er, perfekt, sted, å, ta, med, egen, mat, fra, noen, av, de, mest, spennende, resturantene, i, hele, verden, !, 🙂, 
, Her, venter, det, masse, snø, og, forretten, er, på, plass, ., Det, er, bare, den, tiden, det, er, igjen, før, årets, ankomst, blir, bedre, ., Her, er, det]",PRON AUX ADJ ADJ PUNCT ADV ADP PROPN VERB PRON ADV DET ADV ADJ NOUN ADP ADJ NOUN PUNCT ADJ NOUN SCONJ PART VERB NOUN PUNCT PRON AUX DET ADJ ADJ NOUN PRON VERB ADV ADJ PRON VERB PRON ADP PROPN ADV PUNCT ADV VERB PRON SCONJ PRON AUX ADP ADP NOUN PUNCT ADJ NOUN PUNCT SPACE DET NOUN VERB ADP PROPN ADP PRON PRON VERB DET ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN PUNCT ADV VERB PRON ADP ADJ CCONJ ADJ PUNCT PRON VERB PART ADP PRON ADP ADV ADJ NOUN PUNCT CCONJ PRON AUX PART ADJ SCONJ PRON VERB ADP NOUN CCONJ VERB PRON PRON VERB SCONJ PART AUX SCONJ NOUN PUNCT ADV PART ADP NOUN PRON VERB ADP DET NOUN NOUN ADP DET DET NOUN PUNCT CCONJ ADP DET NOUN VERB PRON NOUN SCONJ PART AUX ADV ADP PRON PUNCT PRON AUX ADJ NOUN PART VERB ADP DET NOUN ADP DET ADP DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT ADV SPACE ADV VERB PRON ADJ NOUN CCONJ NOUN AUX SCONJ NOUN PUNCT PRON AUX ADV DET NOUN PRON AUX ADV SCONJ NOUN NOUN VERB ADJ PUNCT ADV AUX PRON,0.04406779661016949,0.36631578947368504,194,885,0.6855670103092784,0.43657146691978926
