tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, for, tidlig, i, første, del, av, en, større, serie, som, ble, gjort, under, VM, -, Det, gikk, jo, veldig, bra, ., Men, det, var, jo, et, helvete, på, en, måte, som, gjorde, at, det, bare, skulle, være, en, serie, i, en, klasse, der, det, bare, skjedde, noe, som, kunne, vise, seg, å, bli, en, realitet, ., 
, De, fire, første, sekvensene, av, hvordan, laget, skulle, opptre, ble, derfor, på, forhånd, satt, opp, ., 
, Det, var, ikke, noen, direkte, sammenheng, mellom, disse, figurene, ,, før, alle, kom, opp, til, det, tredje, sekvens, ,, og, de, fikk, en, opplagt, oppgave, ., Den, første, ser, ut, som, et, fint, spill, når, man, vet, at, man, kan, måle, seg, selv, ved, å, skyte, det, ene, målet, med, det, andre, og, få, et, bedre, resultat, enn, en, med, det, andre, på, den, andre, ., 
, I, kvartfinalen, løp, laget, for, første, gang, i, gruppa, ., Det, tredje, kom, opp, til, fjerde, og, siste, sekvens, ,, og, det, tredje, ble, sett, ., Alle, hadde, til, hensikt, å, gjøre, en, god, jobb, med, å, holde, seg, i, gang, og, ta, kontroll, ., Dette, gjorde, det, vanskelig, å, få, gode, karakterer, igjen, før, man, tok]",CCONJ PRON AUX ADV ADJ ADP ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB ADP PROPN PUNCT PRON VERB ADV ADJ ADJ PUNCT CCONJ PRON AUX ADV DET NOUN ADP DET NOUN PRON VERB SCONJ PRON ADV AUX AUX DET NOUN ADP DET NOUN SCONJ PRON ADV VERB PRON PRON AUX VERB PRON PART VERB DET NOUN PUNCT SPACE DET NUM ADJ NOUN ADP ADV NOUN AUX VERB AUX ADV ADP NOUN VERB ADP PUNCT SPACE PRON AUX PART DET ADJ NOUN ADP DET NOUN PUNCT SCONJ PRON VERB ADP ADP DET ADJ NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN PUNCT DET ADJ VERB ADP SCONJ DET ADJ NOUN SCONJ PRON VERB SCONJ PRON AUX VERB PRON DET SCONJ PART VERB DET NUM NOUN ADP DET ADJ CCONJ VERB DET ADJ NOUN ADP PRON ADP DET ADJ ADP DET DET PUNCT SPACE ADP NOUN VERB NOUN ADP ADJ NOUN ADP NOUN PUNCT DET ADJ VERB ADP ADP ADJ CCONJ ADJ NOUN PUNCT CCONJ DET ADJ AUX VERB PUNCT PRON VERB ADP NOUN PART VERB DET ADJ NOUN SCONJ PART VERB PRON ADP NOUN CCONJ VERB NOUN PUNCT PRON VERB PRON ADJ PART VERB ADJ NOUN ADV SCONJ PRON VERB,0.03683640303358613,0.371624713958809,201,923,0.7512437810945274,0.4523652976972738
"[Det, var, ein, litt, uheldig, det, som, skjer, for, oss, som, ikkje, heilt, trur, skal, gå, på, det, offentlege, livet, til, desse, som, er, små, og, små, og, som, er, så, store, og, vil, ha, med, seg, ein, som, er, så, liten, at, dette, er, eit, stort, press, på, dei, ., Så, dette, med, ein, liten, og, ei, litt, større, som, omgrep, var, mykje, merkeleg, ,, og, ein, med, stor, respekt, ., Det, var, stor, lettelse, og, god, respons, på, tilbakemeldingane, frå, dei, vaksne, i, komiteen, ., 
, Ein, må, òg, få, med, seg, at, vi, alle, på, Frivilligsentralen, hadde, stor, glede, av, å, vere, ein, såpass, stor, og, aktiv, person, med, mykje, omtanke, og, omsorg, frå, folk, som, var, i, karantene, ,, og, at, ein, i, slike, høve, kanskje, ikkje, hadde, kome, i, kontakt, med, mange, menne, ske, som, hadde, vore, med, på, slikt, ., Ikkje, at, et, var, så, viktig, ein, skulle, vera, då, alle, skulle, ha, det, litt, kjipe, ., 
, Det, var, eit, ganske, godt, forhold, til, mange, andre, og, vi, vart, ein, del, av, dugnadsarbeidet, ., I, samband, med, dei, som, kom]",PRON AUX X ADJ ADJ PRON PRON VERB ADP PRON SCONJ X X X AUX VERB ADP DET ADJ NOUN ADP NOUN PRON AUX ADJ CCONJ ADJ CCONJ PRON AUX ADV ADJ CCONJ AUX VERB ADP PRON X PRON AUX ADV ADJ SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON ADP PROPN ADJ CCONJ DET ADJ ADJ SCONJ NOUN AUX ADJ NOUN PUNCT CCONJ X ADP ADJ NOUN PUNCT PRON AUX ADJ NOUN CCONJ ADJ NOUN ADP NOUN PROPN PROPN PROPN ADP NOUN PUNCT SPACE X AUX ADV VERB ADP PRON SCONJ PRON DET ADP PROPN VERB ADJ NOUN SCONJ PART VERB ADJ ADV ADJ CCONJ ADJ NOUN ADP ADJ NOUN CCONJ NOUN X NOUN PRON AUX ADP NOUN PUNCT CCONJ SCONJ PROPN ADP DET NOUN ADV X AUX VERB ADP NOUN ADP ADJ AUX PROPN PRON AUX X ADP ADP PRON PUNCT NOUN SCONJ DET AUX ADV ADJ X X X X PRON AUX VERB PRON ADJ ADJ PUNCT SPACE PRON AUX DET ADV ADJ NOUN ADP ADJ DET CCONJ PRON VERB X NOUN ADP NOUN PUNCT ADP NOUN ADP NOUN PRON VERB,0.0379746835443038,0.34997560975609726,187,869,0.786096256684492,0.397500027578136
"[Det, var, så, som, sagt, en, del, av, prosjektet, på, et, prosjekt, ,, hvor, det, ble, utarbeidet, en, sjekkliste, /, konsept, til, hvordan, man, kunne, gå, fram, på, denne, måten, ., 
, Enslige, medlemmer, skal, føle, seg, som, en, gruppe, som, står, opp-åtte, å, gå, på, ., Det, ligger, litt, tanker, i, den, store, kjede, av, grupper, ., Det, var, det, store, spørsmålet, som, ble, stilt, ., 
, Bli, bevisst, hvor, man, skal, starte, når, den, andre, er, på, hyttetur, ,, og, så, skal, dere, bestemme, hva, dere, vil, ,, hva, slags, aktivitet, dere, ønsker, ., 
, Karianne, er, en, del, av, prosessen, ., Hun, er, utdannet, ergoterapeuter, i, Oslo, og, Nord-Europa, og, har, skrevet, mye, om, trening, og, fysisk, aktivitet, i, Norge, .,     , Hun, er, en, stor, støtte, i, å, bygge, team, ., Hun, har, lang, fartstid, i, organisasjoner, som, har, jobbet, med, alt, fra, å, trene, med, andre, i, egen, bedrift, ., 
, Hun, har, trent, sammen, med, teamet, som, har, jobbet, i, teamet, ,, som, de, har, rekruttert, fra, tidligere, ,, og, de, siste, ukene, har, hun, hatt, en, mentor, til, dette, prosjektet, ,, som, han, vil, jobbe, videre]",PRON AUX ADV SCONJ VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT ADV PRON AUX VERB DET NOUN PUNCT NOUN ADP ADV PRON AUX VERB ADP ADP DET NOUN PUNCT SPACE ADJ NOUN AUX VERB PRON SCONJ DET NOUN PRON VERB PROPN PART VERB ADP PUNCT PRON VERB ADJ NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB DET ADJ NOUN PRON AUX VERB PUNCT SPACE VERB ADJ ADV PRON AUX VERB SCONJ DET DET AUX ADP NOUN PUNCT CCONJ ADV AUX PRON VERB PRON PRON VERB PUNCT PRON NOUN NOUN PRON VERB PUNCT SPACE PROPN AUX DET NOUN ADP NOUN PUNCT PRON AUX VERB NOUN ADP PROPN CCONJ PROPN CCONJ AUX VERB ADJ ADP NOUN CCONJ ADJ NOUN ADP PROPN PUNCT SPACE PRON AUX DET ADJ NOUN SCONJ PART VERB NOUN PUNCT PRON VERB ADJ NOUN ADP NOUN PRON AUX VERB ADP PRON SCONJ PART VERB ADP DET ADP DET NOUN PUNCT SPACE PRON AUX VERB ADV ADP NOUN PRON AUX VERB ADP NOUN PUNCT PRON PRON AUX VERB ADP ADJ PUNCT CCONJ DET ADJ NOUN AUX PRON VERB DET NOUN ADP DET NOUN PUNCT PRON PRON AUX VERB ADJ,0.039045553145336226,0.3694616265750279,193,922,0.6321243523316062,0.41631354622102806
"[Ja, det, var, noen, som, drev, med, det, ., De, hadde, mye, tid, til, å, være, med, på, denne, fantastiske, turen, til, Romantikk, ., Etter, mange, turer, fikk, jeg, meg, til, å, begynne, å, rope, ', s, !, om, hvordan, jeg, skulle, føle, meg, ., ', Da, jeg, reiste, med, mine, venner, var, det, en, del, nye, bekjente, som, gjorde, det, ,, med, venner, og, familie, ., Flere, var, så, utålmodige, at, de, bestemte, seg, for, å, ta, dem, med, på, denne, turen, ., De, var, mer, åpne, og, tenkte, de, hadde, mer, kontroll, over, hvem, som, skulle, komme, seg, rundt, oss, ., Jeg, fikk, høre, om, det, på, deres, reise, som, jeg, har, sett, i, så, mange, år, ,, at, de, på, tross, av, sinne, fikk, mange, flere, venner, av, meg, i, denne, turen, ., Det, var, det, hele, som, ble, en, skikkelig, fryd, ,, en, god, del, at, jeg, ikke, skulle, gå, i, veien, for, dem, ., Uansett, hva, man, må, gjøre, for, at, et, slikt, turmål, skal, bli, det, beste, ut, av, det, så, er, det, å, planlegge, en, tur, ., For, å, gjøre, dette, må, du, legge, til, litt, kreativitet, rundt, tingene, ,, planlegge, din, tur, til, neste, tur]",INTJ PRON VERB PRON PRON VERB ADP PRON PUNCT PRON VERB ADJ NOUN SCONJ PART AUX ADP ADP DET ADJ NOUN ADP PROPN PUNCT ADP ADJ NOUN VERB PRON PRON SCONJ PART VERB PART VERB PUNCT PROPN PUNCT ADP ADV PRON AUX VERB PRON PUNCT PUNCT SCONJ PRON VERB ADP PRON NOUN VERB PRON DET NOUN ADJ ADJ PRON VERB PRON PUNCT ADP NOUN CCONJ NOUN PUNCT ADJ AUX ADV ADJ SCONJ PRON VERB PRON SCONJ PART VERB PRON ADP ADP DET NOUN PUNCT PRON AUX ADJ ADJ CCONJ VERB PRON VERB ADJ NOUN ADP PRON PRON AUX VERB PRON ADP PRON PUNCT PRON AUX VERB ADP PRON ADP PRON NOUN PRON PRON AUX VERB ADP ADV ADJ NOUN PUNCT SCONJ PRON ADP ADP ADP NOUN VERB ADJ ADJ NOUN ADP PRON ADP DET NOUN PUNCT PRON AUX DET ADJ PRON VERB DET ADJ NOUN PUNCT DET ADJ NOUN SCONJ PRON PART AUX VERB ADP NOUN ADP PRON PUNCT ADP PRON PRON AUX VERB SCONJ SCONJ DET DET NOUN AUX VERB DET ADJ ADP ADP PRON ADV AUX PRON PART VERB DET NOUN PUNCT SCONJ PART VERB PRON AUX PRON VERB ADP ADJ NOUN ADP NOUN PUNCT VERB PRON NOUN ADP DET NOUN,0.0390625,0.37034238488783977,203,896,0.7586206896551724,0.480791295108943
"[Ja, det, er, jo, ingenting, nytt, om, den, nye, grunnloven, og, for, det, første, er, det, nettopp, ikke, bare, snakk, om, det, gode, og, det, gode, med, alt, det, nye, som, den, nye, grunnloven, innførte, på, ., Så, lenge, vi, tenker, på, dette, så, må, jo, et, lite, skritt, vi, må, gå, nå, ., Så, det, er, jo, heller, ikke, så, mange, andre, spennende, saker, å, ta, stilling, til, for, å, bli, kjent, med, hele, det, nye, folket, som, står, på, og, som, for, oss, blir, både, interessant, og, viktig, ., 
, Vi, håper, det, er, noen, som, vil, være, med, på, å, gjøre, dette, mer, eller, mindre, til, tross, for, at, dette, er, en, del, av, Grunnloven, ., Men, som, vi, har, nevnt, tidligere, så, blir, det, slik, i, det, gamle, Tinget, vi, har, sett, det, i, dette, århundret, det, blir, mer, og, mer, og, mer, tydelig, at, det, ikke, bare, skal, være, i, grunnloven, det, også, blir, mer, og, mer, uklart, slik, at, det, skal, være, litt, mer, i, samme, ånd, som, i, Grunnloven, ., 
, Det, kan, jo, ikke, bli, det, samme, i, alle, meningene, om, at, Norge, skal, bli, et, mer, rettferdig, samfunn, enn, det, er]",INTJ PRON VERB ADV PRON ADJ ADP DET ADJ NOUN CCONJ ADP DET ADJ AUX PRON ADV PART ADV NOUN ADP DET ADJ CCONJ DET ADJ ADP DET DET ADJ SCONJ DET ADJ NOUN VERB ADP PUNCT ADV ADJ PRON VERB ADP PRON ADV AUX ADV DET ADJ NOUN PRON AUX VERB ADV PUNCT CCONJ PRON AUX ADV ADV PART ADV ADJ DET ADJ NOUN PART VERB NOUN ADP SCONJ PART AUX VERB ADP ADJ DET ADJ NOUN PRON VERB ADP CCONJ PRON ADP PRON VERB CCONJ ADJ CCONJ ADJ PUNCT SPACE PRON VERB PRON AUX PRON PRON AUX AUX ADP SCONJ PART VERB PRON ADJ CCONJ ADJ SCONJ SCONJ SCONJ SCONJ PRON AUX DET NOUN ADP PROPN PUNCT CCONJ PRON PRON AUX VERB ADJ ADV VERB PRON ADV ADP DET ADJ NOUN PRON AUX VERB PRON ADP DET NOUN PRON VERB ADJ CCONJ ADJ CCONJ ADJ ADJ SCONJ PRON PART ADV AUX AUX ADP PROPN PRON ADV VERB ADJ CCONJ ADJ ADJ ADV SCONJ PRON AUX AUX ADJ ADJ ADP DET NOUN PRON ADP PROPN PUNCT SPACE PRON AUX ADV PART VERB DET DET ADP DET NOUN SCONJ SCONJ PROPN AUX VERB DET ADJ ADJ NOUN SCONJ PRON AUX,0.03858875413450937,0.35377622377622486,200,907,0.825,0.5214075734400783
"[Så, var, det, kanskje, i, en, tid, ,, tenkte, jeg, på, den, gode, stemningen, som, alltid, får, oss, til, å, le, ., Det, hadde, jeg, ,, og, kanskje, jeg, også, skulle, bli, ferdig, med, denne, flotte, leiligheten, ,, det, hadde, jeg, sagt, før, ., Isteden, brukte, jeg, den, så, og, si, på, en, måte, å, gjøre, ferdig, et, hus, og, sette, i, en, skuff, ,, men, det, var, da, ingenting, i, forhold, til, hvordan, dette, var, ., Men, det, gjorde, liksom, ikke, saken, bedre, ., 
, Jeg, får, nyte, dagene, med, litt, god, samvittighet, for, meg, selv, ,, og, det, er, jeg, faktisk, utrolig, glad, for, ., Året, rundt, på, jobben, er, det, litt, av, en, oppgave, å, lage, meg, en, hel, vegg, over, en, vegg, som, jeg, ville, ha, gjort, om, jeg, måtte, være, alene, ,, men, det, har, gått, så, forferdelig, fort, til, at, jeg, ikke, har, gjort, det, ,, og, alle, bildene, som, har, kommet, fra, leiligheten, vet, jeg, jo, ikke, hva, som, skal, til, for, å, gi, et, best, mulig, inntrykk, og, det, er, jo, utrolig, hvordan, man, har, fått, en, ny, jobb, ,, og, alt, er, blitt, en, veldig, god, en, ., Så, på, jobb, idag, tenkte, jeg, det, var, lurt, å, ikke, være, hjemme]",ADV AUX PRON ADV ADP DET NOUN PUNCT VERB PRON ADP DET ADJ NOUN PRON ADV VERB PRON SCONJ PART VERB PUNCT PRON VERB PRON PUNCT CCONJ ADV PRON ADV AUX VERB ADJ ADP DET ADJ NOUN PUNCT PRON AUX PRON VERB ADP PUNCT ADV VERB PRON PRON VERB CCONJ VERB ADP DET NOUN PART VERB ADJ DET NOUN CCONJ VERB ADP DET NOUN PUNCT CCONJ PRON VERB ADV PRON ADP NOUN ADP ADV PRON AUX PUNCT CCONJ PRON VERB ADV PART NOUN ADJ PUNCT SPACE PRON AUX VERB NOUN ADP ADJ ADJ NOUN ADP PRON DET PUNCT CCONJ PRON AUX PRON ADJ ADJ ADJ ADP PUNCT NOUN ADP ADP NOUN AUX PRON ADJ ADP DET NOUN PART VERB PRON DET ADJ NOUN ADP DET NOUN PRON PRON AUX AUX VERB SCONJ PRON AUX AUX ADV PUNCT CCONJ PRON AUX VERB ADV ADJ ADJ SCONJ SCONJ PRON PART AUX VERB PRON PUNCT CCONJ DET NOUN PRON AUX VERB ADP NOUN VERB PRON ADV PART PRON PRON VERB ADP SCONJ PART VERB DET ADJ ADJ NOUN CCONJ PRON AUX ADV ADJ ADV PRON AUX VERB DET ADJ NOUN PUNCT CCONJ PRON AUX VERB DET ADJ ADJ DET PUNCT ADV ADP NOUN ADV VERB PRON PRON AUX ADJ PART PART AUX SCONJ,0.036170212765957444,0.36572390572390495,210,940,0.7238095238095238,0.5094772132402307
"[Det, var, som, vanlig, at, det, gikk, unna, slik, at, man, ikke, skulle, sette, inn, flere, penger, i, en, butikk, på, denne, måten, ., Det, blir, vanskelig, å, selge, slike, ., Men, sånn, ser, det, ut, når, man, ikke, skal, spytte, det, over, i, de, andre, butikkene, ,, sier, hun, ., 
, Tilsynet, ser, altså, at, det, er, vanskelig, å, få, et, slikt, salg, inn, i, bankhvelvet, og, den, som, kjøper, inn, vara, ., Men, dette, kan, komme, på, is, ., Pappa, :, Hvordan, bør, det, gå, med, dette, systemet, ?, 
, Fakta, :, Forbrukerrådet, ., Foto, :, Melløs, i, en, lokalavis, 
, En, viktig, sak, som, er, vanskelig, å, diskutere, ,, dreier, seg, om, mangelfull, informasjon, ,, og, det, har, også, Forbrukerrådet, stilt, seg, bak, ,, skriver, Forbrukertilsynet, ., 
, Forbrukerrådet, har, vært, i, kontakt, med, Forbrukertilsynet, og, de, har, bedt, om, at, forbrukerne, ser, på, dette, og, har, innhentet, nødvendig, informasjon, fra, Forbrukertilsynet, ., Forbrukertilsynets, eksperter, er, enige, om, at, man, bør, be, om, mer, informasjon, etter, at, dette, er, gjort, ., Forbrukerrådet, har, vurdert, dette, og, viser, til, at, Forbrukertil]",PRON AUX ADP ADJ SCONJ PRON VERB ADP ADV SCONJ PRON PART AUX VERB ADP ADJ NOUN ADP DET NOUN ADP DET NOUN PUNCT PRON VERB ADJ PART VERB DET PUNCT CCONJ ADV VERB PRON ADP SCONJ PRON PART AUX VERB PRON ADP ADP DET DET NOUN PUNCT VERB PRON PUNCT SPACE NOUN VERB ADV SCONJ PRON AUX ADJ PART VERB DET DET NOUN ADP ADP NOUN CCONJ PRON PRON VERB ADP NOUN PUNCT CCONJ PRON AUX VERB ADP NOUN PUNCT NOUN PUNCT ADV AUX PRON VERB ADP DET NOUN PUNCT SPACE NOUN PUNCT PROPN PUNCT NOUN PUNCT ADJ ADP DET NOUN SPACE DET ADJ NOUN PRON AUX ADJ PART VERB PUNCT VERB PRON ADP ADJ NOUN PUNCT CCONJ PRON AUX ADV PROPN VERB PRON ADP PUNCT VERB PROPN PUNCT SPACE NOUN AUX AUX ADP NOUN ADP PROPN CCONJ PRON AUX VERB SCONJ SCONJ NOUN VERB ADP PRON CCONJ AUX VERB ADJ NOUN ADP PROPN PUNCT NOUN NOUN AUX ADJ SCONJ SCONJ PRON AUX VERB ADP ADJ NOUN SCONJ SCONJ PRON AUX VERB PUNCT PROPN AUX VERB PRON CCONJ VERB SCONJ SCONJ PROPN,0.039445628997867806,0.3807424071990997,183,938,0.6284153005464481,0.4092549577725509
"[Det, er, ikkje, lenger, nødvendig, av, en, eller, flere, grunner, ,, at, det, alltid, ligg, et, særleg, fastsett, vilkår, på, basis, av, eit, omsyn, ., Av, lovtekstene, står, det, òg, meir, om, til, dels, endrar, reglementet, og, krav, til, lovheimel, som, gjeld, til, dømes, ikkje, å, vere, avgrensa, av, lov, ,, som, er, heimel, i, den, generelle, ordlyden, her, ., 
, Det, kan, veri, at, av, lovendringane, kan, skje, ei, tilpassing, i, høve, til, lova, som, gjeld, på, eit, avgrensa, område, ., Vidare, kan, det, veri, at, desse, lovendringane, finst, i, andre, offentlege, forskrifter, ,, som, det, same, skal, gjelde, for, lov, om, rett, til, innsyn, og, til, å, gje, innsyn, i, lovføresegnene, til, det, enkelte, offentleg, forvaltningsorgan, ., Departementet, meiner, at, dette, vil, gjere, offentleg, forvalting, meir, effektiv, og, tilpassa, meir, byråkratisk, og, rettstryggleik, ., Departementet, bør, etter, forslaget, sjå, nærare, på, kva, som, er, særleg, praktisk, og, effektiv, rettstryggleik, ,, og, vil, derfor, vurdere, om, eit, slikt, sær]",PRON AUX ADV ADJ ADJ ADP DET CCONJ ADJ NOUN PUNCT SCONJ PRON ADV VERB DET NOUN VERB NOUN ADP NOUN ADP DET NOUN PUNCT ADP NOUN VERB PRON ADV PROPN ADP ADP NOUN VERB NOUN CCONJ NOUN ADP NOUN ADP NOUN ADP NOUN X PART AUX ADJ ADP NOUN PUNCT PRON AUX NOUN ADP DET ADJ NOUN ADV PUNCT SPACE PRON AUX NOUN SCONJ ADP NOUN AUX VERB DET NOUN ADP NOUN ADP NOUN ADP NOUN ADP DET ADJ NOUN PUNCT PROPN AUX PRON NOUN SCONJ X X PROPN ADP DET ADJ NOUN PUNCT PRON DET X AUX VERB ADP NOUN ADP NOUN ADP NOUN CCONJ ADP PART VERB NOUN ADP NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN VERB SCONJ PRON AUX VERB ADJ NOUN ADV ADJ CCONJ VERB PROPN ADJ CCONJ NOUN PUNCT NOUN AUX ADP NOUN ADV PROPN ADP NOUN PRON AUX NOUN ADJ CCONJ ADJ NOUN PUNCT CCONJ AUX ADV VERB ADP DET DET ADJ,0.0359955005624297,0.34940476190476216,160,889,0.625,0.2859626112621195
"[Kor, mange, prosent, på, banen, ble, det, i, formiddag, opp, til, tre, poeng, til, en, mann, i, slutten, av, 20-årene, og, han, i, starten, av, 20-årene, .,    , ., Han, ble, nummer, 50, i, 30-årsklassen, ,, men, hadde, det, litt, travelt, i, løpet, av, den, første, etappen, ., –, Jeg, var, spent, på, hvordan, vi, skulle, holde, pulsen, i, de, første, 30-, kilometeren, for, å, komme, helt, over, mål, ., Det, er, mange, vanskelige, løp, ,, sier, han, i, etterkant, av, lørdagens, etappe, ., 
, Lørdagens, etappe, av, Kon-Tiki, Rundt, ble, rundet, av, med, et, lagtempo, ., Der, tok, han, den, helt, inn, ,, og, han, fikk, med, seg, en, seier, ., –, Jeg, tok, et, steg, og, var, godt, i, gang, ,, forteller, han, ., 
, Jørgen, Krogh, ble, nummer, 45, i, 50-årsklassen, ,, og, han, fikk, en, ny, sjanse, i, andre, etappe, ., Han, måtte, stå, hardt, på, tetbeltet, for, å, holde, tempoet, ., Det, gikk, fint, på, de, fire, siste, rundene, med, både, seier, og, seier, i, 60-son]",ADV ADJ NOUN ADP NOUN AUX PRON ADP NOUN ADP ADP NUM NOUN ADP DET NOUN ADP NOUN ADP NOUN CCONJ PRON ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB NOUN NUM ADP NOUN PUNCT CCONJ VERB PRON ADJ ADJ ADP NOUN ADP DET ADJ NOUN PUNCT PUNCT PRON AUX ADJ SCONJ ADV PRON AUX VERB NOUN ADP DET ADJ ADJ NOUN SCONJ PART VERB ADJ ADP NOUN PUNCT PRON VERB ADJ ADJ NOUN PUNCT VERB PRON ADP NOUN ADP NOUN NOUN PUNCT SPACE NOUN NOUN ADP PROPN ADP AUX VERB ADP ADP DET NOUN PUNCT ADV VERB PRON PRON ADJ ADP PUNCT CCONJ PRON VERB ADP PRON DET NOUN PUNCT PUNCT PRON VERB DET NOUN CCONJ AUX ADJ ADP NOUN PUNCT VERB PRON PUNCT SPACE PROPN PROPN VERB NOUN NUM ADP NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX VERB ADJ ADP NOUN SCONJ PART VERB NOUN PUNCT PRON VERB ADJ ADP DET NUM ADJ NOUN ADP CCONJ NOUN CCONJ NOUN ADP NOUN,0.0532994923857868,0.38876860622462794,171,788,0.6257309941520468,0.3494841732453694
"[Det, er, veldig, mye, å, sette, i, verk, for, ., De, vil, i, hovedsak, bli, de, beste, på, et, sted, der, vi, kan, ha, et, variert, tilbud, av, kurs, ,, med, både, fysiske, og, juridiske, kurs, ., Det, har, nemlig, vært, få, slike, kurs, ,, og, de, har, kunnet, sette, i, verk, tiltak, for, å, styrke, rekrutteringen, av, norske, jenter, til, dette, faget, ., Det, har, også, ført, til, at, flere, av, aktørene, som, driver, for, menn, har, fått, øynene, opp, for, det, de, kan, tilby, og, få, tilgang, til, som, følge, av, at, de, har, mange, gode, kandidater, ,, som, kanskje, ikke, har, vist, seg, relevante, i, sitt, fagfelt, ., 
, I, et, forsøk, på, å, se, hvordan, det, norske, samfunnsmodellen, har, fungert, ,, har, vi, sett, på, hvilke, fordeler, det, er, for, Norge, at, det, gis, den, høyeste, kompetansekrav, til, jenter, ., Vi, ser, også, at, likestillingsarbeidet, har, blitt, bedre, på, flere, områder, av, samfunnslivet, og, har, økt, den, senere, tiden, ., Dette, har, vært, en, utfordring, ., Norge, er, et, av, ti, land, som, har, kommet, til, etter, krigen, og, har, derfor, lagt, ned, ., Det, er, en, av, de, fremste, og, eldste, sektorer, i, Norge, ,, og]",PRON AUX ADJ ADJ PART VERB ADP NOUN ADP PUNCT PRON AUX ADP NOUN VERB DET ADJ ADP DET NOUN SCONJ PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT ADP CCONJ ADJ CCONJ ADJ NOUN PUNCT PRON AUX ADV AUX VERB DET NOUN PUNCT CCONJ PRON AUX AUX VERB ADP NOUN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN ADP DET NOUN PUNCT PRON AUX ADV VERB SCONJ SCONJ ADJ ADP NOUN PRON VERB ADP NOUN AUX VERB NOUN ADP ADP PRON PRON AUX VERB CCONJ VERB NOUN ADP ADP NOUN SCONJ SCONJ PRON VERB ADJ ADJ NOUN PUNCT PRON ADV PART AUX VERB PRON ADJ ADP PRON NOUN PUNCT SPACE ADP DET NOUN SCONJ PART VERB ADV DET ADJ NOUN AUX VERB PUNCT AUX PRON VERB ADP DET NOUN PRON AUX ADP PROPN SCONJ PRON VERB DET ADJ NOUN ADP NOUN PUNCT PRON VERB ADV SCONJ NOUN AUX VERB ADJ ADP ADJ NOUN ADP NOUN CCONJ AUX VERB DET ADJ NOUN PUNCT PRON AUX AUX DET NOUN PUNCT PROPN AUX DET ADP NUM NOUN PRON AUX VERB ADP ADP NOUN CCONJ AUX ADV VERB ADP PUNCT PRON AUX DET ADP DET ADJ CCONJ ADJ NOUN ADP PROPN PUNCT CCONJ,0.03329864724245578,0.37712719298245573,201,961,0.681592039800995,0.4607016580450532
