tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, mulig, å, si, det, før, neste, verdenskrig, kom, for, dagen, :, Tyskland, er, et, av, de, farligste, land, som, fortsatt, er, i, krig, ., Den, norske, statsminister, Jan, Petersen, har, kalt, sitt, løfte, til, de, allierte, utpå, vårparten, om, å, gjøre, alle, krigshandlinger, til, forbrytelser, ,, og, han, ville, derfor, ha, med, det, norske, forsvar, i, krigen, ved, en, eventuell, militær, krig, ., Det, er, så, ufattelig, at, det, er, et, stort, nederlag, ., Han, står, sammen, med, en, av, våre, fremste, militære, ledere, i, et, forsøk, på, å, få, USA, og, Sverige, til, å, bryte, sammen, i, krig, ., ., 
, Men, er, man, med, på, å, gi, den, nye, generasjonen, så, store, fordeler, som, det, vi, har, ,, er, den, avhengig, av, at, man, samtidig, i, Norge, klarer, å, holde, det, norske, forsvar, oppe, ., Den, norske, regjerings, rolle, som, utenriksminister, er, så, langt, den, er, kommet, til, uttrykk, i, en, rekke, konkrete, saker, rundt, dette, spørsmålet, og, samtidig, utadvendt, ,, nærmest, politisk, :, i, det, hele, tatt, å, få, den, utenrikspolitikken, vi, har, i, dag, ., 
, seg, med, i, det, ., Den, norske]",CCONJ PRON AUX PART ADJ PART VERB PRON ADP DET NOUN VERB ADP NOUN PUNCT PROPN AUX DET ADP DET ADJ NOUN PRON ADV AUX SCONJ NOUN PUNCT DET ADJ NOUN PROPN PROPN AUX VERB PRON NOUN ADP DET ADJ ADP NOUN SCONJ PART VERB DET NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV VERB ADP DET ADJ NOUN ADP NOUN ADP DET ADJ ADJ NOUN PUNCT PRON AUX ADV ADJ SCONJ PRON AUX DET ADJ NOUN PUNCT PRON VERB ADV ADP DET ADP PRON ADJ ADJ NOUN ADP DET NOUN SCONJ PART VERB PROPN CCONJ PROPN SCONJ PART VERB ADV ADP NOUN PUNCT PUNCT SPACE CCONJ AUX PRON ADP SCONJ PART VERB DET ADJ NOUN ADV ADJ NOUN ADP PRON PRON VERB PUNCT AUX PRON ADJ SCONJ SCONJ PRON ADJ ADP PROPN VERB PART VERB DET ADJ NOUN ADP PUNCT DET ADJ NOUN NOUN ADP NOUN AUX ADV ADJ PRON AUX VERB ADP NOUN ADP DET NOUN ADJ NOUN ADP DET NOUN CCONJ ADJ ADJ PUNCT ADJ ADJ PUNCT ADP DET ADJ VERB PART VERB DET NOUN PRON VERB ADP NOUN PUNCT SPACE PRON ADP ADP PRON PUNCT DET ADJ,0.041357370095440084,0.36382550335570507,191,943,0.675392670157068,0.4628679851149236
"[Det, var, ein, av, fleire, folk, som, skreiv, fram, si, liste, av, folk, frå, bygda, sine, spele-, og, leikeplass, ,, og, dette, var, som, ein, del, av, laget, vårt, ., Vi, meinte, ein, slik, leik, var, litt, av, eit, «, nykomantisk, », spelet, for, å, fortelja, om, laga, ,, fortel, Jon, Erik, Brekkhus, ., Vi, hadde, eit, veldig, godt, forhold, til, dette, spelet, ,, og, i, leikelaget, song, dei, i, lag, ,, kor, som, dei, hadde, fått, lov, å, spele, ., Det, er, vel, ikkje, det, at, alle, laga, song, for, å, vera, ein, god, «, pappa, », for, born, ., Eg, var, sjølv, innom, på, turneringa, ., Så, her, var, det, litt, av, hyggeleg, at, vi, hadde, eit, godt, lag, ,, seier, han, ., 
, Etter, turneringa, var, det, samlingsstundar, ,, på, ettermiddagen, var, det, samlingsstund, før, kvel, den, ., Ein, del, av, desse, gjekk, gjennom, ein, stad, ,, og, eg, skal, oppsummere, kven, som, var, i, området, etter, denne, dagen, ., Forhåpet, hadde, ikkje, vore, ute, av, bana, ,, for, vi, skulle, ha, innleigd, eit, spel]",PRON AUX X ADP ADJ NOUN PRON VERB ADP VERB NOUN ADP NOUN ADP NOUN PRON NOUN CCONJ NOUN PUNCT CCONJ PRON AUX ADP ADJ NOUN ADP NOUN PRON PUNCT PRON VERB X X NOUN AUX ADJ ADP DET PUNCT ADJ PUNCT NOUN SCONJ PART VERB ADP NOUN PUNCT X PROPN PROPN PROPN PUNCT PRON VERB DET ADJ ADJ NOUN ADP DET NOUN PUNCT CCONJ ADP NOUN X X ADP NOUN PUNCT ADV PRON PRON AUX VERB NOUN PART VERB PUNCT PRON AUX ADV X PRON SCONJ DET ADJ NOUN SCONJ PART X X X PUNCT NOUN PUNCT ADP PROPN PUNCT PROPN AUX ADJ ADP ADP NOUN PUNCT ADV ADV VERB PRON ADJ ADP PROPN SCONJ PRON VERB DET ADJ NOUN PUNCT NOUN PRON PUNCT SPACE ADP NOUN VERB PRON PROPN PUNCT ADP NOUN VERB PRON ADV ADP VERB PRON PUNCT ADJ NOUN ADP X X ADP X X PUNCT CCONJ PRON AUX VERB NOUN PRON AUX ADP NOUN ADP DET NOUN PUNCT NOUN VERB X X ADP ADP PROPN PUNCT CCONJ PRON AUX VERB VERB PROPN X,0.045177045177045176,0.3751948051948053,178,819,0.6460674157303371,0.3243554682997333
"[Det, var, så, godt, over, det, hele, at, de, hadde, snakket, litt, om, det, før, ., Jeg, begynte, å, kjede, meg, litt, da, jeg, tenkte, på, alle, de, fine, bildene, jeg, hadde, fått, ,, og, at, så, fikk, jeg, en, følelse, av, at, dette, fortsatt, fantes, der, ., Han, smilte, varmt, og, tok, opp, den, tykke, manken, han, hadde, rundt, halsen, mens, han, fortalte, og, så, på, fotografen, bakfra, ., 
, Katten, var, helt, i, hundre, og, fem, og, en, time, fra, starten, ,, og, det, var, ikke, mulig, å, se, noe, annet, enn, at, det, var, mange, gode, bilder, med, en, lykkelig, slutt, ., Og, han, tok, godt, vare, på, dem, i, sin, nydelige, ponni-kitteløsning, og, de, to, jeg, hadde, sett, hele, tiden, ., 
, Han, fortalte, så, utrolig, mye, om, alt, jeg, hadde, opplevd, ., Det, var, ikke, det, at, jeg, hadde, sett, alle, tingene, jeg, hadde, opplevd, ., Det, var, ikke, det, at, jeg, hadde, sett, ALLE, mennesker, rundt, meg, ., 
, Det, var, noe, rart, med, den, lille, jenta, som, sto, stille, og, ventet, mens, hun, snakket, om, alt, ,, og, som, alltid, gjorde, alt, riktig, på, en, gang, ., Det, var, så, godt, og, varmt, i, henne, .]",PRON AUX ADV ADJ ADP DET ADJ SCONJ PRON AUX VERB ADJ ADP PRON ADP PUNCT PRON VERB PART VERB PRON ADJ SCONJ PRON VERB ADP DET DET ADJ NOUN PRON AUX VERB PUNCT CCONJ SCONJ ADV VERB PRON DET NOUN SCONJ SCONJ PRON ADV VERB ADV PUNCT PRON VERB ADJ CCONJ VERB ADP DET ADJ NOUN PRON VERB ADP NOUN SCONJ PRON VERB CCONJ ADV ADP NOUN ADP PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ NUM CCONJ DET NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADJ PART VERB DET DET SCONJ SCONJ PRON VERB ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADJ NOUN ADP PRON ADP PRON ADJ NOUN CCONJ DET NUM PRON AUX VERB ADJ NOUN PUNCT SPACE PRON VERB ADV ADJ ADJ ADP PRON PRON AUX VERB PUNCT PRON AUX PART PRON SCONJ PRON AUX VERB DET NOUN PRON AUX VERB PUNCT PRON AUX PART PRON SCONJ PRON AUX VERB DET NOUN ADP PRON PUNCT SPACE PRON AUX DET ADJ ADP DET ADJ NOUN PRON VERB ADJ CCONJ VERB SCONJ PRON VERB ADP PRON PUNCT CCONJ PRON ADV VERB PRON ADJ ADP DET NOUN PUNCT PRON AUX ADV ADJ CCONJ ADJ ADP PRON PUNCT,0.03917301414581066,0.3660689655172416,203,919,0.7339901477832512,0.4116922523006632
"[Ja, det, var, det, som, tok, en, annen, pause, ,, sier, Degernes, ,, som, etter, en, kort, pause, dro, på, med, et, smil, til, Giske, og, så, et, glimt, fra, Største, Minne, ., 
, -, Jeg, har, aldri, sett, en, så, ung, pike, på, 15, år, i, stua, i, Oslo, ., Det, var, faktisk, et, sånt, fjes, der, ., ., 
, I, tillegg, snakket, han, om, det, store, utvalget, av, modeller, -, gjerne, med, et, eller, annet, foran, .,  , På, den, tiden, jobbet, han, på, SI&S, ,, der, han, blant, annet, har, hatt, foto, og, filmprosjekt, hvor, han, blant, annet, har, jobbet, med, å, lansere, de, beste, modellene, ,, i, tillegg, til, salg, av, nye, modeller, fra, noen, av, landets, mer, fremadstormende, produsenter, .,  , I, dag, har, han, hatt, en, rekke, forskjellige, oppdrag, fra, filmprodusentene, som, Giske, ,, Finn, og, Cille, Brækhus, ., Disse, har, laget, film, på, en, måte, som, får, flere, til, å, velge, å, satse, i, utlandet, ., 
, -, Jeg, ville, bare, si, at, om, jeg, skulle, valgt, et, slikt, prosjekt, ,, så, hadde, jeg, tatt, litt, grep, på, det, ,, men]",INTJ PRON AUX PRON PRON VERB DET DET NOUN PUNCT VERB PROPN PUNCT PRON ADP DET ADJ NOUN VERB ADP ADP DET NOUN ADP PROPN CCONJ ADV DET NOUN ADP PROPN NOUN PUNCT SPACE PUNCT PRON AUX ADV VERB DET ADV ADJ NOUN ADP NUM NOUN ADP NOUN ADP PROPN PUNCT PRON AUX ADJ DET DET NOUN ADV PUNCT PUNCT SPACE ADP NOUN VERB PRON ADP DET ADJ NOUN ADP NOUN PUNCT ADV ADP DET CCONJ DET ADP PUNCT SPACE ADP DET NOUN VERB PRON ADP PROPN PUNCT SCONJ PRON ADP DET AUX VERB NOUN CCONJ NOUN ADV PRON ADP DET AUX VERB SCONJ PART VERB DET ADJ NOUN PUNCT ADP NOUN ADP NOUN ADP ADJ NOUN ADP DET ADP NOUN ADJ ADJ NOUN PUNCT SPACE ADP NOUN AUX PRON VERB DET NOUN ADJ NOUN ADP NOUN PRON PROPN PUNCT PROPN CCONJ PROPN PROPN PUNCT PRON AUX VERB NOUN ADP DET NOUN PRON VERB ADJ SCONJ PART VERB PART VERB ADP NOUN PUNCT SPACE PUNCT PRON AUX ADV VERB SCONJ SCONJ PRON AUX VERB DET DET NOUN PUNCT ADV AUX PRON VERB ADJ NOUN ADP PRON PUNCT CCONJ,0.05058823529411765,0.37428214731585446,188,850,0.6329787234042553,0.3590282658293751
"[Ja, det, er, ingen, stor, sjanse, ., De, er, ikke, for, alle, ., Det, er, en, lettvindt, sag, ., Lønsomt, ,, sier, han, ., 
, medlemmer, i, det, amerikanske, fotballstjernelaget, Kitzbuheli, har, vært, i, kontakt, med, det, amerikanske, fotballforbundet, ., -, Det, å, jobbe, i, klubben, er, viktig, ., Fotball, er, en, av, de, store, drivkrefter, for, å, få, mer, kontroll, ., Nå, har, Norge, vist, at, vi, klarer, å, skape, en, god, fot, ball-hverdag, ,, mener, Kitzbuhle, ., De, har, ikke, brukt, dop, før, ., Likevel, har, klubben, fått, med, seg, at, Kitzbuheli, har, vært, i, forhandlinger, med, klubben, ., -, Denne, saken, har, fått, en, betydelig, opp, merksomhet, siden, vi, sa, opp, kontrakten, med, Kitz, buhl, med, Kitzbuhle, ,, og, er, blitt, kjent, med, hverandre, ,, sier, Kitzbuhle, ., De, fleste, spillerne, som, har, meldt, seg, nå, i, dag, for, landslags, spillerne, blir, tatt, ut, etter, kvalifiseringskamper, allerede, fra, start, ., 
, -, Om, alt, går, etter, planen, og, resultatene, blir, bedre, ,, bør, vi, fortsette, som, før, ., Det, er, en]",INTJ PRON VERB DET ADJ NOUN PUNCT PRON AUX PART ADP PRON PUNCT PRON AUX DET ADJ NOUN PUNCT ADJ PUNCT VERB PRON PUNCT SPACE NOUN ADP DET ADJ NOUN PROPN AUX VERB ADP NOUN ADP DET ADJ NOUN PUNCT PUNCT PRON PART VERB ADP NOUN AUX ADJ PUNCT NOUN AUX DET ADP DET ADJ NOUN SCONJ PART VERB ADJ NOUN PUNCT ADV AUX PROPN VERB SCONJ PRON VERB PART VERB DET ADJ NOUN NOUN PUNCT VERB PROPN PUNCT PRON AUX PART VERB NOUN ADP PUNCT ADV AUX NOUN VERB ADP PRON SCONJ PROPN AUX VERB ADP NOUN ADP NOUN PUNCT PUNCT DET NOUN AUX VERB DET ADJ ADP NOUN SCONJ PRON VERB ADP NOUN ADP PROPN NOUN ADP PROPN PUNCT CCONJ AUX AUX VERB ADP PRON PUNCT VERB PROPN PUNCT DET ADJ NOUN PRON AUX VERB PRON ADV ADP NOUN ADP PROPN NOUN AUX VERB ADP ADP NOUN ADV ADP NOUN PUNCT SPACE PUNCT SCONJ PRON VERB ADP NOUN CCONJ NOUN VERB ADJ PUNCT AUX PRON VERB ADP ADP PUNCT PRON AUX DET,0.04233409610983982,0.4008242424242394,174,874,0.6091954022988506,0.4423389693183459
"[Så, var, det, full, fest, ,, da, var, over, alle, målbud, ., Den, lille, gullklokken, ble, så, klar, og, rund, som, den, beste, som, er, igjen, i, den, store, klubben, ., Men, der, satte, gutta, igjen, inn, seieren, ., –, Da, må, vi, huske, at, vi, er, et, lag, der, vi, har, alle, mulighe, tene, til, å, gjøre, som, i, fjor, hadde, vi, to, gode, målvakter, ,, sier, trener, Torstein, Lødemel, ., 
, –, De, siste, kampene, har, de, vært, over, all, forventning, så, lenge, vi, har, spilt, med, så, stor, fortrolighet, og, respekt, ., Vi, føler, nå, at, vi, har, gått, for, seier, med, stort, utbytte, i, begge, kamper, ,, og, det, er, klart, at, vi, har, lyst, til, å, ha, en, god, start, der, og, da, ., 
, 11-1, til, Sandefjord, ., En, kamp, som, også, er, den, eneste, i, verden, som, har, mye, å, spille, for, ., Sandefjord, ligger, på, sjetteplass, ,, og, har, fem, spillere, ., Det, kan, være, like, vanskelig, å, spille, sammen, med, dem, som, i, de, andre, tre, kampene, ., –, Jeg, synes, vi, er, inne, i, et, veldig, godt, utviklings, stadie, ., Alle, våre, spillere, blir]",ADV VERB PRON ADJ NOUN PUNCT ADV AUX ADP DET NOUN PUNCT DET ADJ NOUN VERB ADV ADJ CCONJ NOUN SCONJ DET ADJ PRON AUX ADV ADP DET ADJ NOUN PUNCT CCONJ ADV VERB NOUN ADV ADP NOUN PUNCT PUNCT ADV AUX PRON VERB SCONJ PRON AUX DET NOUN SCONJ PRON VERB DET NOUN NOUN SCONJ PART VERB PRON ADP NOUN VERB PRON NUM ADJ NOUN PUNCT VERB NOUN PROPN PROPN PUNCT SPACE PUNCT DET ADJ NOUN AUX PRON AUX ADP DET NOUN ADV ADJ PRON AUX VERB ADP ADV ADJ NOUN CCONJ NOUN PUNCT PRON VERB ADV SCONJ PRON AUX VERB ADP NOUN ADP ADJ NOUN ADP DET NOUN PUNCT CCONJ PRON AUX ADJ SCONJ PRON VERB NOUN SCONJ PART VERB DET ADJ NOUN ADV CCONJ ADV PUNCT SPACE NUM ADP PROPN PUNCT DET NOUN PRON ADV AUX DET NUM ADP NOUN PRON VERB ADJ PART VERB ADP PUNCT PROPN VERB ADP NOUN PUNCT CCONJ VERB NUM NOUN PUNCT PRON AUX AUX ADV ADJ PART VERB ADV ADP PRON PRON ADP DET DET NUM NOUN PUNCT PUNCT PRON VERB PRON AUX ADP ADP DET ADJ ADJ ADJ NOUN PUNCT DET PRON NOUN VERB,0.04602991944764097,0.38285365853658543,194,869,0.6752577319587629,0.4441150536821672
"[Det, var, som, sagt, en, fantastisk, innsats, for, å, utvikle, seg, på, kort, sikt, ., Nå, er, du, bare, en, «, kongekrave, », hvis, du, ikke, er, så, god, på, begge, områder, ,, sier, hun, ., 
, Firmaet, er, også, til, stede, på, Rema, 1000, på, Sandvoll, ved, Ringebu, ., ., 
, –, Vi, har, en, god, avtale, med, flere, aktører, her, ., Nå, får, vi, et, par, ukers, venting, hos, oss, ,, som, igjen, er, verdt, enda, mer, for, oss, ., 
, Teknisksjefen, som, er, bosatt, ved, Digeråsen, gård, med, Rema, 1000, ,, driver, en, butikk, i, Rygge, ,, og, er, godt, kjent, både, hjemme, og, ute, med, sin, lokale, matvarebutikk, og, sin, egen, butikk, ., I, tillegg, bor, hun, som, tidligere, omtalt, inne, i, dagligvarebutikken, ., –, Jeg, synes, det, er, veldig, hyggelig, å, snakke, med, kundene, sine, om, det, ., 
, –, Da, jeg, kom, hit, på, den, tiden, ,, var, jeg, heldig, som, fikk, en, ny, butikk, ., En, kjempefin, butikk, med, alt, man, kan, se, frem, til, i, dag, ,, sier, hun, ., 
, Selskapet, leverer, og, selger, klær, til, alle, typer, mennesker, ,, uavhengig, av, kjønn, ,, alder, ,, hud]",PRON AUX SCONJ VERB DET ADJ NOUN SCONJ PART VERB PRON ADP ADJ NOUN PUNCT ADV AUX PRON ADV DET PUNCT PROPN PUNCT SCONJ PRON PART AUX ADV ADJ ADP DET NOUN PUNCT VERB PRON PUNCT SPACE NOUN AUX ADV ADP NOUN ADP PROPN NUM ADP PROPN ADP PROPN PUNCT PUNCT SPACE PUNCT PRON VERB DET ADJ NOUN ADP ADJ NOUN ADV PUNCT ADV VERB PRON DET NOUN NOUN NOUN ADP PRON PUNCT PRON ADV AUX ADJ ADV ADJ ADP PRON PUNCT SPACE NOUN PRON AUX ADJ ADP PROPN NOUN ADP PROPN NUM PUNCT VERB DET NOUN ADP PROPN PUNCT CCONJ AUX ADJ ADJ CCONJ ADP CCONJ ADP ADP PRON ADJ NOUN CCONJ PRON DET NOUN PUNCT ADP NOUN VERB PRON PRON ADJ VERB ADP ADP NOUN PUNCT PUNCT PRON VERB PRON AUX ADJ ADJ PART VERB ADP NOUN PRON ADP PRON PUNCT SPACE PUNCT SCONJ PRON VERB ADV ADP DET NOUN PUNCT AUX PRON ADJ PRON VERB DET ADJ NOUN PUNCT DET ADJ NOUN ADP PRON PRON AUX VERB ADP ADP ADP NOUN PUNCT VERB PRON PUNCT SPACE NOUN VERB CCONJ VERB NOUN ADP DET NOUN NOUN PUNCT ADJ ADP NOUN PUNCT NOUN PUNCT NOUN,0.04931192660550459,0.4022843256379103,196,872,0.5663265306122449,0.44149584614885296
"[Det, er, ikkje, en, nødvendig, for, å, lage, det, beste, og, beste, og, beste, ., Det, er, ei, ordning, i, eit, land, der, dei, som, treng, for, å, lage, det, beste, får, det, som, ein, vil, ., Det, handlar, ikkje, berre, å, utvikle, ,, det, handlar, også, på, folk, si, side, om, å, bli, det, beste, og, den, mest, attraktive, personen, i, verda, -, eller, på, eit, vis, ., Og, det, finst, i, dag, eit, system, der, alle, skal, ha, like, mykje, og, same, rett, som, folk, i, Noreg, ,, uavhengig, av, identiteten, til, ein, person, ., 
, Så, i, dag, er, spørsmålet, om, korleis, vi, skal, lage, det, beste, med, det, beste, er, svaret, vi, alle, vil, møte, ., Spørsmålet, om, kva, vi, gjer, oss, avhengig, av, og, kva, vi, vil, ta, hand, om, i, framtida, kjem, fram, litt, seinare, då, vi, har, teke, eit, steg, i, dette, å, gje, kundar, større, konkurranse, og, dermed, større, høve, til, innsyn, og, økonomisk, kontroll, ., 
, Med, denne, forståinga, frå, oss, kan, vi, gå, vidare, med, denne, tankegangen, og, legge, meir, vekt, på, dei, etiske, aspekta, og, perspektiva, vi, ser, med, den, globale, verda, endar, vi, kanskje, heller]",PRON AUX ADV DET ADJ SCONJ PART VERB DET ADJ CCONJ ADJ CCONJ ADJ PUNCT PRON AUX DET NOUN ADP DET NOUN SCONJ PRON ADP NOUN SCONJ PART VERB DET ADJ VERB PRON SCONJ X VERB PUNCT PRON X X X PART VERB PUNCT PRON NOUN ADV ADP NOUN VERB NOUN SCONJ PART VERB DET ADJ CCONJ DET ADJ ADJ NOUN ADP PROPN PUNCT CCONJ ADP DET NOUN PUNCT CCONJ DET ADJ ADP NOUN DET NOUN SCONJ PRON AUX VERB ADV ADJ CCONJ NOUN NOUN ADP NOUN ADP PROPN PUNCT ADJ ADP NOUN ADP X NOUN PUNCT SPACE ADV ADP NOUN VERB NOUN ADP ADV PRON AUX VERB DET ADJ ADP DET ADJ AUX NOUN PRON DET AUX VERB PUNCT NOUN ADP PRON PRON VERB PRON ADJ ADP CCONJ ADV PRON AUX VERB NOUN ADP ADP NOUN VERB ADP X X X PRON VERB VERB X NOUN ADP PRON PART VERB PROPN ADJ NOUN CCONJ ADV ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT SPACE ADP DET NOUN NUM PRON AUX PRON VERB PROPN ADP DET NOUN CCONJ VERB PROPN NOUN ADP NOUN ADJ NOUN CCONJ PROPN PRON VERB ADP DET ADJ NOUN PROPN PRON ADV ADV,0.03556034482758621,0.35326507394766604,197,928,0.7208121827411168,0.2902144221620784
"[Kor, mange, prosent, av, alle, er, helt, uten, en, eller, annen, form, for, språk, eller, har, et, annet, språk, man, kan, prate, med, enn, norsk, ., Dette, er, jo, det, nye, språket, som, det, nytter, å, få, i, tale, ., Skal, noen, snakke, med, en, tysk, som, er, helt, blottet, for, meninger, vil, det, være, en, god, idé, å, legge, på, en, lang, diskusjon, med, en, tysk, hvis, han, føler, at, han, bør, bruke, et, ord, ., Hvis, ikke, er, jo, det, et, spørsmål, hvordan, det, så, skal, fungere, å, snakke, med, en, tysk, som, er, helt, blottet, for, meninger, og, dessuten, i, så, fall, være, litt, på, huet, hvis, tysk, er, over, ensartet, ., Mange, tyske, venner, har, gjerne, hørt, om, det, samme, ,, og, enkelte, tyske, venner, har, også, opplevd, at, en, tysk, ikke, vet, noe, som, de, ikke, kjenner, til, ., Når, så, en, tysk, skal, kunne, snakke, med, tyske, folk, så, må, det, jo, selvfølgelig, ta, mer, hensyn, til, de, som, har, tysk, dialekt, ., Når, det, gjelder, engelsk, så, er, det, viktig, å, holde, det, flytende, så, langt, som, mulig, ,, men, når, det, kommer, til, norsk, generelt, så, må, en, bruke, det, hele, tiden, og]",ADV ADJ NOUN ADP PRON AUX ADJ ADP DET CCONJ DET NOUN ADP NOUN CCONJ VERB DET DET NOUN PRON AUX VERB ADP ADP ADJ PUNCT PRON AUX ADV DET ADJ NOUN PRON PRON VERB PART VERB ADP NOUN PUNCT AUX PRON VERB ADP DET NOUN PRON AUX ADJ ADJ ADP NOUN AUX PRON AUX DET ADJ NOUN PART VERB ADP DET ADJ NOUN ADP DET NOUN SCONJ PRON VERB SCONJ PRON AUX VERB DET NOUN PUNCT SCONJ PART AUX ADV PRON DET NOUN ADV PRON ADV AUX VERB PART VERB ADP DET NOUN PRON AUX ADJ ADJ ADP NOUN CCONJ ADV ADP ADV NOUN AUX ADJ ADP NOUN SCONJ NOUN AUX SCONJ ADJ PUNCT ADJ ADJ NOUN AUX ADV VERB ADP DET DET PUNCT CCONJ ADJ ADJ NOUN AUX ADV VERB SCONJ DET NOUN PART VERB PRON PRON PRON PART VERB ADP PUNCT SCONJ ADV DET NOUN AUX AUX VERB ADP ADJ NOUN ADV AUX PRON ADV ADJ VERB ADJ NOUN ADP PRON PRON VERB ADJ NOUN PUNCT SCONJ PRON VERB NOUN ADV AUX PRON ADJ PART VERB DET ADJ ADV ADJ ADP ADJ PUNCT CCONJ SCONJ PRON VERB ADP ADJ ADJ ADV AUX PRON VERB DET ADJ NOUN CCONJ,0.03632478632478633,0.3612626832018033,201,936,0.7213930348258707,0.4016716400332284
"[Det, er, veldig, digg, at, de, skal, ut, på, tur, .,  , Vi, må, rett, og, slett, ikke, være, slik, vi, er, i, dag, ,, og, for, å, ta, det, neste, stykket, er, vi, nødt, til, å, prioritere, det, arbeidet, vi, har, lagt, ned, og, ikke, bare, drive, ,, sier, leder, i, Lommedalen, IL, ,, Stig, Inge, Hansen, ., Lommedalen, IL, starter, treningen, onsdag, 13., januar, i, regi, av, Lommedalsmopolisten, og, har, trening, i, regi, av, Lommedalen, IL, ., Påmelding, blir, via, www.vettreglene.no, for, å, komme, på, treningene, i, helgene, ., –, Men, det, har, vi, også, i, dag, med, alle, aldersparnere, ,, så, det, blir, ingen, av, disse, i, dag, ,, forteller, han, ., 
, Det, er, nå, fire, uker, til, seriestart, for, Lommedalen, IL, ., 
, Lommerådet, har, et, håp, om, at, de, kan, hjelpe, noen, fra, idrettslaget, ., Selv, om, det, er, en, travel, helg, kommer, laget, på, banen, med, en, klar, forventning, om, at, de, til, enhver, tid, har, den, idretten, de, skal, holde, på, med, ., –, Vi, har, nå, planlagt]",PRON AUX ADJ ADJ SCONJ PRON VERB ADP ADP NOUN PUNCT SPACE PRON AUX ADJ CCONJ ADJ PART AUX ADV PRON VERB ADP NOUN PUNCT CCONJ ADP PART VERB DET DET NOUN AUX PRON ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP CCONJ PART ADV VERB PUNCT VERB NOUN ADP PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN VERB NOUN NOUN ADJ NOUN ADP NOUN ADP PROPN CCONJ VERB NOUN ADP NOUN ADP PROPN ADP PUNCT NOUN VERB ADP PROPN SCONJ PART VERB ADP NOUN ADP NOUN PUNCT PUNCT CCONJ PRON VERB PRON ADV ADP NOUN ADP DET NOUN PUNCT CCONJ PRON VERB DET ADP PRON ADP NOUN PUNCT VERB PRON PUNCT SPACE PRON AUX ADV NUM NOUN ADP NOUN ADP PROPN ADP PUNCT SPACE NOUN VERB DET NOUN SCONJ SCONJ PRON AUX VERB PRON ADP NOUN PUNCT ADV SCONJ PRON AUX DET ADJ NOUN VERB NOUN ADP NOUN ADP DET ADJ NOUN SCONJ SCONJ PRON ADP DET NOUN VERB DET NOUN PRON AUX VERB ADP ADP PUNCT PUNCT PRON AUX ADV VERB,0.04895960832313342,0.36755208333333406,176,817,0.6306818181818182,0.48647614166418557
