tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, først, etter, den, såkalte, revolusjonen, i, 2010, at, landet, opplevde, den, raskeste, årlige, økningen, i, antall, drap, noensinne, ., 
, Den, arabiske, våren, var, en, viktig, årsak, til, at, antallet, økte, ., Landet, har, slitt, med, høy, arbeidsledighet, ,, inflasjon, og, streiker, ., Nå, håper, de, nye, myndighetene, å, stabilisere, landet, ., Mange, av, de, mest, voldelige, gruppene, er, satt, på, listen, over, forbudte, grupper, ,, selv, om, de, ikke, er, helt, forbudt, ,, melder, DPA, ., 
, Det, er, en, annen, gruppe, med, samme, navn, ,, Jemaah, Islamiyah, ,, som, står, bak, en, rekke, angrep, i, Indonesia, det, siste, tiåret, ., 
, Blant, annet, sto, gruppen, bak, angrepene, mot, Bali, i, 2002, ,, der, 202, mennesker, ble, drept, ., I, Jakarta, var, en, av, selvmordsbomberne, i, 2007, også, med, i, samme, gruppe, ., I, august, 2000, kjørte, gruppen, også, en, bilbombe, inn, i, den, amerikanske, ambassaden, i, Jakarta, ,, der, fem, sivile, og, to, angripere, ble, drept, ., 
, Norge, har, bidratt, i, de, maritime, styrkene, i, landet, ,, kalt, Ocean, Shield, ,, siden, sommeren, 2009.]",CCONJ PRON AUX ADV ADP DET ADJ NOUN ADP NUM SCONJ NOUN VERB DET ADJ ADJ NOUN ADP NOUN NOUN ADV PUNCT SPACE DET ADJ NOUN AUX DET ADJ NOUN SCONJ SCONJ NOUN VERB PUNCT NOUN AUX VERB ADP ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT ADV VERB DET ADJ NOUN PART VERB NOUN PUNCT ADJ ADP DET ADJ ADJ NOUN AUX VERB ADP NOUN ADP ADJ NOUN PUNCT ADV SCONJ PRON PART AUX ADJ ADJ PUNCT VERB PROPN PUNCT SPACE PRON AUX DET DET NOUN ADP DET NOUN PUNCT PROPN PROPN PUNCT PRON VERB ADP DET NOUN NOUN ADP PROPN DET ADJ NOUN PUNCT SPACE ADP DET VERB NOUN ADP NOUN ADP PROPN ADP NUM PUNCT SCONJ NUM NOUN AUX VERB PUNCT ADP PROPN AUX DET ADP NOUN ADP NUM ADV ADP ADP DET NOUN PUNCT ADP NOUN NUM VERB NOUN ADV DET NOUN ADP ADP DET ADJ NOUN ADP PROPN PUNCT SCONJ NUM ADJ CCONJ NUM NOUN AUX VERB PUNCT SPACE PROPN AUX VERB ADP DET ADJ NOUN ADP NOUN PUNCT VERB PROPN PROPN PUNCT ADP NOUN NUM,0.04782608695652174,0.38493685419058454,180,920,0.5,0.2791288561812983
"[Det, var, ein, nydeleg, sommardag, i, mai, ,, og, på, veg, ut, til, flyplassen, i, Trondheim, blei, eg, nesten, kvalm, av, å, sjå, kor, mykje, folk, som, var, ute, og, nyta, ., Ja, ,, det, var, ein, typisk, trøndersk, sommardag, ,, og, eg, skulle, ønska, at, eg, berre, kunne, bli, sittande, i, flytrappa, med, ein, gong, eg, kom, fram, ,, og, eta, ispinnar, og, sola, meg, heilt, til, flyet, gjekk, ., I, staden, var, det, ein, lang, dag, til, å, få, unnagjort, mest, mogleg, av, det, eg, hadde, vore, spent, på, og, tenkt, ein, del, på, ., Nokre, korte, samtalar, ,, litt, venting, i, spenning, ., Så, var, eg, framme, ., Eg, måtte, ut, å, ta, bilder, ,, av, både, den, eine, og, den, andre, flyplassen, ., Ja, ,, for, det, var, mykje, av, både, fly, og, flyselskap, der, ., 
, Då, eg, hadde, komt, til, Værnes, ,, var, det, tid, for, å, henta, rullestolen, ,, han, var, det, eg, hadde, grua, meg, mest, til, ., Det, er, vanskeleg, å, sei, kva, eg, grua, meg, mest, til, ,, å, få, rullestolen, ,, eller, å, bli]",PRON AUX X PROPN NOUN ADP NOUN PUNCT CCONJ ADP NOUN ADP ADP NOUN ADP PROPN X X ADV ADJ SCONJ PART VERB ADV ADJ NOUN PRON AUX ADP CCONJ NOUN PUNCT INTJ PUNCT PRON AUX ADJ ADJ ADJ NOUN PUNCT CCONJ X AUX VERB SCONJ X X AUX AUX ADJ ADP NOUN ADP X X X VERB ADP PUNCT CCONJ PROPN ADJ CCONJ ADJ PRON ADJ ADP NOUN VERB PUNCT ADP NOUN AUX PRON X ADJ NOUN SCONJ PART VERB VERB ADJ NOUN ADP PRON X X X ADJ ADP CCONJ VERB PROPN NOUN ADP PUNCT ADJ ADJ NOUN PUNCT ADJ NOUN ADP NOUN PUNCT ADV VERB PRON PROPN PUNCT PROPN VERB ADP PART VERB NOUN PUNCT ADP CCONJ DET NOUN CCONJ DET DET NOUN PUNCT INTJ PUNCT CCONJ PRON AUX ADJ ADP CCONJ NOUN CCONJ NOUN ADV PUNCT SPACE X X AUX VERB ADP PROPN PUNCT VERB PRON NOUN SCONJ PART VERB NOUN PUNCT PRON AUX PRON PRON VERB VERB PRON ADJ ADP PUNCT PRON AUX ADV PART VERB X X X PRON ADJ ADP PUNCT PART VERB NOUN PUNCT CCONJ PART VERB,0.04460966542750929,0.3842216358839043,185,807,0.6702702702702703,0.3525920221350472
"[Det, var, så, vidt, det, ble, NM, for, Per, Arne, i, det, hele, tatt, ,, fordi, han, er, for, opptatt, ., Han, har, en, veldig, hektisk, skoleår, på, gang, med, siste, innspurt, på, studiene, i, tillegg, til, jobben, på, Elkjøp, i, Vadsø, ., 
, –, Det, har, vært, noen, krevende, arbeidsdager, og, jeg, har, ikke, fått, ladet, opp, noe, særlig, ., Det, er, veldig, hektisk, og, mye, som, skjer, ,, blant, annet, har, det, blitt, gjort, om, på, vaktplanen, ,, sier, han, ., Men, heldigvis, ordnet, det, meste, seg, ., Det, var, aldri, et, tema, at, han, ikke, skulle, kunne, være, med, i, NM, ., Det, var, så, vidt, han, fikk, med, seg, en, dommer, til, ., –, Han, skulle, være, med, for, første, gang, ., I, utgangspunktet, var, han, faktisk, for, ung, til, å, være, dommer, for, å, få, reise, til, NM, ., Det, er, så, vidt, vi, fikk, det, til, ., Dommer, har, fylt, 20, ,, forteller, han, ., Per, Arne, er, veldig, stolt, over, sin, unge, dommerkollega, ,, og, mener, at, han, gjorde, en, veldig, bra, prestasjon, i, NM, ., –, Han, presterte, utrolig, bra, ., I, tillegg, jobber, han, som, lærer, ved, siden, av, å]",PRON AUX ADV ADJ PRON VERB NOUN ADP PROPN PROPN ADP DET ADJ VERB PUNCT SCONJ PRON AUX ADV ADJ PUNCT PRON VERB DET ADJ ADJ NOUN ADP NOUN ADP ADJ NOUN ADP NOUN ADP NOUN ADP NOUN ADP PROPN ADP PROPN PUNCT SPACE PUNCT PRON AUX AUX DET ADJ NOUN CCONJ PRON AUX PART AUX VERB ADP DET ADJ PUNCT PRON AUX ADJ ADJ CCONJ ADJ PRON VERB PUNCT ADP DET AUX PRON AUX VERB ADP ADP NOUN PUNCT VERB PRON PUNCT CCONJ ADV VERB DET ADJ PRON PUNCT PRON AUX ADV DET NOUN SCONJ PRON PART AUX AUX AUX ADP ADP PROPN PUNCT PRON AUX ADV ADJ PRON VERB ADP PRON DET NOUN ADP PUNCT PUNCT PRON AUX AUX ADP ADP ADJ NOUN PUNCT ADP NOUN AUX PRON ADJ ADV ADJ SCONJ PART AUX NOUN SCONJ PART AUX VERB ADP PROPN PUNCT PRON AUX ADV ADJ PRON VERB PRON ADP PUNCT NOUN AUX VERB NUM PUNCT VERB PRON PUNCT PROPN PROPN AUX ADJ ADJ ADP PRON ADJ NOUN PUNCT CCONJ VERB SCONJ PRON VERB DET ADJ ADJ NOUN ADP PROPN PUNCT PUNCT PRON VERB ADJ ADJ PUNCT ADP NOUN VERB PRON PRON VERB ADP NOUN SCONJ PART,0.044593088071348944,0.39457547169811263,199,897,0.6834170854271356,0.4325271029458145
"[Ja, det, var, en, kul, kommentar, ., Kan, tro, att, det, märks, när, jag, kommenterar, på, mina, medbloggares, inlägg, ., Det, är, ju, inte, precis, vanlig, konversationston, ., Men, det, kanske, man, kan, unna, sig, här, och, nu, när, jag, ser, mig, själv, som, en, bloggkompis, ., 
, Kul, att, du, kom, tillbaka, ., Du, var, faktiskt, en, av, de, första, jag, började, kommentera, på, när, jag, tog, mina, premiärsteg, som, bloggläsare, och, de, tankarna, du, delade, med, dig, av, väckte, något, till, liv, i, mig, ., Tänk, jag, kunde, ju, också, skriva, och, berätta, om, sånt, som, var, viktigt, för, mig, !, 
, Så, glad, jag, är, att, du, valde, att, återvända, ., Din, kommentar, är, alltid, lika, välkommen, och, jag, gillar, dina, ord, ., Fortsätt, att, skriva, ,, fortsätta, att, engagera, dig, !, Jag, har, saknat, dig, och, som, sagt, förundrat, undrat, över, hur, du, har, det, ., Du, har, inte, hört, av, dig, till, mig, privat, heller, vad, jag, minns, men, jag, hade, mina, tankar, om, hur, det, stod, till, med, dig, ., 
, Dina, inlägg]",INTJ PRON VERB DET ADJ NOUN PUNCT AUX VERB X DET X X X PROPN ADP PROPN PROPN VERB PUNCT X X X X X ADJ NOUN PUNCT CCONJ DET ADJ PRON VERB ADP X X X X X X X X X SCONJ DET NOUN PUNCT SPACE ADJ NOUN PRON VERB NOUN PUNCT PRON AUX ADJ DET ADP DET X X X NOUN ADP X X X PROPN PROPN PRON ADJ X X NOUN PRON X ADP ADJ ADP ADJ X X NOUN ADP X PUNCT ADJ X X X X X X NOUN ADP PRON PRON AUX ADJ X X PUNCT SPACE ADV ADJ X X X PRON X X PROPN PUNCT PRON NOUN X X X X X X X X NOUN PUNCT X X X PUNCT NOUN X X X PUNCT X AUX X X X SCONJ VERB NOUN NOUN NOUN X PRON VERB PRON PUNCT PRON AUX VERB PROPN ADP X X X ADJ ADV X X X CCONJ X X X PROPN X X PRON VERB X ADP X PUNCT SPACE PROPN VERB,0.042105263157894736,0.38148883374689796,179,855,0.329608938547486,0.11616084798550537
"[Ja, det, er, ikke, alle, dage, man, kan, mærke, energien, .., Jeg, kæmper, selv, en, kamp, med, energien, for, at, komme, ud, af, døren, ., Jeg, er, heldigvis, ved, at, være, ude, af, mit, mørke, hul, og, min, depression, og, det, betyder, meget, ., 
, Jeg, arbejder, også, i, en, genbrugsbutik, hvor, jeg, til, tider, virkelig, føler, det, dræner, mig, for, energi, ., Så, er, det, virkelig, dejligt, når, man, kommer, hjem, og, der, er, lavet, mad, til, en, ,, som, man, bare, skal, varme, ., Så, kan, man, bedre, overskue, at, bruge, energi, på, hygge, med, sin, mand, ., :), Skøn, kæreste, ,, du, har, !, :), 
, Synes, stadig, det, er, rigtig, fedt, du, er, med, i, genbrugshjemmet, !, Jeg, kunne, dog, godt, tænke, mig, at, se, dig, tage, nogle, billeder, af, genbrugsmøbler, ., Dem, vil, jeg, vildt, gerne, se, :), 
, Hej, Camilla, ,, vil, i, næste, uge, forsøge, mig, med, nogle, indlæg, og, forhåbentlig, en, video, om, netop, genbrugsmøbler, ., Jeg, har, allerede, et, par, stykker, som, jeg, vil, vise, frem, :)]",INTJ PRON AUX PART DET NOUN PRON AUX VERB NOUN PUNCT PRON VERB ADV DET NOUN ADP NOUN SCONJ SCONJ VERB PROPN ADJ NOUN PUNCT PRON AUX ADV SCONJ SCONJ VERB X X X ADJ NOUN CCONJ PRON NOUN CCONJ PRON VERB ADV PUNCT SPACE PRON VERB ADV ADP DET NOUN ADV PRON ADP NOUN ADJ VERB PRON NOUN X ADP NOUN PUNCT ADV AUX PRON ADJ ADJ SCONJ PRON VERB ADP CCONJ ADV AUX VERB NOUN ADP DET PUNCT PRON PRON ADV AUX ADJ PUNCT ADV AUX PRON ADJ VERB SCONJ ADJ NOUN ADP NOUN ADP PRON NOUN PUNCT PUNCT NOUN ADJ PUNCT PRON VERB PUNCT PUNCT SPACE VERB ADJ PRON AUX ADJ NOUN PRON AUX ADP ADP NOUN PUNCT PRON AUX ADV ADJ PROPN PROPN SCONJ VERB X PROPN PROPN NOUN NOUN NOUN PUNCT PRON AUX PRON ADJ NOUN VERB PUNCT SPACE ADJ PROPN PUNCT AUX ADP NOUN PROPN PROPN X ADP PROPN PROPN CCONJ ADJ DET NOUN ADP PROPN NOUN PUNCT PRON VERB ADV DET NOUN NOUN PRON PRON AUX VERB ADP PUNCT,0.04353083434099154,0.38912596401028254,176,827,0.5170454545454546,0.22142506306156937
"[Så, var, det, den, siste, kvelden, her, ., -, Atle, Lundhaug, 
, Så, var, det, den, siste, kvelden, her, ., 
, 17., september, 2017, Atle, Lundhaug, Når, det, butter, imot, 0, 
, Så, var, det, bare, for, siste, gang, å, se, tilbake, på, en, veldig, annerledes, reise, ,, vår, livsreise, ., Det, ble, ikke, som, vi, forventet, i, hvertfall, ikke, i, min, forstand, av, ordet, å, reise, ., Hadde, nok, tenkt, at, vi, skulle, kunne, gjort, mer, av, oss, to, på, reisen, ., Det, ble, det, jo, ikke, ., Vi, mistet, det, beste, så, det, er, jo, bare, å, håpe, på, at, reisen, som, ligger, og, venter, i, fremtiden, skal, kunne, bli, en, lykkeligere, reise, ., Det, vil, den, jo, uansett, bli, for, den, kan, det, jo, bare, bli, ., 
, Nå, går, det, mot, den, mørke, tiden, ., Tiden, der, det, ikke, blir, så, mye, tid, til, å, være, sammen, annet, enn, i, korte, stunder, på, kveldene, ., Tiden, der, det, å, bli, gammel, betyr, å, være, enslig, og, alene, ., Nå, kan, vi, tenke, slik, er, det, hver, eneste, kveld, ,, men, det, er, ikke, slik, ,, for, kveldsmørket, faller, også, over, oss, for, den, tiden, som, er, på]",ADV AUX PRON DET ADJ NOUN ADV PUNCT PUNCT PROPN PROPN SPACE ADV AUX PRON DET ADJ NOUN ADV PUNCT SPACE ADJ NOUN NUM PROPN PROPN SCONJ PRON VERB ADP NUM SPACE ADV AUX PRON ADV ADP ADJ NOUN PART VERB ADP ADP DET ADJ ADJ NOUN PUNCT PRON NOUN PUNCT PRON VERB PART PRON PRON VERB ADP ADV PART ADP PRON NOUN ADP NOUN PART VERB PUNCT AUX ADV VERB SCONJ PRON AUX AUX VERB ADJ ADP PRON NUM ADP NOUN PUNCT PRON VERB PRON ADV PART PUNCT PRON VERB DET ADJ SCONJ PRON AUX ADV ADV PART VERB SCONJ SCONJ NOUN PRON VERB CCONJ VERB ADP NOUN AUX AUX VERB DET ADJ NOUN PUNCT PRON AUX PRON ADV ADP VERB SCONJ PRON VERB PRON ADV ADV VERB PUNCT SPACE ADV VERB PRON ADP DET ADJ NOUN PUNCT NOUN SCONJ PRON PART VERB ADV ADJ NOUN SCONJ PART AUX ADV DET ADP ADP ADJ NOUN ADP NOUN PUNCT NOUN SCONJ PRON PART VERB ADJ VERB PART AUX ADJ CCONJ ADV PUNCT ADV AUX PRON VERB ADV AUX PRON DET NUM NOUN PUNCT CCONJ PRON AUX PART ADV PUNCT ADP NOUN VERB ADV ADP PRON ADP DET NOUN PRON AUX ADP,0.04601571268237935,0.3745130641330168,201,891,0.6965174129353234,0.3279209817382079
"[Det, var, som, om, noen, hadde, forhekset, oss, ., Vi, kom, fra, et, miljø, med, en, sterk, sosialdemokratisk, tradisjon, ., Vi, hadde, fått, så, utrolig, mye, gjennom, et, slikt, samfunn, ., Men, vi, tok, alt, for, gitt, ., Vi, begynte, å, ta, samfunnet, for, gitt, ., Ikke, før, vi, selv, opplevde, arbeidsledighet, ,, fikk, vi, øynene, opp, for, hvor, mye, samfunnet, betydde, ., Vi, så, hvordan, arbeidsledighet, virker, stigmatiserende, ., Det, skaper, en, grunnleggende, utrygghet, ,, både, økonomisk, og, mentalt, ., Det, kan, utvikle, selvforakt, og, sosial, angst, ., De, som, står, utenfor, får, et, stempel, om, at, de, ikke, er, til, nytte, for, samfunnet, ., 
, For, kort, tid, siden, fikk, jeg, et, brev, som, viste, et, tydelig, bilde, :, det, var, fra, en, av, dem, som, var, ute, i, min, tidligere, jobb, ,, som, sosialkonsulent, i, Kirkens, Bymisjon, på, 90-tallet, ., Det, var, en, hyggelig, hilsen, ., Jeg, fikk, god, oversikt, over, dem, jeg, jobbet, med, og, deres, familier, ., På, den, ene, siden, er, dette, et, hyggelig, brev, ,, det, viser, hvordan, noen, er, opptatt, av, det, de, engang, har, opplevd, som, nyttig, ., Og, det, kan]",PRON AUX ADP SCONJ PRON AUX VERB PRON PUNCT PRON VERB ADP DET NOUN ADP DET ADJ ADJ NOUN PUNCT PRON AUX VERB ADV ADJ ADJ ADP DET DET NOUN PUNCT CCONJ PRON VERB PRON SCONJ ADJ PUNCT PRON VERB PART VERB NOUN SCONJ VERB PUNCT PART SCONJ PRON DET VERB NOUN PUNCT VERB PRON NOUN ADP SCONJ ADV ADJ NOUN VERB PUNCT PRON VERB ADV NOUN VERB ADJ PUNCT PRON VERB DET ADJ NOUN PUNCT CCONJ ADJ CCONJ ADJ PUNCT PRON AUX VERB NOUN CCONJ ADJ NOUN PUNCT PRON PRON VERB ADP VERB DET NOUN SCONJ SCONJ PRON PART AUX SCONJ NOUN ADP NOUN PUNCT SPACE ADP ADJ NOUN ADV VERB PRON DET NOUN PRON VERB DET ADJ NOUN PUNCT PRON AUX ADP DET ADP PRON PRON AUX ADP ADP PRON ADJ NOUN PUNCT SCONJ NOUN ADP PROPN PROPN ADP NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT PRON VERB ADJ NOUN ADP PRON PRON VERB ADP CCONJ PRON NOUN PUNCT ADP DET NUM NOUN AUX PRON DET ADJ NOUN PUNCT PRON VERB ADV PRON AUX ADJ ADP PRON PRON ADV AUX VERB SCONJ ADJ PUNCT CCONJ PRON AUX,0.04320337197049526,0.38662222222222214,190,949,0.6526315789473685,0.3758390665631168
"[Det, er, ikkje, noko, særleg, å, vere, åleine, i, julehøgtida, ., Men, dei, fleste, har, folk, rundt, seg, ,, trass, alt, ., Som, en, kan, vere, ilag, med, når, høvet, er, der, ., Dei, som, arbeider, i, helsevesenet, har, det, slik, heile, tida, ., Må, vere, tilgjengelege, for, pasientane, ,, også, på, julaften, ., Men, dei, som, bur, i, institusjonar, er, i, alle, fall, trygge, ,, i, det, at, hjelpa, er, der, når, det, er, nødvendig, ., Det, er, ei, ro, og, ei, stemning, ,, trass, alt, ., Men, eg, trur, nok, mange, andre, også, kunne, ha, det, slik, ,, med, det, fine, fellesskapet, der, songane, har, mykje, kristent, innhald, ,, slik, som, julesongane, og, dei, andre, årstidsongane, ., Dette, er, ein, rikdom, ,, som, skaper, rom, jula, ., 
, Julepynten, har, også, ofte, eit, kristent, innhald, i, tillegg, til, feiringa, av, Jesus, fødsel, ., Juletreet, ,, som, vi, har, som, eit, samlande, symbol, ,, har, dette, som, tema, ,, -, freden, ,, som, vi, har, den, årvisse, markeringa, av, i, førjul]",PRON AUX X X PROPN PART VERB PROPN ADP NOUN PUNCT CCONJ NOUN ADJ VERB NOUN ADP PRON PUNCT VERB PRON PUNCT SCONJ DET AUX VERB NOUN ADP SCONJ NOUN AUX ADV PUNCT NOUN PRON VERB ADP NOUN VERB PRON ADV ADJ NOUN PUNCT AUX VERB NOUN ADP PROPN PUNCT ADV ADP NOUN PUNCT CCONJ NOUN SCONJ NOUN ADP PROPN AUX ADP DET NOUN ADJ PUNCT ADP PRON SCONJ NOUN AUX ADV SCONJ PRON AUX ADJ PUNCT PRON VERB DET NOUN CCONJ DET NOUN PUNCT VERB PRON PUNCT CCONJ X VERB ADV ADJ DET ADV AUX VERB PRON ADV PUNCT ADP DET ADJ NOUN SCONJ NOUN VERB ADJ ADJ PROPN PUNCT ADV PRON NOUN CCONJ PRON DET X PUNCT PRON AUX X NOUN PUNCT PRON VERB NOUN NOUN PUNCT SPACE NOUN VERB ADV ADJ DET ADJ NOUN ADP NOUN ADP NOUN ADP PROPN NOUN PUNCT NOUN PUNCT PRON PRON VERB ADP DET ADJ NOUN PUNCT VERB PRON SCONJ NOUN PUNCT PUNCT NOUN PUNCT PRON PRON VERB DET ADJ NOUN ADP ADP NOUN,0.04059040590405904,0.37683246073298454,172,813,0.5988372093023255,0.31340222247869864
"[Kor, mange, prosent, stemmer, har, Ap, ved, dette, valget, ?, 
, Venstre, har, tidlegare, brukt, slagordet, "", Blått, blod, "", ,, men, når, partiet, no, får, ein, representant, på, Stortinget, ,, kva, for, ein, tidlegare, Venstre-leder, er, det, då, tale, om, ?, 
, På, lista, over, norske, ordførarar, finn, vi, denne, gongen, fire, frå, Møre, og, Romsdal, ,, og, ei, av, desse, er, frå, Høgre, ,, kva, er, namnet, ?, 
, Noko, mange, av, oss, har, sakna, denne, sommaren, ,, er, ein, kaldfront, ,, og, no, har, han, kome, til, Møre, og, Romsdal, ,, kva, område, omfattar, denne, fronten, ?, 
, Nordmøre, har, ein, av, dei, flottaste, operaene, vi, har, ,, og, dette, året, er, det, fem, års, jubileum, for, kva, opera, ?, 
, I, dette, året, hadde, vi, også, eit, godt, stortingsval, der, det, vart, tre, nye, ,, kvinnelege, representantar, frå, Ap, frå, Møre, og, Romsdal, ., Kven, er, dei, tre, nye, ?, 
, Når, det, er, snakk, om, ei, anna, spesiell, markering, i, dette, valåret, ,, kva, kan, dette, vere, når, vi, ser, på, bokstavane, R, ,, H, og, K, i, valet, ?, 
, Som, vi, såg, under, krigen, fekk, Å]",ADV ADJ NOUN NOUN AUX PROPN ADP DET NOUN PUNCT SPACE PROPN AUX PROPN VERB NOUN PUNCT ADJ NOUN PUNCT PUNCT CCONJ SCONJ NOUN PROPN VERB PROPN NOUN ADP PROPN PUNCT PROPN ADP PROPN PROPN NOUN AUX PRON X NOUN ADP PUNCT SPACE ADP NOUN ADP ADJ PROPN VERB PRON DET NOUN NUM X PROPN CCONJ PROPN PUNCT CCONJ DET ADP NOUN X X PROPN PUNCT NOUN AUX VERB PUNCT SPACE VERB ADJ ADP PRON AUX X DET NOUN PUNCT AUX ADJ NOUN PUNCT CCONJ PROPN AUX PRON VERB ADP PROPN CCONJ PROPN PUNCT VERB NOUN VERB DET NOUN PUNCT SPACE PROPN VERB PROPN ADP DET ADJ NOUN PRON VERB PUNCT CCONJ DET NOUN AUX PRON NUM NOUN NOUN ADP NOUN NOUN PUNCT SPACE ADP DET NOUN VERB PRON ADV DET ADJ NOUN SCONJ PRON VERB NUM ADJ PUNCT NOUN NOUN PROPN PROPN X PROPN CCONJ PROPN PUNCT NOUN AUX DET NUM ADJ PUNCT SPACE SCONJ PRON AUX NOUN ADP DET PROPN ADJ NOUN ADP DET NOUN PUNCT NOUN AUX PRON VERB SCONJ PRON VERB ADP NOUN NOUN PUNCT PROPN CCONJ PROPN ADP PROPN PUNCT SPACE SCONJ PRON VERB ADP NOUN VERB PART,0.04772727272727273,0.38324909747292435,193,880,0.616580310880829,0.2590641005166739
"[Det, er, veldig, lett, å, kjøpe, ting, på, nettet, ved, hjelp, av, en, rekke, betalingsmåter, ,, inkludert, kreditt-, eller, debetkort, som, Visa, ,, MasterCard, ,, Amex, og, Diners, ., Men, på, en, eller, annen, måte, kan, du, føle, deg, litt, ubehagelig, når, det, gjelder, ditt, første, kortkjøp, ., Derfor, tror, vi, at, vi, vil, fortelle, deg, hvordan, du, trygt, betaler, for, varer, og, tjenester, på, nettet, med, kort, ., 
, Hvordan, bruker, jeg, kredittkortet, mitt, på, nettet, ?, 
, Først, må, du, sørge, for, at, du, har, kortets, detaljer, med, deg, ., Og, den, åpenbare, måten, å, gjøre, det, på, er, å, hente, kredittkortet, ut, av, lommeboken, og, ta, en, god, titt, på, tallene, på, den, forfra, og, bak, ., Hvis, du, av, en, eller, annen, grunn, ikke, finner, kortet, ditt, (, eller, du, har, mistet, det, ), ,, må, du, sjekke, nettbankrapporten, og, sjekke, kontoutskriften, for, å, se, hvor, mye, penger, du, har, på, kortet, ditt, ., Da, bør, du, ha, all, informasjon, du, trenger, for, å, trygt, fortsette, med, kortkjøpet, ditt, ., 
, For, det, andre, trenger, du, en, sikker, nettkjøpsplattform, som, har, et, sert]",PRON AUX ADJ ADJ PART VERB NOUN ADP NOUN ADP NOUN ADP DET NOUN NOUN PUNCT ADJ NOUN CCONJ NOUN ADP PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PUNCT CCONJ ADP DET CCONJ DET NOUN AUX PRON VERB PRON ADJ ADJ SCONJ PRON VERB PRON ADJ NOUN PUNCT ADV VERB PRON SCONJ PRON AUX VERB PRON ADV PRON ADJ VERB ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT SPACE ADV VERB PRON NOUN PRON ADP NOUN PUNCT SPACE ADV AUX PRON VERB SCONJ SCONJ PRON VERB NOUN NOUN ADP PRON PUNCT CCONJ DET ADJ NOUN PART VERB PRON SCONJ AUX PART VERB NOUN ADP ADP NOUN CCONJ VERB DET ADJ NOUN ADP NOUN ADP DET NOUN CCONJ ADP PUNCT SCONJ PRON ADP DET CCONJ DET NOUN PART VERB NOUN PRON PUNCT CCONJ PRON AUX VERB PRON PUNCT PUNCT AUX PRON VERB NOUN CCONJ VERB NOUN SCONJ PART VERB ADV ADJ NOUN PRON VERB ADP NOUN PRON PUNCT ADV AUX PRON VERB DET NOUN PRON VERB SCONJ PART ADJ VERB ADP NOUN PRON PUNCT SPACE ADP DET DET VERB PRON DET ADJ NOUN PRON VERB DET ADJ,0.04287245444801715,0.38212669683257794,187,933,0.6096256684491979,0.31859029072295586
