tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, han, som, var, god, ., I, andre, omgang, var, også, Håkon, Lorentzen, som, i, fjor, sommer, ble, hentet, til, Brann, på, lån, fra, Vålerenga, ,, god, ., I, store, deler, av, andre, omgang, var, Branns, angrepsspill, farlig, og, det, var, Lorentzen, som, i, hovedsak, sto, for, målene, ., Og, når, man, har, slike, enkeltspillere, på, laget, ,, hjelper, det, mye, for, en, helhet, ., Den, defensive, tryggheten, som, Martin, Pusic, og, Erdin, Demir, sørget, for, ,, gjorde, at, laget, kunne, ha, mer, ball, enn, det, de, hadde, vist, før, pause, ., Når, også, keeper, Øystein, Øvretveit, vartet, opp, med, flere, feberredninger, ,, var, grunnlaget, lagt, for, Branns, solide, seier, ., 
, Det, var, en, kamp, med, høyt, tempo, der, det, i, andre, omgang, ble, gjort, to, offensive, bytter, :, Den, tidligere, Brann-spilleren, Bård, Finne, kom, inn, for, Fredrik, Nordkvelle, og, den, tidligere, Fyllingsdalen-spilleren, Jonas, Grønner, gikk, inn, for, Jakob, Orlov, ., Han, som, kanskje, viste, mest, i, kampen, ,, var, Jakob, Orlov, ., Det, var, han, som, gikk, foran, i]",CCONJ PRON AUX PART ADV PRON PRON AUX ADJ PUNCT ADP ADJ NOUN AUX ADV PROPN PROPN PRON ADP NOUN NOUN AUX VERB ADP PROPN ADP NOUN ADP PROPN PUNCT ADJ PUNCT ADP ADJ NOUN ADP ADJ NOUN AUX PROPN NOUN ADJ CCONJ PRON AUX PROPN PRON ADP NOUN VERB ADP NOUN PUNCT CCONJ SCONJ PRON VERB DET NOUN ADP NOUN PUNCT VERB PRON ADJ ADP DET NOUN PUNCT DET ADJ NOUN PRON PROPN PROPN CCONJ PROPN PROPN VERB ADP PUNCT VERB SCONJ NOUN AUX VERB ADJ NOUN ADP PRON PRON AUX VERB ADP NOUN PUNCT SCONJ ADV NOUN PROPN PROPN VERB ADP ADP ADJ NOUN PUNCT AUX NOUN VERB ADP PROPN ADJ NOUN PUNCT SPACE PRON AUX DET NOUN ADP ADJ NOUN SCONJ PRON ADP ADJ NOUN AUX VERB NUM ADJ NOUN PUNCT DET ADJ NOUN PROPN PROPN VERB ADP ADP PROPN PROPN CCONJ DET ADJ NOUN PROPN PROPN VERB ADP ADP PROPN PROPN PUNCT PRON PRON ADV VERB ADJ ADP NOUN PUNCT AUX PROPN PROPN PUNCT PRON AUX PRON PRON VERB ADP ADP,0.050716648291069456,0.3888811188811184,175,907,0.6057142857142858,0.2540092353481004
"[Det, var, ein, tung, dag, for, dei, som, har, vore, permitterte, frå, arbeidet, på, Øksne, vad, vidaregåande, skule, og, Øksnevad, landbruksskule, ., I, går, kom, meldinga, om, at, det, blei, inga, oppstart, av, jord, bruksskuleopplæringa, til, hausten, ., Det, er, Rogaland, Fylke, som, har, sett, ein, stoppar, for, jordbruksopplæringa, ., —, Eg, var, viss, på, at, det, skulle, gå, i, orden, ,, i, og, med, at, det, er, snakk, om, ei, over, gangstilfelle, ,, seier, Egil, Braut, ,, formann, I, nemnda, som, har, arbeidd, for, å, få, jordbruksskuleopplæring, på, Jæren, ., Det, var, eit, stort, sjokk, å, få, beskjeden, ., Eg, hadde, håpa, at, dei, lokale, politikarane, i, fylket, hadde, vist, større, forståing, for, oss, og, hatt, op, pe, ei, anna, løysing, ., Når, det, gjeld, å, få, løyve, til, undervisninga, er, me, heilt, hjelpelau, se, ,, det, er, fylkespolitikarane, som, kan, stilla, slike, vilkår, ,, seier, han, ., Det, er, ikkje, tvil, om, at, det, har, vore, ein, tung, dag, for, dei, som, arbeider, ved, Ø]",PRON AUX X ADJ NOUN ADP NOUN PRON AUX AUX ADJ PROPN NOUN ADP PROPN X X NOUN CCONJ PROPN NOUN PUNCT ADP NOUN VERB NOUN SCONJ SCONJ PRON VERB NOUN NOUN ADP NOUN NOUN ADP NOUN PUNCT PRON AUX PROPN PROPN PRON AUX VERB PROPN PROPN ADP NOUN PUNCT PUNCT PROPN AUX ADJ SCONJ SCONJ PRON AUX VERB ADP NOUN PUNCT ADP CCONJ ADP SCONJ PRON AUX NOUN ADP NOUN ADP NOUN PUNCT NOUN PROPN PROPN PUNCT NOUN ADP PROPN PRON AUX NOUN SCONJ PART VERB NOUN ADP PROPN PUNCT PRON AUX DET ADJ NOUN PART VERB ADJ PUNCT PROPN AUX VERB SCONJ DET ADJ NOUN ADP NOUN AUX VERB ADJ NOUN ADP PRON CCONJ VERB PROPN X X X NOUN PUNCT SCONJ PRON NOUN PART VERB NOUN ADP NOUN AUX X X ADJ NOUN PUNCT PRON AUX NOUN PRON AUX VERB DET NOUN PUNCT NOUN PRON PUNCT PRON VERB X NOUN SCONJ SCONJ PRON AUX X X ADJ NOUN ADP NOUN PRON VERB ADP ADP,0.04378698224852071,0.38866834170854125,167,845,0.6287425149700598,0.36791577171261836
"[Det, var, så, som, så, med, fisket, til, de, mange, som, besøkte, fiskekonkurransen, ., Noen, kom, i, land, ,, med, fangst, ,, mens, andre, forlot, med, ingenting, ., Uansett, var, det, god, prat, ,, mye, latter, og, sosialt, samvær, i, strålende, vær, på, kaikan, ten, mens, konkurransen, sto, på, som, verst, ., Foto, :, Alf, M., Olsen, ., JOHN, KRISTIAN, STORDAHL, var, eneste, fisker, som, i, år, ble, premiert, med, førstepremien, på, 3000, kroner, ., -, Ja, ,, dette, var, overraskende, ,, men, det, var, veldig, hyggelig, at, innsatsen, i, år, også, blir, lagt, merke, til, ,, sier, Stordahl, ., -, Hvordan, var, fisket, ?, 
, -, Jeg, fikk, ikke, fisk, ., Ikke, det, at, det, manglet, noe, ., Det, ble, jo, kastet, masse, opp, i, båten, flere, ganger, ,, men, nappene, til, tross, ,, det, var, dødt, ., Det, var, synd, ,, for, jeg, har, ikke, deltatt, før, ., Det, er, jo, hyggelig, å, slå, av, en, prat, med, kjentfolk, og, fiskekompiser, mens, man, er, her, ., Det, er, jo, en, del, av, det, å, delta, i, fiskekonkurransen, ,, sa, Stordahl, etter, premieoverre, kkelsen, .]",PRON AUX ADV SCONJ ADV ADP NOUN ADP DET ADJ PRON VERB NOUN PUNCT PRON VERB ADP NOUN PUNCT ADP NOUN PUNCT SCONJ DET VERB SCONJ PRON PUNCT ADP VERB PRON ADJ NOUN PUNCT ADJ NOUN CCONJ ADJ NOUN ADP ADJ NOUN SCONJ X NOUN SCONJ NOUN VERB ADP ADP ADJ PUNCT NOUN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN PROPN AUX NUM NOUN PRON ADP NOUN AUX VERB ADP NOUN ADP NUM NOUN PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PUNCT CCONJ PRON AUX ADJ ADJ SCONJ NOUN ADP NOUN ADV AUX VERB NOUN ADP PUNCT VERB PROPN PUNCT PUNCT ADV AUX ADJ PUNCT SPACE PUNCT PRON VERB PART NOUN PUNCT PART PRON SCONJ PRON VERB PRON PUNCT PRON AUX ADV VERB ADJ ADP ADP NOUN ADJ NOUN PUNCT CCONJ NOUN ADP ADP PUNCT PRON AUX ADJ PUNCT PRON AUX NOUN PUNCT CCONJ PRON AUX PART VERB ADP PUNCT PRON AUX ADV ADJ PART VERB ADP DET NOUN ADP NOUN CCONJ NOUN SCONJ PRON AUX ADV PUNCT PRON AUX ADV DET NOUN ADP PRON PART VERB ADP NOUN PUNCT VERB PROPN ADP NOUN NOUN PUNCT,0.05517241379310345,0.3926187576126675,186,870,0.553763440860215,0.38057121032999636
"[Ja, det, var, det, gitt, !, !, Jeg, tror, jeg, har, brukt, det, en, 3, ganger, på, en, ukes, tid, ., Jeg, merker, at, det, funker, og, at, huden, min, ikke, blir, fet, og, blank, når, jeg, bruker, den, hver, dag, ., Jeg, håper, det, blir, en, vane, og, at, jeg, klarer, å, fortsette, med, den, når, den, tiden, kommer, ., 
, Så, denne, skal, jeg, kjøpe, igjen, !, 
, Aina, Kesanen, sier, :, 
, Jeg, er, helt, avhengig, av, denne, skrubben, og, synes, den, virker, utrolig, bra, !, Etter, jeg, begynte, bruke, den, hver, eneste, dag, blir, huden, min, silkemyk, ,, glødende, og, mer, elastisk, ., Jeg, får, faktisk, kommentarer, på, hvor, myk, huden, min, ser, ut, !, I, tillegg, er, den, enkel, å, bruke, og, tar, kun, noen, få, minutter, !, Dette, er, med, hånden, på, hjertet, den, beste, ansiktsskrubben, jeg, noen, gang, har, brukt, så, den, kan, jeg, virkelig, anbefale!<3, 
, Mona, Synnøve, sier, :, 
, Jeg, har, prøvd, mange, forskjellige, ansiktsskrubber, gjennom, lang, tid, ., Dette, er, den, beste, jeg, har, prøvd, til, nå, og, jeg, kommer, nok, til, å, kjøpe, den, igjen, og, igjen]",INTJ PRON AUX PRON VERB PUNCT PUNCT PRON VERB PRON AUX VERB PRON DET NUM NOUN ADP DET NOUN NOUN PUNCT PRON VERB SCONJ PRON VERB CCONJ SCONJ NOUN PRON PART VERB ADJ CCONJ ADJ SCONJ PRON VERB PRON DET NOUN PUNCT PRON VERB PRON VERB DET NOUN CCONJ SCONJ PRON VERB PART VERB ADP PRON SCONJ DET NOUN VERB PUNCT SPACE CCONJ PRON AUX PRON VERB ADV PUNCT SPACE PROPN PROPN VERB PUNCT SPACE PRON AUX ADJ ADJ ADP DET NOUN CCONJ VERB PRON VERB ADJ ADJ PUNCT SCONJ PRON VERB VERB PRON DET NUM NOUN VERB NOUN PRON ADJ PUNCT ADJ CCONJ ADJ ADJ PUNCT PRON VERB ADJ NOUN ADP ADV ADJ NOUN PRON VERB ADP PUNCT ADP NOUN AUX PRON ADJ PART VERB CCONJ VERB ADV DET ADJ NOUN PUNCT PRON AUX ADP NOUN ADP NOUN DET ADJ NOUN PRON DET NOUN AUX VERB ADV PRON VERB PRON ADJ ADP SPACE PROPN PROPN VERB PUNCT SPACE PRON AUX VERB ADJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET ADJ PRON AUX VERB ADP ADV CCONJ PRON VERB ADV SCONJ PART VERB PRON ADV CCONJ ADV,0.04421768707482993,0.3912124849939983,189,882,0.671957671957672,0.30490615049873965
"[Ja, det, er, ingen, tvil, !, I, går, fikk, vi, en, liten, forsmak, på, det, som, skal, bli, sommeren, 2016, 
, Jeg, tror, på, sommeren, hele, året, jeg,  , men, det, er, likevel, noe, helt, spesielt, når, den, kommer, på, sommeren, 
, Helt, ærlig, så, syntes, jeg, vinteren, kan, vare, i, tre, måneder, ., Minst, !,  , men, når, vi, går, mot, lysere, tider, da, blir, jeg, varm, i, hjertet, 
, Når, vi, er, ute, å, reiser, om, vinteren, blir, vi, fort, glade, i, naturen, da, vi, ofte, kan, ha, en, oppfatning, av, naturen, som, barskt, og, kaldt, men, det, er, den, ikke, den, er, vakker, på, sin, måte, 
, Det, er, så, nydelig, ute, nå, med, knitringen, fra, snøen, den, vakre, solen, som, gir, de, vakreste, refleksjonene, og, ikke, minst, det, vakre, lyset, 
, Vi, fikk, sett, både, rev, og, hauk, fra, vinduet, på, hotellet, nå, i, dag, for, litt, spenning, i, hverdagen]",INTJ PRON VERB DET NOUN PUNCT ADP NOUN VERB PRON DET ADJ NOUN ADP PRON PRON AUX VERB NOUN NUM SPACE PRON VERB ADP NOUN ADJ NOUN PRON SPACE CCONJ PRON VERB ADV DET ADJ ADJ SCONJ PRON VERB ADP NOUN SPACE ADJ ADJ ADV VERB PRON NOUN AUX VERB ADP NUM NOUN PUNCT ADJ PUNCT SPACE CCONJ SCONJ PRON VERB ADP ADJ NOUN ADV VERB PRON ADJ ADP NOUN SPACE SCONJ PRON AUX SCONJ PART VERB ADP NOUN VERB PRON ADJ ADJ ADP NOUN SCONJ PRON ADJ AUX VERB DET NOUN ADP NOUN ADP ADJ CCONJ ADJ CCONJ PRON AUX PRON PART PRON AUX ADJ ADP PRON NOUN SPACE PRON AUX ADV ADJ ADP ADV ADP NOUN ADP NOUN DET ADJ NOUN PRON VERB DET ADJ NOUN CCONJ PART ADJ DET ADJ NOUN SPACE PRON AUX VERB CCONJ VERB CCONJ NOUN ADP NOUN ADP NOUN ADV ADP NOUN ADP ADJ NOUN ADP NOUN,0.05485232067510549,0.3689728096676749,154,711,0.6428571428571429,0.25393958695506463
"[Så, var, det, dette, med, å, lese, kartet, da, ., Det, var, her, jeg, gikk, først, og, la, en, god, plan, ,, men, det, hjelper, lite, når, man, ikke, er, helt, oppmerksom, på, hvor, stien, går, ., Forsøk, 2, gikk, adskillig, bedre, ,, og, jeg, kom, ned, til, et, vann, som, jeg, så, der, stien, var, på, det, mest, diffuse, ., Så, etter, å, ha, tatt, et, lite, overblikk, her, og, lagt, en, bra, plan, for, veien, videre, fortsatte, jeg, over, en, elv, ,, forbi, nok, en, oppdemmet, elv, ,, og, fortsatte, så, på, en, sti, ., Planen, nå, var, å, holde, seg, på, venstre, side, av, elven, ,, for, så, å, komme, inn, på, en, sti, som, fortsatte, i, retning, av, fjellet, og, der, jeg, skulle, gå, fra, ., På, den, måten, ville, jeg, få, en, rute, med, mest, mulig, stigning, og, dermed, best, mulig, trening, og, forberedelser, for, fjellet, ., Problemet, var, bare, at, da, jeg, kom, til, den, oppdemmede, elven, fortsatte, stien, på, et, svaberg, som, gjorde, det, både, vått, ,, glatt, og, farlig, å, gå, ., Men, etter, litt, frem, og, tilbake, lot, jeg, være, å, gi, opp, og, fulgte]",ADV AUX PRON PRON SCONJ PART VERB NOUN ADV PUNCT PRON AUX ADV PRON VERB ADV CCONJ VERB DET ADJ NOUN PUNCT CCONJ PRON VERB ADJ SCONJ PRON PART AUX ADJ ADJ SCONJ ADV NOUN VERB PUNCT NOUN NUM VERB ADJ ADJ PUNCT CCONJ PRON VERB ADP ADP DET NOUN PRON PRON VERB SCONJ NOUN AUX ADP DET ADJ ADJ PUNCT ADV SCONJ PART AUX VERB DET ADJ NOUN ADV CCONJ VERB DET ADJ NOUN ADP NOUN ADJ VERB PRON ADP DET NOUN PUNCT ADP ADV DET ADJ NOUN PUNCT CCONJ VERB ADV ADP DET NOUN PUNCT NOUN ADV AUX PART VERB PRON ADP ADJ NOUN ADP NOUN PUNCT SCONJ ADV PART VERB ADP ADP DET NOUN PRON VERB ADP NOUN ADP NOUN CCONJ SCONJ PRON AUX VERB ADP PUNCT ADP DET NOUN AUX PRON VERB DET NOUN ADP ADJ ADJ NOUN CCONJ ADV ADJ ADJ NOUN CCONJ NOUN ADP NOUN PUNCT NOUN AUX ADV SCONJ SCONJ PRON VERB ADP DET ADJ NOUN VERB NOUN ADP DET NOUN PRON VERB PRON CCONJ ADJ PUNCT ADJ CCONJ ADJ PART VERB PUNCT CCONJ ADP ADJ ADP CCONJ ADP VERB PRON AUX PART VERB ADP CCONJ VERB,0.03644646924829157,0.361954161640532,194,878,0.6907216494845361,0.31001763552417083
"[Det, var, som, kjent, en, finsk, bilfører, som, kom, kjø, rende, på, E6, ved, Seter, moen, i, Bardu, 2., juli, i, fjor, som, forårsaket, ulyk, ken, ., To, finske, soldater, og, to, sivile, ble, truffet, ,, den, ene, av, dem, så, hardt, skadd, at, han, senere, døde, ., Det, var, glatt, føre, ,, og, ulyk, ken, skjedde, da, personbi, len, kom, over, i, feil, kjøre, bane, før, den, kolliderte, med, Forsvarets, lastebil, ., Det, var, finsk, statsbor, ger, som, kjørte, personbi, len, ,, som, etter, ulykken, ble, stående, helt, feilparke, rt, ., Dette, medførte, at, po, litiet, ble, oppringt, i, forbin, delse, med, etterforsknin, gen, av, ulykken, ., Etter, at, man, også, hadde, under, søkt, bilen, fant, lensmanns, kontoret, ut, at, finlenderen, tidligere, hadde, begått, be, drageri, ., Videre, fant, man, det, også, riktig, å, gå, til, an, meldelse, av, bilføreren, ., I, tillegg, til, de, straffbare, forhold, han, blir, an, meldt, for, ,, blir, han, også, anmeldt, for, kjøring, uten, gyldig, førerkort, og, for, ulovlig, bruk, av, kjøretøy]",PRON AUX ADP ADJ DET ADJ NOUN PRON VERB VERB ADJ ADP PROPN ADP PROPN NOUN ADP PROPN ADJ NOUN ADP NOUN PRON VERB NOUN NOUN PUNCT NUM ADJ NOUN CCONJ NUM ADJ AUX VERB PUNCT DET NUM ADP PRON ADV ADJ VERB SCONJ PRON ADJ VERB PUNCT PRON AUX ADJ NOUN PUNCT CCONJ NOUN NOUN VERB SCONJ PROPN ADV VERB ADP ADP ADJ VERB NOUN SCONJ PRON VERB ADP PROPN NOUN PUNCT PRON AUX ADJ PROPN NOUN PRON VERB NOUN NOUN PUNCT PRON ADP NOUN VERB ADJ ADJ NOUN PROPN PUNCT PRON VERB SCONJ PROPN NOUN AUX VERB ADP ADJ NOUN ADP ADJ NOUN ADP NOUN PUNCT SCONJ SCONJ PRON ADV AUX ADP VERB NOUN VERB PROPN NOUN ADP SCONJ NOUN ADJ AUX VERB VERB NOUN PUNCT ADJ VERB PRON PRON ADV ADJ PART VERB ADP ADV NOUN ADP NOUN PUNCT ADP NOUN ADP DET ADJ NOUN PRON AUX ADV VERB ADP PUNCT AUX PRON ADV VERB ADP NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADP NOUN,0.041474654377880185,0.3807326007326004,169,868,0.5088757396449705,0.19092691742667398
"[Det, er, ikkje, kvar, dag, ein, er, med, på, å, opna, eit, minnesmerke, ., Det, var, i, alle, fall, ikkje, kvar, dag, me, måtte, synga, på, tysk, med, dei, som, stod, bak, ., Me, veit, det, er, mange, frå, Os, som, har, hatt, sterke, opplevingar, ,, både, under, og, etter, krigen, ,, mange, med, tilknyting, til, OS, ., Eg, er, lei, for, at, eg, har, gløymt, nokre, navn, ,, men, me, har, ikkje, gløymt, ., Eg, vil, senda, ei, spesiell, helsing, til, alle, etterkomarar, til, nokre, av, dei, me, hadde, den, kontakten, med, ., Me, hugsar, dei, ,, med, kjærleik, og, varme, ., Eg, vil, senda, ei, helsing, til, alle, kjende, og, ukjende, som, i, dag, og, i, mange, år, vil, minnast, denne, dagen, ., Og, eg, vonar, at, minnebautaen, vil, vera, eit, symbol, og, ei, signing, for, heile, Os, og, Osbygda, ., Og, ikkje, minst, for, framtida, .]",PRON VERB X X X X AUX ADP SCONJ PART VERB DET NOUN PUNCT PRON AUX ADP DET NOUN X X X X X NOUN ADP NOUN ADP NOUN PRON VERB ADP PUNCT PROPN VERB PRON VERB ADJ ADP PROPN PRON AUX VERB ADJ NOUN PUNCT CCONJ ADP CCONJ ADP NOUN PUNCT ADJ ADP NOUN ADP PROPN PUNCT PROPN AUX ADJ SCONJ SCONJ PRON VERB ADJ ADJ NOUN PUNCT CCONJ X X X NOUN PUNCT PROPN AUX VERB DET ADJ NOUN ADP DET NOUN ADP PROPN ADP X X VERB DET NOUN ADP PUNCT X X X PUNCT ADP NOUN CCONJ NOUN PUNCT PROPN AUX VERB DET NOUN ADP DET ADJ CCONJ ADJ PRON ADP NOUN CCONJ ADP ADJ NOUN AUX VERB DET NOUN PUNCT CCONJ PRON PROPN SCONJ NOUN AUX VERB DET NOUN CCONJ DET NOUN ADP ADJ PROPN CCONJ PROPN PUNCT CCONJ ADV ADJ ADP NOUN PUNCT,0.047128129602356406,0.3712380952380962,149,679,0.6644295302013423,0.29571114135110593
"[Kor, mange, prosent, av, alle, dei, som, er, i, arbeid, står, utanfor, arbeidslivet, utan, å, verte, forsørg, av, det, offentlege, ?, -, Matematikk, Vg3P, -, NDLA, 
, NDLA, 
, Gå, til, innhald, 
, Matematikk, Vg3P, 
, Nynorsk, 
, Bokmål, 
, |, 
, Hjelp, 
, Fellesfag, 
, Engelsk, 
, Historie, Vg2, og, Vg3, 
, Kroppsøving, 
, Matematikk, Vg1P, 
, Matematikk, Vg1, T, 
, Matematikk, Vg2P, 
, Naturfag, 
, Norsk, Vg2, og, Vg3, SF, 
, Norsk, YF, og, SF, 
, Samfunnsfag, 
, Sørsamisk, som, førstespråkBeta, 
, Yrkesfag, 
, Barne-, og, ungdomsarbeiderfag, Vg2, 
, Brønnteknikk, 
, Bygg-, og, anleggsteknikk, Vg1Beta, 
, Design, og, håndverk, Vg1, 
, Elektrofag, Vg1, 
, Helse-, og, oppvekstfag, Vg1, 
, Helsearbeiderfag, Vg2, 
, IKT-servicefag, Vg2, 
, Kokk-, og, servitørfag, Vg2, 
, Naturbruk, Vg1, 
, Reiseliv, Vg2, 
, Restaurant-, og, matfag, Vg1, 
, Romteknologi, Vg3]",ADV ADJ NOUN ADP DET NOUN PRON AUX ADP NOUN VERB ADP NOUN PROPN PART VERB NOUN ADP DET X PUNCT PUNCT NOUN NOUN PUNCT PROPN SPACE PROPN SPACE VERB ADP PROPN SPACE NOUN NOUN SPACE ADJ SPACE PROPN SPACE PUNCT SPACE VERB SPACE NOUN SPACE ADJ SPACE NOUN NOUN CCONJ NOUN SPACE NOUN SPACE NOUN NOUN SPACE NOUN NOUN PROPN SPACE NOUN NOUN SPACE NOUN SPACE ADJ NOUN CCONJ NOUN PROPN SPACE PROPN PROPN CCONJ PROPN SPACE NOUN SPACE ADJ SCONJ PROPN SPACE NOUN SPACE PROPN CCONJ NOUN NOUN SPACE NOUN SPACE PROPN CCONJ NOUN ADJ SPACE PROPN CCONJ NOUN NOUN SPACE NOUN NOUN SPACE PROPN CCONJ NOUN NOUN SPACE PROPN NOUN SPACE NOUN NOUN SPACE NOUN CCONJ NOUN NOUN SPACE NOUN NOUN SPACE NOUN NOUN SPACE PROPN CCONJ NOUN NOUN SPACE NOUN NOUN,0.07518796992481203,0.44334415584415476,135,665,0.2222222222222222,0.06783150510596567
"[Det, er, veldig, bra, at, Høyre, i, sitt, alternative, budsjett, foreslår, ytterligere, innfasing, av, karbonfangst-, og, lagring, i, statsbudsjettet, for, 2022., Det, betyr, at, staten, i, større, grad, har, mulighet, til, å, prioritere, og, følge, opp, de, ulike, prosjektene, som, blir, finansiert, med, disse, midlene, ,, som, vil, bidra, til, viktig, verdiskaping, for, både, Trøndelag, og, resten, av, landet, på, sikt, ., 
, Vi, er, skuffet, over, at, de, tre, støttepartiene, i, statsbudsjettet, for, 2022, ikke, har, fulgt, opp, sine, egne, lovnader, om, å, prioritere, karbonfangst, og, lagring, i, budsjettet, for, neste, år, ., Dersom, prosjektet, har, et, potensial, til, å, ha, stor, effekt, på, klimagassutslipp, i, Norge, ,, bør, det, være, mulig, å, støtte, de, økonomiske, betingelsene, for, å, få, dette, på, plass, ., 
, Det, er, et, behov, for, å, videreutvikle, eksisterende, prosjekter, og, legge, til, rette, for, etablering, av, flere, prosjekter, ., Det, er, også, et, behov, for, å, følge, opp, de, prosjektene, som, allerede, er, etablert, ., Dette, er, viktig, for, å, sikre, at, prosjektene, blir, realisert, og, bidrar, til, økt, verdiskaping, til, regionen, ,, samtidig, som, man, reduserer, klimagassutslippene, ., Dette, er, særlig, viktig, nå, med]",PRON AUX ADJ ADJ SCONJ PROPN ADP PRON ADJ NOUN VERB ADJ NOUN ADP NOUN CCONJ NOUN ADP NOUN ADP NUM PRON VERB SCONJ NOUN ADP ADJ NOUN VERB NOUN SCONJ PART VERB CCONJ VERB ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN PUNCT PRON AUX VERB ADP ADJ NOUN ADP CCONJ PROPN CCONJ NOUN ADP NOUN ADP NOUN PUNCT SPACE PRON AUX ADJ SCONJ SCONJ DET NUM NOUN ADP NOUN ADP NUM PART AUX VERB ADP PRON DET NOUN SCONJ PART VERB NOUN CCONJ NOUN ADP NOUN ADP DET NOUN PUNCT SCONJ NOUN VERB DET NOUN SCONJ PART VERB ADJ NOUN ADP NOUN ADP PROPN PUNCT AUX PRON AUX ADJ PART VERB DET ADJ NOUN SCONJ PART VERB PRON SCONJ NOUN PUNCT SPACE PRON AUX DET NOUN SCONJ PART VERB ADJ NOUN CCONJ VERB ADP ADJ ADP NOUN ADP ADJ NOUN PUNCT PRON AUX ADV DET NOUN SCONJ PART VERB ADP DET NOUN PRON ADV AUX VERB PUNCT PRON AUX ADJ SCONJ PART VERB SCONJ NOUN AUX VERB CCONJ VERB ADP ADJ NOUN ADP NOUN PUNCT ADJ PRON PRON VERB NOUN PUNCT PRON AUX ADJ ADJ ADV ADP,0.033364226135310475,0.3766990291262121,191,1079,0.6492146596858639,0.378170333123323
