tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, trenger, litt, ekstra, hjelp, fra, deg, |, Spleis, fra, SpareBank, 1, 
, Noen, beskjed, i, tilfelle, han, trenger, litt, ekstra, hjelp, fra, deg, 
, Alle, pengene, som, samles, inn, går, til, Matilde, slik, at, hun, kan, fortsette, å, drive, på, som, vanlig, og, hjelpe, så, mange, som, mulig, ❤, ️, 
, Delta, i, trekningen, for, å, være, med, i, trekningen, om, å, vinne, et, gavekort, på, en, natt, hos, Clarion, Hotel, The, Hub, !, 
, Premien, er, gitt, av, Clarion, Hotel, The, Hub, ., Vinneren, trekkes, av, ansatte, i, Kitch'n, og, vil, bli, kontaktet, på, telefon, ,, og, publisert, på, spleisens, nettside, og, på, Spleis, sin, Facebook-side, ., For, å, kunne, motta, premien, må, vinneren, oppgi, sitt, fulle, navn, ,, e-postadresse, og, telefonnummer, i, kontakt, med, hotellet, som, er, av, samme, navn, som, i, Spleisen, ., Vinneren, vil, bli, kontaktet, på, telefon, eller, e-post, ., Personopplysningene, vil, bli, håndtert, i, henhold, til, arrangørens, personvernerklæring, .]",DET NOUN ADP NOUN PRON VERB ADJ ADJ NOUN ADP PRON PUNCT NOUN ADP PROPN NUM SPACE DET NOUN ADP NOUN PRON VERB ADJ ADJ NOUN ADP PRON SPACE DET NOUN PRON VERB ADP NOUN ADP NOUN ADV SCONJ PRON AUX VERB PART VERB ADP ADP ADJ CCONJ VERB ADV ADJ ADP ADJ NOUN NOUN SPACE VERB ADP NOUN SCONJ PART AUX ADP ADP NOUN SCONJ PART VERB DET NOUN ADP DET NOUN ADP PROPN PROPN PROPN PROPN PUNCT SPACE NOUN AUX VERB ADP PROPN PROPN PROPN PROPN PUNCT NOUN VERB ADP ADJ ADP PROPN CCONJ AUX AUX VERB ADP NOUN PUNCT CCONJ VERB ADP NOUN NOUN CCONJ ADP PROPN PRON NOUN PUNCT SCONJ PART AUX VERB NOUN AUX NOUN VERB PRON ADJ NOUN PUNCT NOUN CCONJ NOUN ADP NOUN ADP NOUN PRON AUX ADP DET NOUN PRON ADP PROPN PUNCT NOUN AUX AUX VERB ADP NOUN CCONJ NOUN PUNCT NOUN AUX AUX VERB ADP NOUN ADP NOUN NOUN PUNCT,0.05771495877502945,0.383625,160,849,0.5125,0.2359414249712351
"[Men, så, banket, jomfru, Hansen, forsiktig, på, hos, henne, og, lot, falle, en, liten, bemerkning, om, at, hun, var, oppe, i, butikken, og, fikk, litt, for, tidlig, fri, ., 
, —, Vil, du, ikke, ta, en, kopp, kaffe, sammen, med, meg, da, ,, jomfru, ?, sa, Hansen, ,, Jeg, har, en, liten, hilsen, med, jeg, også, ., —, Nei, ,, men, har, De, det, da, ?, 
, —, Ja, da, ,, jomfru, Hansen, ,, —, en, liten, hilsen, til, Dem, !, —, Men, kjære, Hans, Peter, da, ,, hva, skal, det, være, godt, for, å, sende, oss, en, liten, hil, sen, akkurat, nu, ,, jeg, er, da, altfor, trett, til, å, orke, å, høre, på, det, !, 
, —, Nei, ,, men, jeg, skal, hilse, fra, sjefen, og, si, deg, :, Vær, så, god, !, Sjefen, var, jammen, rar, og, rar, til, å, kjøpe, ting, !, —, Nei, ,, at, sjefen, kan, orke, å, kjøpe, inn, noe, så, fint, ,, sa, Hansen, —, det, forstår, jeg, ikke, !, 
, Han, var, oppe, på, gården, hos, oss, og, henta, melk, ,, han, hadde, det, på, kjelen, da, vi, kom, hjem, etter, kveldstid, en, kveld, ,, vi, hørte, hvor, melka, skvulpa, og, skvalte, ute, i]",CCONJ ADV VERB PROPN PROPN ADJ ADP ADP PRON CCONJ VERB VERB DET ADJ NOUN SCONJ SCONJ PRON AUX ADP ADP NOUN CCONJ VERB ADJ ADV ADJ ADJ PUNCT SPACE PUNCT AUX PRON PART VERB DET NOUN NOUN ADV ADP PRON ADV PUNCT NOUN PUNCT VERB PROPN PUNCT PRON VERB DET ADJ NOUN SCONJ PRON ADV PUNCT PUNCT INTJ PUNCT CCONJ VERB PRON PRON ADV PUNCT SPACE PUNCT INTJ ADV PUNCT NOUN PROPN PUNCT PUNCT DET ADJ NOUN ADP PROPN PUNCT PUNCT CCONJ ADJ PROPN PROPN ADV PUNCT PRON AUX PRON AUX ADJ SCONJ PART VERB PRON DET ADJ NOUN ADJ ADV ADV PUNCT PRON AUX ADV ADV ADJ SCONJ PART VERB PART VERB ADP PRON PUNCT SPACE PUNCT INTJ PUNCT CCONJ PRON AUX VERB ADP NOUN CCONJ VERB PRON PUNCT VERB ADV ADJ PUNCT NOUN AUX ADV ADJ CCONJ ADJ SCONJ PART VERB NOUN PUNCT PUNCT INTJ PUNCT SCONJ NOUN AUX VERB PART VERB ADP DET ADV ADJ PUNCT VERB PROPN PUNCT PRON VERB PRON PART PUNCT SPACE PRON AUX ADP ADP NOUN ADP PRON CCONJ VERB NOUN PUNCT PRON VERB PRON ADP NOUN SCONJ PRON VERB ADP ADP NOUN DET NOUN PUNCT PRON VERB ADV NOUN NOUN CCONJ ADJ ADP ADP,0.04767726161369193,0.3970611183354991,203,818,0.5763546798029556,0.18592989389490022
"[Det, synspunkt, at, miljøskifte, og, miljøforandring, er, ønskelig, for, barn, i, barnehage, ,, er, ikke, bare, en, etablert, sannhet, som, forskere, er, enige, i., Dette, framgår, tydelig, av, det, internasjonale, forskningsprosjektet, Effects, of, Stress, (, ES, ), (, *, ), ., Det, er, gjennomført, flere, internasjonale, forskningsprosjekter, ,, og, en, konklusjon, som, er, tydelig, ,, er, at, barn, har, stort, utbytte, av, forflytninger, og, miljøskifte, i, barneomsorgen, ., Dette, gjelder, ikke, minst, for, de, yngste, ., 
, Det, er, en, utbredt, oppfatning, at, miljø, i, barnehage, er, viktig, for, barnas, utvikling, ., I, en, omfattende, svensk, studie, av, tidlig, sosialt, forløp, for, barn, på, 3-6, år, i, 2001, ,, konkluderer, forskerne, med, at, miljø, utenfor, hjemmet, er, betydningsfullt, for, utviklingen, og, at, barnehagen, har, et, potensiale, til, å, være, den, mest, gunstige, institusjonen, i, samspillet, mellom, barn, og, deres, miljø, (, Ahnert, et, al, ., ,, 2003, ), ., Senere, forskning, bekrefter, bildet, av, at, den, svenske, studien, stemmer, godt, overens, med, erfaringer, fra, internasjonale, studier, ., En, internasjonal, studie, som, studerte, barnehagekvalitet, i, perioden, 2001-2004, ,, konkluderte, med, at, miljøet, som, barna, er, vokst]",DET NOUN SCONJ NOUN CCONJ NOUN AUX ADJ ADP NOUN ADP NOUN PUNCT AUX PART ADV DET ADJ NOUN PRON NOUN AUX ADJ PUNCT PRON VERB ADJ ADP DET ADJ NOUN PROPN X PROPN PUNCT PROPN PUNCT PUNCT PUNCT PUNCT PUNCT PRON AUX VERB ADJ ADJ NOUN PUNCT CCONJ DET NOUN PRON AUX ADJ PUNCT AUX SCONJ NOUN VERB ADJ NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT PRON VERB PART ADJ ADP DET ADJ PUNCT SPACE PRON AUX DET ADJ NOUN SCONJ NOUN ADP NOUN AUX ADJ ADP NOUN NOUN PUNCT ADP DET ADJ ADJ NOUN ADP ADJ ADJ NOUN ADP NOUN ADP NUM NOUN ADP NUM PUNCT VERB NOUN SCONJ SCONJ NOUN ADP NOUN AUX ADJ ADP NOUN CCONJ SCONJ NOUN VERB DET NOUN SCONJ PART AUX DET ADJ ADJ NOUN ADP NOUN ADP NOUN CCONJ PRON NOUN PUNCT PROPN DET NOUN PUNCT PUNCT NUM PUNCT PUNCT ADJ NOUN VERB NOUN SCONJ SCONJ DET ADJ NOUN VERB ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT DET ADJ NOUN PRON VERB NOUN ADP NOUN NUM PUNCT VERB SCONJ SCONJ NOUN PRON NOUN AUX VERB,0.040627885503231764,0.3861508704061874,185,1083,0.4540540540540541,0.21687083261388584
"[Nei, sa, Beatrice, Bare, gå, for, det, ., Nei, ,, jeg, gidder, ikke, sitte, her, sammen, med, dem, og, spille, en, masse, dumme, spill, ., Gutter, er, blitt, rare, nå, ., Du, er, en, av, dem, ,, jeg, vet, det, ., Nei, gå, nå, og, finn, noen, av, venninnene, dine, og, vær, venner, med, dem, en, stund, !, Beatrice, sto, opp, og, så, over, mot, kjøkkenet, og, der, hvor, faren, sov, ., Hva, har, du, tenkt, deg, ,, Vesla, ?, Sove, her, oppe, hos, meg, ?, Nei, ,, jeg, klarer, ikke, tanken, på, at, noen, skal, komme, hit, opp, nå, ,, enda, mindre, sovne, sammen, med, oss, ., Og, jeg, vet, ikke, hvor, lang, tid, det, vil, ta, før, du, finner, veien, opp, til, rommet, ditt, ., Du, sa, du, skulle, gå, en, tur, i, kveld, ., Du, kommer, ikke, til, å, gjøre, det, ., Jeg, skal, gjøre, det, ,, jeg, lover, ., Men, bare, en, liten, stund, ., Beatrice, sto, i, døren, og, stirret, på, ham, ,, hun, sto, ikke, og, lurte, på, om, hun, skulle, banke, på, ., Men, nei, ,, hun, sa, ikke, noe, til, ham, ,, hun, bare, snudde, seg, og, begynte, å, ta, noen, skritt, nedover, trappen, ., Beatrices, stemme, ble, dypere, og, tristere]",INTJ VERB PROPN ADV VERB ADP PRON PUNCT INTJ PUNCT PRON VERB PART VERB ADV ADV ADP PRON CCONJ VERB DET NOUN ADJ NOUN PUNCT NOUN AUX VERB ADJ ADV PUNCT PRON AUX DET ADP PRON PUNCT PRON VERB PRON PUNCT INTJ VERB ADV CCONJ VERB DET ADP NOUN PRON CCONJ AUX NOUN ADP PRON DET NOUN PUNCT PROPN VERB ADP CCONJ ADV ADP ADP NOUN CCONJ ADV ADV NOUN VERB PUNCT PRON AUX PRON VERB PRON PUNCT PROPN PUNCT VERB ADV ADP ADP PRON PUNCT INTJ PUNCT PRON VERB PART NOUN SCONJ SCONJ PRON AUX VERB ADV ADP ADV PUNCT ADV ADJ VERB ADV ADP PRON PUNCT CCONJ PRON VERB PART ADV ADJ NOUN PRON AUX VERB SCONJ PRON VERB NOUN ADP ADP NOUN PRON PUNCT PRON VERB PRON AUX VERB DET NOUN ADP NOUN PUNCT PRON VERB PART SCONJ PART VERB PRON PUNCT PRON AUX VERB PRON PUNCT PRON VERB PUNCT CCONJ ADV DET ADJ NOUN PUNCT PROPN VERB ADP NOUN CCONJ VERB ADP PRON PUNCT PRON VERB PART CCONJ VERB SCONJ SCONJ PRON AUX VERB ADP PUNCT CCONJ INTJ PUNCT PRON VERB PART PRON ADP PRON PUNCT PRON ADV VERB PRON CCONJ VERB PART VERB DET NOUN ADP NOUN PUNCT PROPN NOUN VERB ADJ CCONJ NOUN,0.04519774011299435,0.37377990430621916,209,885,0.6650717703349283,0.2753791229435455
"[For, 2, av, elevene, har, tilværelsen, blitt, snudd, på, hodet, ,, og, alle, har, måtte, sette, utdanningen, på, vent, ., For, Eline, ble, det, helt, stopp, ., –, Det, har, vært, veldig, tøft, ,, men, jeg, skjønte, ikke, hvor, hardt, det, var, å, være, student, ,, hvor, hardt, det, er, å, bli, sittende, alene, med, pensum, fra, morgen, til, kveld, ., Jeg, skjønner, det, nesten, ikke, nå, ,, at, det, var, så, hardt, ,, sier, hun, ., Hun, og, klassevenninnen, Emilie, har, blitt, enige, om, de, skal, ha, et, nytt, møte, om, et, par, måneder, ., Kanskje, det, kan, hjelpe, en, del, at, begge, har, samme, situasjon, ., For, de, andre, har, det, ikke, føltes, like, hardt, som, for, Eline, ., –, De, kommer, og, spør, om, vi, vil, gjøre, det, samme, ,, noe, som, gjør, det, ganske, mye, bedre, fordi, det, er, andre, som, har, opplevd, det, samme, ,, sier, Emilie, ., 
, For, Eline, ble, det, vanskeligere, å, finne, noen, å, jobbe, med, som, hun, gjør, med, klassen, ,, eller, få, hjelp, når, man, har, en, tung, periode, i, livet, ,, og, de, to, fagene, hun, ville, øve, seg, i, ,, biologi, og, kjemi, ,, ble, mindre, populært, .]",ADP NUM ADP NOUN AUX NOUN AUX VERB ADP NOUN PUNCT CCONJ PRON AUX AUX VERB NOUN ADP NOUN PUNCT CCONJ PROPN VERB PRON ADJ NOUN PUNCT PUNCT PRON AUX AUX ADJ ADJ PUNCT CCONJ PRON VERB PART ADV ADJ PRON AUX PART AUX NOUN PUNCT ADV ADJ PRON AUX PART VERB ADJ ADV ADP NOUN ADP NOUN ADP NOUN PUNCT PRON VERB PRON ADV PART ADV PUNCT SCONJ PRON AUX ADV ADJ PUNCT VERB PRON PUNCT PRON CCONJ NOUN PROPN AUX VERB ADJ SCONJ PRON AUX VERB DET ADJ NOUN ADP DET NOUN NOUN PUNCT ADV PRON AUX VERB DET NOUN SCONJ PRON VERB DET NOUN PUNCT ADP DET DET AUX PRON PART VERB ADV ADJ ADP ADP PROPN PUNCT PUNCT PRON VERB CCONJ VERB SCONJ PRON AUX VERB DET DET PUNCT PRON PRON VERB PRON ADV ADJ ADJ SCONJ PRON AUX DET PRON AUX VERB DET DET PUNCT VERB PROPN PUNCT SPACE ADP PROPN VERB PRON ADJ PART VERB PRON PART VERB ADP PRON PRON VERB ADP NOUN PUNCT CCONJ VERB NOUN SCONJ PRON VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ DET NUM NOUN PRON AUX VERB PRON ADP PUNCT NOUN CCONJ NOUN PUNCT VERB ADJ ADJ PUNCT,0.03956043956043956,0.3881533101045296,201,910,0.6467661691542289,0.3653751554778212
"[Utover, høsten, 1987, vil, det, bli, gitt, tilbud, om, kurs, /, konferanse, for, ansatte, i, barnehagen, ,, på, tvers, av, avdelingene, ., Invitasjon, vil, komme, i, posten, til, alle, barnehagene, og, de, som, ønsker, blir, oppfordret, til, å, melde, seg, på, ., Forespørsel, om, tilbudet, kan, rettes, til, PPT-, kontoret, ,, Barnehagesektoren, ., 
, Tre, av, barnehagegruppen, for, skolebarn, i, Karasjok, har, startet, en, barnekunstgruppe, ., Deltakerne, har, malt, og, dekorert, et, stort, glassmaleri, som, skal, stilles, ut, på, kulturhuset, ., Gruppeleder, er, Anne, Lise, Varsi, ,, og, hun, forteller, at, det, er, tre, grupper, som, hver, består, av, fire-fem, barn, ., Anne, Lise, er, på, plass, med, pensler, og, malerskrin, hver, uke, og, oppfordrer, flere, til, å, være, med, ., Glassmaleriet, skal, være, ferdig, i, august, og, vil, være, å, se, i, kulturhuset, under, åpningen, av, en, kunstutstilling, ,, kalt, «, Ung, kunst, i, Karasjok, », .]",ADP NOUN NUM AUX PRON AUX VERB NOUN ADP NOUN PUNCT NOUN ADP ADJ ADP NOUN PUNCT ADP NOUN ADP NOUN PUNCT NOUN AUX VERB ADP NOUN ADP DET NOUN CCONJ PRON PRON VERB AUX VERB SCONJ PART VERB PRON ADP PUNCT VERB ADP NOUN AUX VERB ADP PROPN NOUN PUNCT PROPN PUNCT SPACE NUM ADP NOUN ADP NOUN ADP PROPN AUX VERB DET NOUN PUNCT NOUN AUX VERB CCONJ VERB DET ADJ NOUN PRON AUX VERB ADP ADP NOUN PUNCT NOUN AUX PROPN PROPN PROPN PUNCT CCONJ PRON VERB SCONJ PRON VERB NUM NOUN PRON DET VERB ADP NUM NOUN PUNCT PROPN PROPN AUX ADP NOUN ADP NOUN CCONJ NOUN DET NOUN CCONJ VERB ADJ SCONJ PART AUX ADP PUNCT NOUN AUX AUX ADJ ADP NOUN CCONJ AUX AUX PART VERB ADP NOUN ADP NOUN ADP DET NOUN PUNCT VERB PUNCT PROPN NOUN ADP PROPN PUNCT PUNCT,0.059045226130653265,0.3787148594377525,148,796,0.5337837837837838,0.19964570342109647
"[Personell, og, organisering, av, sekretariatet, til, Nasjonalt, cybersikkerhetssenter, (, NCSC, ), -, Nasjonal, sikkerhetsmyndighet, 
, Nasjonalt, cybersikkerhetssenter, (, NCSC, ), har, som, primæroppgave, å, understøtte, Forsvarets, operasjoner, med, IKT-tjenester, ,, både, i, fred, ,, krise, og, krig, ., Senteret, skal, videre, bidra, til, Forsvarets, operative, evne, ,, evne, til, militært, samvirke, med, allierte, og, nasjonalt, forsvar, ved, å, ivareta, underlagte, militære, avdelingers, behov, for, digital, beskyttelse, og, cybersikkerhetsressurser, innen, cyberdomenet, ., Senteret, skal, også, bidra, til, Forsvarets, og, øvrige, sektorers, myndighetsutøvelse, ,, samt, håndtere, alvorlige, digitale, angrep, for, å, sikre, viktige, nasjonale, funksjoner, og, infrastrukturer, ., NCSC, har, et, eget, sekretariat, som, har, personellansvar, for, personell, i, senterets, operasjonssenter, og, drift, av, senterets, tekniske, infrastruktur, ., 
, Sekretariatet, forestår, personellforvaltning, og, daglig, drift, av, senteret, ,, i, tillegg, til, støttefunksjoner, for, NCSCs, leder, og, assisterende, leder, i, forbindelse, med, ivaretakelse, av, NCSCs, ansvar, og, oppgaver, ,, utøvende, driftsoppgaver, og, utvikling]",NOUN CCONJ NOUN ADP NOUN ADP PROPN NOUN PUNCT PROPN PUNCT PUNCT ADJ NOUN SPACE ADJ NOUN PUNCT PROPN PUNCT VERB SCONJ NOUN PART VERB PROPN NOUN ADP NOUN PUNCT CCONJ ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN AUX ADJ VERB ADP PROPN ADJ NOUN PUNCT NOUN ADP ADJ NOUN ADP ADJ CCONJ ADJ NOUN SCONJ PART VERB ADJ ADJ NOUN NOUN ADP ADJ NOUN CCONJ NOUN ADP PROPN PUNCT NOUN AUX ADV VERB ADP PROPN CCONJ ADJ NOUN NOUN PUNCT CCONJ VERB ADJ ADJ NOUN SCONJ PART VERB ADJ ADJ NOUN CCONJ NOUN PUNCT PROPN VERB DET DET NOUN PRON VERB NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN ADP NOUN ADJ NOUN PUNCT SPACE NOUN VERB NOUN CCONJ ADJ NOUN ADP NOUN PUNCT ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT ADJ NOUN CCONJ NOUN,0.0375234521575985,0.37408062930186725,150,1066,0.32666666666666666,0.15186442072789583
"[De, nevnte, artiklene, i, FN, har, fokusert, på, behovet, for, å, finne, hensiktsmessige, måter, å, implementere, folkerett, på, i, en, mer, kompleks, og, globalisert, verden, ., Imidlertid, er, det, ikke, alltid, lett, å, vite, hvordan, en, skal, løse, de, underliggende, problemene, som, oppstår, ., I, dag, vil, vi, utforske, to, av, disse, problemene, :, menneskerettigheter, og, folkerett, ., Begge, temaene, har, alltid, vært, kontroversielle, ,, og, dette, er, grunnen, til, at, vi, mener, de, trenger, å, fortsette, å, bli, diskutert, ., 
, I, kjernen, av, menneskerettigheter, ligger, ideen, om, at, folk, skal, behandles, likt, ., Menneskerettighetsbegrepet, er, bredt, ,, og, det, blir, vanligvis, analysert, fra, et, filosofisk, perspektiv, ., Imidlertid, blir, det, også, ofte, brukt, som, et, verktøy, for, å, regulere, relasjonene, mellom, regjeringer, ,, internasjonale, organisasjoner, ,, enkeltpersoner, og, andre, grupper, i, samfunnet, ., Menneskerettigheter, har, blitt, et, viktig, konsept, for, diskusjonene, rundt, mange, statlige, og, internasjonale, organer, i, nyere, tid, ., 
, Som, sådan, har, menneskerettighetsdiskusjoner, økt, med, den, økende, globale, innflytelsen, som, hvert, vestlig, land, har, for, tiden, i, FNs, generalforsamling, og, verdens, handelsorganisasjon, ., Til, tross, for, dette, kan, menneskerett]",DET VERB NOUN ADP PROPN AUX VERB ADP NOUN SCONJ PART VERB ADJ NOUN PART VERB NOUN ADP ADP DET ADJ ADJ CCONJ ADJ NOUN PUNCT ADV AUX PRON PART ADV ADJ PART VERB ADV PRON AUX VERB DET ADJ NOUN PRON VERB PUNCT ADP NOUN AUX PRON VERB NUM ADP DET NOUN PUNCT NOUN CCONJ NOUN PUNCT DET NOUN AUX ADV AUX ADJ PUNCT CCONJ PRON AUX NOUN SCONJ SCONJ PRON VERB PRON VERB PART VERB PART AUX VERB PUNCT SPACE ADP NOUN ADP NOUN VERB NOUN SCONJ SCONJ NOUN AUX VERB ADJ PUNCT NOUN AUX ADJ PUNCT CCONJ PRON AUX ADV VERB ADP DET ADJ NOUN PUNCT ADV VERB PRON ADV ADJ VERB SCONJ DET NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT ADJ NOUN PUNCT NOUN CCONJ DET NOUN ADP NOUN PUNCT NOUN AUX VERB DET ADJ NOUN ADP NOUN ADP ADJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT SPACE ADP ADV AUX NOUN VERB ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN VERB ADP NOUN ADP PROPN NOUN CCONJ PROPN PROPN PUNCT ADP ADP ADP PRON AUX NOUN,0.032229965156794424,0.36192902638762436,184,1148,0.5434782608695652,0.28142274014247565
"[Bør, minimum, være, 10, av, 15, medspillere, på, banen, fra, egen, region, |, Malviknytt, 
, Hjem, Næringsliv, Bør, minimum, være, 10, av, 15, medspillere, på, banen, fra, egen, ..., 
, Bør, minimum, være, 10, av, 15, medspillere, på, banen, fra, egen, region, 
, Malvik, kommune, er, tatt, opp, som, medlem, av, nettverket, Trøndelags, Europakontor, ,, et, samarbeid, mellom, Trøndelag, fylkeskommune, og, Trøndelags, regioner, ., 
, Opptaksåret, 2018, gjelder, i, første, omgang, resten, av, inneværende, år, og, de, to, påfølgende, år, ., For, hvert, år, blir, det, gjennomført, en, evaluering, av, medlemskapet, gjennom, en, søknadsprosess, hvor, begge, Trøndelagsfylkene, og, Trondheim, kommune, deltar, ., I, årets, gjennomgang, ble, Malvik, valgt, som, nytt, medlem, på, grunn, av, kommunens, deltakelse, i, EU, prosjektet, «, Socially, Inclusive, Cities, », ,, som, bidrar, til, erfaringsutveksling, ,, kunnskapsutveksling, og, samarbeid, med, andre, europeiske, kommuner, og, regioner, ., 
, Les, også, :, Malvik, er, blitt, Europeisk, kommune, 
, Et, viktig, prinsipp, i, Trøndelags, Europakontor, er, å, bidra, til, å, knytte, trønderske, kommuner, som, ikke, deltar, i, prosjekter, under, EUs, sam]",AUX NOUN AUX NUM ADP NUM NOUN ADP NOUN ADP DET NOUN PUNCT ADJ SPACE PROPN PROPN AUX NOUN AUX NUM ADP NUM NOUN ADP NOUN ADP DET PUNCT SPACE AUX NOUN AUX NUM ADP NUM NOUN ADP NOUN ADP DET NOUN SPACE PROPN NOUN AUX VERB ADP SCONJ NOUN ADP NOUN PROPN PROPN PUNCT DET NOUN ADP PROPN NOUN CCONJ PROPN NOUN PUNCT SPACE PROPN NUM VERB ADP ADJ NOUN NOUN ADP ADJ NOUN CCONJ DET NUM ADJ NOUN PUNCT ADP DET NOUN AUX PRON VERB DET NOUN ADP NOUN ADP DET NOUN ADV DET NOUN CCONJ PROPN NOUN VERB PUNCT ADP NOUN NOUN AUX PROPN VERB SCONJ ADJ NOUN ADP NOUN ADP NOUN NOUN ADP PROPN NOUN PUNCT PROPN PROPN PROPN PUNCT PUNCT PRON VERB ADP NOUN PUNCT NOUN CCONJ NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT SPACE VERB ADV PUNCT PROPN AUX VERB ADJ NOUN SPACE DET ADJ NOUN ADP PROPN PROPN AUX PART VERB SCONJ PART VERB ADJ NOUN PRON PART VERB ADP NOUN ADP PROPN PROPN,0.05024630541871921,0.41766045548654185,172,1015,0.436046511627907,0.16231693305073994
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, om, å, tillate, medlemsstatene, å, utsette, innlemmelsen, av, forordning, 780/2006, med, 24, måneder, ,, dvs., til, 28., februar, 2014., Dette, begrunnes, med, at, forordning, 780/2006, allerede, er, vedtatt, og, innebærer, store, omkostninger, for, næringslivet, og, for, EU, i, omleggingen, ., Dette, innebærer, at, foretak, må, legge, om, til, ny, systemteknologi, senest, i, 2015., Kommisjonen, mener, dette, er, en, akseptabel, tidsplan, så, lenge, man, innlemmer, den, i, rett, tid, ., 
, Artikkel, 34, slår, fast, at, medlemsstatene, skal, gjennomføre, Kommisjonens, forslag, til, tekniske, reguleringer, ,, og, nasjonale, bestemmelser, skal, være, i, samsvar, med, reglene, i, ITS-, Direktivet, ., 
, Kommisjonens, initiativ, til, å, gjøre, ITS, Direktivet, til, overordnet, regelverk, innen, persontransport, har, møtt, mye, motstand, i, Europa, ., Dette, gjelder, spesielt, det, at, ITS-, Direktivet, er, svært, detaljert, ,, og, det, vanskeliggjør, tilpasningen, av, nasjonalt, regelverk, ., Det, har, også, vært, motforestillinger, til, at, forordning, 780/2006, krever, så, store, implementeringskostnader, til, omstilling, i, de, deltakende, selskaper]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB NOUN PART VERB NOUN ADP NOUN NUM ADP NUM NOUN PUNCT ADV ADP ADJ NOUN PUNCT PRON VERB SCONJ SCONJ NOUN NUM ADV AUX VERB CCONJ VERB ADJ NOUN ADP NOUN CCONJ ADP PROPN ADP NOUN PUNCT PRON VERB SCONJ NOUN AUX VERB ADP ADP ADJ NOUN ADJ ADP NUM NOUN VERB PRON AUX DET ADJ NOUN ADV ADJ PRON VERB PRON ADP ADJ NOUN PUNCT SPACE NOUN NUM VERB ADJ SCONJ NOUN AUX VERB PROPN NOUN ADP ADJ NOUN PUNCT CCONJ ADJ NOUN AUX VERB ADP NOUN ADP NOUN ADP PROPN NOUN PUNCT SPACE NOUN NOUN SCONJ PART VERB PROPN NOUN ADP ADJ NOUN ADP NOUN AUX VERB ADJ NOUN ADP PROPN PUNCT PRON VERB ADJ PRON SCONJ PROPN NOUN AUX ADJ ADJ PUNCT CCONJ PRON VERB NOUN ADP ADJ NOUN PUNCT PRON AUX ADV VERB NOUN SCONJ SCONJ NOUN NUM VERB ADV ADJ NOUN ADP NOUN ADP DET ADJ NOUN,0.04523580365736285,0.3854343434343428,161,1039,0.4720496894409938,0.21927911399455757
