tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, hadde, flere, sider, med, tekst, eller, noen, bilder, ,, kan, det, godt, ha, stått, ., Så, en, titt, ,, vær, så, god, ,, du, kan, gå, på, bloggen, min, for, å, se, det, der, ., Så, ser, du, hvem, hun, tror, de, kan, være, ,, eller, noe, sånt, ., De, fikk, jo, heller, ikke, lov, til, å, ha, sååå, mange, kommentarer, og, sånn, ., Så, da, er, det, helt, forståelig, hvorfor, de, har, sånn, beskyttelse, på, sidene, ., Men, så, er, det, såklart, noen, som, bare, vil, hate, da, ., 
, Jeg, blir, ikke, såret, uansett, om, de, stenger, kommentarene, på, bloggen, min, og, det, er, jeg, glad, for, ., Hvis, de, bare, hadde, stengt, de, fordi, de, misliker, bloggen, min, så, sterkt, hadde, jeg, faktisk, blitt, litt, irritert, ., Da, hadde, kanskje, jeg, også, blitt, innesperret, på, den, måten, ., De, kan, jo, stenge, kommentarer, fordi, de, synes, det, er, for, mye, hets, og, kritikk, ?, De, kan, jo, fjerne, det, ?, Er, det, ikke, derfor, de, har, blogger, og, kommenterer, på, blogger, ?, Fjerner, de, det, så, har, de, ingenting, igjen, ., Blogger, har, blitt, sånn, at, alt, annet, enn, et, innlegg]",DET NOUN ADP NOUN PRON VERB ADJ NOUN ADP NOUN CCONJ DET NOUN PUNCT AUX PRON ADJ AUX VERB PUNCT CCONJ DET NOUN PUNCT AUX ADV ADJ PUNCT PRON AUX VERB ADP NOUN PRON SCONJ PART VERB PRON ADV PUNCT ADV VERB PRON PRON PRON VERB PRON AUX AUX PUNCT CCONJ DET DET PUNCT PRON VERB ADV ADV PART NOUN SCONJ PART AUX VERB ADJ NOUN CCONJ ADV PUNCT CCONJ ADV AUX PRON ADJ ADJ ADV PRON VERB DET NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON ADJ PRON PRON ADV AUX VERB ADV PUNCT SPACE PRON AUX PART VERB SCONJ SCONJ PRON VERB NOUN ADP NOUN PRON CCONJ PRON AUX PRON ADJ ADP PUNCT SCONJ PRON ADV AUX VERB PRON SCONJ PRON VERB NOUN PRON ADV ADJ AUX PRON ADJ VERB ADJ ADJ PUNCT ADV VERB ADV PRON ADV AUX VERB ADP DET NOUN PUNCT PRON AUX ADV VERB NOUN SCONJ PRON VERB PRON AUX ADV ADJ NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB PRON PUNCT AUX PRON PART ADV PRON VERB NOUN CCONJ VERB ADP NOUN PUNCT VERB PRON PRON ADV VERB PRON PRON ADV PUNCT NOUN AUX VERB ADV SCONJ DET DET ADP DET NOUN,0.04030501089324619,0.37242807825086294,199,918,0.6984924623115578,0.2990222238613791
"[Men, så, banket, jomfru, Hansen, på, kjøkkendør, en, og, sa, :, Jeg, skulle, si, fra, jomfruen, at, hun, ikke, skal, komme, til, å, sulte, på, noen, måte, ., Alle, i, huset, skal, lage, seg, til, å, komme, og, være, mei, maten, ., Nå, skal, den, være, noe, søtere, enn, vanlig, på, jomfrufinger, !, 
, Jomfru, Hansen, skyndte, seg, ut, med, hendene, på, ryggen, ., Alle, var, så, rare, ., De, så, opp, med, store, øyne, da, hun, kom, farende, ., For, hun, var, den, skjønneste, unge, damen, i, hele, byen, ,, og, hun, var, jomfru, Hansen, ,, og, hun, var, like, så, rik, som, alle, millionærene, ,, hun, ., Og, da, hun, var, kommet, ut, i, kammerset, ,, måtte, hun, gråte, høyt, ., For, jomfru, Hansen, hadde, sagt, at, alle, i, huset, skul, le, komme, inn, og, spise, så, søt, grøt, ,, alle, måtte, sette, seg, til, bords, ,, og, alle, måtte, spise, søtt, ., Det, var, noe, nytt, for, jomfru, Hansen, ., Men, alle, syntes, det, var, både, søtt, og, godt, ., 
, Da, alle, hadde, spist, ,, var, jomfru, Hansen, kommet, like, så, glad, og, tilfreds]",CCONJ ADV VERB PROPN PROPN ADP NOUN PRON CCONJ VERB PUNCT PRON AUX VERB ADP NOUN SCONJ PRON PART AUX VERB SCONJ PART VERB ADP DET NOUN PUNCT PRON ADP NOUN AUX VERB PRON SCONJ PART VERB CCONJ AUX NOUN NOUN PUNCT ADV AUX PRON AUX DET ADJ ADP ADJ ADP NOUN PUNCT SPACE PROPN PROPN VERB PRON ADP ADP NOUN ADP NOUN PUNCT PRON AUX ADV ADJ PUNCT PRON VERB ADP ADP ADJ NOUN SCONJ PRON VERB ADJ PUNCT CCONJ PRON AUX DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT CCONJ PRON AUX ADJ PROPN PUNCT CCONJ PRON AUX ADV ADV ADJ ADP DET NOUN PUNCT PRON PUNCT CCONJ SCONJ PRON AUX VERB ADP ADP NOUN PUNCT AUX PRON VERB ADJ PUNCT CCONJ NOUN PROPN AUX VERB SCONJ PRON ADP NOUN VERB VERB VERB ADP CCONJ VERB ADV ADJ NOUN PUNCT PRON AUX VERB PRON ADP NOUN PUNCT CCONJ PRON AUX VERB ADJ PUNCT PRON AUX DET ADJ ADP NOUN PROPN PUNCT CCONJ PRON VERB PRON AUX CCONJ ADJ CCONJ ADJ PUNCT SPACE SCONJ PRON AUX VERB PUNCT AUX NOUN PROPN VERB ADV ADV ADJ CCONJ ADJ,0.045454545454545456,0.39842439644218547,188,836,0.6063829787234043,0.23504419075492505
"[Det, synspunkt, at, miljøskifte, og, miljøforandring, kan, påvirke, oss, psykisk, ,, avvises, på, det, sterkeste, ,, sier, leder, for, Mental, Helse, Sand, nes, og, Gjesdal, Anne-Sofie, Fidjeland, ., Mental, Helse, har, nylig, hatt, en, medlemsvervekampanje, gående, ,, og, Fidjeland, vil, gjerne, understreke, at, den, absolutt, ikke, har, noe, med, tvangs, tanker, å, gjøre, ., -, Nei, ,, dette, er, helt, ufarlig, ., Det, er, snakk, om, en, måte, å, tenke, på, ,, og, alle, har, lov, til, det, ., Miljøforandring, trenger, ikke, å, ha, noe, å, gjøre, med, tvangstanker, ,, sier, hun, ., Mental, Helse, startet, en, tilsvarende, verve, kampanje, i, fjor, ,, men, med, en, viss, ned, gang, i, antall, medlemmer, ., -, Vi, er, litt, usikre, på, årsaken, ,, men, tror, det, skyldes, at, noen, ikke, helt, vet, hva, vi, står, for, ,, smiler, Fidjeland, ., Medlemsverving, er, et, av, fire, priori, terte, arbeidsoppgåver, for, Mental, Hel, se, Sandnes, og, Gjesdal, ., 
, Anne-Sofie, Fidjeland, understre, ker, at, de, som, står, bak, den, nye, med, lemsverv]",DET NOUN SCONJ NOUN CCONJ NOUN AUX VERB PRON ADJ PUNCT VERB ADP DET ADJ PUNCT VERB NOUN ADP PROPN PROPN PROPN X CCONJ PROPN PROPN PROPN PUNCT PROPN PROPN AUX ADV VERB DET NOUN ADJ PUNCT CCONJ PROPN AUX ADV VERB SCONJ PRON ADJ PART VERB PRON ADP ADJ NOUN PART VERB PUNCT PUNCT INTJ PUNCT PRON AUX ADJ ADJ PUNCT PRON AUX NOUN ADP DET NOUN PART VERB ADP PUNCT CCONJ PRON VERB NOUN ADP PRON PUNCT PROPN VERB PART PART VERB PRON PART VERB ADP NOUN PUNCT VERB PRON PUNCT PROPN PROPN VERB DET ADJ ADJ NOUN ADP NOUN PUNCT CCONJ ADP DET ADJ ADP NOUN ADP NOUN NOUN PUNCT PUNCT PRON AUX ADJ ADJ ADP NOUN PUNCT CCONJ VERB PRON VERB SCONJ PRON PART ADJ VERB PRON PRON VERB ADP PUNCT VERB PROPN PUNCT NOUN AUX DET ADP NUM ADJ ADJ NOUN ADP PROPN NOUN VERB PROPN CCONJ PROPN PUNCT SPACE PROPN PROPN VERB NOUN SCONJ PRON PRON VERB ADP DET ADJ ADP NOUN,0.04252873563218391,0.3883556638246038,168,870,0.5178571428571429,0.2734581689659302
"[Nei, sa, Beatrice, Bare, gå, bort, og, si, det, du, vil, jeg, greier, meg, ., Du, er, ikke, redd, ., Å, du, !, Redd, !, Ja, jeg, hadde, jo, vært, nødt, til, å, si, det, ., Jeg, var, glad, hun, ikke, sto, her, akkurat, nå, ., Hun, had, de, vel, sett, at, jeg, hadde, grått, ., Så, snudde, hun, tvert, om, og, gikk, ned, over, stien, igjen, med, et, trett, blikk, ., Jeg, skal, ikke, gå, i, vegen, for, deg, ,, tenkte, jeg, ., Men, hun, så, det, visst, slik, ., Jeg, skyndet, meg, for, å, få, tak, i, kufferten, min, som, sto, der, og, stengte, for, dørene, ,, akkurat, så, mange, skritt, erter, at, jeg, bare, kunne, springe, med, den, vesle, hånden, min, på, klinken, og, åpne, dørene, ., Vi, begynte, å, gå, fort, etter, at, hun, hadde, gått, bortover, veien, igjen, ,, det, var, den, første, søndagen, hun, hadde, gått, fra, meg, i, det, siste, ., En, søndag, som, hun, var, langt, borte, ., Bare, det, som, hendte, den, søndagen, hun, gikk, bort, kunne, hun, ikke, være, borte, fra, ., Nei, ,, nei, ., Men, den, søndagen, jeg, ikke, visste, det, ,, den, da, gen]",INTJ VERB PROPN ADV VERB ADP CCONJ VERB PRON PRON VERB PRON VERB PRON PUNCT PRON AUX PART ADJ PUNCT INTJ PRON PUNCT NOUN PUNCT INTJ PRON AUX ADV AUX ADJ SCONJ PART VERB PRON PUNCT PRON AUX ADJ PRON PART VERB ADV ADV ADV PUNCT PRON VERB PRON ADV VERB SCONJ PRON VERB ADJ PUNCT ADV VERB PRON ADV ADP CCONJ VERB ADP ADP NOUN ADV ADP DET ADJ NOUN PUNCT PRON AUX PART VERB ADP NOUN ADP PRON PUNCT VERB PRON PUNCT CCONJ PRON VERB PRON ADJ ADV PUNCT PRON VERB PRON SCONJ PART VERB NOUN ADP NOUN PRON PRON VERB ADV CCONJ VERB ADP NOUN PUNCT ADV ADV ADJ NOUN NOUN SCONJ PRON ADV AUX VERB ADP DET ADJ NOUN PRON ADP NOUN CCONJ ADJ NOUN PUNCT PRON VERB PART VERB ADJ SCONJ SCONJ PRON AUX VERB ADP NOUN ADV PUNCT PRON AUX DET ADJ NOUN PRON AUX VERB ADP PRON ADP DET ADJ PUNCT DET NOUN PRON PRON AUX ADJ ADP PUNCT ADV PRON PRON VERB DET NOUN PRON VERB ADP AUX PRON PART AUX ADP ADP PUNCT INTJ PUNCT INTJ PUNCT CCONJ DET NOUN PRON PART VERB PRON PUNCT PRON SCONJ NOUN,0.04716981132075472,0.37171464330413045,197,848,0.7055837563451777,0.28754564509964387
"[For, 2, av, elevene, har, året, på, Follo, gitt, mersmak, på, en, yrkesretning, i, byggebransjen, ., 
, –, Jeg, trivdes, godt, hos, entreprenørene, og, har, veldig, lyst, til, å, gå, videre, med, å, jobbe, innen, bygg-, og, anlegg, ., Derfor, vil, jeg, fortsette, på, den, veien, jeg, har, startet, på, her, på, Follo, ,, sier, 17-åringen, Marius, Hansen, Skavås, ., 
, Hans, kompanjong, Kristian, Tollefsen, er, helt, enig, ., 
, –, Jeg, skal, søke, meg, på, byggteknikk, på, Vestby, videregående, skole, til, høsten, ,, sier, 20-åringen, som, i, likhet, med, mange, av, de, andre, elevene, nå, er, i, gang, med, å, skrive, søknader, for, opptak, til, bygg-, og, anleggsteknikk, på, videregående, ,, men, som, er, klare, på, at, de, tar, et, skoleår, til, på, Follo, for, å, få, best, mulig, grunnlag, for, videre, opplæring, ., 
, –, Med, bedre, basiskunnskaper, i, tømrerfaget, enn, hva, de, får, gjennom, de, første, to, årene, på, skolen, ,, tror, jeg, også, at, dette, vil, gi, et, helt, annet, grunnlag, for, en, god, fagutdanning, for, de, som, ønsker, det, i, bygg-, og, anleggsbrans]",ADP NUM ADP NOUN VERB NOUN ADP PROPN VERB NOUN ADP DET NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB ADJ ADP NOUN CCONJ VERB ADJ NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN CCONJ NOUN PUNCT ADV AUX PRON VERB ADP DET NOUN PRON AUX VERB ADP ADV ADP PROPN PUNCT VERB NOUN PROPN PROPN PROPN PUNCT SPACE PRON NOUN PROPN PROPN AUX ADJ ADJ PUNCT SPACE PUNCT PRON AUX VERB PRON ADP NOUN ADP PROPN ADJ NOUN ADP NOUN PUNCT VERB NOUN PRON ADP NOUN ADP ADJ ADP DET DET NOUN ADV AUX ADP NOUN SCONJ PART VERB NOUN ADP NOUN ADP NOUN CCONJ NOUN ADP ADJ PUNCT CCONJ PRON AUX ADJ SCONJ SCONJ PRON VERB DET NOUN ADP ADP PROPN SCONJ PART VERB ADJ ADJ NOUN ADP ADJ NOUN PUNCT SPACE PUNCT ADP ADJ NOUN ADP NOUN ADP PRON PRON VERB ADP DET ADJ NUM NOUN ADP NOUN PUNCT VERB PRON ADV SCONJ PRON AUX VERB DET ADJ DET NOUN ADP DET ADJ NOUN ADP PRON PRON VERB PRON ADP NOUN CCONJ NOUN,0.04788418708240535,0.3887632508833919,178,898,0.6067415730337079,0.2399928818709444
"[Utover, høsten, 1987, vil, det, bli, gitt, orientering, om, de, nye, lånevilkårene, i, Den, norske, bankforening, ., 
, Fylkesmannen, er, pålagt, å, opplyse, om, den, nye, ordning, som, er, bebudet, 1.10., 1987., Utgangspunktet, er, å, informere, kredittinstitusjonene, —, og, publikum, for, øvrig, om, den, endrede, ordning, for, renterabatt, av, statskassens, kontantbeholdning, ., 
, Ordningen, tar, sikte, på, bedre, rentevilkår, ., Det, vil, bli, utarbeidet, veiledning, for, bankenes, og, publikums, bruk, av, disse, rabattmidler, ., Bankene, vil, bli, informert, om, hvilke, konti, som, ønskes, oppgjort, ., 
, Vedlegg, :, Rentefritak, ved, statskasseveksler, (, utlagt, for, den, enkelte, bank, ), ., 
, VI, ., Oversikt, over, renteutviklingen, fram, til, 1987., 
, I, tabell, 1, har, vi, tatt, med, en, oversikt, utregnet, for, 1985, ,, 1986, og, 1987, for, statens, konti, i, Norges, Bank, og, de, viktigste, statsinstitusjonene, ., Utregningen, bygger, på, følgende, forutsetninger, :, 
, Tabellen, er, satt, opp, på, grunnlag, av, de, rentevilkår, og, -satser, som, gjelder, 1.7.87., Det, kan, komme, endringer, ,, og]",ADP NOUN NUM AUX PRON AUX VERB NOUN ADP DET ADJ NOUN ADP PROPN ADJ NOUN PUNCT SPACE NOUN AUX VERB PART VERB ADP DET ADJ NOUN PRON AUX NOUN ADJ NOUN NOUN AUX PART VERB NOUN PUNCT CCONJ NOUN ADP ADJ ADP DET ADJ NOUN ADP NOUN ADP NOUN NOUN PUNCT SPACE NOUN VERB NOUN ADP ADJ NOUN PUNCT PRON AUX AUX VERB NOUN ADP NOUN CCONJ NOUN NOUN ADP DET NOUN PUNCT NOUN AUX AUX VERB SCONJ DET NOUN PRON VERB ADJ PUNCT SPACE NOUN PUNCT NOUN ADP NOUN PUNCT VERB ADP DET ADJ NOUN PUNCT PUNCT SPACE NOUN PUNCT NOUN ADP NOUN ADP ADP NUM SPACE ADP NOUN NUM AUX PRON VERB ADP DET NOUN VERB ADP NUM PUNCT NUM CCONJ NUM ADP NOUN NOUN ADP PROPN PROPN CCONJ DET ADJ NOUN PUNCT NOUN VERB ADP ADJ NOUN PUNCT SPACE NOUN AUX VERB ADP ADP NOUN ADP DET NOUN CCONJ NOUN PRON VERB NOUN PRON AUX VERB NOUN PUNCT CCONJ,0.052072263549415514,0.3989686098654705,163,941,0.4601226993865031,0.17746018770740432
"[Personell, og, organisering, av, sekretariatet, -, PDF, 
, 1, Personell, og, organisering, av, sekretariatet, Side, 1, av, 7, Personell, og, organisering, av, sekretariatet, Postadresse, :, Postboks, 8119, Dep, 0032, Oslo, Besøksadresse, :, Grytting, Drammensveien, 98, ,, Skøyen, Telefon, sentralbord, :, Org, ., nr., :, Faks, :, E-post, :, 
, 2, Personell, og, organisering, av, sekretariatet, Side, 2, av, 7, Personell, og, organisering, av, sekretariatet, Nkom, er, en, bruttobudsjettert, virksomhet, som, fører, regnskapet, etter, kontantprinsippet, ., Nkom, er, organisert, i, tre, fagavdelinger, og, en, stabsenhet, ., Administrative, fellesfunksjoner, er, organisert, i, stab, ., Nkoms, fellesfunksjoner, ledes, av, direktøren, og, består, av, IKT-avdeling, ,, driftsavdeling, ,, sentralbord, og, økonomi, /, adm.stab, ., Seksjonssjef, for, IKT, rapporterer, til, direktøren, ., Økonomiansvarlig, (, økonomisjef, ), og, IKT-ansvarlig, rapporterer, til, seksjonssjef, for, IKT, ., Nkom, har, en, stabsenhet, og, to, fagavdelinger, ,, Nkom, Sikkerhet, og, Nkom, Økonomi, ., I, tillegg, har]",NOUN CCONJ NOUN ADP NOUN PUNCT PROPN SPACE NUM NOUN CCONJ NOUN ADP NOUN PROPN NUM ADP NUM NOUN CCONJ NOUN ADP NOUN PROPN PUNCT NOUN NUM PROPN NUM PROPN PROPN PUNCT NOUN PROPN NUM PUNCT PROPN PROPN NOUN PUNCT INTJ PUNCT NUM PUNCT NOUN PUNCT NOUN PUNCT SPACE NUM NOUN CCONJ NOUN ADP NOUN PROPN NUM ADP NUM NOUN CCONJ NOUN ADP NOUN PROPN AUX DET ADJ NOUN PRON VERB NOUN ADP NOUN PUNCT PROPN AUX VERB ADP NUM NOUN CCONJ DET NOUN PUNCT ADJ NOUN AUX VERB ADP NOUN PUNCT PROPN NOUN VERB ADP NOUN CCONJ VERB ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN PUNCT NOUN ADP PROPN VERB ADP NOUN PUNCT ADJ PUNCT NOUN PUNCT CCONJ NOUN VERB ADP NOUN ADP PROPN PUNCT PROPN VERB DET NOUN CCONJ NUM NOUN PUNCT PROPN NOUN CCONJ PROPN NOUN PUNCT ADP NOUN VERB,0.05735930735930736,0.40854857142857204,146,924,0.273972602739726,0.06398417721297742
"[De, nevnte, artiklene, i, FNBs, prinsipp-, og, handlingsprogram, for, Oslo, er, en, sammenblanding, av, politikk, og, ren, konspirasjon, ., Den, politiske, virksomheten, kan, ikke, underlegges, dette, programmet, ,, som, er, vedtatt, ensidig, av, en, håndfull, representanter, ., Det, er, et, dokument, av, den, typen, som, ikke, hører, hjemme, i, et, demokrati, ., 
, Bompengene, er, et, godt, virkemiddel, til, fordel, for, bilistene, ., Prinsippet, er, at, brukerne, skal, betale, ., I, Oslo, har, vi, nå, fått, på, plass, et, betalingssystem, som, ivaretar, dette, ,, til, fordel, for, alle, ., Det, er, ingen, tvil, om, at, bilistene, må, betale, det, vesentligste, av, både, investeringene, og, de, løpende, drifts-, og, vedlikeholdskostnadene, for, det, gigantiske, veiprosjektet, som, Ryfast, er, ., Det, samme, må, også, gjelde, med, de, foreslåtte, tunnelene, i, Gandsfjorden, i, Stavanger, ., 
, Når, det, gjelder, de, øvrige, av, de, konkrete, kravene, ,, så, er, det, ikke, mulig, å, finne, hvor, partiet, henter, dekningene, for, å, kunne, gå, til, så, hardhendte, og, kontroversielle, tiltak, mot, private, bedrifter, ., Partiet, vil, også, pålegge, offentlige, innkjøpere, «, tilpassede]",DET VERB NOUN ADP PROPN NOUN CCONJ NOUN ADP PROPN AUX DET NOUN ADP NOUN CCONJ ADJ NOUN PUNCT DET ADJ NOUN AUX PART VERB DET NOUN PUNCT PRON AUX VERB ADJ ADP DET NOUN NOUN PUNCT PRON AUX DET NOUN ADP DET NOUN PRON PART VERB ADP ADP DET NOUN PUNCT SPACE NOUN AUX DET ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX SCONJ NOUN AUX VERB PUNCT ADP PROPN AUX PRON ADV VERB ADP NOUN DET NOUN PRON VERB PRON PUNCT ADP NOUN ADP PRON PUNCT PRON VERB DET NOUN SCONJ SCONJ NOUN AUX VERB DET ADJ ADP CCONJ NOUN CCONJ DET ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN PRON PROPN VERB PUNCT DET DET AUX ADV VERB ADP DET ADJ NOUN ADP PROPN ADP PROPN PUNCT SPACE SCONJ PRON VERB DET ADJ ADP DET ADJ NOUN PUNCT ADV AUX PRON PART ADJ PART VERB ADV NOUN VERB NOUN SCONJ PART AUX VERB ADP ADV ADJ CCONJ ADJ NOUN ADP ADJ NOUN PUNCT NOUN AUX ADV VERB ADJ NOUN PUNCT ADJ,0.03857566765578635,0.3677338877338879,175,1011,0.5314285714285715,0.3040025611602452
"[Bør, minimum, være, 10, av, 10, 
, Postet, av, Utleira, IL, den, 14., Des, 2015, 
, Etter, å, ha, studert, terminlistene, for, kommende, sesong, er, det, klart, at, de, yngste, vil, ha, sin, første, hjemmekamp, på, Utleira, den, 26., mai, 2016, ,, nøyaktig, ett, år, etter, at, Utleira, rykket, opp, til, 1., divisjon, ., Vi, oppfordrer, alle, til, å, sette, av, denne, datoen, ,, slik, at, vi, sammen, kan, lage, en, flott, ramme, rundt, lokaloppgjøret, mot, Orkanger, ., Utleira, og, Orkanger, er, de, eneste, lokale, lagene, som, skal, delta, i, 1., divisjon, i, 2016, ,, og, det, blir, en, kjempefin, serie, å, følge, med, på, ., Så, fort, vi, får, terminlisten, fra, regionen, vil, den, legges, ut, her, ., 
, Nedenfor, er, terminlisten, for, Utleira, som, helhet, ,, fra, de, yngste, til, de, eldste, ., Vi, ønsker, selvfølgelig, at, absolutt, alle, lag, fra, de, yngste, aldersbestemte, klassene, til, de, eldste, veteranene, prioriterer, kampene, som, er, oppført, i, terminslistene, ., Det, bør, være, minimum, 10, av, 10, kamper, ., Vi, oppfordrer, de, voksne, om, å, ta, kampansvar, for, de, minste, lagene, og]",AUX NOUN AUX NUM ADP NUM SPACE VERB ADP PROPN ADP DET ADJ PROPN NUM SPACE SCONJ PART AUX VERB NOUN ADP ADJ NOUN AUX PRON ADJ SCONJ DET ADJ AUX VERB PRON ADJ NOUN ADP PROPN DET ADJ NOUN NUM PUNCT ADJ NUM NOUN SCONJ SCONJ PROPN VERB ADP ADP ADJ NOUN PUNCT PRON VERB PRON SCONJ PART VERB ADP DET NOUN PUNCT ADV SCONJ PRON ADV AUX VERB DET ADJ NOUN ADP NOUN ADP PROPN PUNCT PROPN CCONJ PROPN AUX DET NUM ADJ NOUN PRON AUX VERB ADP ADJ NOUN ADP NUM PUNCT CCONJ PRON VERB DET ADJ NOUN PART VERB ADP ADP PUNCT ADV ADJ PRON VERB NOUN ADP NOUN AUX PRON VERB ADP ADV PUNCT SPACE ADP AUX NOUN ADP PROPN ADP NOUN PUNCT ADP DET ADJ ADP DET ADJ PUNCT PRON VERB ADJ SCONJ ADJ DET NOUN ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN VERB NOUN PRON AUX VERB ADP NOUN PUNCT PRON AUX VERB NOUN NUM ADP NUM NOUN PUNCT PRON VERB DET ADJ SCONJ PART VERB NOUN ADP DET ADJ NOUN CCONJ,0.048701298701298704,0.3807771428571425,181,924,0.5414364640883977,0.21864816485117297
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, til, en, bestemmelse, som, presiserer, en, presumsjon, om, at, EØS-rettsakter, som, tilsvarer, EU-rettsakter, skal, tolkes, og, anvendes, likt, med, sitt, EF-rettslige, forbilde, ., Dersom, slik, homogenitet, ikke, oppnås, ,, skal, det, nasjonale, rettssystemet, anvendes, ., 
, Artikkel, 4, slår, fast, prinsippet, om, at, EU-lovgivning, på, områder, omfattet, av, EØS-avtalen, skal, gis, forrang, framfor, nasjonal, lovgivning, dersom, det, foreligger, motstrid, (, hvis, EU-retten, er, klarere, enn, den, tilsvarende, norske, loven, eller, forskrifter, ), ., 
, I, tredje, ledd, presiseres, at, EU-forordninger, får, direkte, virkning, i, EU-landene, ,, mens, EØS-loven, ,, forordning, (, EF, ), nr., 2658/2000, (, administrasjonsforordningen, ), ,, ikke, har, direkte, virkning, ., Det, slås, imidlertid, fast, at, ESA, har, samme, kompetanse, som, Kommisjonen, har, når, det, gjelder, gjennomføring, av, forordninger, i, nasjonal, rett, ., Dette, betyr, at, Kommisjonen, også, kan, utøve, den, kompetanse, som, ESA, har, ,, selv, om, dette, i, utgangspunktet, er, upåvirket, av, EØS-avtalen, ., 
, Kapittel, 2, om, gjennomføring, av, vedtak, om]",NOUN NUM VERB ADP PROPN NOUN ADP DET NOUN PRON VERB DET NOUN SCONJ SCONJ NOUN PRON VERB NOUN AUX VERB CCONJ VERB ADJ ADP PRON ADJ NOUN PUNCT SCONJ DET NOUN PART VERB PUNCT AUX DET ADJ NOUN VERB PUNCT SPACE NOUN NUM VERB ADJ NOUN SCONJ SCONJ NOUN ADP NOUN VERB ADP NOUN AUX VERB NOUN ADP ADJ NOUN SCONJ PRON VERB NOUN PUNCT SCONJ NOUN AUX ADJ ADP DET ADJ ADJ NOUN CCONJ NOUN PUNCT PUNCT SPACE ADP ADJ NOUN VERB SCONJ NOUN VERB ADJ NOUN ADP NOUN PUNCT SCONJ NOUN PUNCT NOUN PUNCT PROPN PUNCT NOUN NUM PUNCT NOUN PUNCT PUNCT PART VERB ADJ NOUN PUNCT PRON VERB ADV ADJ SCONJ PROPN VERB DET NOUN PRON PROPN VERB SCONJ PRON VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON VERB SCONJ PROPN ADV AUX VERB DET NOUN PRON PROPN VERB PUNCT ADV SCONJ PRON ADP NOUN AUX ADJ ADP NOUN PUNCT SPACE NOUN NUM ADP NOUN ADP NOUN ADP,0.04648862512363996,0.3983160083160064,163,1011,0.43558282208588955,0.16108444029872315
