tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, de, to, kvinnene, som, fikk, en, litt, lenger, og, tøffere, tur, enn, først, planlagt, ., 
, -, Vi, måtte, sende, ut, letemannskaper, for, også, å, lete, etter, en, far, på, 70, år, ., Han, hadde, også, dratt, på, fisketur, ,, men, da, det, begynte, å, bli, dårlig, vær, dro, han, mot, bilen, ,, og, da, den, var, borte, lette, han, etter, den, ,, sier, operasjonslederen, ., (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), 
, -, Vi, har, fått, inn, en, melding, om, dårlig, føre, på, fjellveiene, ., Enkelte, steder, er, det, ikke, brøytet, ,, eller, veldig, glatt, ., Folk, bør, tenke, seg, om, før, de, drar, ,, sier, operasjonsleder, Astrid, Metlid, hos, politiet, i, Trøndelag, ., 
, Like, etter, klokken, fem, ,, kjørte, en, bil, av, veien, ved, Oppdalsporten, ., 
, -, Meldingene, sier, at, vedkommende, hadde, veldig, lav, fart, ., Vedkommende, ble, sendt, med, ambulanse, til, legesjekk, ,, sier, Metlid]",CCONJ PRON AUX PART ADV DET NUM NOUN PRON VERB DET ADJ ADJ CCONJ ADJ NOUN ADP ADV VERB PUNCT SPACE PUNCT PRON AUX VERB ADP NOUN SCONJ ADV PART VERB ADP DET NOUN ADP NUM NOUN PUNCT PRON AUX ADV VERB ADP NOUN PUNCT CCONJ SCONJ PRON VERB PART VERB ADJ NOUN VERB PRON ADP NOUN PUNCT CCONJ SCONJ PRON AUX ADP VERB PRON ADP PRON PUNCT VERB NOUN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT SPACE PUNCT PRON AUX VERB ADP DET NOUN ADP ADJ VERB ADP NOUN PUNCT ADJ NOUN AUX PRON PART VERB PUNCT CCONJ ADJ ADJ PUNCT NOUN AUX VERB PRON ADP SCONJ PRON VERB PUNCT VERB NOUN PROPN PROPN ADP NOUN ADP PROPN PUNCT SPACE ADV ADP NOUN NUM PUNCT VERB DET NOUN ADP NOUN ADP PROPN PUNCT SPACE PUNCT NOUN VERB SCONJ ADJ VERB ADJ ADJ NOUN PUNCT ADJ AUX VERB ADP NOUN ADP NOUN PUNCT VERB PROPN,0.055970149253731345,0.37162913907284645,185,804,0.4540540540540541,0.173814472621988
"[Det, var, ein, staseleg, bil, Florø, Hornmusikk, kom, til, Florø, med, torsdagskvelden, etter, å, ha, repre, sentert, F.M.K., på, festivalen, i, Ålesund, ., Formannen, i, Florø, Hornmusikk, Ingvar, Solheim, fortel, at, turen, hadde, vore, svært, vellukka, ., Etter, at, alle, hadde, fått, seg, noko, å, ete, etter, framkomsten, til, Ålesund, ,, spela, musikantane, i, gatene, ., 
, på, ., Turen, gjekk, difor, vidare, med, ferje, gjennom, Vartdalsfjorden, der, det, vart, eit, opphald, i, Ørsta, ., Om, kvelden, var, det, konsert, på, Ålesunds, hotell, med, god, tilslut-, *, nad, ., Florø-folket, tok, så, inn, på, hotell, Noreg, ., Etter, ein, ny, god, middag, på, hotellet, var, det, høve, til, å, vere, med, på, midnattskonsert, i, Molde-kyrkja, ., På, heimturen, om, natta, stod, politibil, med, utryknings, ljos, klar, til, musikarane, ,, —, men, turen, gjekk, greitt, ., Ein, personbil, vart, til, og, med, pressa, av, vegen, p.g.a., av, at]",PRON AUX X PROPN NOUN PROPN PROPN VERB ADP PROPN ADP NOUN SCONJ PART VERB ADJ VERB NOUN ADP NOUN ADP PROPN PUNCT NOUN ADP PROPN PROPN PROPN PROPN VERB SCONJ NOUN VERB VERB ADJ NOUN PUNCT SCONJ SCONJ PRON AUX VERB PRON X PART VERB ADP NOUN ADP PROPN PUNCT X PROPN ADP NOUN PUNCT SPACE ADP PUNCT NOUN VERB X PROPN ADP NOUN ADP PROPN SCONJ PRON VERB X X ADP PROPN PUNCT ADP NOUN AUX PRON NOUN ADP PROPN NOUN ADP ADJ NOUN PUNCT X PUNCT NOUN VERB ADV ADP ADP NOUN PROPN PUNCT ADP NOUN ADJ ADJ NOUN ADP NOUN AUX PRON NOUN SCONJ PART VERB ADP ADP NOUN ADP PROPN PUNCT ADP NOUN ADP NOUN VERB NOUN ADP NOUN PROPN ADJ ADP NOUN PUNCT PUNCT CCONJ NOUN VERB ADJ PUNCT X NOUN VERB ADP CCONJ ADP NOUN ADP NOUN ADP SCONJ SCONJ,0.05844980940279543,0.3968563685636848,147,787,0.5306122448979592,0.17221673205788535
"[Det, var, så, herlig, å, se, i, dagens, avis, at, Sissel, Haldorsen, og, jeg, ikke, er, helt, alene, om, å, rea, gere, på, ordførerens, utspill, om, at, det, er, feil, tidspunkt, å, bygge, sykehjemsplasser, på, nå, ., Vi, er, flere, eldre, som, deler, dette, synet, på, samme, måte, som, vi, er, flere, som, ønsker, et, eldreombud, som, kan, ta, våre, interesser, i, vare, ., 
, Jeg, har, ikke, noen, spesiell, me, ning, om, hvor, et, sykehjem, bør, ligge, ,, men, det, at, ordføreren, mener, at, det, er, feil, tidspunkt, ,, er, feil, ., Tromsø, kommune, får, nå, et, økt, antall, eldre, over, 80, år, ., Om, få, år, får, vi, en, sterk, øknin, g, ,, og, om, 10, år, vil, det, bli, behov, for, ca, 150, sykehjemsplasser, ., Det, å, bygge, nå, ,, var, det, beste, ,, og, vi, i, dag, er, i, en, sterk, posisjon, til, å, presse, prisene, ,, -, og, når, syke, hjemmet, en, gang, i, fremtiden, må, utvides, ,, står, det, klart, til, å, bli, gjort, ., La, oss, håpe, alle, at, vi, får, et, stort, og, fint, sykehjem, ,, gjerne, på, Seminartomta, eller, Heracleum, tomta, .]",PRON AUX ADV ADJ PART VERB ADP NOUN NOUN SCONJ PROPN PROPN CCONJ PRON PART AUX ADJ ADV SCONJ PART VERB NOUN ADP NOUN NOUN SCONJ SCONJ PRON VERB ADJ NOUN PART VERB NOUN ADP ADV PUNCT PRON AUX ADJ ADJ PRON VERB PRON NOUN ADP DET NOUN PRON PRON AUX ADJ PRON VERB DET NOUN PRON AUX VERB PRON NOUN ADP NOUN PUNCT SPACE PRON VERB PART DET ADJ X NOUN ADP ADV DET NOUN AUX VERB PUNCT CCONJ PRON SCONJ NOUN VERB SCONJ PRON VERB ADJ NOUN PUNCT AUX ADJ PUNCT PROPN NOUN VERB ADV DET ADJ NOUN ADJ ADP NUM NOUN PUNCT ADP ADJ NOUN VERB PRON DET ADJ NOUN NOUN PUNCT CCONJ ADP NUM NOUN AUX PRON VERB NOUN ADP ADV NUM NOUN PUNCT PRON PART VERB ADV PUNCT AUX DET ADJ PUNCT CCONJ PRON ADP NOUN AUX ADP DET ADJ NOUN SCONJ PART VERB NOUN PUNCT PUNCT CCONJ ADV ADJ NOUN DET NOUN ADP NOUN AUX VERB PUNCT VERB PRON ADJ SCONJ PART AUX VERB PUNCT VERB PRON VERB PRON SCONJ PRON VERB DET ADJ CCONJ ADJ NOUN PUNCT ADV ADP PROPN CCONJ PROPN NOUN PUNCT,0.047729918509895226,0.3900246913580241,191,859,0.6230366492146597,0.25559529153021715
"[Ja, det, var, et, stort, mysterium, ,, for, han, brukte, bestandig, å, sitte, på, vaktposten, oppe, i, gransnaret, ., I, det, siste, hadde, han, sittet, der, stivt, og, alvorlig, som, en, buddhistisk, helge, gen, og, aldri, løsnet, et, skudd, ., Jeg, er, nesten, tilbøyelig, til, å, tro, at, det, er, noe, mystifiserande, og, hemmelig, mellom, ham, og, Guro, ., Men, jeg, forstår, ingen, ting, likevel, ., Hun, hadde, snudd, og, gikk, fort, videre, ., Hun, trengte, å, få, kjølnet, litt, i, sinnet, sitt, etter, den, varme, samtalen, med, Svein, ., På, vollen, ., ved, bua, sått, hun, alene, i, den, vakre, julikvelden, og, hadde, lagt, armene, i, kors, over, den, bare, ., slanke, bringen, ., Det, gikk, som, et, drag, av, angst, og, smerte, over, ansiktet, hennes, ,, og, slik, sått, hun, lenge, ,, og, alt, omkring, henne, var, stille, og, fred, fullt, ., Da, hun, på, ny, hørte, et, skudd, inne, fra, bergflågene, var, det, som, brystet, hennes, skulle, sprenges, ., Hun, visste, ikke, om, hun, skulle, springe, inn, i, bua]",INTJ PRON AUX DET ADJ NOUN PUNCT CCONJ PRON VERB ADJ PART VERB ADP NOUN ADP ADP NOUN PUNCT ADP DET ADJ AUX PRON VERB ADV ADJ CCONJ ADJ ADP DET ADJ VERB NOUN CCONJ ADV VERB DET NOUN PUNCT PRON AUX ADV ADJ SCONJ PART VERB SCONJ PRON VERB DET ADJ CCONJ ADJ ADP PRON CCONJ PROPN PUNCT CCONJ PRON VERB DET NOUN ADV PUNCT PRON AUX VERB CCONJ VERB ADJ ADJ PUNCT PRON VERB PART AUX VERB ADJ ADP NOUN PRON ADP DET ADJ NOUN ADP PROPN PUNCT ADP NOUN PUNCT ADP PROPN VERB PRON ADV ADP DET ADJ NOUN CCONJ AUX VERB NOUN ADP NOUN ADP PRON ADV PUNCT ADJ NOUN PUNCT PRON VERB SCONJ DET NOUN ADP NOUN CCONJ NOUN ADP NOUN PRON PUNCT CCONJ ADV ADJ PRON ADJ PUNCT CCONJ PRON ADP PRON AUX ADJ CCONJ NOUN ADJ PUNCT SCONJ PRON ADP ADJ VERB DET NOUN ADP ADP NOUN AUX PRON ADP NOUN PRON AUX VERB PUNCT PRON VERB PART SCONJ PRON AUX VERB ADP ADP PROPN,0.040380047505938245,0.3662547288776815,172,842,0.6046511627906976,0.18051655059781124
"[Ja, det, er, sandelig, en, lidt, ulige, kamp, de, kæmper, i, USA, ,, hvis, den, da, nogensinde, har, været, lige, .., og, hvordan, skal, de, unge, mennesker, dog, nogensinde, få, indsigt, i, hvordan, verden, hænger, sammen, ,, hvis, de, bliver, tvangsfodret, med, den, gængse, opfattelse, af, den, ?, Det, er, da, klart, ,, at, der, på, mange, områder, må, være, et, helt, skævt, billede, af, ,, hvordan, verden, hænger, sammen, ,, og, hvordan, der, ageres, herude, i, verden, 
, Men, hvad, er, det, dog, som, er, så, galt, med, den, traditionelle, danske, skole, og, børnehave, ?, Er, det, ikke, her, ,, at, der, i, de, seneste, år, er, gennemført, et, opgør, med, lærernes, metodefrihed, ?, Her, lægges, også, et, enormt, pres, i, forhold, til, nationale, test, og, læseprøver, på, alle, klassetrin, ., Hvis, jeg, ikke, tager, meget, fejl, ,, så, er, børnehavebørn, ,, når, de, skifter, institution, eller, skole, ,, også, underlagt, individuelle, tests, ,, og, så, kan, jeg, naturligvis, kun, gisne, om, de, videre, hensigter, med, disse, oplysninger, om, børnenes, udvikling, på, disse, helt, spæde]",INTJ PRON AUX ADJ DET ADJ ADJ NOUN PRON NOUN ADP PROPN PUNCT SCONJ PRON ADV ADJ AUX NOUN ADJ PUNCT CCONJ ADV AUX DET ADJ NOUN ADV ADJ ADJ ADJ SCONJ ADV NOUN VERB ADV PUNCT SCONJ PRON VERB NOUN ADP DET PROPN PROPN ADV PRON PUNCT PRON AUX ADV ADJ PUNCT SCONJ ADV ADP ADJ NOUN AUX AUX DET ADJ ADJ PROPN ADV PUNCT ADV NOUN VERB ADV PUNCT CCONJ ADV ADV NOUN NOUN ADP NOUN SPACE CCONJ NOUN AUX PRON ADV PRON AUX ADV ADJ ADP DET NOUN ADJ NOUN CCONJ NOUN PUNCT AUX PRON PART ADV PUNCT SCONJ ADV ADP DET ADJ NOUN AUX ADJ DET PROPN ADP NOUN PROPN PUNCT ADV VERB ADV DET ADJ VERB ADP NOUN ADP ADJ NOUN CCONJ NOUN ADP DET NOUN PUNCT SCONJ PRON PART VERB ADV NOUN PUNCT ADV AUX NOUN PUNCT SCONJ PRON VERB PROPN CCONJ NOUN PUNCT ADV VERB ADJ NOUN PUNCT CCONJ ADV AUX PRON ADV ADV NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN ADP DET ADJ NOUN,0.04065934065934066,0.3650406504065037,176,910,0.5454545454545454,0.14881228098703528
"[Så, var, det, dags, igen,  , –, Skatans, tankar, 
, Hoppa, till, innehåll, 
, Skatans, tankar, 
, springer, envist, i, sicksack, 
, Primär, meny, 
, Hem, 
, Skatan, själv, 
, Skatans, galleri, 
, StinaFina, 
, Margith, 
, Citat, 
, Så, var, det, dags, igen, 
, Igår, när, Skatan, kom, hem, på, eftermiddagen,  , hade, hennes, hemtelefon, ringt, och, hon, blev, så, förvånad, att, hon, ringde, tillbaka, ., 
, Det, var, "", lillasysters, "", dotter, E, ,, som, bor, i, Oslo, med, sin, Norman, och, parets, två, underbara, döttrar, ., Hennes, yngsta, lillasyster, ochSkatans, yngsta, dotter, har, blivit, moster, till, än, liten, flicka, .,      , Men, då, Skatan, inte, har, så, stor, kontakt, med, sina, döttrar, och, har, inte, haft, det, sen, de, var, ganska, små, och, hon, jobbade, långa, dagar, i, skolans, värld, så]",ADV AUX PRON NOUN NOUN SPACE PUNCT PROPN NOUN SPACE X X X SPACE PROPN NOUN SPACE VERB NOUN ADP NOUN SPACE PROPN NOUN SPACE PROPN SPACE PROPN NOUN SPACE NOUN NOUN SPACE NOUN SPACE PROPN SPACE PROPN SPACE ADV AUX PRON NOUN ADJ SPACE X X PROPN VERB NOUN ADP NOUN SPACE AUX PRON NOUN VERB X X X ADV NOUN X X X X PUNCT SPACE PRON AUX PUNCT NOUN PUNCT NOUN PROPN PUNCT PRON VERB ADP PROPN ADP PRON PROPN X NOUN X X X PUNCT PRON NUM NOUN PROPN NUM NOUN VERB PROPN X X X ADJ NOUN PUNCT SPACE CCONJ X PROPN X VERB ADV ADJ NOUN ADP X X X X X X PRON ADJ PRON AUX NOUN ADJ X X PROPN X PROPN ADP PROPN NOUN ADV,0.06431852986217458,0.3871523178807944,134,653,0.26119402985074625,0.09046349443917051
"[Det, var, som, sagt, en, meget, god, kamp, i, går, ,, og, det, ble, en, stor, tri, umf, for, Sandefjord, med, B—o, ,, uten, at, det, egentlig, sier, så, mye, da, det, ikke, ble, vist, det, spill, Glimt, har, vært, vant, til, å, prestere, på, hjemmebane, ., For, gjestene, spilte, i, går, bare, Egil, Midt, gard, av, de, faste, A-spillerne, ,, ellers, ble, det, for, det, meste, med, junior, spillere, ., Disse, kom, også, bra, fra, kampen, ,, seiv, om, de, nok, ble, over, rumplet, i, åpningen, av, 1., omgang, ., Da, gikk, pasningene, fra, Sandefjord, fint, mann, til, mann, mens, ingen, av, Glimts, spillere, fant, hverandre, i, den, første, perioden, ., 
, Forøvrig, ble, kampen, et, skole, eksempel, på, hvordan, det, hele, kan, bli, lagt, opp, slik, at, det, ikke, skulle, bli, ensidig, trykk, for, det, ene, laget, ., La, oss, nevne, noen, av, de, mest, avgjørende, trekk, for, at, det, ble, så, store, tall, på, Sandfjords, plusside, ., Vi, la, i, særlig, grad, mer, ke, til, Arne, Havnås, ,, men, også, hans, bror, Sverre, Havnås, var, meget, god, ., Arne, på, midtbanen, og, broren, i, centerløper, .]",PRON AUX SCONJ VERB DET ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN PROPN ADP PROPN ADP PROPN PUNCT SCONJ SCONJ PRON ADJ VERB ADV ADJ SCONJ PRON PART AUX VERB DET NOUN PROPN AUX AUX ADJ SCONJ PART VERB ADP NOUN PUNCT CCONJ NOUN VERB ADP NOUN ADV PROPN PROPN NOUN ADP DET ADJ NOUN PUNCT ADV VERB PRON ADP DET ADJ ADP ADJ NOUN PUNCT PRON VERB ADV ADJ ADP NOUN PUNCT VERB SCONJ PRON ADV VERB ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT ADV VERB NOUN ADP PROPN ADJ NOUN ADP NOUN SCONJ DET ADP PROPN NOUN VERB PRON ADP DET ADJ NOUN PUNCT SPACE ADV VERB NOUN DET NOUN NOUN ADP ADV DET ADJ AUX AUX VERB ADP ADV SCONJ PRON PART AUX VERB ADJ NOUN ADP DET NUM NOUN PUNCT VERB PRON VERB DET ADP DET ADJ ADJ NOUN SCONJ SCONJ PRON VERB ADV ADJ NOUN ADP PROPN NOUN PUNCT PRON VERB ADP ADJ NOUN ADJ PROPN ADP PROPN PROPN PUNCT CCONJ ADV PRON NOUN PROPN PROPN AUX ADV ADJ PUNCT PROPN ADP NOUN CCONJ NOUN ADP NOUN PUNCT,0.04746136865342163,0.3789731621936995,189,906,0.6349206349206349,0.1749916122660116
"[Det, er, ikkje, tvil, om, at, når, det, gjeld, jorddyrking, ligg, Sogn, og, Fj, ., langt, tilbake, i, høve, til, fylket, vårt, ,, og, også, samanlikna, med, andre, deler, av, landet, ., Det, blir, år, om, ;, anna, dyrka, mindre, enn, ein, fjerdepart, av, den, nydyrking, som, må, til, om, vi, skal, nå, målet, i, vår, store, jord, bruksplan, ,, seier, fylkeslandsbruks, ., sjef, Sandvik, i, ein, samtale, ., Dette, må, vi, rette, på, ., 
, over, til, meir, dyrking, ,, og, her, spelar, nok, vegane, ei, stor, rolle, ., Vi, har, mange, veglause, gardar, som, ligg, tungvint, ,, og, der, det, trengst, jord, dyrking, om, dei, interesserte, skal, få, forsvarleg, levevilkår, ., Noko, anna, som, har, gjort, at, dyr, king, har, halde, seg, på, eit, lågt, nivå, er, prisane, på, jordane, ,, som, ligg, langt, under, det, dei, er, i, andre, lands, deler, ., Det, er, ikkje, tvil, om, at, pri, sane, på, jord, eigendomane, her, er, det, som, hemmar, utviklinga, på, dette, feltet, ., Men, jorddyrkinga, har, og]",PRON VERB X NOUN SCONJ SCONJ SCONJ PRON NOUN PROPN X PROPN CCONJ PROPN PUNCT ADJ ADP ADP NOUN ADP NOUN PRON PUNCT CCONJ ADV ADJ ADP DET NOUN ADP NOUN PUNCT PRON VERB NOUN ADP PUNCT X ADV ADJ ADP X NOUN ADP DET NOUN PRON VERB ADP SCONJ PRON AUX VERB NOUN ADP PRON ADJ NOUN NOUN PUNCT NOUN NOUN PUNCT NOUN PROPN ADP X NOUN PUNCT PRON AUX PRON VERB ADP PUNCT SPACE ADP ADP PROPN NOUN PUNCT CCONJ ADV VERB ADV X DET ADJ NOUN PUNCT PRON VERB ADJ NOUN NOUN SCONJ VERB ADJ PUNCT CCONJ ADV DET ADJ NOUN NOUN ADP NOUN ADJ AUX VERB NOUN NOUN PUNCT PROPN X PRON AUX VERB SCONJ NOUN NOUN AUX VERB PRON ADP DET ADJ NOUN AUX NOUN ADP PROPN PUNCT PRON VERB ADJ ADP PRON PRON AUX ADP DET NOUN NOUN PUNCT PRON VERB X NOUN SCONJ SCONJ NOUN VERB ADP NOUN PROPN ADV AUX PRON PRON PROPN NOUN ADP DET NOUN PUNCT CCONJ NOUN VERB CCONJ,0.04156479217603912,0.3727698309492867,170,818,0.6058823529411764,0.2627577867444658
"[Kor, mange, prosent, gjekk, Frp, fram, med, i, fylkestingsvalet, i, Telemark, ?, Kva, er, namnet, på, fylkesordføraren, ?, Dette, er, oppgåvene, i, siste, runde, i, telemarksmeisterskapen, i, Kven, Veit, ?, Dette, er, siste, run, de, me, spør, om, slikt, me, kan, når, tida, for, fylkestingsval, går, mot, slutten, ., Dei, tre, siste, spørsmåla, går, på, det, som, skjer, i, Noreg, :, kva, år, vart, Grunn, lova, skriven, ,, og, kven, skreiv, ho, ?, Kva, var, namnet, på, det, første, toget, som, gjekk, i, Noreg, ?, Og, sist, ,, men, ikkje, minst, :, kva, heitte, den, første, statsmi, nisteren, som, er, fødd, i, Noreg, ?, Kupongane, kan, de, senda, til, Kvm, Veit, ,, Norsk, Målungdom, ,, postboks, 4738, Sofien, berg, ,, 0506, Oslo, ., Kupongen, kan, leverast, både, på, nynorsk, og, bokmål, ., Svarfristen, er, fredag, 30., sep, tember, ., I, neste, numnmer, skal, me, seia, om, det, finst, vinnarar, ,, eller, om, me, må, ha, ein, runde]",ADV ADJ NOUN VERB PROPN ADP ADP ADP NOUN ADP PROPN PUNCT X AUX VERB ADP NOUN PUNCT PRON AUX NOUN ADP ADJ NOUN ADP NOUN ADP PROPN PROPN PUNCT PRON AUX ADJ PROPN X X VERB ADP DET X AUX SCONJ NOUN ADP NOUN VERB ADP NOUN PUNCT PROPN NUM ADJ NOUN VERB ADP PRON PRON VERB ADP PROPN PUNCT VERB NOUN VERB PROPN PROPN NOUN PUNCT CCONJ NOUN VERB NOUN PUNCT X AUX VERB ADP DET ADJ NOUN PRON VERB ADP PROPN PUNCT CCONJ ADV PUNCT CCONJ ADV ADJ PUNCT NOUN VERB DET ADJ NOUN NOUN PRON AUX X ADP PROPN PUNCT PROPN AUX PRON VERB ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NOUN NUM PROPN PROPN PUNCT NUM PROPN PUNCT NOUN AUX VERB CCONJ ADP NOUN CCONJ NOUN PUNCT NOUN AUX NOUN ADJ PROPN NOUN PUNCT ADP DET NOUN X X NOUN ADP DET ADJ NOUN PUNCT CCONJ ADP X AUX VERB ADJ NOUN,0.059895833333333336,0.4109040333796933,157,768,0.5732484076433121,0.14938724075603352
"[Det, er, veldig, populært, og, enkelt, å, spise, sushi, i, Oslo, ., Mange, spiser, det, ute, ,, men, liker, også, å, lage, sushi, hjemme, ., Sushi, er, veldig, sunn, mat, som, består, av, rå, fisk, og, grønnsaker, ., Det, er, veldig, godt, og, blir, nå, sett, på, som, norsk, mat, i, Norge, ., For, at, sushi, kan, bli, en, delikatesse, må, fisken, og, risen, være, av, høy, kvalitet, og, alt, skal, smake, godt, ., Her, kan, du, lære, å, lage, sushi, ris, selv, ., Det, første, du, kan, gjøre, er, å, dele, sushi, risen, i, like, porsoner, ., Du, får, to, store, og, to, små, porsjoner, ., Legg, den, små, porsionen, til, side, for, å, lage, eddik, og, risvins, blandingen, ., 
, I, en, liten, bolle, kan, du, ha, den, sushi, risen, som, du, til, side, og, tilsett, halvparten, av, eddik, blandingen, og, risvins, blandingen, og, bland, godt, så, eddik, og, risvins, blandingen, trenger, godt, inn, i, risen, ., For, å, blande, alt, sammen, er, det, en, god, i, å, bruke, en, skje]",PRON AUX ADJ ADJ CCONJ ADJ PART VERB NOUN ADP PROPN PUNCT ADJ VERB PRON ADP PUNCT CCONJ VERB ADV PART VERB NOUN ADP PUNCT PROPN AUX ADJ ADJ NOUN PRON VERB ADP ADJ NOUN CCONJ NOUN PUNCT PRON AUX ADJ ADJ CCONJ AUX ADV VERB ADP SCONJ ADJ NOUN ADP PROPN PUNCT SCONJ SCONJ NOUN AUX VERB DET NOUN AUX NOUN CCONJ NOUN AUX ADP ADJ NOUN CCONJ PRON AUX VERB ADJ PUNCT ADV AUX PRON VERB PART VERB NOUN NOUN ADV PUNCT DET ADJ PRON AUX VERB AUX PART VERB PROPN NOUN ADP ADJ NOUN PUNCT PRON VERB NUM ADJ CCONJ NUM ADJ NOUN PUNCT VERB DET ADJ NOUN ADP NOUN SCONJ PART VERB NOUN CCONJ VERB NOUN PUNCT SPACE ADP DET ADJ NOUN AUX PRON VERB DET NOUN NOUN PRON PRON ADP NOUN CCONJ VERB NOUN ADP NOUN NOUN CCONJ VERB NOUN CCONJ VERB ADJ ADV ADJ CCONJ VERB NOUN VERB ADJ ADP ADP NOUN PUNCT SCONJ PART VERB PRON ADV AUX PRON DET ADJ SCONJ PART VERB DET VERB,0.04648241206030151,0.37408299866131167,173,796,0.5953757225433526,0.17333615835344723
