prompt,generated_text,language
Men det var,"Men det var ikke alt. Like etter var det også duket for en norsk debutant da Ole Selnæs ble byttet inn for Irans Alireza Kabirousia. Selnæs kom inn med det som så ut til å være en strekkskade, og det så ut til at han skulle bli byttet ut like etter. Etter et lite kvarter gikk det imidlertid ikke som forventet, for Selnæs var tilbake på banen med 25 minutter igjen å spille, da sammen med Per Kristian Bråtveit. Bråtveit kom inn da både Haris Tabasi og Ehsan Hajsafi var byttet ut med skade. Da hadde Iran tatt over, og kun fem minutter senere var de en enda større trussel. CSKA hadde nettopp redusert med en scoring av Mehdi Taremi, og da bestemte Norge seg for å vise initiativ i angrep. Fredrik Midtsjø la inn fra venstre, og inne foran mål ventet Anders Trondsen som på lekent vis chippet ballen videre over keeper, og",nno
Det var ein,"Det var ein tung dag for den store folkemusikkveteranen Arne Sølvberg då han i 2002 gav seg som dirigent og musikar for Årdalskoret på grunn av ein sjukdom dei visste lite om. To år etter stod han på scena i Årdal kulturhus med orkesteret sitt og spelte dei gamle slagarane. Sidan har ikkje Arne Sølvberg dirigert Årdalskoret. Men no er det tid for ein musikalsk «comeback» og han er meir enn klar til å dra dei gamle slagarane fram att for ein ny generasjon årdøler og innbygjarar av Årdalstangen som har mista noko av kjærleiken. På sikt kan det verta ein tradisjon på Årdalstangen at eit Årdalskoret held konsertar kvart tredje år, noko Sølvberg er glad for.
- Det er ikkje så lett å dra eit stort kor når du har eit sjukt barn, eller vert eldre sjølv. Me har eit sterkt samarbeidskor som er leia av",nno
Det var så,"Det var så som så med det sosiale den første uken.
- Den sosiale biten var vi nok ikke helt ferdig med da vi reiste fra Norge, så vi brukte mest tid sammen med hverandre og å bli kjent med hverandre, sier Janna. De to klassekompisene har også delt på to rom i tillegg til at de har felles stue og kjøkken. Når de har hatt det litt travelt har de alltid kommet hjem samtidig, forteller Janna.
For på skolen går det unna. Skolens struktur er i grove trekk en fire dagers arbeidsuke med 10 timer daglig undervisning, hvor av åtte består av tradisjonell klasseundervisning, mens to timer benyttes til ekskursjoner, og en time til gruppearbeid eller prosjektarbeid. Denne uken har de undervisning både morgen og ettermiddag, så dagene er lange.
Det er også mange prosjekter som skal gjennomføres i løpet av de fire ukene. Jannas gruppe skal blant annet legge inn et bud på en tomt med tanke på et boligprosjekt, og de skal også skrive en rapport. Andre skal lage en koke",nno
Ja det var,"Ja det var en god idé. Jeg har selv en gang haft et lignende projekt, og har overvejet det igen da jeg har mange sjaler som jeg ikke bruger. Det ville helt sikkert være inspirerende for nogen!
Ja det kunne det faktisk, det er en rigtig god idé. Jeg har selv masser af sjaler, som jeg ikke får brugt og det er så trist 
Ja det er det helt bestemt. Så er det med at være kreativ og overveje hvad de eventuelt kan bruges til. Så kan de komme på en venteliste og så kan de komme til at skabe glæden hos en derude
Ja, helt sikkert. Mange tak for din kommentar. Ja det er et god og godt spørgsmål. For så kan de komme til at glæde andre ❤️
Det er da en dejlig ide, jeg har mange sjaler som jeg slet ikke bruger, det er godt at få ryddet op iblandt sine ting :-)",nno
Ja det er,"Ja det er et år siden, det var dengang, og nu har jeg fundet på noget andet. Jeg har fundet mig en praktikantplads, og det er ikke helt som det var før i tiden, hvor vi bare ringede sammen hver morgen og aftalte hvad vi nu skulle. Nu er det mig der ringer til hende og siger godmorgen, så det er faktisk lidt hyggeligt. Hun kommer for øvrigt fra Århus og hun har vist planer om at flytte dertil indenfor de næste par år. Så det er ret relevant for vores studie, og hun er pjattet med at tegne også. Derudover så har hun også været på højskole, så det passer jo fint ind i hendes liv. Haha... det var lige et sidespring fra hvad bloggen egentlig handler om. Det her indlæg skulle egentlig mest handle om de dersens hårbånd. De er nemlig ikke bare et par elastikker, som man bare sætter i nakken. De er lidt finere og mere fancy, og når jeg så alligevel skal lave noget med hårbånd,",nno
Så var det,"Så var det min tur, å få et innblikk i historien om et av klostrene på Athos. Det var ingen andre turister der enn meg, så jeg fikk gå rundt på egenhånd. Det jeg ble forundret over, var hvor enkelt og fattigslig klosteret var. En liten hytte i stein, med et enkelt tak og steinmur. Jeg ble også forundret over hvor stille det var. Jeg sto og kikket på de store steingardene og klostermurene. Et stort fuglereservat lå i nærheten av klosteret. Ender svømte i vannkanten mens et linerle og en ravn holdt meg med selskap. Klosteret lå i en vakker liten bukt, og det var en fantastisk utsikt over landskapet derfra. Noen fugler, og noen mennesker var det å se. Det var et flott kloster!
Etter besøket vandret jeg litt rundt i landsbyen, og kjøpte souvenirer, før jeg vandret tilbake til bilen igjen. Klosteret lå ikke mer enn 20 minutter med",nno
Det var som,"Det var som om jeg kjente lukta av dem. Da jeg tok oppvasken på jobb, var det ikke noe problem å kjenne lukta av dem. Noen av dem hadde til og med en spesiell parfyme som jeg bare kjente på badet på hotellene.
- Jeg hater dere, sa Tom, og kastet tallerken etter tallerken på gulvet og ned på gulvteppet på restauranten.
- Hater dere, ropte jeg tilbake. Jeg kunne ha ropt mer, men Tom hadde jo en helt annen tone.
- Hater dere? ropte han, og det var som om jeg kjente lukta av ham. Det irriterte meg mer enn den ubehagelige lukta. Av en eller annen grunn var jeg sikker på at Tom skjulte noe. Det var noe som var galt. Når jeg så på Tom så han egentlig ikke direkte skummel ut. Han så ikke ut som en person som kunne ha gjort noe ille mot uskyldige barn. Hva som var galt visste jeg ikke selv. Det eneste jeg visste var at Tom luktet verre enn noen av de andre i",nno
Det er ikkje,"Det er ikkje så lenge sidan den russiske revolusjonen, men det er nokså lenge sidan dei som er unge i dag hugsar den tida – korleis det var og kvifor det fekk så stor ismar og konsekvensar for kvarandre og verda elles. Historikarane våre veit at for ikkje så lenge sidan var det eit brutalt og utrygge regime som fanst. Og det visste vi jo om den gongen, men det var ein del av historia, ikkje eit tema som vi diskuterte for å gjere opprør mot. Sjølv om det har vore hendingar i vår samtid som har vore utrygge har det ikkje vore det for dei som levde under eit brutalt og undertrykkjande regime og opplevde utrygge tider, vi kan ikkje samanlikne det. Likevel er vi på ny midt opp i ein situasjon der demokrati og menneskerettar vert sett på prøve, ein sitat frå statsministeren i dag lyder at dette skal vere ein dugnad der alle skal delta. Dette er eit flott slag",nno
Kor mange prosent,"Kor mange prosent av nordmenn les bokmål og nynorsk i dag? I dag er dette spørsmålet ofte av politisk karakter. Det har vore slik til alle tider. I dag er det dei politiske sidene ved språkdebatten som prega det store ordskiftet om språkpolitikken i Noreg. Denne delen av ordskiftet har vi teke opp i ein serie artiklar, og vi tek no for oss det andre grunnlaget som debattinnlegget byggjer på.
Nynorsk og bokmål er to norske skriftspråk, men som vi har sett, er det svært få nordmenn som i dag lever i nynorskmiljø. Spørsmålet er då kor mange av desse vi kan rekne med i framtida. Det er dette som er grunnlaget for påstanden, om at den norske språkpolitikken ikkje kjem til å vare.
Debattinnlegget har sett eit estimat av «folketalet» av nynorskbrukarar til 2,9 %, men legg til grunn at situasjonen er den same i framtida som han er i dag, utan å vurdere om prosenten faktisk kan vere så låg i framtid",nno
Det er veldig,"Det er veldig mange som sliter med å få dette til å gå opp, og lurer veldig på hvordan det skal gjøres. Det som er viktig å merke seg da er å passe på å inkludere litt av hvert når det gjelder hva du spiser, og at fordelingen av de forskjellige makronutrientene i kostholdet ditt er ganske likt fordelt. Så skal du helst følge retningslinjer sånn som NNR(den offisielle nordiske tallerken-modellen) sine. Det er ikke nødvendigvis bare så enkelt å legge om, så om du ikke kan følge disse fullt ut, så er det viktig å ta vare på både kropp og sjel. Spis fargerikt, sunt og variert. Husk protein er essensielt for å restituere ordentlig, så ta med proteiner i alle hovedmåltidene dine. Og så er det viktig med frukt og grønnsaker for å få i seg vitaminer, mineraler og fiber, og det er det viktig å passe på å få i seg til hvert måltid.",nno
Det er ein,"Det er ein heilt spesiell grunn til at du skal halda deg unna den grøne kaffien. Det er ikkje berre vekttap eller andre godsaker den kan gje. No viser det seg at den berre er farleg å ete.
søndag 22. september 2019 11.26
Denne grøne kaffiboksen er berre å unngå.
No viser det seg at den berre er farleg å ete. Foto: Markus Schreiber/AP/NTB scanpix.
20 prosent av alle som deltok i ei undersøking gjort av amerikanske Harvard-universitetet, åt berre gruta kaffi i ei veke. I veka etter var dei som åt kaffi med mykje grut plutseleg mykje mindre aktive enn andre som åt vanleg kaffi. Dei som åt den grøne kaffien, hadde eit fall på 25 prosent i fysisk aktivitet.
Forskerne bak studien var nysgjerrige på ei mogleg samanheng mellom forbruket av den grøne kaffien og redusert fysisk aktivitet. Forskarane trur at koffein kan påverka nervesystemet i kroppen ved å",nno
Det er eit,"Det er eit stort behov for kompetanse om klima og karbonhandtering i alle delar av norsk arbeidsliv. Regjeringa styrkjer derfor dei frivillige klima- og miljøfaga. Ein nyutvikla plantekurs for ingeniørstudentar, klima og karbonhandteringskurs, og eit nytt kurs om mat og jordfag ved Høgskolen i Innlandet gir ny kunnskap og kompetanseheving om klimaendringar, karbonhandtering og mat til bruk i alle delar av arbeidslivet. Regjeringa foreslår å vidareføre støtta på 5,4 millionar kroner til desse kursa for 2023–24. Kurset i mat og jordfag er utvikla av Noregs miljø- og biovitskapelege universitet på Ås i samarbeid med Innlandet fylkeskommune og fleire bedrifter og støtta med støtte frå fleire regionale utviklingsaktørar.
2022 er FNs internasjonale år for plantar i tråd med FNs berekraftsmål. Regjeringa foreslår å støtte eit nytt plantefagkurs for skogbrukssektorent og jord, som er utvikla i eit samarbeid mellom Norsk landbruksrådgivning Agder,",nno
Det er viktig,"Det er viktig for oss at barna får lære på en måte der de opplever mestring og blir engasjerte. Med vår lange erfaring og kompetanse kan vi bidra til at barna blir motiverte til selv å lære gjennom hele livet.
For barna har det stor verdi å ha en aktiv fritid med jevnaldrende. Gjennom idrett blir de inkludert i felleskapet på tvers av bakgrunn, og barna får oppleve viktigheten av samhold og sunne verdier i et trygt miljø. Vi ønsker å bidra til å skape positive opplevelser for barna, slik at de får lyst til å være aktiv i et nytt miljø.
Våre verdier: LANGSIKTIGHET, RELASJON, AMBISJONER, OG DELTAKELSE
Dette mener vi skaper engasjement for idrett hos barna, og at det blir motiverende å skulle prestere i idrett. For at barna skal kunne være med på idrett der de bor ønsker vi at de har et bredt tilbud på plass. Vår erfaring er at de som oftest blir med av de som ønsker å være med, som har en venn på",nno
Men det er,"Men det er slett ikke sikkert at det var det de som laget de første biblene tenkte. Vi kan faktisk tenke oss at man hadde fått ideen om å lage skrifter lenge før man hadde funnet opp bokstaven “y”. Og at dette var noe som bare tilfeldigvis falt seg lett og naturlig å tenke for noen. Man kan til og med tenke seg at noen laget noen bøker som de kalte “håndskrevet” selv om bokstaven y eksisterte den gangen også, uten å ha vært tatt i bruk av noen andre først. Når man tenker slik, så ser man at vi ikke “hadde gjort noe” – for dette var noe man kunne komme på å tenke. Og likevel er det noe vi aldri har sett. Noen har en forestilling om at vi hadde laget bøker lenge før vi faktisk hadde et alfabet til å skrive de ned på. Og slike forestillinger blir man ikke mindre sikker på av den grunn! Vi kan nemlig ikke vite noe om det i det hele tatt. For det er egentlig umulig for",nno
Han fortel at,"Han fortel at det er ein risiko for å hamne i ein felle at ein ikkje vurderer sin eigen situasjon rett. Den økonomiske krisa gjer at mange vil ha behov for å diskutere og vurdere situasjonen med banken sin på nytt. Sjølv om det ikkje er noko dramatikk i ein slik situasjon, er det viktig å ta omsyn til korleis du bur, kor gammal du er og dei faste utgiftene du har. Om du vil ha mindre lån, kan det vere lurt å snakke med banken på eit tidleg tidspunkt og leggje planar. Så kan du og banken setje dato for når du får det lånet du har behov for.
– Då blir du varsla i god tid, og du har førebudd deg på den økonomiske situasjonen, seier han. Med færre økonomiske middel å bruke, er det lettare å vurdere planane sine og få til den prioriteringa som er nødvendig. Det kan til dømes dreie seg om korleis du vil bruke pengane, om du vil bruke dei på å betale ned på lån, eller om du vil spare. Så",nno
