tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, å, begynne, å, skru, på, det, nyinnkjøpte, kjøkkenet, ., De, måtte, først, sette, opp, en, ny, vegg, ,, før, rørlegger, og, elektriker, kom, i, gang, med, sine, oppdrag, ., Dermed, var, de, uten, kjøkken, i, tre, uker, ., 
, -, Det, føltes, som, en, evighet, ., Det, er, ikke, bare, å, handle, et, vanlig, kjøkken, å, bruke, i, en, måned, ., Det, var, mange, utfordringer, som, måtte, løses, i, samarbeid, med, håndverkerne, ,, forteller, hun, videre, ., 
, For, å, minimere, skadene, valgte, de, å, bygge, en, midlertidig, løsning, i, stuen, mens, kjøkkenet, var, under, produksjon, ., 
, -, Den, midlertidige, løsningen, har, gjort, at, resten, av, oppussingsprosjektet, har, kunnet, gå, sin, gang, ,, forteller, Krøgenes, ., 
, -, Det, har, vært, tidkrevende, å, finne, løsninger, for, å, få, kjøkkenet, på, plass, ., Men, i, løpet, av, prosjektperioden, er, vi, blitt, så, glade, i, kjøkkenet, ,, at, vi, ikke, har, valgt, å, sette, det, på, vent, ,, utdyper, hun, ., Det, har, de, god, grunn, til, å, være, ., I, dag, er, kjøkkenet, akkurat, så, fint, som, det, kan, bli, ., Detaljer, og, farger, harmonerer, perfekt, ,, og, de]",CCONJ PRON AUX PART ADV PART VERB PART VERB ADP DET ADJ NOUN PUNCT PRON AUX ADV VERB ADP DET ADJ NOUN PUNCT SCONJ NOUN CCONJ NOUN VERB ADP NOUN ADP PRON NOUN PUNCT ADV AUX PRON ADP NOUN ADP NUM NOUN PUNCT SPACE PUNCT PRON VERB SCONJ DET NOUN PUNCT PRON AUX PART ADV PART VERB DET ADJ NOUN PART VERB ADP DET NOUN PUNCT PRON VERB ADJ NOUN PRON AUX VERB ADP NOUN ADP NOUN PUNCT VERB PRON ADJ PUNCT SPACE SCONJ PART VERB NOUN VERB PRON PART VERB DET ADJ NOUN ADP NOUN SCONJ NOUN AUX ADP NOUN PUNCT SPACE PUNCT DET ADJ NOUN AUX VERB SCONJ NOUN ADP NOUN AUX AUX VERB PRON NOUN PUNCT VERB PROPN PUNCT SPACE PUNCT PRON AUX AUX ADJ PART VERB NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT CCONJ ADP NOUN ADP NOUN AUX PRON VERB ADV ADJ ADP NOUN PUNCT SCONJ PRON PART AUX VERB PART VERB PRON ADP NOUN PUNCT VERB PRON PUNCT PRON VERB PRON ADJ NOUN SCONJ PART AUX PUNCT ADP NOUN AUX NOUN ADV ADV ADJ PRON PRON AUX VERB PUNCT NOUN CCONJ NOUN VERB ADJ PUNCT CCONJ PRON,0.036170212765957444,0.3920987654320988,194,940,0.6185567010309279,0.30387815217910824
"[Det, var, ein, gong, eit, land, i, eit, vesten, som, var, glad, i, å, krige, ., Dei, hadde, eit, land, som, dei, kalla, Azzurra, ., Dette, landet, hadde, mykje, gull, og, ein, enorm, hær, ,, som, dei, tok, med, seg, til, nye, land, ., Dette, landet, hata, alle, andre, land, i, Azzurra, ,, og, derfor, gjorde, dei, det, vanskeleg, for, dei, andre, landa, å, handle, med, Azzurra, ., Dette, landet, hadde, mange, soldatar, i, hæren, sin, ,, men, dei, greidde, ikkje, å, få, ein, einaste, by, over, på, Azzurra, si, side, utan, hjelp, ., Den, einaste, hjelpa, til, dette, landet, var, eit, sverd, ,, eit, sverd, ,, eit, sverd, ., Dette, sverdet, var, så, verdifullt, at, det, var, verdt, å, miste, alt, i, Azzurra, for, å, få, det, ., Det, har, ikkje, vore, mogleg, å, finne, ut, kven, som, eigde, dette, sverdet, frå, ein, historisk, ståstad, ,, men, i, seinare, tid, blir, det, påstått, at, det, var, knyta, til, ein, by, i, Azzurra, ., Men, etter, at, ei, prinsesse, frå, dette, landet, fekk]",PRON AUX X X X NOUN ADP X PROPN PRON AUX ADJ SCONJ PART VERB PUNCT PRON VERB PRON NOUN PRON X X PROPN PUNCT DET NOUN VERB ADJ NOUN CCONJ X ADJ NOUN PUNCT PRON NOUN VERB ADP PRON ADP ADJ NOUN PUNCT DET NOUN VERB DET DET NOUN ADP PROPN PUNCT CCONJ ADV VERB PRON PRON ADJ ADP NOUN DET NOUN PART VERB ADP PROPN PUNCT DET NOUN VERB ADJ NOUN ADP NOUN PRON PUNCT CCONJ NOUN VERB ADV PART VERB DET X NOUN ADP ADP PROPN VERB NOUN X NOUN PUNCT DET ADJ NOUN ADP DET NOUN AUX PRON NOUN PUNCT PRON NOUN PUNCT PRON NOUN PUNCT DET NOUN AUX ADV ADJ SCONJ PRON AUX ADJ PART VERB PRON ADP PROPN SCONJ PART VERB PRON PUNCT PRON AUX X X PROPN PART VERB ADP NOUN SCONJ ADJ DET NOUN X X ADJ PROPN PUNCT CCONJ ADP PROPN NOUN AUX PRON VERB SCONJ PRON AUX NOUN ADP X NOUN ADP PROPN PUNCT CCONJ SCONJ SCONJ DET NOUN ADV DET NOUN VERB,0.03722084367245657,0.3562219286657861,173,806,0.6473988439306358,0.2540092353481004
"[Det, var, så, utrolig, bra, at, jeg, bare, må, dele, dette, !, Er, det, mulig, å, få, et, kurs, som, handler, om, dette, temaet, ,, og, få, vite, hvor, jeg, kan, henvende, meg, for, å, få, det, innvilget, og, hvor, lang, tid, det, vil, ta, ?, Jeg, mener, bestemt, å, ha, hørt, om, at, det, går, an, å, søke, om, et, «, spesial-liv, », (, utenom, det, vanlige, livet, ), ,, for, personer, med, psykiske, lidelser, og, problemer, ., 
, Hm, .., ja, ,, det, virker, som, en, god, ide, med, enda, mer, informasjon, ,, og, det, skal, ikke, være, noe, problem, å, få, vite, mer, om, det, ,, mener, jeg, ., Sender, en, melding, til, deg, jeg, :), Masse, lykke, til, og, jeg, krysser, fingre, og, tær, for, deg, og, for, at, du, får, det, innvilget, !, <3, 
, Takk, for, oppmuntrende, ord, !, Jeg, ser, på, det, som, en, god, mulighet, til, å, gi, et, større, og, mer, helhetlig, bilde, av, hvordan, livet, som, psykisk, syk, kan, utfolde, seg, ,, slik, at, det, kanskje, vil, gi, en, større, sjanse, for, flere, innvilgelser, av, et, så, unikt, tilbud, ., Dette, kan, være, en, kjemp]",PRON AUX ADV ADJ ADJ SCONJ PRON ADV AUX VERB PRON PUNCT AUX PRON ADJ PART VERB DET NOUN PRON VERB ADP DET NOUN PUNCT CCONJ AUX VERB ADV PRON AUX VERB PRON SCONJ PART VERB PRON VERB CCONJ ADV ADJ NOUN PRON AUX VERB PUNCT PRON VERB VERB PART AUX VERB SCONJ SCONJ PRON VERB ADV PART VERB ADP DET PUNCT NOUN PUNCT PUNCT ADP DET ADJ NOUN PUNCT PUNCT ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT SPACE ADV PUNCT INTJ PUNCT PRON VERB SCONJ DET ADJ NOUN ADP ADV ADJ NOUN PUNCT CCONJ PRON AUX PART AUX DET NOUN PART AUX VERB ADJ ADP PRON PUNCT VERB PRON PUNCT VERB DET NOUN ADP PRON PRON PUNCT ADJ NOUN ADP CCONJ PRON VERB NOUN CCONJ NOUN ADP PRON CCONJ ADP SCONJ PRON VERB PRON VERB PUNCT VERB SPACE NOUN ADP ADJ NOUN PUNCT PRON VERB ADP PRON SCONJ DET ADJ NOUN SCONJ PART VERB DET ADJ CCONJ ADJ ADJ NOUN ADP ADV NOUN ADP ADJ ADJ AUX VERB PRON PUNCT ADV SCONJ PRON ADV AUX VERB DET ADJ NOUN ADP ADJ NOUN ADP DET ADV ADJ NOUN PUNCT PRON AUX AUX DET ADJ,0.05238649592549476,0.3759012345679012,195,859,0.6461538461538462,0.2675636308101385
"[Ja, det, var, virkelig, fint, sagt, du, !, !, Har, du, lagt, planer, for, hva, du, skal, gjøre, videre, ?, Jeg, skal, nemlig, opp, til, deg, en, tur, nå, i, helgen, og, skal, spørre, om, litt, hjelp, og, om, noen, andre, jeg, kjenner, kan, se, på, min, bil, !, De, har, en, bilelektrisk, avdeling, også, de, !, Så, er, veldig, spent, på, om, de, kan, gjøre, noe, ., Må, kjøre, ned, etterpå, !, Men, skal, oppdatere, etter, hvert, da, !, Ha, en, fin, helg, og, ferie, fremover, !, Klem, 
, Hei, !, Har, sendt, deg, en, mail, !, Og, forresten, !, Gratulerer, med, dagen, på, etterskudd, !, Har, sendt, deg, bilde, på, mailen, !, 
, Jeg, har, så, sykt, lyst, på, en, sånn, bil, du, har, ,, med, den, store, motoren, !, !, Håper, virkelig, du, vil, dele, litt, informasjon, om, motor, ,, deler, og, eventuelt, om, noen, andre, over, her, kan, se, på, den, .., Er, jo, så, kjedelig, å, kjøpe, noe, som, blir, ødelagt, etter, et, år, !, Så, jeg, krysser, fingrene, for, at, noen, der, ute, kan, hjelpe, meg, ..]",INTJ PRON AUX ADJ ADJ VERB PRON PUNCT PUNCT AUX PRON VERB NOUN SCONJ PRON PRON AUX VERB ADJ PUNCT PRON AUX ADV ADP ADP PRON DET NOUN ADV ADP NOUN CCONJ AUX VERB ADP ADJ NOUN CCONJ ADP DET DET PRON VERB AUX VERB ADP PRON NOUN PUNCT PRON VERB DET ADJ NOUN ADV PRON PUNCT ADV AUX ADJ ADJ SCONJ SCONJ PRON AUX VERB PRON PUNCT AUX VERB ADP ADV PUNCT CCONJ AUX VERB ADP DET ADV PUNCT VERB DET ADJ NOUN CCONJ NOUN ADP PUNCT ADJ SPACE PROPN PUNCT AUX VERB PRON DET NOUN PUNCT CCONJ ADV PUNCT VERB ADP NOUN ADP NOUN PUNCT AUX VERB PRON NOUN ADP NOUN PUNCT SPACE PRON VERB ADV ADJ NOUN ADP DET DET NOUN PRON VERB PUNCT ADP DET ADJ NOUN PUNCT PUNCT VERB ADJ PRON AUX VERB ADJ NOUN ADP NOUN PUNCT NOUN CCONJ ADJ ADP DET DET ADP ADV AUX VERB ADP DET PUNCT AUX ADV ADV ADJ PART VERB PRON PRON AUX VERB ADP DET NOUN PUNCT CCONJ PRON VERB NOUN SCONJ SCONJ PRON ADV ADP AUX VERB PRON PUNCT,0.04767879548306148,0.38823529411764723,183,797,0.6502732240437158,0.16564981314248936
"[Ja, det, er, mye, man, har, som, man, sjelden, ofrer, en, takk, ., På, facebook, så, er, det, jo, ganske, vanlig, å, skrive, takk, til, folk, for, hyggelige, kommentarer, og, oppmerksomhet, ., Hvorfor, er, det, så, vanskelig, å, takke, for, en, god, kake, eller, en, god, middag, ?, Hva, skjedde, med, takken, for, at, noen, har, laget, det, ?, Og, hvorfor, er, det, så, mye, lettere, å, takke, for, hjelp, eller, tjenester, enn, å, takke, for, maten, eller, selskapet, ?, Hvorfor, er, det, lettere, å, si, takk, for, hjelp, enn, å, si, takk, for, maten, ?, Jeg, synes, det, er, rart, når, man, får, et, kompliment, og, man, umiddelbart, takker, for, det, med, en, klapp, på, skulderen, ., Er, det, en, automatisk, takk, for, å, si, takk, ?, 
, Hvor, lett, er, det, ikke, å, si, takk, til, en, god, venn, eller, kollega, for, å, stille, opp, når, man, er, syk, ., Det, sies, at, takknemlighet, er, den, eneste, som, dufter, like, godt, som, roser, ,, ergo, dufter, det, ikke, godt, uten, takknemlighet, ., 
, I, dag, blir, det, en, liten, oppvask, i, heimen, med, klesvask, og, middag, ., Dette, er, jo, en]",INTJ PRON VERB ADJ PRON VERB PRON PRON ADV VERB DET NOUN PUNCT ADP PROPN ADV AUX PRON ADV ADV ADJ PART VERB NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT ADV AUX PRON ADV ADJ PART VERB ADP DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PRON VERB ADP NOUN SCONJ SCONJ PRON AUX VERB PRON PUNCT CCONJ ADV AUX PRON ADV ADJ ADJ PART VERB ADP NOUN CCONJ NOUN SCONJ PART VERB ADP NOUN CCONJ NOUN PUNCT ADV AUX PRON ADJ PART VERB NOUN ADP NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT PRON VERB PRON AUX ADJ SCONJ PRON VERB DET NOUN CCONJ PRON ADJ VERB ADP PRON ADP DET NOUN ADP NOUN PUNCT AUX PRON DET ADJ NOUN SCONJ PART VERB NOUN PUNCT SPACE ADV ADJ AUX PRON PART PART VERB NOUN ADP DET ADJ NOUN CCONJ NOUN SCONJ PART VERB ADP SCONJ PRON AUX ADJ PUNCT PRON VERB SCONJ NOUN AUX DET NUM PRON VERB ADV ADJ SCONJ VERB PUNCT ADV VERB PRON PART ADJ ADP NOUN PUNCT SPACE ADP NOUN VERB PRON DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX ADV DET,0.03897550111358575,0.3602591283863382,193,898,0.6528497409326425,0.17216297444726794
"[Så, var, det, det, med, den, fysiske, formen, da, ., Om, du, kjenner, at, formen, er, dårlig, og, at, kroppen, kanskje, ikke, er, helt, klar, for, en, fjelltur, er, det, bedre, å, ta, en, rolig, dag, i, slengen, ., Det, er, alltid, best, å, ta, det, rolig, når, du, er, på, treningstur, !, I, tillegg, trenger, du, ikke, å, ta, noen, sjanser, og, risikerer, å, bli, skadet, ., Bruk, samme, forsiktighet, som, om, du, skulle, på, langtur, på, fjellet, ., En, rolig, dag, blir, fort, omgjort, til, tre, dagers, hvile, ,, og, kroppen, trenger, å, restituere, før, du, bygger, deg, opp, igjen, ., Så, om, du, har, planlagt, en, rooolig, dag, i, løypa, ,, gjør, akkurat, det, !, En, rolig, dag, blir, fort, til, tre, dager, ., Rooolig, !, Roooolaaaaa, !, !, Da, er, du, sliten, du, !, !, Sliten, og, trøtt, ,, men, allikevel, synes, du, synd, på, deg, selv, når, du, ligger, på, sofaen, .]",ADV AUX PRON PRON ADP DET ADJ NOUN ADV PUNCT SCONJ PRON VERB SCONJ NOUN AUX ADJ CCONJ SCONJ NOUN ADV PART AUX ADJ ADJ ADP DET NOUN AUX PRON ADJ PART VERB DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV ADJ PART VERB PRON ADJ SCONJ PRON AUX ADP NOUN PUNCT ADP NOUN VERB PRON PART PART VERB DET NOUN CCONJ VERB PART AUX VERB PUNCT VERB DET NOUN SCONJ SCONJ PRON AUX ADP NOUN ADP NOUN PUNCT DET ADJ NOUN AUX ADJ VERB ADP NUM NOUN NOUN PUNCT CCONJ NOUN VERB PART VERB SCONJ PRON VERB PRON ADP ADV PUNCT ADV SCONJ PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT VERB ADV PRON PUNCT DET ADJ NOUN VERB ADJ ADP NUM NOUN PUNCT ADJ PUNCT PROPN PUNCT PUNCT ADV AUX PRON ADJ PRON PUNCT PUNCT ADJ CCONJ ADJ PUNCT CCONJ ADV VERB PRON NOUN ADP PRON DET SCONJ PRON VERB ADP NOUN PUNCT,0.04788732394366197,0.3687140695915287,157,710,0.6114649681528662,0.19700944845252005
"[Det, var, som, om, det, var, skreget, ud, over, hele, stadion, :, "", I, skal, spille, bedre, !, "", 
, Det, skal, ikke, være, svært, at, få, en, øl, på, stadion, i, en, halv, time, og, i, pausen, også, !, Det, skal, kunne, være, med, til, at, skabe, en, god, stemning, for, fodbolden, ,, og, derudover, har, en, øl, det, jo, også, med, at, løfte, stemningen, !, Jeg, kender, det, selv, som, fodboldsupporter, fra, min, tid, som, spiller, ., 
, Der, kan, nogle, gange, være, lidt, problemer, med, ølsalget, i, de, danske, superligastadions, ., Det, er, for, det, meste, ikke, den, helt, store, udfordring, ,, men, det, kan, alligevel, være, ubehageligt, at, gå, til, kampen, og, finde, ud, af, ,, at, man, stadig, ikke, har, en, øl, i, hånden, ., Det, skal, være, et, problem, at, gå, til, kamp, uden, at, få, sin, tørst, slukket, ,, og, der, skal, være, gode, muligheder, for, øl, på, stadionet, ., Det, skal, være, noget, ,, man, ikke, tænker, på, resten, af, tiden, !, Derfor, ønsker, jeg, ,, at, man, som, det, mindste, kunne, få, en, øl, til, pausen, ,, sådan, at, man, har, haft, den, fornøjelse]",PRON AUX ADP SCONJ PRON AUX NOUN PROPN ADP ADJ NOUN PUNCT PUNCT ADP AUX VERB ADJ PUNCT PUNCT SPACE PRON AUX PART AUX ADJ SCONJ VERB DET NOUN ADP NOUN ADP DET ADJ NOUN CCONJ ADP NOUN ADV PUNCT PRON AUX AUX AUX ADP SCONJ SCONJ PRON DET ADJ NOUN ADP NOUN PUNCT CCONJ NOUN VERB DET NOUN PRON ADV ADV SCONJ SCONJ VERB NOUN PUNCT PRON VERB PRON ADV SCONJ NOUN ADP PRON NOUN PRON VERB PUNCT SPACE ADV AUX PROPN NOUN AUX ADJ NOUN ADP NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADP DET ADJ PART DET ADJ ADJ NOUN PUNCT CCONJ PRON AUX NOUN AUX ADJ SCONJ VERB ADP NOUN CCONJ PROPN PROPN X PUNCT SCONJ PRON ADJ PART VERB DET NOUN SCONJ NOUN PUNCT PRON AUX AUX DET NOUN SCONJ VERB ADP NOUN NOUN SCONJ VERB PRON ADJ ADJ PUNCT CCONJ ADV AUX VERB ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADJ PUNCT PRON PART NOUN ADP NOUN NOUN NOUN PUNCT ADV VERB PRON PUNCT SCONJ PRON ADP DET ADJ AUX VERB DET NOUN ADP NOUN PUNCT ADV SCONJ PRON VERB NOUN DET NOUN,0.03728813559322034,0.3972727272727272,193,885,0.6062176165803109,0.22631123716049883
"[Det, er, ikkje, til, å, legge, skjul, på, at, dei, aller, ,, aller, fleste, av, oss, har, høyrt, om, Black, Mirror, ,, ein, serie, med, fleire, timar, lange, scifi-prega, skrekkhistorier, frå, vår, eigne, tid, ., Serien, er, òg, kjent, for, å, ha, blitt, omtalt, som, ein, av, dei, beste, TV-seriane, nokon, sinne, ., Dette, var, mykje, på, grunn, av, den, realistiske, skildringa, den, tar, når, det, kjem, til, teknologi, ,, eit, område, som, både, tek, seg, sjølv, alvorleg, og, gir, eit, kritisk, blikk, på, korleis, det, kan, brukast, ., Serien, prøver, seg, òg, på, ein, ny, vri, som, skal, skilje, seg, litt, frå, sjangeren, ,, nemleg, gjennom, at, dei, ikkje, har, ein, hovudkarakter, ,, men, òg, gjennom, å, ta, for, seg, einskilde, av, dei, mange, teknologiske, nyvinningane, ein, kan, finne, ., Black, Mirror, har, òg, ein, del, av, ein, mørkare, sjarm, som, gjer, at, det, kan, vere, vanskeleg, å, sjå, serien, om, ein, ikkje, har, litt, forkunnskapar, om, det, tekniske, ,, eller, det, økonomiske, ,, ein, tar, for, seg, ., 
, av, R]",PRON AUX ADV SCONJ PART VERB NOUN SCONJ SCONJ PRON ADV PUNCT ADV ADJ ADP PRON AUX VERB ADP PROPN PROPN PUNCT X NOUN ADP X ADV ADJ ADJ NOUN NUM PRON X NOUN PUNCT NOUN AUX ADV ADJ SCONJ PART AUX AUX VERB SCONJ NOUN ADP NOUN ADJ NOUN ADV NOUN PUNCT PRON AUX ADJ ADP NOUN ADP DET ADJ NOUN PRON VERB SCONJ PRON VERB ADP NOUN PUNCT PRON NOUN PRON CCONJ VERB PRON PRON X CCONJ VERB PRON ADJ NOUN ADP NOUN PRON AUX VERB PUNCT NOUN VERB PRON X ADP X ADJ NOUN PRON VERB NOUN PRON ADJ NUM NOUN PUNCT PROPN SCONJ SCONJ X X AUX X NOUN PUNCT CCONJ ADV SCONJ PART VERB ADP PRON NOUN ADP PRON ADJ ADJ NOUN PROPN AUX VERB PUNCT PROPN PROPN VERB DET X NOUN ADP PROPN PROPN NOUN PRON VERB SCONJ PRON AUX VERB ADV PART VERB NOUN ADP X X VERB ADJ NOUN ADP DET ADJ PUNCT CCONJ DET ADJ PUNCT PROPN VERB ADP PRON PUNCT SPACE ADP PROPN,0.04307334109429569,0.3720740740740742,173,859,0.6936416184971098,0.3085417638549464
"[Kor, mange, prosent, trur, elevane, på, Gud, ?, 
, Me, veit, at, elevane, trur, meir, på, Gud, enn, det, dei, trur, på, engler, ., Dette, kjem, av, at, elevane, trur, at, Gud, kan, hjelpe, dei, dersom, dei, har, problem, med, ei, oppgåve, ., Til, dømes, kan, elevane, seie, til, Gud, at, den, raude, delen, av, trekanten, er, rett, ,, og, at, det, dermed, ikkje, er, nødvendig, å, gjere, om, på, problemet, ., Då, kan, Gud, hjelpe, dei, med, problemet, dei, hadde, ., 
, Dersom, me, tek, med, i, reknestykket, kor, mange, prosent, elevane, trur, på, engler, ,, kan, det, derimot, sjå, ut, til, at, elevane, trur, på, litt, fleire, prosent, på, engler, enn, på, Gud, ., Dette, kjem, av, at, elevane, sannsynlegvis, kan, forklare, litt, meir, rundt, englene, og, englenes, rolle, i, Bibelen, ., Dei, har, moglegheit, til, å, seie, «, eg, trur, at, Gud, hjelper, meg, dersom, eg, berre, tenker, på, englene, og, gjer, det, eg, vil, ,, », dersom, dei, trur, på, englene, ., Slik, forklarer, elevane, at, dei, kanskje, kan, ha, litt, fleire, prosent, på, engler, enn, på, Gud, ., 
, Dersom]",ADV ADJ NOUN VERB NOUN ADP PROPN PUNCT SPACE X VERB SCONJ NOUN VERB PROPN ADP PROPN ADP PRON X VERB ADP NOUN PUNCT PRON VERB SCONJ SCONJ NOUN VERB SCONJ PROPN AUX VERB PRON SCONJ NOUN VERB NOUN ADP DET NOUN PUNCT ADP NOUN AUX NOUN X ADP PROPN SCONJ DET ADJ NOUN ADP NOUN AUX ADJ PUNCT CCONJ SCONJ PRON ADV X AUX ADJ PART VERB ADP ADP NOUN PUNCT ADV AUX PROPN VERB NOUN ADP NOUN PRON VERB PUNCT SPACE SCONJ X X ADP ADP NOUN ADV ADJ NOUN NOUN VERB ADP NOUN PUNCT AUX PRON ADV X ADP SCONJ SCONJ NOUN VERB ADP ADJ NOUN NOUN ADP NOUN ADP ADP PROPN PUNCT PRON VERB SCONJ SCONJ NOUN DET AUX VERB ADJ ADJ ADP NOUN CCONJ NOUN NOUN ADP PROPN PUNCT PRON VERB PROPN SCONJ PART VERB PUNCT X VERB SCONJ PROPN VERB PRON SCONJ X X VERB ADP NOUN CCONJ VERB PRON PRON VERB PUNCT PUNCT SCONJ PRON VERB ADP NOUN PUNCT ADV VERB NOUN SCONJ NOUN ADV AUX VERB ADJ NOUN NOUN ADP NOUN ADP ADP PROPN PUNCT SPACE SCONJ,0.042045454545454546,0.3671239470517453,185,880,0.6,0.1659315024901555
"[Det, er, veldig, viktig, at, du, velger, en, av, våre, behandlere, ,, slik, at, vi, kan, gi, deg, riktig, vurdering, av, din, plage, ., Dette, gir, deg, også, en, rettighet, til, refusjon, fra, staten, og, gjør, ventetiden, kortere, for, deg, ., Det, er, viktig, å, vite, at, du, hos, oss, trenger, kun, å, ha, en, legetime, ved, første, besøk, ,, og, vil, kun, være, hos, en, behandler, for, din, plage, ., Dersom, du, vil, prøve, en, ny, behandler, etter, første, besøk, ,, eller, ønsker, å, bytte, behandler, i, mellomtiden, behøver, du, ingen, ny, legetime, ., Du, beholder, din, garanti, etter, ønske, om, behandling, ., 
, Trykk, på, lenken, og, få, en, rask, oversikt, over, viktige, aspekter, ved, en, konsultasjon, hos, oss, ., Har, du, noen, spørsmål, utover, dette, så, ikke, nøl, med, å, ta, kontakt, ., Vi, har, god, kompetanse, innen, allmennmedisin, ,, er, utdannet, ved, Universitetet, i, Oslo, ,, og, har, også, jobbet, ved, Ullevål, universitetssykehus, ., Du, kan, lese, mer, detaljer, om, vår, historie, her, .]",PRON AUX ADJ ADJ SCONJ PRON VERB DET ADP PRON NOUN PUNCT ADV SCONJ PRON AUX VERB PRON ADJ NOUN ADP PRON NOUN PUNCT PRON VERB PRON ADV DET NOUN ADP NOUN ADP NOUN CCONJ VERB NOUN ADJ ADP PRON PUNCT PRON AUX ADJ PART VERB SCONJ PRON ADP PRON VERB ADV PART VERB DET NOUN ADP ADJ NOUN PUNCT CCONJ AUX ADV AUX SCONJ DET NOUN ADP PRON NOUN PUNCT SCONJ PRON AUX VERB DET ADJ NOUN ADP ADJ NOUN PUNCT CCONJ VERB PART VERB VERB ADP NOUN VERB PRON DET ADJ NOUN PUNCT PRON VERB PRON NOUN ADP NOUN ADP NOUN PUNCT SPACE VERB ADP NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP PRON PUNCT VERB PRON DET NOUN ADP PRON ADV PART VERB SCONJ PART VERB NOUN PUNCT PRON VERB ADJ NOUN ADP NOUN PUNCT AUX VERB ADP PROPN ADP PROPN PUNCT CCONJ AUX ADV VERB ADP PROPN NOUN PUNCT PRON AUX VERB ADJ NOUN ADP PRON NOUN ADV PUNCT,0.04014167650531287,0.38000000000000067,168,847,0.6071428571428571,0.2185551380392594
