tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, har, lyst, å, følge, med, på, hvordan, det, har, gått, med, oss, ,, hva, vi, driver, med, og, hva, vi, har, opplevd, med, hensyn, til, det, å, være, adoptert, ?, 
, Nå, ble, jeg, veldig, glad, !, Jeg, tror, ikke, noen, utenfor, familien, visste, hvem, jeg, var, i, Japan, ,, og, at, jeg, ble, adoptert, vekk, ., Det, har, vært, veldig, vanskelig, i, alle, år, å, vite, hvor, jeg, egentlig, kommer, fra, ..., Men, det, er, veldig, givende, å, kunne, gi, dette, et, forsøk, ., Jeg, kan, også, si, at, jeg, har, hatt, en, veldig, fin, oppvekst, selv, om, det, var, vanskelig, ., Det, har, også, vært, veldig, hyggelig, med, tilbakemeldingene, fra, dere, :), 
, Takk, så, mye, igjen, ., Det, er, godt, å, vite, at, dere, synes, det, er, hyggelig, å, vite, mer, om, meg, !, :-), Dere, får, følge, med, på, reisen, videre, ,, og, se, hva, som, skjer, ., Om, det, er, noen, som, er, interessert, i, å, følge, med, på, livet, mitt, ,, er, det, bare, å, ta, kontakt, ., Det, hadde, vært, hyggelig, !]",DET NOUN ADP NOUN PRON VERB NOUN PART VERB ADP SCONJ ADV PRON AUX VERB ADP PRON PUNCT PRON PRON VERB ADP CCONJ PRON PRON AUX VERB ADP NOUN ADP PRON PART AUX VERB PUNCT SPACE ADV VERB PRON ADJ ADJ PUNCT PRON VERB PART DET ADP NOUN VERB PRON PRON AUX ADP PROPN PUNCT CCONJ SCONJ PRON AUX VERB ADP PUNCT PRON AUX AUX ADJ ADJ ADP DET NOUN PART VERB ADV PRON ADJ VERB ADP PUNCT CCONJ PRON AUX ADJ ADJ PART AUX VERB PRON DET NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX VERB DET ADJ ADJ NOUN ADV SCONJ PRON AUX ADJ PUNCT PRON AUX ADV AUX ADJ ADJ ADP NOUN ADP PRON PUNCT SPACE NOUN ADV ADJ ADV PUNCT PRON AUX ADJ PART VERB SCONJ PRON VERB PRON AUX ADJ PART VERB ADJ ADP PRON PUNCT PUNCT PRON VERB NOUN ADP ADP NOUN ADJ PUNCT CCONJ VERB PRON PRON VERB PUNCT SCONJ PRON AUX PRON PRON AUX ADJ SCONJ PART VERB ADP ADP NOUN PRON PUNCT AUX PRON ADV PART VERB NOUN PUNCT PRON AUX AUX ADJ PUNCT,0.047503045066991476,0.38673575129533583,184,821,0.7228260869565217,0.4480555154557606
"[Men, så, banket, jomfru, Hansen, til, fra, høyre, så, det, ramlet, noen, skap, og, andre, ting, ned, på, gulvet, ;, og, da, fikk, katta, øynene, åpne, og, kastet, i, vei, det, beste, den, kunne, ., 
, Tredje, gang, banket, det, igjen, ,, og, da, katten, så, ut, etter, været, ,, fikk, den, øye, på, et, så, velsignet, riktig, pent, lite, hus, ;, tre, støttesøyler, var, det, i, det, ,, og, alting, så, ut, som, det, var, pusset, og, stelt, ., 
, «, Takk, ,, det, samme, skal, mannen, min, ha, ;, og, nå, kommer, han, opp, straks, ., Vil, du, hilse, ham, fra, meg, ,, og, si, at, jeg, står, utenfor, ., Det, er, bedst, ,, du, gaar, inn, og, tar, på, deg, bestetrøia, mi, ;, for, den, passer, nok, best, til, ham, likevel, ., », 
, Jeg, fikk, ikke, vite, navnet, ,, som, skikk, og, bruk, var, ,, men, så, meget, forsto, jeg, at, jeg, fikk, gå, inn, og, hilse, fra, mor, at, hun, var, glad, i, meg, og, bad, ham, om, å, bære, seg, vel, og, lenge, ad, ,, og, lovet, ham, både, lensmann, og, prest, og, hele, øvrigheten, ,, dersom, han, ikke]",CCONJ ADV VERB NOUN PROPN ADP ADP NOUN SCONJ PRON VERB DET NOUN CCONJ DET NOUN ADP ADP NOUN PUNCT CCONJ ADV VERB NOUN NOUN ADJ CCONJ VERB ADP NOUN DET ADJ PRON VERB PUNCT SPACE ADJ NOUN VERB PRON ADV PUNCT CCONJ SCONJ NOUN VERB ADP ADP NOUN PUNCT VERB PRON NOUN ADP DET ADV ADJ ADJ ADJ ADJ NOUN PUNCT NUM NOUN AUX PRON ADP PRON PUNCT CCONJ NOUN VERB ADP PRON PRON AUX VERB CCONJ VERB PUNCT SPACE PUNCT NOUN PUNCT DET DET AUX NOUN PRON NOUN PUNCT CCONJ ADV VERB PRON ADP ADV PUNCT AUX PRON VERB PRON ADP PRON PUNCT CCONJ VERB SCONJ PRON VERB ADP PUNCT PRON AUX PROPN PUNCT PRON VERB ADP CCONJ VERB ADP PRON PROPN PRON PUNCT CCONJ PRON VERB ADV ADJ ADP PRON ADV PUNCT PUNCT SPACE PRON AUX PART VERB NOUN PUNCT ADP NOUN CCONJ NOUN VERB PUNCT CCONJ ADV ADV VERB PRON SCONJ PRON AUX VERB ADP CCONJ VERB ADP NOUN SCONJ PRON AUX ADJ ADP PRON CCONJ VERB PRON SCONJ PART VERB PRON ADV CCONJ ADJ ADP PUNCT CCONJ VERB PRON CCONJ NOUN CCONJ NOUN CCONJ ADJ NOUN PUNCT SCONJ PRON PART,0.04539877300613497,0.38347258485639646,195,815,0.6358974358974359,0.23819847072015923
"[Det, synspunkt, at, miljøskifte, og, skifte, av, skole, er, uheldig, for, barn, ,, var, også, utgangspunktet, for, at, Regjeringen, innså, at, det, var, nødvendig, med, spesielle, ordninger, for, barn, i, barnevernet, ., Regjeringen, fikk, et, utvalg, tilå, analysere, barnevernsinstitusjoner, ,, barnehjem, og, fosterhjem, ., Utvalgets, forslag, var, bl.a, at, det, skulle, opprettes, en, sentral, barnevernsinstitusjon, for, barn, under, 12, år, fra, hele, landet, ., Målet, var, også, å, få, en, felles, administrasjon, av, alle, barnehjem, i, landet, ., Dette, forslaget, ble, vedtatt, av, Stortinget, i, 1970., I, forbindelse, med, gjennomføring, av, disse, tiltak, ble, det, avsatt, ekstraordinære, bevilgninger, til, det, enkelte, fylke, for, utbygging, av, barnehjem, ., Bevilgningen, skulle, benyttes, til, etablering, av, flere, barnehjem, ,, og, til, nybygg, ., Det, ble, også, etablert, støtteordninger, for, driften, ., Et, stort, antall, barnehjem, ble, etablert, ., Det, er, i, dag, ca., 15, barnehjem, av, varierende, størrelse, på, landsbasis, ,, og, i, tillegg, flere, private, hjem, som, eies, og, drives, på, oppdrag, fra, det, offentlige, ., 
, Mange, av, de, barn, det, offentlige, har, plassert, i, barnehjem, ,, har, hatt, svært, traumatiske, oppvekstvilkår]",DET NOUN SCONJ NOUN CCONJ NOUN ADP NOUN AUX ADJ ADP NOUN PUNCT AUX ADV NOUN SCONJ SCONJ PROPN VERB SCONJ PRON AUX ADJ ADP ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN VERB DET NOUN ADJ ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN NOUN AUX ADP SCONJ PRON AUX VERB DET ADJ NOUN ADP NOUN ADP NUM NOUN ADP ADJ NOUN PUNCT NOUN AUX ADV PART VERB DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT DET NOUN AUX VERB ADP PROPN ADP PUNCT ADP NOUN ADP NOUN ADP DET NOUN AUX PRON VERB ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX VERB ADP NOUN ADP ADJ NOUN PUNCT CCONJ ADP NOUN PUNCT PRON AUX ADV VERB NOUN ADP NOUN PUNCT DET ADJ NOUN NOUN AUX VERB PUNCT PRON AUX ADP NOUN ADV NUM NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADP NOUN ADJ ADJ NOUN PRON VERB CCONJ VERB ADP NOUN ADP DET ADJ PUNCT SPACE ADJ ADP DET NOUN DET ADJ AUX VERB ADP NOUN PUNCT AUX VERB ADJ ADJ NOUN,0.03963133640552995,0.3784362934362919,181,1085,0.49171270718232046,0.24279161094061774
"[Nei, sa, Beatrice, Bare, gå, av, sted, ,, hun, er, på, vei, mot, sitt, eget, bryllup, Beatrice, ser, ut, til, å, være, en, fornuftig, jente, ,, så, om, du, ikke, er, forberedt, på, å, gifte, deg, med, ham, ,, bør, du, ikke, g, ..., 
, Denne, romansefortellingen, om, tre, jenter, i, England, i, 1890-årene, vant, prisen, for, beste, romantiske, roman, på, Krimfestivalen, i, 2019., I, Norge, er, det, Gyldendal, som, utgir, historien, ., Det, er, ikke, r, ..., 
, Dette, var, mitt, første, møte, med, Guro, Hoftun, Gjestad, ,, og, det, har, gitt, mersmak, ., Hennes, fjerde, roman, er, nominert, til, Brageprisen, i, klassen, for, skjønnlitteratur, og, hun, skriver, med, et, stort, hjerte, ..., 
, For, noen, uker, siden, ble, jeg, utfordret, av, Aschehoug, til, å, dele, noen, leseopplevelser, ., Det, ble, en, lang, liste, som, jeg, har, spedd, ut, over, noen, dager, ., Min, første, bok, her, er, en, klassiker, fra, tidlig, ..., 
, Påsketid, er, krimtid, ., Her, er, 11, krimbøker, du, kan, lese, i, påsken, ., For, noen, uker, siden, ble, jeg, utfordret, av, Aschehoug]",INTJ VERB PROPN ADV VERB ADP NOUN PUNCT PRON AUX ADP NOUN ADP PRON DET NOUN PROPN VERB ADP SCONJ PART AUX DET ADJ NOUN PUNCT ADV SCONJ PRON PART AUX VERB SCONJ PART VERB PRON ADP PRON PUNCT AUX PRON PART ADV PUNCT SPACE DET NOUN ADP NUM NOUN ADP PROPN ADP NOUN VERB NOUN ADP ADJ ADJ NOUN ADP PROPN ADP PUNCT ADP PROPN AUX PRON PROPN PRON VERB NOUN PUNCT PRON AUX PART NOUN PUNCT SPACE PRON AUX PRON ADJ NOUN ADP PROPN PROPN PROPN PUNCT CCONJ PRON AUX VERB NOUN PUNCT PRON ADJ NOUN AUX VERB ADP PROPN ADP NOUN ADP NOUN CCONJ PRON VERB ADP DET ADJ NOUN PUNCT SPACE ADP DET NOUN ADV AUX PRON VERB ADP PROPN SCONJ PART VERB DET NOUN PUNCT PRON VERB DET ADJ NOUN PRON PRON AUX VERB ADP ADP DET NOUN PUNCT PRON ADJ NOUN ADV AUX DET NOUN ADP ADJ PUNCT SPACE NOUN AUX NOUN PUNCT ADV VERB NUM NOUN PRON AUX VERB ADP NOUN PUNCT ADP DET NOUN ADV AUX PRON VERB ADP PROPN,0.053714285714285714,0.4027845036319611,178,875,0.5898876404494382,0.2657182567811147
"[For, 2, av, elevene, har, ikke, vitnemålet, bestått, i, tilstrekkelig, grad, ., For, én, elev, er, det, ikke, sendt, inn, karakterutskrift, eller, rapport, om, bestått, /, ikke, bestått, til, Utdanningsadministrasjonen, ., 
, For, de, resterende, 3, er, det, ikke, sendt, inn, vitnemål, eller, rapport, om, bestått, /, ikke, bestått, til, Utdanningsadministrasjonen, ., 
, For, alle, de, fire, elevene, har, det, foregått, alvorlige, hendelser, og, utfordringer, underveis, med, disse, elevene, ., Utfordringene, har, vært, av, en, slik, karakter, at, skolen, har, vurdert, omsorgssvikt, og, alvorlige, atferdsvansker, ., Dette, er, forhold, som, er, regulert, i, opplæringsloven, ., I, denne, saken, er, det, også, slik, at, Fylkesmannen, ikke, har, fått, bekreftet, at, det, er, sendt, inn, dokumentasjon, til, Utdanningsadministrasjonen, på, det, som, beskrives, som, omsorgssvikt, ,, alvorlige, atferdsvansker, eller, at, noen, er, sendt, til, omsorgssvikt, ,, eller, at, noen, er, sendt, til, omsorgssvikt, eller, alvorlige, atferdsvansker, ., Det, at, dette, ikke, bekreftes, gir, grunnlag, for, bekymring, rundt, skolens, håndtering, av, bekymringene, omkring, det, at, elever, har, vært, bekymret, .]",ADP NUM ADP NOUN AUX PART NOUN VERB ADP ADJ NOUN PUNCT ADP NUM NOUN AUX PRON PART VERB ADP NOUN CCONJ NOUN ADP NOUN PUNCT PART VERB ADP PROPN PUNCT SPACE ADP DET ADJ NUM AUX PRON PART VERB ADP NOUN CCONJ NOUN ADP NOUN PUNCT PART VERB ADP PROPN PUNCT SPACE ADP DET DET NUM NOUN AUX PRON VERB ADJ NOUN CCONJ NOUN ADP ADP DET NOUN PUNCT NOUN AUX AUX ADP DET DET NOUN SCONJ NOUN AUX VERB NOUN CCONJ ADJ NOUN PUNCT PRON AUX NOUN PRON AUX VERB ADP NOUN PUNCT ADP DET NOUN AUX PRON ADV ADV SCONJ PROPN PART AUX AUX VERB SCONJ PRON AUX VERB ADP NOUN ADP PROPN ADP PRON PRON VERB SCONJ NOUN PUNCT ADJ NOUN CCONJ SCONJ PRON AUX VERB ADP NOUN PUNCT CCONJ SCONJ PRON AUX VERB ADP NOUN CCONJ ADJ NOUN PUNCT PRON SCONJ PRON PART VERB VERB NOUN ADP NOUN ADP NOUN NOUN ADP NOUN ADP PRON SCONJ NOUN AUX AUX ADJ PUNCT,0.0341796875,0.3542358974358975,166,1024,0.572289156626506,0.2512082266589925
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, forsøk, med, nye, avvenningsmetoder, på, gris, ved, Statens, Forskningsstasjoner, i, Sandnes, i, samarbeid, med, Landbruksdepartementet, ., Forsøket, gjennomføres, ved, at, dyrene, blir, pumpet, gjennom, en, ventilert, avvenningstank, uten, å, få, tilgang, til, kraftfôr, etter, naturlig, avvenning, ., I, forsøkene, blir, dyrene, satt, i, en, egen, binge, som, brukes, som, grisehus, utenfor, vanlig, avdeling, ., Etter, et, døgn, fjernes, bingen, med, dyret, og, dyrene, blir, overført, til, en, ny, avdeling, med, kraftfôr, og, grovfôr, ., Kraftfôr, og, grovfôr, gis, daglig, fordelt, på, to, fôringer, ., Etter, forsøket, skal, grisene, være, robuste, ., De, skal, være, trygge, på, mennesker, og, ha, tilvendt, seg, den, nye, formen, for, avvenning, ., Det, er, satt, en, grense, på, 300, forsøksgriser, for, å, få, et, best, mulig, utbytte, ,, og, prosjektet, er, avhengig, av, økonomisk, støtte, ., Dette, er, et, prosjekt, som, har, stor, interesse, innen, næringen, og, som, sannsynligvis, vil, bli, fulgt, med, stor, interesse, av, omverdenen, .]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN NOUN ADP ADJ NOUN ADP NOUN ADP PROPN PROPN ADP PROPN ADP NOUN ADP PROPN PUNCT NOUN VERB SCONJ SCONJ NOUN AUX VERB ADP DET ADJ NOUN SCONJ PART VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT ADP NOUN AUX NOUN VERB ADP DET DET NOUN PRON VERB SCONJ NOUN ADP ADJ NOUN PUNCT ADP DET NOUN VERB NOUN ADP NOUN CCONJ NOUN AUX VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN PUNCT NOUN CCONJ NOUN VERB ADJ VERB ADP NUM NOUN PUNCT ADP NOUN AUX NOUN AUX ADJ PUNCT PRON AUX AUX ADJ ADP NOUN CCONJ AUX VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX VERB DET NOUN ADP NUM NOUN SCONJ PART VERB DET ADJ ADJ NOUN PUNCT CCONJ NOUN AUX ADJ ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON VERB ADJ NOUN ADP NOUN CCONJ PRON ADV AUX AUX VERB ADP ADJ NOUN ADP NOUN PUNCT,0.04487179487179487,0.37307779030439675,162,936,0.5432098765432098,0.2065993647470312
"[Personell, og, organisering, av, sekretariatet, for, Meklingsforslaget, -, LO, i, Trondheim, 
, LO, i, Trondheim, ›, Resolusjoner, ›, Personell, og, organisering, av, sekretariatet, for, Meklingsforslaget, 
, Personell, og, organisering, av, sekretariatet, for, Meklingsforslaget, 
, Representantskapet, i, LO, i, Trondheim, gir, sin, tilslutning, til, et, forslag, fra, representantskapet, i, Fellesorganisasjonen, om, at, LOs, sekretariat, skal, ivareta, sekretariatsfunksjonen, til, meklingsapparatet, når, det, gjelder, privat, og, kommunal, sektor, ., 
, Særlig, med, bakgrunn, i, den, pågående, konflikten, i, sykehussektoren, har, LOs, ledelse, bedt, mekler, i, den, statlige, tariffoppgjøret, om, å, avgi, rapport, om, meklingsresultatets, innretning, i, helse, tariffen, om, hvilke, konsekvenser, meklingsresultatets, forslag, til, nytt, lønnssystem, og, avtale, for, leger, i, spesialisering, har, for, det, øvrige, personalet, ., 
, I, møtet, i, representantskapet, 5., september, ble, det, gitt, tilbakemelding, om, at, mekler, ikke, så, seg, kompetent, til, å, gi, en, slik, vurdering, ., De, mente, det, ikke, ville, være, riktig, å, vurdere, meklingsresultatets, forslag, til, nytt, lønnssystem, opp]",NOUN CCONJ NOUN ADP NOUN ADP PROPN PUNCT PROPN ADP PROPN SPACE PROPN ADP PROPN PUNCT NOUN PUNCT NOUN CCONJ NOUN ADP NOUN ADP PROPN SPACE NOUN CCONJ NOUN ADP NOUN ADP PROPN SPACE NOUN ADP PROPN ADP PROPN VERB PRON NOUN ADP DET NOUN ADP NOUN ADP PROPN SCONJ SCONJ PROPN NOUN AUX VERB NOUN ADP NOUN SCONJ PRON VERB ADJ CCONJ ADJ NOUN PUNCT SPACE ADJ ADP NOUN ADP DET ADJ NOUN ADP NOUN AUX PROPN NOUN VERB NOUN ADP DET ADJ NOUN SCONJ PART VERB NOUN ADP NOUN NOUN ADP NOUN NOUN ADP DET NOUN NOUN NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN ADP NOUN VERB ADP DET ADJ NOUN PUNCT SPACE ADP NOUN ADP NOUN ADJ NOUN AUX PRON VERB NOUN SCONJ SCONJ VERB PART VERB PRON ADJ SCONJ PART VERB DET DET NOUN PUNCT PRON VERB PRON PART AUX AUX ADJ PART VERB NOUN NOUN ADP ADJ NOUN ADP,0.038204393505253106,0.35859719438877485,155,1047,0.4645161290322581,0.1331703876404558
"[De, nevnte, artiklene, i, FN-rapporten, peker, på, de, mange, ulike, årsakene, til, at, fattigdom, oppstår, ., Det, blir, pekt, på, mangel, på, ressurser, og, ulik, tilgang, til, ressurser, (, inntekt, ,, utdanning, ,, helsetilbud, ,, politisk, støtte, ,, juridiske, virkemidler, ,, informasjonssystemer, til, å, følge, lovgivningen, ,, infrastruktur, ,, osv., ), ., Videre, peker, rapporten, på, betydningen, av, ulike, typer, ressurser, som, inntekt, ,, helse, ,, utdanning, ,, informasjon, ,, kapital, ,, naturressurser, ,, osv., for, å, forstå, fattigdom, og, hvilke, tiltak, som, er, nødvendige, for, å, bekjempe, den, ., Disse, faktorene, er, i, ulike, former, ofte, avgjørende, for, fattigdom, ,, samtidig, som, de, også, kan, ha, innvirkning, på, å, bryte, ut, av, fattigdom, ., Det, innebærer, for, eksempel, at, fattigdom, kan, være, et, symptom, på, andre, problemer, ,, slik, som, mangel, på, politisk, representasjon, og, demokrati, ,, manglende, tilgang, til, infrastruktur, ,, mangel, på, helsetilbud, ,, osv., Fattigdom, utgjør, et, problem, også, uavhengig, av, mangel, på, ressurseffektivitet, ., I, motsetning, til, begrepet, om, fattigdom, ,, som, er, begrenset, til, å, forholde, seg, kun, til, inntekt, ,, er, dette, et, begrep, som, inkluderer, faktorer, som, potensielt, sett, kan, bekjempe, fattigdom, for, å, unngå, at, den, oppstår, i, utgangspunkt]",PRON VERB NOUN ADP NOUN VERB ADP DET ADJ ADJ NOUN SCONJ SCONJ NOUN VERB PUNCT PRON AUX VERB ADP NOUN ADP NOUN CCONJ ADJ NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT NOUN SCONJ PART VERB NOUN PUNCT NOUN PUNCT ADV PUNCT PUNCT ADJ VERB NOUN ADP NOUN ADP ADJ NOUN NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADV SCONJ PART VERB NOUN CCONJ DET NOUN PRON AUX ADJ SCONJ PART VERB PRON PUNCT DET NOUN AUX ADP ADJ NOUN ADJ ADJ ADP NOUN PUNCT ADJ PRON PRON ADV AUX VERB NOUN SCONJ PART VERB ADP ADP NOUN PUNCT PRON VERB ADP NOUN SCONJ NOUN AUX AUX DET NOUN ADP DET NOUN PUNCT ADV SCONJ NOUN ADP ADJ NOUN CCONJ NOUN PUNCT ADJ NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT ADV NOUN VERB DET NOUN ADV ADJ ADP NOUN ADP NOUN PUNCT ADP NOUN ADP NOUN ADP NOUN PUNCT PRON AUX ADJ SCONJ PART VERB PRON ADV ADP NOUN PUNCT AUX PRON DET NOUN PRON VERB NOUN PRON ADJ VERB AUX VERB NOUN SCONJ PART VERB SCONJ PRON VERB ADP NOUN,0.030408340573414423,0.3876588021778564,198,1151,0.4494949494949495,0.22932569679656012
"[Bør, minimum, være, 10, av, 100, pasienter, innlagt, på, sykehus, ha, enerom, med, eget, bad, og, toalett, ?, 
, FHI, ønsker, at, minst, 10, av, 100, innbyggere, bør, være, på, enerom, med, eget, bad, og, toalett, for, å, motvirke, antibiotikaresistens, i, sykehus, ., I, utgangspunktet, mener, FHI, at, ingen, skal, måtte, dele, rom, om, de, ikke, ønsker, dette, selv, ., FHI, mener, det, ikke, foreligger, kunnskapsgrunnlag, for, å, lage, nasjonale, anbefalinger, om, fordeling, mellom, enerom, og, vanlige, flermannsrom, ., FHI, skriver, at, det, kan, vurderes, andre, begrensninger, i, bruken, av, flermannsrom, enn, dette, ,, for, eksempel, at, kun, halvparten, av, rommene, kan, brukes, til, flermannsrom, ,, og, at, kun, fem, prosent, av, rommene, skal, være, flermannsrom, ., Per, mars, 2022, er, ingen, land, i, Europa, like, strenge, på, dette, ,, men, det, finnes, eksempler, som, Tyskland, og, Storbritannia, der, noen, sykehus, har, innført, tiltak, i, tillegg, til, å, unngå, kontakthyppighet, på, ti, personer, ., 
, FHI, skriver, at, et, alternativ, til, å, fordele, pasienter, jevnere, på, flermannsrom, ,, kan, være, å, unngå, dobbeltrom, dersom, det, er, mulig, ,, og, at, det, kan, lages, retningslinjer, som, sørger]",AUX NOUN AUX NUM ADP NUM NOUN VERB ADP NOUN VERB NOUN ADP DET NOUN CCONJ NOUN PUNCT SPACE PROPN VERB SCONJ ADJ NUM ADP NUM NOUN AUX AUX ADP NOUN ADP DET NOUN CCONJ NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT ADP NOUN VERB PROPN SCONJ PRON AUX AUX VERB NOUN SCONJ PRON PART VERB PRON ADV PUNCT PROPN VERB PRON PART VERB NOUN SCONJ PART VERB ADJ NOUN ADP NOUN ADP NOUN CCONJ ADJ NOUN PUNCT PROPN VERB SCONJ PRON AUX VERB DET NOUN ADP NOUN ADP NOUN ADP PRON PUNCT ADP NOUN SCONJ ADV NOUN ADP NOUN AUX VERB ADP NOUN PUNCT CCONJ SCONJ ADV NUM NOUN ADP NOUN AUX AUX NOUN PUNCT PROPN NOUN NUM AUX DET NOUN ADP PROPN ADV ADJ ADP PRON PUNCT CCONJ PRON VERB NOUN ADP PROPN CCONJ PROPN SCONJ DET NOUN AUX VERB NOUN ADP NOUN SCONJ PART VERB NOUN ADP NUM NOUN PUNCT SPACE PROPN VERB SCONJ DET NOUN SCONJ PART VERB NOUN ADJ ADP NOUN PUNCT AUX AUX PART VERB NOUN SCONJ PRON AUX ADJ PUNCT CCONJ SCONJ PRON AUX VERB NOUN PRON VERB,0.03861003861003861,0.3725025329280642,186,1036,0.532258064516129,0.24892954906431006
"[Artikkel, 3, tar, opp, Kommisjonens, oppgave, med, å, skape, dialog, mellom, de, ulike, aktørene, med, henblikk, på, å, gjøre, det, lettere, å, treffe, valg, mellom, alternativer, ., Denne, artikkelen, gir, uttrykk, for, en, oppfordring, til, medlemsstatene, og, til, de, ulike, aktørene, om, å, medvirke, til, gjensidig, tillit, og, å, bidra, til, en, slik, dialog, innen, deres, respektive, områder, ., 
, I, artikkel, 3, nr, 2, er, det, nedfelt, en, oppfordring, med, henblikk, på, åpenhet, om, resultater, og, erfaringer, av, Fellesskapets, tiltak, og, regelverk, ., Ved, denne, oppfordring, oppfordres, også, Kommisjonens, generaldirektorater, til, å, sikre, at, informasjon, om, resultater, ,, erfaringer, og, evalueringer, sendes, til, medlemsstatene, ,, og, oppfordret, til, at, en, slik, oppgave, utføres, gjennom, bruk, av, hensiktsmessige, kommunikasjonskanaler, ., I, artikkel, 3, nr, 3, oppfordres, medlemsstatene, til, å, samarbeide, med, Kommisjonen, og, å, bistå, med, gjensidig, tillit, mellom, de, øvrige, aktørene, ved, å, bidra, til, gjensidig, informasjonsutveksling, ., Dette, innebærer, at, medlemsstatene, skal, tilby, Kommisjonen, de, ressurser, som, er, nødvendige, for, å, ivareta, ovennevnte, forpliktelser, ,, herunder, statistiske, data, om, deres, respektive]",PROPN NUM VERB ADP PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ NOUN ADP NOUN SCONJ PART VERB PRON ADJ PART VERB NOUN ADP NOUN PUNCT DET NOUN VERB NOUN ADP DET NOUN ADP NOUN CCONJ ADP DET ADJ NOUN SCONJ PART VERB ADP ADJ NOUN CCONJ PART VERB ADP DET DET NOUN ADP PRON ADJ NOUN PUNCT SPACE ADP NOUN NUM NOUN NUM AUX PRON VERB DET NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN NOUN CCONJ NOUN PUNCT ADP DET NOUN VERB ADV PROPN NOUN SCONJ PART VERB SCONJ NOUN ADP NOUN PUNCT NOUN CCONJ NOUN VERB ADP NOUN PUNCT CCONJ VERB SCONJ SCONJ DET DET NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT ADP NOUN NUM NOUN NUM VERB NOUN SCONJ PART VERB ADP PROPN CCONJ PART VERB ADP ADJ NOUN ADP DET ADJ NOUN SCONJ PART VERB ADP ADJ NOUN PUNCT PRON VERB SCONJ NOUN AUX VERB PROPN DET NOUN PRON AUX ADJ SCONJ PART VERB ADJ NOUN PUNCT ADV ADJ NOUN ADP PRON ADJ,0.032520325203252036,0.3612287334593563,173,1107,0.4682080924855491,0.21918372273351544
