prompt,generated_text,language
Men det var,"Men det var ikke lett å få øye på andre enn vinneren i den trange, glatte løypa med krappelé i terrengpartier og mange bratte utforkjøringer.
Alsgaard sa at det ikke var godt nok å være en bra terrengsyklist som er god teknisk.
– Det var en løype vi ikke var godt nok forberedt på, sa han etter å ha blitt knust av unge syklister som hevdet seg i de fleste ritt.
Men han var glad for å ha fått oppleve stemningen med det enorme publikumsinnrykket langs traseen – og han så hvor glade barna var fordi han gjorde det så bra. Det er viktig og motiverende. (©NTB) (©NTB) (©NTB) (©NTB) (©NTB) (©NTB) (©NTB) (©NTB) (©NTB) (©NTB) (©NTB)",nno
Det var ein,"Det var ein av dei fremste mennene i Noreg under den engelske borgarkrigen; farbroren til Jakob 1 og onkelen og svogeren til Georg I av Storbritannia.
Swift skreiv meir enn eitt hundre humoristiske og satiriske, men også filosofiske og verdshistoriske essay. Desse kan delast inn i tre grupper. To essay handlar om reiser og om ulike land. Ei gruppe dreier seg om ulike slag vitsar, anten dei er morosame eller ikkje. Hovudsaka i mange av essaya er å syna kor merkeleg det engelske samfunnet var. Dei fleste av desse tek for seg engelske forhold som maktmisbruk, fattigdom, korrupsjon, lovløyse og anna. Den siste gruppa inneheld nokre få moralfilosofiske essay. Desse tek opp emne som synd og dygd og spørsmål som korleis ein skal leva godt som eit enkelt menneske. Om verda er ein stad det er vanskeleg å nå fram til, eller om ein tvert imot kan nå",nno
Det var så,"Det var så som så med det da den nyvalgte presidenten, Barack Obama, holdt sin første pressekonferanse som president. Men han fikk svar på tiltale fra en av dem som har sett presidenten i aksjon som president, senator Edward Kennedy.
Obama hadde nemlig ingen problemer med å svare på pressens spørsmål da han ble møtt av et samlet pressekorps i plenumssalen i det hvite hus i ettermiddag norsk tid.
J.F. Kennedy gikk til felts mot amerikansk våpenlovgivning da han i fjor ga sin støtte til McCain og demokratene med følgende kraftsats: «Ingen som eier gevær har rett til å bære et gevær.»
På pressekonferansen stilte også Barack Obama spørsmål om senator Kennedys kritikk av USAs militære engasjement i Irak.
- Svaret på Senat-medlemmet Kennedys kritikk er veldig enkelt, sa Barack Obama.
- Senator Kennedy ønsker at USA igjen skal engasjere seg militært i Irak. Det er ingenting å tenke på for presidenten.
O",nno
Ja det var,"Ja det var en god idé. Jeg har selv en gang haft et lignende projekt, og har overvejet det igen - også med at finde mine egne billeder, men med mindre ""støj"" på billedet, det er en stor fordel. Det er altid en god oplevelse at blive forundret/beundret, og jo da også når man bliver direkte irriteret ..og det bliver man indimellem. Men jeg må indrømme at jeg er mere til de flotte billeder end dem med ""almindelige"" mennesker. Gør man det rigtigt, bliver det også en fryd for øjet at se på.
Det går desværre ikke super med at følge op på alle de hilsner jeg gerne ville tage imod. Men jeg kan fortælle at det med at fotografere er jeg jo gået all in på, også selvom jeg kun ligger på langs i længere perioder. Jeg har i forvejen et par gamle billeder jeg har tænkt mig at lave om til en plakat, men jeg er usikker på hvordan jeg gør det",nno
Ja det er,"Ja det er et år siden, det var dengang, og nu har jeg fundet på noget andet. Jeg har fundet mig en praktikantplads, og det er ikke helt som det var før i tiden, hvor vi i den grad var en stor familie, og vi arbejdede alle sammen. Det er jo nok den mest naturlige afdeling, jeg nogensinde kommer ned på, men jeg synes nu stadig det er ret mærkeligt.
Jeg har nu været der en uge og det går godt. For det første er det ikke så hårdt at skulle tidligt op, og for det andet er det ret sjovt. Alle sammen er søde, og jeg kender dem jo alle sammen. Det hjælper en del, men det er nu lidt svært at være i praktik i dag, og det har betydet, at jeg har tilbragt min dag med at lave absolut ingenting. For det er jo sådan jeg har nemmest ved at lære noget, men sådan er det jo bare ikke. Nu er jeg dog stået op og skal ud og besøge nogle kunder og gøre rent. Ligger lige nu i min seng",nno
Så var det,"Så var det min tur, å få et innblikk i historien om et av klostrene på Athos. Det var ingen påmeldingsliste når vi kom, så vi fikk gå fritt rundt å se på alt en ønsker. Og her skulle vi bruke minst to timer! Det gikk jo ikke! Klosterets historie er fantastisk, og klosteret med klostergangene var utrolig spesielt. Det måtte oppleves! Så jeg er glad ingen på forhånd hadde nevnt det for meg!
Jeg måtte jo stille meg i køen for å komme inn i klosteret.
Jeg er ikke sikker på hvor de tok bildet med oss, for jeg trodde at det var meg de tok bilde av - men det var det altså ikke. Jaja, det var kanskje litt dårlig av meg å ikke vite hva vi skal ta bilde av, da... ;)
Etter å ha sett på klostergangene gikk vi inn i den lille kirken der, for vi ble invitert inn i den etter vi hadde sett på den utenfra.
Så måtte vi forlate klosteret, for vi skulle møtes",nno
Det var som,"Det var som om jeg kjente en sterk duft – en slags aroma som jeg aldri har kjent maken. Det var et eller annet magisk med den. En slags søtlig eukalyptus-aroma som nesten tvang på meg en slurk vann. Jeg drakk mye vann, men hadde fortsatt vanskelig for å tro at dette var sant. Da jeg kom hjem og satte fra meg koppen, kjente jeg at teen ikke smakte noe.
– Å, nei  Du har drukket noe som ikke smaker noe som helst 
– Du  ehm, jeg kjente en rar lukt fra vannkranen ...
Helene dro genseren tett over hodet. Varmen fra genseren mot kinnet føltes vidunderlig, som å være midt i en varm dusj, og hun kjente på det hun hadde gjort da hun sto opp.
– Har jeg noe mat til deg? spurte jeg mens jeg pakket klærne hennes inn i skapet. Da innså Helene at klærne hennes lå sammenkrøllet i en ball på",nno
Det er ikkje,"Det er ikkje så lenge sidan den russiske revolusjonen, men det er svært mykje som har endra seg dei siste 70 åra. Etter den sosialistiske Oktoberrevolusjonen i 1917 har Moskva styrt Noreg og andre sosialistiske land i ein særeigen retning. Det er ikkje mange i Noreg i dag som veit kven vi kallar dei russiske leiarane, vi les om dei og høyrer om dei til tider med vel mykje patos, mens vi har gløymt Russlands eigne innbyggjarar. Kven var dei? Kven var leiarane? Kven grunnla dei sosialistiske statane dei styrte?
I dagens Russland blir desse leiarane i stor grad rekna som store personlegdomar. Dei er respekterte for innsatsen deira, ikkje for det dei seier og gjer i praksis. Det er det viktig å hugse. Det er dette vi skal sjå på i denne essaysamlinga, der fokuset er på dei to store leiarane frå revolusjonen i 1917, Stalin og Len",nno
Kor mange prosent,"Kor mange prosent av oss som får kreft, får ikkje behandling, fordi systemet er så treigt?
Det går ikkje fort nok, fordi politikarar og byråkratar blir for opptekne av alle moglegheitene som finst, til at kreftlegane har tid til å behandle deg.
Ifølgje Kreftforeningen døyr rundt 3400 menneske av kreft kvart år.
Det er litt meir enn i trafikken.
Det finst i dag kreftleger, onkologar, som kan behandle over 40 ulike former for kreft. I tillegg finst det ulike behandlingar for fleire av dei ulike kreftformene. Men systemet er ikkje godt nok.
Det viser kor viktig det er at politikarar og byråkratar prioriterer i helse­­­­­­­norge. Så langt har ingen kreftlege fått ei årleg lønn på meir enn ein million. Då hjelper det ikkje å ha 40 ulike behandlingsformer.
Det må finnast ei løysing på kor mange prosent som får kreft som ikkje får behandling. For kreftlegen er opptatt av korleis det går med kreftpas",nno
Det er veldig,"Det er veldig mange som sliter med å få dette til å gå opp, og for veldig mange går det ikke opp i det hele tatt - for ikke å snakke om å gjøre det riktig. Her har jeg og mannen min en liten utfordring - for han vil at vi skal spise middag sammen, mens jeg vil gjøre det. Jeg vil ha all maten i fred, mens han vil helst ha selskap mens han spiser. Jeg kan jo ikke servere han kald middag, ikke engang en yoghurt med havregryn kan jeg gi. Jeg kan ikke bli sint, for jeg vet ikke om han da vil sitte der uten mat resten av dagen - til og med om han får i seg noe er det jo ikke bra - og dessuten er det også viktig med nok hvile. Det er ikke akkurat mye tid vi har til rådighet nå etter at vi har blitt foreldre, så vi kan jo ikke gjøre som alle andre - det er viktigere å være trøtte og slitne enn å få seg mat etter en lang dag. Det hender jeg er flink og serverer ham",nno
