tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikkje, før, dei, høyrde, om, «, Lokkarstugu, », det, vakna, interesse, frå, garden, på, Nord-Steinset, ., 
, –, Det, var, ein, gammal, mann, frå, Dovre, som, ringde, oss, ein, dag, ,, og, fortalde, om, ei, løysteinbu, som, sto, attmed, elva, på, Mjøssundet, ., Øverst, i, dalføret, mot, Ljoshaugen, (, Gruvli, ), var, han, godt, kjend, ., Han, visste, at, det, skulle, vere, ei, slik, steinbu, på, vestsida, av, elva, ., Løysteinsbu, har, eg, ikkje, høyrt, om, før, ,, seier, Anne, ,, som, meiner, det, må, vera, eit, bra, ord, for, bu, med, steinvegger, .]",CCONJ PRON VERB ADV SCONJ PROPN X ADP PUNCT PROPN PUNCT DET X NOUN X NOUN ADP PROPN PUNCT SPACE PUNCT PRON AUX X X NOUN X PROPN SCONJ VERB PRON ADJ NOUN PUNCT CCONJ NOUN ADP DET NOUN PRON VERB PROPN NOUN ADP PROPN PUNCT ADJ ADP NOUN ADP PROPN PUNCT PROPN PUNCT AUX PRON ADJ NOUN PUNCT PRON VERB SCONJ PRON AUX VERB DET DET NOUN ADP NOUN ADP NOUN PUNCT NOUN VERB PRON X ADJ ADP ADP PUNCT NOUN PROPN PUNCT PRON VERB PRON AUX X PRON ADJ NOUN ADP NOUN ADP NOUN PUNCT,0.09090909090909091,0.411186440677966,97,462,0.5567010309278351,0.17223330664310701
"[Det, var, ein, stolt, ordførar, Ragnhild, Aarflot, Kalland, som, tok, føre, seg, hola, i, åpningstalen, sin, ., Ordføraren, gav, ros, til, dei, som, fekk, til, utbygginga, og, rosa, det, gode, samarbeidet, mellom, offentleg, sektor, og, privat, næringsliv, for, å, etablere, badelandet, ., 
, På, ein, storskjerm, såg, alle, gjestene, det, nye, badelandet, bli, opna, av, ei, stålfuru, ., I, eitt, år, har, 20, arbeidarar, bygd, ei, mengde, røyr, og, leidningar, ned, i, bakken, ., Vidare, kunne, vi, sjå, at, taket, på, vassrøyra, kvilte, på, 1, 569, ferdigstøypte, tverrbjelkar, av, gl]",PRON AUX ADJ X X PROPN PROPN PROPN PRON VERB VERB PRON NOUN ADP NOUN PRON PUNCT NOUN VERB NOUN ADP PRON PRON VERB ADP NOUN CCONJ ADJ DET ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN SCONJ PART VERB NOUN PUNCT SPACE ADP ADJ NOUN VERB DET NOUN DET ADJ NOUN AUX VERB ADP DET ADJ PUNCT ADP NUM NOUN VERB NUM NOUN VERB DET NOUN PROPN CCONJ ADV ADP ADP NOUN PUNCT PROPN AUX PRON VERB SCONJ NOUN ADP PROPN VERB ADP NUM NUM ADJ NOUN ADP X,0.08333333333333333,0.3845598194130935,90,492,0.5,0.12257856713006712
"[Det, var, så, det, !, |, Lasses, hjemmeside, 
, Gå, direkte, til, hovedinnholdet, 
, Lasses, hjemmeside, 
, Nå, enda, nyere, og, mer, forbedret, !, 
, Søk, 
, Hovedmeny, 
, Hjem, 
, Matsiden, 
, Innleggsnavigasjon, 
, ←, Forrige, Neste, →, 
, Det, var, så, det, !, 
, Publisert, 30., mars, 2007, av, Lasse, G., Dahl, 
, Så, sitter, jeg, her, med, min, nye, PC, i, hendene, ,, endelig, etter, ca., en, måneds, venting, ., Det, meste, er, stort, sett, nytt, ,, men, prosessor, ,, minne, og, harddisk, fra, den, gamle, fulgte, med, ,, og, det, setter, jeg, veldig, stor, pris, på, ., Det, har, vært, en, glede, å, reinstallere, det, aller, meste, på, en, maskin, som]",PRON AUX ADV PRON PUNCT NOUN PROPN NOUN SPACE VERB ADJ ADP NOUN SPACE PROPN NOUN SPACE ADV ADV ADJ CCONJ ADJ ADJ PUNCT SPACE VERB SPACE NOUN SPACE ADP SPACE NOUN SPACE PROPN SPACE PUNCT DET DET PUNCT SPACE PRON AUX ADV PRON PUNCT SPACE VERB ADJ NOUN NUM ADP PROPN PROPN PROPN SPACE ADV VERB PRON ADV ADP PRON ADJ NOUN ADP NOUN PUNCT ADJ ADP ADV DET ADJ NOUN PUNCT DET ADJ AUX ADJ VERB ADJ PUNCT CCONJ NOUN PUNCT VERB CCONJ NOUN ADP DET ADJ VERB ADP PUNCT CCONJ PRON VERB PRON ADJ ADJ NOUN ADP PUNCT PRON AUX VERB DET NOUN PART VERB DET ADV ADJ ADP DET NOUN PRON,0.09302325581395349,0.40715203426124413,115,516,0.48695652173913045,0.16323072092515695
"[Ja, det, var, fint, sagt, av, henne, ., Og, nå, lurer, jeg, på, ;, er, det, bare, barn, og, unge, som, får, slike, stjerner, i, øynene, når, en, sier, god, natt, til, dem, ?, For, jeg, tror, at, hvis, jeg, tok, runden, gjennom, natta, med, en, stjernekikkert, ,, kunne, jeg, finne, dem, ,, ikke, hos, barnebarna, ,, men, hos, andre, voksne, jeg, møter, ., Øynene, som, åpnes, og, ser, alt, en, ikke, kan, nå, ,, alt, en, ikke, kan, se, ,, men, det, gir, mening, allikevel, ., 
, Og, kveldsstjerna, gjør, jobben, sin, ., Den, lyser, hver, natt, og, bærer, tålmodighet, ., Men, den, ser, ikke, alle, de, tusen, stjernene, på, himmelen, ,, ser, ikke, alle, skjebner, og, prøvel]",INTJ PRON AUX ADJ VERB ADP PRON PUNCT CCONJ ADV VERB PRON ADP PUNCT AUX PRON ADV NOUN CCONJ ADJ PRON VERB DET NOUN ADP NOUN SCONJ PRON VERB ADJ NOUN ADP PRON PUNCT CCONJ PRON VERB SCONJ SCONJ PRON VERB NOUN ADP NOUN ADP DET NOUN PUNCT AUX PRON VERB PRON PUNCT PART ADP NOUN PUNCT CCONJ ADP DET ADJ PRON VERB PUNCT NOUN PRON VERB CCONJ VERB PRON PRON PART AUX ADV PUNCT PRON PRON PART AUX VERB PUNCT CCONJ PRON VERB NOUN ADV PUNCT SPACE CCONJ NOUN VERB NOUN PRON PUNCT PRON VERB DET NOUN CCONJ VERB NOUN PUNCT CCONJ PRON VERB PART DET DET NOUN NOUN ADP NOUN PUNCT VERB PART DET NOUN CCONJ NOUN,0.066543438077634,0.37569105691056903,119,541,0.6302521008403361,0.17878457689911517
"[Ja, det, er, flott, ute, nå, ,, men, ikke, nok, til, å, gå, til, fjells, uten, å, klatre, ., Her, ble, det, bare, til, en, liten, tur, oppover, dalen, ,, men, det, holdt, ., 11, plussgrader, viser, måleren, her, ,, og, flere, svaler, har, vist, seg, ., Så, fort, de, ser, meg, så, forsvinner, de, under, låvebrua, ., Ønsker, dere, en, fin, 1.mai, ,, med, eller, uten, flagg, :-), ﻿, ﻿﻿, 
, Svalene, har, kommet, ,, og, de, holder, seg, i, nærheten, av, bebyggelsen, i, håp, om, at, de, kan, få, seg, litt, mat, ., 
, Det, nærmer, seg, første, mai, og, en, fridag, på, oss, som, jobber, i, skoleverket, ., Mange, gleder, seg, for, nå, kan, det, bli, fine, dager, i, hagene, ., Så]",INTJ PRON AUX ADJ ADP ADV PUNCT CCONJ PART ADV SCONJ PART VERB ADP NOUN SCONJ PART VERB PUNCT ADV VERB PRON ADV ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB PUNCT NUM NOUN VERB NOUN ADV PUNCT CCONJ ADJ NOUN AUX VERB PRON PUNCT ADV ADJ PRON VERB PRON ADV VERB PRON ADP NOUN PUNCT VERB PRON DET ADJ NOUN PUNCT ADP CCONJ ADP NOUN PUNCT DET ADV SPACE NOUN AUX VERB PUNCT CCONJ PRON VERB PRON ADP NOUN ADP NOUN ADP NOUN SCONJ SCONJ PRON AUX VERB PRON ADJ NOUN PUNCT SPACE PRON VERB PRON ADJ NOUN CCONJ DET NOUN ADP PRON PRON VERB ADP NOUN PUNCT ADJ VERB PRON ADP ADV AUX PRON VERB ADJ NOUN ADP NOUN PUNCT ADV,0.0724907063197026,0.39186094069529653,125,538,0.616,0.20667237747866005
"[Så, var, det, de, evinnelige, pengene, ., Trioen, har, et, budsjett, på, 35, millioner, kroner, over, to, år, ,, men, hadde, egentlig, håpet, på, et, større, budsjett, fra, departementet, ., 
, -, NFI, hadde, tro, på, serien, og, ga, i, utgangspunktet, tilsagn, om, støtte, ,, men, så, gikk, norsk, filmbyråkrati, inn, og, ville, halvere, støtten, vi, hadde, fått, tilsagn, om, ., Det, var, en, helt, idiotisk, avgjørelse, ., For, eksempel, har, det, ført, til, at, det, er, vanskeligere, å, gå, inn, i, opptak, i, år, ,, ettersom, vi, ligger, nærmest, 25, prosent, under, planlagt, budsjett, ,, sier, Tangen, ., 
, -, Hva, betyr, det, for, serien, om, dere, ikke, får, mer]",ADV AUX PRON DET ADJ NOUN PUNCT NOUN VERB DET NOUN ADP NUM NOUN NOUN ADP NUM NOUN PUNCT CCONJ AUX ADJ VERB ADP DET ADJ NOUN ADP NOUN PUNCT SPACE PUNCT PROPN VERB NOUN ADP NOUN CCONJ VERB ADP NOUN NOUN ADP NOUN PUNCT CCONJ ADV VERB ADJ NOUN ADP CCONJ AUX VERB NOUN PRON AUX VERB NOUN ADP PUNCT PRON AUX DET ADJ ADJ NOUN PUNCT ADP NOUN AUX PRON VERB SCONJ SCONJ PRON AUX ADJ PART VERB ADP ADP NOUN ADP NOUN PUNCT SCONJ PRON VERB ADJ NUM NOUN ADP ADJ NOUN PUNCT VERB PROPN PUNCT SPACE PUNCT PRON VERB PRON ADP NOUN SCONJ PRON PART VERB ADJ,0.07090909090909091,0.4021157684630743,111,550,0.5855855855855856,0.2246456734680897
"[Det, var, som, kjent, ikkje, slik, at, dei, kjende, skodespelarane, fyrst, vart, oppdaga, av, filmselskapet, i, går, ,, det, vart, skapt, over, tid, ., 
, -, Det, var, regissør, Joachim, Rønning, (, «, Max, Manus, », ), og, eg, som, oppdaga, dei, ,, og, fekk, dei, med, på, denne, filmen, ., Det, er, eg, glad, for, ,, seier, Tiller, ., 
, Han, held, fast, på, draumen, om, at, dette, kan, bli, ein, norsk, ,, moderne, klassikar, ,, at, det, skal, bli, sett, av, mange, nok, til, at, dei, blir, lagt, merke, til, internasjonalt, ., Det, vil, ,, i, så, fall, ,, vere, ein, sensasjon, ., 
, Slike, draumar, er, det, lett, å, bli, skuffa, av, ., 
, -, Ja, ,, absolutt, ., Men, me, kan, ikkje, la, slike, draumar, st]",PRON AUX ADP ADJ ADV ADV SCONJ PRON ADJ PROPN PROPN AUX VERB ADP NOUN ADP NOUN PUNCT PRON AUX VERB ADP NOUN PUNCT SPACE PUNCT PRON AUX NOUN PROPN PROPN PUNCT PUNCT PROPN PROPN PUNCT PUNCT CCONJ NOUN X VERB PRON PUNCT CCONJ VERB PRON ADP ADP DET NOUN PUNCT PRON AUX PRON ADJ ADP PUNCT NOUN PROPN PUNCT SPACE PRON PROPN ADJ ADP NOUN SCONJ SCONJ PRON AUX VERB ADJ ADJ PUNCT ADJ NOUN PUNCT SCONJ PRON AUX AUX VERB ADP ADJ ADV SCONJ SCONJ NOUN AUX VERB NOUN ADP ADJ PUNCT PRON AUX PUNCT ADP ADV NOUN PUNCT X X NOUN PUNCT SPACE DET ADV AUX PRON ADJ PART AUX VERB ADP PUNCT SPACE PUNCT INTJ PUNCT ADJ PUNCT CCONJ ADV AUX X VERB DET ADV NOUN,0.0737410071942446,0.38946745562130114,130,556,0.5769230769230769,0.2836058304989944
"[Det, er, ikkje, til, å, tru, at, det, finst, vaksne, folk, ,, som, trur, at, dei, ikkje, var, tilstades, ved, fødselen, til, eit, barn, ..., 
, Syns, det, er, litt, drøyt, å, kalle, det, "", utelukkende, det, som, kan, bevises, som, sant, "", -, det, finnes, forskning, som, "", tyder, "", på, samvær, med, biologisk, familie, som, viktig, også, for, fosterbarn, -, men, det, er, ingen, forskning, som, kan, "", bekrefte, "", det, ., Derimot, finnes, det, forskning, som, tyder, på, at, den, "", beste, omsorgen, "", er, at, barnet, vokser, opp, hos, adoptivforeldre, ., 
, Som, forskninga, viser, ,, må, det, tilrettelegges, i, forkant, av, plassering, ., Foreldrene, må, ha, hjelp, og, oppfølging, ., Barnets, liv, må, v]",PRON AUX ADV SCONJ PART VERB SCONJ PRON ADJ ADJ NOUN PUNCT PRON VERB SCONJ X X AUX PROPN ADP NOUN ADP PRON NOUN PUNCT SPACE VERB PRON AUX ADJ ADJ PART VERB PRON PUNCT ADV PRON PRON AUX VERB SCONJ ADJ PUNCT PUNCT PRON VERB NOUN PRON PUNCT VERB PUNCT ADP NOUN ADP ADJ NOUN SCONJ ADJ ADV ADP NOUN PUNCT CCONJ PRON VERB DET NOUN PRON AUX PUNCT VERB PUNCT PRON PUNCT ADV VERB PRON NOUN PRON VERB SCONJ SCONJ DET PUNCT ADJ NOUN PUNCT AUX SCONJ NOUN VERB ADP ADP NOUN PUNCT SPACE SCONJ NOUN VERB PUNCT AUX PRON VERB ADP NOUN ADP NOUN PUNCT NOUN AUX VERB NOUN CCONJ NOUN PUNCT NOUN NOUN AUX VERB,0.058925476603119586,0.3769696969696964,119,577,0.5378151260504201,0.18199182180669807
"[Kor, mange, prosent, av, norske, born, er, fattige, ?, Kva, meiner, statsråden, regjeringa, kan, gjere, for, å, betre, situasjonen, til, born, i, låginntektsfamiliar, ?, Barnefattigdom, ., 
, Prosentandelen, på, landsbasis, er, nå, 8,6, prosent, i, årene, 2012-2014., Det, er, store, geografiske, forskjeller, på, landsbasis, ., I, vårt, fylke, er, talet, 9,6, prosent, ,, det, vil, si, at, over, 7000, barn, bor, i, familier, som, ligger, under, EUs, grense, for, lav, inntekt, ., Hva, er, årsaken, til, at, folk, i, fylket, vårt, har, lavest, inntekt, ?, Kan, vi, finne, tiltak, for, å, redusere, den, store, prosentandelen, med, barn, i, familier, med, lav, inntekt, ?, 
, Barne]",NOUN ADJ NOUN ADP ADJ PROPN AUX ADJ PUNCT X VERB NOUN NOUN AUX VERB SCONJ PART VERB NOUN ADP PROPN ADP PROPN PUNCT NOUN PUNCT SPACE NOUN ADP NOUN AUX ADV NUM NOUN ADP NOUN NUM PRON VERB ADJ ADJ NOUN ADP NOUN PUNCT ADP PRON NOUN AUX NOUN NUM NOUN PUNCT PRON AUX VERB SCONJ ADP NUM NOUN VERB ADP NOUN PRON VERB ADP PROPN NOUN ADP ADJ NOUN PUNCT PRON AUX NOUN SCONJ SCONJ NOUN ADP NOUN PRON VERB ADJ NOUN PUNCT AUX PRON VERB NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN SCONJ NOUN ADP ADJ NOUN PUNCT SPACE NOUN,0.07787610619469026,0.38023255813953566,105,565,0.4857142857142857,0.14905021571893584
"[Det, er, veldig, mange, grunner, til, å, være, skeptiske, til, bruk, av, førerløse, biler, eller, selvkjørende, biler, –, ikke, minst, utfra, hensynet, til, liv, ,, helse, og, miljø, ., Skal, man, begi, seg, inn, på, en, debatt, om, dette, temaet, ,, må, man, imidlertid, være, forberedt, på, å, diskutere, både, fordeler, og, ulemper, ., 20, år, etter, at, debatten, om, kunstig, intelligens, og, farene, med, automatisering, oppstod, ,, er, det, på, tide, å, løfte, blikket, ., 1, ), Kunstig, intelligens, innebærer, at, maskinene, skal, få, samme, intelligens, som, mennesker, ,, mens, mennesket, ikke, skal, bruke, samme, intelligens, som, maskinene, ., Vi, skiller, mellom, to, typer, kunstig]",PRON AUX ADJ ADJ NOUN SCONJ PART AUX ADJ ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PART ADJ ADP NOUN ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT AUX PRON VERB PRON ADP ADP DET NOUN ADP DET NOUN PUNCT AUX PRON ADV AUX VERB SCONJ PART VERB CCONJ NOUN CCONJ NOUN PUNCT NUM NOUN SCONJ SCONJ NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN VERB PUNCT AUX PRON ADP NOUN PART VERB NOUN PUNCT NUM PUNCT ADJ NOUN VERB SCONJ NOUN AUX VERB DET NOUN PRON NOUN PUNCT SCONJ NOUN PART AUX VERB DET NOUN ADP NOUN PUNCT PRON VERB ADP NUM NOUN ADJ,0.06174957118353345,0.3595505617977535,106,583,0.5188679245283019,0.14064008580276977
"[Det, er, ein, grunn, til, at, det, heiter, «, vindauge, mot, verda, », ., Vi, treng, eit, vindauge, ut, mot, verda, og, mot, andre, folkeslag, ., Vi, har, eit, spesielt, ansvar, fordi, Noreg, er, eit, lite, land, i, Europa, ., 20, %, av, det, norske, folket, er, menneske, med, innvandrarbakgrunn, ., Men, vi, lever, i, ei, globalisert, verd, ., Det, er, ikkje, noko, som, heiter, «, å, kome, frå, verda, », ,, verda, er, også, ein, stad, som, kjem, til, oss, og, som, vi, møter, med, den, som, sit, i, vindauget, ., 
, I, dag, er, det, mange, vindauge, som, ikkje, slepp, inn, anna, enn, sine, eigne, landsmenn, ., På, den, måten, blir, vindauga, også, eit, bilete, på, Noreg, ., Vi, sit, i, v]",PRON AUX ADJ NOUN SCONJ SCONJ PRON VERB PUNCT NOUN ADP NOUN PUNCT PUNCT PRON VERB X X ADP ADP NOUN CCONJ ADP DET NOUN PUNCT PRON VERB DET ADJ NOUN SCONJ PROPN AUX DET ADJ NOUN ADP PROPN PUNCT NUM NOUN ADP DET ADJ NOUN AUX NOUN ADP NOUN PUNCT CCONJ PRON VERB ADP DET ADJ ADJ PUNCT PRON AUX X X PRON VERB PUNCT PART VERB X X PUNCT PUNCT NOUN AUX ADV X X PRON VERB ADP PRON CCONJ PRON PRON VERB ADP PRON SCONJ X ADP NOUN PUNCT SPACE ADP NOUN VERB PRON ADJ NOUN PRON X VERB ADP PROPN ADP PRON DET NOUN PUNCT ADP DET NOUN VERB ADJ ADV PRON X ADP PROPN PUNCT PRON VERB ADP NOUN,0.0683453237410072,0.36871794871794966,124,556,0.6209677419354839,0.26748370669996274
"[Det, er, eit, stort, mangfald, bakgrunnar, blant, dei, som, har, fått, tildelt, midlar, under, Kunnskapsdepartementets, ordningar, i, 2015., Blant, prosjekta, ser, ein, god, spreiing, mellom, norske, kommunar, ,, private, skuleeigarar, ,, vidaregåande, skular, og, universitet, og, høgskular, ., 
, Guttepakken, gir, støtte, til, skuleutviklingsprosjekt, for, å, få, innspel, til, korleis, gutter, som, gruppe, kan, få, ei, forbetra, opplæring, og, eit, bedre, miljø, på, skulen, ., Blant, søkjarane, var, det, mellom, anna, føreslegne, nettverkmøter, ,, fritidsaktivitetar, og, studium, av, skolens, utforming, ., 
, Vurderingspraksispros]",PRON AUX DET ADJ NOUN ADJ ADP PRON PRON AUX AUX VERB NOUN ADP PROPN PROPN ADP NUM ADP NOUN VERB X ADJ NOUN ADP ADJ PROPN PUNCT ADJ PROPN PUNCT X X CCONJ NOUN CCONJ VERB PUNCT SPACE NOUN VERB NOUN ADP NOUN SCONJ PART VERB NOUN ADP ADJ NOUN SCONJ NOUN AUX VERB DET VERB NOUN CCONJ PRON ADJ NOUN ADP NOUN PUNCT ADP PROPN AUX PRON ADP PROPN X NOUN PUNCT NOUN CCONJ NOUN ADP NOUN NOUN PUNCT SPACE PROPN,0.06581352833638025,0.3796385542168682,83,547,0.4819277108433735,0.2201564431841467
"[Det, er, viktig, for, oss, at, du, skal, føle, seg, trygg, og, ivaretatt, når, du, sender, inn, personlig, informasjon, til, oss, ., Vi, har, derfor, laget, en, oversikt, over, hvilken, personlig, informasjon, som, innhentes, ,, hvorfor, vi, gjør, dette, og, hvordan, vi, ivaretar, din, integritet, ., 1., Hvilke, personlige, opplysninger, vi, innhenter, og, hvorfor, vi, gjør, dette, 1.1, For, å, kunne, gi, deg, den, beste, kjøps-, og, kundeopplevelsen, bruker, vi, følgende, opplysninger, 
, Formål, Hva, brukes, opplysningene, til, For, hvem, behandler, jeg, opplysningene, Informasjoner, som, innhentes, og, gjennom, nettstedet, og, e-post, fra, deg, ,, anvendes, for, å, bes]",PRON AUX ADJ ADP PRON SCONJ PRON AUX VERB PRON ADJ CCONJ VERB SCONJ PRON VERB ADP ADJ NOUN ADP PRON PUNCT PRON AUX ADV VERB DET NOUN ADP DET ADJ NOUN PRON VERB PUNCT ADV PRON VERB PRON CCONJ ADV PRON VERB PRON NOUN PUNCT NUM DET ADJ NOUN PRON VERB CCONJ ADV PRON VERB PRON NUM SCONJ PART AUX VERB PRON DET ADJ NOUN CCONJ NOUN VERB PRON ADJ NOUN SPACE VERB PRON VERB NOUN ADP CCONJ PRON VERB PRON NOUN NOUN PRON VERB CCONJ ADP NOUN CCONJ NOUN ADP PRON PUNCT VERB SCONJ PART VERB,0.058925476603119586,0.3747348484848493,98,577,0.6224489795918368,0.13160268924392543
"[Men, det, er, fremdeles, et, lite, problem, som, ødelegger, og, det, er, at, jeg, ikke, greier, å, la, fingrene, hennes, være, i, fred, ., Ønsker, så, gjerne, å, utforske, ,, og, selv, om, hun, vil, at, dette, skal, skje, må, jeg, liksom, bare, kjenne, hvordan, det, er, ., Har, fått, noen, hint, om, å, gjøre, det, ,, og, kanskje, dette, bare, har, med, meg, å, gjøre, ?, Hun, har, lyst, til, å, nyte, fingrene, lenge, uten, at, jeg, stopper, ,, er, jo, så, mye, å, oppdage, !, 
, Jeg, forstår, veldig, godt, at, du, blir, kåt, av, å, ta, på, kjæresten, din, ., Der, er, mange, jenter, som, sier, det, samme, som, deg, og, det, er, flott, å, høre, !, Men, du, er, 18]",CCONJ PRON AUX ADV DET ADJ NOUN PRON VERB CCONJ PRON AUX SCONJ PRON PART VERB PART VERB NOUN PRON VERB ADP NOUN PUNCT VERB ADV ADV PART VERB PUNCT CCONJ ADV SCONJ PRON VERB SCONJ PRON AUX VERB AUX PRON ADV ADV VERB ADV PRON AUX PUNCT AUX VERB DET NOUN SCONJ PART VERB PRON PUNCT CCONJ ADV PRON ADV VERB ADP PRON PART VERB PUNCT PRON VERB NOUN SCONJ PART VERB NOUN ADJ SCONJ SCONJ PRON VERB PUNCT AUX ADV ADV ADJ PART VERB PUNCT SPACE PRON VERB ADJ ADJ SCONJ PRON VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT ADV AUX ADJ NOUN PRON VERB DET DET ADP PRON CCONJ PRON AUX ADJ PART VERB PUNCT CCONJ PRON AUX NUM,0.06941838649155722,0.3783057851239667,124,533,0.75,0.21481967946105834
"[Han, fortel, at, ein, bil, som, var, eigde, av, bilforhandlaren, tidlegare, hadde, blitt, stjelt, ,, og, derfor, ville, dei, flytte, bilane, bort, ., 
, -, Det, er, ikkje, vår, bil, som, vart, stolen, ,, så, det, er, kanskje, ikkje, det, me, skulle, ha, gjort, ,, men, ..., 
, -, Når, du, forlet, hus, og, bil, ,, slik, som, eg, gjorde, nyleg, ,, så, håper, du, at, folk, er, ærlege, ., 
, Jensen, seier, han, snakka, med, mannen, som, tok, bilane, ,, og, at, han, ikkje, hadde, fått, noko, beskjed, om, at, han, ikkje, kunne, behalde, dei, ., 
, -, Eg, sa, han, kunne, få, dei, gratis, ,, om, han, ville, ha, dei, ., 500, kroner, kunne, han, få, ,, men, det, gjekk, ikkje, .]",PRON VERB SCONJ ADJ NOUN PRON AUX ADJ ADP NOUN PROPN AUX AUX VERB PUNCT CCONJ ADV AUX NOUN VERB NOUN ADP PUNCT SPACE PUNCT PRON AUX X PRON NOUN PRON VERB NOUN PUNCT CCONJ PRON AUX ADV X PRON X AUX AUX VERB PUNCT CCONJ PUNCT SPACE PUNCT SCONJ PRON NOUN NOUN CCONJ NOUN PUNCT ADV PRON PRON VERB NOUN PUNCT ADV VERB PRON SCONJ NOUN AUX NOUN PUNCT SPACE PROPN NOUN PRON VERB ADP NOUN PRON VERB NOUN PUNCT CCONJ SCONJ PRON ADV AUX VERB VERB NOUN SCONJ SCONJ PRON X X VERB X PUNCT SPACE PUNCT PRON VERB PRON AUX VERB PRON ADJ PUNCT SCONJ PRON AUX VERB PRON PUNCT NUM NOUN AUX PRON VERB PUNCT CCONJ PRON VERB X PUNCT,0.06591337099811675,0.4003319502074682,124,531,0.6290322580645161,0.27254129975977404
