tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, som, er, oppgitt, å, være, bøddel, tok, feil, av, noen, av, bildene, for, eksempel, fordi, barna, også, er, voksne, osv., Æsj, altså, ., Og, til, dere, som, skal, henge, ut, denne, mannen, uten, lov, og, dom, ..., kanskje, dere, forsøke, å, se, dere, i, speilet, og, erkjenne, hva, dere, gjør, ?, Ønsker, dere, hundrevis, av, andre, å, dø, også, ?, 
, Og, her, er, en, annen, ..., jeg, kjenner, ikke, til, forholdene, i, Tyrkia, ,, men, i, USA, så, er, man, beskyttet, under, den, 5, Amendment, og, derfor, er, det, ikke, lov, å, henrette, noen, ved, å, stille, dem, ut, for, å, dø, langsomt, ., 
, Norge, hadde, noen, slike, dødsdømte, f]",DET NOUN ADP NOUN PRON PRON AUX VERB PART AUX NOUN VERB NOUN ADP DET ADP NOUN ADP NOUN SCONJ NOUN ADV AUX ADJ ADV VERB ADV PUNCT CCONJ ADP PRON PRON AUX VERB ADP DET NOUN ADP NOUN CCONJ NOUN PUNCT ADV PRON VERB PART VERB PRON ADP NOUN CCONJ VERB PRON PRON VERB PUNCT VERB PRON NOUN ADP DET PART VERB ADV PUNCT SPACE CCONJ ADV AUX DET DET PUNCT PRON VERB PART ADP NOUN ADP PROPN PUNCT CCONJ ADP PROPN ADV AUX PRON VERB ADP DET NUM NOUN CCONJ ADV AUX PRON PART NOUN PART VERB PRON SCONJ PART VERB PRON ADP SCONJ PART VERB ADJ PUNCT SPACE PROPN VERB DET DET NOUN NOUN,0.06985294117647059,0.3847676767676774,117,544,0.6324786324786325,0.17764850176581046
"[Men, så, banket, jomfru, Hansen, på, hos, mor, og, spurte, om, hun, ikke, ville, kjøpe, det, gamle, skapet, hennes, ,, som, stod, på, loftet, ,, og, som, var, så, gildt, til, å, hengsle, av, ., ”, Ta, det, vekk, ,, du, ,, så, jeg, kan, få, kikke, ut, ,, ”, sa, mor, ., Men, da, steg, jomfru, Hansens, vrede, over, alle, grenser, ,, hun, ble, enda, sintere, enn, da, bror, strøk, med, livet, ., Hun, grep, en, sopelime, og, jultet, mor, i, all, verden, så, fælt, at, det, ikke, var, noen, måte, på, det, ., Mor, måtte, gå, til, sengs, ,, og, ble, der, i, langsommelig, tid, ,, for, de, trodde, at, hun, aldri, kom, til, å, stå, opp, mer, ;, men, hun, kom, på, benene, til, slutt, ,, og, da, var, hun, blå, og, sort, både, over, sk]",CCONJ ADV VERB NOUN PROPN ADP ADP NOUN CCONJ VERB SCONJ PRON PART AUX VERB DET ADJ NOUN PRON PUNCT PRON VERB ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ SCONJ PART VERB ADP PUNCT PUNCT VERB PRON ADP PUNCT PRON PUNCT CCONJ PRON AUX AUX VERB ADP PUNCT PUNCT VERB NOUN PUNCT CCONJ ADV VERB PROPN PROPN NOUN ADP DET NOUN PUNCT PRON VERB ADV ADJ ADP SCONJ NOUN NOUN ADP NOUN PUNCT PRON VERB DET NOUN CCONJ VERB NOUN ADP DET NOUN ADV ADJ SCONJ PRON PART VERB DET NOUN ADP PRON PUNCT NOUN AUX VERB ADP NOUN PUNCT CCONJ VERB ADV ADP ADJ NOUN PUNCT CCONJ PRON VERB SCONJ PRON ADV VERB SCONJ PART VERB ADP ADJ PUNCT CCONJ PRON VERB ADP NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON ADJ CCONJ ADJ CCONJ ADP NOUN,0.05391304347826087,0.38372623574144615,139,575,0.60431654676259,0.2648827849045149
"[Det, synspunkt, at, miljøskifte, og, overgang, til, egen, bolig, av, og, til, kan, ha, en, gunstig, virkning, på, et, sykelig, sinn, er, ikke, nytt, ., Det, heter, f.eks., i, innstillingen, fra, "", Komiteen, til, revisjon, av, sinnssykelovgivningen, "", av, 1955, at, "", (, d, ), ei, fleste, har, opplevd, at, kontakten, med, heimen, eller, arbeidsplassen, har, gjort, sinnslidande, meir, sjuk, eller, umogleg, å, hjelpe, ., Derfor, er, det, viktig, at, pasienten, så, snart, råd, er, ,, kan, flytte, ut, frå, asyl, til, ei, institusjonsavdeling, eller, ei, verna, bustadform, ,, så, snart, han, eller, hun, er, så, sterk, at, han, kan, klare, seg, "", ., Komiteen, påpekte, behovet, for, et, mer, differensiert, lovgivningssystem, ,]",DET NOUN SCONJ NOUN CCONJ NOUN ADP DET NOUN ADP CCONJ ADP AUX VERB DET ADJ NOUN ADP DET ADJ NOUN AUX PART ADJ PUNCT PRON VERB ADV ADP NOUN ADP PUNCT PROPN ADP NOUN ADP NOUN PUNCT ADP NUM SCONJ PUNCT PUNCT NOUN PUNCT DET ADJ AUX VERB SCONJ NOUN ADP NOUN CCONJ NOUN AUX VERB ADJ X ADJ CCONJ NOUN PART VERB PUNCT ADV AUX PRON ADJ SCONJ NOUN ADV ADJ NOUN AUX PUNCT AUX VERB ADP PRON NOUN ADP DET NOUN CCONJ DET ADJ NOUN PUNCT ADV ADJ PRON CCONJ PRON AUX ADV ADJ SCONJ PRON AUX VERB PRON PUNCT PUNCT NOUN VERB NOUN ADP DET ADJ ADJ NOUN PUNCT,0.056105610561056105,0.36833034111310714,113,606,0.5752212389380531,0.1416426944672277
"[Nei, sa, Beatrice, Bare, gå, ut, ,, så, lenge, det, gjør, deg, glad, ,, så, lenge, det, får, meg, til, å, se, lykkelig, ut, ., Men, det, får, meg, ikke, til, å, se, lykkelig, ut, ., Det, kan, ikke, betales, med, penger, ., 28, 632, dager, ,, 1000-vis, av, timer, ,, 00:01:53, for, å, være, eksakt, ., 46, minutter, og, 53, sekunder, av, livet, mitt, ., Smertene, jeg, har, følt, nå, i, et, tiår, ., År, av, livet, jeg, aldri, vil, få, tilbake, ., 
, Før, han, ble, stjerne, på, YouTube, ., Før, han, spilte, inn, "", Born, to, be, alive, ,, "", fikk, tilbud, om, å, fly, sammen, med, Paul, McCartney, og, før, han, ble, hyllet, av, Miley, Cyrus, på, MTV-scenen, ., 
]",INTJ VERB PROPN ADV VERB ADP PUNCT ADV ADJ PRON VERB PRON ADJ PUNCT ADV ADJ PRON VERB PRON SCONJ PART VERB ADJ ADP PUNCT CCONJ PRON VERB PRON PART SCONJ PART VERB ADJ ADP PUNCT PRON AUX PART VERB ADP NOUN PUNCT NUM NUM NOUN PUNCT ADV ADP NOUN PUNCT NOUN SCONJ PART AUX ADJ PUNCT NUM NOUN CCONJ NUM NOUN ADP NOUN PRON PUNCT NOUN PRON AUX VERB ADV ADP DET NOUN PUNCT NOUN ADP NOUN PRON ADV AUX VERB ADP PUNCT SPACE SCONJ PRON VERB NOUN ADP PROPN PUNCT SCONJ PRON VERB ADP PUNCT PROPN X X X PUNCT PUNCT VERB NOUN SCONJ PART VERB ADV ADP PROPN PROPN CCONJ SCONJ PRON AUX VERB ADP PROPN PROPN ADP NOUN PUNCT SPACE,0.09961685823754789,0.42448202959830844,124,522,0.5645161290322581,0.1840267157240569
"[For, 2, av, elevene, har, det, vært, utrolig, kjekt, å, være, med, i, gruppa, -, det, har, gitt, de, opplevelser, de, er, stolte, av, ,, og, økt, selvtilliten, deres, ,, og, for, dem, har, utfluktene, også, fungert, som, friminutt, fra, skolehverdagen, og, dermed, gitt, en, helt, ny, motivasjon, til, å, fortsette, på, skolen, -, og, de, har, gjort, fremskritt, i, fagene, sine, ., 3, av, elevene, har, brukt, skoleåret, til, å, finne, og, å, nærme, seg, sine, evner, -, men, utover, det, har, det, ikke, blitt, lagt, vekt, på, faglig, "", modning, "", ., Elevene, har, vært, fornøyde, med, å, gjøre, dette, på, sitt, nivå, -, uten, å, legge, vekt, på, at, de, ikke, skal, g]",ADP NUM ADP NOUN AUX PRON AUX ADJ ADJ PART AUX ADP ADP NOUN PUNCT PRON AUX VERB DET NOUN PRON AUX ADJ ADP PUNCT CCONJ VERB NOUN PRON PUNCT CCONJ ADP PRON AUX NOUN ADV VERB SCONJ NOUN ADP NOUN CCONJ ADV VERB DET ADJ ADJ NOUN SCONJ PART VERB ADP NOUN PUNCT CCONJ PRON AUX VERB NOUN ADP NOUN PRON PUNCT NUM ADP NOUN AUX VERB NOUN SCONJ PART VERB CCONJ PART VERB PRON PRON VERB PUNCT CCONJ ADP PRON AUX PRON PART AUX VERB NOUN ADP ADJ PUNCT NOUN PUNCT PUNCT NOUN AUX AUX ADJ SCONJ PART VERB PRON ADP PRON NOUN PUNCT SCONJ PART VERB NOUN SCONJ SCONJ PRON PART VERB NOUN,0.059782608695652176,0.38059642147117384,116,552,0.6637931034482759,0.22398048711063448
"[Utover, høsten, 1987, vil, det, til, bys, forskjellige, kurs, i, Hal, den, ,, som, har, som, mål, å, dyk, tiggjøre, deltakerne, i, nøkkel, stillingene, i, arbeidslivet, ., —, Dette, er, en, oppfølging, av, en, spørreundersøkelse, i, næ, ringslivet, våren, 1987, ,, forteller, studiekonsulent, Kari, Viker, Toreby, til, Halden, Ar, beiderblad, ., Dette, skal, vi, nå, set, te, ut, i, livet, ., Det, dreier, seg, om, styrearbeid, og, kvalitetssik, ring, ., Ellers, er, opplæringen, sterkt, knyttet, til, ledelses-, ,, personal-, ,, regnskaps-, og, rekla, mefaget, .]",ADP NOUN NUM AUX PRON ADP NOUN ADJ NOUN ADP PROPN PRON PUNCT PRON VERB SCONJ NOUN PART VERB ADJ NOUN ADP NOUN NOUN ADP NOUN PUNCT PUNCT PRON AUX DET NOUN ADP DET NOUN ADP NOUN NOUN NOUN NUM PUNCT VERB NOUN PROPN PROPN PROPN ADP PROPN PROPN NOUN PUNCT PRON AUX PRON ADV NOUN VERB ADP ADP NOUN PUNCT PRON VERB PRON ADP NOUN CCONJ NOUN NOUN PUNCT ADV AUX NOUN ADJ ADJ ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ VERB NOUN PUNCT,0.0870488322717622,0.3876777251184841,85,471,0.4,0.20173228011972041
"[Personell, og, organisering, av, sekretariatet, er, tilpasset, Arbeiderpartiets, forutsetninger, ;, blant, annet, at, stillinger, som, sekretariatsleder, og, stabssjef, ikke, kan, ivaretas, av, stortingsrepresentant, ,, og, at, økonomi-, og, administrasjonsleder, stillingen, legges, til, Stortingets, direktørkontor, ., 
, Stortingsgruppens, kontor, i, Møllergata, ivaretar, behovet, for, nær, kontakt, mellom, sekretariatet, og, det, nære, nettverket, ,, de, folkevalgte, ., Øvrige, funksjoner, som, ligger, til, sekretariatet, kan, delvis, ,, som, for, flere, ,, i, tillegg, utføres, fra, hjemmekontor, ., Dette, gjelder, for, eksempel, både, informasjonstjenesten, og, politikk-, og, buds]",NOUN CCONJ NOUN ADP NOUN AUX VERB PROPN NOUN PUNCT ADP DET SCONJ NOUN ADP NOUN CCONJ NOUN PART AUX VERB ADP NOUN PUNCT CCONJ SCONJ NOUN CCONJ NOUN NOUN VERB ADP PROPN NOUN PUNCT SPACE PROPN NOUN ADP PROPN VERB NOUN ADP ADJ NOUN ADP NOUN CCONJ DET ADJ NOUN PUNCT DET ADJ PUNCT ADJ NOUN PRON VERB ADP NOUN AUX ADV PUNCT PRON ADP ADJ PUNCT ADP NOUN VERB ADP NOUN PUNCT PRON VERB ADP NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN,0.05843071786310518,0.3538909090909081,84,599,0.4523809523809524,0.1720574095288315
"[De, nevnte, artiklene, i, FN-pakten, og, den, tilhørende, forsvarspakten, inneholder, i, seg, selv, ingen, hjemmel, for, bruk, av, militær, makt, ., 
, Hjemmelsbruken, er, et, utslag, av, en, rett, –, rett, til, selvforsvar, mot, væpnet, aggresjon, mot, statens, territorium, eller, befolkning, ., 
, Men, selv, om, FN-pakten, og, forsvarspakten, inneholder, hver, sine, avgrensende, betingelser, for, bruk, av, militær, makt, ,, kan, man, ikke, oppstille, noen, absolutte, vilkår, for, bruk, av, såkalt, samtykkebaserte, militære, operasjoner, ., 
, En, kan, heller, ikke, utlede, slike, absolutte, vilkår, av, de, andre, elementer, som, inngår, i, retten, til, selvforsvar, etter, FN-paktens, artikkel, 5]",PRON VERB NOUN ADP NOUN CCONJ DET ADJ NOUN VERB ADP PRON DET DET NOUN ADP NOUN ADP ADJ NOUN PUNCT SPACE NOUN AUX DET NOUN ADP DET NOUN PUNCT ADJ ADP NOUN ADP ADJ NOUN ADP NOUN NOUN CCONJ NOUN PUNCT SPACE CCONJ ADV SCONJ NOUN CCONJ NOUN VERB DET PRON ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT AUX PRON PART VERB DET ADJ NOUN ADP NOUN ADP ADJ ADJ ADJ NOUN PUNCT SPACE PRON AUX ADV PART VERB DET ADJ NOUN ADP DET DET NOUN PRON VERB ADP NOUN ADP NOUN ADP NOUN NOUN NUM,0.06176961602671119,0.3767272727272736,98,599,0.5,0.1249472980398659
"[Bør, minimum, være, 10, avganger, tur, /retur, Alta, -, Oslo, når, høysessongen, med, sommer, turistene, starter, ., I, tillegg, må, vi, få, en, morgenavgang, tilbake, ., Det, må, bli, mulig, for, en, fornuftig, pris, å, ta, med, bilen, til, /, fra, Alta, Lufthavn, for, weekend, turisten, ., 
, Bøtesatser, for, å, kjøre, i, kolleltivfelt, er, en, vits, ., Vi, bor, i, et, kollektiv, område, så, det, er, forståelig, at, vi, må, vike, for, busser, ., Men, det, er, jo, ikke, fordi, folk, har, dårlig, råd, at, man, kjører, i, feil, felt, ., 
, Dersom, folk, har, dårlig, råd, og, ikke, har, råd, til, bil, ,, så, hjelper, det, ikke, kjøre, i, feil, kjørebane, av, den, gr]",AUX NOUN AUX NUM NOUN NOUN PROPN PROPN PUNCT PROPN SCONJ NOUN ADP NOUN NOUN VERB PUNCT ADP NOUN AUX PRON VERB DET NOUN ADP PUNCT PRON AUX VERB ADJ ADP DET ADJ NOUN PART VERB ADP NOUN ADP PUNCT ADP PROPN PROPN ADP NOUN NOUN PUNCT SPACE PROPN SCONJ PART VERB ADP ADJ AUX DET NOUN PUNCT PRON VERB ADP DET ADJ NOUN SCONJ PRON AUX ADJ SCONJ PRON AUX VERB ADP NOUN PUNCT CCONJ PRON AUX ADV PART SCONJ NOUN VERB ADJ NOUN SCONJ PRON VERB ADP ADJ NOUN PUNCT SPACE SCONJ NOUN VERB ADJ NOUN CCONJ PART VERB NOUN ADP NOUN PUNCT ADV VERB PRON PART VERB ADP ADJ NOUN ADP PRON ADV,0.07536764705882353,0.38888888888888956,116,544,0.5086206896551724,0.2435419548042277
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, om, å, introdusere, en, felles, selskapsskatt, (, for, konserner, hvor, det, samlede, overskuddet, blir, overført, mellom, landene, før, det, blir, skattepliktig, ), med, en, skattesats, basert, på, nåværende, skattesats, i, USA, på, 21, prosent, ., 
, "", Forslaget, går, ut, på, å, innføre, en, felles, selskapsskatt, for, konserner, med, årlige, inntekter, på, over, 750, mill., euro, ., Det, vil, være, frivillig, med, slik, rapportering, ettersom, forslaget, ikke, pålegger, noen, skattlegging, ., Skattesatsen, blir, satt, til, 10,6, prosent, innen, EU, etter, gjeldende, satser, ,, dvs., 12, pst.]",PROPN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN PUNCT ADP NOUN ADV DET ADJ NOUN AUX VERB ADP NOUN SCONJ PRON VERB ADJ PUNCT ADP DET NOUN VERB ADP ADJ NOUN ADP PROPN ADP NUM NOUN PUNCT SPACE PUNCT NOUN VERB ADP SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP ADJ NOUN ADP ADP NUM NOUN NOUN PUNCT PRON AUX AUX ADJ ADP DET NOUN SCONJ NOUN PART VERB DET NOUN PUNCT NOUN AUX VERB ADP NUM NOUN ADP PROPN ADP ADJ NOUN PUNCT ADV NUM NOUN,0.08029197080291971,0.37551102204408876,92,548,0.43478260869565216,0.09515790419893033
