tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, selv, skal, havne, i, samme, situasjon, gir, han, derimot, ikke, :, 
, \-, Jeg, kommer, aldri, til, å, fortelle, noe, som, helst, om, min, egen, sykdomshistorie, ,, sier, han, til, Aftonbladet, ., 
, Da, hadde, han, også, fortalt, at, han, aldri, noen, gang, kan, ta, noen, vaksiner, ., 
, \-, Det, er, helt, umulig, for, meg, ., Jeg, vet, ikke, hvor, jeg, har, det, fra, eller, hvorfor, ,, men, det, går, bare, ikke, ., Jeg, må, alltid, være, nøye, med, hva, jeg, spiser, og, hvordan, jeg, lever, for, å, unngå, at, sykdommen, kommer, fram, ., 
, \-, Men, nå, trenger, jeg, en, vaksine, ,, jeg, er, nødt, til, det, ., Jeg, må, ha, en, vaksine, ,, sier, han, til, programlederen, i, programmet, «, Stopptiden, », ., Han, mener, ingen, vil, legge, merke, til, at, han, har, fått, en, sprøyte, i, armen, ., 
, 30-åringen, synes, også, at, det, er, urettferdig, at, han, som, toppatlet, blir, satt, i, fokus, etter, alle, de, som, har, fått, sykdommen, og, kanskje, har, havnet, i, rullestol, ., 
, \-, Ikke, bare, er, vi, i, søkelyset, ,, vi, får, også, dårligere, hjelp, når, vi, har, slike, sykdommer, ,]",DET NOUN ADP NOUN PRON DET AUX VERB ADP DET NOUN VERB PRON ADV PART PUNCT SPACE NOUN PRON VERB ADV SCONJ PART VERB PRON ADP ADV ADP PRON DET NOUN PUNCT VERB PRON ADP PROPN PUNCT SPACE ADV AUX PRON ADV VERB SCONJ PRON ADV DET NOUN AUX VERB DET NOUN PUNCT SPACE NOUN PRON AUX ADJ ADJ ADP PRON PUNCT PRON VERB PART ADV PRON VERB PRON ADP CCONJ ADV PUNCT CCONJ PRON VERB ADV PART PUNCT PRON AUX ADV AUX ADJ SCONJ PRON PRON VERB CCONJ ADV PRON VERB SCONJ PART VERB SCONJ NOUN VERB ADP PUNCT SPACE NOUN CCONJ ADV VERB PRON DET NOUN PUNCT PRON AUX ADJ ADP PRON PUNCT PRON AUX VERB DET NOUN PUNCT VERB PRON ADP NOUN ADP NOUN PUNCT PROPN PUNCT PUNCT PRON VERB PRON AUX VERB NOUN SCONJ SCONJ PRON AUX VERB DET NOUN ADP NOUN PUNCT SPACE NOUN VERB ADV SCONJ PRON AUX ADJ SCONJ PRON PRON NOUN AUX VERB ADP NOUN ADP DET PRON PRON AUX VERB NOUN CCONJ ADV AUX VERB ADP NOUN PUNCT SPACE PROPN PART ADV AUX PRON ADP NOUN PUNCT PRON VERB ADV ADJ NOUN SCONJ PRON VERB DET NOUN PUNCT,0.04725274725274725,0.3932636469221828,197,910,0.6700507614213198,0.37290959475632746
"[Men, så, banket, jomfru, Hansen, på, døra, ,, og, da, hadde, de, ikke, mer, bruk, for, nål, og, tråd, ., «, Er, det, så, at, du, skal, bli, den, neste, kona, her, ?, », spurte, fru, Hansen, i, en, vennlig, tone, ., «, Hun, er, ikke, stor, ennå, ,, », svarte, fru, Hansen, ., «, Bare, se, på, de, lubne, hendene, og, den, butte, kroppen, ., Ikke, noe, for, en, som, deg, ,, en, vakker, mann, som, deg, ., 
, «, Synes, du, virkelig, at, jeg, er, så, vakker, ?, », sa, Mowgli, ., «, Unnskyld, et, dumt, ,, dumt, spørsmål, ,, », sa, herr, Hansen, ., «, Jeg, er, bare, så, glad, og, takknemlig, for, at, du, har, fortalt, meg, så, mye, pent, om, sønnen, min., 
, «, Jeg, liker, ikke, sånne, dumme, spørsmål, ., Hvem, synes, ikke, at, du, er, vakker, ?, », bruste, fru, Hansen, opp, ., «, Å, ,, der, ser, du, ,, nå, gikk, du, for, langt, ,, », sa, herr, Hansen, ., «, Du, burde, være, litt, forsiktig, ., Du, burde, være, litt, mer, forsiktig, så, du, ikke, kommer, til, å, gjøre, ting, verre, ., », Han, kremtet, og, så, på, Mowgli, ., «, Sånn, ja, ,, »]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT CCONJ ADV VERB PRON PART ADJ NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT AUX PRON ADV SCONJ PRON AUX VERB DET DET NOUN ADV PUNCT PUNCT VERB PROPN PROPN ADP DET ADJ NOUN PUNCT PUNCT PRON AUX PART ADJ ADV PUNCT PUNCT VERB PROPN PROPN PUNCT PUNCT ADV VERB ADP DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PART PRON ADP DET ADP PRON PUNCT DET ADJ NOUN ADP PRON PUNCT SPACE PUNCT VERB PRON ADJ SCONJ PRON AUX ADV ADJ PUNCT PUNCT VERB PROPN PUNCT PUNCT VERB DET ADJ PUNCT ADJ NOUN PUNCT PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADV ADV ADJ CCONJ ADJ SCONJ SCONJ PRON AUX VERB PRON ADV ADJ ADJ SCONJ NOUN VERB SPACE PUNCT PRON VERB PART DET ADJ NOUN PUNCT PRON VERB PART SCONJ PRON AUX ADJ PUNCT PUNCT VERB PROPN PROPN ADP PUNCT PUNCT INTJ PUNCT ADV VERB PRON PUNCT ADV VERB PRON ADV ADJ PUNCT PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX AUX ADJ ADJ PUNCT PRON AUX AUX ADJ ADJ ADJ SCONJ PRON PART VERB SCONJ PART VERB NOUN ADJ PUNCT PUNCT PRON VERB CCONJ ADV ADP PROPN PUNCT PUNCT ADV INTJ PUNCT PUNCT,0.05263157894736842,0.4215754339118813,204,798,0.5294117647058824,0.25656640950223664
"[Det, synspunkt, at, miljøskifte, og, nye, inn, trykk, ofte, er, av, langt, storre, betydning, for, trivselen, enn, stadig, mer, komfort, ,, deler, jeg, gjerne, med, andre, ,, og, i, den, forbindelse, har, jeg, gjort, meg, mange, tanker, om, livet, på, landet, ., For, hva, er, livet, på, landet, ?, Det, er, i, alle, fall, ikke, nostalgi, ,, og, det, er, heller, ikke, bare, et, idyllisk, glansbilde, å, la, det, man, finner, på, glansede, prospektkort, ., Men, i, sin, hverdag, er, livet, på, landet, noe, mer, enn, som, så, ., Jeg, har, aldri, bodd, på, landet, ,, men, jeg, kan, levende, forestille, meg, hvordan, det, kunne, oppleves, ., For, meg, er, det, en, gåte, at, stadig, flere, ,, ikke, minst, bymennesket, ,, ønsker, å, flytte, til, nettopp, landet, ., For, etter, min, oppfatning, må, livet, på, landet, bety, at, man, ikke, skal, være, nødt, til, å, ha, en, bil, tilgjengelig, ,, at, en, butikk, ikke, skal, være, nedlagt, ,, at, det, finnes, en, skole, i, nærmiljøet, og, at, man, kan, la, barna, sine, gå, dit, istedenfor, å, kjøre, dem, ., At, man, ikke, hele, tiden, skal, være, avhengig, av, at, alt, klaffer, på, forhand]",DET NOUN SCONJ NOUN CCONJ ADJ ADP NOUN ADJ AUX ADP ADJ ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN PUNCT VERB PRON ADV ADP DET PUNCT CCONJ ADP DET NOUN AUX PRON VERB PRON ADJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX NOUN ADP NOUN PUNCT PRON AUX ADP DET NOUN PART NOUN PUNCT CCONJ PRON AUX ADV PART ADV DET ADJ NOUN PART VERB PRON PRON VERB ADP ADJ NOUN PUNCT CCONJ ADP PRON NOUN AUX NOUN ADP NOUN DET ADJ ADP ADP VERB PUNCT PRON AUX ADV VERB ADP NOUN PUNCT CCONJ PRON AUX ADJ VERB PRON ADV PRON AUX VERB PUNCT ADP PRON AUX PRON DET NOUN SCONJ ADJ ADJ PUNCT PART ADJ VERB PUNCT VERB PART VERB ADP ADV NOUN PUNCT CCONJ ADP PRON NOUN AUX NOUN ADP NOUN VERB SCONJ PRON PART AUX AUX ADJ SCONJ PART VERB DET NOUN ADJ PUNCT SCONJ DET NOUN PART AUX AUX VERB PUNCT SCONJ PRON VERB DET NOUN ADP NOUN CCONJ SCONJ PRON AUX VERB NOUN PRON VERB ADV SCONJ PART VERB PRON PUNCT SCONJ PRON PART ADJ NOUN AUX AUX ADJ SCONJ SCONJ PRON VERB ADP NOUN,0.035331905781584586,0.3682711864406769,193,934,0.6632124352331606,0.29833571966095535
"[Nei, sa, Beatrice, Bare, gå, og, heng, deg, !, Det, er, sant, ., Det, er, alltid, to, måter, å, si, en, ting, på, ,, en, må, gå, sin, vei, eller, så, får, man, si, at, man, ikke, kommer, til, å, henge, seg, ., Jeg, velger, det, siste, ., Og, siden, jeg, ikke, skal, henge, meg, ,, så, er, det, vel, helt, klart, for, alle, som, følger, litt, med, på, det, som, skjer, i, tiden, ,, at, man, skal, si, det, med, blomster, ., Så, det, gjør, jeg, ., 
, Hei, ,, Beatrice, !, Ja, ,, jeg, skulle, akkurat, til, å, henge, meg, ., Nei, ,, du, skulle, ikke, henge, deg, ., Jeg, sier, bare, at, du, hadde, tenkt, å, henge, deg, ., Jeg, har, ikke, hatt, noen, baktanker, med, dette, her, ., Det, er, faktisk, helt, sant, ., Jeg, bare, gikk, her, på, veien, og, prøvde, å, finne, noe, å, henge, meg, i., Ja, ,, men, det, er, fint, ,, i, dag, av, alle, dager, ., Jeg, forstår, faktisk, ikke, hvorfor, jeg, skal, behøve, å, dra, hjem, igjen, ., Det, er, jo, den, første, dagen, i, mai, ., Og, det, er, jo, bare, trist, og, kjedelig, hjemme, ,, det, er, ingen, der, som, bryr, seg, om, meg, .]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON PUNCT PRON AUX ADJ PUNCT PRON AUX ADV NUM NOUN PART VERB DET NOUN ADP PUNCT PRON AUX VERB PRON NOUN CCONJ ADV AUX PRON VERB SCONJ PRON PART VERB SCONJ PART VERB PRON PUNCT PRON VERB DET ADJ PUNCT CCONJ SCONJ PRON PART AUX VERB PRON PUNCT ADV AUX PRON ADV ADJ ADJ ADP PRON PRON VERB ADJ ADP ADP PRON PRON VERB ADP NOUN PUNCT SCONJ PRON AUX VERB PRON ADP NOUN PUNCT CCONJ PRON VERB PRON PUNCT SPACE X PUNCT PROPN PUNCT INTJ PUNCT PRON AUX ADV SCONJ PART VERB PRON PUNCT INTJ PUNCT PRON AUX PART VERB PRON PUNCT PRON VERB ADV SCONJ PRON AUX VERB PART VERB PRON PUNCT PRON AUX PART VERB DET NOUN ADP PRON ADV PUNCT PRON AUX ADJ ADJ ADJ PUNCT PRON ADV VERB ADV ADP NOUN CCONJ VERB PART VERB PRON PART VERB PRON PUNCT INTJ PUNCT CCONJ PRON AUX ADJ PUNCT ADP NOUN ADP DET NOUN PUNCT PRON VERB ADJ PART ADV PRON AUX VERB PART VERB ADP ADV PUNCT PRON AUX ADV DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ CCONJ ADJ ADP PUNCT PRON VERB PRON ADV PRON VERB PRON ADP PRON PUNCT,0.04275534441805225,0.36728877679697425,208,842,0.7211538461538461,0.35365152014943035
"[For, 2, av, elevene, har, jeg, lagt, et, nytt, spor, ,, bare, på, tvers, inn, mot, stolen, og, så, har, jeg, gått, litt, i, retur, ., Dette, for, å, få, litt, mer, oversikt, over, hvor, de, er, å, hvor, fort, de, mister, retningssansen, sin, i, det, de, krysser, sporgata, ., De, hadde, ingen, problemer, med, å, ta, sporet, opp, igjen, men, de, var, veldig, forvirret, i, det, sporet, svingte, inn, mot, stolen, ., Vi, er, ganske, fornøyde, med, dagens, innsats, for, å, si, det, sånn, ., Så, får, vi, prøve, å, fortsette, på, torsdag, før, vi, kan, reise, til, Åsen, på, søndag, for, å, rundere, ., 
, I, dag, har, alle, 6, i, første, kullet, vært, gjennom, tester, ,, både, i, bruks, og, jakt, sammen, med, de, fra, Tjorhovens, kull, 2., 
, Det, er, veldig, positivt, at, såvidt, mange, ønsker, å, fortsette, med, hundesport, og, jeg, håper, det, er, mange, som, begynner, på, neste, års, kull, ., De, vil, da, være, 5, mnd, den, dagen, de, leveres, i, september, ., 
, Det, er, også, veldig, hyggelig, av, at, det, ser, ut, som, så, mange, fra, Tjorhovens, første, kull, har, tenkt, å]",ADP NUM ADP NOUN AUX PRON VERB DET ADJ NOUN PUNCT ADV ADP NOUN ADP ADP NOUN CCONJ ADV AUX PRON VERB ADJ ADP NOUN PUNCT PRON SCONJ PART VERB ADJ ADJ NOUN ADP ADV PRON AUX CCONJ ADV ADJ PRON VERB NOUN PRON ADP PRON PRON VERB NOUN PUNCT PRON VERB DET NOUN SCONJ PART VERB NOUN ADP ADV CCONJ PRON AUX ADJ ADJ ADP DET NOUN VERB ADP ADP NOUN PUNCT PRON AUX ADV ADJ ADP NOUN NOUN SCONJ PART VERB PRON ADV PUNCT ADV AUX PRON VERB PART VERB ADP NOUN SCONJ PRON AUX VERB ADP PROPN ADP NOUN SCONJ PART VERB PUNCT SPACE ADP NOUN VERB DET NUM ADP ADJ NOUN AUX ADP NOUN PUNCT CCONJ ADP NOUN CCONJ NOUN ADV ADP DET ADP PROPN NOUN ADJ SPACE PRON AUX ADJ ADJ SCONJ ADV ADJ VERB PART VERB ADP NOUN CCONJ PRON VERB PRON VERB ADJ PRON VERB ADP DET NOUN NOUN PUNCT PRON AUX ADV AUX NUM NOUN DET NOUN PRON VERB ADP NOUN PUNCT SPACE PRON AUX ADV ADJ ADJ SCONJ SCONJ PRON VERB ADP SCONJ ADV ADJ ADP PROPN ADJ NOUN AUX VERB PART,0.04303510758776897,0.378345323741006,191,883,0.6701570680628273,0.36835723571507517
"[Utover, høsten, 1987, vil, det, finne, sted, interessante, begi, venheter, i, det, politiske, liv, i, Vest-Europa, og, Norden, ., EFs, toppledere, vil, samles, for, å, vedta, et, nytt, perspektiv, program, som, gjelder, årene, 1988-92., Det, betyr, at, de, har, til, hensikt, å, forme, EFs, politiske, ansikt, ,, slik, det, vil, fortone, seg, på, kontinentet, i, de, nærmeste, fire-fem, årene, ., Samtidig, vil, en, rekke, lands, sosialdemokratiske, ledere, komme, sammen, i, Stockholm, for, å, diskutere, felles, opp, gåver, og, politiske, mål, for, 1990-årene, ., På, denne, bakgrunn, kan, det, være, interessant, å, trekke, opp, noen, mulige, hovedlinjer, for, den, framtidige, politiske, utvik, lingen, i, Europa, ., 
, I, den, debatten, som, nå, pågår, om, hvordan, Norge, skal, forholde, seg, til, EF, ,, synes, ikke, en, diskusjon, om, de, politiske, aspekter, å, være, like, framtredende, ., Man, får, inntrykk, av, at, det, utelukkende, er, for, retning, og, økonomi, alt, dreier, seg, om, ,, det, politiske, aspekt, er, ikke, relevant, ., Vi, vet, at, det, er, dette, som, gir, et, land, dets, identitet, ,, det, er, her, de, verdivalg, som, vi, foretar, ,, kommer, fram, ., Man, skal]",ADP NOUN NUM AUX PRON VERB NOUN ADJ NOUN NOUN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN PUNCT PROPN NOUN AUX VERB SCONJ PART VERB DET ADJ NOUN NOUN PRON VERB NOUN NUM PRON VERB SCONJ PRON VERB ADP NOUN PART VERB PROPN ADJ NOUN PUNCT ADV PRON AUX VERB PRON ADP NOUN ADP DET ADJ NUM NOUN PUNCT ADJ AUX DET NOUN NOUN ADJ NOUN VERB ADV ADP PROPN SCONJ PART VERB ADJ ADP NOUN CCONJ ADJ NOUN ADP NOUN PUNCT ADP DET NOUN AUX PRON AUX ADJ PART VERB ADP DET ADJ NOUN ADP DET ADJ ADJ PROPN NOUN ADP PROPN PUNCT SPACE ADP DET NOUN PRON ADV VERB SCONJ ADV PROPN AUX VERB PRON ADP PROPN PUNCT VERB PART DET NOUN ADP DET ADJ NOUN PART AUX ADV ADJ PUNCT PRON VERB NOUN SCONJ SCONJ PRON ADV AUX ADP NOUN CCONJ NOUN PRON VERB PRON ADP PUNCT DET ADJ NOUN AUX PART ADJ PUNCT PRON VERB SCONJ PRON AUX PRON PRON VERB DET NOUN DET NOUN PUNCT PRON AUX ADV PRON NOUN PRON PRON VERB PUNCT VERB ADP PUNCT PRON AUX,0.04618473895582329,0.3826821541710643,185,996,0.5513513513513514,0.2888200862187975
"[Personell, og, organisering, av, sekretariatet, -, Det, sentrale, OU-styret, i, KA-området, 
, Personell, og, organisering, av, sekretariatet, 
, Årsrapport, 2013, -, Det, sentrale, OU-styret, 
, Det, sentrale, OU-styret, ,, som, er, et, styre, i, henhold, til, §, 6-1, i, Hovedavtalen, for, KA-området, ,, disponerte, for, 2013, en, bevilgning, på, kr., 5, 850, 000, fra, KA, og, kr., 4, 800, 000, fra, arbeidstakerorganisasjonene, ., Tilsvarende, tall, for, 2012, var, kr., 5, 410, 000, fra, KA, og, kr., 4, 670, 000, fra, arbeidstakerorganisasjonene, ., Til, sammen, hadde, det, sentrale, OU-styret, for, 2013, en, disponibel, ramme, til, fordeling, på, kr., 10, 730, 000, mot, kr., 9, 580, 000, i, 2012., 
, Disponering, av, det, øremerkede, tilskuddet, fra, KA, til, IKO, -, Kirkelig, pedagogisk, senter, 
, Styret, for, det, sentrale, OU-styret, besluttet, i, møte, 9., februar, 2014, at, IKO-Kirkelig, pedagogisk, senter, skulle, motta, et, tilskudd, på, kr., 350, 000, i, 2014, fra, OU-midlene, ., Bevilgningsreglementets, §, 5, første, ledd, bokstav]",NOUN CCONJ NOUN ADP NOUN PUNCT DET ADJ NOUN ADP NOUN SPACE NOUN CCONJ NOUN ADP NOUN SPACE ADJ NUM PUNCT DET ADJ NOUN SPACE DET ADJ NOUN PUNCT PRON AUX DET NOUN ADP NOUN ADP NOUN NOUN ADP PROPN ADP NOUN PUNCT VERB ADP NUM DET NOUN ADP NOUN NUM NUM NUM ADP PROPN CCONJ NOUN NUM NUM NUM ADP NOUN PUNCT ADJ NOUN ADP NUM AUX NOUN NUM NUM NUM ADP PROPN CCONJ NOUN NUM NUM NUM ADP NOUN PUNCT ADP ADV VERB DET ADJ NOUN ADP NUM DET ADJ VERB ADP NOUN ADP NOUN NUM NUM NUM ADP NOUN NUM NUM NUM ADP NUM SPACE NOUN ADP DET ADJ NOUN ADP PROPN ADP PROPN PUNCT ADJ ADJ NOUN SPACE NOUN ADP DET ADJ NOUN VERB ADP NOUN ADJ NOUN NUM SCONJ ADJ ADJ NOUN AUX VERB DET NOUN ADP NOUN NUM NUM ADP NUM ADP NOUN PUNCT NOUN NOUN NUM ADJ NOUN NOUN,0.057432432432432436,0.430703218116805,156,888,0.3333333333333333,0.08178980866419672
"[De, nevnte, artiklene, i, FN-sporet, og, i, WHO, står, oppført, som, norske, innspill, til, forhandlingspunktene, ., Disse, er, som, følger, :, -, Til, artikkelen, om, forbudet, mot, kjernevåpen, ,, jf., omtale, over, ., -, Til, art, ., XII, og, XVIII, i, traktaten, om, forbudet, mot, kjernevåpen, ,, jf., omtale, over, ., -, Til, innledningen, til, denne, artikkelen, ,, jf., omtale, over, ., -, Til, art, ., III, om, gjennomføring, av, traktaten, ,, jf., omtale, over, ., -, Til, art, ., IV, om, ikrafttredelse, ,, jf., omtale, over, ., -, Til, art, ., XIII, om, ratifikasjons-, og, tiltredelsesinstrumenter, til, traktaten, og, om, ikrafttredelse, ,, jf., omtale, over, ., Norge, avstår, :, -, Til, artikkel, IV, om, ikrafttredelse, ,, jf., omtale, over, ., -, Til, artikkel, XIII, om, ratifikasjons-, og, tiltredelsesinstrumenter, til, traktaten, og, om, ikrafttredelse, ,, jf., omtale, overfor, ., Regjeringen, fremmet, følgende, erklæring, til, statspartsmøtet, i, mars, 2017, :, «, Norge, er, en, sterk, støttespiller, for, verifikasjon, av, forbudet, mot, kjernevåp]",DET VERB NOUN ADP NOUN CCONJ ADP PROPN VERB VERB ADP ADJ NOUN ADP NOUN PUNCT PRON AUX ADP VERB PUNCT PUNCT ADP NOUN ADP NOUN ADP NOUN PUNCT VERB NOUN ADP PUNCT PUNCT ADP NOUN PUNCT PROPN CCONJ NUM ADP NOUN ADP NOUN ADP NOUN PUNCT VERB NOUN ADP PUNCT PUNCT ADP NOUN ADP DET NOUN PUNCT VERB NOUN ADP PUNCT PUNCT ADP NOUN PUNCT NUM ADP NOUN ADP NOUN PUNCT VERB NOUN ADP PUNCT PUNCT ADP NOUN PUNCT NUM ADP NOUN PUNCT VERB NOUN ADP PUNCT PUNCT ADP NOUN PUNCT NUM ADP NOUN CCONJ NOUN ADP NOUN CCONJ ADP NOUN PUNCT VERB NOUN ADP PUNCT PROPN VERB PUNCT PUNCT ADP NOUN PROPN ADP NOUN PUNCT VERB NOUN ADP PUNCT PUNCT ADP NOUN NUM ADP NOUN CCONJ NOUN ADP NOUN CCONJ ADP NOUN PUNCT VERB NOUN ADP PUNCT NOUN VERB ADJ NOUN ADP NOUN ADP NOUN NUM PUNCT PUNCT PROPN AUX DET ADJ NOUN ADP NOUN ADP NOUN ADP PROPN,0.049493813273340834,0.4036904761904735,161,889,0.35403726708074534,0.12861675220284796
"[Bør, minimum, være, 10, av, de, 30, timene, være, på, det, obligatoriske, trinnvurderingstimer, ?, Må, noen, av, timene, gjennomføres, på, NAF-bane, ?, 
, Nei, ,, det, er, ingen, krav, til, gjennomførelse, på, NAF-banene, ., Det, må, allikevel, fremkomme, i, den, totale, oversikten, for, opplæringen, hvor, mange, timer, det, er, på, NAF-bane, ., 
, Teoretiske, og, praktiske, ferdigheter, må, utvikles, i, en, integrert, prosess, ,, der, både, den, teoretiske, og, praktiske, opplæringen, støtter, hverandre, underveis, i, opplæringen, ., 
, Det, er, ikke, krav, om, at, trinnet, skal, gjennomføres, på, bane, ., Imidlertid, kan, det, være, nødvendig, eller, hensiktsmessig, å, benytte, bane, eller, annen, øvingsarena, for, å, demonstrere, øvelsen, ., Særlig, gjelder, dette, øvelsene, ved, landevegskjøring, ., I, slike, tilfeller, kan, det, være, nyttig, å, vise, øvelsen, på, banen, i, forkant, av, at, den, gjennomføres, på, landevegen, ., 
, Kandidaten, har, ansvar, for, å, være, i, egnet, tilstand, til, å, gjennomføre, kurset, ., Opplæringen, gjennomføres, trinnvis, ,, og, nye, kunnskaper, og, ferdigheter, skal, praktiseres, og, automatiseres, i, et, nytt, trinn, ., Det, vil, si, at]",AUX NOUN AUX NUM ADP DET NUM NOUN AUX ADP DET ADJ NOUN PUNCT AUX DET ADP NOUN VERB ADP NOUN PUNCT SPACE INTJ PUNCT PRON VERB DET NOUN ADP NOUN ADP NOUN PUNCT PRON AUX ADV VERB ADP DET ADJ NOUN ADP NOUN ADV ADJ NOUN PRON VERB SCONJ NOUN PUNCT SPACE ADJ CCONJ ADJ NOUN AUX VERB ADP DET ADJ NOUN PUNCT SCONJ CCONJ DET ADJ CCONJ ADJ NOUN VERB PRON ADP ADP NOUN PUNCT SPACE PRON VERB PART NOUN SCONJ SCONJ NOUN AUX VERB ADP NOUN PUNCT ADV AUX PRON AUX ADJ CCONJ ADJ PART VERB NOUN CCONJ DET NOUN SCONJ PART VERB NOUN PUNCT ADJ VERB PRON NOUN ADP NOUN PUNCT ADP DET NOUN AUX PRON AUX ADJ PART VERB NOUN ADP NOUN ADP NOUN SCONJ SCONJ PRON VERB ADP NOUN PUNCT SPACE NOUN VERB NOUN SCONJ PART AUX ADP ADJ NOUN SCONJ PART VERB NOUN PUNCT NOUN VERB ADV PUNCT CCONJ ADJ NOUN CCONJ NOUN AUX VERB CCONJ VERB ADP DET ADJ NOUN PUNCT PRON AUX VERB SCONJ,0.043912175648702596,0.40738719832108866,173,1002,0.5144508670520231,0.2545819992693951
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, ., Den, omhandler, det, grunnleggende, prinsippet, om, ikke-diskriminering, i, Fellesskapet, for, så, vidt, angår, nasjonalitet, ,, og, presiserer, det, diskrimineringsforbudet, Rådet, allerede, har, vedtatt, for, statsstøtte, med, hensyn, til, varer, fra, tredjeland, (, ved, vedtak, av, 15., juni, og, 16., desember, 1975, ), ., Artikkel, 4, inneholder, en, bestemmelse, om, at, Fellesskapet, skal, treffe, beslutninger, som, er, nødvendige, for, å, iverksette, tiltak, som, er, nødvendige, for, å, sikre, en, effektiv, gjennomføring, av, traktatens, regler, til, fordel, for, tredjeland, som, ikke, gir, tilsvarende, behandling, ., Artikkel, 5, fastsetter, at, Kommisjonen, med, forbehold, for, bestemmelsene, i, artikkel, 31, skal, konsultere, og, om, nødvendig, rådføre, seg, med, en, rådgivende, komité, bestående, av, representanter, for, medlemsstatene, om, de, tiltak, som, iverksettes, i, henhold, til, artikkel, 2, og, 4, ,, og, at, den, skal, fremlegge, en, årlig, rapport, for, Rådet, om, gjennomføringen, av, disse, tiltak, og, om, de, vanskeligheter, man, har, møtt, ., Den, skal, også, på, lignende, måte, konsultere, og, rådføre, seg, med, nevnte, Rådgivende, Komité, om, forslag, til, nye]",NOUN NUM VERB ADP PROPN NOUN PUNCT PRON VERB DET ADJ NOUN ADP NOUN ADP NOUN ADP ADV ADJ VERB NOUN PUNCT CCONJ VERB DET NOUN NOUN ADV AUX VERB ADP NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN NUM PUNCT PUNCT NOUN NUM VERB DET NOUN SCONJ SCONJ NOUN AUX VERB NOUN PRON AUX ADJ SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADP NOUN PRON PART VERB ADJ NOUN PUNCT NOUN NUM VERB SCONJ PROPN ADP NOUN ADP NOUN ADP NOUN NUM AUX VERB CCONJ ADP ADJ VERB PRON ADP DET ADJ NOUN ADJ ADP NOUN ADP NOUN ADP DET NOUN PRON VERB ADP NOUN ADP NOUN NUM CCONJ NUM PUNCT CCONJ SCONJ PRON AUX VERB DET ADJ NOUN ADP PROPN ADP NOUN ADP DET NOUN CCONJ ADP DET NOUN PRON AUX VERB PUNCT PRON AUX ADV ADP ADJ NOUN NOUN CCONJ VERB PRON ADP ADJ PROPN PROPN ADP NOUN ADP ADJ,0.04007455731593663,0.3728515625000008,172,1073,0.48255813953488375,0.16267590337652074
