prompt,generated_text,language
Men det var,"Men det var noe annet, en dyp avgrunn, som skremte meg.
pene. Her bodde menneskene, tenkte jeg og lente meg tilbake i setet. De var kledd i hvite, lange drakter og hadde mørke panner. De gikk med lette skritt gjennom landskapet, bar på store kurver med mat. Noen av dem spilte og sang, andre så ned i bakken. De smilte. Eller smilte de egentlig ikke? Jeg stirret på de bleke ansiktene. Så var den der, avgrunnen jeg hadde følt tidligere. De var som statuer, tenkte jeg, der de spaserte forbi. Kanskje de bare var laget av stein? De beveget seg så stille, som om hvert skritt var et løft. Det så ut som et tablå hentet fra en gresk myte. Jeg hadde aldri følt meg så fremmed. Hva slags mennesker var dette? Hvordan så de ut på innsiden, der ingen andre kunne se? Jeg tenkte på mennene fra gravfeltet, og på de andre historiene jeg hadde hørt. De som",nno
Det var ein,"Det var ein gong to ungar som budde i same hus. Ho heitte Ane, og han heitte Åne. Ein dag sa guten Åne at han ville ut og fise. – Vent til eg er ferdig med å ete opp brødskiva mi, sa Åne. Då tok Åne eit tygg og så fekk Åne så vondt i magen. – Eg har fis i magen, sa Ane. Då sprang Åne, og han kom aldri att.
I dag har Sondre og Sofie navnedag. Sondre er norrønt, opprinnelig fra salr («hus»). Andre stavelserlys(skinnende) eller opprinnelig det samme som Sverre. Kan også bety fossende. Sofie er en variant av Sofie. Navnene er kjent her i landet fra 1300-årene.
I dag fyller tidl. skiløper Ingrid Wigernæs 86 år, tidl. departementsråd Brit Denstad 80 år, skuespiller og regissør Elsa Kvamme 69 år, forfatter Jan Fogt 68 år, mus",nno
Det var så,"Det var så mye å hente ut av naturen at Asbjørnsen og Moe måtte gi slipp på huldra og bergtrollet, og la dem få være i fred - men hun ble ikke borte for alltid.
■ Når trollene blir store, er det som med andre uhyrer; De dør jo ikke, de visner bort og krymper slik at de kan passe inn i sin naturlige rolle i naturens store kretsløp. I eventyrene derimot, er det den for tellende tradisjonen som har be grenset størrelsen på trollene; de har vært troll på størrelse med deg og meg - kanskje også litt større. Når vi her på berget begynner å tro at det finnes andre vesener i na turen enn oss seiv, blir de natur lig nok større. Så til de grader at de begynner å bli skumle og er dermed i overhengende fare for å miste en helt grunnleggende, menneskelig forestilling.",nno
Ja det var,"Ja det var en gang en by som ble oversvømt av et voldsomt regnvær, og byens innbyggere led så ubeskrivelig som bare en by kan lide ved en så katastrofal situasjon. Når de så endelig fikk komme tilbake ut av sine boliger fikk de se at hele deres by var jevnet med jorden.
Forvandlingsnummer 1 så dagens lys, og en hel by forvandlet seg til en skog, og menneskene ble forvandlet til trær.
Byen ble til en skog for i regnværet så var det ingen til å vanne den. Da de fleste menneskene var borte, ble det ikke engang nødvendig å vanne den. Den tørstet. Når den tørket ut ble den et fjell. Der den før hadde vært en by var det nå fjell. Det var dette som til den dagen byen ble til en skog hadde vært byens navn.
I århundrene som gikk ble denne byen et fjell. Så lenge byen ikke hadde noen innbyggere virket ikke dette. Fjellformasjonen forble et fjell, og navnet byen hadde før den ble forvandlet forble",nno
Ja det er,"Ja det er det absolutt. Som man ser av bildet under her, er det en veldig fin trening der barna leker og har det gøy og det eneste man trenger er litt motivasjon for å komme seg over dørstokken. Vi har hatt med barn som er så små på 6-7 måneder på løpet som ingen ting. Det er så godt med trening der barna leker, springer og lærer fra de er veldig små. Det er viktig å starte med fysisk aktivitet tidlig for å få positive opplevelser med trening og fysisk aktivitet. En flott og morsom løptrening for hele familien. Alle er vinnere. For informasjon og påmelding til Springtimes løptrening, så kan du kikke her. De har også et treningstilbud der du får veiledning av en personlig trener til kun 398kr i måneden. Et annet eksempel på et lignende tilbud finner vi i Oslo. Der har de Oslo løpetrening, der du får tilgang på et stort lukket løpsnettverk med masse muligheter. I tillegg får du oppfølging av en personlig trener i et program som gjør at",nno
Så var det,"Så var det duket for premiere på revyen ""Splitter pine"", med avgangene fra RVS i salen.
Med godt over 200 personer tilstede under premieren torsdag kveld, var det et meget livlig publikum som gjorde stemningen høy under årets RVS revy ""Splitter pine"".
Gjengen har jobbet hardt siden jul med å stable et ferdig produkt på beina.
Årets revy bød på en rekke gode prestasjoner gjennom sketsjer, sangnumre og små skuespill. Dette gjorde salen til en festsal under premieren.
Fredrik Svaasand, som er revysjef for RVS-Revyen 2011, forteller at revyen er et viktig ledd i å gi avgangsstudentene en god avslutning. Han er fornøyd med det han har å jobbe med for tiden.
– Alle som er med er veldig flinke. Vi har jobbet en del med å få inn gode skuespillere, og også med overgangene fra sang til sketsj, forteller Svaasand.
I alt er",nno
Det var som,"Det var som vanlig mange skuelystne som tok turen til Vollumfjøset og den gamle tømmerlåven i Vengarda for å se utstillingen til de lokale kunstnerne. Her kan du se bilder fra åpningen.
Kari Hafseng åpnet salgsutstillingen med kunstneriske innslag, og etterpå var det mulig for alle som ville å ta turen innom det sjarmerende Vollumfjøset.
Det er tredje gang de arrangerer kunstutstilling med lokale kunstnere på Vollumfjøset, og responsen blir bare bedre og bedre for hvert år. Utstillingene har tidligere blitt godt mottatt av publikum – og det er ingen grunn til at årets utstilling skal være annerledes.
For de som ikke rakk åpningen. er det fortsatt mulig å sikre seg noen godbiter av den flotte kunstnerstaben som består av mange erfarne og anerkjente kunstnere fra hele dalføret. Utstillingen er åpen hver dag fra 23. mai til 9. juni.
Fjøsfestivalen kan i år by på et stjernespekket program, med blant annet kjente",nno
Det er ikkje,"Det er ikkje første gong dei to har vore ut sett for frekke tjuveri på Søreide. Tidlegare har dei mellom anna måtte skifte eit vind auge for å kome seg inn. No har paret kjøpt inn ei alarm. - Vi er glade for at vi har den alarmen no, men eg vil tru at tjuvane også har alarm i heimen, seier han. No håpar han det blir ein slutt på å kome seg inn i husa til folk. - Dette er veldig ubehageleg. Vi vil verte skåna for slike problem heretter, seier han. Dei to har meldt saka til politiet, men har fått beskjed om at dette er ei sak dei ikkje har ressursar til å prioritere. . - Det er ikkje mykje dei kan gjere, men vi håpar at dette vil verte hindra i framtida. Søreide ser på tjuvane som innfødde sørei dingar. Han har sjølv jobba i politiet i 40 år, men aldri opplevd tjuveri som dette. No er han",nno
Kor mange prosent,"Kor mange prosent vatn er det i knekkebrød, når vatn står for 90 prosent av vekta?
som har ein storleik som liknar vekta i knekkebrød, får vi eit bilde av kva som skjer når dei kjem i maten. Testen viser at det ikkje går an å samanlikne mengda vatn i desse prøvene med mengda vatn i eit knkekkebrød.
Forklaringane har berre eitt rett svar, nemleg at talet i prosent ikkje er det same som talet i vekt. Det kan vere nyttig å samanlikne mengda vatn i desse prøvene med gram på eit kjøkenvekt. I prosent er det ikkje ein like stor verdi som i vekt. Kva er samanhengen mellom vekta til ein gjenstand og kor mykje vatn han inneheld?
Når det står at vatn står for 90 prosent av vekta til eit knekkebrød, betyr det at 90 prosent av vekta til knekkebrødet står for 90 prosent av vekta til vatn, og",nno
Det er veldig,"Det er veldig gledelig at den nye veien blir gratis for elbiler og nullutslippsbiler. Det er også svært positivt at det skal bygges ut et sammenhengende nett av hurtigladere langs hovedfartsårene i Norge. Dette vil sørge for et langt bedre ladetilbud til vanlige folk, og til at tungtransporten kan gå på strøm. I tillegg setter det en helt ny standard for grønn og framtidsrettet samferdselspolitikk i Norge, så det går an å være enda gladere over at det kommer på plass. Det vil føre til store utslippskutt i transportsektoren. Samtidig er det verdt å nevne at det vil kreve en stor innsats fra flere departement, samt fylkeskommuner og kommuner om man skal være sikker på at man følger opp og sørger for at man også faktisk når klimamålene. Det er også verdt å nevne at man med dette kan bruke momsfritaket og avgiftsfordeler på elbil til å finansiere utbygging av ladeinfrastruktur for elbiler. I tillegg er det verdt å nevne at de som allerede har kjøpt",nno
