tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, er, blitt, forsinket, ?, spurte, hun, med, et, lite, kast, med, hodet, ., 
, København, ,, og, derfrå, ., ., ., Ja, takk, ,, la, oss, gjøre, det, ,, sa, hun, fort, ., Vi, får, håpe, at, han, kommer, så, tidlig, at, han, ikke, behøver, å, ta, med, seg, noen, beskjed, ., Hun, sa, det, nærmest, for, å, dempe, sin, egen, skuffelse, ., 
, De, ble, sittende, tause, på, benken, til, en, buss, kom, og, tømte, køen, ., Så, snudde, hun, hodet, og, så, ut, på, torvet, igjen, ., Hun, følte, at, han, så, på, henne, ,, og, hun, var, sikker, på, at, han, tenkte, på, hva, i, all, verden, han, skulle, si, i, tilfelle, han, skulle, møte, ham, som, han, kom, ut, fra, frisøren, ., 
, Det, nytter, ikke, stort, om, vi, gir, oss, til, å, lete, etter, den, mannen, ?, sa, hun, litt, irritert, ., Du, har, vel, ikke, noe, håp, om, å, finne, ham, igjen, ?, 
, i, morgen, ., Han, lo, og, hun, så, forbauset, på, ham, ., Ja, ,, det, er, nok, så, ,, men, jeg, tror, nok, ikke, at, det, blir, noen, særlig, hyggelig, natt, for, deg, ., Nei, ,, det, er, sikkert, ,, svarte, hun]",DET NOUN ADP NOUN PRON AUX AUX VERB PUNCT VERB PRON ADP DET ADJ NOUN ADP NOUN PUNCT SPACE PROPN PUNCT CCONJ PROPN PUNCT PUNCT PUNCT INTJ NOUN PUNCT VERB PRON VERB PRON PUNCT VERB PRON ADJ PUNCT PRON AUX VERB SCONJ PRON VERB ADV ADJ SCONJ PRON PART VERB PART VERB ADP PRON DET NOUN PUNCT PRON VERB PRON ADJ SCONJ PART VERB PRON DET NOUN PUNCT SPACE PRON VERB ADJ ADJ ADP NOUN ADP DET NOUN VERB CCONJ VERB NOUN PUNCT ADV VERB PRON NOUN CCONJ VERB ADP ADP NOUN ADV PUNCT PRON VERB SCONJ PRON VERB ADP PRON PUNCT CCONJ PRON AUX ADJ SCONJ SCONJ PRON VERB ADP PRON ADP DET NOUN PRON AUX VERB ADP NOUN PRON AUX VERB PRON PRON PRON VERB ADP ADP NOUN PUNCT SPACE PRON VERB PART ADJ SCONJ PRON VERB PRON SCONJ PART VERB ADP DET NOUN PUNCT VERB PRON ADJ ADJ PUNCT PRON VERB ADV PART DET NOUN SCONJ PART VERB PRON ADV PUNCT SPACE ADP NOUN PUNCT PRON VERB CCONJ PRON VERB ADJ ADP PRON PUNCT INTJ PUNCT PRON AUX ADV ADV PUNCT CCONJ PRON VERB ADV PART SCONJ PRON VERB DET ADJ ADJ NOUN ADP PRON PUNCT INTJ PUNCT PRON AUX ADJ PUNCT VERB PRON,0.04220398593200469,0.38937810945273554,207,853,0.6376811594202898,0.3809592484276987
"[Men, så, banket, jomfru, Hansen, på, døra, ., Hun, var, datter, av, en, grosserer, i, Kristiania, ,, liten, og, sirlig, og, iført, en, himmelblå, silkekjole, ,, en, hatt, på, snei, og, med, en, blomsterbukett, i, hånda, ., Hun, hadde, rømt, fra, sin, mann, og, var, alene, i, verden, ., 
, –, Vil, du, bli, med, ut, en, tur, ?, spurte, hun, Alvilde, og, fikk, den, andre, til, å, bli, med, seg, ut, på, gata, ., Hun, følte, seg, uverdig, og, usikker, på, seg, selv, i, selskap, med, den, nye, jomfru, Hansen, ., 
, –, Jeg, skulle, så, gjerne, hatt, en, hatt, ,, jeg, også, ,, men, jeg, har, ikke, mulighet, til, å, betale, mer, enn, 10, øre, ,, hvisket, hun, før, de, gikk, inn, i, en, hattebutikk, hvor, Alvilde, visste, at, det, kostet, fem, ganger, så, mye, som, før, krigen, ., Der, kostet, en, hatt, 40, øre, ., Heldigvis, hadde, Alvilde, en, tikrone, som, gikk, rett, til, hattekjøp, ., For, denne, kjøpte, hun, en, flettet, stråhatt, med, blå, bånd, og, en, blåprikkete, parasoll, som]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT PRON AUX NOUN ADP DET NOUN ADP PROPN PUNCT ADJ CCONJ ADJ CCONJ ADJ DET ADJ NOUN PUNCT DET NOUN ADP NOUN CCONJ ADP DET NOUN ADP NOUN PUNCT PRON AUX VERB ADP PRON NOUN CCONJ AUX ADV ADP NOUN PUNCT SPACE PUNCT AUX PRON VERB ADP ADP DET NOUN PUNCT VERB PRON PROPN CCONJ VERB DET ADJ SCONJ PART VERB ADP PRON ADP ADP NOUN PUNCT PRON VERB PRON ADJ CCONJ ADJ ADP PRON DET ADP NOUN ADP DET ADJ NOUN PROPN PUNCT SPACE PUNCT PRON AUX ADV ADV VERB DET NOUN PUNCT PRON ADV PUNCT CCONJ PRON VERB PART NOUN SCONJ PART VERB ADJ ADP NUM NOUN PUNCT VERB PRON SCONJ PRON VERB ADP ADP DET NOUN ADV PROPN VERB SCONJ PRON VERB NUM NOUN ADV ADJ ADP ADP NOUN PUNCT ADV VERB DET VERB NUM NOUN PUNCT ADV VERB PROPN DET NOUN PRON VERB ADJ ADP NOUN PUNCT ADP DET VERB PRON DET ADJ NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PRON,0.05,0.3954460719041278,174,800,0.5919540229885057,0.2865010040320883
"[Det, synspunkt, at, miljøskifte, og, et, godt, utdanningssystem, gir, den, beste, garanti, for, å, komme, seg, frem, på, den, sosiale, rangstigen, ,, er, fortsatt, et, kjernepunkt, for, arbeiderbevegelsen, i, alle, industri, aliserte, land, ., En, studie, ved, Harward, University, viser, at, de, store, forskjellene, mellom, skoler, ofte, ikke, skyldes, forskjeller, i, evner, hos, elevene, men, deres, sosioøkonomiske, bakgrunn, og, hvordan, foreldrene, engasjerer, seg, i, barnas, skole, ., Foreldrenes, sosiale, status, kan, bety, så, mye, som, tretti, prosent, mer, enn, elevenes, evner, i, en, enkelt, klasse, ., 
, vanskeligst, å, finne, kvalifisert, ar, beidskraft, ., En, god, utdannelse, gjør, det, i, det, hele, tatt, lettere, å, komme, frem, i, arbeidslivet, ., Arbeiderbevegelsens, syn, på, ut, dannelsessystemet, som, en, faktor, som, former, et, menneskes, sosiale, status, ,, synes, å, gjenspeile, en, generell, teori, om, hvordan, ulikhet, i, tilgang, på, ressurser, avgjør, hvor, enkeltpersoner, havner, i, samfunnet, ., Dette, syn, viser, seg, ofte, også, i, en, uvilje, mot, å, støtte, tiltak, for, utdannelse, som, ikke, direkte, hjelper, de, fattige, ., I, land, som, Canada, og, Sør-, Afrika, finnes, det, eksempler, på, en, sterk, og, fremgang]",DET NOUN SCONJ NOUN CCONJ DET ADJ NOUN VERB DET ADJ NOUN SCONJ PART VERB PRON ADP ADP DET ADJ NOUN PUNCT AUX ADV DET NOUN ADP NOUN ADP DET NOUN VERB NOUN PUNCT DET NOUN ADP PROPN PROPN VERB SCONJ DET ADJ NOUN ADP NOUN ADJ PART VERB NOUN ADP NOUN ADP NOUN CCONJ PRON ADJ NOUN CCONJ ADV NOUN VERB PRON ADP NOUN NOUN PUNCT NOUN ADJ NOUN AUX VERB ADV ADJ ADP NUM NOUN ADJ ADP NOUN NOUN ADP DET ADJ NOUN PUNCT SPACE ADJ PART VERB ADJ NOUN NOUN PUNCT DET ADJ NOUN VERB PRON ADP DET ADJ VERB ADJ PART VERB ADP ADP NOUN PUNCT NOUN NOUN ADP ADP NOUN SCONJ DET NOUN PRON NOUN DET NOUN ADJ NOUN PUNCT VERB PART VERB DET ADJ NOUN ADP ADV NOUN ADP NOUN ADP NOUN VERB ADV NOUN VERB ADP NOUN PUNCT DET NOUN VERB PRON ADJ ADV ADP DET NOUN SCONJ PART VERB NOUN ADP NOUN PRON PART ADJ VERB DET ADJ PUNCT ADP NOUN ADP PROPN CCONJ NOUN PROPN VERB PRON NOUN ADP DET ADJ CCONJ NOUN,0.035348837209302326,0.35713450292397625,182,1075,0.532967032967033,0.2006685652093017
"[Nei, sa, Beatrice, Bare, gå, du, også, ropte, han, og, tok, opp, avi, sene, sine, å, gikk, ut, døra, ., Det, var, ikke, mulig, å, åpne, vinduene, på, grunn, av, all, snøen, som, hadde, samlet, seg, på, bakken, å, låste, alle, dørene, så, jeg, satt, oppe, til, rundt, kl., 5, da, han, kom, hjem, å, fortalte, meg, at, jeg, kunne, gå, så, lenge, jeg, ville, ., Jeg, løp, ut, av, leiligheten, å, inn, i, snøstormen, med, alle, mine, eiendeler, ien, bag, å, tenkte, at, jeg, kunne, ikke, gjøre, noe, galt, ., Etter, 3, timer, fant, jeg, ut, at, jeg, hadde, blitt, forfulgt, av, en, mann, i, en, hvit, varebil, han, hadde, kjørt, bak, meg, en, stund, for, å, passe, på, at, jeg, oppførte, meg, riktig, å, han, hadde, parkert, rett, over, veien, fra, der, jeg, bodde, ., Ut, fra, det, som, stod, i, avisene, var, jeg, en, terrorist, så, alt, jeg, gjorde, ville, bety, døden, så, jeg, bestemte, meg, for, at, tiden, var, inne, å, at, jeg, ikke, hadde, noe, annet, valg, en, å, utføre, selvmordsangrepet, ., Så, jeg, startet, å, gå, mot, varebilen, men, før]",INTJ VERB PROPN ADV VERB PRON ADV VERB PRON CCONJ VERB ADP NOUN NOUN PRON PART VERB ADP NOUN PUNCT PRON AUX PART ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON AUX VERB PRON ADP NOUN PART VERB DET NOUN SCONJ PRON VERB ADP ADP ADP NOUN NUM SCONJ PRON VERB SCONJ PART VERB PRON SCONJ PRON AUX VERB ADV ADJ PRON VERB PUNCT PRON VERB ADP ADP NOUN PART ADP ADP NOUN ADP DET PRON NOUN DET NOUN PART VERB SCONJ PRON AUX PART VERB DET ADJ PUNCT ADP NUM NOUN VERB PRON ADP SCONJ PRON AUX AUX VERB ADP DET NOUN ADP DET ADJ NOUN PRON AUX VERB ADP PRON DET NOUN SCONJ PART VERB SCONJ SCONJ PRON VERB PRON ADJ PART PRON AUX VERB ADJ ADP NOUN SCONJ SCONJ PRON VERB PUNCT ADP ADP PRON PRON VERB ADP NOUN AUX PRON DET NOUN SCONJ PRON PRON VERB AUX VERB NOUN SCONJ PRON VERB PRON SCONJ SCONJ NOUN VERB ADP PART SCONJ PRON PART VERB DET DET NOUN DET PART VERB NOUN PUNCT CCONJ PRON VERB PART VERB ADP NOUN CCONJ ADP,0.04074505238649592,0.36422222222222356,186,859,0.7096774193548387,0.23942946424749337
"[For, 2, av, elevene, har, vi, tilbud, om, hybel, ., Henv, ., tlf., 077-74, 359, etter, kl., 1700., 
, RØRVIK, VIDEREGÅENDE, SKOLE, Kontorfullmektig, I, (, oppsielig, ), Skolen, er, ny, og, moderne, og, har, for, tida, ca., 160, elever, ., Den, tilsatte, må, kunne, arbeide, selvstendig, ,, er, faring, i, kontoradministrasjon, er, ønske, lig, ., Administrasjonsmålet, er, nynorsk, ., Det, er, 6, måneders, prøvetid, for, stil, linga, ., Lønnsklasse, 11—13, etter, utdan, ning, og, praksis, ., Søknad, sendes, skolen, innen, 8., november, ., Skolestaden, er, Rørvik, i, Vikna, kommu, ne, ., 
, Nærare, opplysninger, om, stillingen, kan, ein, få, ved, å, ringja, (, 077, ), 70, 333, eller, (, 076, ), 73, 066., Studierektor, ., (, oppseieleg, ), 
, ledig, frå, 1., januar, 1981, og, ut, skoleåret, 80/81., 
, I, fagkrinsen, er, tysk, og, samfunnsfag, ., 
, Lønn, og, arbeidsvilkår, i, samsvar, med, gjeldande, lovar, ,, reglement, og, in, struksar, ., Skolen, er, behjelpelig, med, å, skaffe, hus]",ADP NUM ADP NOUN VERB PRON NOUN ADP NOUN PUNCT INTJ PUNCT NOUN NUM NUM ADP NOUN NUM SPACE NOUN PROPN PROPN ADJ ADP PUNCT ADJ PUNCT NOUN AUX ADJ CCONJ ADJ CCONJ VERB ADP NOUN ADV NUM NOUN PUNCT DET ADJ AUX AUX VERB ADJ PUNCT AUX NOUN ADP NOUN AUX NOUN NOUN PUNCT NOUN AUX NOUN PUNCT PRON AUX NUM NOUN NOUN ADP NOUN NOUN PUNCT ADJ NOUN ADP ADJ NOUN CCONJ NOUN PUNCT NOUN VERB NOUN ADP ADJ NOUN PUNCT NOUN AUX PROPN ADP PROPN NOUN NOUN PUNCT SPACE PROPN NOUN ADP NOUN AUX X VERB SCONJ INTJ PROPN PUNCT NUM PUNCT NUM NUM CCONJ PUNCT NUM PUNCT NUM PUNCT NOUN PUNCT PUNCT NOUN PUNCT SPACE ADJ NUM ADJ NOUN NUM CCONJ ADP NOUN PROPN SPACE ADP NOUN AUX ADJ CCONJ NOUN PUNCT SPACE NOUN CCONJ NOUN ADP NOUN ADP X X PUNCT NOUN CCONJ X X PUNCT NOUN AUX ADJ SCONJ PART VERB NOUN,0.07453416149068323,0.43783068783068774,158,805,0.3227848101265823,0.1188654083560716
"[Utover, høsten, 1987, vil, det, bli, sat, set, på, en, rekke, tiltak, ,, som, blant, an, net, skal, gi, større, muligheter, til, å, få, fagopplæring, i, bedriftene, ., En, ar, beidsgruppe, ledet, av, utdanningsdi, rektør, Giske, Artun, arbeider, nå, med, å, lage, en, fagplan, for, opplæringsring, er, ., Her, satses, det, på, at, lærlingen, skal, være, sikret, to, år, i, opplæring, i, en, fa, brikk, ,, og, dessuten, to, år, med, opplæ, ring, på, skolen, -, som, en, avsluttende, fagprøve, ., Etter, det, Nationen, erfarer, ,, kan, ordningen, bli, iverksatt, fra, og, med, høsten, 1988., Arbeidsgruppa, har, også, vurdert, mulighe, ten, av, å, øke, lærlingtilskuddet, for, å, øke, interessen, for, å, få, bedriftsopplæ, ring, ,, særlig, for, unge, som, i, utgangs, punktet, står, svakt, i, konkurransen, om, jobbene, ., Det, har, vært, kontakt, mellom, Kirke-, og, utdanningsdepartementet, og, partene, i, arbeidslivet, ,, som, nå, vil, vurdere, et, slikt, forslag, .]",ADP NOUN NUM AUX PRON VERB PROPN X ADP DET NOUN NOUN PUNCT PRON ADP ADV PROPN AUX VERB ADJ NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT DET PROPN PROPN VERB ADP NOUN NOUN PROPN PROPN VERB ADV SCONJ PART VERB DET NOUN ADP NOUN VERB PUNCT ADV VERB PRON SCONJ SCONJ NOUN AUX AUX VERB NUM NOUN ADP NOUN ADP DET ADJ NOUN PUNCT CCONJ ADV NUM NOUN ADP PROPN NOUN ADP NOUN PUNCT SCONJ DET ADJ NOUN PUNCT ADP PRON PROPN VERB PUNCT AUX NOUN AUX VERB ADP CCONJ ADP NOUN NUM NOUN AUX ADV VERB PROPN PROPN SCONJ PART VERB NOUN SCONJ PART VERB NOUN SCONJ PART VERB ADJ NOUN PUNCT ADJ ADP ADJ PRON ADP NOUN NOUN VERB ADJ ADP NOUN ADP NOUN PUNCT PRON AUX AUX NOUN ADP PROPN CCONJ NOUN CCONJ NOUN ADP NOUN PUNCT PRON ADV AUX VERB DET DET NOUN PUNCT,0.04814814814814815,0.3855190538764781,150,810,0.52,0.2132148950460435
"[Personell, og, organisering, av, sekretariatet, varierer, mye, mellom, ulike, prosjekter, ,, avhengig, av, behovene, for, støtte, til, saksforberedelse, ,, prosjektkoordinering, ,, oppfølging, og, rapportering, ., Dette, er, et, felt, som, bør, vurderes, nøye, forut, for, prosjektoppstart, ,, slik, at, man, bygger, opp, sekretariatet, på, en, hensiktsmessig, måte, fra, starten, av, ., Her, er, et, eksempel, på, organiseringen, av, prosjektsekretariatet, i, et, prosjekt, i, EUs, rammeprogram, for, forskning, og, teknologisk, utvikling, ., Denne, delen, av, sekretariatet, arbeider, med, å, utvikle, og, sikre, prosjektets, faglige, profil, og, relevans, ,, både, i, forhold, til, å, bidra, med, gode, målformuleringer, ,, god, strukturering, og, godt, innhold, ., Her, er, et, sammendrag, av, en, prosjektbeskrivelse, utarbeidet, av, prosjektsekretariatet, for, å, tydeliggjøre, de, kravene, som, finnes, til, en, beskrivelse, ., De, kravene, og, elementene, som, er, listet, her, finnes, det, flere, av, i, beskrivelser, som, kommer, som, del, av, vurderingen, av, kvalitet, i, søknader, ., Noen, av, elementene, er, obligatoriske, ,, noen, er, anbefalt, ,, og, flere, elementer, er, ikke, inkludert, der, hvor, de, anses, som, relevante, i, forhold, til, det, gitte, prosjektets, omfang, ,]",NOUN CCONJ NOUN ADP NOUN VERB ADJ ADP ADJ NOUN PUNCT ADJ ADP NOUN ADP NOUN ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADJ ADJ ADP NOUN PUNCT ADV SCONJ PRON VERB ADP NOUN ADP DET ADJ NOUN ADP NOUN ADP PUNCT ADV AUX DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP PROPN NOUN ADP NOUN CCONJ ADJ NOUN PUNCT DET NOUN ADP NOUN VERB SCONJ PART VERB CCONJ ADJ NOUN ADJ NOUN CCONJ NOUN PUNCT CCONJ ADP NOUN SCONJ PART VERB ADP ADJ NOUN PUNCT ADJ NOUN CCONJ ADJ NOUN PUNCT ADV VERB DET NOUN ADP DET NOUN VERB ADP NOUN SCONJ PART VERB DET NOUN PRON VERB ADP DET NOUN PUNCT DET NOUN CCONJ NOUN PRON AUX VERB ADV VERB PRON ADJ ADP ADP NOUN PRON VERB SCONJ NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT DET ADP NOUN AUX ADJ PUNCT PRON AUX ADJ PUNCT CCONJ ADJ NOUN AUX PART VERB SCONJ ADV PRON VERB SCONJ ADJ ADP NOUN ADP DET ADJ NOUN NOUN PUNCT,0.02901178603807797,0.356489563567361,179,1103,0.5363128491620112,0.23880219082653467
"[De, nevnte, artiklene, i, FNB, er, ikke, de, eneste, ,, men, de, er, ikke, de, verste, ., Jeg, vil, legge, lista, så, lavt, at, jeg, nevner, en, artikkel, der, FNB, tar, opp, saker, som, de, vil, gjøre, noe, med, :, «, –, FNB, er, skeptisk, til, utbygging, av, ny, hovedvannkilde, ., Men, hvis, vannet, viser, seg, å, være, helt, ubrukelig, ,, er, vi, villige, til, å, akseptere, det, », ., Det, er, her, jeg, vil, sette, min, grense, for, hva, FNB, kan, gå, ut, med, ,, og, hvor, jeg, vil, hevde, de, ikke, er, helt, ærlige, ., Det, er, ikke, mange, steder, en, finner, de, fire, bokstavene, FNB, som, en, del, av, et, saksfelt, :, I, hovedvannkilde-saken, ,, i, spørsmålet, om, sykkelveier, eller, i, spørsmålet, om, vern, av, strandsonen, ., Her, er, det, mye, luftig, og, lite, realistisk, ., Spørsmålet, om, utbyggingen, av, en, ny, hovedvannkilde, i, Sandnes, har, vært, diskutert, i, flere, år, nå, ., Som, den, eneste, av, de, store, partiene, har, FNB, vært, helt, imot, dette, ,, noe, flere, av, de, andre, partiene, har, hatt, delte, meninger, om, ,, før]",DET VERB NOUN ADP PROPN AUX PART DET NUM PUNCT CCONJ PRON AUX PART DET ADJ PUNCT PRON AUX VERB NOUN ADV ADJ SCONJ PRON VERB DET NOUN SCONJ PROPN VERB ADP NOUN PRON PRON AUX VERB PRON ADP PUNCT PUNCT PUNCT PROPN AUX ADJ ADP NOUN ADP ADJ NOUN PUNCT CCONJ SCONJ NOUN VERB PRON PART AUX ADJ ADJ PUNCT AUX PRON ADJ SCONJ PART VERB PRON PUNCT PUNCT PRON AUX ADV PRON AUX VERB PRON NOUN ADP PRON PROPN AUX VERB ADP ADP PUNCT CCONJ ADV PRON AUX VERB PRON PART AUX ADJ ADJ PUNCT PRON AUX PART ADJ NOUN PRON VERB DET NUM NOUN PROPN SCONJ DET NOUN ADP DET NOUN PUNCT ADP NOUN PUNCT ADP NOUN ADP NOUN CCONJ ADP NOUN ADP NOUN ADP NOUN PUNCT ADV VERB PRON ADJ ADJ CCONJ ADJ ADJ PUNCT NOUN ADP NOUN ADP DET ADJ NOUN ADP PROPN AUX AUX VERB ADP ADJ NOUN ADV PUNCT SCONJ DET NUM ADP DET ADJ NOUN AUX PROPN AUX ADJ ADP PRON PUNCT PRON ADJ ADP DET DET NOUN AUX VERB ADJ NOUN ADP PUNCT SCONJ,0.04734411085450346,0.3836230110159119,183,866,0.6666666666666666,0.3060419039851741
"[Bør, minimum, være, 10, av, en, type, og, kan, ha, mindre, enn, 10, av, en, annen, ., Maksimum, fire, av, samme, type, på, alle, typer, kort, ., Alle, spillerene, må, ha, minst, ett, kort, med, alle, typene, på, ., Alle, spillerne, skal, ta, et, av, hver, type, ., Man, er, nødt, til, å, kjøpe, 3, pakker, av, hver, type, ., Hver, pakke, koster, 100, kroner, ,, noe, som, gir, 100, i, potten, ved, spillets, slutt, ., Den, som, har, flest, typer, til, slutt, vinner, ., Dette, er, et, spill, laget, under, en, pandemi, og, kan, i, den, forbindelsen, ikke, på, noen, måte, kalles, komplett, og, ferdigstilt, ;, det, har, feil, av, både, logiske, og, estetiske, slag, ,, samt, at, kortenes, bakside, viser, et, annet, bilde, av, hvert, kort, enn, det, som, ble, vist, ., De, som, kjøper, spill, i, det, offentlige, rom, gjør, seg, selv, en, bjørnetjeneste, her, og, de, som, eventuelt, kjøper, spillet, privat, på, nett, får, bare, det, de, blir, lovet, ., Dette, bør, ikke, forekomme, .]",AUX NOUN AUX NUM ADP DET NOUN CCONJ AUX VERB ADJ ADP NUM ADP DET DET PUNCT NOUN NUM ADP DET NOUN ADP DET NOUN NOUN PUNCT DET NOUN AUX VERB ADJ NUM NOUN ADP DET NOUN ADP PUNCT DET NOUN AUX VERB DET ADP DET NOUN PUNCT PRON AUX ADJ SCONJ PART VERB NUM NOUN ADP DET NOUN PUNCT DET NOUN VERB NUM NOUN PUNCT PRON PRON VERB NUM ADP NOUN ADP NOUN NOUN PUNCT PRON PRON VERB ADJ NOUN ADP NOUN VERB PUNCT PRON AUX DET NOUN NOUN ADP DET NOUN CCONJ AUX ADP DET NOUN PART ADP DET NOUN VERB ADJ CCONJ ADJ PUNCT PRON VERB NOUN ADP CCONJ ADJ CCONJ ADJ NOUN PUNCT CCONJ SCONJ NOUN NOUN VERB DET DET NOUN ADP DET NOUN ADP PRON PRON AUX VERB PUNCT PRON PRON VERB NOUN ADP DET ADJ NOUN VERB PRON DET DET NOUN ADV CCONJ PRON PRON ADJ VERB NOUN ADJ ADP NOUN VERB ADV PRON PRON AUX VERB PUNCT PRON AUX PART VERB PUNCT,0.04477611940298507,0.3644768211920545,169,804,0.6449704142011834,0.26970822086221574
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, om, å, opprette, et, fond, for, å, finansiere, den, felles, handelspolitikken, ., Dette, fondet, skal, være, finansiert, av, tollavgiftene, som, ilegges, importerte, produkter, og, vil, bli, finansiert, av, tollinntektene, som, er, generert, fra, produkter, omhandlet, i, vedlegg, I, til, traktaten, om, opprettelse, av, Det, europeiske, fellesskap, ., Alle, inntekter, fra, importavgifter, på, disse, produktene, vil, bli, kanalisert, ,, i, samsvar, med, bestemmelsene, i, artikkel, 22, ,, til, handelsfondet, i, form, av, eksportsubsidier, til, produkter, omhandlet, i, dette, vedlegget, ., Kommisjonen, ,, i, samsvar, med, bestemmelsene, i, artikkel, 2, ,, skal, forvalte, handelsfondet, ,, herunder, å, overvåke, dets, anvendelse, og, anvendelsen, av, de, relevante, midlene, fra, fondet, for, å, støtte, felles, handelstiltak, ., 
, Kommisjonen, foreslår, at, det, bevilges, 100, millioner, euro, for, 2016, (, dette, skal, gradvis, økes, til, 230, millioner, euro, for, perioden, 2017-2020, ), ., Eksportsubsidier, til, produkter, som, ikke, er, omhandlet, i, vedlegg, I, er, dekket, av, det, nye, systemet, for, handelsprogrammer, og, finansiering, av, utviklingssamarbeid, ., 
, Handel]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET NOUN SCONJ PART VERB DET ADJ NOUN PUNCT DET NOUN AUX AUX VERB ADP NOUN PRON VERB ADJ NOUN CCONJ AUX AUX VERB ADP NOUN PRON AUX VERB ADP NOUN VERB ADP NOUN ADP ADP NOUN ADP NOUN ADP PROPN ADJ NOUN PUNCT DET NOUN ADP NOUN ADP DET NOUN AUX AUX VERB PUNCT ADP NOUN ADP NOUN ADP NOUN NUM PUNCT ADP NOUN ADP NOUN ADP NOUN ADP NOUN VERB ADP DET NOUN PUNCT NOUN PUNCT ADP NOUN ADP NOUN ADP NOUN NUM PUNCT AUX VERB NOUN PUNCT ADV PART VERB DET NOUN CCONJ NOUN ADP DET ADJ NOUN ADP NOUN SCONJ PART VERB ADJ NOUN PUNCT SPACE NOUN VERB SCONJ PRON VERB NUM NOUN NOUN ADP NUM PUNCT PRON AUX ADV VERB ADP NUM NOUN NOUN ADP NOUN NOUN PUNCT PUNCT NOUN ADP NOUN PRON PART AUX VERB ADP NOUN ADP AUX VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT SPACE NOUN,0.04075829383886256,0.36920477137176916,168,1055,0.44047619047619047,0.13967387407951024
