tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, han, som, varmet, publikums, hjerter, i, går, ,, det, var, som, nevnt, mange, i, aksjon, ., Alle, var, de, med, på, å, gi, sin, skjerv, til, en, trivelig, fotballavslut, ning, for, små, og, store, ., 
, RØRT, :, En, rørt, og, glad, Geir, Haakstad, måtte, se, to, av, hans, «, døtre, », i, kamp, ., Sissel, Haakstad, spilte, for, jenter, 13, og, Annette, Haakstad, spilte, for, gutter, 16., Begge, imponerte, under, kampen, mot, Byåsen, ., 
, Haugen, tok, det, tunge, val, get, og, la, skoa, på, hylla, ,, men, seiv, med, en, litt, rar, følelse, etter, sin, siste, A-lagskamp, ,, så, varmet, det, godt, med, en, he, derspris, på, slutten, av, jubi, leumsfesten, ., 
, ■, ■, ■, :, ■, ■, ■, ', ■, ■, :, .-., ■, ■, ■, ', .., -:, ■, ■, ■, ■, '», ■, :., ■, ■, :, ■, ■, ■, :., ■, ■, ■, .-', ■, ■, •, ■, ■, ■, .-, .., -, ■, ■, ;]",CCONJ PRON AUX PART ADV PRON PRON VERB NOUN NOUN ADP NOUN PUNCT PRON AUX ADP VERB ADJ ADP NOUN PUNCT PRON AUX PRON ADP SCONJ PART VERB PRON NOUN ADP DET ADJ PROPN NOUN ADP ADJ CCONJ ADJ PUNCT SPACE PROPN PUNCT DET ADJ CCONJ ADJ PROPN PROPN AUX VERB NUM ADP PRON PUNCT NOUN PUNCT ADP NOUN PUNCT PROPN PROPN VERB ADP NOUN NUM CCONJ PROPN PROPN VERB ADP NOUN ADJ DET VERB ADP NOUN ADP PROPN PUNCT SPACE PROPN VERB DET ADJ X X CCONJ VERB NOUN ADP NOUN PUNCT CCONJ VERB ADP DET ADJ ADJ NOUN ADP PRON ADJ NOUN PUNCT ADV VERB PRON ADJ ADP DET X NOUN ADP NOUN ADP NOUN NOUN PUNCT SPACE PUNCT PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT X PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT X X PUNCT PUNCT PUNCT NUM PUNCT VERB PUNCT NOUN PUNCT PUNCT NOUN PUNCT VERB PUNCT NOUN PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT X PUNCT PUNCT PUNCT PUNCT PUNCT,0.07779578606158834,0.4053873239436613,168,617,0.3630952380952381,0.15597287018354938
"[Det, var, ein, av, fleire, ting, som, kom, til, syne, i, sakspapira, for, utvalet, for, plan, ,, bygg, og, teknisk, drift, tysdag, ., 
, –, Det, første, som, kjem, til, syne, er, ein, gammal, avvisartrefas, på, sørsida, av, bygget, ,, altså, området, ved, krysset, til, riksveg, 5, frå, Sandane, sentrum, ., Det, einaste, anlegget, for, elbilar, er, ved, legesenteret, ., Det, er, også, dårleg, med, ladestasjon, i, sentrumskjernen, eller, langs, E39, ,, og, det, er, ikkje, planar, om, at, det, skal, kome, heller, ,, forklarte, kommunedirektøren, ., 
, Bjørn, Aurlien, viste, til, at, det, i, dag, er, 20, ladepunkt, i, kommunen, ., Av, dei, er, det, ni, i, Gloppen, sentrum, ,, åtte, i, Hyen, og, to, i, Breim, ., 
, –, Vi, driv, med, det, på, bakgrunn, av, det, som, har, kome, fram, i, rapporten, ., I, tillegg, har, kommunelegane, og, politiet, vore, ein, aktiv, medspelar, i, arbeidet, med, å, få, på, plass, eit, anlegg, ,, sa, kommunedirektøren, ., 
, Målet, er, at, det, skal, løysast, for, alle, kommunale, køyretøy, ., 
, –, Kommunen, er]",PRON AUX X ADP ADJ NOUN PRON VERB ADP PROPN ADP PROPN ADP NOUN ADP NOUN PUNCT NOUN CCONJ ADJ NOUN NOUN PUNCT SPACE PUNCT DET ADJ PRON VERB ADP PROPN AUX X X NOUN ADP NOUN ADP NOUN PUNCT ADV NOUN ADP NOUN ADP NOUN NUM PROPN PROPN NOUN PUNCT DET NUM NOUN ADP NOUN AUX ADP NOUN PUNCT PRON AUX ADV NOUN ADP NOUN ADP NOUN CCONJ ADP PROPN PUNCT CCONJ PRON VERB X PROPN SCONJ SCONJ PRON AUX VERB ADV PUNCT VERB NOUN PUNCT SPACE PROPN PROPN VERB SCONJ SCONJ PRON ADP NOUN AUX NUM NOUN ADP NOUN PUNCT ADP NOUN AUX PRON NUM ADP PROPN NOUN PUNCT NUM ADP PROPN CCONJ NUM ADP PROPN PUNCT SPACE PUNCT PRON VERB ADP PRON ADP NOUN ADP PRON PRON AUX VERB ADP ADP NOUN PUNCT ADP NOUN AUX NOUN CCONJ NOUN X X ADJ NOUN ADP NOUN SCONJ PART VERB ADP NOUN PRON NOUN PUNCT VERB NOUN PUNCT SPACE NOUN AUX SCONJ PRON VERB NOUN ADP DET ADJ NOUN PUNCT SPACE PUNCT NOUN AUX,0.05176470588235294,0.3891385767790254,175,850,0.56,0.31788225414577137
"[Det, var, så, godt, å, ha, ein, onkel, som, kunne, trøste, og, veilede, og, som, eg, kunne, få, snakke, om, alt, og, alle, eg, var, opptatt, av, og, ikkje, minst, om, ting, eg, hadde, lyst, å, gjøre, og, få, lov, å, prøve, meg, på, ., 
, I, dag, er, eg, også, svært, takknemlig, for, at, eg, fekk, lov, å, hjelpe, henne, med, praktisk, arbeid, på, garden, når, ho, trong, det, ., 
, Ikkje, i, fysisk, forstand, ,, sjølv, om, ho, faktisk, ein, periode, var, så, sjuk, at, ho, var, på, dødens, forgård, ,, for, mange, månader, før, ho, døydde, ., Og, på, same, tid, trur, eg, at, det, var, da, ho, opplevde, dette, så, sterkt, ., Det, at, ho, var, nesten, utanfor, sin, eigen, kropp, og, så, smertelig, klar, over, at, dette, kunne, skje, med, henne, og, at, ho, nesten, med, sikkerhet, visste, at, ho, kom, til, å, overleve, ,, sjølv, om, ho, ikkje, lenger, orka, å, ete, eller, drikke, og, berre, låg, der, ., 
, Eg, fekk, ein, telefon, med, spørsmål, om, eg, kunne, komme, på, sjukehuset, for, å, besøkje, henne, som, så, gjerne, ville, ., Eg, gjorde, det, -]",PRON AUX ADV ADJ PART VERB ADJ NOUN PRON AUX VERB CCONJ ADJ CCONJ PRON PRON AUX AUX VERB ADP PRON CCONJ DET PRON AUX ADJ ADP CCONJ ADV ADJ ADP NOUN PRON VERB NOUN PART VERB CCONJ VERB NOUN PART VERB PRON ADP PUNCT SPACE ADP NOUN AUX PRON ADV ADJ ADJ SCONJ SCONJ X VERB NOUN PART VERB PRON ADP ADJ NOUN ADP NOUN SCONJ X X X PUNCT SPACE DET ADP ADJ NOUN PUNCT NOUN ADP NOUN ADJ ADJ NOUN AUX ADV ADJ SCONJ NOUN AUX ADP NOUN NOUN PUNCT ADP ADJ NOUN SCONJ NOUN VERB PUNCT CCONJ ADP ADJ NOUN X X SCONJ PRON AUX ADV NOUN VERB PRON ADV ADJ PUNCT PRON SCONJ NOUN AUX ADV ADP PRON DET NOUN CCONJ ADV ADJ ADJ SCONJ SCONJ PRON AUX VERB ADP PRON CCONJ SCONJ NOUN ADV ADP NOUN VERB SCONJ NOUN VERB SCONJ PART VERB PUNCT NOUN ADP NOUN X ADJ VERB PART VERB CCONJ VERB CCONJ ADV X ADV PUNCT SPACE PROPN X X NOUN ADP NOUN SCONJ PRON AUX VERB ADP NOUN SCONJ PART VERB PRON PRON ADV ADV VERB PUNCT PROPN VERB PRON PUNCT,0.03864168618266979,0.3754534161490689,191,854,0.7277486910994765,0.26168815828621533
"[Ja, det, var, det, som, var, en, del, av, den, originale, planen, ., Men, hva, skjed, de, egentlig, ?, Ble, det, med, tanken, ,, el, ler, ble, det, bare, prat, av, det, ?, Og, hvis, ikke, ,, hvorfor, ?, Var, de, egentlig, ueni, ge, ,, eller, hadde, de, bare, ulike, måter, å, se, det, på, ?, Eller, kan, det, faktisk, tenkes, at, alle, var, enige, i, denne, ideen, ,, men, at, det, likevel, ble, et, så, stort, arbeid, å, få, satt, planene, ut, i, livet, at, det, ikke, ble, noe, av, ?, Er, det, isåfall, grunn, nok, til, å, bli, frustrert, ?, -, Ja, ,, sier, Anne, ., 
, -, Jeg, ble, nok, av, noen, sett, på, som, en, som, bare, var, negativ, fordi, jeg, var, uenig, med, de, andre, i, menighetsrå, det, ,, men, det, har, nok, mye, med, min, perfeksjonisme, å, gjøre, ., 
, ut, fra, mitt, synspunkt, var, noe, bedre, enn, det, de, hadde, kommet, opp, med, ,, samtidig, som, jeg, hadde, meninger, om, hva, pengene, kunne, brukes, til, istedenfor, et, slikt, formål, ., Hvis, det, er, sånn, ,, ville, det, da, være, så, galt, om, alle, var, positive, til, tanken, ,, og, så, bare, lot, det, skure, ?, 
, N]",INTJ PRON AUX PRON PRON AUX DET NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON NOUN PRON ADJ PUNCT VERB PRON ADP NOUN PUNCT PROPN VERB VERB PRON ADV NOUN ADP PRON PUNCT CCONJ SCONJ PART PUNCT ADV PUNCT AUX PRON ADJ X PROPN PUNCT CCONJ VERB PRON ADV ADJ NOUN PART VERB PRON ADP PUNCT CCONJ AUX PRON ADJ VERB SCONJ PRON AUX ADJ ADP DET NOUN PUNCT CCONJ SCONJ PRON ADV VERB DET ADV ADJ NOUN PART AUX VERB NOUN ADP ADP NOUN SCONJ PRON PART VERB PRON ADP PUNCT AUX PRON NOUN NOUN ADV SCONJ PART AUX VERB PUNCT PUNCT INTJ PUNCT VERB PROPN PUNCT SPACE PUNCT PRON VERB ADV ADP DET VERB ADP SCONJ PRON PRON ADV AUX ADJ SCONJ PRON AUX ADJ ADP DET DET ADP NOUN PRON PUNCT CCONJ PRON VERB ADV ADJ ADP PRON NOUN PART VERB PUNCT SPACE ADP ADP PRON NOUN AUX DET ADJ ADP PRON PRON AUX VERB ADP ADP PUNCT ADJ PRON PRON VERB NOUN ADP PRON NOUN AUX VERB ADP ADP DET DET NOUN PUNCT SCONJ PRON AUX ADV PUNCT AUX PRON ADV VERB ADV ADJ SCONJ PRON AUX ADJ ADP NOUN PUNCT CCONJ ADV ADV VERB PRON ADJ PUNCT SPACE VERB,0.044571428571428574,0.3667796610169495,204,875,0.7009803921568627,0.2927624539550709
"[Ja, det, er, ingen, tvil, !, I, år, vinner, Norge, gull, i, håndball-EM, ., I, den, forbindelse, skal, det, avholdes, en, stor, fest, i, Stockholm, hvor, jeg, er, invitert, ., Jeg, fikk, en, invitasjon, i, posten, og, har, vært, litt, bekymret, for, at, jeg, skal, komme, bort, fra, min, kjæreste, i, alt, oppstyret, som, kommer, til, å, bli, på, festen, ., 
, Men, ,, nå, har, jeg, bestemt, meg, for, å, dra, ., Jeg, skal, dra, uansett, ., Jeg, skal, være, en, helt, normal, mann, som, drar, på, en, fest, han, ikke, er, invitert, til, ., Men, jeg, ser, en, utrolig, deilig, dame, som, han, sikkert, blir, interessert, i, ,, han, er, tross, alt, i, et, fast, forhold, ., Men, jeg, tenker, heller, at, han, ser, på, meg, som, en, trussel, og, han, vil, holde, meg, unna, den, deilige, damen, ., Det, er, mitt, problem, ., Kjæresten, hans, vil, ikke, akseptere, at, jeg, skal, bli, interessert, i, henne, ., Men, han, som, sitter, på, andre, siden, av, bordet, nå, vil, ha, et, forhold, til, henne, ,, derfor, må, jeg, holde, meg, unna, ., 
, Jeg, har, allerede, skrevet, alt, klart, og, alt, er, klart, til, å, dra, ., Jeg, har, pakket, ferdig, og, funnet, ut, at, jeg]",INTJ PRON VERB DET NOUN PUNCT ADP NOUN VERB PROPN NOUN ADP PROPN PUNCT ADP DET NOUN AUX PRON VERB DET ADJ NOUN ADP PROPN ADV PRON AUX VERB PUNCT PRON VERB DET NOUN ADP NOUN CCONJ AUX AUX ADJ ADJ SCONJ SCONJ PRON AUX VERB ADP ADP PRON NOUN ADP DET NOUN PRON VERB SCONJ PART VERB ADP NOUN PUNCT SPACE CCONJ PUNCT ADV AUX PRON VERB PRON SCONJ PART VERB PUNCT PRON AUX VERB ADP PUNCT PRON AUX AUX DET ADJ ADJ NOUN PRON VERB ADP DET NOUN PRON PART AUX VERB ADP PUNCT CCONJ PRON VERB DET ADJ ADJ NOUN PRON PRON ADJ AUX VERB ADP PUNCT PRON AUX ADP PRON ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADV SCONJ PRON VERB ADP PRON SCONJ DET NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN PUNCT PRON AUX PRON NOUN PUNCT NOUN PRON AUX PART VERB SCONJ PRON AUX AUX VERB ADP PRON PUNCT CCONJ PRON PRON VERB ADP DET NOUN ADP NOUN ADV AUX VERB DET NOUN ADP PRON PUNCT ADV AUX PRON VERB PRON ADP PUNCT SPACE PRON AUX ADV VERB PRON ADJ CCONJ PRON AUX ADJ SCONJ PART VERB PUNCT PRON AUX VERB ADJ CCONJ VERB ADP SCONJ PRON,0.040339702760084924,0.36868980963045883,207,942,0.6956521739130435,0.22242653626405645
"[Så, var, det, klart, for, å, nyte, årets, første, skitur, ., Jeg, er, ikke, spesielt, god, på, ski, ., Det, er, mulig, de, som, driver, med, alpint, er, like, sjokkert, over, det, ,, men, jeg, går, liksom, "", rett, fram, "", jeg, (, selv, om, jeg, ofte, gjør, det, motsatte, ), ., Men, jeg, er, glad, i, å, gå, på, ski, ., Både, bortoverski, og, nedoverski, ., 
, Nest, største, prinsesse, har, sin, mor, fra, Nord-Norge, ., Det, betyr, at, de, er, vant, med, vinter, og, snø, ., Men, det, har, vært, lite, av, det, de, siste, årene, i, Bergen, ., Så, nå, var, jeg, litt, spent, på, hva, hun, ville, si, i, kveld, ., 
, Godt, og, vel, to, km, ., i, kveld, var, nok, ., Da, bestemte, vi, oss, for, å, ta, en, pause, ., Det, er, første, gang, hun, har, brukt, noe, særlig, tid, på, pausetrimmen, i, skiløypen, ., Men, hun, var, flink, ., For, å, si, det, mildt, ., Jeg, kan, ikke, skjønne, at, så, mange, synes, dette, er, gøy, ., For, det, er, ikke, alltid, like, gøy, å, gå, på, ski, og, det, ender, sjeldent, godt, når, jeg, prøver, å, gå, uten, st]",ADV AUX PRON ADJ SCONJ PART VERB NOUN ADJ NOUN PUNCT PRON AUX PART ADJ ADJ ADP NOUN PUNCT PRON AUX ADJ PRON PRON VERB ADP ADJ AUX ADV ADJ ADP PRON PUNCT CCONJ PRON VERB ADV PUNCT ADJ ADP PUNCT PRON PUNCT ADV SCONJ PRON ADJ VERB DET ADJ PUNCT PUNCT CCONJ PRON AUX ADJ SCONJ PART VERB ADP NOUN PUNCT CCONJ ADP CCONJ NOUN PUNCT SPACE ADJ ADJ NOUN VERB PRON NOUN ADP PROPN PUNCT PRON VERB SCONJ PRON AUX ADJ ADP NOUN CCONJ NOUN PUNCT CCONJ PRON AUX AUX ADJ ADP PRON DET ADJ NOUN ADP PROPN PUNCT ADV ADV AUX PRON ADJ ADJ SCONJ PRON PRON AUX VERB ADP NOUN PUNCT SPACE ADJ CCONJ ADV NUM NOUN PUNCT ADP NOUN AUX ADV PUNCT ADV VERB PRON PRON SCONJ PART VERB DET NOUN PUNCT PRON AUX ADJ NOUN PRON AUX VERB DET ADJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX ADJ PUNCT SCONJ PART VERB PRON ADJ PUNCT PRON AUX PART VERB SCONJ ADV ADJ VERB PRON AUX ADJ PUNCT CCONJ PRON AUX PART ADV ADV ADJ PART VERB ADP NOUN CCONJ PRON VERB ADJ ADJ SCONJ PRON VERB PART VERB ADP PROPN,0.048426150121065374,0.3829343629343627,198,826,0.6919191919191919,0.31274008211286464
"[Det, var, som, kjent, en, finsk-bo, setting, i, Porsanger, ,, som, var, ho, vedgrunnen, til, «, svedjebrenning, en, », ., Det, sies, imidlertid, at, på, øst, siden, av, Porsanger, ,, altså, i, Pors, angerdalen, ,, var, det, en, svært, så, tallrik, finsk, bosetting, på, midten, av, 1700-tallet, ., Det, er, blant, annet, noe, som, kommer, frem, allerede, i, et, svensk, verk, fra, 1755, som, komi, 1755., I, Porsanger, ble, det, til, og, med, bygget, en, kirke, for, den, store, fin, ske, befolknings-gruppen, ,, samt, at, det, ble, etablert, en, kirkegård, der, ,, før, befolkningen, der, dro, over, grensen, til, Lyngen, ., Det, ble, iføl, ge, svensk, kilde, bygd, syv, kirker, i, Norge, i, 1755., Altså, nesten, ett, hver, eneste, år, ., Det, finnes, i, dag, en, kirkegård, på, vestsida, av, Porsan, gerfjorden, ,, som, vi, fortsatt, kan, se, restene, av, ., Denne, kirkegården, ved, Aigir, ble, også, kalt, for, «, Lap, kirkegaard, », ,, men, i, dag, er, det, ba, re, en, jordvoll, igjen, av, kirkegår, den, ,, og, der, står, det, bare, ruiner]",PRON AUX ADP ADJ DET ADJ NOUN ADP PROPN PUNCT PRON AUX NOUN NOUN ADP PUNCT NOUN DET PUNCT PUNCT PRON VERB ADV SCONJ ADP ADP NOUN ADP PROPN PUNCT ADV ADP PROPN NOUN PUNCT VERB PRON DET ADJ ADV ADJ ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON VERB ADP DET PRON PRON VERB ADP ADV ADP DET ADJ NOUN ADP NUM SCONJ PROPN PROPN ADP PROPN VERB PRON ADP CCONJ ADP NOUN DET NOUN ADP DET ADJ ADJ NOUN NOUN PUNCT CCONJ SCONJ PRON AUX VERB DET NOUN ADV PUNCT ADP NOUN ADV VERB ADP NOUN ADP PROPN PUNCT PRON VERB PROPN PROPN ADJ NOUN VERB NUM NOUN ADP PROPN ADP NUM ADV ADV NUM DET NUM NOUN PUNCT PRON VERB ADP NOUN DET NOUN ADP NOUN ADP PROPN NOUN PUNCT PRON PRON ADV AUX VERB NOUN ADP PUNCT DET NOUN ADP PROPN AUX ADV VERB ADP PUNCT PROPN PROPN PUNCT PUNCT CCONJ ADP NOUN AUX PRON VERB PROPN DET NOUN ADV ADP NOUN PRON PUNCT CCONJ ADV VERB PRON ADV NOUN,0.046674445740956826,0.37841584158415903,174,857,0.5919540229885057,0.233744235369083
"[Det, er, ikkje, vanskeleg, å, skjøne, at, mange, av, dei, mest, utsette, elevane, synest, det, er, ekkelt, å, ha, med, seg, niste, på, skulen, ,, sidan, det, er, så, mykje, styr, rundt, det, å, eta, på, skulen, ., 
, -, Eg, synest, det, er, synd, ,, men, eg, har, ikkje, med, mat, ., Eg, skulle, hatt, tid, til, å, eta, i, løpet, av, dagen, ,, fortel, ei, tredje, jente, ., Ein, elev, av, tre, er, på, SFO, fordi, det, er, vanskeleg, å, rekkja, alle, ar, beidsoppgåvene, ved, skulen, i, ar, beidstida, ., Elevane, vert, delte, inn, i, arbeidslag, som, driv, med, ei, rekke, ulike, oppgåver, i, løpet, av, dagen, og, er, ferdige, med, arbeidsoppgåvene, til, same, tid, kvar, dag, ., Elevane, set, opp, program, for, arbeidslaget, sitt, ,, og, desse, vert, endra, etter, behov, ., Kvifor, elevane, må, vera, med, på, denne, ordninga, frå, første, klasse, ,, er, det, ikkje, noko, godt, svar, på, ., 
, gje, lærarane, som, må, ta, seg, av, dette, sjølve, ., Slik, kjem, arbeids, oppgåvene, lett, i, konflikt, med, å]",PRON AUX X X PART VERB SCONJ ADJ ADP DET ADJ VERB NOUN VERB PRON AUX ADJ PART VERB ADP PRON NOUN ADP NOUN PUNCT X PRON AUX ADV ADJ ADJ ADP PRON PART PROPN ADP NOUN PUNCT SPACE PUNCT PROPN VERB PRON AUX NOUN PUNCT CCONJ PRON VERB ADV ADP NOUN PUNCT PROPN AUX VERB NOUN SCONJ PART PROPN ADP NOUN ADP NOUN PUNCT X DET ADJ NOUN PUNCT ADJ NOUN ADP NUM AUX ADP NOUN SCONJ PRON AUX ADV PART VERB DET NOUN NOUN ADP NOUN ADP PROPN NOUN PUNCT PROPN AUX VERB ADP ADP NOUN PRON VERB ADP DET NOUN ADJ NOUN ADP NOUN ADP NOUN CCONJ AUX ADJ ADP NOUN ADP ADJ X X NOUN PUNCT NOUN VERB ADP NOUN ADP NOUN PRON PUNCT CCONJ X X VERB ADP NOUN PUNCT X NOUN AUX VERB ADP ADP DET NOUN PROPN ADJ NOUN PUNCT AUX PRON X X ADJ NOUN ADP PUNCT SPACE X PROPN PRON AUX VERB PRON ADP DET ADJ PUNCT ADV NOUN NOUN NOUN ADJ ADP NOUN SCONJ PART,0.04263093788063337,0.37546632124352486,175,821,0.6228571428571429,0.33298589895928793
"[Kor, mange, prosent, går, til, det, offentlege, ,, og, kva, får, dei, att, ?, Dette, er, ting, som, er, svært, uklart, for, mange, ,, men, dette, vil, eg, prøva, å, retta, på, her, ., 1., Korleis, er, innkrevjinga, av, barnebidraget, ?, No, får, dei, det, automatisk, ,, etter, kven, som, er, bipersonar, til, mora, ., Før, hadde, dei, ei, form, for, postgiro, innbetaling, som, var, mykje, meir, tungvint, ., Det, er, berre, positivt, at, dei, no, får, betalt, til, ein, person, og, ikkje, til, to., Så, er, du, einsleg, ,, så, er, det, lettare, no, enn, før, ., 2., Kva, får, det, offentlege, att, ?, Det, er, berre, dei, som, har, inntekt, ,, og, som, er, over, 30, år, ,, minstepensjonistar, ,, og, som, berre, har, ei, inntekt, så, dei, kjem, under, 85, prosent, får, betala, tilbake, det, som, det, offentlege, betaler, inn, i, bidrag, ., Er, det, to, inntekter, til, ein, familie, ,, så, slepp, den, eine, å, betala, det, som, den, andre, har, inneståande, her, i, Norge, ., Elles, er, det, berre, i, dei, tilfella, det]",ADV ADJ NOUN VERB ADP DET X PUNCT CCONJ PROPN VERB X X PUNCT PRON AUX NOUN PRON AUX ADJ ADJ ADP ADJ PUNCT CCONJ PRON AUX X VERB PART VERB ADP ADV PUNCT NUM ADV AUX NOUN ADP NOUN PUNCT NUM VERB PRON PRON ADJ PUNCT ADP NOUN PRON AUX PROPN ADP NOUN PUNCT ADP VERB PRON DET NOUN ADP NOUN NOUN PRON AUX X ADJ ADJ PUNCT PRON AUX ADV ADJ SCONJ X X AUX VERB ADP ADJ NOUN CCONJ X ADP NUM ADV AUX PRON NOUN PUNCT ADV AUX PRON ADJ X ADP ADP PUNCT NUM PROPN VERB DET X X PUNCT PRON AUX ADV NOUN PRON VERB NOUN PUNCT CCONJ PRON AUX ADP NUM NOUN PUNCT NOUN PUNCT CCONJ PRON ADV VERB DET NOUN SCONJ PRON VERB ADP NUM NOUN VERB VERB ADP PRON ADP DET X VERB ADP ADP NOUN PUNCT AUX PRON NUM NOUN ADP X NOUN PUNCT ADV VERB PRON X PART VERB PRON SCONJ DET DET VERB ADJ ADV ADP PROPN PUNCT PROPN VERB PRON ADV ADP X X PRON,0.04807692307692308,0.3768071519795656,178,832,0.6853932584269663,0.23136223738970463
"[Det, er, veldig, bra, at, Høyre, i, sitt, nye, partipro, gram, vil, øke, fradraget, for, fagforeningskon, tingent, ., Det, bør, også, gjelde, de, som, er, medlem, i, såkalte, gule, fagforeninger, ., Det, er, fagforeningen, der, de, fleste, i, stat, og, kommune, er, medlem, som, har, de, dårligste, betingelsene, ., De, andre, som, har, gode, avtaler, med, arbeidsgiver, dekker, opp, dette, ., Seiv, er, jeg, med, lem, i, tre, «, ulønnsomme, », fagforeninger, ., Hvorfor, har, jeg, valgt, tre, fagforeninger, som, kun, tilbyr, juridisk, bistand, ?, Jo, ,, fordi, det, er, eneste, måte, å, få, rett, ferdig, ., juridisk, hjelp, ,, uavhengig, av, arbeidsgi, ver, ,, når, det, har, foregått, brudd, på, regler, eller, ansettelse, av, ikke, faglært, arbeidskraft, ., En, del, av, de, «, ulønnsomme, », fagforeningene, job, ber, for, å, gi, juridisk, hjelp, nettopp, til, de, som, har, blitt, urettferdig, behandlet, ., En, av, disse, er, fag, foreningen, for, arbeidsledere, ,, teknikere, og, im, geniører, (, TRIF, ), ., Jeg, har, benyttet, meg, av, hjel, pen, de, har, gitt, meg, og, er, veldig, glad, for, at, de, finnes, og, at, det]",PRON AUX ADJ ADJ SCONJ PROPN ADP PRON ADJ NOUN NOUN AUX VERB NOUN ADP ADJ ADJ PUNCT PRON AUX ADV VERB PRON PRON AUX NOUN ADP ADJ ADJ NOUN PUNCT PRON AUX NOUN SCONJ DET ADJ ADP NOUN CCONJ NOUN AUX NOUN PRON VERB DET ADJ NOUN PUNCT DET DET PRON VERB ADJ NOUN ADP NOUN VERB ADP PRON PUNCT PROPN AUX PRON ADP NOUN ADP NUM PUNCT ADJ PUNCT NOUN PUNCT ADV AUX PRON VERB NUM NOUN PRON ADV VERB ADJ NOUN PUNCT INTJ PUNCT SCONJ PRON AUX NUM NOUN PART VERB ADJ ADJ PUNCT ADJ NOUN PUNCT ADJ ADP PROPN NOUN PUNCT SCONJ PRON AUX VERB NOUN ADP NOUN CCONJ NOUN ADP PART ADJ NOUN PUNCT DET NOUN ADP DET PUNCT ADJ PUNCT NOUN PROPN VERB SCONJ PART VERB ADJ NOUN ADV ADP PRON PRON AUX AUX ADJ VERB PUNCT DET ADP PRON AUX NOUN NOUN ADP NOUN PUNCT NOUN CCONJ PROPN PROPN PUNCT NOUN PUNCT PUNCT PRON AUX VERB PRON ADP NOUN ADJ PRON AUX VERB PRON CCONJ AUX ADJ ADJ SCONJ SCONJ PRON VERB CCONJ SCONJ PRON,0.04403866809881848,0.3803174603174598,182,931,0.5494505494505495,0.17348402700997623
