tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, før, hun, ble, kjent, med, det, å, jobbe, ., For, å, få, jobb, ,, måtte, hun, på, intervju, for, å, vise, hva, hun, kunne, bidra, med, ., Der, begynte, hun, å, gå, opp, en, stige, ,, sakte, ,, steg, for, steg, ., Men, hun, hadde, lyst, til, mer, ., Hun, ville, vise, hva, hun, kunne, bidra, med, i, samfunnet, ., At, det, var, flere, jobber, å, få, ,, hvis, du, var, villig, til, å, ta, det, som, ble, tilbudt, ., 
, Da, hun, fortalte, hvordan, hun, hadde, det, ,, sa, fastlegen, at, han, måtte, kontakte, NAV, ., Hun, hadde, ingen, jobb, eller, skole, ., Det, tok, sju, måneder, før, NAV, kom, med, et, tilbud, til, henne, ., Og, da, måtte, hun, jobbe, gratis, i, ett, år, for, å, vise, at, hun, var, i, stand, til, å, jobb, ., 
, \-, Da, jeg, kom, på, intervju, ,, sa, en, i, firmaet, at, jeg, ikke, var, kvalifisert, til, vikariatet, ., Da, sa, jeg, at, jeg, kunne, ringe, til, NAV, og, spørre, om, hvor, lenge, de, hadde, tenkt, at, jeg, skulle, være, arbeidsledig, ., Da, ble, jeg, flyttet, opp, til, intervju, ., Så, det, gikk, ikke, lang, tid, før, jeg, klarte, meg, selv, og, ikke, lenger, trengte, å, gjøre, som]",CCONJ PRON AUX SCONJ PRON AUX VERB ADP PRON PART VERB PUNCT SCONJ PART VERB NOUN PUNCT AUX PRON ADP NOUN SCONJ PART VERB PRON PRON AUX VERB ADP PUNCT ADV VERB PRON PART VERB ADP DET NOUN PUNCT ADJ PUNCT VERB ADP NOUN PUNCT CCONJ PRON VERB NOUN ADP ADJ PUNCT PRON AUX VERB PRON PRON AUX VERB ADP ADP NOUN PUNCT SCONJ PRON AUX ADJ VERB PART VERB PUNCT SCONJ PRON AUX ADJ SCONJ PART VERB PRON PRON AUX VERB PUNCT SPACE SCONJ PRON VERB ADV PRON VERB PRON PUNCT VERB NOUN SCONJ PRON AUX VERB PROPN PUNCT PRON VERB DET NOUN CCONJ NOUN PUNCT PRON VERB NUM NOUN SCONJ PROPN VERB ADP DET NOUN ADP PRON PUNCT CCONJ ADV AUX PRON VERB ADJ ADP NUM NOUN SCONJ PART VERB SCONJ PRON AUX SCONJ NOUN SCONJ PART NOUN PUNCT SPACE NOUN SCONJ PRON VERB ADP NOUN PUNCT VERB DET ADP NOUN SCONJ PRON PART AUX ADJ ADP NOUN PUNCT ADV VERB PRON SCONJ PRON AUX VERB ADP PROPN CCONJ VERB SCONJ ADV ADJ PRON AUX VERB SCONJ PRON AUX AUX ADJ PUNCT ADV AUX PRON VERB ADP ADP NOUN PUNCT CCONJ PRON VERB PART ADJ NOUN SCONJ PRON VERB PRON DET CCONJ PART ADJ VERB PART VERB SCONJ,0.04318936877076412,0.3999063231850115,210,903,0.7,0.43500059422277726
"[Det, var, ein, strålande, nøgd, prosjekt, gruppe, for, ny, skule, i, Norheimsund, som, presenterte, skissene, sine, for, formannskapet, i, Norheimsund, tors, dag, ., Skuletomta, dei, vil, ha, ,, er, den, same, som, rådmannen, i, ei, tidlegare, utgåve, av, skulebruksplanen, har, føre, slått, å, byggja, ut, i, den, sørlege, enden, av, idrettsanlegget, på, Myra, ., 
, I, går, la, prosjektgruppa, fram, det, dei, meiner, er, det, beste, alternativet, for, nytt, bygg, på, tomta, ved, barneskula, ne, i, Norheimsund, og, i, Øystese, ., Gruppa, har, vore, sett, saman, av, re, presentantar, frå, Norheimsund, sku, le, og, ein, arkitekt, frå, KS, ., Arkitekten, skal, laga, ei, meir, detaljert, skisse, fram, mot, heradsstyret, ., Heradsstyret, skal, etter, planen, ta, stilling, til, saka, 21., november, ., 
, -, Det, beste, utgreiingsarbeidet, er, laga, ,, seier, gruppeleiar, Oddvar, Brake, stad, (, H, ), ., Han, vedgår, at, det, er, eit, dyrt, alternativ, som, kan, verta, dyrare, enn, dei, har, kalkulert, med, ., 
, -]",PRON AUX X X ADJ NOUN NOUN ADP ADJ NOUN ADP PROPN PRON VERB NOUN PRON ADP NOUN ADP PROPN PROPN NOUN PUNCT NOUN NOUN AUX VERB PUNCT AUX DET X PRON NOUN ADP DET PROPN PROPN ADP NOUN AUX AUX VERB PART VERB ADP ADP DET ADJ NOUN ADP NOUN ADP PROPN PUNCT SPACE ADP NOUN VERB NOUN ADP PRON X PROPN AUX DET ADJ NOUN ADP ADJ NOUN ADP NOUN ADP NOUN NOUN ADP PROPN CCONJ ADP PROPN PUNCT NOUN AUX AUX VERB NOUN ADP PROPN PROPN PROPN PROPN X X CCONJ X X NUM PROPN PUNCT NOUN AUX VERB DET ADV ADJ NOUN ADP ADP NOUN PUNCT NOUN AUX ADP NOUN VERB NOUN ADP NOUN ADJ NOUN PUNCT SPACE PUNCT DET ADJ NOUN AUX ADJ PUNCT NOUN PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT PRON VERB SCONJ PRON AUX DET ADJ NOUN PRON AUX VERB ADJ SCONJ PROPN AUX VERB ADP PUNCT SPACE PUNCT,0.05200945626477541,0.3797490589711413,158,846,0.5443037974683544,0.23794344821627886
"[Det, var, så, mange, spennende, foredragsholdere, ,, og, vi, kunne, ikke, velge, vekk, noen, av, de, som, står, i, programmet, !, Men, det, aller, viktigste, for, oss, var, jo, foredrag, om, våre, fagfelt, og, hvordan, vi, kan, bli, mer, bevisste, rundt, det, vi, gjør, ., Vi, har, fått, noen, tanker, og, ideer, som, skal, jobbes, videre, med, ., Det, ga, en, skikkelig, boost, og, motivasjon, til, å, fortsette, ., Nå, har, vi, også, fått, inn, noen, nye, medlemmer, som, vi, skal, få, med, oss, både, på, kurs, og, på, våre, medlemsmøter, ., Tusen, takk, til, dere, som, kom, ,, og, til, dere, som, bidro, til, at, vi, fikk, dette, bra, til, ., Vi, kommer, også, med, informasjon, om, nye, kurs, på, facebook, ,, web, ,, brosjyrer, etc, .., Håper, dere, synes, det, er, interessant, å, bli, med, oss, videre, !, 
, Les, artikkelen, på, Blikk, :, https://www.blikk.no/nyheter/vurderer-asyl-for-transpersoner-og-mtf-personer-i-kristen-familiegjenforenings-soknad/]",PRON AUX ADV ADJ ADJ NOUN PUNCT CCONJ PRON AUX PART VERB ADP DET ADP PRON PRON VERB ADP NOUN PUNCT CCONJ DET ADV ADJ ADP PRON AUX ADV NOUN ADP PRON NOUN CCONJ ADV PRON AUX VERB ADJ ADJ ADP PRON PRON VERB PUNCT PRON AUX VERB DET NOUN CCONJ NOUN PRON AUX VERB ADJ ADP PUNCT PRON VERB DET ADJ NOUN CCONJ NOUN SCONJ PART VERB PUNCT ADV AUX PRON ADV VERB ADP DET ADJ NOUN PRON PRON AUX VERB ADP PRON CCONJ ADP NOUN CCONJ ADP PRON NOUN PUNCT NUM NOUN ADP PRON PRON VERB PUNCT CCONJ ADP PRON PRON VERB SCONJ SCONJ PRON VERB PRON ADJ ADP PUNCT PRON VERB ADV ADP NOUN ADP ADJ NOUN ADP PROPN PUNCT NOUN PUNCT NOUN ADV PUNCT VERB PRON VERB PRON AUX ADJ PART VERB ADP PRON ADJ PUNCT SPACE VERB NOUN ADP PROPN PUNCT PROPN,0.05105853051058531,0.38281167108753306,147,803,0.6802721088435374,0.33305395512744523
"[Ja, det, var, vel, ikke, så, rart, at, det, norske, folk, stemte, imot, E.EC, ,, fordi, at, politikerne, hadde, fortalt, at, det, var, det, beste, som, vi, kunne, oppnå, og, dermed, har, vi, mistet, vår, selvbestemmelsesrett, ,, for, så, vidt, har, det, norske, folk, vært, enige, ,, som, stemte, som, de, gjorde, ved, å, stemme, nei, til, medlem, skap, i, E.EC, ., Da, tenker, jeg, på, at, de, norske, politikere, må, ha, vært, mere, våkne, enn, folk, flest, og, derfor, er, jeg, ganske, sikker, på, at, et, nei, stemte, til, E.EC, ikke, betød, noe, avgj, ørende, for, dem, ,, for, å, bli, medlem, ., 
, For, da, de, hadde, bestemt, seg, ,, fikk, de, seg, sikkert, en, god, søvn, og, dermed, var, saken, avgjort, ., Men, en, sak, kan, være, ganske, tvilsom, før, den, blir, vedtatt, eller, av, gjort, ,, jeg, tenker, på, når, regjeringen, Gerhardsen, kom, i, strid, med, seg, seiv, om, Fellesmarkedet, ., Det, var, den, regjeringen, som, hadde, fått, av, folk, et, nei, til, E.EC, ,, men, i, ettertid, har, ikke, regjeringen, glemt, at, folket, stemte, som, vi, gjorde, ved, å, stemme, nei, til, E.EC, ,, så, en, må]",INTJ PRON AUX ADV PART ADV ADJ SCONJ DET ADJ NOUN VERB ADP PROPN PUNCT SCONJ SCONJ NOUN AUX VERB SCONJ PRON AUX DET ADJ PRON PRON AUX VERB CCONJ ADV AUX PRON VERB PRON NOUN PUNCT CCONJ ADV ADJ VERB DET ADJ NOUN AUX ADJ PUNCT PRON VERB PRON PRON VERB SCONJ PART VERB NOUN ADP NOUN NOUN ADP PROPN PUNCT ADV VERB PRON SCONJ SCONJ DET ADJ NOUN AUX AUX AUX ADJ ADJ SCONJ NOUN ADJ CCONJ ADV AUX PRON ADV ADJ SCONJ SCONJ DET NOUN VERB ADP PROPN PART VERB DET ADJ ADJ ADP PRON PUNCT SCONJ PART VERB NOUN PUNCT SPACE CCONJ SCONJ PRON AUX VERB PRON PUNCT VERB PRON PRON ADJ DET ADJ NOUN CCONJ ADV AUX NOUN VERB PUNCT CCONJ DET NOUN AUX AUX ADV ADJ SCONJ PRON AUX VERB CCONJ ADP VERB PUNCT PRON VERB SCONJ SCONJ NOUN PROPN VERB ADP NOUN ADP PRON NOUN ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP NOUN DET NOUN ADP NOUN PUNCT CCONJ ADP NOUN AUX PART PROPN VERB SCONJ NOUN VERB SCONJ PRON VERB SCONJ PART VERB NOUN ADP NOUN PUNCT CCONJ PRON AUX,0.03732162458836443,0.37083526682134527,192,911,0.6666666666666666,0.3198967472515273
"[Ja, det, er, det, mange, som, gjør, ., Det, er, noen, som, sier, at, de, har, prøvd, å, finne, slike, krabbeplagg, og, kjøpt, i, Kina, men, funnet, på, postordre, i, Thailand, har, nok, bedre, kvalitet, ., Noen, blir, misunnelig, på, denne, fine, krabbekjeldressen, fra, Jærtek, som, jeg, har, på, som, jeg, fikk, i, julegave, av, min, kjære, ., Det, er, en, krabbekjeldress, som, tåler, mange, krabber, nedi, og, mye, søl, etter, krabber, på, den, ., Den, er, utrolig, god, og, ha, på, krabbeturer, ., Jeg, er, blitt, meget, glad, i, den, ., Det, er, en, krabbedress, fra, Eagle, cloth, ,, men, de, har, kommet, med, andre, krabbedresser, med, samme, teknologi, som, det, er, på, denne, dressen, ., For, ikke, å, snakke, om, den, jeg, vil, ha, som, kan, legges, i, vaska, og, som, blir, like, fin, etterpå, ., Hva, er, vel, bedre, enn, dette, i, krabbefisket, ?, Jeg, må, få, legge, til, at, den, har, jeg, kjøpt, på, www.eaglecloth.com/store]",INTJ PRON VERB PRON ADJ PRON VERB PUNCT PRON AUX PRON PRON VERB SCONJ PRON AUX VERB PART VERB DET NOUN CCONJ VERB ADP PROPN CCONJ VERB ADP PROPN ADP PROPN VERB ADV ADJ NOUN PUNCT PRON VERB ADJ ADP DET ADJ NOUN ADP PROPN PRON PRON VERB ADP PRON PRON VERB ADP NOUN ADP PRON ADJ PUNCT PRON AUX DET NOUN PRON VERB ADJ VERB ADP CCONJ ADJ NOUN ADP NOUN ADP PRON PUNCT PRON AUX ADJ ADJ CCONJ VERB ADP NOUN PUNCT PRON AUX VERB ADV ADJ ADP PRON PUNCT PRON AUX DET NOUN ADP PROPN ADJ PUNCT CCONJ PRON AUX VERB ADP DET NOUN ADP DET NOUN PRON PRON AUX ADP DET NOUN PUNCT ADP PART PART VERB ADP PRON PRON AUX VERB PRON AUX VERB ADP NOUN CCONJ PRON VERB ADV ADJ ADV PUNCT PRON AUX ADV ADJ ADP PRON ADP NOUN PUNCT PRON AUX AUX VERB SCONJ SCONJ PRON AUX PRON VERB ADP PROPN,0.05032258064516129,0.38060606060606067,159,775,0.7169811320754716,0.42253611186760887
"[Så, var, det, slutt, med, den, gamle, tremaster, «, Peary, », ,, og, på, bil, det, har, vi, den, nye, tremastede, «, Peary, », som, en, får, se, når, den, i, løpet, av, dagen, legger, til, ved, Skansen, ., Den, kommer, direkte, fra, Kaarbøs, Mek, ., Verksted, ,, hvor, den, er, bygget, ferdig, ., 
, Skipet, måler, 310, brutto, register, tonn, ., Det, har, dieselmotor, under, dekk, som, gir, en, fart, på, 7, mil, ., 
, Det, er, beregnet, på, fraktfart, og, vanlig, stykkgodsfart, ., Det, er, innredet, for, ca., 25, passasje, rer, ., 
, Passasjerbekvemmelighetene, er, godt, utstyrt, etter, norske, for, hold, ., Det, finnes, salonger, ,, lu, garer, og, bekvemmeligheter, for, en, betjening, på, tre-fire, personer, og, det, er, varmt, og, kaldt, vatn, på, alle, rom, ., Lugarene, er, utstyrt, med, elektriske, varmeovner, og, luft, kondisjoneringsanlegg, ., Skipet, er, bygget, med, henblikk, på, is, bryter-fart, ., Det, er, forsterket, i, baugen, ,, og, det, har, fått, stor, for, stevn, og]",ADV AUX PRON ADJ ADP DET ADJ NOUN PUNCT PROPN PUNCT PUNCT CCONJ ADP NOUN PRON VERB PRON DET ADJ ADJ PUNCT PROPN PUNCT PRON PRON AUX VERB SCONJ PRON ADP NOUN ADP NOUN VERB ADP ADP PROPN PUNCT PRON VERB ADJ ADP PROPN PROPN PUNCT NOUN PUNCT ADV PRON AUX VERB ADJ PUNCT SPACE NOUN VERB NUM ADV NOUN NOUN PUNCT PRON VERB NOUN ADP NOUN PRON VERB DET NOUN ADP NUM NOUN PUNCT SPACE PRON AUX VERB ADP NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADP ADV NUM NOUN NOUN PUNCT SPACE NOUN AUX ADJ VERB ADP ADJ ADP NOUN PUNCT PRON VERB NOUN PUNCT PROPN NOUN CCONJ NOUN ADP DET NOUN ADP NUM NOUN CCONJ PRON AUX ADJ CCONJ ADJ NOUN ADP DET NOUN PUNCT NOUN AUX VERB ADP ADJ NOUN CCONJ NOUN NOUN PUNCT NOUN AUX VERB ADP NOUN ADP PROPN PROPN PUNCT PRON AUX VERB ADP NOUN PUNCT CCONJ PRON AUX VERB ADJ ADP NOUN CCONJ,0.054388133498145856,0.409684210526316,162,809,0.48148148148148145,0.2551399951327096
"[Det, var, som, en, del, av, det, som, skal, munne, ut, i, en, nasjonal, reiselivsplan, regjeringen, åpnet, for, at, de, fem, største, hotellkjedene, i, Norge, kunne, få, etablere, et, salgskontor, i, Oslo, for, å, stå, for, en, del, av, salgsinnsatsen, knyttet, til, turisttrafikken, ., Og, de, har, valgt, å, satse, lokalt, ,, ifølge, salgssjef, Lars, Øen, i, Rezidor, Hotel, Group, ., Hotellene, som, har, valgt, å, gi, sine, salgshenvendelser, til, Rica, Partner, Hotels, AS, i, Kristiansund, ,, er, Rica, Ishavshotel, i, Tromsø, ,, Rica, Partner, Hotel, Narvik, ,, Rainbow, Hotel, Maritim, i, Haugesund, ,, Rica, Partner, Hotel, Kristiansund, og, Rezidor, Hotel, Group, på, Gardermoen, ., Den, samme, avtalen, har, Hotel, Norge, i, Brumunddal, ,, Rica, Partner, Hotel, på, Mo, ,, og, Rica, i, Hammerfest, inngått, med, kjeden, ., 
, Hotellkjeden, har, også, inngått, en, avtale, med, Hurtigruten, AS, ,, og, har, solgt, inn, en, pakke, hvor, turistene, får, reise, på, en, 14, dagers, reise, som, inkluderer, opphold, i, fem, av, de, største]",PRON AUX ADP DET NOUN ADP PRON PRON AUX VERB ADP ADP DET ADJ NOUN NOUN VERB SCONJ SCONJ DET NUM ADJ NOUN ADP PROPN AUX AUX VERB DET NOUN ADP PROPN SCONJ PART VERB ADP DET NOUN ADP NOUN VERB ADP NOUN PUNCT CCONJ PRON AUX VERB PART VERB ADJ PUNCT ADP NOUN PROPN PROPN ADP PROPN PROPN PROPN PUNCT NOUN PRON AUX VERB PART VERB PRON NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN PUNCT AUX PROPN PROPN ADP PROPN PUNCT PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN ADP PROPN PUNCT PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN ADP PROPN PUNCT DET DET NOUN AUX PROPN PROPN ADP PROPN PUNCT PROPN PROPN PROPN ADP PROPN PUNCT CCONJ PROPN ADP PROPN VERB ADP NOUN PUNCT SPACE NOUN AUX ADV VERB DET NOUN ADP PROPN PROPN PUNCT CCONJ AUX VERB ADP DET NOUN ADV NOUN AUX VERB ADP DET NUM NOUN NOUN PRON VERB NOUN ADP NUM ADP DET ADJ,0.05517241379310345,0.4032155907429951,162,870,0.4506172839506173,0.24688105202549543
"[Det, er, ikkje, lenge, til, sesong, start, ,, seier, Ronnie, MAG, Lars, son, ,, som, for, tida, turnerer, med, det, spelande, og, syngande, bandet, i, Norge, ., 
, dei, komande, dagane, ., Dei, skal, ha, konsertar, i, dei, store, byane, ,, før, ferda, går, til, mindre, plassar, ute, i, distrikta, ., Det, er, alltid, bra, pu, blikum, på, slike, stadar, ,, seier, Lars, son, ,, som, legg, til, at, dette, er, ein, tur, nerande, musikar, ,, som, har, mykje, å, seie, for, bandet, ., -, Eg, meiner, dei, berre, blir, betre, og, betre, på, scena, ,, seier, han, ., 
, på, plass, ,, og, bandet, har, funne, det, rette, soundet, sitt, ., -, Det, er, eit, enormt, publikum, som, likar, bluesmusikken, vår, her, i, Norge, ., Dei, er, glade, i, det, me, spelar, ., Me, gler, oss, alle, i, bandet, til, den, komande, turneen, ., 
, SPELAR, FOR, DØRA, :, /, heile, april, skal, Ronnie, MAG, Larsen, synge, på, dei, minste, og, mest, folksame, utestadane, i, Norge, ., Til, desse, plassane, har, han, med]",PRON VERB ADV ADJ ADP NOUN NOUN PUNCT NOUN PROPN PROPN PROPN X PUNCT PRON ADP NOUN VERB ADP DET ADJ CCONJ ADJ NOUN ADP PROPN PUNCT SPACE X ADJ X PUNCT NOUN AUX VERB NOUN ADP PROPN ADJ PROPN PUNCT SCONJ NOUN VERB ADP ADJ PROPN ADP ADP NOUN PUNCT PRON AUX ADV ADJ ADJ NOUN ADP DET NOUN PUNCT NOUN PROPN PROPN PUNCT SCONJ VERB SCONJ SCONJ PRON AUX X NOUN ADJ PROPN PUNCT PRON VERB ADJ PART VERB ADP NOUN PUNCT PUNCT X PROPN X ADV VERB X CCONJ X ADP NOUN PUNCT NOUN PRON PUNCT SPACE ADP NOUN PUNCT CCONJ NOUN AUX VERB DET ADJ NOUN PRON PUNCT PUNCT PRON AUX DET ADJ NOUN ADP PROPN NOUN PRON ADV ADP PROPN PUNCT PROPN AUX ADJ ADP DET X X PUNCT X VERB PRON DET ADP NOUN ADP DET ADJ NOUN PUNCT SPACE PROPN PROPN PROPN PUNCT PUNCT ADJ NOUN AUX PROPN PROPN PROPN VERB ADP DET ADJ CCONJ ADJ NOUN NOUN ADP PROPN PUNCT ADP X X AUX PRON ADP,0.05660377358490566,0.38613941018766756,174,795,0.5344827586206896,0.3102602231636588
"[Kor, mange, prosent, av, dei, som, bur, i, Noreg, ,, er, samar, ?, a, ), 10, %, b, ), 40, %, c, ), 
, Det, blir, selt, 600, liter, saft, på, ein, dag, ., 
, a, ), Kor, mykje, trur, du, safta, kostar, per, liter, ?, b, ), Kor, mange, liter, saft, kan, dei, selje, per, dag, for, 1500, kr, ?, Rund, av, svaret, til, éin, desimal, ., 
, a, ), Kor, mange, prosent, trur, du, safta, er, drukke, opp, ?, 
, b, ), Undersøk, i, ein, butikk, kor, mykje, safta, er, selt, for, ., Prøv, å, forklare, skilnaden, på, det, du, gjetta, og, det, du, fekk, vite, ., 
, c, ), Er, det, fleire, måtar, du, kunne, ha, funne, svaret, på, i, b, ?, 
, 1.4, Kor, langt, må, du, køyre, for, å, kome, halvvegs, ?, Rund, av, til, éin, desimal, ., 
, 1.6, Rund, av, talet, 0,75, til, éin, desimal, ., 
, 1.7, Ein, dag, har, ein, klasseelev, sytti, anmerkingar, ., a, ), Kor, mange, prosent, har, dårleg, oppførsel, ?, b, ), Kor, mange, prosent, har, god, oppførsel, ?, 
, 1.8, Når, du, går, på, ski, ,, kjem, du, fort]",ADV ADJ NOUN ADP NOUN SCONJ NOUN ADP PROPN PUNCT AUX X PUNCT INTJ PUNCT NUM NOUN NOUN PUNCT NUM NOUN NOUN PUNCT SPACE PRON VERB ADJ NUM NOUN NOUN ADP ADJ NOUN PUNCT SPACE NOUN PUNCT X X VERB PRON NOUN PROPN ADP NOUN PUNCT PROPN PUNCT ADV ADJ NOUN NOUN AUX X X ADP NOUN ADP NUM NOUN PUNCT NOUN ADP NOUN ADP X NOUN PUNCT SPACE NOUN PUNCT ADV ADJ NOUN VERB PRON NOUN AUX VERB ADP PUNCT SPACE NOUN PUNCT PROPN ADP X NOUN ADV X PROPN AUX ADJ ADP PUNCT VERB PART VERB NOUN ADP PRON PRON NOUN CCONJ PRON PRON AUX VERB PUNCT SPACE NOUN PUNCT VERB PRON ADJ NOUN PRON AUX AUX VERB NOUN ADP ADP PROPN PUNCT SPACE NUM ADV ADJ AUX PRON NOUN SCONJ PART VERB ADP PUNCT NOUN ADP ADP ADJ NOUN PUNCT SPACE NUM PROPN ADP NOUN NUM ADP PROPN NOUN PUNCT SPACE NUM ADJ NOUN VERB PROPN NOUN X ADV PUNCT NOUN PUNCT ADV ADJ NOUN VERB ADJ NOUN PUNCT PROPN PUNCT ADV ADJ NOUN VERB ADJ NOUN PUNCT SPACE NUM SCONJ PRON VERB ADP NOUN PUNCT VERB PRON ADJ,0.061170212765957445,0.44344238975817907,192,752,0.4947916666666667,0.1170680573792593
"[Det, er, veldig, viktig, med, riktig, sko, for, barnet, ditt, ., Ikke, alle, er, klare, over, hvordan, dette, bør, gjøres, ,, og, her, er, det, noen, tips, som, er, gode, å, ta, med, seg, når, man, skal, kjøpe, sko, til, barnas, føtter, ., 
, 1., Riktig, størrelse, ., 
, Det, er, viktig, at, man, finner, rett, størrelse, på, skoen, ., Det, er, dessverre, altfor, vanlig, å, velge, for, store, sko, til, barn, ., Sko, skal, jo, sitte, godt, rundt, foten, og, skal, ikke, klemme, for, at, skoene, er, for, store, ,, men, passformen, må, være, riktig, ., Har, du, et, lite, barn, under, 3, som, ikke, klarer, å, finne, riktig, sko, når, de, er, blitt, så, store, ,, kan, det, være, smart, å, få, en, ekspert, til, å, måle, barnets, fot, ., Det, er, veldig, enkelt, å, sjekke, størrelsene, på, skoen, med, å, bruke, et, målebånd, ., Sko, skal, jo, i, all, hovedsak, sitte, skikkelig, godt, ., Mål, skostørrelsen, i, millimeter, ,, og, les, av, på, siden, av, skoen, hvilken, størrelse, det, er, ., Det, står, oppgitt, mange, skostørrelser, ,, så, det, letteste, er, å, finne, frem, målebåndet, og, finne, skostørrelsen, som, er, nærmest]",PRON AUX ADJ ADJ ADP ADJ NOUN ADP NOUN PRON PUNCT PART PRON AUX ADJ SCONJ ADV PRON AUX VERB PUNCT CCONJ ADV VERB PRON DET NOUN PRON AUX ADJ PART VERB ADP PRON SCONJ PRON AUX VERB NOUN ADP NOUN NOUN PUNCT SPACE NUM ADJ NOUN PUNCT SPACE PRON AUX ADJ SCONJ PRON VERB ADJ NOUN ADP NOUN PUNCT PRON AUX ADV ADV ADJ PART VERB ADP ADJ NOUN ADP NOUN PUNCT NOUN AUX ADV VERB ADJ ADP NOUN CCONJ AUX PART VERB SCONJ SCONJ NOUN AUX ADV ADJ PUNCT CCONJ NOUN AUX AUX ADJ PUNCT VERB PRON DET ADJ NOUN ADP NUM PRON PART VERB PART VERB ADJ NOUN SCONJ PRON AUX VERB ADV ADJ PUNCT AUX PRON AUX ADJ PART VERB DET NOUN SCONJ PART VERB NOUN NOUN PUNCT PRON AUX ADJ ADJ PART VERB NOUN ADP NOUN SCONJ PART VERB DET NOUN PUNCT NOUN AUX ADV ADP DET NOUN VERB ADJ ADJ PUNCT VERB NOUN ADP NOUN PUNCT CCONJ VERB ADP ADP NOUN ADP NOUN DET NOUN PRON AUX PUNCT PRON VERB ADJ ADJ NOUN PUNCT CCONJ DET ADJ AUX PART VERB ADP NOUN CCONJ VERB NOUN PRON AUX ADJ,0.03796095444685466,0.3675601374570442,194,922,0.6185567010309279,0.3058709303523941
