tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, også, mange, andre, sterke, resultater, fra, de, yngre, utøveme, i, klubben, ., SIFFER, FRA, FOREGÅENDE, Rennet, var, det, første, i, en, lengre, periode, med, innendørskonkurranser, i, langrenn, ., 
, som, skal, arrangeres, ,, men, det, var, likevel, mange, sterke, resultater, ., I, gutter, 13, år, var, det, bare, en, løper, som, stilte, til, start, i, klassen, ,, men, denne, løperen, fra, SILs, 11-13, års, lag, viste, seg, likevel, å, være, den, sterkeste, i, løypa, ., Henrik, Stakkenes, vant, klas, sen, hele, 46, sekunder, foran, andre, mann, i, klassen, ., -, Henrik, kom, i, mål, med, tiden, 6,05, minutter, på, de, 1,1, kilo, meter, lange, løypa, ., Dermed, lå, han, 46, sekunder, foran, andremann, ,, Henrik, Lien, ,, fra, BOIF, ,, sier, Jan, Erik, Vassnes, i, SIF, Ski, ., I, samme, klasse, kom, også, Noah, Øksnes, ,, en, av, de, ferskeste, skiløperne, i, klubben, ,, på, en, sterk, 5., plass, ., -, Han, gjennomførte, på, en, meget, sterk, tid, ,, 6,25, minutter, ., 
, På, jentesiden, var, det]",CCONJ PRON VERB ADV ADJ DET ADJ NOUN ADP DET ADJ ADJ ADP NOUN PUNCT PROPN PROPN PROPN NOUN AUX DET ADJ ADP DET ADJ NOUN ADP NOUN ADP NOUN PUNCT SPACE PRON AUX VERB PUNCT CCONJ PRON VERB ADV ADJ ADJ NOUN PUNCT ADP NOUN NUM NOUN AUX PRON ADV PRON NOUN PRON VERB ADP NOUN ADP NOUN PUNCT CCONJ DET NOUN ADP PROPN NUM NOUN NOUN VERB PRON ADV PART AUX DET ADJ ADP NOUN PUNCT PROPN PROPN VERB NOUN ADJ ADJ NUM NOUN ADP ADJ NOUN ADP NOUN PUNCT PUNCT PROPN VERB ADP NOUN ADP NOUN NUM NOUN ADP DET NUM NOUN NOUN ADJ NOUN PUNCT ADV VERB PRON NUM NOUN ADP NOUN PUNCT PROPN PROPN PUNCT ADP PROPN PUNCT VERB PROPN PROPN PROPN ADP PROPN PROPN PUNCT ADP DET NOUN VERB ADV PROPN PROPN PUNCT DET ADP DET ADJ NOUN ADP NOUN PUNCT ADP DET ADJ ADJ NOUN PUNCT PUNCT PRON VERB ADP DET ADV ADJ NOUN PUNCT NUM NOUN PUNCT SPACE ADP NOUN AUX PRON,0.0658682634730539,0.4023918575063608,170,835,0.4823529411764706,0.1958596503777069
"[Det, var, ein, av, dei, som, har, levd, med, den, gamle, løysinga, i, alle, år, ,, John, Gunnar, Lotsberg, som, tok, turen, til, råd, huset, for, å, ta, imot, blomen, ., 
, Tek, ein, vekk, ein, så, er, det, likevel, fleire, att, ,, så, her, er, me, framme, ved, ein, av, dei, viktigaste, grunnane, til, irritasjon, ., Det, er, mykje, større, trafikk, enn, før, som, køyrer, til, og, frå, Lote, ., Dei, tek, nemleg, turen, over, Anda, når, dei, skal, ut, av, kommu, nen, ., 
, i, krysset, på, Lote, og, på, Kryssanes, ., Og, det, er, klart, at, trafikantane, sparer, mykje, tid, når, det, vert, halde, på, denne, måten, ,, sjølv, om, det, kostar, dyrt, i, tapt, arbeidsforteneste, ., Ein, slik, løysing, fungerer, godt, over, kortare, tidsrom, ,, men, over, så, lange, perioder, strekk, ikkje, den, teoretiske, lønsemda, til, ., 
, Vegen, er, ikkje, lagt, i, ei, stor, sløyfe, gjennom, sentrum, og, dette, medfører, store, trafikale, problem, ., I, rushtida, må, alle, køyre, i, lag, i, ein, og, same, rate, ., Dette, fører]",PRON AUX X ADP NOUN PRON AUX VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT PROPN PROPN PROPN PRON VERB NOUN ADP NOUN NOUN SCONJ PART VERB ADP NOUN PUNCT SPACE PROPN X X PROPN ADV AUX PRON ADV X X PUNCT CCONJ ADV AUX X X ADP X ADP X ADJ NOUN ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN ADP ADP SCONJ VERB ADP CCONJ X PROPN PUNCT X X NOUN NOUN ADP PROPN SCONJ PRON VERB ADP ADP NOUN NOUN PUNCT SPACE ADP NOUN ADP PROPN CCONJ ADP PROPN PUNCT CCONJ PRON AUX ADJ SCONJ PROPN VERB ADJ NOUN SCONJ PRON ADJ NOUN ADP DET NOUN PUNCT NOUN ADP DET VERB ADJ ADP ADJ NOUN PUNCT X ADV NOUN VERB ADJ ADP ADJ NOUN PUNCT CCONJ ADP ADV ADJ NOUN NOUN X DET ADJ NOUN ADP PUNCT SPACE NOUN AUX ADV VERB ADP DET ADJ NOUN ADP NOUN CCONJ PRON VERB ADJ ADJ NOUN PUNCT ADP NOUN AUX DET NOUN ADP NOUN ADP X CCONJ X NOUN PUNCT PRON VERB,0.04578313253012048,0.384071702944942,174,830,0.6091954022988506,0.29263905799877094
"[Det, var, så, vakkert, og, så, fullt, av, liv, her, mellom, fjellene, og, åsryg, gene, ,, det, var, så, mange, slags, farger, her, og, solnedgangen, kunne, være, helt, ubeskrivelig, vakker, ,, sa, han, ,, nesten, andektig, i, stemmen, ., 
, Ingrid, forsto, at, han, var, helt, be, tatt, av, den, storslåtte, naturen, ,, og, hun, måtte, tilstå, for, ham, alt, det, gilde, hun, hadde, opplevd, her, på, Bjønnhaug, ., Da, fikk, han, også, høre, om, den, nye, husbonden, som, de, begge, var, så, i, glad, i., Han, var, nok, mer, enn, elskverdig, som, had, de, festet, både, Ingrid, og, henne, og, tatt, på, seg, det, hele, ansvare, ., Jeg, undrer, meg, på, om, han, vir, kelig, er, så, begeistret, for, både, deg, og, meg, ,, sa, Tore, ., Tenk, om, han, hadde, en, eller, annen, kjæreste, an, dre, steder, ,, sa, han, spøkefullt, ., Ingrid, måtte, også, le, ., Nei, ,, du, må, ikke, bli, forel, sket, i, Lars, slik, på, stående, flek, ken, ., Først, må, du, bli, bedre, kjent, med, ham, ,, sa, hun, ., Forresten, er, han, vel]",PRON AUX ADV ADJ CCONJ ADV ADJ ADP NOUN ADV ADP NOUN CCONJ PROPN NOUN PUNCT PRON VERB ADV ADJ NOUN NOUN ADV CCONJ NOUN AUX AUX ADJ ADJ ADJ PUNCT VERB PRON PUNCT ADV ADJ ADP NOUN PUNCT SPACE PROPN VERB SCONJ PRON AUX ADJ AUX VERB ADP DET ADJ NOUN PUNCT CCONJ PRON AUX VERB ADP PRON DET DET NOUN PRON AUX VERB ADV ADP PROPN PUNCT ADV AUX PRON ADV VERB ADP DET ADJ NOUN PRON DET DET AUX ADV ADP ADJ PUNCT PRON AUX ADV ADJ ADP ADJ PRON VERB PRON VERB CCONJ PROPN CCONJ PRON CCONJ VERB ADP PRON DET ADJ NOUN PUNCT PRON VERB PRON SCONJ SCONJ PRON NOUN ADJ AUX ADV ADJ ADP CCONJ PRON CCONJ PRON PUNCT VERB PROPN PUNCT VERB SCONJ PRON VERB DET CCONJ DET NOUN ADV NOUN NOUN PUNCT VERB PRON ADJ PUNCT PROPN AUX ADV VERB PUNCT INTJ PUNCT PRON AUX PART AUX VERB VERB ADP PROPN ADV ADP ADJ PROPN NOUN PUNCT ADV AUX PRON VERB ADJ VERB ADP PRON PUNCT VERB PRON PUNCT ADV AUX PRON ADV,0.04495747266099635,0.3792506459948329,181,823,0.6353591160220995,0.1730950351788095
"[Ja, det, var, en, rigtig, dejlig, dag, !, Vi, havde, et, utroligt, godt, vejr, og, der, var, rigtig, mange, mennesker, ,, så, jeg, tror, vi, kan, være, tilfredse, med, arrangementet, ., Hvis, man, læser, referatet, fra, vores, infomøde, i, januar, ,, kan, man, se, en, masse, forslag, til, hvordan, der, kunne, tages, hul, på, de, nye, muligheder, ., 
, Jeg, mangler, stadig, et, par, sponsorer, til, en, eller, flere, opgaver, ,, måske, til, at, tage, foto, ,, måske, i, form, af, en, sponsor, ., Hvis, du, har, en, løsning, ,, som, du, vil, tilbyde, os, ,, så, hører, jeg, gerne, fra, dig, ., Hvis, ikke, vi, får, den, hjælp, som, foreslået, på, vores, infomøde, ,, så, vil, vi, arbejde, på, at, få, et, samarbejde, op, at, stå, og, så, må, vi, efterfølgende, se, på, om, vi, kan, få, vores, ønske, opfyldt, ved, hjælp, fra, sponsorer, ., Når, det, så, er, sagt, ,, så, er, vi, meget, taknemmelige, over, al, den, hjælp, som, vi, allerede, har, modtaget, ,, også, fra, sponsorerne, ., Stor, tak, ., Det, vil, ikke, være, muligt, for, os, at, opfylde, alle, vores, ønsker, ,, uden, den, hjælp, og, støtte, ,, som, vi, har, få]",INTJ PRON AUX DET ADJ ADJ NOUN PUNCT PRON VERB DET ADJ ADJ NOUN CCONJ ADV AUX ADJ ADJ NOUN PUNCT CCONJ PRON VERB PRON AUX AUX ADJ ADP NOUN PUNCT SCONJ PRON VERB NOUN ADP PROPN ADJ ADP NOUN PUNCT AUX PRON VERB DET ADJ NOUN ADP ADV ADV AUX VERB VERB ADP DET ADJ NOUN PUNCT SPACE PRON VERB ADJ DET NOUN NOUN ADP DET CCONJ ADJ NOUN PUNCT ADJ SCONJ SCONJ PROPN NOUN PUNCT ADJ ADP NOUN X DET NOUN PUNCT SCONJ PRON VERB DET NOUN PUNCT PRON PRON AUX VERB PROPN PUNCT ADV VERB PRON NOUN ADP NOUN PUNCT SCONJ PART PRON VERB DET NOUN PRON NOUN ADP PROPN ADJ PUNCT ADV AUX PRON VERB SCONJ SCONJ VERB DET NOUN X SCONJ VERB CCONJ ADV AUX PRON ADJ VERB SCONJ SCONJ PRON AUX VERB ADJ NOUN ADJ ADP NOUN ADP NOUN PUNCT SCONJ PRON ADV AUX VERB PUNCT ADV AUX PRON ADV ADJ ADP ADV DET NOUN PRON PRON ADV AUX NOUN PUNCT ADV ADP NOUN PUNCT ADJ NOUN PUNCT PRON AUX PART AUX X ADP PROPN SCONJ PROPN DET NOUN VERB PUNCT PROPN DET NOUN CCONJ NOUN PUNCT PRON PRON AUX VERB,0.038461538461538464,0.38689895470383245,197,910,0.5786802030456852,0.1953741498618987
"[Ja, det, er, så, sant, og, så, sant, ,, sa, Marte, og, la, hånden, på, hjertet, ., Når, det, gjelder, å, være, ærlig, og, oppriktig, kan, en, itte, pruta, på, det, ,, sa, ho, og, sukket, ., Men, nå, er, je, kaffetørst, og, vil, gå, opp, i, hytta, og, koke, meg, ein, nysila, kopp, ,, sa, ho, ., Ja, ,, gjør, akkurat, som, du, vil, ,, sa, Mari, og, ruslet, uten, videre, opp, over, mot, hytta, for, å, lage, mat, til, han, Anton, ., 
, en, kveld, igjen, uten, et, kjærlig, ord, ., Da, er, det, nok, best, å, passe, på, sjølv, om, en, er, litt, ut, på, åra, kommen, ,, sa, Marte, og, sukket, på, ny, ., Men, ho, ville, ikke, slippe, den, triste, tanken, likevel, ., Hadde, ho, vært, som, andre, kunne, ho, nå, vært, gift, for, lenge, sia, med, en, bra, kar, som, virkelig, var, glad, i, henne, ., 
, enkemann, ., Ho, sukket, på, ny, og, ga, seg, til, med, strikkinga, ., Tankene, er, gode, å, ha, ,, tenkte, ho, ,, og, som, dagene, gikk, fikk, ho, en, til, givelig, knekk, på, nakken, ., 
, Ho]",INTJ PRON AUX ADV ADJ CCONJ ADV ADJ PUNCT VERB PROPN CCONJ VERB NOUN ADP NOUN PUNCT SCONJ PRON VERB PART AUX ADJ CCONJ ADJ AUX DET NOUN X ADP PRON PUNCT VERB NOUN CCONJ VERB PUNCT CCONJ ADV AUX PRON ADJ CCONJ AUX VERB ADP ADP NOUN CCONJ VERB PRON X X NOUN PUNCT VERB NOUN PUNCT INTJ PUNCT VERB ADV PRON PRON VERB PUNCT VERB PROPN CCONJ VERB ADP ADJ ADP ADP ADP NOUN SCONJ PART VERB NOUN ADP PRON PROPN PUNCT SPACE DET NOUN ADV ADP DET ADJ NOUN PUNCT ADV AUX PRON ADV ADJ PART VERB ADP NOUN SCONJ PRON AUX ADJ ADP ADP NOUN NOUN PUNCT VERB PROPN CCONJ VERB ADP ADJ PUNCT CCONJ NOUN AUX PART VERB DET ADJ NOUN ADV PUNCT AUX NOUN AUX ADP DET AUX PROPN ADV AUX ADJ ADP ADJ NOUN ADP DET ADJ NOUN PRON ADJ AUX ADJ ADP PRON PUNCT SPACE NOUN PUNCT PROPN VERB ADP ADJ CCONJ VERB PRON ADP ADP NOUN PUNCT NOUN AUX ADJ PART VERB PUNCT VERB PROPN PUNCT CCONJ PRON NOUN VERB VERB NOUN PRON ADP ADJ NOUN ADP NOUN PUNCT SPACE X,0.04504504504504504,0.3847802197802193,190,777,0.631578947368421,0.21690372904136135
"[Så, var, det, en, gang, en, stor, høvding, ,, som, ikke, hadde, noen, venner, ., De, mente, at, han, burde, skaffe, seg, en, ,, iallfall, en, slave, ., Men, høvdingen, syntes, ikke, det, kunne, være, noe, morsomt, ., Så, fikk, en, av, mennene, hans, denne, lyse, idéen, :, du, kan, kjøpe, deg, ,, en, venn, ., Høvdingen, gjorde, det, og, traff, en, mann, som, han, kjente, fra, gammelt, av, ,, og, som, ble, hans, gode, venn, ., Mannen, kalte, seg, Abu, ,, men, høvdingen, gjorde, ikke, noe, mere, med, det, siden, ., 
, En, dag, ville, Abu, at, høvdingen, skulle, vise, han, veien, til, en, stor, og, hellig, by, der, det, bodde, mange, menn, ., Høvdingen, gjorde, det, ,, men, på, veien, dit, møtte, de, andre, som, ikke, hadde, noen, leder, ,, og, til, slutt, var, det, flere, som, gikk, fram, og, tilbake, og, spurte, om, hverandre, ., Derfor, ville, høvdingen, ikke, vise, dem, til, byen, likevel, ,, men, lot, dem, gå, til, de, kom, til, et, vann, og, et, tre, ., Men, de, visste, ikke, hvilken, vei, de, skulle, gå, for, å, finne, veien, ., Derfor, spurte, de, det, hvite, treet, om, veien, ., Det]",ADV AUX PRON DET NOUN DET ADJ NOUN PUNCT PRON PART VERB DET NOUN PUNCT PRON VERB SCONJ PRON AUX VERB PRON DET PUNCT ADV DET NOUN PUNCT CCONJ NOUN VERB PART PRON AUX AUX DET ADJ PUNCT ADV VERB DET ADP NOUN PRON DET ADJ NOUN PUNCT PRON AUX VERB PRON PUNCT DET NOUN PUNCT NOUN VERB PRON CCONJ VERB DET NOUN PRON PRON VERB ADP ADJ ADP PUNCT CCONJ PRON VERB PRON ADJ NOUN PUNCT NOUN VERB PRON PROPN PUNCT CCONJ NOUN VERB PART DET ADJ ADP PRON ADV PUNCT SPACE DET NOUN AUX PROPN SCONJ NOUN AUX VERB PRON NOUN ADP DET ADJ CCONJ ADJ NOUN SCONJ PRON VERB ADJ NOUN PUNCT NOUN VERB PRON PUNCT CCONJ ADP NOUN ADV VERB DET DET PRON PART VERB DET NOUN PUNCT CCONJ ADP NOUN AUX PRON ADJ PRON VERB ADP CCONJ ADP CCONJ VERB ADP PRON PUNCT ADV AUX NOUN PART VERB PRON ADP NOUN ADV PUNCT CCONJ VERB PRON VERB SCONJ PRON VERB ADP DET NOUN CCONJ DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN PRON AUX VERB SCONJ PART VERB NOUN PUNCT ADV VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON,0.040586245772266064,0.37245823389021376,196,887,0.6581632653061225,0.19528843572120588
"[Det, var, som, om, alt, var, mulig, :, Jeg, hadde, vunnet, VM, på, 200, m, butterfly, ,, og, for, et, års, tid, siden, var, jeg, blitt, kåret, til, Europas, beste, stup, ., Dessuten, hadde, jeg, et, helt, nytt, liv, foran, meg, ,, en, ny, mann, å, ta, hensyn, til, ,, et, nytt, land, :, Tyskland, !, De, ville, bli, vanskelig, å, overtale, til, å, gi, slipp, på, meg, -, og, jeg, ville, ikke, bli, en, av, de, mange, østeuropeiske, svømmeme, som, flytter, videre, til, nye, arenaer, og, nye, penger, ., Ville, mine, tyske, motstandere, ha, meg, nå, ,, kunne, det, bli, lettere, å, overtale, dem, ., Jeg, hadde, ikke, den, minste, lyst, til, å, flytte, fra, Tyskland, ,, som, jeg, elsket, ,, og, til, de, gamle, sovjetstatene, ,, som, jeg, avskydde, -, akkurat, som, jeg, avskydde, alt, som, kom, fra, Korea, og, Kina, ., 
, Jeg, hadde, rett, og, slett, ikke, noe, sted, å, vende, tilbake, til, ,, ingen, karriere, ,, ingen, berømmelse, ., Jeg, kunne, flytte, til, Vesten, ,, men, hvorfor, skulle, jeg, det, ?, Igjen, ville, livet, bli, et, annet, ,, og, jeg, ville, bli, minnet, om, fortiden, hver, eneste, dag, ., 
, Og]",PRON AUX ADP SCONJ PRON AUX ADJ PUNCT PRON AUX VERB NOUN ADP NUM NOUN NOUN PUNCT CCONJ ADP DET NOUN NOUN ADV AUX PRON AUX VERB ADP PROPN ADJ NOUN PUNCT ADV VERB PRON DET ADJ ADJ NOUN ADP PRON PUNCT DET ADJ NOUN PART VERB NOUN ADP PUNCT DET ADJ NOUN PUNCT PROPN PUNCT PRON AUX VERB ADJ PART VERB SCONJ PART VERB NOUN ADP PRON PUNCT CCONJ PRON AUX PART VERB DET ADP DET ADJ ADJ NOUN PRON VERB ADJ ADP ADJ NOUN CCONJ ADJ NOUN PUNCT AUX PRON ADJ NOUN VERB PRON ADV PUNCT AUX PRON VERB ADJ PART VERB PRON PUNCT PRON VERB PART DET ADJ NOUN SCONJ PART VERB ADP PROPN PUNCT PRON PRON VERB PUNCT CCONJ ADP DET ADJ NOUN PUNCT PRON PRON VERB PUNCT ADV PRON PRON VERB PRON PRON VERB ADP PROPN CCONJ PROPN PUNCT SPACE PRON VERB ADJ CCONJ ADJ PART DET NOUN PART VERB ADP ADP PUNCT DET NOUN PUNCT DET NOUN PUNCT PRON AUX VERB ADP PROPN PUNCT CCONJ ADV AUX PRON PRON PUNCT ADV AUX NOUN VERB DET DET PUNCT CCONJ PRON AUX AUX VERB ADP NOUN DET NUM NOUN PUNCT SPACE CCONJ,0.04666666666666667,0.38326674500587454,196,900,0.6479591836734694,0.226061422653113
"[Det, er, ikkje, sikkert, at, alle, vil, bli, høyrde, ., Men, vi, trur, at, det, som, kjem, inn, til, oss, av, tips, og, idear, til, kva, vi, kan, gjere, og, kor, vi, kan, reise, gjer, at, vi, i, Sogn, og, Fjordane, ikkje, kan, la, vere, å, prøve, å, oppfylle, mange, ønskje, ., Denne, sommaren, vil, bli, annleis, ., Vi, har, lagt, bort, all, reiseverksemd, innanlands, ., Vi, vil, prøve, å, få, mest, mogeleg, ut, av, det, naturen, har, å, by, på, –, med, ei, avgrensa, mengd, reisemål, ,, men, samtidig, opne, for, meir, bruk, av, dei, lokale, tilboda, i, kvar, kommune, ., Dette, betyr, også, at, vi, tek, den, auka, etterspurnaden, etter, aktivitetar, og, overnatting, på, alvor, og, aukar, tilbodet, noko, ., Vi, tek, smittevern, til, etterretning, ,, men, ikkje, berre, for, å, ta, omsyn, til, andre, ,, men, også, for, å, sleppe, å, måtte, stenge, ned, ., I, Sogn, og, Fjordane, har, vi, ingen, tradisjon, for, å, bygge, ned, den, fantastiske, naturen, vår, for, å, unngå, at, folk, skal, nytte, den, ., Vi, ser, difor, ikkje, grunn, til, å, nekte, folk, å, gå]",PRON AUX ADV ADJ SCONJ PRON AUX VERB ADJ PUNCT CCONJ PRON VERB SCONJ PRON PRON VERB ADP ADP PRON ADP NOUN CCONJ NOUN ADP NOUN PRON AUX VERB CCONJ ADV PRON AUX VERB VERB SCONJ PRON ADP PROPN CCONJ PROPN X AUX VERB VERB PART VERB PART VERB ADJ NOUN PUNCT DET NOUN AUX VERB ADV PUNCT PRON AUX VERB ADP DET PROPN NOUN PUNCT PRON AUX VERB PART VERB ADJ NOUN ADP ADP PRON NOUN VERB PART VERB ADP PUNCT ADP DET ADJ ADJ NOUN PUNCT CCONJ ADJ ADJ ADP PROPN NOUN ADP NOUN ADJ PROPN ADP X NOUN PUNCT PRON VERB ADV SCONJ PRON VERB DET X NOUN ADP NOUN CCONJ NOUN ADP NOUN CCONJ PROPN NOUN X PUNCT PRON VERB NOUN ADP NOUN PUNCT CCONJ X ADV SCONJ PART VERB NOUN ADP DET PUNCT CCONJ ADV SCONJ PART VERB PART AUX VERB ADP PUNCT ADP PROPN CCONJ PROPN VERB PRON DET NOUN SCONJ PART VERB ADP DET ADJ NOUN PRON SCONJ PART VERB SCONJ NOUN AUX VERB PRON PUNCT PRON VERB X X NOUN SCONJ PART VERB NOUN PART VERB,0.037800687285223365,0.3681796116504859,184,873,0.6847826086956522,0.25808372830295734
"[Kor, mange, prosent, av, ei, flaske, brus, er, det, plass, til, i, ein, boks, ?, 
, Mor, til, ei, venninne, av, meg, er, lærar, på, ein, skule, som, blei, lagt, ned, før, sommaren, ., Det, skjedde, to, veker, før, det, nye, skule, året, starta, ., Det, var, tre, skular, til, saman, :, Gurskøy, barne-, og, ungdomsskule, ,, Gurskøy, ungdomsskule, og, Rafteset, skule, ., Kva, blei, nyskulen, på, Gur, skøya, kalla, ?, 
, To, gongar, før, sommaren, ., Kven, var, det, som, blei, tilsett, som, rektor, her, ?, 
, To, av, dei, tre, ungdomsskulane, blei, lagt, ned, ,, kva, blei, ny, skule, for, ungdomsskule, på, Gursk, øya, ?, 
, Rafteset, skule, låg, på, Gurskanes, ,, men, kva, for, namn, fekk, nærs, kulen, då, denne, vart, lagt, ned, ?, Kven, blei, tilsett, som, rektor, ?, 
, Og, her, enda, ferien, :, Gurskøy, ungdomsskule, låg, på, Dragsund, ,, blei, delt, mellom, Ulstein, vgs., og, Herøy, vgs., ,, og, det, blei, oppretta, ny, nærskule]",ADV ADJ NOUN ADP DET NOUN NOUN VERB PRON NOUN ADP ADP X NOUN PUNCT SPACE NOUN ADP DET NOUN ADP PRON AUX PROPN ADP X PROPN PRON AUX VERB ADP ADP NOUN PUNCT PRON VERB NUM NOUN ADP DET ADJ NOUN NOUN VERB PUNCT PRON AUX NUM PROPN ADP PROPN PUNCT PROPN NOUN CCONJ NOUN PUNCT PROPN NOUN CCONJ PROPN NOUN PUNCT X VERB NOUN ADP PROPN NOUN X PUNCT SPACE NUM NOUN ADP NOUN PUNCT NOUN AUX PRON PRON VERB VERB SCONJ NOUN ADV PUNCT SPACE NUM ADP NOUN NUM ADJ AUX VERB ADP PUNCT X VERB ADJ NOUN ADP NOUN ADP PROPN NOUN PUNCT SPACE NOUN X X ADP PROPN PUNCT CCONJ PROPN X NOUN X PROPN NOUN X X AUX VERB ADP PUNCT NOUN X VERB SCONJ NOUN PUNCT SPACE CCONJ ADV ADV NOUN PUNCT PROPN NOUN X ADP PROPN PUNCT AUX VERB ADP PROPN PROPN CCONJ PROPN PROPN PUNCT CCONJ PRON ADJ VERB ADJ PROPN,0.05291005291005291,0.413041018387553,160,756,0.54375,0.11570427661058554
"[Det, er, veldig, sjelden, brannvesenet, i, Risør, rykker, ut, til, en, gressbrann, ., Faktisk, så, har, det, bare, skjedd, én, gang, siden, år, 2000., 
, –, Vi, rykker, i, hvert, fall, ikke, ut, på, en, gressbrann, ,, det, har, vi, ikke, utstyr, eller, ressurser, til, å, klare, ., Det, er, noen, som, har, vært, veldig, uheldige, ,, men, det, er, ingenting, vi, får, gjort, med, det, ,, sier, brannmester, ved, stasjonen, i, Risør, ,, Helge, Hansen, Myren, ., 
, Men, så, er, det, engang, slik, at, det, er, veldig, mange, branner, som, aldri, blir, registrert, som, branner, i, Risør, –, enten, fordi, de, ikke, oppdages, eller, fordi, man, kommer, så, raskt, til, at, brannen, blir, slukket, av, seg, selv, ., Derfor, hadde, det, vært, veldig, bra, for, brannvesenet, å, få, vite, om, de, få, gressbrannene, som, faktisk, skjer, i, Risør, på, sommeren, ,, mener, Myren, ., 
, –, Det, hadde, vært, greit, å, finne, ut, av, det, ,, for, vi, har, nok, litt, av, de, også, ., Vi, er, så, vant, med, at, sommerbrannene, bare, er, bål, på, stranden, og, bråtebrenning, i, hager, ,]",PRON AUX ADJ ADV NOUN ADP PROPN VERB ADP ADP DET NOUN PUNCT ADJ ADV AUX PRON ADV VERB NUM NOUN ADP NOUN NUM SPACE PUNCT PRON VERB ADP DET NOUN PART ADP ADP DET NOUN PUNCT PRON VERB PRON PART NOUN CCONJ NOUN SCONJ PART VERB PUNCT PRON AUX PRON PRON AUX AUX ADJ ADJ PUNCT CCONJ PRON VERB PRON PRON AUX VERB ADP PRON PUNCT VERB NOUN ADP NOUN ADP PROPN PUNCT PROPN PROPN PROPN PUNCT SPACE CCONJ ADV AUX PRON ADV ADV SCONJ PRON AUX ADJ ADJ NOUN PRON ADV AUX VERB SCONJ NOUN ADP PROPN PUNCT CCONJ SCONJ PRON PART VERB CCONJ SCONJ PRON VERB ADV ADJ SCONJ SCONJ NOUN AUX VERB ADP PRON DET PUNCT ADV AUX PRON AUX ADJ ADJ ADP NOUN PART AUX VERB SCONJ DET ADJ NOUN PRON ADJ VERB ADP PROPN ADP NOUN PUNCT VERB PROPN PUNCT SPACE PUNCT PRON AUX AUX ADJ PART VERB ADP ADP PRON PUNCT CCONJ PRON VERB ADV ADJ ADP PRON ADV PUNCT PRON AUX ADV ADJ SCONJ SCONJ NOUN ADV AUX NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT,0.04342857142857143,0.37065375302663495,184,875,0.6793478260869565,0.2650809160294163
