tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, få, kontakt, med, uregistrerte, radioamatører, på, en, senere, ekspedisjon, ,, skal, ikke, være, gitt, ., Heller, ikke, skal, det, ha, vært, noe, system, for, kontakt, med, omverdenen, etter, at, man, har, landet, ., 
, Det, er, også, grunn, til, å, merke, seg, at, han, skriver, i, brevet, til, sin, far, :, «, Er, det, greit, du, ringer, mor, når, jeg, har, landet, og, si, jeg, kommer, snart, hjem, og, at, det, er, ikke, noe, farlig, ?, For, å, være, på, den, sikre, siden, », ., 
, Dette, har, fått, mange, av, Nessims, slektninger, ,, venner, og, bekjente, til, å, lure, på, om, de, to, skal, gjennomføre, ekspedisjonen, uten, å, ha, sagt, i, fra, til, noen, som, kan, varsle, Nessims, samboer, eller, foreldre, når, de, er, trygt, nede, på, jorda, igjen, ., 
, -, Når, man, ser, hvilke, typer, oppdrag, han, tidligere, har, tatt, på, seg, og, det, han, skriver, om, forholdet, til, sine, foreldre, ,, er, det, lett, å, tenke, seg, at, de, vil, ha, problemer, med, å, ta, kontakt, etter, ekspedisjonen, ., Det, er, lett, å, forstå, deres, motivasjon, ,, sier, en, nordmann, som, står, Nessims, familie]",DET NOUN ADP NOUN PRON AUX VERB NOUN ADP ADJ NOUN ADP DET ADJ NOUN PUNCT AUX PART AUX VERB PUNCT ADV PART AUX PRON AUX AUX DET NOUN ADP NOUN ADP NOUN SCONJ SCONJ PRON VERB NOUN PUNCT SPACE PRON VERB ADV NOUN SCONJ PART VERB PRON SCONJ PRON VERB ADP NOUN ADP PRON NOUN PUNCT PUNCT AUX PRON ADJ PRON VERB NOUN SCONJ PRON VERB NOUN CCONJ VERB PRON VERB ADJ ADP CCONJ SCONJ PRON VERB PART DET ADJ PUNCT SCONJ PART AUX SCONJ DET ADJ NOUN PUNCT PUNCT SPACE PRON AUX VERB ADJ ADP PROPN NOUN PUNCT NOUN CCONJ ADJ SCONJ PART VERB SCONJ SCONJ DET NUM AUX VERB NOUN SCONJ PART AUX VERB ADP ADP ADP PRON PRON AUX VERB PROPN NOUN CCONJ NOUN SCONJ PRON AUX ADJ ADP ADP NOUN ADV PUNCT SPACE PUNCT SCONJ PRON VERB DET NOUN NOUN PRON ADJ AUX VERB ADP PRON CCONJ PRON PRON VERB ADP NOUN ADP PRON NOUN PUNCT AUX PRON ADJ PART VERB PRON SCONJ PRON AUX VERB NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT PRON AUX ADJ PART VERB PRON NOUN PUNCT VERB DET NOUN PRON VERB PROPN NOUN,0.0405982905982906,0.3742051860202918,194,936,0.654639175257732,0.34108176994691003
"[Men, så, banket, jomfru, Hansen, på, døren, ., «, Hvem, banker, ?, », spurte, prin, sen., «, Det, er, en, liten, rotte, ,, », sa, jom, fru, Hansen, ., «, Ja, ,, så, la, den, banke, ,, da, », ,, sa, prinsen, ., 
, Så, banket, det, ., «, Se, til, at, komme, ut, !, 
, «, Ja, ,, nu, kommer, jeg, », ,, sa, rotten, og, løp, inn, av, det, ene, vindu, og, ut, av, det, andre, ., Prinsen, gikk, bort, til, vin, duet, for, å, ta, den, lille, rotten, ,, men, til, sin, forundring, fikk, han, se, en, jomfru, —, som, han, tok, og, satte, på, sitt, kne, og, kysset, ., Neste, morgen, sa, han, :, «, Hvem, er, du, ?, 
, Idag, feirer, Frelsesarmeen, i, Pors, grunn, 75-årsjubileum, ., Av, korpsets, mange, festmøter, kan, nevnes, :, Den, 29., februar, er, det, festmøte, i, anled, ning, 75-årsjubileet, ,, ledet, av, major, Solvang, ,, korpsets, nuværende, chefs, sekretær, ,, som, er, kommet, hit, som, spesiell, gjest, ., På, 70, års-festen, for, 35, år, siden, deltok, vår, nu]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT PUNCT PRON VERB PUNCT PUNCT VERB X PROPN PUNCT PRON AUX DET ADJ NOUN PUNCT PUNCT VERB NOUN PROPN PROPN PUNCT PUNCT INTJ PUNCT ADV VERB DET ADJ PUNCT ADV PUNCT PUNCT VERB NOUN PUNCT SPACE ADV VERB PRON PUNCT PUNCT VERB SCONJ SCONJ VERB ADP PUNCT SPACE PUNCT INTJ PUNCT ADV VERB PRON PUNCT PUNCT VERB NOUN CCONJ VERB ADP ADP DET NUM NOUN CCONJ ADP ADP DET ADJ PUNCT NOUN VERB ADP ADP NOUN NOUN SCONJ PART VERB DET ADJ NOUN PUNCT CCONJ ADP PRON NOUN AUX PRON VERB DET NOUN PUNCT PRON PRON VERB CCONJ VERB ADP PRON NOUN CCONJ VERB PUNCT DET NOUN VERB PRON PUNCT PUNCT PRON AUX PRON PUNCT SPACE ADV VERB PROPN ADP PROPN NOUN NOUN PUNCT ADP NOUN ADJ NOUN AUX VERB PUNCT DET ADJ NOUN AUX PRON NOUN ADP X NOUN NOUN PUNCT VERB ADP NOUN PROPN PUNCT NOUN ADJ PROPN NOUN PUNCT PRON AUX VERB ADV SCONJ ADJ NOUN PUNCT ADP NUM NOUN ADP NUM NOUN ADV VERB PRON ADV,0.06933333333333333,0.41851640513552013,178,750,0.47191011235955055,0.20546992475526116
"[Det, synspunkt, at, miljøskifte, og, omplassering, kan, helbrede, psykopati, ,, har, vunnet, innpass, som, en, meget, sterk, behandlingsteknikk, ved, enkelte, psykiatriske, institusjoner, ., Prinsippet, bygger, på, at, psykopaten, i, et, nytt, miljø, vil, kunne, få, nye, impulser, som, vil, kunne, virke, utviklende, på, hans, følelsesliv, ., Samtidig, håper, man, at, de, nye, miljøbetingelsene, vil, skape, en, sosial, kontakt, og, trygghetsfølelse, som, vil, kunne, danne, basis, for, en, sunn, følelsesmessig, utvikling, ., Psykopaten, vil, ofte, som, barn, og, ung, ha, vist, at, en, slik, miljøpåvirkning, har, en, gunstig, virkning, på, ham, ., Hvis, miljøpåvirkning, av, dette, slaget, ikke, fører, frem, ,, synes, det, å, være, indikasjon, for, mer, spesielle, psykoterapeutisk, betonte, behandlingsmetoder, overfor, den, følelsesmessig, forstyrrete, psykopat, ., 
, For, å, klarlegge, de, psykopatiske, mekanismer, bedre, ,, er, det, viktig, å, understreke, at, begrepet, psykopat, ikke, er, noe, sykelig, eller, patologisk, i, egentlig, forstand, ., I, noen, grad, er, psykopat-begrepet, brukt, synonymt, med, sosiale, avvikere, ., Dette, er]",DET NOUN SCONJ NOUN CCONJ NOUN AUX VERB NOUN PUNCT AUX VERB NOUN ADP DET ADV ADJ NOUN ADP ADJ ADJ NOUN PUNCT NOUN VERB SCONJ SCONJ NOUN ADP DET ADJ NOUN AUX AUX VERB ADJ NOUN PRON AUX AUX VERB ADJ ADP PRON NOUN PUNCT ADJ VERB PRON SCONJ DET ADJ NOUN AUX VERB DET ADJ NOUN CCONJ NOUN PRON AUX AUX VERB NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN AUX ADJ SCONJ NOUN CCONJ ADJ AUX VERB SCONJ DET DET NOUN VERB DET ADJ NOUN ADP PRON PUNCT SCONJ NOUN ADP DET NOUN PART VERB ADP PUNCT VERB PRON PART AUX NOUN ADP ADJ ADJ ADJ ADJ NOUN ADP DET ADJ ADJ NOUN PUNCT SPACE SCONJ PART VERB DET ADJ NOUN ADJ PUNCT AUX PRON ADJ PART VERB SCONJ NOUN NOUN PART AUX DET ADJ CCONJ ADJ ADP ADJ NOUN PUNCT ADP DET NOUN AUX NOUN VERB ADJ ADP ADJ NOUN PUNCT PRON AUX,0.03553299492385787,0.38497863247863007,157,985,0.5414012738853503,0.17771459230637496
"[Nei, sa, Beatrice, Bare, gå, ut, !, Og, i, dette, øyeblikket, ble, døren, langsomt, lukket, ., 
, I, dette, øyeblikket, ?, sa, Sir, Henry, fort, og, så, på, arm, bandsuret, ., Det, må, ha, vært, mellom, halv, ni, og, et, kvart, på, ni, !, 
, Hør, her, ,, Beatrice, ,, begynte, Poirot, mildt, ,, men, den, gamle, dåmen, var, så, opphisset, at, hun, viftet, utålmodig, med, hånden, ., 
, Hun, var, på, nippet, til, å, bli, hysterisk, ,, og, et, øyeblikk, trodde, Poirot, faktisk, hun, skulle, besvime, ., Men, så, sa, hun, med, skarp, stemme, :, 
, Sir, Henry, og, jeg, vil, gjerne, være, til, så, lite, bryderi, som, mulig, ,, begynte, han, ., De, er, en, gammel, dame, og, vi, er, frem, mede, her, ., Sir, Henry, og, jeg, hadde, tenkt, å, finne, oss, et, Ute, sted, ,, der, vi, kunne, spise, og, sove, og, hvor, vi, kunne, ha, det, mer, eller, mindre, bekvemt, noen, uker, ,, til, denne, saken, er, oppklart, og, vi, kan, reise, vår, vei, ., 
, Nei, !, Nei, !, Det, blir, ikke, snakk, om, å, reise, noe, sted, !, Det, kan, dere, ikke, ,, for, jeg, akter, simpelthen, ikke]",INTJ VERB PROPN ADV VERB ADP PUNCT CCONJ ADP DET NOUN AUX NOUN ADJ VERB PUNCT SPACE ADP DET NOUN PUNCT VERB PROPN PROPN ADJ CCONJ ADV ADP NOUN NOUN PUNCT PRON AUX AUX AUX ADP ADJ NUM CCONJ DET NOUN ADP NUM PUNCT SPACE VERB ADV PUNCT PROPN PUNCT VERB PROPN ADJ PUNCT CCONJ DET ADJ NOUN AUX ADV ADJ SCONJ PRON VERB ADJ ADP NOUN PUNCT SPACE PRON AUX ADP NOUN SCONJ PART VERB ADJ PUNCT CCONJ DET NOUN VERB PROPN ADJ PRON AUX VERB PUNCT CCONJ ADV VERB PRON ADP ADJ NOUN PUNCT SPACE PROPN PROPN CCONJ PRON AUX ADV AUX ADP ADV ADJ NOUN ADP ADJ PUNCT VERB PRON PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADJ ADV PUNCT PROPN PROPN CCONJ PRON AUX VERB PART VERB PRON DET PROPN NOUN PUNCT SCONJ PRON AUX VERB CCONJ VERB CCONJ ADV PRON AUX VERB PRON ADJ CCONJ ADJ NOUN DET NOUN PUNCT ADP DET NOUN AUX VERB CCONJ PRON AUX VERB PRON NOUN PUNCT SPACE INTJ PUNCT INTJ PUNCT PRON VERB PART NOUN SCONJ PART VERB DET NOUN PUNCT PRON VERB PRON PART PUNCT CCONJ PRON VERB ADV PART,0.04970414201183432,0.4008040201005007,195,845,0.5846153846153846,0.24971082296147096
"[For, 2, av, elevene, har, hun, laget, en, oversikt, som, viser, hvor, det, er, blitt, av, dem, etter, endt, skolegang, ., Og, seiv, om, de, fleste, nok, har, slått, seg, ned, på, Hedmarken, ,, så, er, det, elever, som, er, spredt, i, store, deler, av, landet, ., Her, er, en, kort, oppsummering, :, Av, 31, elever, er, 10, døde, ., Åtte, har, vært, innom, fengsel, ,, ifølge, oversikten, ., Sju, er, i, live, og, bosatt, i, Amerika, ,, Canada, og, Australia, ., Fem, bor, i, Oslo, ., To, bor, i, Elverum, ., En, bor, i, Åmot, ,, en, i, Sør-Odal, ,, en, i, Folldal, ., 
, Fire, bor, i, Stange, ,, to, bor, i, Ringsaker, ., En, bor, i, Engerdal, ,, en, i, Trysil, ,, en, i, Hamar, og, en, i, Løten, ., 
, «, Da, jeg, besøkte, Norge, i, 1954, ,, had, de, jeg, en, følelse, av, at, jeg, reiste, i, en, by, av, gamle, kjente, ., Jeg, traff, folk, som, jeg, først, gikk, på, skole, med, i, 1895, og, senere, gikk, videre, på, skole, sammen, med, i, 1896, -1897., Og, folk, som, jeg, gikk, på, skole, med, i, 1902, -19]",ADP NUM ADP NOUN AUX PRON VERB DET NOUN PRON VERB ADV PRON AUX VERB ADP PRON ADP ADJ NOUN PUNCT CCONJ VERB ADP DET ADJ ADV AUX VERB PRON ADP ADP PROPN PUNCT ADV AUX PRON NOUN PRON AUX VERB ADP ADJ NOUN ADP NOUN PUNCT ADV AUX DET ADJ NOUN PUNCT ADP NUM NOUN AUX NUM ADJ PUNCT NUM AUX AUX ADP NOUN PUNCT ADP NOUN PUNCT NUM AUX ADP NOUN CCONJ ADJ ADP PROPN PUNCT PROPN CCONJ PROPN PUNCT NUM VERB ADP PROPN PUNCT NUM VERB ADP PROPN PUNCT PRON VERB ADP PROPN PUNCT DET ADP PROPN PUNCT DET ADP PROPN PUNCT SPACE NUM VERB ADP PROPN PUNCT NUM VERB ADP PROPN PUNCT DET VERB ADP PROPN PUNCT DET ADP PROPN PUNCT DET ADP PROPN CCONJ PRON ADP PROPN PUNCT SPACE PUNCT SCONJ PRON VERB PROPN ADP NUM PUNCT VERB PRON PRON DET NOUN SCONJ SCONJ PRON VERB ADP DET NOUN ADP ADJ ADJ PUNCT PRON VERB NOUN PRON PRON ADV VERB ADP NOUN ADP ADP NUM CCONJ ADJ VERB ADJ ADP NOUN ADV ADP ADP NUM VERB CCONJ NOUN PRON PRON VERB ADP NOUN ADP ADP NUM ADJ,0.06926952141057935,0.41186577181207945,192,794,0.5572916666666666,0.21108817796459473
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, ny, lands-, ■, omfattande, innsamling, av, miljøfarlig, avfall, ., Det, er, Miljøverndepartementet, Øog, Statens, •, Forurensingstilsyn, som, står, bak, opplegget, som, tar, sikte, på, å, nå, flest, mulig, av, kommu, nene, i, Norge, ,, melder, P, 2s, miljømagasin, ., Aksjonen, innebærer, ikke, at, en, skal, rydde, hus, Øog, skur, ,, men, at, en, samler, farlig, av, fall, for, å, forhindre, at, det, havner, i, naturen, eller, skaper, uforutsette, problem, på, avfalls, plassene, ., Miljøvernmyndighe, tene, håper, å, møte, folks, opp, merksomhet, gjennom, media, dekningen, ., I, 1987, er, radio, en, Øog, miljømagasinet, et, vik, tig, hjelpemiddel, ., Radioserien, «, Miljøforvaltning, », er, lagt, til, rette, av, PerTorbo, ., Pl, kl., 11.00., Reprise, mandag, kl., 21.00., Fredag, 14., juli, :, 00.05-05.45, :, Nattradioen, ., 05.45, :, Værmelding, ., 06.00, :, Dagsnytt, ., 06.05, :, Sareptas, krukke, ., 06.30, :, Dagsnytt, ., 06.35, :, Distriktsprogram, ., 07.00, :, Dagsnytt, ., 07.03]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET ADJ NOUN PUNCT ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX PROPN PROPN PROPN PUNCT NOUN PRON VERB ADP NOUN PRON VERB NOUN SCONJ PART VERB ADJ ADJ ADP NOUN NOUN ADP PROPN PUNCT VERB PROPN PROPN NOUN PUNCT NOUN VERB PART SCONJ PRON AUX VERB NOUN PROPN NOUN PUNCT CCONJ SCONJ PRON VERB ADJ ADP NOUN SCONJ PART VERB SCONJ PRON VERB ADP NOUN CCONJ VERB ADJ NOUN ADP PROPN NOUN PUNCT ADJ NOUN VERB PART VERB NOUN ADP NOUN ADP NOUN NOUN PUNCT ADP NUM AUX NOUN DET PROPN NOUN DET X ADJ NOUN PUNCT NOUN PUNCT PROPN PUNCT AUX VERB ADP ADJ ADP PROPN PUNCT PROPN NOUN ADJ NOUN NOUN NOUN NUM NOUN ADJ NOUN PUNCT NUM PUNCT NOUN PUNCT NUM PUNCT NOUN PUNCT NUM PUNCT NOUN PUNCT NUM PUNCT NOUN NOUN PUNCT NUM PUNCT NOUN PUNCT NUM PUNCT NOUN PUNCT NUM PUNCT NOUN PUNCT NUM,0.06459054209919261,0.4098777506112458,159,867,0.33962264150943394,0.15201703022503535
"[Personell, og, organisering, av, sekretariatet, •, Kompetanse, Norge, 
, Fristen, for, å, søke, jobb, i, sekretariatet, er, gått, ut, ., Takk, for, alle, interessante, søknader, vi, har, mottatt, ,, og, vi, gleder, oss, til, å, se, hvordan, vår, nye, kollega, blir, ., 
, Sekretariatet, som, kompetansemiljø, 
, Sekretariatet, har, per, i, dag, ansvar, for, to, fagområdene, norskopplæring, for, voksne, og, prøver, i, norsk, ., Fagmiljøene, har, bred, kompetanse, innen, norsk, ,, opplæring, i, norsk, og, vurdering, ., Kompetanse, Norge, har, medarbeidere, som, oversetter, kursmateriell, og, prøver, ,, utvikler, og, tilpasser, innhold, i, prøvene, ,, utvikler, kartleggingsverktøy, ,, gjennomfører, forskningsprosjekter, og, analyser, og, utredning, ., Vi, har, også, utviklet, og, implementerer, flere, tiltak, for, språklige, og, kulturelt, mangfold, som, en, del, av, opplæringen, ,, og, har, god, erfaring, med, kompetanseheving, og, veiledning, av, lærere, ., Kompetanse, Norge, er, en, statlig, virksomhet, under, Kunnskapsdepartementet, ,, og, sekretariatet, er, en, integrert, del, av, virksomheten, ., Det, er, også, viktig, å, merke, seg, at, vi, har, kontakt, med, internasjonale, aktører, og, er, sterkt, engasjert, i, ulike, europeiske, nettverk, ., 
, Sentrale, fagområder, og, roller]",NOUN CCONJ NOUN ADP NOUN PUNCT NOUN PROPN SPACE NOUN SCONJ PART VERB NOUN ADP NOUN AUX VERB ADP PUNCT NOUN ADP DET ADJ NOUN PRON AUX VERB PUNCT CCONJ PRON VERB PRON SCONJ PART VERB ADV PRON ADJ NOUN VERB PUNCT SPACE NOUN SCONJ NOUN SPACE NOUN VERB ADP ADP NOUN NOUN ADP NUM NOUN NOUN ADP ADJ CCONJ VERB ADP NOUN PUNCT NOUN VERB ADJ NOUN ADP NOUN PUNCT NOUN ADP NOUN CCONJ NOUN PUNCT NOUN PROPN VERB NOUN SCONJ VERB NOUN CCONJ VERB PUNCT VERB CCONJ VERB NOUN ADP NOUN PUNCT VERB NOUN PUNCT VERB NOUN CCONJ NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB CCONJ VERB ADJ NOUN ADP ADJ CCONJ ADJ NOUN SCONJ DET NOUN ADP NOUN PUNCT CCONJ VERB ADJ NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT NOUN PROPN AUX DET ADJ NOUN ADP PROPN PUNCT CCONJ NOUN AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV ADJ PART VERB PRON SCONJ PRON VERB NOUN ADP ADJ NOUN CCONJ AUX ADJ ADJ ADP ADJ ADJ NOUN PUNCT SPACE ADJ NOUN CCONJ NOUN,0.03363636363636364,0.3780399619410066,180,1100,0.4777777777777778,0.25247577441994
"[De, nevnte, artiklene, i, FN-pakten, om, krig, og, fred, ,, omhandler, to, viktige, forbud, :, Forbud, mot, bruk, av, makt, og, forbud, mot, trusler, om, maktbruk, ., Når, Sikkerhetsrådet, vurderer, tiltak, av, militær-makt, ,, gjelder, et, krav, til, enighet, ,, som, det, gjør, når, FN, vedtar, alle, andre, resolusjoner, og, beslutninger, ., 
, Artikkel, 24, (, 1, ), i, FN-pakten, uttaler, at, «, Enhver, medlemsstat, har, i, egenskap, av, medlem, av, organisasjonen, plikt, til, å, godta, og, utføre, de, aksjonene, som, Sikkerhetsrådet, treffer, vedtak, om, i, samsvar, med, denne, pakt, ., », 
, FN-pakten, gir, i, artikkel, 24(2, ), FN-medlemmene, en, rett, ,, men, ikke, en, plikt, til, å, samtykke, i, bruk, av, militærmakt, :, «, Alle, medlemsstater, har, plikt, til, å, stille, til, Sikkerhetsrådet, til, rådighet, på, dets, oppfordring, og, i, samsvar, med, særlig, avtale, eller, avtaler, nødvendige, styrker, ,, med, tilhørende, materiell, ,, utstyr, og, forsyninger, for, å, opprettholde, mellomfolkelig, fred, og, sikkerhet, ., Medlemmene, forplikter, seg, til, om, nødvendig, å, stille, til, Sikkerhetsrådets, rådighet, på, dets, oppford]",DET VERB NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT VERB NUM ADJ NOUN PUNCT NOUN ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT SCONJ PROPN VERB NOUN ADP NOUN PUNCT VERB DET NOUN ADP NOUN PUNCT PRON PRON VERB SCONJ PROPN VERB DET DET NOUN CCONJ NOUN PUNCT SPACE NOUN NUM PUNCT NUM PUNCT ADP NOUN VERB SCONJ PUNCT DET NOUN VERB ADP NOUN ADP NOUN ADP NOUN NOUN SCONJ PART VERB CCONJ VERB DET NOUN PRON PROPN VERB NOUN ADP ADP NOUN ADP DET NOUN PUNCT PUNCT SPACE NOUN VERB ADP NOUN PROPN PUNCT NOUN DET NOUN PUNCT CCONJ PART DET NOUN SCONJ PART NOUN ADP NOUN ADP NOUN PUNCT PUNCT DET NOUN VERB NOUN SCONJ PART VERB ADP PROPN ADP NOUN ADP DET NOUN CCONJ ADP NOUN ADP ADJ NOUN CCONJ VERB ADJ NOUN PUNCT ADP ADJ NOUN PUNCT NOUN CCONJ NOUN SCONJ PART VERB ADJ NOUN CCONJ NOUN PUNCT NOUN VERB PRON SCONJ SCONJ ADJ PART VERB ADP PROPN NOUN ADP DET NOUN,0.04564315352697095,0.37912568306010974,170,964,0.4294117647058823,0.14359904448594313
"[Bør, minimum, være, 10, av, 10, -, Anmeldelse, for, Hard, Rock, Cafe, ,, Oslo, ,, Norge, -, Tripadvisor, 
, Bør, minimum, ., -, Hard, Rock, Cafe, 
, Vurdert, som, nr., 20, av, 1, 574, Restauranter, i, Oslo, 
, Bør, minimum, være, 10, av, 10, 
, Var, her, søndag, 20., september, ., Vi, satt, ute, men, på, grunn, av, været, var, teltet, som, var, satt, opp, oppe, ,, og, det, ble, fort, ubehagelig, kaldt, der, ., Så, vi, gikk, inn, ., Men, der, var, det, et, bord, som, stod, tomt, ., Vi, spurte, hun, som, ventet, på, de, som, ikke, kom, om, vi, kunne, få, sitte, der, ,, og, da, vi, fikk, ja, ,, var, alt, annet, av, service, borte, ., Det, var, ingen, som, spurte, om, hva, vi, ville, ha, ,, og, selv, om, det, tok, lang, tid, før, vi, fikk, bestille, ,, ble, vi, ignorert, etter, at, vi, fikk, bord, ., Til, tross, for, at, andre, bord, vi, så, oss, ut, og, fikk, se, menyene, til, andre, bord, uten, at, personalet, reagerte, ,, bare, vinket, tilbake, for, å, vise, at, vi, hadde, satt, oss, ., Men, personalet, så, oss, ,, men, gjorde, ikke, noe, ., Da, vi, bestilte, mat, ,, gikk, det, 30, minutter, før, den]",AUX NOUN AUX NUM ADP NUM PUNCT NOUN ADP PROPN PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN SPACE VERB NOUN PUNCT PUNCT PROPN PROPN PROPN SPACE VERB SCONJ NOUN NUM ADP NUM NUM PROPN ADP PROPN SPACE AUX NOUN AUX NUM ADP NUM SPACE AUX ADV NOUN ADJ NOUN PUNCT PRON VERB ADP CCONJ ADP NOUN ADP NOUN AUX NOUN PRON AUX VERB ADP ADP PUNCT CCONJ PRON VERB ADJ ADJ ADJ ADV PUNCT CCONJ PRON VERB ADP PUNCT CCONJ ADV AUX PRON DET NOUN PRON VERB ADJ PUNCT PRON VERB PRON PRON VERB ADP PRON PRON PART VERB SCONJ PRON AUX AUX VERB ADV PUNCT CCONJ SCONJ PRON VERB NOUN PUNCT AUX DET DET ADP NOUN ADP PUNCT PRON VERB PRON PRON VERB SCONJ PRON PRON AUX VERB PUNCT CCONJ ADV SCONJ PRON VERB ADJ NOUN SCONJ PRON AUX VERB PUNCT AUX PRON VERB SCONJ SCONJ PRON VERB NOUN PUNCT ADP SCONJ SCONJ SCONJ DET NOUN PRON VERB PRON ADP CCONJ AUX VERB NOUN ADP DET NOUN SCONJ SCONJ NOUN VERB PUNCT ADV VERB ADP SCONJ PART VERB SCONJ PRON AUX VERB PRON PUNCT CCONJ NOUN VERB PRON PUNCT CCONJ VERB PART PRON PUNCT SCONJ PRON VERB NOUN PUNCT VERB PRON NUM NOUN ADP PRON,0.05549263873159683,0.3987529976019185,207,883,0.6183574879227053,0.30091521876326877
"[Artikkel, 3, tar, opp, Kommisjonens, arbeidsprogram, for, 2018, ,, og, artikkel, 4, beskriver, den, kommende, gjennomgangen, av, kommisjonsforordning, (, EU, ), 210/2014., 
, I, Artikkel, 5, ser, Kommisjonen, tilbake, på, gjennomføringen, av, forordning, (, EU, ), nr., 576/2013, ,, og, foreslår, hvordan, man, kan, gjøre, regelverket, mer, målrettet, og, lettere, å, håndheve, ved, å, endre, enkelte, sentrale, bestemmelser, i, eurovignetten, ., 
, I, Artikkel, 6, oppsummerer, Kommisjonen, den, første, evalueringsrapporten, om, Eurovignette, som, ble, presentert, i, 2017, ,, og, gjennomgangen, av, forordning, (, EU, ), nr., 531/2013, ,, om, det, felles, europeiske, bompengesystemet, ., Begge, disse, forordningene, har, blitt, tatt, inn, i, EØS-avtalen, ., 
, I, Artikkel, 7, foreslår, Kommisjonen, å, inkludere, andre, grenseoverskridende, bompengesystemer, i, det, eksisterende, regelverket, for, Eurovignette, ., Dette, vil, innebære, at, bl.a., Norge, ,, Sverige, og, Østerrike, må, åpne, for, elektronisk, bompengetoll, ved, grenseoverganger, for, andre, medlemsstater, som, ønsker, å, benytte, seg, av, denne, muligheten, ., Også, denne, forordningen, har, blitt, innlemmet, i, EØS-]",NOUN NUM VERB ADP PROPN NOUN ADP NUM PUNCT CCONJ NOUN NUM VERB DET ADJ NOUN ADP NOUN PUNCT PROPN PUNCT NOUN SPACE ADP PROPN NUM VERB PROPN ADP ADP NOUN ADP NOUN PUNCT PROPN PUNCT NOUN NUM PUNCT CCONJ VERB ADV PRON AUX VERB NOUN ADJ ADJ CCONJ ADJ PART VERB SCONJ PART VERB ADJ ADJ NOUN ADP NOUN PUNCT SPACE ADP PROPN NUM VERB PROPN DET ADJ NOUN ADP PROPN PRON AUX VERB ADP NUM PUNCT CCONJ NOUN ADP NOUN PUNCT PROPN PUNCT NOUN NUM PUNCT ADP DET ADJ ADJ NOUN PUNCT DET DET NOUN AUX AUX VERB ADP ADP NOUN PUNCT SPACE ADP PROPN NUM VERB NOUN PART VERB DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN PUNCT PRON AUX VERB SCONJ ADP PROPN PUNCT PROPN CCONJ PROPN AUX VERB ADP ADJ NOUN ADP NOUN ADP DET NOUN PRON VERB PART VERB PRON ADP DET NOUN PUNCT ADV DET NOUN AUX AUX VERB ADP PROPN,0.05128205128205128,0.4143834196891181,159,1014,0.41509433962264153,0.15600078361883973
