tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, noe, annet, ,, en, dyp, avgrunn, som, hun, ikke, riktig, kunne, forklare, hva, var, ,, ikke, engang, for, seg, selv, ., Hun, hadde, ikke, hatt, noe, imot, noen, ting, ., Hun, hadde, tatt, imot, alt, som, kom, ., Men, det, var, denne, trangen, til, ensomhet, som, ikke, ville, forsvinne, ., En, trang, som, liksom, var, gått, i, arv, fra, generasjon, til, generasjon, ., 
, Hun, gikk, og, så, ned, i, gulvet, og, så, ikke, hvor, hun, satte, føttene, ., I, det, samme, møtte, hun, sin, manns, blikk, ved, siden, av, seg, ., Det, gled, ned, over, den, slanke, ,, lille, skikkelsen, ., Han, kunne, ikke, se, seg, mett, ,, men, hun, rev, seg, løs, med, et, rykk, og, sa, med, en, stemme, som, dirret, av, nervøsitet, :, «, Som, du, stirrer, på, meg, !, », Hun, måtte, le, ., Hun, slo, armene, om, ham, og, sa, :, 
, Og, hun, visste, det, var, fordi, denne, avgrunnen, inne, 1, henne, gjorde, at, hun, i, visse, øyeblikk, ble, redd, for, ham, ., Han, var, en, mann, hun, ikke, kunne, stole, på, ,, en, mann, hun, kanskje, aldri, hadde, stolt, på, ,, og, som, hun, ikke, kjente, ., 
, En, dag, satt, de, igjen, alene, ved]",CCONJ PRON VERB DET DET PUNCT DET ADJ NOUN PRON PRON PART ADJ AUX VERB PRON AUX PUNCT PART ADV ADP PRON DET PUNCT PRON AUX PART VERB PRON ADP DET NOUN PUNCT PRON AUX VERB ADP PRON PRON VERB PUNCT CCONJ PRON AUX DET NOUN ADP NOUN PRON PART AUX VERB PUNCT DET NOUN PRON ADV AUX VERB ADP NOUN ADP NOUN ADP NOUN PUNCT SPACE PRON VERB CCONJ ADV ADP ADP NOUN CCONJ ADV PART ADV PRON VERB NOUN PUNCT ADP DET DET VERB PRON PRON NOUN NOUN ADP NOUN ADP PRON PUNCT PRON VERB ADP ADP DET ADJ PUNCT ADJ NOUN PUNCT PRON AUX PART VERB PRON ADJ PUNCT CCONJ PRON VERB PRON ADJ ADP DET NOUN CCONJ VERB ADP DET NOUN PRON VERB ADP NOUN PUNCT PUNCT SCONJ PRON VERB ADP PRON PUNCT PUNCT PRON AUX VERB PUNCT PRON VERB NOUN ADP PRON CCONJ VERB PUNCT SPACE CCONJ PRON VERB PRON AUX SCONJ DET NOUN ADP NUM PRON VERB SCONJ PRON ADP ADJ NOUN VERB ADJ ADP PRON PUNCT PRON AUX DET NOUN PRON PART AUX VERB ADP PUNCT DET NOUN PRON ADV ADV AUX ADJ ADP PUNCT CCONJ PRON PRON PART ADJ PUNCT SPACE DET NOUN VERB PRON ADV ADV ADP,0.04352678571428571,0.37012987012986953,206,896,0.6747572815533981,0.34748726760657966
"[Det, var, ein, gong, to, ungar, som, budde, i, Brumunddal, ., Det, var, to, jenter, ,, som, var, så, flinke, til, å, rime, ., Ja, ,, dei, rimte, om, alt, mogleg, !, Til, og, med, om, mor, og, far, og, ves, lebror, og, hunden, sin, ,, men, då, vart, mora, sint, ., Nokon, gonger, når, dei, to, rima, mykje, ,, så, vart, mora, så, sint, ,, at, ho, henta, ned, det, store, riset, ., Dei, to, jentene, heitte, Janne, og, Tina, og, hadde, det, kjempemoro, ., Ein, dag, då, dei, skulle, ut, å, rime, ,, så, kom, det, ei, dame, og, ringde, på, ., Det, var, bestemora, til, Tine, ., Ho, sa, at, no, måtte, ho, passe, på, Tina, ,, og, ta, henne, med, seg, ein, tur, ut, ., Tine, sa, at, det, var, greit, ,, men, ho, visste, ikkje, korleis, ho, skulle, få, med, seg, Janne, ut, ., Då, kom, mora, til, jentene, og, sa, til, Janne, at, ho, ikkje, kunne, vere, ute, lenger, ,, for, dei, skulle, ut, og, handle, ., Eg, hadde, no, rime, så, mykje, i, dag, ,, seier, Janne, ., Eg, får]",PRON AUX X X X PROPN X VERB ADP PROPN PUNCT PRON AUX NUM NOUN PUNCT PRON AUX ADV ADJ SCONJ PART VERB PUNCT INTJ PUNCT PROPN VERB ADP DET NOUN PUNCT ADP CCONJ ADP SCONJ NOUN CCONJ NOUN CCONJ PROPN NOUN CCONJ NOUN PRON PUNCT CCONJ X VERB NOUN ADJ PUNCT ADV NOUN SCONJ PROPN NUM NOUN X PUNCT ADV VERB NOUN ADV ADJ PUNCT SCONJ NOUN VERB ADP DET ADJ NOUN PUNCT DET NUM NOUN VERB PROPN CCONJ PROPN CCONJ VERB PRON ADJ PUNCT X NOUN X X VERB ADP PART VERB PUNCT ADV VERB PRON DET NOUN CCONJ NOUN ADP PUNCT PRON AUX NOUN ADP PROPN PUNCT PROPN VERB SCONJ PROPN X X VERB ADP PROPN PUNCT CCONJ VERB PRON ADP PRON ADJ NOUN ADP PUNCT PROPN VERB SCONJ PRON AUX ADJ PUNCT CCONJ NOUN VERB X X X AUX VERB ADP PRON PROPN ADP PUNCT ADV VERB NOUN ADP NOUN CCONJ VERB ADP PROPN SCONJ X X AUX VERB ADP ADJ PUNCT CCONJ PROPN AUX ADP CCONJ VERB PUNCT PROPN X X X ADV ADJ ADP NOUN PUNCT NOUN PROPN PUNCT PROPN VERB,0.04342105263157895,0.3711954992967649,187,760,0.6470588235294118,0.3403830384531519
"[Det, var, så, mye, å, like, med, dette, programmet, at, jeg, hadde, lyst, til, å, si, noe, om, det, ., Men, da, dette, programmet, var, ferdig, ,, husker, jeg, bare, en, liten, detalj, som, jeg, vil, nevne, likevel, ., Jeg, husker, at, hovedpersonene, var, på, besøk, hos, noen, venner, ., Og, jeg, husker, hva, de, besøkende, sa, ., De, sa, :, «, Jeg, har, lyst, til, å, finne, meg, en, annen, ., », Det, kan, ikke, gjentas, for, ofte, ., Det, er, viktig, å, formidle, til, mennesker, som, lurer, på, om, de, skal, holde, ut, i, en, uholdbar, relasjon, ,, at, det, er, sunt, å, søke, etter, en, ny, vei, ut, ., Om, ikke, annet, kan, nettopp, det, at, du, søker, råd, ,, åpne, for, at, forandring, kan, skje, ., Jeg, vet, at, mange, har, erfart, det, ., 
, Kanskje, særlig, i, de, gode, og, trygge, relasjonene, trenger, vi, denne, friheten, til, å, få, mene, noe, og, si, det, ., For, i, de, gode, og, trygge, relasjonene, tåler, vi, mye, også, av, åpenhet, ., Mange, ganger, kan, det, være, lettere, å, si, sin, ærlige, mening, til, andre, ,, ja, ,, lettere, å, få, sagt, fra, også, ,, når, relasjonen, er, god, og, trygg, og]",PRON VERB ADV ADJ PART VERB ADP DET NOUN SCONJ PRON VERB NOUN SCONJ PART VERB PRON ADP PRON PUNCT CCONJ SCONJ DET NOUN AUX ADJ PUNCT VERB PRON ADV DET ADJ NOUN PRON PRON AUX VERB ADV PUNCT PRON VERB SCONJ NOUN AUX SCONJ NOUN ADP DET NOUN PUNCT CCONJ PRON VERB PRON DET ADJ VERB PUNCT PRON VERB PUNCT PUNCT PRON VERB NOUN SCONJ PART VERB PRON DET DET PUNCT PUNCT PRON AUX PART VERB ADV ADJ PUNCT PRON AUX ADJ PART VERB ADP NOUN PRON VERB SCONJ SCONJ PRON AUX VERB ADP ADP DET ADJ NOUN PUNCT SCONJ PRON AUX ADJ PART VERB ADP DET ADJ NOUN ADP PUNCT ADP PART DET AUX ADV PRON SCONJ PRON VERB NOUN PUNCT ADJ SCONJ SCONJ NOUN AUX VERB PUNCT PRON VERB SCONJ ADJ AUX VERB PRON PUNCT SPACE ADV ADJ ADP DET ADJ CCONJ ADJ NOUN VERB PRON DET NOUN SCONJ PART AUX VERB PRON CCONJ VERB PRON PUNCT CCONJ ADP DET ADJ CCONJ ADJ NOUN VERB PRON ADJ ADV ADP NOUN PUNCT ADJ NOUN AUX PRON AUX ADJ PART VERB PRON ADJ NOUN ADP DET PUNCT INTJ PUNCT ADJ PART AUX VERB ADP ADV PUNCT SCONJ NOUN AUX ADJ CCONJ ADJ CCONJ,0.041019955654102,0.36874560375146476,204,902,0.6617647058823529,0.34892367571777033
"[Ja, det, var, en, helt, fantastisk, dag, og, aften, .Jeg, havde, inviteret, min, mand, ,, svigerforældre, ,, søskende, m, familie, ,, svigerbørn, og, børnebørn, ., 
, Pga, af, den, store, alderforskel, på, mine, børnebørn, har, vores, børn, ikke, altid, lige, nemt, ved, at, ses, men, til, denne, fest, gjorde, de, en, storindsats, for, at, kunne, deltage, både, store, og, små, ., 
, Så, vil, jeg, sige, tak, for, inspirationen, ,, jeg, har, selv, fået, den, brugt, for, nylig, .Køber, selv, bladet, hver, gang, det, udkommer, .Jeg, bor, i, Esbjerg, og, skal, holde, fest, snart, ., 
, Nøj, ,, hvor, ser, det, hyggeligt, ud, ., Dejligt, med, en, fest, i, familiens, skød, ., Og, tak, for, inspiration, til, bordpynten, og, kagerne, ., Det, er, så, dejligt, !, 
, Og, så, skønt, med, en, fest, ,, der, virkelig, fejrer, livets, fylde, ., Det, ville, bestemt, ikke, passe, til, min, smag, (, eller, være, særligt, godt, selskab, for, mig, ), ,, at, lave, et, dødningehovedbord, ..., :), 
, Vores, første, barn, og]",INTJ PRON AUX DET ADJ ADJ NOUN CCONJ NOUN PUNCT ADJ NOUN PRON NOUN PUNCT NOUN PUNCT ADJ NOUN NOUN PUNCT NOUN CCONJ NOUN PUNCT SPACE ADP X DET ADJ NOUN ADP PRON NOUN AUX PROPN ADJ PART NOUN ADJ NOUN SCONJ SCONJ VERB CCONJ ADP DET NOUN VERB PRON DET NOUN SCONJ SCONJ AUX VERB CCONJ ADJ CCONJ ADJ PUNCT SPACE ADV AUX PRON VERB NOUN ADP NOUN PUNCT PRON VERB ADV NOUN DET NOUN ADP ADV PRON ADV NOUN DET NOUN PRON VERB NOUN VERB ADP PROPN CCONJ AUX VERB NOUN ADJ PUNCT SPACE NOUN PUNCT ADV VERB PRON ADV PROPN PUNCT NOUN ADP DET NOUN ADP NOUN NOUN PUNCT CCONJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX ADV ADJ PUNCT SPACE CCONJ ADV ADJ ADP DET NOUN PUNCT SCONJ ADJ VERB NOUN NOUN PUNCT PRON AUX VERB PART VERB ADP PRON NOUN PUNCT CCONJ AUX ADJ ADJ NOUN ADP X PUNCT PUNCT SCONJ ADJ DET NOUN PUNCT PUNCT SPACE VERB ADJ NOUN CCONJ,0.05,0.3978469520103744,169,820,0.47337278106508873,0.16373064980697746
"[Ja, det, er, vel, egentlig, bare, å, prøve, å, gi, det, ett, nytt, forsøk, ., Selv, etter, at, man, har, sagt, at, man, har, gjort, det, ., Lurt, spørsmål, ., Det, har, jeg, faktisk, ikke, reflektert, over, ., Jeg, tenker, vel, at, jeg, har, gitt, det, opp, ,, men, det, kan, godt, være, at, jeg, har, tatt, feil, ., 
, Jeg, har, prøvd, og, prøvd, igjen, ., Selv, om, jeg, vet, at, jeg, må, gå, til, en, som, kan, hjelpe, meg, å, lære, å, regulere, ., Hvis, man, skal, endre, på, en, atferd, så, må, man, være, klar, for, det, ,, man, må, være, motivert, ., Men, jeg, prøver, igjen, ,, fordi, jeg, ser, at, jeg, egentlig, har, bruk, for, det, ., For, jeg, klarer, det, jo, ikke, ., Jeg, tror, ikke, man, får, mer, kunnskap, automatisk, med, årene, ., En, del, ting, forsvinner, vel, litt, etter, litt, når, man, ikke, tar, det, opp, igjen, ., Så, jeg, tenker, det, er, lurt, å, gå, til, en, som, kan, lære, meg, dette, nå, ., 
, Jeg, har, selv, en, lang, vei, å, gå, iforhold, til, hva, du, beskriver, i, denne, tråden, ,, men, har, vært, hos, psykolog, ,, og, fått, noen, verktøy, iforhold, til, å, håndtere, sinne, ,, men, føler, også, at, jeg, trenger, å]",INTJ PRON AUX ADV ADJ ADV PART VERB PART VERB PRON NUM ADJ NOUN PUNCT ADV SCONJ SCONJ PRON AUX VERB SCONJ PRON AUX VERB PRON PUNCT VERB NOUN PUNCT PRON AUX PRON ADJ PART VERB ADP PUNCT PRON VERB ADV SCONJ PRON AUX VERB PRON ADP PUNCT CCONJ PRON AUX ADJ VERB SCONJ PRON AUX VERB NOUN PUNCT SPACE PRON AUX VERB CCONJ VERB ADV PUNCT ADV SCONJ PRON VERB SCONJ PRON AUX VERB ADP PRON PRON AUX VERB PRON PART VERB PART VERB PUNCT SCONJ PRON AUX VERB ADP DET NOUN ADV AUX PRON AUX ADJ ADP PRON PUNCT PRON AUX AUX ADJ PUNCT CCONJ PRON VERB ADV PUNCT SCONJ PRON VERB SCONJ PRON ADJ VERB NOUN ADP PRON PUNCT CCONJ PRON VERB PRON ADV PART PUNCT PRON VERB PART PRON VERB ADJ NOUN ADJ ADP NOUN PUNCT DET NOUN NOUN VERB ADV ADJ ADP ADJ SCONJ PRON PART VERB PRON ADP ADV PUNCT CCONJ PRON VERB PRON AUX VERB PART VERB ADP PRON PRON AUX VERB PRON PRON ADV PUNCT SPACE PRON VERB ADV DET ADJ NOUN PART VERB NOUN ADP PRON PRON VERB ADP DET NOUN PUNCT CCONJ AUX AUX ADP NOUN PUNCT CCONJ VERB DET NOUN NOUN SCONJ PART VERB NOUN PUNCT CCONJ VERB ADV SCONJ PRON VERB PART,0.03908794788273615,0.3834403669724773,214,921,0.719626168224299,0.3937145308333472
"[Så, var, det, duket, for, dagens, hovedkamp, ,, to, dager, før, det, som, vil, bli, omtalt, som, det, kanskje, største, politiske, slaget, i, USA, –, mellom, Donald, Trump, og, Hillary, Clinton, ., Meningsmålingene, viser, en, knapp, ledelse, til, Clinton, ,, men, det, er, fortsatt, mange, uvisse, velgere, ,, noe, som, kan, snu, det, hele, på, oppløpet, ., Og, nettopp, derfor, ble, det, også, tid, til, å, snakke, om, hvordan, det, hele, vil, foregå, på, valgdagen, ., I, tillegg, tok, Donald, Trump, med, seg, sin, eldste, sønn, og, nevø, på, scenen, ., Trolig, i, håp, om, å, virke, mer, familiær, ,, slik, at, han, også, kan, lokke, til, seg, flere, middelklasse-, og, kristenkonservative, velgere, ., 
, –, Det, er, noe, nytt, i, politikken, med, Trump, ,, det, er, noe, nytt, med, Clinton, og, deres, valgkamp, ., Men, det, er, noe, med, oss, som, folk, –, jeg, tror, vi, er, klare, for, det, ., Om, de, som, har, styrt, dette, landet, ikke, kan, gjøre, jobben, sin, ,, da, må, andre, komme, frem, og, ta, styringen, ., Vi, må, gjøre, dette, på, en, smart, måte, ,, vi]",ADV AUX PRON VERB ADP NOUN NOUN PUNCT NUM NOUN ADP PRON PRON AUX AUX VERB SCONJ PRON ADV ADJ ADJ NOUN ADP PROPN PUNCT ADP PROPN PROPN CCONJ PROPN PROPN PUNCT NOUN VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ PRON AUX ADV ADJ ADJ NOUN PUNCT PRON PRON AUX VERB DET ADJ ADP NOUN PUNCT CCONJ ADV ADV VERB PRON ADV NOUN SCONJ PART VERB ADP ADV DET ADJ AUX VERB ADP NOUN PUNCT ADP NOUN VERB PROPN PROPN ADP PRON PRON ADJ NOUN CCONJ NOUN ADP NOUN PUNCT ADJ ADP NOUN SCONJ PART VERB ADJ ADJ PUNCT ADV SCONJ PRON ADV AUX VERB ADP PRON ADJ NOUN CCONJ ADJ NOUN PUNCT SPACE PUNCT PRON AUX DET ADJ ADP NOUN ADP PROPN PUNCT PRON VERB DET ADJ ADP PROPN CCONJ PRON NOUN PUNCT CCONJ PRON AUX PRON ADP PRON SCONJ NOUN PUNCT PRON VERB PRON AUX ADJ ADP PRON PUNCT SCONJ PRON PRON AUX VERB DET NOUN PART AUX VERB NOUN PRON PUNCT ADV AUX DET VERB ADP CCONJ VERB NOUN PUNCT PRON AUX VERB PRON ADP DET ADJ NOUN PUNCT PRON,0.04794520547945205,0.38570737605804095,184,876,0.625,0.3524464651745652
"[Det, var, som, vanlig, meget, god, stemning, denne, fredagskvelden, da, koret, i, år, hadde, lagt, opp, til, den, tradisjonelle, «, Husker, du»-kvelden, ., 
, Salen, var, smekk, full, ,, og, både, bord, og, stoler, var, for, lengst, tatt, i, bruk, da, koret, åpnet, festkvelden, med, sangen, «, Jeg, og, du, og, vi, to, », ., 
, som, leder, og, dirigent, hadde, valgt, ut, det, rette, utvalget, av, slagere, ., Her, var, det, gamle, «, svisker, », blandet, med, nye, slagere, fra, både, innland, og, utland, ,, noe, som, falt, i, god, smak, hos, publikum, ., 
, Her, var, alle, i, koret, i, aksjon, ,, og, det, må, sies, at, damene, tok, seg, av, sangen, ,, mens, mennene, bidro, med, instrumentale, musikkinnslag, ., 
, Slagerne, fra, repertoaret, til, Otto, Nielsen, var, representert, med, sanger, som, blant, annet, «, Lille, Jensen, », ,, «, Den, glade, vandrer, », ,, «, Se, der, danser, bestefar, », og, «, En, grønnmalt, benk, », ., 
, Publikum, var, aktive, og, sang, med, som, det, ble, oppfordret, til, ved, disse, sangene, ., En, av, korets]",PRON AUX ADP ADJ ADV ADJ NOUN DET NOUN SCONJ NOUN ADP NOUN AUX VERB ADP ADP DET ADJ PUNCT VERB NOUN PUNCT SPACE NOUN AUX NOUN ADJ PUNCT CCONJ CCONJ NOUN CCONJ NOUN AUX ADP ADJ VERB ADP NOUN SCONJ NOUN VERB NOUN ADP NOUN PUNCT PRON CCONJ PRON CCONJ PRON NUM PUNCT PUNCT SPACE SCONJ NOUN CCONJ NOUN AUX VERB ADP DET ADJ NOUN ADP NOUN PUNCT ADV AUX DET ADJ PUNCT NOUN PUNCT VERB ADP ADJ NOUN ADP CCONJ NOUN CCONJ NOUN PUNCT PRON PRON VERB ADP ADJ NOUN ADP NOUN PUNCT SPACE ADV AUX PRON ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX VERB SCONJ NOUN VERB PRON ADP NOUN PUNCT SCONJ NOUN VERB ADP ADJ NOUN PUNCT SPACE PROPN ADP NOUN ADP PROPN PROPN AUX VERB ADP NOUN PRON ADP DET PUNCT PROPN PROPN PUNCT PUNCT PUNCT PROPN ADJ VERB PUNCT PUNCT PUNCT VERB ADV VERB NOUN PUNCT CCONJ PUNCT DET ADJ NOUN PUNCT PUNCT SPACE NOUN AUX ADJ CCONJ VERB ADP PRON PRON AUX VERB ADP ADP DET NOUN PUNCT DET ADP NOUN,0.046539379474940336,0.37873257287705986,179,838,0.4972067039106145,0.21869593628356432
"[Det, er, ikkje, første, gong, dei, to, har, vore, ut, sett, for, det, te, ., Då, var, det, i, Kvi, te, fjell, vegen, det, skjed, de, ,, og, då, såg, dei, gjer, nings, person, en, like, ved, bua, då, dei, kom, for, å, hen, te, ho, heim, att, ., 
, –, I, no, vember, skal, det, ha, vore, ein, per, son, i, sam, me, om, rå, de, som, har, teke, seg, inn, i, ei, anna, bu, og, ko, te, ut, om, rå­, det, ,, men, der, er, det, ik, kje, meldt, om, at, noko, skal, vera, teke, ., Dei, har, også, vore, i, ei, tred, je, bu, i, same, om, rå, det, ., Der, var, det, ik, kje, noko, å, ta, av, ,, men, dei, har, brukt, sa, la, mo, nik, ken, i, alle, tre, ,, fortel, dei, ., 
, Dei, to, veit, ik, kje, ak, ku, rat, når, dei, var, på, fer, de, sist, ,, men, dei, har, sett, for, skjel, li, ge, spor, ,, som, kan, tyde, på, at, dei, kan, vera, flei­, re, som, har, teke, seg, til, ret, te, .]",PRON AUX ADV ADJ X X NUM AUX VERB ADP VERB ADP DET NOUN PUNCT X AUX PRON ADP PROPN NOUN NOUN NOUN PRON NOUN PRON PUNCT CCONJ X VERB X X ADJ NOUN DET ADV ADP X X X VERB SCONJ PART X VERB X X X PUNCT SPACE PUNCT ADP X NOUN AUX PRON AUX X X X X X PROPN X X X PRON PRON AUX VERB PRON ADP ADP DET X X X PUNCT VERB ADP ADP PROPN PRON PUNCT CCONJ ADV AUX PRON X X VERB SCONJ SCONJ X X X X PUNCT NUM AUX ADV VERB ADP DET PROPN X X X X X ADJ PRON PUNCT ADV VERB PRON X X X PART VERB ADP PUNCT CCONJ PROPN AUX VERB VERB VERB PROPN NOUN NOUN ADP DET NUM PUNCT X X PUNCT SPACE NUM NUM X X X X X NOUN SCONJ PROPN AUX ADP NOUN PRON ADV PUNCT CCONJ PROPN AUX VERB ADP X X PROPN NOUN PUNCT PRON AUX VERB SCONJ SCONJ PROPN AUX X NOUN PROPN PRON AUX VERB PRON ADP X NOUN PUNCT,0.047407407407407405,0.36690095846645526,184,675,0.6467391304347826,0.3324794828023662
"[Kor, mange, prosent, vert, det, ?, 
, 1., Ein, mann, hadde, ei, manadsløn, pa, kr., 600.—., Han, fekk, eit, lønspalegg, pa, 8, %, i, Kor, mykje, fekk, han, no, i, manadslon, ?, 
, 2., Ein, mann, hadde, ei, manadsløn, pa, kr., 500.—., Han, hadde, eit, skattetrekk, pa, 23, %, ., Kor, mykje, hadde, han, att, av, manadslona, nar, skatten, var, dregen, fra, ?, 
, 3., Ein, mann, tek, til, i, em, ny, jobb, og, far, kr., 850., —, i, manadslon, ., Første, manaden, vart, det, gjort, trekk, etter, tabell, IV, ., Kor, mykje, fekk, han, utbetalt, ?, 
, 4., Ei, kone, hadde, ei, skattbar, arsinntekt, pa, kr., 1200.—., Det, vart, gjort, skatetrekk, med, 14, %, av, arsinntekta, ., Kor, stort, vart, skattetrekket, ?, 
, 5., Ein, mann, hadde, em, fast, manadsløn, pa, kr., 1000., —, og, dessutan, eit, dyrtidstillegg, pa, 15, %, av, manadslona, ., Kor, mykje, hadde, han, i, samla, manadsløn, ?, 
]",ADV ADJ NOUN VERB PRON PUNCT SPACE NUM X NOUN VERB DET NOUN PROPN NOUN PROPN PRON VERB DET NOUN PROPN NUM NOUN ADP PROPN X VERB PRON X ADP NOUN PUNCT SPACE ADJ X NOUN VERB DET NOUN PROPN NOUN NOUN PRON VERB DET NOUN PROPN NUM NOUN PUNCT VERB PROPN VERB PRON X ADP NOUN VERB NOUN AUX PROPN ADP PUNCT SPACE ADJ X X X ADP ADP PROPN ADJ NOUN CCONJ NOUN NOUN NUM PUNCT ADP NOUN PUNCT ADJ NOUN VERB PRON VERB NOUN ADP NOUN NOUN PUNCT VERB X VERB PRON VERB PUNCT SPACE ADJ DET NOUN VERB DET ADJ NOUN PROPN NOUN PROPN PRON AUX VERB NOUN ADP NUM NOUN ADP NOUN PUNCT ADV ADJ VERB NOUN PUNCT SPACE NUM X NOUN AUX PROPN ADJ NOUN PROPN NOUN NUM PUNCT CCONJ PROPN X X X NUM NOUN ADP NOUN PUNCT VERB PROPN VERB PRON ADP X X PUNCT SPACE,0.06056338028169014,0.41936459909228474,154,710,0.44805194805194803,0.1637436892712057
"[Det, er, veldig, lenge, siden, det, ble, drevet, jordbruk, på, de, arealene, som, inngår, i, det, omtalte, forsla, get, til, reguleringsplan, for, Rv, ., 808, i, Hemnes, ., Fra, flere, av, oss, som, bor, på, den, aktuelle, strekninga, ,, blir, det, likevel, brukt, sterke, ord, om, å, ødelegge, et, vakkert, landskap, ., Hvis, det, er, slik, at, det, er, noen, som, ikke, er, fornøyd, med, det, landskapet, de, bor, i, ,, så, bør, det, være, mulig, å, flytte, til, andre, områder, der, de, kan, få, bo, på, den, måten, de, ønsker, seg, ., Slik, er, det, også, på, andre, områder, ., Hvis, det, er, mange, som, ønsker, å, gå, med, pelskåpe, ,, kan, vi, vel, finne, oss, en, pels, maker, som, kan, lage, noen, slike, kåper, til, oss, ., 
, enkel, tilgang, til, dette, produktet, ., Det, dreier, seg, om, den, såkalte, «, pelsen, », fra, ulv, som, i, årevis, er, kommet, fra, finsk, /, russisk, side, av, grensen, ., Jeg, hørte, et, intervju, med, en, dame, fra, Statens, Naturoppsyn, som, ble, spurt, om, dette, pelsverket, ., Hun, sa, da, at, dette, var, ekte, vare, ., Dette, har, det, dessverre, ikke, vært]",PRON AUX ADJ ADJ SCONJ PRON AUX VERB NOUN ADP DET NOUN PRON VERB ADP DET ADJ NOUN X ADP NOUN ADP PROPN PUNCT NUM ADP PROPN PUNCT ADP ADJ ADP PRON PRON VERB ADP DET ADJ NOUN PUNCT AUX PRON ADV VERB ADJ NOUN SCONJ PART VERB DET ADJ NOUN PUNCT SCONJ PRON AUX ADV SCONJ PRON VERB PRON PRON PART AUX ADJ ADP DET NOUN PRON VERB ADP PUNCT ADV AUX PRON AUX ADJ PART VERB ADP DET NOUN SCONJ PRON AUX AUX VERB ADP DET NOUN PRON VERB PRON PUNCT ADV AUX PRON ADV ADP DET NOUN PUNCT SCONJ PRON VERB ADJ PRON VERB PART VERB ADP NOUN PUNCT AUX PRON ADV VERB PRON DET ADJ NOUN PRON AUX VERB DET DET NOUN ADP PRON PUNCT SPACE ADJ NOUN ADP DET NOUN PUNCT PRON VERB PRON ADP DET ADJ PUNCT NOUN PUNCT ADP NOUN PRON ADP ADV AUX VERB ADP NOUN PUNCT ADJ NOUN ADP NOUN PUNCT PRON VERB DET NOUN ADP DET NOUN ADP PROPN PROPN PRON AUX VERB ADP DET NOUN PUNCT PRON VERB ADV SCONJ PRON AUX ADJ NOUN PUNCT PRON AUX PRON ADV PART AUX,0.044593088071348944,0.3696226415094341,192,897,0.625,0.3569215239961841
