tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, er, blitt, forsinket, ?, spurte, hun, med, et, lite, kast, med, hodet, ., 
, Karen, fikk, til, og, med, fram, en, liten, latter, ., Kanskje, han, ikke, rakk, bussen, og, har, tatt, inn, i, byen, ?, 
, Nei, ,, da, ville, vel, Risti, eller, en, av, sønnene, hans, møtt, opp, ?, Men, han, er, sikkert, blitt, for, sinket, ., 
, Randi, skottet, bort, på, henne, ., Hvorfor, hadde, hun, på, seg, den, grå, jumperen, i, dag, ?, Den, var, så, lik, Lailas, at, den, sikkert, var, kjøpt, i, byen, ., 
, Karen, syntes, at, Randi, glan, te, ,, men, fant, ut, at, hun, måtte, ta, feil, ., Hun, hadde, i, hvert, fall, trodd, at, hun, hadde, gjemt, sin, egen, jumper, i, skuffen, ,, men, det, hendte, kanskje, at, hun, husket, feil, ?, 
, Randi, reiste, seg, og, gikk, ut, ., Hun, måtte, lufte, seg, litt, til, bus, sen, kom, ., Hun, var, så, urolig, og, oppskaket, at, hun, visste, snart, ikke, hva, hun, skulle, tro, ., 
, den, jumperen, som, Risti, hadde, kastet, fra, seg, på, gulvet, ?, Hun, var, sikker, på, det, ,, men, det, kunne, være]",DET NOUN ADP NOUN PRON AUX AUX VERB PUNCT VERB PRON ADP DET ADJ NOUN ADP NOUN PUNCT SPACE NOUN VERB ADP CCONJ ADP ADP DET ADJ NOUN PUNCT ADV PRON PART VERB NOUN CCONJ AUX VERB ADP ADP NOUN PUNCT SPACE INTJ PUNCT ADV VERB ADV PROPN CCONJ DET ADP NOUN PRON VERB ADP PUNCT CCONJ PRON AUX ADJ VERB ADV VERB PUNCT SPACE PROPN VERB ADP ADP PRON PUNCT ADV VERB PRON ADP PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV ADJ NOUN SCONJ PRON ADJ AUX VERB ADP NOUN PUNCT SPACE NOUN VERB SCONJ PROPN NOUN NOUN PUNCT CCONJ VERB ADP SCONJ PRON AUX VERB NOUN PUNCT PRON AUX ADP DET NOUN VERB SCONJ PRON AUX VERB PRON DET NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV SCONJ PRON VERB NOUN PUNCT SPACE PROPN VERB PRON CCONJ VERB ADP PUNCT PRON AUX VERB PRON ADJ ADP X X VERB PUNCT PRON AUX ADV ADJ CCONJ VERB SCONJ PRON VERB ADJ PART PRON PRON AUX VERB PUNCT SPACE DET NOUN PRON PROPN AUX VERB ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP PRON PUNCT CCONJ PRON AUX AUX,0.04290822407628129,0.3824303797468361,193,839,0.6113989637305699,0.2646995795400193
"[Men, så, banket, jomfru, Hansen, på, vinduet, til, ham, en, dag, og, ropte, :, «, Ingen, har, tid, til, å, leke, mer, !, Du, er, altfor, stor, til, det, !, », Å, ,, hun, mente, det, ikke, så, ondt, ., En, dag, som, hun, hadde, det, særlig, travelt, ,, hadde, hun, ropt, ;, «, Nå, skal, jeg, snart, få, meg, en, mann, seiv, også, !, 
, Og, han, satt, så, stiv, og, taus, i, klasserommet, og, hørte, på, lærerens, undervisning, ., Så, ble, han, hørt, i, leksa, en, gang, ,, og, læreren, spurte, ham, ;, 
, «, Kan, du, si, meg, hvem, som, var, den, første, kongen, som, var, gift, med, en, prinsesse, ?, », «, Jo, det, var, kong, David, ,, », svarte, gutten, ., «, Det, er, helt, riktig, ,, det, ,, », sa, læreren, ,, «, men, var, det, da, du, giftet, deg, med, dronning, Rebekka, på, berget, Sions, topp, ?, », Nei, ,, det, var, nok, ikke, det, ,, sa, gutten, ., 
, En, stund, senere, ble, hans, venninne, hørt, ,, og, læreren, spurte, henne, :, «, Kan, du, si, meg, hvem, som, var, den, første, konen, som, var, gift, med, en, konge, ?, », Jo, ,, det, var, Rebekka, ,, svarte, hun, ,]",CCONJ ADV VERB PROPN PROPN ADP NOUN ADP PRON DET NOUN CCONJ VERB PUNCT PUNCT PRON VERB NOUN SCONJ PART VERB ADJ PUNCT PRON AUX ADV ADJ ADP PRON PUNCT PUNCT PART PUNCT PRON VERB PRON PART ADV ADJ PUNCT DET NOUN PRON PRON VERB PRON ADJ ADJ PUNCT AUX PRON VERB PUNCT PUNCT ADV AUX PRON ADJ VERB PRON DET NOUN VERB ADV PUNCT SPACE CCONJ PRON VERB ADV ADJ CCONJ ADJ ADP NOUN CCONJ VERB ADP NOUN NOUN PUNCT ADV AUX PRON VERB ADP NOUN DET NOUN PUNCT CCONJ NOUN VERB PRON PUNCT SPACE PUNCT AUX PRON VERB PRON PRON PRON AUX DET ADJ NOUN PRON AUX ADJ ADP DET NOUN PUNCT PUNCT PUNCT INTJ PRON AUX NOUN PROPN PUNCT PUNCT VERB NOUN PUNCT PUNCT PRON AUX ADJ ADJ PUNCT PRON PUNCT PUNCT VERB NOUN PUNCT PUNCT CCONJ AUX PRON SCONJ PRON VERB PRON ADP NOUN PROPN ADP NOUN PROPN NOUN PUNCT PUNCT INTJ PUNCT PRON AUX ADV PART PRON PUNCT VERB NOUN PUNCT SPACE DET NOUN ADJ AUX PRON NOUN VERB PUNCT CCONJ NOUN VERB PRON PUNCT PUNCT AUX PRON VERB PRON PRON PRON AUX DET ADJ NOUN PRON AUX ADJ ADP DET NOUN PUNCT PUNCT INTJ PUNCT PRON AUX PROPN PUNCT VERB PRON PUNCT,0.054282267792521106,0.40938461538461385,208,829,0.5625,0.22858757981202268
"[Det, synspunkt, at, miljøskifte, og, et, godt, utdanningsmiljø, gir, den, beste, garanti, for, å, komme, på, rett, hylle, ,, er, alminnelig, aner, kjent, ., Ikke, minst, gjelder, dette, for, barn, med, tilpassningsvansker, ,, og, derfor, er, det, all, grunn, til, å, hilse, de, planene, som, direktør, Greve, ,, Statens, Utdanningssenter, på, Høvikodden, ,, har, lagt, fram, om, in, ternatskole, for, tilpasningsvansker, for, ungdommer, i, alderen, 12—18, år, ,, velkommen, ., Det, dreier, seg, om, elever, som, har, spesielle, pro, blemer, som, følge, av, hjemforhold, ,, skolemiljø, eller, tilpasningspro, blemer, ., Slike, tilpasningsvansker, kan, i, ungdomsskolen, og, den, vi, deregående, skolen, gi, seg, utslag, i, skulk, ,, aggressivitet, ,, skoleskulk, eller, disiplinære, vansker, på, andre, mater, ., Ofte, er, dette, utslag, av, tilpasningsvansker, som, har, sin, rot, i, andre, og, dypere, lag, hos, eleven, ,, vanskeligheter, som, sko, len, har, vanskelig, for, å, løse, ,, seiv, om, den, går, inn, for, å, gi, barnet, en, sjanse, til, å, klare, seg, og, leve, et, normalt, samliv, med, medmenne, sker, ., Det, er, også]",DET NOUN SCONJ NOUN CCONJ DET ADJ NOUN VERB DET ADJ NOUN SCONJ PART VERB ADP ADJ NOUN PUNCT AUX ADJ VERB ADJ PUNCT PART ADJ VERB PRON ADP NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON DET NOUN SCONJ PART VERB DET NOUN ADP NOUN PROPN PUNCT PROPN PROPN ADP PROPN PUNCT AUX VERB ADP ADP NOUN NOUN ADP NOUN ADP NOUN ADP NOUN ADV NOUN PUNCT ADJ PUNCT PRON VERB PRON ADP NOUN PRON VERB ADJ ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN CCONJ ADJ NOUN PUNCT DET NOUN AUX ADP NOUN CCONJ DET PRON ADJ NOUN VERB PRON NOUN ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ ADJ NOUN ADP DET NOUN PUNCT ADJ AUX PRON NOUN ADP NOUN PRON VERB PRON NOUN ADP DET CCONJ ADJ NOUN ADP NOUN PUNCT NOUN ADP NOUN ADV VERB ADJ SCONJ PART VERB PUNCT VERB SCONJ PRON VERB ADP SCONJ PART VERB NOUN DET NOUN SCONJ PART VERB PRON CCONJ VERB DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV,0.04008438818565401,0.3729254727474968,171,948,0.543859649122807,0.24313236513465733
"[Nei, sa, Beatrice, Bare, gå, videre, du, Jeg, skal, på, posthuset, Han, gikk, ., Hun, hørte, han, gikk, opp, over, langs, elven, ., Hun, gikk, bort, til, vinduet, ,, åpnet, det, og, ropte, på, ham, ., Han, vendte, seg, nølende, ., Kom, hit, bort, litt, ., Hun, hørte, at, han, nølte, igjen, ., —, Ja, ,, vel, ,, men, skynd, deg, ., Hun, lukket, opp, vinduet, ., —, Hvor, er, vi, ?, ropte, hun, ., —, Vet, ikke, ,, ropte, han, tilbake, ., —, Å, nå, ser, jeg, det, ., Ved, den, store, steinen, midt, i, elven, ., Her, ,, i, det, høye, gresset, ., Han, kom, bort, til, henne, ., —, Hvorfor, er, du, gått, i, land, ?, ropte, han, ., 
, —, Jeg, kom, til, å, slippe, en, av, snøre, ringene, ,, så, tøyet, kom, fast, i, en, trerot, der, nede, ., Det, går, ikke, an, å, gå, dypt, når, en, fisker, ., Hvordan, har, du, det, ?, Han, sto, i, gresset, til, knes, ., Ansiktet, hans, skinte, i, sola, ., —, Jo, takk, ,, fint, ., 
, —, Er, det, bedre, fiske, her, ?, 
, —, Ikke, verst, ,, sa, han, ., —, Jeg, får, fisk, hvert, tredje, kast, ., Hun, gikk]",INTJ VERB PROPN ADV VERB ADJ PRON PRON VERB ADP NOUN PRON VERB PUNCT PRON VERB PRON VERB ADP ADP ADP NOUN PUNCT PRON VERB ADP ADP NOUN PUNCT VERB PRON CCONJ VERB ADP PRON PUNCT PRON VERB PRON ADJ PUNCT VERB ADV ADP ADJ PUNCT PRON VERB SCONJ PRON VERB ADV PUNCT PUNCT INTJ PUNCT ADV PUNCT CCONJ VERB PRON PUNCT PRON VERB ADP NOUN PUNCT PUNCT ADV AUX PRON PUNCT VERB PRON PUNCT PUNCT VERB PART PUNCT VERB PRON ADP PUNCT PUNCT PART ADV VERB PRON PRON PUNCT ADP DET ADJ NOUN ADV ADP NOUN PUNCT ADV PUNCT ADP DET ADJ NOUN PUNCT PRON VERB ADP ADP PRON PUNCT PUNCT ADV AUX PRON VERB ADP NOUN PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB SCONJ PART VERB DET ADP VERB NOUN PUNCT ADV NOUN VERB ADJ ADP DET NOUN ADV ADP PUNCT PRON VERB PART ADV PART VERB ADJ SCONJ DET NOUN PUNCT ADV VERB PRON PRON PUNCT PRON VERB ADP NOUN ADP NOUN PUNCT NOUN PRON VERB ADP NOUN PUNCT PUNCT INTJ NOUN PUNCT ADJ PUNCT SPACE PUNCT AUX PRON ADJ NOUN ADV PUNCT SPACE PUNCT PART ADJ PUNCT VERB PRON PUNCT PUNCT PRON VERB NOUN DET ADJ NOUN PUNCT PRON VERB,0.05163727959697733,0.40467114093959705,205,794,0.5658536585365853,0.17339801971472538
"[For, 2, av, elevene, har, vi, ledig, moderne, hybel, ., Trivelig, miljø, ., Send, søknad, snarest, innen, den, 20., november, ., Søknad, med, kopier, av, vitnemål, sendes, :, 
, ØVRE, EIKER, ARBEIDER, KVINNELAG, har, møte, måndag, den, 18., kl., 19, på, Folkets, Hus, ., Saker, :, Situasjonen, i, Hellas, og, våre, internasjonale, forbindelsen, Ellers, lagssaker, ., Bevertning, ., Utlodning, ., Styret, møter, kl., 18.30., Vel, møtt, !, Styret, ., -.'-.'-.'-.'--'--, ■, ■, ', ', ., ', .V, ', -;-;-•, *, —, *, *, -*., ■, ■, -.'.'.VV?'.V, ', *, V'.VV'VVV"".-."".'."".'.'.'.'.-.'.-.', .., *.'.'.'.'.', .., *'.-.'.-.'.-, <, ., ', V, *, V, '', *, V*V*V*V*V''V, *, ', V, ']",ADP NUM ADP NOUN VERB PRON ADJ ADJ NOUN PUNCT ADJ NOUN PUNCT VERB NOUN ADJ ADP DET ADJ NOUN PUNCT NOUN ADP NOUN ADP NOUN VERB PUNCT SPACE ADJ PROPN PROPN PROPN AUX NOUN NOUN DET ADJ NOUN NUM ADP PROPN PROPN PUNCT NOUN PUNCT NOUN ADP PROPN CCONJ PRON ADJ NOUN ADV NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN VERB NOUN VERB ADV VERB PUNCT NOUN PUNCT ADP PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT NOUN PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT NOUN PUNCT X NOUN PUNCT PUNCT PROPN PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT,0.11753371868978806,0.37570212765957367,107,519,0.19626168224299065,0.02441345697852546
"[Utover, høsten, 1987, vil, det, i, regi, av, Nord-Trøndelag, Sang-, og, Mu, sikkråd, bli, gjennomført, ei, såkalt, musikerordning, ., Dette, betyr, at, musikere, fra, hele, fylket, blir, sam, let, i, orkester, som, i, de, fleste, tilfel, ler, kommer, til, å, spille, ved, arran, gementer, ., Nord-Trøndelag, Sang-, og, Musikkråd, har, nå, gått, ut, med, in, vitasjoner, til, å, være, med, ved, oppbyggingen, og, driften, av, denne, orkesterpool-en, ., Etter, pla, nen, skal, orkesteret, være, stiftet, og, klart, til, å, ta, oppdrag, i, høst, ., 
, Det, er, snakk, om, åtte, regioner, i, fylket, ,, og, med, orkesterledere, fra, hver, region, vil, orkesteret, kunne, være, i, funksjon, ved, alle, tenkelige, anledninger, i, fylket, ., I, høst, er, det, satt, av, tre, helger, til, å, holde, øvel, ser, ,, men, det, sier, seg, sjøl, at, dette, ikke, kan, være, nok, til, å, «, varme, opp, », et, orkester, som, skal, ut, å, fungere, ., 
, —, Det, er, først, og, fremst, snakk, om, en, oppbyggingsperiode, for, mu, sikkrådet, i, første, omgang, ,, men, fra, januar, 1988, vil, poolen]",ADP NOUN NUM AUX PRON ADP NOUN ADP PROPN PROPN CCONJ PROPN NOUN AUX VERB DET ADJ NOUN PUNCT PRON VERB SCONJ NOUN ADP ADJ NOUN VERB PROPN X ADP NOUN PRON ADP DET ADJ NOUN VERB VERB SCONJ PART VERB ADP ADJ NOUN PUNCT PROPN PROPN CCONJ PROPN AUX ADV VERB ADP ADP NOUN NOUN SCONJ PART AUX ADP ADP NOUN CCONJ NOUN ADP DET NOUN PUNCT ADP NOUN NOUN AUX NOUN AUX VERB CCONJ ADJ SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE PRON AUX NOUN ADP NUM NOUN ADP NOUN PUNCT CCONJ ADP NOUN ADP DET NOUN AUX NOUN AUX AUX ADP NOUN ADP DET ADJ NOUN ADP NOUN PUNCT ADP NOUN AUX PRON VERB ADP NUM NOUN SCONJ PART VERB ADJ VERB PUNCT CCONJ PRON VERB PRON DET SCONJ PRON PART AUX AUX ADV SCONJ PART PUNCT NOUN ADP PUNCT DET NOUN PRON VERB ADP PART VERB PUNCT SPACE PUNCT PRON AUX ADV CCONJ ADJ NOUN ADP DET NOUN ADP NOUN NOUN ADP ADJ NOUN PUNCT CCONJ ADP NOUN NUM AUX NOUN,0.04938271604938271,0.3824228028503569,176,891,0.5909090909090909,0.2831237384212971
"[Personell, og, organisering, av, sekretariatet, for, Den, rettsmedisinske, kommisjon, -, Helsedirektoratet, 
, Du, benytter, en, nettleser, vi, ikke, støtter, ., Se, informasjon, om, nettlesere, 
, ForsidenSpørsmål, og, svar, om, koronavirus, –, beslutninger, og, anbefalingerPersonell, og, organisering, av, sekretariatet, for, Den, rettsmedisinske, kommisjon, 
, Bør, ledere, i, påtale-, og, politijurister, som, er, involvert, i, vurderingen, av, varetektsfengsling, i, covid-19-pandemien, defineres, som, samfunnskritiske, funksjoner, ?, Eller, kan, det, være, behov, for, å, omdisponere, ressurser, til, disse, oppgavene, fra, politiets, øvrige, gjøremål, ?, 
, Varetekt, og, fengslinger, er, oppgaver, som, bør, gis, prioritet, gjennom, omdisponering, av, oppgaver, for, å, sikre, kapasiteten, ., Her, vil, vi, presisere, at, politiet, skal, ivareta, og, utføre, ordinære, oppgaver, ., Oppgaver, knyttet, til, det, å, opprettholde, ro, og, orden, i, samfunnet, krever, ekstra, prioritet, under, en, pågående, pandemi, ., 
, Hva, gjelder, det, administrative, arbeidet, i, sekretariatet, for, Den, rettsmedisinske, kommisjon, anbefaler, vi, å, omfordele, personell, ., Hvis, det, kun, er, én, person, i, sekretariatet, ,]",NOUN CCONJ NOUN ADP NOUN ADP PROPN ADJ NOUN PUNCT PROPN SPACE PRON VERB DET NOUN PRON PART VERB PUNCT VERB NOUN ADP NOUN SPACE NOUN CCONJ NOUN ADP NOUN PUNCT NOUN CCONJ PROPN CCONJ NOUN ADP NOUN ADP PROPN ADJ NOUN SPACE AUX NOUN ADP NOUN CCONJ NOUN PRON AUX ADJ ADP NOUN ADP NOUN ADP NOUN VERB SCONJ ADJ NOUN PUNCT CCONJ AUX PRON AUX NOUN SCONJ PART VERB NOUN ADP DET NOUN ADP NOUN ADJ NOUN PUNCT SPACE NOUN CCONJ NOUN AUX NOUN PRON AUX VERB NOUN ADP NOUN ADP NOUN SCONJ PART VERB NOUN PUNCT ADV AUX PRON VERB SCONJ NOUN AUX VERB CCONJ VERB ADJ NOUN PUNCT NOUN VERB ADP PRON PART VERB NOUN CCONJ NOUN ADP NOUN VERB ADJ NOUN ADP DET ADJ NOUN PUNCT SPACE PRON VERB DET ADJ NOUN ADP NOUN ADP PROPN ADJ NOUN VERB PRON PART VERB NOUN PUNCT SCONJ PRON ADV AUX NUM NOUN ADP NOUN PUNCT,0.0419047619047619,0.37120879120878975,158,1050,0.43670886075949367,0.14638749766738837
"[De, nevnte, artiklene, i, FN-rap, porten, har, et, felles, fokus, ., Alle, de, intervjuede, nevner, at, de, får, bedre, selvbilde, ,, og, at, de, ikke, lenger, føler, seg, skamfulle, og, mindreverdige, ., Alle, disse, ungdommene, er, tydelige, på, at, de, trenger, noen, å, snakke, med, ,, men, at, ingen, har, gitt, dem, et, tilbud, ., Flere, beskriver, at, de, har, hatt, én, eller, flere, behandlere, ,, men, at, de, opplever, at, de, ikke, passer, inn, i, eller, får, hjelp, som, er, tilpasset, deres, behov, ., En, ungdom, fortalte, :, «, Psykologene, vil, bare, bli, kjent, med, deg, ,, og, så, vil, de, ikke, lenger, ha, deg, som, pasient, ,, fordi, du, ikke, kan, passe, inn, i, et, system, », ., Noen, har, opplevd, å, bli, anbefalt, av, behandleren, sin, å, oppsøke, helsesøster, eller, helsestasjon, for, ungdom, ,, uten, at, det, føltes, aktuelt, eller, nyttig, ., I, andre, tilfeller, har, manglende, tilbud, ført, til, at, ungdommene, selv, har, gitt, opp, å, få, hjelp, for, problemene, sine, ., Tillit, til, behandler, er, et, viktig, utgangspunkt, for, behandling, ., De, ungdommene, som, opplevde, å, bli, møtt, med, avvisning, ,, gikk, tilbake, til, fastlegen, ., Ungdommene, ga]",DET VERB NOUN ADP PROPN NOUN VERB DET ADJ NOUN PUNCT DET DET ADJ VERB SCONJ PRON VERB ADJ NOUN PUNCT CCONJ SCONJ PRON PART ADJ VERB PRON ADJ CCONJ ADJ PUNCT DET DET NOUN AUX ADJ SCONJ SCONJ PRON VERB PRON PART VERB ADP PUNCT CCONJ SCONJ PRON AUX VERB PRON DET NOUN PUNCT ADJ VERB SCONJ PRON AUX VERB NUM CCONJ ADJ NOUN PUNCT CCONJ SCONJ PRON VERB SCONJ PRON PART VERB ADP ADP CCONJ VERB NOUN PRON AUX VERB PRON NOUN PUNCT DET NOUN VERB PUNCT PUNCT NOUN AUX ADV AUX VERB ADP PRON PUNCT CCONJ ADV AUX PRON PART ADJ VERB PRON SCONJ NOUN PUNCT SCONJ PRON PART AUX VERB ADP ADP DET NOUN PUNCT PUNCT PRON AUX VERB PART AUX VERB ADP NOUN PRON PART VERB NOUN CCONJ NOUN ADP NOUN PUNCT SCONJ SCONJ PRON VERB ADJ CCONJ ADJ PUNCT ADP DET NOUN VERB ADJ NOUN VERB SCONJ SCONJ NOUN DET AUX VERB ADP PART VERB NOUN ADP NOUN PRON PUNCT NOUN ADP NOUN AUX DET ADJ NOUN ADP NOUN PUNCT DET NOUN PRON VERB PART AUX VERB ADP NOUN PUNCT VERB ADP ADP NOUN PUNCT NOUN VERB,0.04056795131845842,0.3796157950907147,193,986,0.6010362694300518,0.26398121682928766
"[Bør, minimum, være, 10, av, 14, kommuner, I, løpet, av, denne, uken, vil, regionrådet, presentere, ulike, samarbeidsalternativ, i, et, eget, notat, til, Fylkesmannen, ., I, tillegg, vil, man, gjøre, en, vurdering, ut, fra, de, vedtak, som, er, fattet, i, kommunestyrene, og, som, er, meldt, inn, til, Fylkesmannen, innen, 1., juni, ., Utgangspunktet, for, vurderingen, er, følgende, vedtak, :, -, Eide, kommune, vil, delta, på, sonderinger, sammen, med, Averøy, ,, Gjemnes, ,, Halsa, ,, Tingvoll, ,, Aure, og, Kristiansund, ., -, Med, bakgrunn, i, vedtak, fattet, i, kommunestyret, 24.05, og, 22.06, vil, Gjemnes, kommune, sondere, muligheten, av, både, Romsdal, og, Nordmøre, som, et, alternativ, for, sammenslåing, ., -, Eide, ønsker, primært, en, størst, mulig, ,, og, mest, mulig, robust, kommune, ,, med, målsetning, om, styrket, lokaldemokrati, ,, bedre, tjenesteproduksjon, og, mer, helhetlig, og, samordnet, samfunnsutvikling, ., For, Eide, kommune, er, alternativet, Eide-Averøy-Gjemnes-Halsa, ,, med, Kristiansund, som, et, naturlig, regionsenter, etter, at, Kristiansund, og, Frei, fra, 1., januar, 2018, ble, en, kommune, ,, fortsatt, et, reelt, alternativ, ., -, Sunndal, kommune, vil, primært, bestå, som]",AUX NOUN AUX NUM ADP NUM NOUN ADP NOUN ADP DET NOUN AUX NOUN VERB ADJ ADJ ADP DET DET NOUN ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN ADP ADP DET NOUN PRON AUX VERB ADP NOUN CCONJ PRON AUX VERB ADP ADP PROPN ADP ADJ NOUN PUNCT NOUN ADP NOUN AUX ADJ NOUN PUNCT PUNCT PROPN NOUN AUX VERB ADP NOUN ADV ADP PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PUNCT PUNCT ADP NOUN ADP NOUN VERB ADP NOUN NUM CCONJ NUM AUX PROPN NOUN VERB NOUN ADP CCONJ PROPN CCONJ PROPN SCONJ DET NOUN ADP NOUN PUNCT PUNCT PROPN VERB ADJ DET ADJ ADJ PUNCT CCONJ ADJ ADJ ADJ NOUN PUNCT ADP NOUN ADP ADJ NOUN PUNCT ADJ NOUN CCONJ ADJ ADJ CCONJ ADJ NOUN PUNCT ADP PROPN NOUN AUX NOUN PROPN PUNCT ADP PROPN SCONJ DET ADJ NOUN SCONJ SCONJ PROPN CCONJ PROPN ADP ADJ NOUN NUM VERB DET NOUN PUNCT ADV DET ADJ NOUN PUNCT PUNCT PROPN NOUN AUX ADJ VERB SCONJ,0.04854368932038835,0.39914373088684907,173,1030,0.43352601156069365,0.11276423768119896
"[Artikkel, 3, tar, opp, Kommisjonens, arbeid, med, å, sikre, at, nye, metoder, har, en, høy, etisk, standard, og, blir, rettferdig, fordelt, ved, at, man, begrenser, tilgangen, og, prisingen, ., Artikkelen, innebærer, også, mulighet, for, å, stoppe, tilgang, til, metoder, som, er, uhensiktsmessige, ., 
, Artikkel, 4, gjelder, utvikling, og, validering, av, nye, metoder, ., 
, Artikkel, 6, gjelder, Kommisjonens, beslutninger, med, hensyn, til, etiske, betenkeligheter, og, begrensninger, i, forhold, til, tilgangen, på, nye, metoder, ., Beslutningene, gjelder, i, en, 5-års, periode, etter, utstedelsen, ,, og, en, forlengelse, kan, komme, på, tale, ., 
, Den, svenske, utredningen, fra, i, fjor, er, også, omtalt, under, kapittel, 3.3, i, høringsnotatet, ,, der, det, heter, :, 
, "", I, Sverige, leverte, en, utredning, ledet, av, landstingsdirektør, Göran, Stiernstedt, et, forslag, til, et, fremtidig, nasjonalt, system, for, innføring, av, nye, behandlingsmetoder, i, spesialisthelsetjenesten, 7., august, 2006., Det, foreslås, opprettet, en, særskilt, myndighet, for, legemiddelspørsmål, ,, Läkemedelsförmånsnämnden, (, etter, mønster, av, den, danske, Lægemiddelstyrelsen, ), ,, som, skal, fatte, beslutninger, om, finansiering, av]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ ADJ NOUN VERB DET ADJ ADJ NOUN CCONJ VERB ADJ ADJ SCONJ SCONJ PRON VERB NOUN CCONJ NOUN PUNCT NOUN VERB ADV NOUN SCONJ PART VERB NOUN ADP NOUN PRON AUX ADJ PUNCT SPACE NOUN NUM VERB NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE NOUN NUM VERB PROPN NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN VERB ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ DET NOUN AUX VERB ADP NOUN PUNCT SPACE DET ADJ NOUN ADP ADP NOUN AUX ADV VERB ADP NOUN NUM ADP NOUN PUNCT SCONJ PRON VERB PUNCT SPACE PUNCT PROPN PROPN VERB DET NOUN VERB ADP NOUN PROPN PROPN DET NOUN ADP DET ADJ ADJ NOUN ADP NOUN ADP ADJ NOUN ADP NOUN ADJ NOUN NUM PRON VERB VERB DET ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP NOUN ADP DET ADJ PROPN PUNCT PUNCT PRON AUX VERB NOUN ADP NOUN ADP,0.04752851711026616,0.3824925224327009,167,1052,0.40718562874251496,0.18734589105911353
