prompt,generated_text,language
Men det var,"Men det var seneste afsløringen af Nintendo og dette lader ingen tvivl til slutningen. Men jeg forsørger fortsat at være optimist og håber at de er på vej over for en mindre forsinkelse. På nettet kan der købes både spil og spilstande til den lille 3DS, ligesom det gælder for deres store søskende håndtaget. I dag har de annonceret, at de på Nintendo 3DS spiler kan købe spil som Metroid, Mario Kart e.l

110 million

Guitar Hero 3 sold 1.3m in its first week
The first week sales of Guitar Hero III: Legends of Rock are in – and they’re impressive.

Guitar Hero III:",nno
Det var ein,"Det var ein bizarret dag vi lakta os i tiden, og det brennede alt som jeg hadde bestilt. Det stille løkketomme i maven som sittrete på grønne sprikjentene. En vårenavn i røyksmygget. Du ser på den vakre steinen middig åt nord, i rystende hunnar, veldig røye, veldig røye. Vi var kraftig avgjort i å bevise at å leve så er vår tilnærming til livet, hvis vi ikke har at leve så manniskesinn av livet og til tiden blir ikke så snill til kjeptilværsyn. Det er denne jeg nå er så triste av. Den kjente måne over natt",nno
Det var så,"Det var så som sagt lukket hos før i år en stor andel af skoler pga corona. Som blir nok velset av den store del av elever fra min ældste klasse. Jeg tror ikke at lengre før påsk er de klar for å komme tilbake til skolen. Neste år begynder så ny skoleåret uten pga korona. Norsk: Det var som så vidt lukket hos senere år en stor del af skoler pga korona. Som blir nok velset av den store del av elever fra min ældste klasse. Jeg tror ikke at lengre før påsk er de klar for å komme tilbake til skolen. Neste år begynder så ny skoleåret uten pga korona.

## The World in ",nno
Ja det var,"Ja det var jovialt, sittande på bryggan innan kl. 13, men det blev 28°C och vinden kom från en annorlig riktning som tog det hela bort. Nu har vi som det sagts, tagit bort bryggan in till sommarbryggan men jag kan fula och sliten att det är klart. Själsklokt nog på en så vackert dag.

Kom på veckan denna är det 100% stort!

Hannah

It has been a long time since I wrote a blog, not an exciting life, and I haven’t really seen many interesting things lately.  Today things have been a bit crazy, I had to come to church wearing a hijab in support of some of the muslim girls in my year group.  It was fun even though I",nno
Ja det er,"Ja det er fynkisk! (It’s Fyn language!)

Southernmost city & biggest city of Fyn – the third largest island and second largest region in Denmark.

Just 10 minutes walk to Odense K, the old centre with the historic landmarks of Hans Christian Andersen’s birthplace and museum. I had to pass through the beautiful Østre Skov, the Old Central park, which is the main recreation area of Odense and one of Denmark’s oldest urban parks.

The city of Odense is known for its picturesque waterfront buildings.

A couple of minutes walk from here is Sankt Knud’s Church which is the main church of the Church of Denmark in Odense.

Hans Christian Andersen is best known for his fairy tales who also wrote other works of short stories and travelogues.

Larsen Pilsen, Denmark’s 1",nno
Så var det,"Så var det i dag, og efter en dykketur i Havsjöarna måtte de lokale komma og fiska bägge laksen og eel op. Skulle det være så for den her lille sø?

Today was the day, and after a divertying tour around some of the lakes, we arrived at Havsjöarna in the afternoon, which was the reason for this camping trip. We walked around lake number one, which was so clear and had a lot of fish which is why we decided to go fishing in a small bay. This wasn’t just any fishing – it was for eel and salmon. It’s forbidden to go fishing in this lake so we needed a special permit. When we were about to leave, a guy on a bike came and drove down the dirt road until he reached us. We had called the guy a week in advance and this",nno
Det var som,"Det var som om allt skulle förlora sin betydelse när våra barndomshjältar blev vuxna. Som om varje personkändis som kunde välja det, får välja mellan bli stor eller bli vacker. Allt som inte är allmänt och känd är somom bli inte längre värt uppmärksamhet. Som en följd av detta betydligt högre krav lägga vi nu på alla djur. Det blir världen uten något uttag. Detta kommer säkrast att sätta stopp för ungdomskulturen.

Alicia Silverstone, kändis, skådespelare och vegetarist, har gjort ett videoband för PETA (People for the Ethical Treatment of Animals) där",nno
Det er ikkje,"Det er ikkje klart hvor makkje mänskleiket inngår i planum. Munnhjelpeverenighetin Hjælplekkens rar med sømme.

### WHO calls for more funding to fight monkeypox as cases surge in 2 dozen countries

New Cases Of Monkeypox Have Been Reported In A Dozen Countries Where The Virus Had Not Been Found Before.

The World Health Organization (WHO) on Monday urged more countries to step up and donate more doses and equipment to fight the current monkeypox outbreak that has now infected more than 750 people in 2 dozen countries.

More than half of the recent cases so far have been found in the United States, and the countries where cases have been reported have never had monkeypox before until recently, the organization said.

Monkeyp",nno
Kor mange prosent,"Kor mange prosent død? Kor mange er de?

Kor mange prosent død? Kor mange er de?
Kor kan vi vere forsørt hvis ikke vi hadde skudd de død?
Det ute, med en førstehjelp, vi har gått helt vred,

Jeg kan bare se på slakten, hør på dromma av en bok
Jeg kan forstå bokene som morgen
Fuglane har forvandlet til, jeg har alltid hadde
Gjenfore med den eldre
Kollege og fornøyd, at det er kommet til hovedøet
En stor tidlig fornemming som jeg ikke hadde

Så jeg skal forsikre deg, det er bare en gang
Jeg skal forsikre",nno
Det er veldig,"Det er veldig smukt litt å finne ut hvem som er sosiale medarbeider – kanskje det er du ;-)

Jeg har en ganske god møte med meg selv dagen før jobben er borte, jeg har ute-tur med hunden, spis et godt og frodigt romertiske middagmene, spiser et søtt dessert, tjener kaffe, sitter og ser tv med meg selv, får nøkkel til boligen, spiser et stegd fløtebrød med creme fraîche og tre visse kl 0245.. Litt kveld til gurremen og til deg!

Dear diary,

It is a joy to find out who works together socially and not so much on the work front. Could it be me?
",nno
Det er ein,"Det er einfach viktig å ha en helt sikker grunn til å leve på – og å vite hvordan man omsatte finansielle fordeler og påvirker egen fremtidsøkonomi. Finansutdanningen ved Det Finansielle Akademiet bygger på sikker grunnlag, inkludert aktiv inkluder barnepenger, som er en viktig samkjenn til å få en finansiel futur.

In the UK you will need to have a good income and enough savings to be accepted for a mortgage.  We will also consider your credit record when deciding whether to lend to you.

There are two types of mortgage which you may apply for - a repayment mortgage where you pay back both interest and part of the loan each month, and an Interest Only Mortgage where you pay nothing off the original",nno
Det er eit,"Det er eit bart å oppmerksomme på det store ulykken som skjedd på bryggeriet i Mexico nedalen, 16 menn mistet livet og så mange flere kommer ikke for å følge.
Allesammen minsta væsen.

http://www.theage.com.au/national/bacardi ... 3v0yq.html

A tragic mistake at the heart of a deadly factory accident that killed 15 people and injured 82 in Mexico is still unclear months after the blast and fire, the Bacardi-Martini company said on Thursday.

Speaking at the site of the explosion at a Bacardi production plant in Tequila, the company's CEO, Eduardo Martinez, said it appeared there was a build-up of hydrocarbon and/or methyl alcohol during the production process",nno
Det er viktig,"Det er viktig å vite det mange meninger blir ulike virkninger. Vi er her for å styrke avhengighet og å motivere våre klienter til å kjæmpes videre i sitt oppvekk eller hendelses. Her er det veldig mange ulike medisinsk varer og vi er evinner av å få kunnig innformasjon til alle klientene vi er i kontakt med.

Altså, målingen skal gjesten gjennomføre hver morgen. Målingen er så enkel og lettlig å gjennomføre at både man og kvinne må lage et daglige ritm, et godt ritm, en høyrutime, det betyr hvis jeg er nødvendig en liten h",nno
Men det er,"Men det er et fakta, at at følge en kursus i teknisk seo, er en fornuftsfuldt anledning til både privatpersoner, som ejer en blog og virksomheder. Her er 9 grunde til at gå til skole i SEO.

As every business tries to market their business products and services online, the industry of technical web marketing has flourished and the SEO (search engine optimization) professionals are in great demand – more than ever (especially the best SEO agencies).

SEO experts in a way have a great advantage over their competition as they enjoy a high demand in a market where people are ready to pay a good amount of money in order to buy services that might be of high value for them.

However, the SEO industry is not at all an easy one. Even the most seasoned SEO experts sometimes have to struggle and work hard in order to achieve",nno
Han fortel at,"Han fortel at the top of a small mountain on the way to the capital of Bagan in Myanmar. This location is called Han Lin – The City of the Gods.

“At the top of a small mountain, overlooking the ancient city of Bagan, is a small village called Han Lin. Han Lin is also the place where the great king Anawrahta established his new capital after the occupation of Bagan in 1057 AD. In Han Lin, one will find a 20 feet high image of the great king himself, a replica of the original statue built in Bagan. A short description of the king’s life time is also shown on the walls.” via www.burmaschool.com

“The temple, built during the 12th to 13th centuries of the Bagan period, was first constructed in wood. Some artifacts found at the temples such as sculptures, stone slabs",nno
Eg har ikkje,"Eg har ikkje mynget å si.

Daily mail, 130 million US$! That means he earns around 5000$ an hour for his 50 odd hour work week. But since most of us will see him work once every month, for us he’s essentially free.

> A recent article by the Daily Mail of Britain has said that David Beckham is the World’s Highest Paid Player earning around 130 million dollars for his recent transfer to Paris Saint Germain. According to that, David Beckham earns a staggering $160,000 per week taking his pay per hour to around $5000.
>
> That means Beckham earns more in an hour than what most of us earn in an entire month and we are not even considering his transfer bonuses or endorsement deal figures.
>
> According to Football Transfer News, the PSG made",nno
Det er mykje,"Det er mykje på veien når jeg hjørnøyrer, men her er hvor du finner noe av hva jeg lukkete på. Her kan du gjenta gitar-løsningen, og lys opp noe av de musikanale forunder for noe av hva jeg gjorde. Se også her [Youtube](www.youtube.com/frodeaune).

## Tekst

| :-- | :--- | :--- |
| Morgen, morgen, dager nære, | Morgen, morgen, nå ler vi, | Morgen, morgen, |
| hver dag går vi et steg forbi, | hver dag går vi et nyt steg, | o av o, |
| alle sammen, de sine ganger",nno
Vi har ikkje,"Vi har ikkje sette opp en søknadsformular å bruke.

# Project: Migrating to the New World

The project Migrating to the New World has developed two video installations: 1) Migrating to the New World - part 1 (2017) 2) Migrating to the New World – part 2 (2018). The aim of the project is to re-envision the colonial American past in terms of the contemporary world in which we live and to challenge the way we understand the events of the past. We explore the history of how slavery was introduced to the colonial New World in the 1600s and how this led to the rise of the transatlantic slave trade in the 1700s. The project draws from an array of historical narratives, including texts from the Bible, the stories of historical figures such as Christopher Columbus, Amerigo Ves",nno
Ei stund etter,"Ei stund etter det møte, hvor medlemmer av MKR-teamet skjer et gjennombrudd, gjentar jeg å prøve å skrive et lite innleg. Jentene fikk en litt grunnleggende læring om veglederforholdet, kunnskap og kompetanse, og jeg fikk en stor opplevelse som hører til meg så godt. Ekte kunnskap og fagkunnskap var tilstede, og jeg mente derimot ikke jeg hadde hatt nok med skriftlig kommunikasjon opp igjennom å kjenne til hva andre følte, tänkte, ønsket…

Bok: How to be a happy brain expert

I have just finished reading Prof. Judy Willis´s “How to",nno
Hans og Knut,"Hans og Knut Andersen (1846 - 1913), both sons of A. & L.A. Anderson, were the founders of the company Hans Andersen Copenhagen. In 1882, the company, at the time based in Copenhagen, established a representative in Norway, and in 1885 the company was finally registered in Norway, with its head-quarters being in Aalesund.

With its factory in Aalesund and branches in Copenhagen, Oslo and Berlin, Hans Anderson developed the reputation of making the finest quality knitwear, for babies, as the children's clothing fashion of the day was for them to wear very light, thin and fine clothing.

The 1900's and 1910's were Hans Andersen's heyday. The first Olympic Games after the First World War took place in Antwerp, Belgium in ",nno
Eg veit ikkje,"Eg veit ikkje, kje dukk er du, e hva du har gjort?
Severian: Tell me, friend, who and where are you, and what madness drives you?
Severian: Hva lar oss om dukkens verden kan vare vettig?
Severian: Why should we believe that the world of the ducks can be rational?

Laruelle: The new, the first, the original, the original one who begins, begins absolutely, absolutely. It’s not that he’s the author of the beginning; he’s the beginning of the beginning. So the new is a new beginning, but not just that: it is also a new “who” who’s the start. Who is the original? Who is the one who begins? Who’s that who can begin? Whence, how, where, and then the why. The origin is an origin of “who",nno
No er det,"No er det første gången 22-åringen deltar i finalen. Tidigare delade han rösterna del-del med sin syster.

Svenstrup took part in the Danish national selections five times, before breaking through in the 2014 national selection. In 2014 Svenstrup competed with the song HigH as a participant in the Danish selection “Danske Melodi Grand Prix 2014“. But came only to 4th place, and failed to make the Danish delegation at Malmö. Next year he decided to participate again, when he competed in the Danish selection with the song In and out of love. With a great result in this selection, he made it to the Danish delegation at Vienna. In 2016 he competed in the Danish selection with the song Rain over me, and this song came last in",nno
Det var ei,Det var ei eksperienta (experience) for meg av a være i Skåne denne sommeren. Jeg fikk eit nytt tøykje som jeg vær ikke egenstienst. Hovudsaken var å ute (out) i det sommanliga og ta bilder ved en liten ei hæst. Og det var det som jeg gjor. Den største fordelen var eite uke som jeg var hjemme og fikk ta egne bilder her i Voss. Å ha djur som kom og satt sig rande er eit godt veldig gledelig (pleasing) å velja (to choose). Den sommeren kjempte jeg mot høste (hoe) og flere stunder var jeg lang tiden utenfor for å ta bilder. I dag,nno
No var det,"No var det var lånt - No, they have not borrowed anything

Certainly you have seen a car with a sticker on the rear window which states “Fredrik har lånt bilen” (Fredrik has borrowed the car).  The reason for these stickers is not that Fredrik is a lazy driver and does not take care of his own car, but, rather, that this is a security sign. Fredrik, whose home is broken into by thieves, can prove that the car is not his and therefore the thieves will not get convicted because they do not have a stolen car in their possession. As you can see, this is a clever arrangement for both the car owner and the police and judicial offices. When you see such a car, you can be confident that Fredrik has the most perfect car insurance!

One can also get a car insurance which does not require a co-insured (e.g",nno
Så var det,"Så var det påsken denne år – en rigtig god påske på søndagen, uden tønner på påskemiddagen, med fars pilsner (falsk med natten i kylestuen) og sære nabo-toffer – til og med en påskehase! Vi har også besøgt sømandsmuseet i Helsingør, som de læser om i vores artikel. En dygtig præst tog del i påsken, jeg fik altså lige meget til at sætte meget i dette post, måske hører en ned i næste års post om påsken! Til gengæld for påskeposten: kaffebrød, jævl, jeg vil værk! – – Kjell
",nno
Men best som,"Men best somatropine of these cells is to divide and form progenies, but some of them mature into neurons. 10 A. C. Allodi (The role of nebrobiotic cells in the development of the CNS). Anat. Rec. 85: 163-167. Cited by: SS1.00 .

Fetal nebrobiotic cells and neuronal differentiation

Hanafusa T. (1972. Fetal nebrobiotic cells and neuronal differentiation).

AJP 222: 218-222. Cited by: SS1.00.

(1976. The neurobiotic cells. AJP 230: 313-316. Cited by: SS1.00 . 000. 000",nno
Dagen etter var,"Dagen etter varighet: Detaljert overføring

## Kontakt

028 65 80 93

## Hundesenteret Joker

Hundesenteret Joker has a large fenced training area and a playground just over a kilometer. You will find a large indoor room with plenty of space for play and exercise on a rainy day, the area is divided into a large exercise room and sleeping room. Outside, there are 20 large doghouses, all with plenty of room for both large and small dogs. There is a separate enclosure for small dogs and puppies, and you can order a run, where only your dog comes in. Hundesenteret Joker has also a play and outdoor pool so your dog can swim this summer. They have several hiking and bathing areas for the dogs.

The hundesenteret is located in Søhol",nno
Det var godt,"Det var godt med de nye fodfolket, men en ding, nogen ville bare være farlige.

Jeg ville jo ikke føle mig farlig, jeg var bare en lule frøken.

Mrs. Dalloway har tilkaldt sig sin fars advokat, sønnen Richard, og bedt ham om at være med til den lille fars fødselsdag.

Mrs. Dalloway går til hendes advokats kontor og drager forbi omrejsende turister, så hun kender dem alle.

Vi læser en værdifuld del af historien om Dr. Rivers og hans historie, til hans liv ender i skildringen af drømme, og læser om en af hans betænkelige møder med Mr. Dalloway",nno
Det har vore,"Det har vore siden april pr. 2015 ændret forholdet mellem penge og kroner i EU. Derfor skal varenes pris været opdateret.

Det har vore siden april pr. 2015 ændret forholdet mellem penge og kroner i EU. Derfor skal varenes pris været opdateret. Det har vore siden april pr. 2015 ændret forholdet mellem penge og kroner i EU. Derfor skal varenes pris været opdateret.

## Why we love Scrum

There's a lot of buzz and hype about Scrum and Agile methods in general. What's the truth about the good parts and bad parts of applying Scrum?

We'll get into the details of Sc",nno
Det er eit,"Det er eit utkall for VEGAN FLEISJE!

Eating out as a vegan is hard, but with many of our local favorites we can enjoy good food and support locally owned business.

Earlier this year Oslo passed a law making it obligatory for restaurants to disclose which meals contain animal products. Since, restaurants have been more aware of our needs and wants which is why we created the Oslo Vegan Guide. You can also check out Vegan Lokal’s list of 12 veg friendly restaurants in Oslo and Morgenbladet’s Restaurants, bars, coffees, grocery stores and bakeries in Oslo.

While some restaurants have a menu solely dedicated to vegan dishes with a separate section on the rest for non-vegans, others take it upon themselves to give the diner the option to make their dishes vegetarian and vegan. But at some restaurants you really",nno
Det er jo,"Det er jo nettet før man går ned og søger og hører og ser, men da er jo selve tiden brugt. Da skal man være et sted og spørge og undersøge, gå fra at vise til at være gæst. For dette kræver der tiden.

(It is on the internet before you go down and look and listen and see, but then the time has been wasted. Then you have to be a place and ask and investigate, go from showing to being a guest. This requires time.)

– K. T. Tørsleff

# Biography

Kim T. Tørslleff (b. 1992) earned his cand.philol. from Aarhus University (2015). He is a writer and a musician. Kim T. Tørslleff has had",nno
Når det gjeld,"Når det gjeld å være medlem av Den Internasjonale Utenrikssekriførsorg (IOA), har man muligheten til å skrive inn egen information til hjemmesiden, i øyeblikket inkludert på de følgende hjemmesidene:

- En personlig side for å skrive inn en kort presentasjon og for å lage en søknads side
- Søknads side for å skrive inn søknader for at bli medlemskansler på IOA
- Siden for IOA-gruppen
- Siden for IOA-avdelingen
- En forside for å skrive inn informasjon om medlemskap
- Side for å skrive inn artikler

Artikler kan inkludere:

- Utviklingsartikler
-",nno
I tillegg til,"I tillegg til å være et fugnestartsted er øya også røyksdalskog. Røyksdalskogen gjør hele tiden at det mangler plass, både i form av træer, men også plass til mestre som kan være merkur, tungtvanne, gass, lite gjenganger (men også store) og nærmest åpent være. Dette gjør at øya og kogen skal løse mange forskjellige prosesser.

I dag skal dette skrives ned, hvordan dette motet skal løses og dette finnes allereds i et trekart (trekart siden 05.10.2013). Trekarten fin",nno
Men det er,"Men det er ikke meget der hjælper i sådan som det er sådan et forhold med menneske som det er.

The truth is that we are not going to find another person who is not going to be exactly what we want them to be and what we need them to be.

But we have this desire to not want someone who is not exactly that.

But I don’t know exactly what to do with this whole thing.

Well I think it takes a lot of courage to be vulnerable with someone. I don’t think people realize that we all have a level of intimacy and closeness that we have with people that we can’t get that close to someone else. We always try to protect that to the best of our abilities and I think that’s what we are doing.

People tend to be afraid when they really get to know someone. I think it takes real courage to be a vulnerable person.",nno
I dag er,"I dag er dagen særdeles særlig, for min værdifulde kone går i pension i vårt bolighedsselskab, hvor hun er direktør for velfærd af mere END 11000 kunder om året. Denne næstyret er en anledning til nogle små hyldeste i form af et stykke af et mindre uværdigt artikl i den kristne presse, der nylig blev udgivet, til ære for kongerne som bliver hvide ridere med vandringen på jorden.

Få dage siden fik jeg altså fat i en artikel, hvor kronprins Frederik fortæller om det store høflighed for vandreture, som også kan spille en rolle i et",nno
Vi har fått,"Vi har fått 4000 kr av ett projekt på Kickstarter

Welcome to the new Kickstarter-featured project:

GRAVITY: Reach for the Stars – a turn-based puzzle-platformer with gravity-defying gameplay.

In GRAVITY, the main character is trapped in a zero-gravity environment where he must traverse a variety of challenges while finding light sources for his power-equipped glove. The challenge is that the glove is also the main mechanic, so every change in the glove’s power level means a new, more complicated gameplay and physics! Gravity-defying gameplay that puts new challenges and fun new mechanics at every turn!

GRAVITY features:
-A dynamic main mechanic which affects the physics, gameplay and the whole mood of the gameplay at each level of your power-glove.
-A",nno
Eg synest det,"Eg synest det ikke gjør nedskrevet lytteordbog. Men, jeg glemmer gjerne og gør sær del vis.

I will not give in. I will stand. I will look. I will listen and I will see. I will write. This will live. We will win. (We as in my family)

I’m here a lot of the time as a reader. A writer, yes, but a reader all the time. It’s a part of my life. I’m a fast reader and that has been great help and also a hindering factor all along. For some reason, I didn’t give up on my readings when I had children, and the younger one is still only four years old, she is the one who can sit with me in my chair as I am reading for hours. I am reading at the moment a lot of books about children and growing up for my",nno
Matrikkelframlegget 1863 seier,"Matrikkelframlegget 1863 seier over England 1862

This makes me wonder about all the things I never got exposed to as a kid

> The UK is an undeclared, unelected police state. This is the latest of many news stories about a Police State in the UK and it gets weirder the deeper you dig. In the next 24 months we will see this extend across the EU. You would expect to have the right to an opinion, a right to think and even to speak your thoughts out loud. We are told if I don’t like it, I don’t have to say it and that’s true. But in reality, that’s not true at all. If one does speak out loud then you will have to deal with the police knocking on your door. We are told that the people that knock on your door “may be able to help”. But this is a lie because when they knock on the door they ask for access",nno
Han sa til,"Han sa til de var tatoverede hjertet av kærlighed,

I’ve always been deeply passionate about writing – about putting down the right words that can convey emotions and make people feel something. For years I’ve spent time developing my skills as a singer-songwriter. I studied in Copenhagen, where I also recorded an EP at the legendary studio Puk. The EP was released in 2016 and after the release I took a step back to focus on writing and producing other artists, which has lead me to my latest project:

# The Lovesick Saga

### An ongoing story about an ongoing love affair.

I believe the best stories are told around a bonfire; shared with friends from different walks of life; on a warm summers night. Stories are shared without knowing the real ending. It is a mystery.

My music is a part of this. It’s not only",nno
Du skal ikkje,"Du skal ikkje holde opp ikkje å hjelpe oss i utgravningen.""
                                                                                   -Jølstra

This is a WIP. All info is available in the comments. More coming later!

Hello everyone, and welcome to the project!

I know there is already a translation project here. However, this is not that; it is an ""original"" translation.

I have come across a rather special game during my play-through of Dark Fall: Lost Souls. After going online to find out more details about the game and the location, I ended up digging into the web to find out more about Skulldrop and the island where SkullDropping took place in the game.

I came across some texts written by an archaeologist, and found it very interesting to read! And that's when I decided that I wanted to translate the texts, to make the game and the island a",nno
Då dei kom,"Då dei kom til

### VIDEO: Norwegian PM to become Europe’s first woman leader since 1300s

(…) But now she has become the first female leader of an EU country since Margaret Thatcher left 10 Downing Street in 1990 and her predecessor John Major was ousted from the UK’s top seat in office in 1997. […]

Ms. Gjerde, 48, who was born in the capital city, Oslo, and holds a master’s degree in economics from the London School of Economics, has been in politics since 1999, her biography says. She began her political career as a member of parliament for the Venstre party before being appointed minister in 2005. She went on to become leader of the Venstre for a short time in 2013 before she resigned days later following the party’s",nno
Dei sa til,"Dei sa tilikumi,
    and other words from Algonquian.

Sometimes at the end of this blog’s entry I have provided some interesting information about a topic in the story.  This story and entry is no exception.

In the story I state that in the Algonquian languages the word for “deer” is similar to “doe”.  Well, that is mostly true.  There are about 30 of the Native American Algonquian languages which range in number of speakers from being spoken by only a few hundred people to thousands.

I used “dei” to represent a generic word for “deer” because each language will have a specific word for the species of deer local to its region.  There are three general kinds of deer in the Western Hemisphere.  They are the Whitetail, the Mule Deer and the Caribou or reindeer.  Most Algonquian languages",nno
Men Jesus sa,"Men Jesus saith, that which is born of the flesh is flesh; and that which is born of the Spirit is spirit. I wonder therefore, what flesh gives birth to flesh, and what spirit gives birth to spirit?

John 3:6 NJB

Our bodies are made of material substances but we were created for spirit. We must have spiritual birth to live. Material birth is only the outer shell that we grow into. We need to be spiritually born so that we can grow from the inside out and become living, breathing, spiritually conceived children of God who can express the true nature of our Father with each other. Amen.

God Bless

Pastor Jeff

www.crownjewelsoftruth.com

## Author: Pastor Jeff

I am a husband, father, and a retired pastor in the United Methodist Church. I am blessed with more than I deserve, but I",nno
