model,compression_ratio_nob,compression_ratio_nno,lix_score_nob,lix_score_nno,self_bleu_nob,self_bleu_nno
mimir-7b-untranslated-withnewspapers,2.4987,2.3926000000000003,35.10598295212001,30.813779237529996,0.28260624471999995,0.23056770607
mimir-7b-factual,2.4968999999999997,2.3764,35.05658075212,30.86202351821,0.28161977733000004,0.22567862713000003
mimir-mistral-7b-base-scratch-instruct,2.5683,2.4383,38.6399133539,33.69477543826999,0.2751702933,0.21523447029000004
mimir-7b-books,2.5505,2.4145,35.24028612114001,29.35657442095,0.28958103447,0.22709289037000002
mimir-7b-newspapers,2.4586,2.3798999999999997,34.923326478069995,31.58199188208,0.27896428994,0.23445290139999994
mimir-mistral-250m-extended-scratch,2.6455999999999995,2.5288,36.796001703339996,32.71526705414,0.34615021762000003,0.28646253155000007
mimir-7b-translated,2.5178,2.3942000000000005,33.667912840650004,28.18146947547,0.30244405187000006,0.23720604148000005
mimir-mistral-7b-extended,2.4614000000000003,2.3604999999999996,36.384222985040005,30.91596531161,0.26462875695,0.21584647947000005
mimir-mistral-7b-core-scratch,2.5053,2.4219000000000004,38.02004589731,33.64246594281,0.27172448470000005,0.22464070309000003
mimir-7b-untranslated,2.5538,2.4059,36.26524164518,29.99406593892,0.27620545090999993,0.22456815487999998
mimir-mistral-7b-extended-scratch,2.4798999999999998,2.386,36.05594030696,30.7877899039,0.27320041031,0.22703457558
mimir-mistral-7b-base-instruct,2.4920999999999998,2.3854999999999995,38.527014646370006,32.96500296583999,0.25595735648000006,0.20948414655
mimir-mistral-250m-base-scratch,2.6574000000000004,2.5431,39.442912301549995,36.28913677526,0.3393382984700001,0.27561073524
mimir-mistral-7b-base,2.4732,2.3665000000000003,37.21160191525,31.92539381876,0.25807367593,0.20946378919000003
mimir-7b-nonfiction,2.5666,2.3913,37.19578498332001,31.063479856550003,0.27880882977000004,0.2141619155
mimir-mistral-7b-base-scratch,2.4976999999999996,2.3861999999999997,37.178967014019996,32.95928571764,0.27198406479000004,0.21414046934000003
mimir-mistral-7b-extended-instruct,2.4924999999999997,2.3747,37.238973072200004,31.845321908800003,0.2625221517,0.21148688798999998
mimir-mistral-1b-extended-scratch,2.5171,2.3991999999999996,35.75363410116,31.651140519270008,0.28249603624,0.22867391857000005
mimir-mistral-1b-base-scratch,2.5331,2.4219,37.56109138849,32.51557240388,0.28768149086,0.23642907964
mimir-7b-fiction,2.4990999999999994,2.4087000000000005,30.05071774639,25.98969768515,0.3078902938,0.24637149584
mimir-mistral-7b-extended-scratch-instruct,2.5467,2.4228,37.6139100876,32.19216226339,0.27809174076,0.22487278863000001
mimir-7b-rightholders,2.4844,2.3793999999999995,34.8035179315,30.619288904220003,0.28256209056000003,0.22868201996
Mistral-7B-v0.1,2.2391,2.1947,40.79848941489,38.24481980283999,0.17823228441000002,0.1484930476
