tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ikke, skulle, komme, tilbake, :, Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en, pakke, sigaretter, ., Jeg, har, ikke, noe, imot, å, bli, her, i, natt, ., Jeg, har, en, flaske, whisky, og, en]",DET NOUN ADP NOUN PRON PART AUX VERB ADP PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT PRON VERB PART PRON ADP PART VERB ADV ADP NOUN PUNCT PRON VERB DET NOUN NOUN CCONJ DET,0.03609625668449198,0.3721602288984268,175,748,0.68,0.5309999320477056
"[Men, så, banket, jomfru, Hansen, på, døren, og, kom, inn, med, et, brett, med, kaffe, og, kaker, ., Hun, var, en, liten, ,, tykkfallen, kvinne, med, et, rundt, ,, blidt, ansikt, og, en, stor, munn, ., Hun, var, alltid, i, godt, humør, ,, og, hun, hadde, en, egen, evne, til, å, få, folk, til, å, føle, seg, vel, ., Hun, var, en, av, de, få, som, hadde, vært, på, gården, helt, fra, den, ble, grunnlagt, ., Hun, hadde, vært, der, i, over, førti, år, ,, og, hun, hadde, vært, der, da, fruen, kom, dit, ., Hun, hadde, sett, henne, vokse, opp, fra, en, liten, pike, til, en, ung, kvinne, ,, og, hun, hadde, sett, henne, gifte, seg, med, en, mann, som, var, nesten, tyve, år, yngre, enn, henne, seiv, ., Hun, hadde, sett, henne, bli, enke, og, gifte, seg, med, en, mann, som, var, nesten, tyve, år, eldre, enn, henne, seiv, ., Hun, hadde, sett, henne, bli, gammel, og, grå, og, syk, og, dø, ., Hun, hadde, sett, henne, komme, tilbake, til, gården, som, en, gammel, kvinne, ,, og, hun, hadde, sett, henne, bli, ung, og, vakker, igjen, ., Hun, hadde, sett, henne, bli, enke, for, annen, gang, og]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB ADP ADP DET NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX DET ADJ PUNCT NOUN NOUN ADP DET ADP PUNCT ADJ NOUN CCONJ DET ADJ NOUN PUNCT PRON AUX ADV ADP ADJ NOUN PUNCT CCONJ PRON VERB DET DET NOUN SCONJ PART VERB NOUN SCONJ PART VERB PRON ADV PUNCT PRON AUX DET ADP DET ADJ PRON AUX AUX ADP NOUN ADJ SCONJ PRON AUX VERB PUNCT PRON AUX AUX ADV ADP ADP NUM NOUN PUNCT CCONJ PRON AUX AUX ADV SCONJ NOUN VERB ADV PUNCT PRON AUX VERB PRON VERB ADP ADP DET ADJ NOUN SCONJ DET ADJ NOUN PUNCT CCONJ PRON AUX VERB PRON VERB PRON ADP DET NOUN PRON AUX ADV NUM NOUN ADJ ADP PRON NOUN PUNCT PRON AUX VERB PRON VERB NOUN CCONJ VERB PRON ADP DET NOUN PRON AUX ADV NUM NOUN ADJ ADP PRON NOUN PUNCT PRON AUX VERB PRON VERB ADJ CCONJ ADJ CCONJ ADJ CCONJ VERB PUNCT PRON AUX VERB PRON VERB ADP ADP NOUN SCONJ DET ADJ NOUN PUNCT CCONJ PRON AUX VERB PRON VERB ADJ CCONJ ADJ ADV PUNCT PRON AUX VERB PRON VERB NOUN ADP DET NOUN CCONJ,0.03314285714285714,0.3712106537530265,199,875,0.6984924623115578,0.4735845116864454
"[Det, synspunkt, at, miljøskifte, og, nye, omgivelser, kan, ha, en, gunstig, virkning, på, et, menneskes, psykiske, tilstand, ,, er, ikke, noe, nytt, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, ., Men, det, er, også, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, enn, når, man, er, gammel, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, enn, når, man, er, gammel, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, enn, når, man, er, gammel, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, enn, når, man, er, gammel, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, enn, når, man, er, gammel, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når, man, er, ung, enn, når, man, er, gammel, ., Det, er, en, gammel, sannhet, at, det, er, lettere, å, tilpasse, seg, nye, forhold, når]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX VERB DET ADJ NOUN ADP DET NOUN ADJ NOUN PUNCT AUX PART DET ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ PUNCT CCONJ PRON AUX ADV DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ PART VERB PRON ADJ NOUN SCONJ,0.02863202545068929,0.3274272930648762,203,943,0.6551724137931034,0.2940105479203698
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, igjen, du, ., 
, Nei, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, ., 
, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, sa, Beatrice, Jeg, vil, ikke, legge]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON ADV PRON PUNCT SPACE PROPN VERB PROPN PRON AUX PART VERB PRON ADV PUNCT SPACE PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB PRON ADV VERB PROPN PRON AUX PART VERB,0.025806451612903226,0.3436095346197489,187,930,0.8556149732620321,0.12776496792063627
"[For, 2, av, elevene, har, det, vært, en, spesiell, opplevelse, ., De, har, fått, være, med, på, å, lage, denne, boka, ., Det, er, de, to, elevene, som, har, skrevet, de, fleste, av, tekstene, i, boka, ., De, har, også, laget, illustrasjonene, og, har, vært, med, på, å, lage, layouten, på, boka, ., 
, har, vært, med, på, å, lage, denne, boka, ., Det, er, de, to, elevene, som, har, skrevet, de, fleste, av, tekstene, i, boka, ., De, har, også, laget, illustrasjonene, og, har, vært, med, på, å, lage, layouten, på, boka, ., 
, har, vært, med, på, å, lage, denne, boka, ., Det, er, de, to, elevene, som, har, skrevet, de, fleste, av, tekstene, i, boka, ., De, har, også, laget, illustrasjonene, og, har, vært, med, på, å, lage, layouten, på, boka, ., 
, har, vært, med, på, å, lage, denne, boka, ., Det, er, de, to, elevene, som, har, skrevet, de, fleste, av, tekstene, i, boka, ., De, har, også, laget, illustrasjonene, og, har, vært, med, på, å, lage, layouten, på, boka, ., 
, har, vært, med, på, å, lage, denne, boka, ., Det, er, de, to, elevene, som, har]",ADP NUM ADP NOUN AUX PRON AUX DET ADJ NOUN PUNCT PRON AUX AUX AUX ADP SCONJ PART VERB DET NOUN PUNCT PRON AUX DET NUM NOUN PRON AUX VERB DET ADJ ADP NOUN ADP NOUN PUNCT PRON AUX ADV VERB NOUN CCONJ AUX AUX ADP SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE AUX AUX ADP SCONJ PART VERB DET NOUN PUNCT PRON AUX DET NUM NOUN PRON AUX VERB DET ADJ ADP NOUN ADP NOUN PUNCT PRON AUX ADV VERB NOUN CCONJ AUX AUX ADP SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE AUX AUX ADP SCONJ PART VERB DET NOUN PUNCT PRON AUX DET NUM NOUN PRON AUX VERB DET ADJ ADP NOUN ADP NOUN PUNCT PRON AUX ADV VERB NOUN CCONJ AUX AUX ADP SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE AUX AUX ADP SCONJ PART VERB DET NOUN PUNCT PRON AUX DET NUM NOUN PRON AUX VERB DET ADJ ADP NOUN ADP NOUN PUNCT PRON AUX ADV VERB NOUN CCONJ AUX AUX ADP SCONJ PART VERB NOUN ADP NOUN PUNCT SPACE AUX AUX ADP SCONJ PART VERB DET NOUN PUNCT PRON AUX DET NUM NOUN PRON VERB,0.03431952662721893,0.3930402010050241,193,845,0.6632124352331606,0.4197804673703573
"[Utover, høsten, 1987, vil, det, bli, utgitt, en, serie, med, billigbøker, om, den, annen, verdenskrig, i, Norge, ., Det, er, meningen, at, det, skal, komme, en, bok, hver, måned, i, 1988., Serien, vil, omfatte, skjønnlitteratur, ,, faglitteratur, og, biografier, ., Det, er, meningen, at, bøkene, skal, være, til, salgs, i, alle, norske, boklader, som, fører, bøker, ., Det, er, også, meningen, at, bøkene, skal, kunne, kjøpes, i, Sverige, og, Danmark, ., Det, er, meningen, at, bøkene, skal, være, til, salgs, fra, 1., september, 1987., Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene, fra, 1., oktober, 1987., Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene, fra, 1., november, 1987., 
, Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene, fra, 1., desember, 1987., 
, Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene, fra, 1., januar, 1988., 
, Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene, fra, 1., februar, 1988., 
, Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene, fra, 1., mars, 1988., 
, Det, er, meningen, at, bøkene, skal, være, til, salgs, i, bokhandlene]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN ADP NOUN ADP PROPN DET NOUN ADP PROPN PUNCT PRON AUX NOUN SCONJ PRON AUX VERB DET NOUN DET NOUN ADP NUM NOUN AUX VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP DET ADJ NOUN PRON VERB NOUN PUNCT PRON AUX ADV NOUN SCONJ NOUN AUX AUX VERB ADP PROPN CCONJ PROPN PUNCT PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP ADJ NOUN ADJ PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN ADP ADJ NOUN NUM PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN ADP ADJ NOUN NUM SPACE PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN ADP ADJ NOUN NUM SPACE PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN ADP ADJ NOUN NUM SPACE PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN ADP ADJ NOUN NUM SPACE PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN ADP ADJ NOUN NUM SPACE PRON AUX NOUN SCONJ NOUN AUX VERB ADP NOUN ADP NOUN,0.03528225806451613,0.41117709437963923,190,992,0.5631578947368421,0.2532160090071106
"[Personell, og, organisering, av, sekretariatet, for, Den, internasjonale, hvalfangstkommisjon, ,, og, av, sekretariatet, for, Den, internasjonale, forskningskomité, for, hvalfangst, (, ICFE, ), i, London, ., 
, av, hvalfangstkommisjonens, sekretariat, i, London, ., 
, av, Den, internasjonale, forskningskomité, for, hvalfangst, (, ICFE, ), i, London, ., 
, av, Den, internasjonale, hvalfangstkommisjons, sekretariat, i, London, ., 
, av, Den, internasjonale, forskningskomité, for, hvalfangst, (, ICFE, ), i, London, ., 
, av, Den, internasjonale, hvalfangstkommisjons, sekretariat, i, London, ., 
, av, Den, internasjonale, forskningskomité, for, hvalfangst, (, ICFE, ), i, London, ., 
, av, Den, internasjonale, hvalfangstkommisjons, sekretariat, i, London, ., 
, av, Den, internasjonale, forskningskomité, for, hvalfangst, (, ICFE, ), i, London, ., 
, av, Den, internasjonale, hvalfangstkommisjons, sekretariat, i, London, ., 
, av, Den, internasjonale, forskningskomité, for, hvalfangst, (, ICFE, ), i, London, ., 
, av, Den, internasjonale, hvalfangstkommisjons, sekretariat]",NOUN CCONJ NOUN ADP NOUN ADP PROPN ADJ NOUN PUNCT CCONJ ADP NOUN ADP PROPN ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE ADP NOUN NOUN ADP PROPN PUNCT SPACE ADP PROPN ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE ADP PROPN ADJ PROPN NOUN ADP PROPN PUNCT SPACE ADP PROPN ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE ADP PROPN ADJ PROPN NOUN ADP PROPN PUNCT SPACE ADP PROPN ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE ADP PROPN ADJ PROPN NOUN ADP PROPN PUNCT SPACE ADP PROPN ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE ADP PROPN ADJ PROPN NOUN ADP PROPN PUNCT SPACE ADP PROPN ADJ NOUN ADP NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE ADP PROPN ADJ NOUN NOUN,0.03459821428571429,0.4337898465171189,139,896,0.33093525179856115,0.019262455377785995
"[De, nevnte, artiklene, i, FN-organet, UNESCOs, tidsskrift, «, UNESCO, Courier, », er, hentet, fra, følgende, nummer, :, UNESCO, Courier, nr., 419, og, 420, for, 1963, og, nr., 421, og, 422, for, 1964., 
, er, hentet, fra, følgende, nummer, :, UNESCO, Courier, nr., 419, og, 420, for, 1963, og, nr., 421, og, 422, for, 1964., 
, er, hentet, fra, følgende, nummer, :, UNESCO, Courier, nr., 419, og, 420, for, 1963, og, nr., 421, og, 422, for, 1964., 
, er, hentet, fra, følgende, nummer, :, UNESCO, Courier, nr., 419, og, 420, for, 1963, og, nr., 421, og, 422, for, 1964., 
, er, hentet, fra, følgende, nummer, :, UNESCO, Courier, nr., 419, og, 420, for, 1963, og, nr., 421, og, 422, for, 1964., 
, er, hentet, fra, følgende, nummer, :, UNESCO, Courier, nr., 419, og, 420, for, 1963, og, nr., 421, og, 422, for, 1964]",DET VERB NOUN ADP NOUN ADJ NOUN PUNCT PROPN PROPN PUNCT AUX VERB ADP ADJ NOUN PUNCT PROPN PROPN NOUN NUM CCONJ NUM ADP NUM CCONJ NOUN NUM CCONJ NUM ADP NUM SPACE AUX VERB ADP ADJ NOUN PUNCT PROPN PROPN NOUN NUM CCONJ NUM ADP NUM CCONJ NOUN NUM CCONJ NUM ADP NUM SPACE AUX VERB ADP ADJ NOUN PUNCT PROPN PROPN NOUN NUM CCONJ NUM ADP NUM CCONJ NOUN NUM CCONJ NUM ADP NUM SPACE AUX VERB ADP ADJ NOUN PUNCT PROPN PROPN NOUN NUM CCONJ NUM ADP NUM CCONJ NOUN NUM CCONJ NUM ADP NUM SPACE AUX VERB ADP ADJ NOUN PUNCT PROPN PROPN NOUN NUM CCONJ NUM ADP NUM CCONJ NOUN NUM CCONJ NUM ADP NUM SPACE AUX VERB ADP ADJ NOUN PUNCT PROPN PROPN NOUN NUM CCONJ NUM ADP NUM CCONJ NOUN NUM CCONJ NUM ADP NUM,0.061068702290076333,0.44966996699670087,142,655,0.30985915492957744,0.01258958683291777
"[Bør, minimum, være, 10, av, de, beste, bøkene, i, serien, for, å, få, fullt, utbytte, av, den, !, 
, Originalens, tittel, :, The, Saddle, Club, #23, :, The, Saddle, Club, and, the, Secret, of, the, Lost, Tree, Oversatt, av, :, Kari, E., Larsen, Forside, :, Scholastic, Inc, ,, New, York, Published, pursuant, to, agreement, with, Ulla, Løhren, Literary, Agency, /, Scholastic, Inc, ., New, York, Originalversjon, utgitt, av, Scholastic, Inc, ., 
, Utgitt, av, tlsklubben, Stabenfeldt, A, /, S, ,, Stavanger, ,, 1995, Redaktør, :, Else, K., Jacobsen, Sats, :, Stabenfeldt, A, /, S, Trykk, :, ScandBook, AB, ,, Falun, ISBN, 82-7428-155-5, -, Jeg, har, en, idé, ,, sa, Carole, Hanson, til, venninnene, sine, ,, Steffi, Lake, og, Lisa, Atwood, ., -, Vi, kan, lage, en, klubb, for, hestegale, jenter, ., En, klubb, som, bare, er, for, jenter, ., En, klubb, som, ikke, har, noe, med, ridning, å, gjøre, ., 
, -, Det, er, en, kjempegod]",AUX NOUN AUX NUM ADP DET ADJ NOUN ADP NOUN SCONJ PART VERB ADJ NOUN ADP PRON PUNCT SPACE NOUN NOUN PUNCT PROPN PROPN PROPN NOUN PUNCT PROPN PROPN PROPN X X PROPN X X PROPN PROPN VERB ADP PUNCT PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN VERB NUM X X PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN VERB ADP PROPN PROPN PUNCT SPACE ADJ ADP NOUN PROPN NOUN NOUN NOUN PUNCT PROPN PUNCT NUM NOUN PUNCT PROPN PROPN PROPN PROPN PUNCT NOUN NOUN NOUN NOUN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN ADP PUNCT PRON VERB DET NOUN PUNCT VERB PROPN PROPN ADP NOUN PRON PUNCT PROPN PROPN CCONJ PROPN PROPN PUNCT PUNCT PRON AUX VERB DET NOUN ADP ADJ NOUN PUNCT DET NOUN PRON ADV AUX ADP NOUN PUNCT DET NOUN PRON PART VERB PRON ADP NOUN PART VERB PUNCT SPACE PUNCT PRON AUX DET ADJ,0.08771929824561403,0.45083815028901697,156,741,0.32051282051282054,0.21329054626109545
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, forvaltning, av, det, operative, samarbeidet, om, indre, sikkerhet, ., Byrået, skal, ha, som, oppgave, å, koordinere, samarbeidet, mellom, medlemslandene, og, yte, teknisk, bistand, til, medlemslandene, i, forbindelse, med, gjennomføringen, av, de, tiltak, som, er, nevnt, i, artikkel, 2, og, artikkel, 3, nr., 1, og, 2., Artikkel, 4, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, kontroll, med, narkotika, og, psykotrope, stoffer, ., 
, Artikkel, 5, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, kontroll, med, legemidler, og, narkotika, ., 
, Artikkel, 6, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, kontroll, med, legemidler, og, narkotika, ., 
, Artikkel, 7, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, kontroll, med, legemidler, og, narkotika, ., 
, Artikkel, 8, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, kontroll, med, legemidler, og, narkotika, ., 
, Artikkel, 9, tar, opp, Kommisjonens, forslag, om, å, opprette, et, europeisk, byrå, for, kontroll, med, legemidler, og, narkotika, ., 
, Artikkel, 10]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN PUNCT NOUN AUX VERB SCONJ NOUN PART VERB NOUN ADP NOUN CCONJ VERB ADJ NOUN ADP NOUN ADP NOUN ADP NOUN ADP DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM NOUN NUM CCONJ ADJ NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN NOUN PUNCT SPACE NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE NOUN NUM,0.03696682464454976,0.3786679920477125,181,1055,0.4088397790055249,0.08013144251318459
