tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ikke, har, fått, med, seg, at, det, er, en, tråd, om, dette, her, inne, ., Jeg, har, en, slik, ,, og, den, er, ikke, så, veldig, dyr, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den, er, veldig, god, ., Den, er, ikke, så, veldig, dyr, ,, men, den]",DET NOUN ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON AUX DET NOUN ADP PRON ADV ADP PUNCT PRON VERB DET DET PUNCT CCONJ PRON AUX PART ADV ADJ NOUN PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX PART ADV ADJ ADJ PUNCT CCONJ PRON,0.02832244008714597,0.35737629459149234,237,918,0.7679324894514767,0.1851488132722803
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, nå, var, det, på, tide, å, gå, til, bords, ., Og, så, gikk, de, til, bords, og, spiste, og, drakk, og, pratet, og, lo, ,, og, etterpå, gikk, de, ut, i, haven, alle, sammen, og, så, på, rosene, og, nellikerne, og, tulipanene, og, pinseliljene, og, narcissen, og, liljene, og, konvaller, og, akeleier, og, prestekraver, og, stokkroser, og, georginer, og, revebjeller, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersporer, og, riddersp]",CCONJ ADV VERB NOUN PROPN ADP NOUN CCONJ VERB SCONJ ADV AUX PRON ADP NOUN PART VERB ADP NOUN PUNCT CCONJ ADV VERB PRON ADP NOUN CCONJ VERB CCONJ VERB CCONJ VERB CCONJ VERB PUNCT CCONJ ADV VERB PRON ADP ADP NOUN PRON ADV CCONJ ADV ADP NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ VERB CCONJ PROPN,0.042584434654919234,0.2548734177215219,112,681,0.5803571428571429,0.08967475296344263
"[Det, synspunkt, at, miljøskifte, og, nye, omgivelser, kan, være, en, fordel, for, barn, med, atferdsvansker, er, ikke, nytt, ., I, en, artikkel, i, Tidsskrift, for, Norsk, Psykologforening, fra, 1998, skriver, psykologene, Toril, Havik, og, Haldor, Øvreeide, at, det, er, en, utbredt, oppfatning, at, barn, med, atferdsvansker, profitterer, på, miljøskifte, ., De, viser, til, at, det, er, gjort, en, rekke, undersøkelser, som, viser, at, barn, med, atferdsvansker, har, en, tendens, til, å, få, det, bedre, etter, å, ha, flyttet, til, nye, omgivelser, ., De, mener, at, det, er, grunn, til, å, tro, at, dette, skyldes, at, barn, med, atferdsvansker, har, en, tendens, til, å, reagere, med, opposisjon, når, de, kommer, i, nye, omgivelser, ., De, mener, at, det, er, viktig, å, være, oppmerksom, på, at, det, er, en, fare, for, at, barn, med, atferdsvansker, kan, reagere, med, opposisjon, når, de, kommer, i, nye, omgivelser, ., De, mener, at, det, er, viktig, å, være, oppmerksom, på, at, det, er, en, fare, for, at, barn, med, atferdsvansker, kan, reagere, med, opposisjon, når, de, kommer, i, nye, omgivelser, .]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX AUX DET NOUN ADP NOUN ADP NOUN AUX PART ADJ PUNCT ADP DET NOUN ADP PROPN ADP PROPN NOUN ADP NUM VERB NOUN PROPN PROPN CCONJ PROPN PROPN SCONJ PRON AUX DET ADJ NOUN SCONJ NOUN ADP NOUN NOUN ADP NOUN PUNCT PRON VERB SCONJ SCONJ PRON AUX VERB DET NOUN NOUN PRON VERB SCONJ NOUN ADP NOUN VERB DET NOUN SCONJ PART VERB PRON ADJ SCONJ PART AUX VERB ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON VERB NOUN SCONJ PART VERB SCONJ PRON VERB SCONJ NOUN ADP NOUN VERB DET NOUN SCONJ PART VERB ADP NOUN SCONJ PRON VERB ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON AUX ADJ PART AUX ADJ SCONJ SCONJ PRON VERB DET NOUN SCONJ SCONJ NOUN ADP NOUN AUX VERB ADP NOUN SCONJ PRON VERB ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON AUX ADJ PART AUX ADJ SCONJ SCONJ PRON VERB DET NOUN SCONJ SCONJ NOUN ADP NOUN AUX VERB ADP NOUN SCONJ PRON VERB ADP ADJ NOUN PUNCT,0.038502673796791446,0.3567042889390531,175,935,0.6685714285714286,0.3744787616281765
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, sa, jeg, og, gikk, ut, av, rommet, og, låste, døra, etter, meg, ., Jeg, gikk, ned, trappa, og, ut, på, gata, og, der, sto, det, en, bil, og, jeg, gikk, bort, til, den, og, satte, meg, inn, og, kjørte, av, gårde, og, jeg, kjørte, til, jeg, kom, til, en, bensinstasjon, og, der, stoppet, jeg, bilen, og, gikk, ut, og, gikk, inn, og, kjøpte, en, pølse, og, en, brus, og, gikk, ut, igjen, og, satte, meg, i, bilen, og, kjørte, til, jeg, kom, til, en, ny, bensinstasjon, og, der, stoppet, jeg, bilen, og, gikk, inn, og, kjøpte, en, pølse, og, en, brus, og, gikk, ut, igjen, og, satte, meg, i, bilen, og, kjørte, til, jeg, kom, til, en, ny, bensinstasjon, og, der, stoppet, jeg, bilen, og, gikk, inn, og, kjøpte, en, pølse, og, en, brus, og, gikk, ut, igjen, og, satte, meg, i, bilen, og, kjørte, til, jeg, kom, til, en, ny, bensinstasjon, og, der, stoppet, jeg, bilen, og, gikk, inn, og, kjøpte, en, pølse, og, en, brus, og, gikk, ut, igjen, og, satte, meg, i, bilen, og, kjørte, til, jeg, kom, til]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON VERB PRON CCONJ VERB ADP ADP NOUN CCONJ VERB NOUN ADP PRON PUNCT PRON VERB ADP NOUN CCONJ ADP ADP NOUN CCONJ ADV VERB PRON DET NOUN CCONJ PRON VERB ADP ADP PRON CCONJ VERB PRON ADP CCONJ VERB ADP NOUN CCONJ PRON VERB SCONJ PRON VERB ADP DET NOUN CCONJ ADV VERB PRON NOUN CCONJ VERB ADP CCONJ VERB ADP CCONJ VERB DET NOUN CCONJ DET NOUN CCONJ VERB ADP ADV CCONJ VERB PRON ADP NOUN CCONJ VERB SCONJ PRON VERB ADP DET ADJ NOUN CCONJ ADV VERB PRON NOUN CCONJ VERB ADP CCONJ VERB DET NOUN CCONJ DET NOUN CCONJ VERB ADP ADV CCONJ VERB PRON ADP NOUN CCONJ VERB SCONJ PRON VERB ADP DET ADJ NOUN CCONJ ADV VERB PRON NOUN CCONJ VERB ADP CCONJ VERB DET NOUN CCONJ DET NOUN CCONJ VERB ADP ADV CCONJ VERB PRON ADP NOUN CCONJ VERB SCONJ PRON VERB ADP DET ADJ NOUN CCONJ ADV VERB PRON NOUN CCONJ VERB ADP CCONJ VERB DET NOUN CCONJ DET NOUN CCONJ VERB ADP ADV CCONJ VERB PRON ADP NOUN CCONJ VERB SCONJ PRON VERB ADP,0.031877213695395513,0.3338345864661646,190,847,0.7684210526315789,0.1680819418098704
"[For, 2, av, elevene, har, det, vært, en, stor, utfordring, å, komme, seg, til, og, fra, skolen, ., De, har, hatt, en, lang, og, slitsom, reisevei, og, har, måttet, stå, opp, tidlig, for, å, rekke, skolestart, ., Dette, har, vært, en, stor, belastning, for, dem, og, de, har, uttrykt, at, de, har, vært, lei, seg, og, bekymret, for, å, ikke, komme, seg, på, skolen, ., 
, For, 2, av, elevene, har, det, vært, en, stor, utfordring, å, komme, seg, til, og, fra, skolen, ., De, har, hatt, en, lang, og, slitsom, reisevei, og, har, måttet, stå, opp, tidlig, for, å, rekke, skolestart, ., Dette, har, vært, en, stor, belastning, for, dem, og, de, har, uttrykt, at, de, har, vært, lei, seg, og, bekymret, for, å, ikke, komme, seg, på, skolen, ., Dette, har, også, ført, til, at, de, har, vært, mye, borte, fra, skolen, og, har, hatt, mye, fravær, ., De, har, også, uttrykt, at, de, har, vært, lei, seg, for, at, de, ikke, har, fått, være, med, på, fritidsaktiviteter, og, at, de, har, vært, lei, seg, for, at, de, ikke, har, fått, være, med, på, sosiale, sammenkomster, med, venner, og, familie, ., De, har, også, uttrykt, at]",ADP NUM ADP NOUN AUX PRON VERB DET ADJ NOUN PART VERB PRON ADP CCONJ ADP NOUN PUNCT PRON AUX VERB DET ADJ CCONJ ADJ NOUN CCONJ AUX AUX VERB ADP ADJ SCONJ PART VERB NOUN PUNCT PRON AUX AUX DET ADJ NOUN ADP PRON CCONJ PRON AUX VERB SCONJ PRON AUX AUX ADJ PRON CCONJ ADJ SCONJ PART PART VERB PRON ADP NOUN PUNCT SPACE ADP NUM ADP NOUN AUX PRON VERB DET ADJ NOUN PART VERB PRON ADP CCONJ ADP NOUN PUNCT PRON AUX VERB DET ADJ CCONJ ADJ NOUN CCONJ AUX AUX VERB ADP ADJ SCONJ PART VERB NOUN PUNCT PRON AUX AUX DET ADJ NOUN ADP PRON CCONJ PRON AUX VERB SCONJ PRON AUX AUX ADJ PRON CCONJ ADJ SCONJ PART PART VERB PRON ADP NOUN PUNCT PRON AUX ADV VERB SCONJ SCONJ PRON AUX AUX ADJ ADP ADP NOUN CCONJ AUX VERB ADJ NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX AUX ADJ PRON SCONJ SCONJ PRON PART AUX VERB AUX ADP ADP NOUN CCONJ SCONJ PRON AUX AUX ADJ PRON SCONJ SCONJ PRON PART AUX VERB AUX ADP ADP ADJ NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB SCONJ,0.031833150384193196,0.3763109048723901,198,911,0.7272727272727273,0.3935692102652912
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, kurs, i, regi, av, Statens, teknologiske, institutt, og, Norges, byggforskningsinstitutt, ., Kursene, er, beregnet, på, alle, som, ønsker, å, lære, mer, om, byggeforskriftene, og, de, nye, byggeforskriftene, som, trer, i, kraft, 1., juli, 1987., Kursene, er, gratis, og, det, er, ingen, påmelding, ., Kursene, holdes, i, Oslo, ,, Bergen, ,, Trondheim, ,, Stavanger, ,, Tromsø, og, Bodø, ., Kursene, er, lagt, opp, med, forelesninger, ,, gruppearbeid, og, diskusjoner, ., Det, er, også, satt, av, tid, til, å, arbeide, med, egne, prosjekter, ., Kursene, er, lagt, opp, slik, at, de, skal, passe, for, alle, som, ønsker, å, lære, mer, om, byggeforskriftene, og, de, nye, byggeforskriftene, som, trer, i, kraft, 1., juli, 1987., Kursene, er, gratis, og, det, er, ingen, påmelding, ., Kursene, holdes, i, Oslo, ,, Bergen, ,, Trondheim, ,, Stavanger, ,, Tromsø, og, Bodø, ., Kursene, er, lagt, opp, med, forelesninger, ,, gruppearbeid, og, diskusjoner, ., Det, er, også, satt, av, tid, til, å, arbeide, med, egne, prosjekter, .]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN NOUN ADP NOUN ADP PROPN ADJ NOUN CCONJ PROPN NOUN PUNCT NOUN AUX VERB ADP PRON PRON VERB PART VERB ADJ ADP NOUN CCONJ DET ADJ NOUN PRON VERB ADP NOUN ADJ NOUN NUM NOUN AUX ADJ CCONJ PRON VERB DET NOUN PUNCT NOUN VERB ADP PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PUNCT NOUN AUX VERB ADP ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB ADP NOUN SCONJ PART VERB ADP DET NOUN PUNCT NOUN AUX VERB ADP ADV SCONJ PRON AUX VERB ADP PRON PRON VERB PART VERB ADJ ADP NOUN CCONJ DET ADJ NOUN PRON VERB ADP NOUN ADJ NOUN NUM NOUN AUX ADJ CCONJ PRON VERB DET NOUN PUNCT NOUN VERB ADP PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PUNCT NOUN AUX VERB ADP ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB ADP NOUN SCONJ PART VERB ADP DET NOUN PUNCT,0.04357541899441341,0.38713947990543734,168,895,0.5,0.17832406814209797
"[Personell, og, organisering, av, sekretariatet, for, kontrollutvalet, |, Finans, Norge, 
, Finans, Norge, Politikk, Høringsuttalelser, Høringsuttalelser, 2013, Personell, og, organisering, av, sekretariatet, for, kontrollutvalet, 
, Vår, ref., :, 13-335/BKA, /, TS, /, CT, 
, Deres, ref., :, 12/288, 
, Vi, viser, til, Finansdepartementets, brev, av, 1., juli, 2013, med, vedlagt, høringsnotat, om, personell, og, organisering, av, sekretariatet, for, kontrollutvalet, ., 
, Finansnæringens, Fellesorganisasjon, (, FNO, ), er, en, hovedorganisasjon, for, finansnæringen, i, Norge, og, representerer, mer, enn, 200, medlemsbedrifter, med, mer, enn, 10, 000, ansatte, ., FNO, er, en, av, de, største, aktørene, i, finansnæringen, i, Norge, og, har, som, formål, å, ivareta, medlemmenes, interesser, i, næringspolitiske, spørsmål, og, i, arbeidsgiverspørsmål, ., FNO, har, også, en, viktig, rolle, som, talerør, for, finansnæringen, overfor, myndighetene, ., FNO, har, i, dag, ca., 50, ansatte, og, er, lokalisert, i, Oslo, og, Bergen, ., 
, FNO, har, ingen, merknader, til, forslaget, om, å, lovfeste, at, sekretariatet, for, kontrollutvalet]",NOUN CCONJ NOUN ADP NOUN ADP NOUN PROPN PROPN PROPN SPACE PROPN PROPN NOUN NOUN NOUN NUM NOUN CCONJ NOUN ADP NOUN ADP NOUN SPACE PRON NOUN PUNCT NUM PUNCT PROPN PUNCT PROPN SPACE PRON NOUN PUNCT NOUN SPACE PRON VERB ADP PROPN NOUN ADP ADJ NOUN NUM ADP ADJ NOUN ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT SPACE NOUN PROPN PUNCT PROPN PUNCT AUX DET NOUN ADP NOUN ADP PROPN CCONJ VERB ADJ ADP NUM NOUN ADP ADJ ADP NUM NUM ADJ PUNCT PROPN AUX DET ADP DET ADJ NOUN ADP NOUN ADP PROPN CCONJ VERB SCONJ NOUN PART VERB NOUN NOUN ADP ADJ NOUN CCONJ ADP NOUN PUNCT PROPN VERB ADV DET ADJ NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT PROPN VERB ADP NOUN ADV NUM ADJ CCONJ AUX ADJ ADP PROPN CCONJ PROPN PUNCT SPACE PROPN VERB DET NOUN ADP NOUN SCONJ PART VERB SCONJ NOUN ADP NOUN,0.055150884495317375,0.3858333333333339,154,961,0.4090909090909091,0.14542014778654477
"[De, nevnte, artiklene, i, FN-rapporten, er, skrevet, av, en, gruppe, forskere, fra, ulike, land, som, har, studert, hvordan, klimaendringer, påvirker, matsikkerheten, i, verden, ., Forskerne, har, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og, hvordan, dette, igjen, påvirker, matsikkerheten, ., 
, Forskerne, har, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og, hvordan, dette, igjen, påvirker, matsikkerheten, ., De, har, også, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og, hvordan, dette, igjen, påvirker, matsikkerheten, ., Forskerne, har, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og, hvordan, dette, igjen, påvirker, matsikkerheten, ., De, har, også, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og, hvordan, dette, igjen, påvirker, matsikkerheten, ., Forskerne, har, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og, hvordan, dette, igjen, påvirker, matsikkerheten, ., De, har, også, sett, på, hvordan, klimaendringer, påvirker, tilgangen, på, mat, i, ulike, deler, av, verden, ,, og]",PRON VERB NOUN ADP NOUN AUX VERB ADP DET NOUN NOUN ADP ADJ NOUN PRON AUX VERB ADV NOUN VERB NOUN ADP NOUN PUNCT NOUN AUX VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADV PRON ADV VERB NOUN PUNCT SPACE NOUN AUX VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADV PRON ADV VERB NOUN PUNCT PRON AUX ADV VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADV PRON ADV VERB NOUN PUNCT NOUN AUX VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADV PRON ADV VERB NOUN PUNCT PRON AUX ADV VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADV PRON ADV VERB NOUN PUNCT NOUN AUX VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ ADV PRON ADV VERB NOUN PUNCT PRON AUX ADV VERB SCONJ ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT CCONJ,0.025179856115107913,0.3655503292568182,183,1112,0.5792349726775956,0.29694069018178526
"[Bør, minimum, være, 10, av, 15, poeng, for, å, få, bestått, på, eksamen, i, JUS2111, Statsforfatningsrett, ,, folkerett, og, menneskerettigheter, (, bokmål, ), og, JUS2111, Statsforfatningsrett, ,, folkerett, og, menneskerettigheter, (, nynorsk, ), ., 
, Eksamensoppgaven, består, av, to, deler, ., Del, I, er, en, teorioppgave, som, skal, besvares, med, utgangspunkt, i, pensumlitteraturen, ., Del, II, er, en, praktikumsoppgave, som, skal, besvares, med, utgangspunkt, i, et, eller, flere, praktiske, eksempler, fra, rettspraksis, ., Det, skal, ikke, skrives, noe, utover, det, som, står, i, pensumlitteraturen, eller, i, rettspraksis, ., Det, er, ikke, nødvendig, å, skrive, noe, utover, det, som, står, i, pensumlitteraturen, eller, i, rettspraksis, ., Det, er, ikke, nødvendig, å, skrive, noe, utover, det, som, står, i, pensumlitteraturen, eller, i, rettspraksis, ., Det, er, ikke, nødvendig, å, skrive, noe, utover, det, som, står, i, pensumlitteraturen, eller, i, rettspraksis, ., Det, er, ikke, nødvendig, å, skrive, noe, utover, det, som, står, i, pensumlitteraturen, eller, i, rettspraksis]",AUX NOUN AUX NUM ADP NUM NOUN SCONJ PART AUX VERB ADP ADV ADP PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT INTJ PUNCT CCONJ PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT NOUN PUNCT PUNCT SPACE NOUN VERB ADP NUM NOUN PUNCT VERB ADP AUX DET NOUN PRON AUX VERB ADP NOUN ADP NOUN PUNCT VERB NUM AUX DET NOUN PRON AUX VERB ADP NOUN ADP DET CCONJ ADJ ADJ NOUN ADP NOUN PUNCT PRON AUX PART VERB PRON ADP PRON PRON VERB ADP NOUN CCONJ ADP NOUN PUNCT PRON AUX PART ADJ PART VERB PRON ADP PRON PRON VERB ADP NOUN CCONJ ADP NOUN PUNCT PRON AUX PART ADJ PART VERB PRON ADP PRON PRON VERB ADP NOUN CCONJ ADP NOUN PUNCT PRON AUX PART ADJ PART VERB PRON ADP PRON PRON VERB ADP NOUN CCONJ ADP NOUN PUNCT PRON AUX PART ADJ PART VERB PRON ADP PRON PRON VERB ADP NOUN CCONJ ADP NOUN,0.043010752688172046,0.3577071509648128,155,930,0.6,0.24952292950116808
"[Artikkel, 3, tar, opp, Kommisjonens, plikt, til, å, sikre, at, det, er, sammenheng, mellom, de, ulike, politikkområdene, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, også, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er, nødvendig, å, se, miljøhensyn, i, sammenheng, med, andre, politikkområder, som, påvirker, miljøet, ., Artikkelen, understreker, at, det, er]",PROPN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ PRON VERB NOUN ADP DET ADJ NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB ADV SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP DET NOUN PRON VERB NOUN PUNCT NOUN VERB SCONJ PRON AUX,0.02280701754385965,0.3775435380384961,171,1140,0.5087719298245614,0.214045290595371
