tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, ble, satt, rekorder, i, går, ., I, USA, ble, det, satt, ny, rekord, for, antall, solgte, boliger, i, løpet, av, en, dag, med, hele, 1.955, solgte, boliger, i, løpet, av, en, dag, ., Det, er, en, økning, på, hele, 39,2, prosent, fra, samme, periode, i, fjor, ., Det, er, også, ny, rekord, for, antall, solgte, boliger, i, løpet, av, en, måned, med, hele, 1.955, solgte, boliger, i, løpet, av, en, måned, ., Det, er, en, økning, på, hele, 39,2, prosent, fra, samme, periode, i, fjor, ., Det, er, også, ny, rekord, for, antall, solgte, boliger, i, løpet, av, et, kvartal, med, hele, 1.955, solgte, boliger, i, løpet, av, et, kvartal, ., Det, er, en, økning, på, hele, 39,2, prosent, fra, samme, periode, i, fjor, ., Det, er, også, ny, rekord, for, antall, solgte, boliger, i, løpet, av, et, år, med, hele, 1.955, solgte, boliger, i, løpet, av, et, år, ., Det, er, en, økning, på, hele, 39,2, prosent, fra, samme, periode, i, fjor, ., Det, er, også, ny, rekord, for, antall, solgte, boliger, i, løpet, av, en, måned, med, hele, 1.955, solgte]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON AUX VERB NOUN ADP NOUN PUNCT ADP PROPN AUX PRON VERB ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ PRON ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PRON AUX DET NOUN ADP ADJ NUM NOUN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ PRON ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PRON AUX DET NOUN ADP ADJ NUM NOUN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ ADP ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PRON AUX DET NOUN ADP ADJ NUM NOUN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ ADP ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PRON AUX DET NOUN ADP ADJ NUM NOUN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ ADV VERB,0.0418552036199095,0.41549700598802203,191,884,0.581151832460733,1.0
"[Det, var, ein, gong, ein, mann, som, hadde, ei, kjerring, som, var, så, fæl, til, å, stela, ., Så, var, det, ein, gong, ho, kom, inn, til, han, med, ein, sekk, på, nakken, ,, og, den, var, så, tung, at, han, trudde, aldri, han, skulle, bera, han, ., Men, kjerringa, sa, det, var, berre, ein, sekk, og, ikkje, noko, anna, ,, og, så, fekk, han, bera, han, ., Då, han, hadde, gått, eit, stykke, ,, kom, han, til, ein, stor, skog, ;, der, møtte, han, ein, som, kom, fykande, så, fort, ,, og, den, vegen, hadde, han, aldri, i, verda, kome, før, ., «, Kva, er, det, du, har, i, sekken, din, ?, », spurde, mannen, ., «, Å, ,, det, er, ikkje, noko, », ,, sa, mannen, ., «, Men, kor, har, du, fått, tak, i, den, då, ?, », spurde, han, ., «, Å, ,, eg, har, hatt, den, lenge, », ,, sa, mannen, ., «, Det, var, ein, snill, mann, », ,, sa, mannen, ;, «, han, ville, ikkje, ta, det, han, ikkje, åtte, », ,, sa, han, .]",PRON AUX X X X NOUN PRON VERB DET NOUN PRON AUX ADV ADJ SCONJ PART VERB PUNCT ADV AUX PRON X X X VERB ADP ADP PRON ADP X NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ SCONJ PRON VERB ADV PRON AUX VERB PRON PUNCT CCONJ NOUN VERB PRON AUX X X NOUN CCONJ X X X PUNCT CCONJ ADV VERB PRON VERB PRON PUNCT VERB PRON AUX VERB DET NOUN PUNCT VERB PRON ADP X ADJ NOUN PUNCT ADV VERB PRON X PRON VERB ADJ ADV ADJ PUNCT CCONJ DET NOUN VERB PRON ADV ADP X X X PUNCT PUNCT INTJ AUX PRON PRON VERB ADP NOUN PRON PUNCT PUNCT VERB NOUN PUNCT PUNCT INTJ PUNCT PRON VERB X X PUNCT PUNCT VERB NOUN PUNCT PUNCT CCONJ ADV AUX PRON VERB NOUN ADP PRON X PUNCT PUNCT VERB PRON PUNCT PUNCT INTJ PUNCT PRON AUX VERB PRON ADJ PUNCT PUNCT VERB NOUN PUNCT PUNCT PRON AUX X X NOUN PUNCT PUNCT VERB NOUN PUNCT PUNCT PRON AUX X VERB PRON PRON ADV NUM PUNCT PUNCT VERB PRON PUNCT,0.05240174672489083,0.3792163009404391,182,687,0.6483516483516484,0.2970210002402282
"[Det, var, så, langt, fra, en, vanlig, dag, på, jobben, for, de, ansatte, i, Statens, vegvesen, i, går, at, det, nesten, ikke, er, til, å, tro, ., I, løpet, av, noen, få, timer, ble, det, gjort, en, rekke, oppsiktsvekkende, funn, ., Blant, annet, ble, det, funnet, en, bil, som, var, stjålet, i, Oslo, og, en, bil, som, var, meldt, stjålet, i, Bergen, ., I, tillegg, ble, det, funnet, en, bil, som, var, meldt, stjålet, i, Oslo, og, en, bil, som, var, meldt, stjålet, i, Bergen, ., I, tillegg, ble, det, funnet, en, bil, som, var, meldt, stjålet, i, Oslo, og, en, bil, som, var, meldt, stjålet, i, Bergen, ., I, tillegg, ble, det, funnet, en, bil, som, var, meldt, stjålet, i, Oslo, og, en, bil, som, var, meldt, stjålet, i, Bergen, ., I, tillegg, ble, det, funnet, en, bil, som, var, meldt, stjålet, i, Oslo, og, en, bil, som, var, meldt, stjålet, i, Bergen, ., I, tillegg, ble, det, funnet, en, bil, som, var, meldt, stjålet, i, Oslo, og, en, bil, som, var, meldt, stjålet, i, Bergen, ., I, tillegg, ble, det, funnet, en, bil, som, var, meldt, stjålet, i, Oslo, og, en, bil]",PRON AUX ADV ADJ ADP DET ADJ NOUN ADP NOUN ADP DET ADJ ADP PROPN NOUN ADP NOUN SCONJ PRON ADV PART AUX SCONJ PART VERB PUNCT ADP NOUN ADP DET ADJ NOUN AUX PRON VERB DET NOUN ADJ NOUN PUNCT ADP DET AUX PRON VERB DET NOUN PRON AUX VERB ADP PROPN CCONJ DET NOUN PRON AUX VERB VERB ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN PRON AUX VERB VERB ADP PROPN CCONJ DET NOUN PRON AUX VERB VERB ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN PRON AUX VERB VERB ADP PROPN CCONJ DET NOUN PRON AUX VERB VERB ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN PRON AUX VERB VERB ADP PROPN CCONJ DET NOUN PRON AUX VERB VERB ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN PRON AUX VERB VERB ADP PROPN CCONJ DET NOUN PRON AUX VERB VERB ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN PRON AUX VERB VERB ADP PROPN CCONJ DET NOUN PRON AUX VERB VERB ADP PROPN PUNCT ADP NOUN AUX PRON VERB DET NOUN PRON AUX VERB VERB ADP PROPN CCONJ DET NOUN,0.032073310423825885,0.378252427184467,194,873,0.6082474226804123,0.3001033506329024
"[Ja, det, var, en, fin, tur, vi, hadde, i, går, !, Vi, var, på, tur, med, en, gjeng, fra, jobben, og, det, var, en, kjempefin, tur, !, Vi, gikk, fra, parkeringen, ved, Skistua, og, opp, til, Gråkallen, og, videre, til, Storheia, og, ned, til, Skistua, igjen, ., Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten, 5, timer, !, Det, var, en, kjempefin, tur, og, vi, var, ute, i, nesten]",INTJ PRON AUX DET ADJ NOUN PRON VERB ADP NOUN PUNCT PRON AUX ADP NOUN ADP DET NOUN ADP NOUN CCONJ PRON AUX DET ADJ NOUN PUNCT PRON VERB ADP NOUN ADP PROPN CCONJ ADP ADP PROPN CCONJ ADJ ADP PROPN CCONJ ADP ADP PROPN ADV PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV NUM NOUN PUNCT PRON AUX DET ADJ NOUN CCONJ PRON AUX ADP ADP ADV,0.038910505836575876,0.3784764542936306,184,771,0.6141304347826086,0.27479157049267233
"[Ja, det, er, ikke, bare, bare, å, være, på, tur, med, en, liten, valp, i, hus, !, Men, det, er, jo, så, utrolig, gøy, også, !, Og, det, er, jo, så, mye, man, kan, gjøre, sammen, med, en, liten, valp, !, Det, er, bare, å, finne, frem, valpepelsen, og, begynne, å, trene, !, Det, er, så, mye, man, kan, gjøre, med, en, liten, valp, !, Og, det, er, så, mye, man, kan, lære, den, !, Og, det, er, så, mye, man, kan, gjøre, sammen, med, en, liten, valp, !, Det, er, bare, å, finne, frem, valpepelsen, og, begynne, å, trene, !, Det, er, så, mye, man, kan, gjøre, med, en, liten, valp, !, Og, det, er, så, mye, man, kan, lære, den, !, Og, det, er, så, mye, man, kan, gjøre, sammen, med, en, liten, valp, !, Det, er, bare, å, finne, frem, valpepelsen, og, begynne, å, trene, !, Det, er, så, mye, man, kan, gjøre, med, en, liten, valp, !, Og, det, er, så, mye, man, kan, lære, den, !, Og, det, er, så, mye, man, kan, gjøre, sammen, med, en, liten, valp, !, Det]",INTJ PRON AUX PART ADV ADV PART AUX SCONJ NOUN ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ ADJ ADV PUNCT CCONJ PRON AUX ADV ADV ADJ PRON AUX VERB ADV ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB ADP NOUN CCONJ VERB PART VERB PUNCT PRON AUX ADV ADJ PRON AUX VERB ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADV ADJ PRON AUX VERB PRON PUNCT CCONJ PRON VERB ADV ADJ PRON AUX VERB ADV ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB ADP NOUN CCONJ VERB PART VERB PUNCT PRON AUX ADV ADJ PRON AUX VERB ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADV ADJ PRON AUX VERB PRON PUNCT CCONJ PRON VERB ADV ADJ PRON AUX VERB ADV ADP DET ADJ NOUN PUNCT PRON AUX ADV PART VERB ADP NOUN CCONJ VERB PART VERB PUNCT PRON AUX ADV ADJ PRON AUX VERB ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADV ADJ PRON AUX VERB PRON PUNCT CCONJ PRON VERB ADV ADJ PRON AUX VERB ADV ADP DET ADJ NOUN PUNCT PRON,0.04,0.38299572039943014,186,750,0.8064516129032258,1.0
"[Så, var, det, dags, för, årets, första, tävling, för, min, del, ., Det, var, en, deltävling, i, en, cup, som, heter, Sprintcupen, som, går, i, Göteborg, ., Jag, hade, anmält, mig, till, tävlingen, men, det, blev, inte, så, mycket, tävlande, för, min, del, då, jag, fick, en, förkylning, i, kroppen, som, inte, ville, ge, med, sig, ., Men, jag, hade, en, trevlig, dag, i, alla, fall, ., Det, var, en, fin, bana, med, många, bra, vägval, ., Jag, hade, en, bra, känsla, i, kroppen, och, det, kändes, som, att, jag, hade, bra, fart, i, kroppen, och, det, var, skönt, att, få, ett, kvitto, på, att, det, inte, bara, var, en, känsla, utan, att, det, faktiskt, stämde, ., 
, Jag, startade, i, sista, startled, och, det, var, en, ganska, tuff, start, med, en, lång, och, brant, backe, direkt, efter, start, ., Jag, hade, en, bra, position, i, backen, och, kunde, gå, ut, i, ett, bra, tempo, och, jag, kände, att, jag, hade, bra, tryck, i, benen, ., Jag, hade, en, bra, känsla, i, kroppen, och, det, kändes, som, att]",ADV AUX PRON NOUN X X X X X PRON NOUN PUNCT PRON AUX DET NOUN ADP DET NOUN PRON VERB NOUN PRON VERB ADP PROPN PUNCT X X X X X NOUN CCONJ PRON X X ADV ADJ NOUN X PRON NOUN X X PROPN DET NOUN ADP NOUN PRON X X X ADP ADV PUNCT CCONJ X X DET ADJ NOUN ADP X NOUN PUNCT PRON AUX DET ADJ PROPN ADP NOUN ADJ NOUN PUNCT X X DET ADJ NOUN ADP NOUN X X X X X X X ADJ NOUN ADP NOUN X PRON AUX PROPN X VERB NUM NOUN ADP X X X X AUX DET ADJ X X PRON ADJ NOUN PUNCT SPACE PROPN PROPN ADP PROPN X X PRON AUX DET NOUN X NOUN ADP DET ADJ X VERB X NOUN ADJ NOUN PUNCT X X DET ADJ NOUN ADP NOUN X NOUN VERB ADP ADP NUM ADJ NOUN X X X X X X ADJ NOUN ADP NOUN PUNCT X X DET ADJ NOUN ADP NOUN X X X X X,0.04024390243902439,0.3805706874189369,178,820,0.4438202247191011,1.0
"[Det, var, som, om, det, var, en, helt, annen, verden, som, åpnet, seg, for, meg, da, jeg, begynte, å, lese, denne, boka, ., Jeg, har, aldri, vært, i, en, situasjon, der, jeg, har, vært, nødt, til, å, forholde, meg, til, en, som, er, psykisk, syk, ,, men, jeg, har, vært, pårørende, til, en, som, har, vært, psykisk, syk, ., Jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykolog, ,, og, jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykiatrisk, avdeling, ., Jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykolog, ,, og, jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykiatrisk, avdeling, ., Jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykolog, ,, og, jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykiatrisk, avdeling, ., Jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en, psykolog, ,, og, jeg, har, vært, der, at, jeg, har, vært, nødt, til, å, ta, kontakt, med, en]",PRON AUX ADP SCONJ PRON AUX DET ADJ DET NOUN PRON VERB PRON ADP PRON SCONJ PRON VERB PART VERB DET NOUN PUNCT PRON AUX ADV AUX ADP DET NOUN SCONJ PRON AUX AUX ADJ SCONJ PART VERB PRON SCONJ PRON PRON AUX ADJ ADJ PUNCT CCONJ PRON AUX AUX ADJ ADP PRON PRON AUX AUX ADJ ADJ PUNCT PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET ADJ NOUN PUNCT PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET ADJ NOUN PUNCT PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET ADJ NOUN PUNCT PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX AUX ADV SCONJ PRON AUX AUX ADJ SCONJ PART VERB NOUN ADP DET,0.03314285714285714,0.39585956416464857,200,875,0.76,0.4568296372610501
"[Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, og, rett, type, arbeidskraft, ., I, Sverige, er, det, no, så, vanskeleg, at, det, er, mangel, på, arbeidskraft, i, fleire, bransjar, ., Det, er, særleg, i, byggjebransjen, at, det, er, vanskeleg, å, få, tak, i, nok, folk, ., Ifølgje, Dagens, Nyheter, er, det, no, så, vanskeleg, at, det, er, mangel, på, arbeidskraft, i, fleire, bransjar, ., Det, er, særleg, i, byggjebransjen, at, det, er, vanskeleg, å, få, tak, i, nok, folk, ., Ifølgje, Dagens, Nyheter, er, det, no, så, vanskeleg, at, det, er, mangel, på, arbeidskraft, i, fleire, bransjar, ., Det, er, særleg, i, byggjebransjen, at, det, er, vanskeleg, å, få, tak, i, nok, folk, ., Ifølgje, Dagens, Nyheter, er, det, no, så, vanskeleg, at, det, er, mangel, på, arbeidskraft, i, fleire, bransjar, ., Det, er, særleg, i, byggjebransjen, at, det, er, vanskeleg, å, få, tak, i, nok, folk, ., Ifølgje, Dagens, Nyheter, er, det, no, så, vanskeleg, at, det, er, mangel, på, arbeidskraft, i, fleire, bransj]",PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV CCONJ ADJ NOUN NOUN PUNCT ADP PROPN AUX PRON X ADV PROPN SCONJ PRON AUX NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON AUX ADJ ADP NOUN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT NOUN PROPN PROPN AUX PRON X ADV PROPN SCONJ PRON AUX NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON AUX ADJ ADP NOUN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT NOUN PROPN PROPN AUX PRON X ADV PROPN SCONJ PRON AUX NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON AUX ADJ ADP NOUN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT NOUN PROPN PROPN AUX PRON X ADV PROPN SCONJ PRON AUX NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON AUX ADJ ADP NOUN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT NOUN PROPN PROPN AUX PRON X ADV PROPN SCONJ PRON AUX NOUN ADP NOUN ADP ADJ X,0.03411764705882353,0.38604244694132395,172,850,0.6627906976744186,0.45190282603312454
"[Kor, mange, prosent, av, dei, som, har, røysta, på, eit, parti, i, Noreg, ,, har, røysta, på, eit, parti, som, har, arbeidd, for, å, få, til, ei, ny, regjering, ?, Det, er, eit, spørsmål, som, er, vanskeleg, å, svare, på, ., Men, det, er, ikkje, vanskeleg, å, svare, på, kor, mange, prosent, av, dei, som, har, røysta, på, eit, parti, i, Noreg, ,, som, har, røysta, på, eit, parti, som, har, arbeidd, for, å, få, til, ei, ny, regjering, ., Det, er, eit, spørsmål, som, er, lett, å, svare, på, ., Det, er, eit, spørsmål, som, er, lett, å, svare, på, fordi, det, er, eit, spørsmål, som, er, lett, å, svare, på, ., Det, er, eit, spørsmål, som, er, lett, å, svare, på, fordi, det, er, eit, spørsmål, som, er, lett, å, svare, på, ., Det, er, eit, spørsmål, som, er, lett, å, svare, på, fordi, det, er, eit, spørsmål, som, er, lett, å, svare, på, ., Det, er, eit, spørsmål, som, er, lett, å, svare, på, fordi, det, er, eit, spørsmål, som, er, lett, å, svare, på, ., Det, er, eit, spørsmål, som, er, lett, å, svare, på, fordi, det, er, eit, spørsmål, som, er, lett, å, svare, på, ., Det]",ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP X NOUN ADP PROPN PUNCT VERB NOUN ADP X NOUN PRON AUX NOUN SCONJ PART VERB ADP DET ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV PART VERB ADP PUNCT CCONJ PRON AUX X X PART VERB ADP ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP X NOUN ADP PROPN PUNCT PRON VERB NOUN ADP X NOUN PRON AUX NOUN SCONJ PART VERB ADP DET ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX ADJ PART VERB ADP PUNCT PRON AUX DET NOUN PRON AUX ADJ PART VERB ADP SCONJ PRON VERB DET NOUN PRON AUX ADJ PART VERB ADP PUNCT PRON AUX DET NOUN PRON AUX ADJ PART VERB ADP SCONJ PRON VERB DET NOUN PRON AUX ADJ PART VERB ADP PUNCT PRON AUX DET NOUN PRON AUX ADJ PART VERB ADP SCONJ PRON VERB DET NOUN PRON AUX ADJ PART VERB ADP PUNCT PRON AUX DET NOUN PRON AUX ADJ PART VERB ADP SCONJ PRON VERB DET NOUN PRON AUX ADJ PART VERB ADP PUNCT PRON AUX DET NOUN PRON AUX ADJ PART VERB ADP SCONJ PRON VERB DET NOUN PRON AUX ADJ PART VERB ADP PUNCT PRON,0.03460207612456748,0.3440342298288478,202,867,0.6782178217821783,0.546637282244476
"[Det, er, veldig, viktig, å, ha, en, god, og, sunn, frokost, ., Det, er, ikke, bare, viktig, for, å, få, en, god, start, på, dagen, ,, men, også, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, også, viktig, å, spise, frokost, for, å, få, en, god, start, på, dagen, og, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, ikke, bare, viktig, for, å, få, en, god, start, på, dagen, ,, men, også, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, også, viktig, å, spise, frokost, for, å, få, en, god, start, på, dagen, og, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, ikke, bare, viktig, for, å, få, en, god, start, på, dagen, ,, men, også, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, også, viktig, å, spise, frokost, for, å, få, en, god, start, på, dagen, og, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, ikke, bare, viktig, for, å, få, en, god, start, på, dagen, ,, men, også, for, å, holde, konsentrasjonen, oppe, gjennom, hele, dagen, ., Det, er, også, viktig, å, spise, frokost, for, å, få, en, god, start, på, dagen, og, for, å, holde, konsent]",PRON AUX ADJ ADJ PART VERB DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX PART ADV ADJ SCONJ PART VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ ADV SCONJ PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN CCONJ ADP PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX PART ADV ADJ SCONJ PART VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ ADV SCONJ PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN CCONJ ADP PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX PART ADV ADJ SCONJ PART VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ ADV SCONJ PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN CCONJ ADP PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX PART ADV ADJ SCONJ PART VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ ADV SCONJ PART VERB NOUN ADP ADP ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB NOUN SCONJ PART VERB DET ADJ NOUN ADP NOUN CCONJ ADP PART VERB NOUN,0.025614754098360656,0.3611866235167217,207,976,0.7439613526570048,1.0
