prompt,generated_text,language
Men det var,"Men det var ikke bare på grunn av denne hendelsen at han ble utvist.
- Jeg fikk også gult kort for å ha sparket bort ballen. Det var ikke med vilje, men jeg ble irritert over at jeg ikke fikk frispark. Jeg sparket bort ballen, og det var ikke med vilje. Jeg fikk gult kort for det, og da fikk jeg rødt kort, sier han.
- Hva tenker du om at du fikk rødt kort for å sparke bort ballen?
- Det er ikke bra. Jeg fikk gult kort for å sparke bort ballen, og da fikk jeg rødt kort. Det er ikke bra, sier han.
- Hva tenker du om at du fikk rødt kort",nno
Det var ein,"Det var ein gong ein mann som hadde ei kjerring, og ho var så tverr og vrang at det var ikkje godt å vera i lag med henne. Mannen, han hadde no slett ikkje noko han skulle ha sagt, han heller, stakkar, så det gjekk ut over han alt saman. Dette varde ei tid, men så vart mannen lei av det og ville sjå å bli kvitt henne. Han tenkte først han skulle snakke med henne, men det kom han ingen veg med, for ho var så tverr og vrang at han ikkje eingong kunne få henne til å forstå kva han sa. Så skreiv han eit brev til henne, og der stod det:
«Kjære mi kjerring!",nno
Det var så,"Det var så det. Så er det slut med at være en del af dette års udgave af Vild med dans. Det er en trist dag for mig, men jeg er også glad for, at jeg har fået lov til at være med. Jeg har lært så meget, og jeg har fået en masse nye venner. Jeg har været så glad for at være med, og jeg har nydt hvert et sekund. Jeg har været så heldig at få lov til at danse med Morten Kjeldgaard, og det har været en fornøjelse. Jeg har lært så meget af ham, og han har været en fantastisk dansepartner. Jeg har været så glad for at have ham som min dansepartner, og",nno
Ja det var,"Ja det var en god ide, men jeg har ikke lige nogen billeder af det, men det er noget med at man skal have en lille smule vand i bunden af potten, og så skal man vande den nedefra, så det er ikke sådan at man skal vande den ovenfra. 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂 🙂",nno
Ja det er,"Ja det er det. Det er ikke noe problem å bruke denne i Norge. Den er godkjent for bruk i Norge. Den er også godkjent for bruk i Sverige, Danmark og Finland. Ønsker du å bruke den i andre land, så må du sjekke med det aktuelle landet. Ønsker du å bruke den i andre land, så må du sjekke med det aktuelle landet. Ønsker du å bruke den i andre land, så må du sjekke med det aktuelle landet. Ønsker du å bruke den i andre land, så må du sjekke med det aktuelle landet. Ønsker du å bruke den i andre land, så må du sjekke med det aktuelle landet. ",nno
Så var det,"Så var det dags för en ny vecka och en ny månad. Det är inte klokt vad tiden går fort. Jag har haft en bra helg och det är skönt att vara ledig. Jag har hunnit med att träffa mina föräldrar och min syster med familj. Det är alltid lika trevligt att träffa dem.
Igår var jag och min man på bio och såg filmen ""The darkest hour"". Det var en bra film som handlade om Winston Churchill och hans tid som premiärminister under andra världskriget. Det var en intressant film som jag kan rekommendera.
Idag har jag varit på en föreläsning om hur man kan använda sig av sociala medier i sin marknadsföring. Det var en intressant fö",nno
Det var som,"Det var sommeren 2012 at den da 17 år gamle jenta ble voldtatt av en 19 år gammel mann i en leilighet i Oslo.
Jenta var på besøk hos en venninne da hun ble med 19-åringen hjem.
I leiligheten skal hun ha blitt voldtatt av 19-åringen, som er tiltalt for å ha hatt seksuell omgang med en mindreårig.
Jenta har forklart at hun ikke husker noe fra hendelsen.
19-åringen er også tiltalt for å ha hatt seksuell omgang med en annen mindreårig jente.
Dette skal ha skjedd i en leilighet i Oslo i desember 20",nno
Det er ikkje,"Det er ikkje berre i Noreg at det er vanskeleg å få tak i nok lærarar. I Sverige er det no 65 000 ledige lærarstillingar.
I Noreg er det 9000 ledige lærarstillingar.
I Sverige er det 65 000 ledige lærarstillingar. I Noreg er det 9000 ledige lærarstillingar.
I Sverige er det 65 000 ledige lærarstillingar. I Noreg er det 9000 ledige lærarstillingar.
I Sverige er det 65 000 ledige lærarstillingar. I Noreg er det 9000 ledige lærarstillingar.
I Sverige er det ",nno
Kor mange prosent,"Kor mange prosent av dei som har stemmerett, har stemt?
Kor mange prosent av dei som har stemmerett, har stemt?
Kor mange prosent av dei som har stemmerett, har stemt?
Listen
Kor mange prosent av dei som har stemmerett, har stemt? 100 % av dei som har stemmerett, har stemt. 50 % av dei som har stemmerett, har stemt. 20 % av dei som har stemmerett, har stemt. 10 % av dei som har stemmerett, har stemt. 5 % av dei som har stemmerett, har stemt. 1 % av dei som har stemmerett, har stemt. 0,1 % av dei som har stemmerett, har stemt. ",nno
Det er veldig,Det er veldig viktig å være klar over at det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en kristen. Det er forskjell på å være kristen og å være en k,nno
Det er ein,"Det er ein auke på 1,5 prosent frå 2010.
I 2011 vart det gitt 10.000 nye løyve til å byggje hytter. Det er 1.000 fleire enn året før, viser tal frå Statistisk sentralbyrå (SSB).
I alt er det no 418.000 hytter i Noreg.
I Buskerud vart det gitt 1.100 nye løyve til å byggje hytter i 2011. Det er 100 fleire enn året før.
I Oppland vart det gitt 1.000 nye løyve, ein auke på 100 frå 2010.
I H",nno
Det er eit,"Det er eit stort behov for å styrkje kunnskapsgrunnlaget om kva som er god kvalitet i barnehagen. Kunnskapsdepartementet har derfor gitt Utdanningsdirektoratet i oppdrag å setje i gang eit arbeid med å utvikle eit kvalitetssystem for barnehagane.
– Vi treng meir kunnskap om kvaliteten i barnehagane. Det er viktig for å kunne utvikle barnehagetilbodet vidare, seier kunnskapsminister Torbjørn Røe Isaksen.
Kvalitetssystemet skal vere eit verktøy for barnehagar, barnehageeigarar og lokale og nasjonale myndigheiter. Det skal gi kunnskap",nno
Det er viktig,"Det er viktig å være klar over at det er forskjell på å være en god leder og å være en god sjef. En god leder er en som får frem det beste i sine medarbeidere, som får dem til å blomstre og yte sitt beste. En god leder er en som får frem det beste i seg selv, som får frem det beste i andre. En god leder er en som får frem det beste i organisasjonen, som får frem det beste i sine medarbeidere, som får frem det beste i seg selv.
En god leder er en som får frem det beste i sine medarbeidere, som får dem til å blomstre og yte sitt beste.
En god leder er en som får frem det beste",nno
Men det er,"Men det er ikke bare i Norge at det er vanskelig å få tak i nok kvalifiserte lærere.
I Sverige er det nå 100.000 ufaglærte lærere, og i Finland er tallet 15.000.
I Danmark er det 10.000 ufaglærte lærere, og i Island er det 1.500.
I Finland er det 15.000 ufaglærte lærere.
I Sverige er det 100.000 ufaglærte lærere.
I Danmark er det 10.000 ufaglærte lærere.
I Island er det 1.500 ufaglærte lærere. ",nno
Han fortel at,"Han fortel at det er eit stort apparat som er i sving for å få til eit slikt arrangement.
- Det er mange som er involverte, og det er mykje som skal klaffe. Det er ikkje berre å setje opp eit telt og så er det klart. Det er mykje som skal på plass, og det er mykje som skal klaffe. Det er mange som har jobba hardt for å få dette til, og det er mange som har stått på for å få dette til. Det er mange som har vore med og bidrege, og det er mange som har vore med og gjort ein kjempejobb, seier han.
- Det er mange som har vore med og bidrege, og det er mange som har vore med og gjort ein kjem",nno
Eg har ikkje,"Eg har ikkje vore på ein einaste konsert i år, og det er ikkje fordi eg ikkje har hatt lyst. Eg har berre ikkje hatt tid. Eg har ikkje hatt tid til å gå på konsertar, og eg har ikkje hatt tid til å skrive om dei.
Eg har ikkje hatt tid til å lese bøker, og eg har ikkje hatt tid til å skrive om dei. Eg har ikkje hatt tid til å sjå filmar, og eg har ikkje hatt tid til å skrive om dei. Eg har ikkje hatt tid til å gå på kino, og eg har ikkje hatt tid til å skrive om dei. Eg har ikkje hatt tid til å gå på teater, og eg har ikkje hatt tid til å skrive om",nno
Det er mykje,"Det er mykje som tyder på at det er ein samanheng mellom kva for ein skule du går på og kva for karakterar du får.
Det er ikkje berre i Noreg det er slik. I ein rapport frå OECD frå 2011 kjem det fram at det er store forskjellar mellom skular i Noreg.
I rapporten kjem det fram at det er store forskjellar mellom skular i Noreg.
Ein av dei som har forska på dette er professor Torberg Falch ved NTNU. Han har funne ut at det er ein samanheng mellom kva for ein skule du går på og kva for karakterar du får.
– Det er ein klar samanheng mellom kva for ein skule du går på og k",nno
