tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, på, grunn, av, denne, hendelsen, at, han, ble, utvist, ., 
, -, Jeg, fikk, også, gult, kort, for, å, ha, sparket, bort, ballen, ., Det, var, ikke, med, vilje, ,, men, jeg, ble, irritert, over, at, jeg, ikke, fikk, frispark, ., Jeg, sparket, bort, ballen, ,, og, det, var, ikke, med, vilje, ., Jeg, fikk, gult, kort, for, det, ,, og, da, fikk, jeg, rødt, kort, ,, sier, han, ., 
, -, Hva, tenker, du, om, at, du, fikk, rødt, kort, for, å, sparke, bort, ballen, ?, 
, -, Det, er, ikke, bra, ., Jeg, fikk, gult, kort, for, å, sparke, bort, ballen, ,, og, da, fikk, jeg, rødt, kort, ., Det, er, ikke, bra, ,, sier, han, ., 
, -, Hva, tenker, du, om, at, du, fikk, rødt, kort]",CCONJ PRON AUX PART ADV ADP NOUN ADP DET NOUN SCONJ PRON AUX VERB PUNCT SPACE PUNCT PRON VERB ADV ADJ NOUN SCONJ PART AUX VERB ADP NOUN PUNCT PRON AUX PART ADP NOUN PUNCT CCONJ PRON AUX ADJ SCONJ SCONJ PRON PART VERB NOUN PUNCT PRON VERB ADP NOUN PUNCT CCONJ PRON AUX PART ADP NOUN PUNCT PRON VERB ADJ NOUN ADP PRON PUNCT CCONJ ADV VERB PRON ADJ NOUN PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PRON SCONJ SCONJ PRON VERB ADJ NOUN SCONJ PART VERB ADP NOUN PUNCT SPACE PUNCT PRON AUX PART ADJ PUNCT PRON VERB ADJ NOUN SCONJ PART VERB ADP NOUN PUNCT CCONJ ADV VERB PRON ADJ NOUN PUNCT PRON AUX PART ADJ PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PRON SCONJ SCONJ PRON VERB ADJ NOUN,0.05925925925925926,0.3962118126272914,135,540,0.6592592592592592,1.0
"[Det, var, ein, gong, ein, mann, som, hadde, ei, kjerring, ,, og, ho, var, så, tverr, og, vrang, at, det, var, ikkje, godt, å, vera, i, lag, med, henne, ., Mannen, ,, han, hadde, no, slett, ikkje, noko, han, skulle, ha, sagt, ,, han, heller, ,, stakkar, ,, så, det, gjekk, ut, over, han, alt, saman, ., Dette, varde, ei, tid, ,, men, så, vart, mannen, lei, av, det, og, ville, sjå, å, bli, kvitt, henne, ., Han, tenkte, først, han, skulle, snakke, med, henne, ,, men, det, kom, han, ingen, veg, med, ,, for, ho, var, så, tverr, og, vrang, at, han, ikkje, eingong, kunne, få, henne, til, å, forstå, kva, han, sa, ., Så, skreiv, han, eit, brev, til, henne, ,, og, der, stod, det, :, 
, «, Kjære, mi, kjerring, !]",PRON AUX X X X NOUN PRON VERB DET NOUN PUNCT CCONJ NOUN AUX ADV ADJ CCONJ ADJ SCONJ PRON AUX ADV ADJ PART VERB ADP NOUN ADP PRON PUNCT NOUN PUNCT PRON VERB X X X X PRON AUX AUX VERB PUNCT PRON ADV PUNCT VERB PUNCT CCONJ PRON VERB ADP ADP PRON DET ADJ PUNCT DET NOUN DET NOUN PUNCT CCONJ ADV VERB NOUN ADJ ADP PRON CCONJ AUX VERB PART VERB ADJ PRON PUNCT PRON VERB ADV PRON AUX VERB ADP PRON PUNCT CCONJ PRON VERB PRON DET NOUN ADP PUNCT CCONJ NOUN AUX ADV ADJ CCONJ ADJ SCONJ PRON X NOUN AUX VERB PRON SCONJ PART VERB NOUN PRON VERB PUNCT ADV VERB PRON PRON NOUN ADP PRON PUNCT CCONJ ADV VERB PRON PUNCT SPACE PUNCT ADJ PRON NOUN PUNCT,0.06104129263913824,0.35468503937007945,134,557,0.7089552238805971,0.3485010626889855
"[Det, var, så, det, ., Så, er, det, slut, med, at, være, en, del, af, dette, års, udgave, af, Vild, med, dans, ., Det, er, en, trist, dag, for, mig, ,, men, jeg, er, også, glad, for, ,, at, jeg, har, fået, lov, til, at, være, med, ., Jeg, har, lært, så, meget, ,, og, jeg, har, fået, en, masse, nye, venner, ., Jeg, har, været, så, glad, for, at, være, med, ,, og, jeg, har, nydt, hvert, et, sekund, ., Jeg, har, været, så, heldig, at, få, lov, til, at, danse, med, Morten, Kjeldgaard, ,, og, det, har, været, en, fornøjelse, ., Jeg, har, lært, så, meget, af, ham, ,, og, han, har, været, en, fantastisk, dansepartner, ., Jeg, har, været, så, glad, for, at, have, ham, som, min, dansepartner, ,, og]",PRON AUX ADV PRON PUNCT ADV VERB PRON NOUN SCONJ SCONJ AUX DET NOUN NOUN DET NOUN NOUN NOUN PROPN ADP NOUN PUNCT PRON AUX DET ADJ NOUN ADP PROPN PUNCT CCONJ PRON AUX ADV ADJ ADP PUNCT SCONJ PRON VERB NOUN NOUN SCONJ SCONJ AUX ADP PUNCT PRON AUX VERB ADV ADV PUNCT CCONJ PRON VERB NOUN DET NOUN ADJ NOUN PUNCT PRON AUX NOUN ADV ADJ SCONJ SCONJ AUX ADP PUNCT CCONJ PRON AUX VERB DET DET NOUN PUNCT PRON AUX NOUN ADV ADJ SCONJ VERB NOUN SCONJ SCONJ VERB ADP PROPN PROPN PUNCT CCONJ PRON VERB NOUN DET NOUN PUNCT PRON AUX VERB ADV ADV NOUN PRON PUNCT CCONJ PRON VERB NOUN DET ADJ NOUN PUNCT PRON AUX NOUN ADV ADJ SCONJ SCONJ X PRON SCONJ PRON NOUN PUNCT CCONJ,0.05807622504537205,0.3843027888446222,133,551,0.6165413533834586,0.45681565131292123
"[Ja, det, var, en, god, ide, ,, men, jeg, har, ikke, lige, nogen, billeder, af, det, ,, men, det, er, noget, med, at, man, skal, have, en, lille, smule, vand, i, bunden, af, potten, ,, og, så, skal, man, vande, den, nedefra, ,, så, det, er, ikke, sådan, at, man, skal, vande, den, ovenfra, ., 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂, 🙂]",INTJ PRON AUX DET ADJ NOUN PUNCT CCONJ PRON VERB PART ADJ DET VERB X PRON PUNCT CCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX VERB DET ADJ NOUN X ADP NOUN X NOUN PUNCT CCONJ ADV AUX PRON VERB DET ADJ PUNCT CCONJ PRON AUX PART X SCONJ PRON AUX VERB PRON ADP PUNCT ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV ADV,0.07282913165266107,0.25655844155844304,118,357,0.2711864406779661,0.7437738124380572
"[Ja, det, er, det, ., Det, er, ikke, noe, problem, å, bruke, denne, i, Norge, ., Den, er, godkjent, for, bruk, i, Norge, ., Den, er, også, godkjent, for, bruk, i, Sverige, ,, Danmark, og, Finland, ., Ønsker, du, å, bruke, den, i, andre, land, ,, så, må, du, sjekke, med, det, aktuelle, landet, ., Ønsker, du, å, bruke, den, i, andre, land, ,, så, må, du, sjekke, med, det, aktuelle, landet, ., Ønsker, du, å, bruke, den, i, andre, land, ,, så, må, du, sjekke, med, det, aktuelle, landet, ., Ønsker, du, å, bruke, den, i, andre, land, ,, så, må, du, sjekke, med, det, aktuelle, landet, ., Ønsker, du, å, bruke, den, i, andre, land, ,, så, må, du, sjekke, med, det, aktuelle, landet, .]",INTJ PRON AUX PRON PUNCT PRON AUX PART DET NOUN PART VERB PRON ADP PROPN PUNCT PRON AUX ADJ ADP NOUN ADP PROPN PUNCT PRON AUX ADV VERB ADP NOUN ADP PROPN PUNCT PROPN CCONJ PROPN PUNCT VERB PRON PART VERB PRON ADP DET NOUN PUNCT ADV AUX PRON VERB ADP DET ADJ NOUN PUNCT VERB PRON PART VERB PRON ADP DET NOUN PUNCT ADV AUX PRON VERB ADP DET ADJ NOUN PUNCT VERB PRON PART VERB PRON ADP DET NOUN PUNCT ADV AUX PRON VERB ADP DET ADJ NOUN PUNCT VERB PRON PART VERB PRON ADP DET NOUN PUNCT ADV AUX PRON VERB ADP DET ADJ NOUN PUNCT VERB PRON PART VERB PRON ADP DET NOUN PUNCT ADV AUX PRON VERB ADP DET ADJ NOUN PUNCT,0.05350553505535055,0.35164300202839616,127,542,0.6220472440944882,1.0
"[Så, var, det, dags, för, en, ny, vecka, och, en, ny, månad, ., Det, är, inte, klokt, vad, tiden, går, fort, ., Jag, har, haft, en, bra, helg, och, det, är, skönt, att, vara, ledig, ., Jag, har, hunnit, med, att, träffa, mina, föräldrar, och, min, syster, med, familj, ., Det, är, alltid, lika, trevligt, att, träffa, dem, ., 
, Igår, var, jag, och, min, man, på, bio, och, såg, filmen, "", The, darkest, hour, "", ., Det, var, en, bra, film, som, handlade, om, Winston, Churchill, och, hans, tid, som, premiärminister, under, andra, världskriget, ., Det, var, en, intressant, film, som, jag, kan, rekommendera, ., 
, Idag, har, jag, varit, på, en, föreläsning, om, hur, man, kan, använda, sig, av, sociala, medier, i, sin, marknadsföring, ., Det, var, en, intressant, fö]",ADV AUX PRON NOUN X DET ADJ NOUN X DET ADJ NOUN PUNCT PRON X X ADJ PROPN NOUN VERB ADJ PUNCT X VERB NOUN DET ADJ NOUN X X X X X X ADJ PUNCT X AUX NOUN ADP X PROPN PROPN X X PRON NOUN ADP NOUN PUNCT PRON X X X X X X PRON PUNCT SPACE NOUN AUX X X X NOUN ADP X X VERB NOUN PUNCT X X X PUNCT PUNCT PRON AUX DET ADJ NOUN SCONJ NOUN ADP PROPN PROPN X PRON NOUN ADP NOUN ADP PROPN NOUN PUNCT PRON AUX DET ADJ NOUN ADP X AUX VERB PUNCT SPACE ADV AUX X X ADP DET NOUN ADP NOUN PRON VERB PROPN ADV ADP PROPN NOUN ADP PRON NOUN PUNCT PRON AUX DET ADJ NOUN,0.05787781350482315,0.4037347294938928,132,622,0.4166666666666667,1.0
"[Det, var, sommeren, 2012, at, den, da, 17, år, gamle, jenta, ble, voldtatt, av, en, 19, år, gammel, mann, i, en, leilighet, i, Oslo, ., 
, Jenta, var, på, besøk, hos, en, venninne, da, hun, ble, med, 19-åringen, hjem, ., 
, I, leiligheten, skal, hun, ha, blitt, voldtatt, av, 19-åringen, ,, som, er, tiltalt, for, å, ha, hatt, seksuell, omgang, med, en, mindreårig, ., 
, Jenta, har, forklart, at, hun, ikke, husker, noe, fra, hendelsen, ., 
, 19-åringen, er, også, tiltalt, for, å, ha, hatt, seksuell, omgang, med, en, annen, mindreårig, jente, ., 
, Dette, skal, ha, skjedd, i, en, leilighet, i, Oslo, i, desember, 20]",PRON AUX NOUN NUM SCONJ PRON ADV NUM NOUN ADJ NOUN AUX VERB ADP DET NUM NOUN ADJ NOUN ADP DET NOUN ADP PROPN PUNCT SPACE NOUN AUX SCONJ NOUN ADP DET NOUN SCONJ PRON VERB ADP NOUN ADP PUNCT SPACE ADP NOUN AUX PRON AUX AUX VERB ADP NOUN PUNCT PRON AUX ADJ SCONJ PART AUX VERB ADJ NOUN ADP DET NOUN PUNCT SPACE NOUN AUX VERB SCONJ PRON PART VERB PRON ADP NOUN PUNCT SPACE NOUN AUX ADV VERB SCONJ PART AUX VERB ADJ NOUN ADP DET DET ADJ NOUN PUNCT SPACE PRON AUX AUX VERB ADP DET NOUN ADP PROPN ADP NOUN NUM,0.07228915662650602,0.4011135857461034,106,498,0.5471698113207547,0.3077742604061742
"[Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, lærarar, ., I, Sverige, er, det, no, 65, 000, ledige, lærarstillingar, ., 
, I, Noreg, er, det, 9000, ledige, lærarstillingar, ., 
, I, Sverige, er, det, 65, 000, ledige, lærarstillingar, ., I, Noreg, er, det, 9000, ledige, lærarstillingar, ., 
, I, Sverige, er, det, 65, 000, ledige, lærarstillingar, ., I, Noreg, er, det, 9000, ledige, lærarstillingar, ., 
, I, Sverige, er, det, 65, 000, ledige, lærarstillingar, ., I, Noreg, er, det, 9000, ledige, lærarstillingar, ., 
, I, Sverige, er, det]",PRON AUX ADV ADV ADP PROPN SCONJ PRON AUX ADV PART VERB NOUN ADP ADV PROPN PUNCT ADP PROPN AUX PRON X NUM NUM ADJ NOUN PUNCT SPACE ADP PROPN VERB PRON NUM ADJ NOUN PUNCT SPACE ADP PROPN AUX PRON NUM NUM ADJ NOUN PUNCT ADP PROPN VERB PRON NUM ADJ NOUN PUNCT SPACE ADP PROPN AUX PRON NUM NUM ADJ NOUN PUNCT ADP PROPN VERB PRON NUM ADJ NOUN PUNCT SPACE ADP PROPN AUX PRON NUM NUM ADJ NOUN PUNCT ADP PROPN VERB PRON NUM ADJ NOUN PUNCT SPACE ADP PROPN AUX PRON,0.06318082788671024,0.388829268292684,95,459,0.42105263157894735,0.3808555186676408
"[Kor, mange, prosent, av, dei, som, har, stemmerett, ,, har, stemt, ?, 
, Kor, mange, prosent, av, dei, som, har, stemmerett, ,, har, stemt, ?, 
, Kor, mange, prosent, av, dei, som, har, stemmerett, ,, har, stemt, ?, 
, Listen, 
, Kor, mange, prosent, av, dei, som, har, stemmerett, ,, har, stemt, ?, 100, %, av, dei, som, har, stemmerett, ,, har, stemt, ., 50, %, av, dei, som, har, stemmerett, ,, har, stemt, ., 20, %, av, dei, som, har, stemmerett, ,, har, stemt, ., 10, %, av, dei, som, har, stemmerett, ,, har, stemt, ., 5, %, av, dei, som, har, stemmerett, ,, har, stemt, ., 1, %, av, dei, som, har, stemmerett, ,, har, stemt, ., 0,1, %, av, dei, som, har, stemmerett, ,, har, stemt, .]",NOUN ADJ NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT SPACE ADV ADJ NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT SPACE ADV ADJ NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT SPACE NOUN SPACE VERB ADJ NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT NUM NOUN ADP PRON PRON VERB NOUN PUNCT AUX VERB PUNCT,0.04887218045112782,0.3468322981366464,130,532,0.4846153846153846,0.225195740145923
"[Det, er, veldig, viktig, å, være, klar, over, at, det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, kristen, ., Det, er, forskjell, på, å, være, kristen, og, å, være, en, k]",PRON AUX ADJ ADJ PART AUX ADJ SCONJ SCONJ PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET ADJ PUNCT PRON VERB NOUN SCONJ PART AUX ADJ CCONJ PART AUX DET NOUN,0.04294478527607362,0.362409090909091,112,489,0.7321428571428571,1.0
