tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, komme, tilbake, ?, spurte, han, og, så, på, henne, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, sa, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, gjentok, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, gjentok, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, gjentok, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, gjentok, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, gjentok, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed, til, ham, ,, gjentok, hun, og, så, på, ham, med, et, blikk, som, var, like, hardt, som, stemmen, ., 
, —, Jeg, har, ikke, noen, beskjed]",DET NOUN ADP NOUN PRON AUX VERB ADP PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN ADP PRON PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB PART DET NOUN,0.032511210762331835,0.4053143534994056,214,892,0.6588785046728972,0.3932342590741342
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, det, var, telefon, til, ham, ., Han, gikk, ut, i, entreen, og, tok, røret, ., 
, «, Hallo, ,, », sa, han, og, hørte, at, det, var, en, kvinnestemme, ., 
, «, Hallo, ,, », sa, han, og, kjente, at, han, ble, rød, i, ansiktet, ., 
, «, Hallo, ,, », sa, hun, igjen, ., «, Hva, er, det, ?, 
, «, Jeg, har, fått, en, ny, kunde, ,, », sa, han, og, hørte, at, han, snakket, fort, og, nervøst, ., 
, «, Hva, slags, kunde, ?, », spurte, hun, ., 
, «, En, som, vil, ha, en, ny, dress, ,, », sa, han, og, hørte, at, han, snakket, fort, og, nervøst, ., 
, «, Hva, slags, dress, ?, », spurte, hun, ., 
, «, En, som, vil, ha, en, ny, dress, ,, », sa, han, og, hørte, at, han, snakket, fort, og, nervøst, ., 
, «, Hva, slags, dress, ?, », spurte, hun, ., 
, «, En, som, vil, ha, en, ny, dress, ,, », sa, han, og, hørte, at, han, snakket, fort, og, nervøst, ., 
, «, Hva, slags, dress, ?, », spurte, hun, ., 
, «, En, som, vil, ha, en, ny, dress, ,, », sa, han, og, hørte, at, han, snakket, fort, og, nervøst]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB SCONJ PRON VERB NOUN ADP PRON PUNCT PRON VERB ADP ADP NOUN CCONJ VERB NOUN PUNCT SPACE PUNCT INTJ PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB DET NOUN PUNCT SPACE PUNCT INTJ PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB ADJ ADP NOUN PUNCT SPACE PUNCT INTJ PUNCT PUNCT VERB PRON ADV PUNCT PUNCT PRON AUX PRON PUNCT SPACE PUNCT PRON AUX VERB DET ADJ NOUN PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB ADJ CCONJ ADJ PUNCT SPACE PUNCT PRON NOUN NOUN PUNCT PUNCT VERB PRON PUNCT SPACE PUNCT PRON PRON AUX VERB DET ADJ NOUN PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB ADJ CCONJ ADJ PUNCT SPACE PUNCT PRON NOUN NOUN PUNCT PUNCT VERB PRON PUNCT SPACE PUNCT PRON PRON AUX VERB DET ADJ NOUN PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB ADJ CCONJ ADJ PUNCT SPACE PUNCT PRON NOUN NOUN PUNCT PUNCT VERB PRON PUNCT SPACE PUNCT PRON PRON AUX VERB DET ADJ NOUN PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB ADJ CCONJ ADJ PUNCT SPACE PUNCT PRON NOUN NOUN PUNCT PUNCT VERB PRON PUNCT SPACE PUNCT PRON PRON AUX VERB DET ADJ NOUN PUNCT PUNCT VERB PRON CCONJ VERB SCONJ PRON VERB ADJ CCONJ VERB,0.045033112582781455,0.4309348441926334,218,755,0.4954128440366973,0.2259139568314499
"[Det, synspunkt, at, miljøskifte, og, miljøforandring, er, en, viktig, faktor, i, personlighetsutviklingen, ,, er, ikke, av, ny, dato, ., Allerede, i, 1880-årene, hevdet, den, tyske, psykologen, Alfred, Adler, at, det, er, en, nær, sammenheng, mellom, individets, karakter, og, dets, miljø, ., Han, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., Adler, mente, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., Han, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., 
, Adler, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., Han, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., 
, Adler, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., Han, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et, resultat, av, miljøet, ., 
, Adler, hevdet, at, det, er, miljøet, som, bestemmer, karakteren, ,, og, at, karakteren, er, et]",DET NOUN SCONJ NOUN CCONJ NOUN AUX DET ADJ NOUN ADP NOUN PUNCT AUX PART ADP ADJ NOUN PUNCT ADV ADP NOUN VERB DET ADJ NOUN PROPN PROPN SCONJ PRON AUX DET ADJ NOUN ADP NOUN NOUN CCONJ DET NOUN PUNCT PRON VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT PROPN VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT PRON VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT SPACE PROPN VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT PRON VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT SPACE PROPN VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT PRON VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET NOUN ADP NOUN PUNCT SPACE PROPN VERB SCONJ PRON AUX NOUN PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX DET,0.0341130604288499,0.36002047082906896,192,1026,0.5052083333333334,0.2580624442992932
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, igjen, du, ., 
, Nei, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, ., 
, Nei, sa, Beatrice, Jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg, igjen, jeg, vil, ikke, legge, meg]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON ADV PRON PUNCT SPACE PROPN VERB PROPN PRON AUX PART VERB PRON ADV PUNCT SPACE PROPN VERB PROPN PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON ADV PRON AUX PART VERB PRON,0.024716786817713696,0.22273318872017003,205,971,0.9609756097560975,0.08227282443123353
"[For, 2, av, elevene, har, vi, ikke, fått, opplysninger, om, karakterer, i, norsk, og, matematikk, ., Disse, er, derfor, ikke, med, i, tabellen, ., 
, Tabell, 3.1, viser, at, det, er, en, klar, sammenheng, mellom, karakterer, i, norsk, og, matematikk, ., Det, er, en, tendens, til, at, elever, med, gode, karakterer, i, norsk, også, har, gode, karakterer, i, matematikk, ., Elever, med, dårlige, karakterer, i, norsk, har, også, dårlige, karakterer, i, matematikk, ., Det, er, en, tendens, til, at, elever, med, gode, karakterer, i, matematikk, også, har, gode, karakterer, i, norsk, ., Elever, med, dårlige, karakterer, i, matematikk, har, også, dårlige, karakterer, i, norsk, ., Det, er, en, tendens, til, at, elever, med, gode, karakterer, i, norsk, også, har, gode, karakterer, i, engelsk, ., Elever, med, dårlige, karakterer, i, norsk, har, også, dårlige, karakterer, i, engelsk, ., Det, er, en, tendens, til, at, elever, med, gode, karakterer, i, engelsk, også, har, gode, karakterer, i, norsk, ., Elever, med, dårlige, karakterer, i, engelsk, har, også, dårlige, karakterer, i, norsk, ., Det, er, en, tendens, til, at, elever, med, gode, karakterer, i, norsk, også, har, gode, karakterer]",ADP NUM ADP NOUN AUX PRON PART VERB NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX ADV PART ADP ADP NOUN PUNCT SPACE NOUN NUM VERB SCONJ PRON AUX DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX DET NOUN SCONJ SCONJ NOUN ADP ADJ NOUN ADP NOUN ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN ADP NOUN VERB ADV ADJ NOUN ADP NOUN PUNCT PRON AUX DET NOUN SCONJ SCONJ NOUN ADP ADJ NOUN ADP NOUN ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN ADP NOUN VERB ADV ADJ NOUN ADP NOUN PUNCT PRON AUX DET NOUN SCONJ SCONJ NOUN ADP ADJ NOUN ADP NOUN ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN ADP NOUN VERB ADV ADJ NOUN ADP NOUN PUNCT PRON AUX DET NOUN SCONJ SCONJ NOUN ADP ADJ NOUN ADP NOUN ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN ADP NOUN VERB ADV ADJ NOUN ADP NOUN PUNCT PRON AUX DET NOUN SCONJ SCONJ NOUN ADP ADJ NOUN ADP NOUN ADV VERB ADJ NOUN,0.030120481927710843,0.33041182682154263,185,996,0.5621621621621622,0.26191528214649157
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, kurs, i, regi, av, Norsk, Fjernundervisning, ., Kursene, er, beregnet, på, lærere, i, den, videregående, skolen, og, på, studenter, ved, universiteter, og, høgskoler, ., Kursene, er, lagt, opp, som, brevkurs, og, kan, tas, enkeltvis, eller, som, en, del, av, et, brevkurs, ., Kursene, er, godkjent, som, brevkurs, av, Kirke-, og, undervisningsdepartementet, og, kan, inngå, som, en, del, av, en, fagkrets, ved, brevskolene, ., Kursene, er, også, godkjent, som, brevkurs, av, Rådet, for, videregående, opplæring, og, kan, inngå, som, en, del, av, en, fagkrets, ved, brevskolene, ., Kursene, er, godkjent, av, Rådet, for, videregående, opplæring, som, brevkurs, av, 1., august, 1987, og, kan, inngå, som, en, del, av, en, fagkrets, ved, brevskolene, ., Kursene, er, godkjent, av, Rådet, for, videregående, opplæring, som, brevkurs, av, 1., august, 1987, og, kan, inngå, som, en, del, av, en, fagkrets, ved, brevskolene, ., Kursene, er, godkjent, av, Rådet, for, videregående, opplæring, som, brevkurs, av, 1., august, 1987, og, kan, inngå, som, en, del, av, en, fagkrets, ved, brev]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN NOUN ADP NOUN ADP PROPN NOUN PUNCT NOUN AUX VERB ADP NOUN ADP DET ADJ NOUN CCONJ ADP NOUN ADP NOUN CCONJ NOUN PUNCT NOUN AUX VERB ADP SCONJ NOUN CCONJ AUX VERB ADV CCONJ ADP DET NOUN ADP DET NOUN PUNCT NOUN AUX VERB SCONJ NOUN ADP PROPN CCONJ NOUN CCONJ AUX VERB SCONJ DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN AUX ADV VERB SCONJ NOUN ADP PROPN ADP ADJ NOUN CCONJ AUX VERB SCONJ DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN AUX VERB ADP PROPN ADP ADJ NOUN SCONJ NOUN ADP ADJ NOUN NUM CCONJ AUX VERB SCONJ DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN AUX VERB ADP PROPN ADP ADJ NOUN SCONJ NOUN ADP ADJ NOUN NUM CCONJ AUX VERB SCONJ DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN AUX VERB ADP PROPN ADP ADJ NOUN SCONJ NOUN ADP ADJ NOUN NUM CCONJ AUX VERB SCONJ DET NOUN ADP DET NOUN ADP NOUN,0.036458333333333336,0.3942700329308451,172,960,0.5523255813953488,0.17754649553322224
"[Personell, og, organisering, av, sekretariatet, for, Rådet, for, videregående, opplæring, (, RVO, ), 
, 1, .1, RVO, ', s, sekretariat, 1, .2, RVO, ', s, sekretariat, i, dag, 1, .3, RVO, ', s, sekretariat, i, fremtiden, 1, .4, RVO, ', s, sekretariat, i, dag, 1, .5, RVO, ', s, sekretariat, i, fremtiden, 1, .6, RVO, ', s, sekretariat, i, dag, 1, .7, RVO, ', s, sekretariat, i, fremtiden, 1, .8, RVO, ', s, sekretariat, i, dag, 1, .9, RVO, ', s, sekretariat, i, fremtiden, 1, .10, RVO, ', s, sekretariat, i, dag, 1, .11, RVO, ', s, sekretariat, i, fremtiden, 1, .12, RVO, ', s, sekretariat, i, dag, 1, .13, RVO, ', s, sekretariat, i, fremtiden, 1, .14, RVO, ', s, sekretariat, i, dag, 1, .15, RVO, ', s, sekretariat, i, fremtiden, 1, .16, RVO, ', s, sekretariat, i, dag]",NOUN CCONJ NOUN ADP NOUN ADP PROPN ADP ADJ NOUN PUNCT PROPN PUNCT SPACE NUM ADJ PROPN PUNCT PROPN NOUN NUM ADJ PROPN PUNCT PROPN NOUN ADP NOUN NUM NOUN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM NOUN PROPN PUNCT PROPN NOUN ADP NOUN NUM PUNCT PROPN PUNCT PROPN NOUN ADP NOUN NUM PUNCT PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PUNCT PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN NUM PROPN PROPN PUNCT PROPN NOUN ADP NOUN,0.0625,0.3890876565295173,140,608,0.30714285714285716,0.07367080850775233
"[De, nevnte, artiklene, i, FN-sambandets, tidsskrift, «, Utdanning, », er, skrevet, av, norske, fagfolk, og, gir, en, god, innføring, i, de, forskjellige, emnene, som, tas, opp, i, denne, boka, ., Artiklene, er, skrevet, for, å, gi, en, innføring, i, de, forskjellige, emnene, som, tas, opp, i, denne, boka, ., Artiklene, er, skrevet, av, norske, fagfolk, og, gir, en, god, innføring, i, de, forskjellige, emnene, som, tas, opp, i, denne, boka, ., 
, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■, ■]",DET VERB NOUN ADP NOUN NOUN PUNCT PROPN PUNCT AUX VERB ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP DET ADJ NOUN PRON VERB ADP ADP DET NOUN PUNCT NOUN AUX VERB SCONJ PART VERB DET NOUN ADP DET ADJ NOUN PRON VERB ADP ADP DET NOUN PUNCT NOUN AUX VERB ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP DET ADJ NOUN PRON VERB ADP ADP DET NOUN PUNCT SPACE PUNCT NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT,0.05194805194805195,0.23675485008818142,195,616,0.20512820512820512,0.755750601012989
"[Bør, minimum, være, 10, av, hver, ., Det, er, en, fordel, om, det, er, flere, enn, 10, av, hver, ,, slik, at, det, er, mulig, å, bytte, ut, noen, av, dem, med, andre, ting, som, er, mer, aktuelle, for, den, enkelte, elev, ., Det, er, også, en, fordel, om, det, er, flere, enn, 10, av, hver, ,, slik, at, det, er, mulig, å, bytte, ut, noen, av, dem, med, andre, ting, som, er, mer, aktuelle, for, den, enkelte, elev, ., Det, er, også, en, fordel, om, det, er, flere, enn, 10, av, hver, ,, slik, at, det, er, mulig, å, bytte, ut, noen, av, dem, med, andre, ting, som, er, mer, aktuelle, for, den, enkelte, elev, ., Det, er, også, en, fordel, om, det, er, flere, enn, 10, av, hver, ,, slik, at, det, er, mulig, å, bytte, ut, noen, av, dem, med, andre, ting, som, er, mer, aktuelle, for, den, enkelte, elev, ., Det, er, også, en, fordel, om, det, er, flere, enn, 10, av, hver, ,, slik, at, det, er, mulig, å, bytte, ut, noen, av, dem, med, andre, ting, som, er, mer, aktuelle, for, den, enkelte, elev, ., Det, er, også, en, fordel, om, det, er, flere, enn, 10, av, hver, ,]",AUX NOUN AUX NUM ADP DET PUNCT PRON AUX DET NOUN SCONJ PRON VERB ADJ ADP NUM ADP DET PUNCT ADV SCONJ PRON AUX ADJ PART VERB ADP DET ADP PRON ADP DET NOUN PRON AUX ADJ ADJ ADP DET ADJ NOUN PUNCT PRON VERB ADV DET NOUN SCONJ PRON VERB ADJ ADP NUM ADP DET PUNCT ADV SCONJ PRON AUX ADJ PART VERB ADP DET ADP PRON ADP DET NOUN PRON AUX ADJ ADJ ADP DET ADJ NOUN PUNCT PRON VERB ADV DET NOUN SCONJ PRON VERB ADJ ADP NUM ADP DET PUNCT ADV SCONJ PRON AUX ADJ PART VERB ADP DET ADP PRON ADP DET NOUN PRON AUX ADJ ADJ ADP DET ADJ NOUN PUNCT PRON VERB ADV DET NOUN SCONJ PRON VERB ADJ ADP NUM ADP DET PUNCT ADV SCONJ PRON AUX ADJ PART VERB ADP DET ADP PRON ADP DET NOUN PRON AUX ADJ ADJ ADP DET ADJ NOUN PUNCT PRON VERB ADV DET NOUN SCONJ PRON VERB ADJ ADP NUM ADP DET PUNCT ADV SCONJ PRON AUX ADJ PART VERB ADP DET ADP PRON ADP DET NOUN PRON AUX ADJ ADJ ADP DET ADJ NOUN PUNCT PRON VERB ADV DET NOUN SCONJ PRON VERB ADJ ADP NUM ADP DET PUNCT,0.03403755868544601,0.36777085927770786,205,852,0.8,0.39378724244225904
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang, av, Kommisjonens, forslag, til, direktiv, om, forbrukerkreditt, ., Artikkelen, er, en, gjennomgang]",NOUN NUM VERB ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT NOUN AUX DET NOUN,0.0226628895184136,0.37578217821781984,147,1059,0.41496598639455784,0.03469077958071244
