tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, komme, tilbake, ?, spurte, han, ., 
, —, Nei, ,, det, er, ikke, nødvendig, ,, svarte, hun, ., —, Jeg, har, ikke, noe, å, fortelle, ham, ., Han, har, ikke, noe, med, meg, å, gjøre, ., Jeg, har, ikke, noe, å, si, ham, ., 
, —, Men, du, har, noe, å, si, meg, ,, sa, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, svarte, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, hun, ., 
, —, Jeg, har, ikke, noe, å, si, deg, ,, gjentok, han]",DET NOUN ADP NOUN PRON AUX VERB ADP PUNCT VERB PRON PUNCT SPACE PUNCT INTJ PUNCT PRON AUX PART ADJ PUNCT VERB PRON PUNCT PUNCT PRON VERB PART PRON PART VERB PRON PUNCT PRON VERB PART PRON ADP PRON PART VERB PUNCT PRON VERB PART PRON PART VERB PRON PUNCT SPACE PUNCT CCONJ PRON VERB PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON PUNCT SPACE PUNCT PRON VERB PART PRON PART VERB PRON PUNCT VERB PRON,0.03902439024390244,0.4113878080415031,244,820,0.6311475409836066,0.4602049982872498
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, det, var, telefon, til, ham, ., Han, gikk, ut, i, entreen, og, tok, telefonen, ., Det, var, en, dame, som, ville, snakke, med, ham, ., Han, sa, at, han, ikke, var, inne, ,, men, at, han, skulle, komme, med, en, gang, ., Han, gikk, inn, i, stuen, og, såtte, seg, i, en, stol, ., Han, hørte, at, hun, ringte, på, døren, ., Han, hørte, at, hun, gikk, ned, trappen, og, at, hun, kom, opp, igjen, ., Han, hørte, at, hun, gikk, inn, på, soveværelset, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, badet, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, soveværelset, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, badet, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, soveværelset, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, badet, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, soveværelset, og, at, hun, kom, ut, igjen, ., Han, hørte, at, hun, gikk, inn, på, badet, og, at, hun, kom, ut, igjen, .]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB SCONJ PRON VERB NOUN ADP PRON PUNCT PRON VERB ADP ADP NOUN CCONJ VERB NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP PRON PUNCT PRON VERB SCONJ PRON PART AUX ADP PUNCT CCONJ SCONJ PRON AUX VERB ADP DET NOUN PUNCT PRON VERB ADP ADP NOUN CCONJ VERB PRON ADP DET NOUN PUNCT PRON VERB SCONJ PRON VERB ADP NOUN PUNCT PRON VERB SCONJ PRON VERB ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT PRON VERB SCONJ PRON VERB ADP ADP NOUN CCONJ SCONJ PRON VERB ADP ADV PUNCT,0.03387850467289719,0.38183395291201866,206,856,0.7572815533980582,0.21363677452928492
"[Det, synspunkt, at, miljøskifte, og, nye, omgivelser, kan, være, en, fordel, for, barn, med, adferdsvansker, ,, er, ikke, nytt, ., Det, er, heller, ikke, nytt, at, det, er, en, fordel, for, barn, å, komme, i, et, nytt, miljø, når, de, har, vært, i, et, uheldig, miljø, over, lengre, tid, ., Det, er, heller, ikke, nytt, at, det, er, en, fordel, for, barn, å, komme, i, et, nytt, miljø, når, de, har, vært, i, et, uheldig, miljø, over, lengre, tid, ., Det, er, heller, ikke, nytt, at, det, er, en, fordel, for, barn, å, komme, i, et, nytt, miljø, når, de, har, vært, i, et, uheldig, miljø, over, lengre, tid, ., Det, er, heller, ikke, nytt, at, det, er, en, fordel, for, barn, å, komme, i, et, nytt, miljø, når, de, har, vært, i, et, uheldig, miljø, over, lengre, tid, ., Det, er, heller, ikke, nytt, at, det, er, en, fordel, for, barn, å, komme, i, et, nytt, miljø, når, de, har, vært, i, et, uheldig, miljø, over, lengre, tid, ., Det, er, heller, ikke, nytt, at, det, er, en, fordel, for, barn, å, komme, i, et, nytt, miljø, når, de, har, vært, i, et, uheldig, miljø, over, lengre, tid, ., Det, er, heller, ikke, nytt, at, det, er, en]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX AUX DET NOUN ADP NOUN ADP NOUN PUNCT AUX PART ADJ PUNCT PRON AUX ADV PART ADJ SCONJ PRON VERB DET NOUN ADP NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON AUX AUX ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV PART ADJ SCONJ PRON VERB DET NOUN ADP NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON AUX AUX ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV PART ADJ SCONJ PRON VERB DET NOUN ADP NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON AUX AUX ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV PART ADJ SCONJ PRON VERB DET NOUN ADP NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON AUX AUX ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV PART ADJ SCONJ PRON VERB DET NOUN ADP NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON AUX AUX ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV PART ADJ SCONJ PRON VERB DET NOUN ADP NOUN PART VERB ADP DET ADJ NOUN SCONJ PRON AUX AUX ADP DET ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADV PART ADJ SCONJ PRON AUX DET,0.030467899891186073,0.36282758620689504,209,919,0.7894736842105263,0.4327193820507663
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, igjen, du, Beatrice, ., Jeg, skal, nok, greie, å, få, deg, våken, igjen, seiv, ., Jeg, er, ikke, så, verst, til, å, få, folk, våken, jeg, heller, ,, skal, jeg, si, deg, ., Jeg, har, vært, oppe, i, mange, rare, situasjoner, i, mitt, liv, ,, og, jeg, har, greid, å, få, folk, til, å, våkne, igjen, ., Det, er, bare, å, ta, det, med, ro, ,, så, går, det, nok, bra, ., Jeg, skal, nok, få, deg, våken, igjen, jeg, også, ., Jeg, skal, bare, ta, en, liten, blund, først, ., Jeg, er, så, trett, at, jeg, kunne, sovne, her, jeg, står, ., Jeg, har, ikke, sovet, på, to, netter, ., Jeg, har, vært, oppe, og, passet, på, at, det, ikke, skulle, hende, noe, med, deg, ., Jeg, har, vært, oppe, og, passet, på, at, det, ikke, skulle, hende, noe, med, deg, hele, tiden, ., Jeg, har, vært, oppe, og, passet, på, at, det, ikke, skulle, hende, noe, med, deg, hele, tiden, ., Jeg, har, vært, oppe, og, passet, på, at, det, ikke, skulle, hende, noe, med, deg, hele, tiden, ., Jeg, har, vært, oppe, og, passet, på, at, det, ikke, skulle, hende, noe, med, deg, hele]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON ADV PRON PROPN PUNCT PRON AUX ADV NOUN PART VERB PRON ADJ ADV NOUN PUNCT PRON AUX PART ADV ADJ SCONJ PART VERB NOUN ADJ PRON ADV PUNCT AUX PRON VERB PRON PUNCT PRON AUX AUX ADP ADP ADJ ADJ NOUN ADP PRON NOUN PUNCT CCONJ PRON AUX VERB PART VERB NOUN SCONJ PART VERB ADV PUNCT PRON AUX ADV PART VERB PRON ADP NOUN PUNCT ADV VERB PRON ADV ADJ PUNCT PRON AUX ADV VERB PRON ADJ ADV PRON ADV PUNCT PRON AUX ADV VERB DET ADJ NOUN ADV PUNCT PRON AUX ADV ADJ SCONJ PRON AUX VERB ADV PRON VERB PUNCT PRON AUX PART VERB ADP NUM NOUN PUNCT PRON AUX AUX ADP CCONJ VERB SCONJ SCONJ PRON PART AUX VERB PRON ADP PRON PUNCT PRON AUX AUX ADP CCONJ VERB SCONJ SCONJ PRON PART AUX VERB PRON ADP PRON ADJ NOUN PUNCT PRON AUX AUX ADP CCONJ VERB SCONJ SCONJ PRON PART AUX VERB PRON ADP PRON ADJ NOUN PUNCT PRON AUX AUX ADP CCONJ VERB SCONJ SCONJ PRON PART AUX VERB PRON ADP PRON ADJ NOUN PUNCT PRON AUX AUX ADP CCONJ VERB SCONJ SCONJ PRON PART AUX VERB PRON ADP PRON ADJ,0.035838150289017344,0.37225490196078437,205,865,0.775609756097561,0.3691489072633688
"[For, 2, av, elevene, har, det, vært, en, lang, vei, å, gå, før, de, nå, er, klare, for, å, ta, fatt, på, et, nytt, skoleår, ved, den, nye, skolen, i, Hattfjelldal, ., ., 
, -, Jeg, har, gått, på, skole, i, Hattfjell, dal, i, to, år, tidligere, ,, men, da, på, en, annen, skole, ., Jeg, har, også, gått, på, skole, i, Mosjøen, og, på, Trofors, ,, men, det, er, første, gang, jeg, er, elev, ved, den, nye, skolen, i, Hattfjelldal, ,, sier, Maren, Sofie, Larem, Næstby, som, er, elev, ved, skolen, i, Hattfjelldal, ., 
, -, Jeg, har, gått, på, skole, i, Hattfjell, dal, i, to, år, tidligere, ,, men, da, på, en, annen, skole, ., Jeg, har, også, gått, på, skole, i, Mosjøen, og, på, Trofors, ,, men, det, er, første, gang, jeg, er, elev, ved, den, nye, skolen, i, Hattfjelldal, ,, sier, Maren, Sofie, Larem, Næstby, som, er, elev, ved, skolen, i, Hattfjelldal, .]",ADP NUM ADP NOUN AUX PRON AUX DET ADJ NOUN PART VERB SCONJ PRON ADV AUX ADJ SCONJ PART VERB ADV ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN PUNCT PUNCT SPACE PUNCT PRON AUX VERB ADP NOUN ADP PROPN NOUN ADP NUM NOUN ADJ PUNCT CCONJ ADV ADP DET DET NOUN PUNCT PRON AUX ADV VERB ADP NOUN ADP PROPN CCONJ ADP PROPN PUNCT CCONJ PRON AUX ADJ NOUN PRON AUX NOUN ADP DET ADJ NOUN ADP PROPN PUNCT VERB PROPN PROPN PROPN NOUN PRON AUX NOUN ADP NOUN ADP PROPN PUNCT SPACE PUNCT PRON AUX VERB ADP NOUN ADP PROPN NOUN ADP NUM NOUN ADJ PUNCT CCONJ ADV ADP DET DET NOUN PUNCT PRON AUX ADV VERB ADP NOUN ADP PROPN CCONJ ADP PROPN PUNCT CCONJ PRON AUX ADJ NOUN PRON AUX NOUN ADP DET ADJ NOUN ADP PROPN PUNCT VERB PROPN PROPN PROPN NOUN PRON AUX NOUN ADP NOUN ADP PROPN PUNCT,0.05377906976744186,0.39802816901408483,157,688,0.6305732484076433,0.2849796026141203
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, rekke, kurs, i, regi, av, AOF, i, Hedmark, ., Det, er, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å, perfeksjonere, seg, i, sitt, yrke, ., Det, er, kurs, i, maskinskriving, ,, regnskap, ,, EDB, ,, engelsk, ,, tysk, ,, fransk, ,, spansk, ,, italiensk, ,, spansk, for, viderekomne, ,, spansk, for, begynnere, ,, spansk, for, viderekomne, ,, spansk, for, begynnere, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, begynnere, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for, viderekomne, ,, spansk, for]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET NOUN NOUN ADP NOUN ADP PROPN ADP PROPN PUNCT PRON AUX NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART VERB PRON ADP PRON NOUN PUNCT PRON AUX NOUN ADP NOUN PUNCT NOUN PUNCT PROPN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP,0.03987408184679958,0.33161504424779475,176,953,0.32954545454545453,0.10010438420939721
"[Personell, og, organisering, av, sekretariatet, for, det, nye, organet, er, ikke, avklart, ., Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, sekretariat, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, sekretariat, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organet, skal, ha, et, eget, styre, .,  , Det, er, heller, ikke, avklart, om, det, nye, organ]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN AUX PART VERB PUNCT PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN AUX VERB DET DET NOUN PUNCT SPACE PRON AUX ADV PART VERB ADP DET ADJ NOUN,0.025149700598802394,0.33363867684478565,182,835,0.6813186813186813,0.35275552476134264
"[De, nevnte, artiklene, i, FN-rapporten, er, skrevet, av, en, rekke, av, verdens, fremste, eksperter, på, området, ., De, har, alle, vært, med, på, å, utarbeide, rapporten, .,                                                                                         ]",DET VERB NOUN ADP NOUN AUX VERB ADP DET NOUN ADP NOUN ADJ NOUN ADP NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB NOUN PUNCT SPACE,0.1111111111111111,0.2494054054054059,28,234,0.5,0.31335662403819387
"[Bør, minimum, være, 10, av, hvert, kjønn, .,  , Det, bør, være, en, blanding, av, unge, og, eldre, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, i, alle, aldre, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, yrkesbakgrunn, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, etnisk, bakgrunn, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, religiøs, bakgrunn, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, politisk, bakgrunn, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, seksuell, legning, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, seksuell, orientering, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, alder, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, sosial, bakgrunn, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, utdanning, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, utdanning, .,  , Det, bør, være, en, blanding, av, kvinner, og, menn, med, ulik, utdanning, .]",AUX NOUN AUX NUM ADP DET NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP ADJ CCONJ ADJ PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP DET NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE PRON AUX AUX DET NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT,0.03114571746384872,0.3741176470588225,193,899,0.5492227979274611,0.032795690668441874
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, til, en, ny, forordning, om, miljøkvalitetsstandarder, for, vann, og, luft, ., Forslaget, er, en, del, av, en, pakke, med, forslag, som, skal, bidra, til, å, oppfylle, EUs, mål, om, å, redusere, utslippene, av, luftforurensende, stoffer, med, minst, 50, %, innen, 2050, i, forhold, til, 1990-nivå, ., Forslaget, er, en, del, av, en, pakke, med, forslag, som, skal, bidra, til, å, oppfylle, EUs, mål, om, å, redusere, utslippene, av, luftforurensende, stoffer, med, minst, 50, %, innen, 2050, i, forhold, til, 1990-nivå, ., Forslaget, er, en, del, av, en, pakke, med, forslag, som, skal, bidra, til, å, oppfylle, EUs, mål, om, å, redusere, utslippene, av, luftforurensende, stoffer, med, minst, 50, %, innen, 2050, i, forhold, til, 1990-nivå, ., Forslaget, er, en, del, av, en, pakke, med, forslag, som, skal, bidra, til, å, oppfylle, EUs, mål, om, å, redusere, utslippene, av, luftforurensende, stoffer, med, minst, 50, %, innen, 2050, i, forhold, til, 1990-nivå, ., Forslaget, er, en, del, av, en, pakke, med, forslag, som, skal, bidra, til, å, oppfylle]",NOUN NUM VERB ADP PROPN NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT NOUN AUX DET NOUN ADP DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB PROPN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN ADP ADJ NUM NOUN ADP NUM ADP NOUN ADP NUM PUNCT NOUN AUX DET NOUN ADP DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB PROPN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN ADP ADJ NUM NOUN ADP NUM ADP NOUN ADP NUM PUNCT NOUN AUX DET NOUN ADP DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB PROPN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN ADP ADJ NUM NOUN ADP NUM ADP NOUN ADP NUM PUNCT NOUN AUX DET NOUN ADP DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB PROPN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN ADP ADJ NUM NOUN ADP NUM ADP NOUN ADP NUM PUNCT NOUN AUX DET NOUN ADP DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB,0.04112554112554113,0.3889371428571411,172,924,0.5290697674418605,0.2563588372801319
