tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, skulle, komme, til, å, trenge, hjelp, ?, spurte, han, og, så, på, henne, med, et, blikk, som, var, både, spørrende, og, bedende, ., 
, —, Nei, ,, det, er, ikke, nødvendig, ,, svarte, hun, og, så, ned, ., —, Jeg, har, ikke, noe, å, gjøre, med, ham, ., 
, —, Men, du, har, vel, ikke, noe, imot, at, jeg, hjelper, deg, med, å, få, ham, ut, av, huset, ?, spurte, han, og, så, på, henne, med, et, blikk, som, var, både, bønnfallende, og, truende, ., 
, —, Nei, ,, det, har, jeg, ikke, ,, svarte, hun, og, så, opp, på, ham, med, et, blikk, som, var, både, bønnfallende, og, truende, ., 
, —, Jeg, skal, ikke, gjøre, deg, noe, vondt, ,, sa, han, og, smilte, til, henne, ., —, Jeg, skal, bare, hjelpe, deg, med, å, få, ham, ut, av, huset, ., 
, —, Jeg, har, ikke, noe, imot, det, ,, svarte, hun, og, så, ned, på, hendene, sine, som, hun, holdt, foldet, i, fanget, ., —, Jeg, har, ikke, noe, imot, at, du, hjelper, meg, med, å, få, ham, ut, av, huset, ., 
, —, Jeg, skal, ikke, gjøre, deg, noe, vondt, ,, gjentok, han, og, smilte, til, henne, ., —, Jeg, skal, bare, hjelpe, deg, med]",DET NOUN ADP NOUN PRON AUX VERB SCONJ PART VERB NOUN PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX CCONJ ADJ CCONJ ADJ PUNCT SPACE PUNCT INTJ PUNCT PRON AUX PART ADJ PUNCT VERB PRON CCONJ ADV ADP PUNCT PUNCT PRON VERB PART PRON PART VERB ADP PRON PUNCT SPACE PUNCT CCONJ PRON VERB ADV PART PRON ADP SCONJ PRON VERB PRON SCONJ PART VERB PRON ADP ADP NOUN PUNCT VERB PRON CCONJ ADV ADP PRON ADP DET NOUN PRON AUX CCONJ ADJ CCONJ ADJ PUNCT SPACE PUNCT INTJ PUNCT PRON VERB PRON PART PUNCT VERB PRON CCONJ ADV ADP ADP PRON ADP DET NOUN PRON AUX CCONJ ADJ CCONJ ADJ PUNCT SPACE PUNCT PRON AUX PART VERB PRON DET ADJ PUNCT VERB PRON CCONJ VERB ADP PRON PUNCT PUNCT PRON AUX ADV VERB PRON SCONJ PART VERB PRON ADP ADP NOUN PUNCT SPACE PUNCT PRON VERB PART PRON ADP PRON PUNCT VERB PRON CCONJ ADV ADP ADP NOUN PRON PRON PRON VERB NOUN ADP NOUN PUNCT PUNCT PRON VERB PART PRON ADP SCONJ PRON VERB PRON SCONJ PART VERB PRON ADP ADP NOUN PUNCT SPACE PUNCT PRON AUX PART VERB PRON DET ADJ PUNCT VERB PRON CCONJ VERB ADP PRON PUNCT PUNCT PRON AUX ADV VERB PRON ADP,0.03592120509849363,0.4114987714987695,213,863,0.676056338028169,0.48432925516234165
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, hun, måtte, komme, inn, og, hjelpe, til, med, å, dekke, bordet, ., Og, da, hun, kom, inn, i, stuen, ,, så, hun, at, det, var, dekket, til, fire, ., Det, var, dekket, på, til, henne, også, ved, det, store, bordet, i, hjørnet, av, stuen, ., Hun, ble, så, glad, at, hun, nesten, ikke, kunne, styre, seg, ., Hun, gikk, bort, til, bordet, og, tok, til, å, dekke, på, til, seg, seiv, ., Men, da, hun, hadde, dekket, på, til, seg, seiv, ,, så, hun, at, det, var, dekket, på, til, henne, ved, det, andre, bordet, ., Hun, ble, så, glad, at, hun, nesten, ikke, kunne, styre, seg, ., Hun, gikk, bort, til, bordet, og, tok, til, å, dekke, på, til, seg, seiv, ., Men, da, hun, hadde, dekket, på, til, seg, seiv, ,, så, hun, at, det, var, dekket, på, til, henne, ved, det, tredje, bordet, ., Hun, ble, så, glad, at, hun, nesten, ikke, kunne, styre, seg, ., Hun, gikk, bort, til, bordet, og, tok, til, å, dekke, på, til, seg, seiv, ., Men, da, hun, hadde, dekket, på, til, seg, seiv, ,, så, hun, at, det, var, dekket, på, til, henne, ved, det, fjerde, bordet, .]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB SCONJ PRON AUX VERB ADP CCONJ VERB ADP SCONJ PART VERB NOUN PUNCT CCONJ SCONJ PRON VERB ADP ADP NOUN PUNCT VERB PRON SCONJ PRON AUX ADJ ADP NUM PUNCT PRON AUX ADJ ADP ADP PRON ADV ADP DET ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON VERB ADV ADJ SCONJ PRON ADV PART AUX VERB PRON PUNCT PRON VERB ADP ADP NOUN CCONJ VERB SCONJ PART VERB ADP ADP PRON NOUN PUNCT CCONJ SCONJ PRON AUX VERB ADP ADP PRON NOUN PUNCT VERB PRON SCONJ PRON AUX ADJ ADP ADP PRON ADP DET ADJ NOUN PUNCT PRON VERB ADV ADJ SCONJ PRON ADV PART AUX VERB PRON PUNCT PRON VERB ADP ADP NOUN CCONJ VERB SCONJ PART VERB ADP ADP PRON NOUN PUNCT CCONJ SCONJ PRON AUX VERB ADP ADP PRON NOUN PUNCT VERB PRON SCONJ PRON AUX ADJ ADP ADP PRON ADP DET ADJ NOUN PUNCT PRON VERB ADV ADJ SCONJ PRON ADV PART AUX VERB PRON PUNCT PRON VERB ADP ADP NOUN CCONJ VERB SCONJ PART VERB ADP ADP PRON NOUN PUNCT CCONJ SCONJ PRON AUX VERB ADP ADP PRON NOUN PUNCT VERB PRON SCONJ PRON AUX ADJ ADP ADP PRON ADP DET ADJ NOUN PUNCT,0.034129692832764506,0.3640722891566285,208,879,0.7259615384615384,0.20158807184040572
"[Det, synspunkt, at, miljøskifte, og, nye, omgivelser, kan, være, en, fordel, for, barn, som, har, vært, utsatt, for, omsorgssvikt, ,, er, ikke, nytt, ., Det, er, heller, ikke, nytt, at, det, er, vanskelig, å, få, til, en, slik, endring, ., Det, er, også, kjent, at, det, er, vanskelig, å, få, til, en, endring, i, et, barns, livssituasjon, når, det, er, en, annen, instans, enn, barnevernet, som, har, omsorgen, for, barnet, ., Det, er, også, kjent, at, det, er, vanskelig, å, få, til, en, endring, i, et, barns, livssituasjon, når, det, er, en, annen, instans, enn, barnevernet, som, har, omsorgen, for, barnet, ., Det, er, også, kjent, at, det, er, vanskelig, å, få, til, en, endring, i, et, barns, livssituasjon, når, det, er, en, annen, instans, enn, barnevernet, som, har, omsorgen, for, barnet, ., Det, er, også, kjent, at, det, er, vanskelig, å, få, til, en, endring, i, et, barns, livssituasjon, når, det, er, en, annen, instans, enn, barnevernet, som, har, omsorgen, for, barnet, ., Det, er, også, kjent, at, det, er, vanskelig, å, få, til, en, endring, i, et, barns, livssituasjon, når, det, er, en, annen]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX AUX DET NOUN ADP NOUN PRON AUX AUX VERB ADP NOUN PUNCT AUX PART ADJ PUNCT PRON AUX ADV PART ADJ SCONJ PRON AUX ADJ PART VERB ADP DET DET NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX ADJ PART VERB ADP DET NOUN ADP DET NOUN NOUN SCONJ PRON AUX DET DET NOUN ADP NOUN PRON VERB NOUN ADP NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX ADJ PART VERB ADP DET NOUN ADP DET NOUN NOUN SCONJ PRON AUX DET DET NOUN ADP NOUN PRON VERB NOUN ADP NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX ADJ PART VERB ADP DET NOUN ADP DET NOUN NOUN SCONJ PRON AUX DET DET NOUN ADP NOUN PRON VERB NOUN ADP NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX ADJ PART VERB ADP DET NOUN ADP DET NOUN NOUN SCONJ PRON AUX DET DET NOUN ADP NOUN PRON VERB NOUN ADP NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX ADJ PART VERB ADP DET NOUN ADP DET NOUN NOUN SCONJ PRON AUX DET DET,0.030335861321776816,0.3398627002288329,186,923,0.7204301075268817,0.5332476307322491
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, igjen, !, sa, hun, til, seg, seiv, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, trett, ., Jeg, er, ikke, syk, ., Jeg, er, bare, tr]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON ADV PUNCT VERB PRON ADP PRON NOUN PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV ADJ PUNCT PRON AUX PART ADJ PUNCT PRON VERB ADV PROPN,0.034993270524899055,0.26927953890489775,205,743,0.6097560975609756,0.12166253721187123
"[For, 2, av, elevene, har, det, vært, en, lang, vei, å, gå, for, å, komme, dit, de, er, i, dag, ., -, Jeg, har, gått, på, skole, i, Norge, i, tre, år, og, har, hatt, praksis, i, to, år, ., Jeg, har, også, vært, i, praksis, i, to, år, i, en, barnehage, i, Norge, ,, forteller, Ayla, ., 
, -, Jeg, har, gått, på, skole, i, Norge, i, tre, år, og, har, hatt, praksis, i, to, år, ., Jeg, har, også, vært, i, praksis, i, to, år, i, en, barnehage, i, Norge, ,, forteller, Ayla, ., -, Jeg, har, gått, på, skole, i, Norge, i, tre, år, og, har, hatt, praksis, i, to, år, ., Jeg, har, også, vært, i, praksis, i, to, år, i, en, barnehage, i, Norge, ,, forteller, Ayla, ., -, Jeg, har, gått, på, skole, i, Norge, i, tre, år, og, har, hatt, praksis, i, to, år, ., Jeg, har, også, vært, i, praksis, i, to, år, i, en, barnehage, i, Norge, ,, forteller, Ayla, ., -, Jeg, har, gått, på, skole, i, Norge, i, tre, år, og, har, hatt, praksis, i, to, år, ., Jeg, har, også, vært, i, praksis, i, to, år, i, en, barnehage, i, Norge, ,, forteller, Ayla, ., -, Jeg, har, gått, på]",ADP NUM ADP NOUN AUX PRON AUX DET ADJ NOUN PART VERB SCONJ PART VERB ADV PRON AUX ADP NOUN PUNCT PUNCT PRON AUX VERB ADP NOUN ADP PROPN ADP NUM NOUN CCONJ AUX VERB NOUN ADP NUM NOUN PUNCT PRON AUX ADV AUX ADP NOUN ADP NUM NOUN ADP DET NOUN ADP PROPN PUNCT VERB PROPN PUNCT SPACE PUNCT PRON AUX VERB ADP NOUN ADP PROPN ADP NUM NOUN CCONJ AUX VERB NOUN ADP NUM NOUN PUNCT PRON AUX ADV AUX ADP NOUN ADP NUM NOUN ADP DET NOUN ADP PROPN PUNCT VERB PROPN PUNCT PUNCT PRON AUX VERB ADP NOUN ADP PROPN ADP NUM NOUN CCONJ AUX VERB NOUN ADP NUM NOUN PUNCT PRON AUX ADV AUX ADP NOUN ADP NUM NOUN ADP DET NOUN ADP PROPN PUNCT VERB PROPN PUNCT PUNCT PRON AUX VERB ADP NOUN ADP PROPN ADP NUM NOUN CCONJ AUX VERB NOUN ADP NUM NOUN PUNCT PRON AUX ADV AUX ADP NOUN ADP NUM NOUN ADP DET NOUN ADP PROPN PUNCT VERB PROPN PUNCT PUNCT PRON AUX VERB ADP NOUN ADP PROPN ADP NUM NOUN CCONJ AUX VERB NOUN ADP NUM NOUN PUNCT PRON AUX ADV AUX ADP NOUN ADP NUM NOUN ADP DET NOUN ADP PROPN PUNCT VERB PROPN PUNCT PUNCT PRON AUX VERB ADP,0.03766707168894289,0.3650387596899229,212,823,0.6886792452830188,0.44798429597664213
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, rekke, kurs, i, regi, av, AOF, i, Hedmark, ., Det, er, kurs, som, er, spesielt, beregnet, på, folk, som, er, i, arbeid, og, som, ønsker, å, perfeksjonere, seg, i, sitt, yrke, ., Kursene, er, lagt, opp, slik, at, de, kan, kombineres, med, full, jobb, og, de, er, også, lagt, opp, slik, at, de, kan, kombineres, med, andre, kurs, som, AOF, arrangerer, i, samme, tidsrom, ., Det, er, kurs, i, engelsk, ,, tysk, ,, fransk, ,, spansk, ,, italiensk, ,, russisk, ,, finsk, ,, samisk, ,, swahili, ,, japansk, ,, portugisisk, ,, gresk, ,, latin, ,, spansk, ,, italiensk, ,, russisk, ,, finsk, ,, samisk, ,, swahili, ,, japansk, ,, portugisisk, ,, gresk, ,, latin, ,, spansk, ,, italiensk, ,, russisk, ,, finsk, ,, samisk, ,, swahili, ,, japansk, ,, portugisisk, ,, gresk, ,, latin, ,, spansk, ,, italiensk, ,, russisk, ,, finsk, ,, samisk, ,, swahili, ,, japansk, ,, portugisisk, ,, gresk, ,, latin, ,, spansk, ,, italiensk, ,, russisk, ,, finsk, ,, samisk, ,, swahili, ,, japansk, ,, portugisisk, ,]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET NOUN NOUN ADP NOUN ADP PROPN ADP PROPN PUNCT PRON AUX NOUN PRON AUX ADJ VERB ADP NOUN PRON AUX ADP NOUN CCONJ PRON VERB PART VERB PRON ADP PRON NOUN PUNCT NOUN AUX VERB ADP ADV SCONJ PRON AUX VERB ADP ADJ NOUN CCONJ PRON AUX ADV VERB ADP ADV SCONJ PRON AUX VERB ADP DET NOUN PRON PROPN VERB ADP DET NOUN PUNCT PRON AUX NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT,0.046798029556650245,0.3549934469200543,181,812,0.287292817679558,0.1352177287254247
"[Personell, og, organisering, av, sekretariatet, for, det, nye, organet, er, ikke, avklart, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, styre, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller, ikke, avklart, om, det, skal, være, et, eget, sekretariat, for, organet, eller, om, det, skal, være, et, råd, ., Det, er, heller]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN AUX PART VERB PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV PART VERB SCONJ PRON AUX AUX DET DET NOUN ADP NOUN CCONJ SCONJ PRON AUX AUX DET NOUN PUNCT PRON AUX ADV,0.024864864864864864,0.3435844748858458,192,925,0.7604166666666666,0.33133816284727535
"[De, nevnte, artiklene, i, FN-rapporten, er, skrevet, av, en, rekke, kjente, forskere, og, vitenskapsmenn, ., De, har, alle, vært, med, på, å, utarbeide, rapporten, som, er, på, over, 300, sider, ., Den, er, en, av, de, mest, omfattende, som, er, laget, om, dette, emnet, og, er, et, viktig, bidrag, til, å, få, klarlagt, hva, som, er, skjedd, med, de, mange, tusen, menneskene, som, er, forsvunnet, i, det, tidligere, Jugoslavia, de, siste, årene, ., Det, er, også, en, rapport, som, er, et, viktig, bidrag, til, å, få, klarlagt, hva, som, er, skjedd, med, de, mange, tusen, menneskene, som, er, forsvunnet, i, det, tidligere, Jugoslavia, de, siste, årene, ., Det, er, også, en, rapport, som, er, et, viktig, bidrag, til, å, få, klarlagt, hva, som, er, skjedd, med, de, mange, tusen, menneskene, som, er, forsvunnet, i, det, tidligere, Jugoslavia, de, siste, årene, ., Det, er, også, en, rapport, som, er, et, viktig, bidrag, til, å, få, klarlagt, hva, som, er, skjedd, med, de, mange, tusen, menneskene, som, er, forsvunnet, i, det, tidligere, Jugoslavia, de, siste, årene, ., Det, er, også, en, rapport, som, er, et]",DET VERB NOUN ADP NOUN AUX VERB ADP DET NOUN ADJ NOUN CCONJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB NOUN PRON AUX ADP ADP NUM NOUN PUNCT PRON AUX DET ADP DET ADJ ADJ PRON AUX VERB ADP DET NOUN CCONJ AUX DET ADJ NOUN SCONJ PART AUX VERB PRON PRON AUX VERB ADP DET ADJ NOUN NOUN PRON AUX VERB ADP DET ADJ PROPN DET ADJ NOUN PUNCT PRON AUX ADV DET NOUN PRON AUX DET ADJ NOUN SCONJ PART AUX VERB PRON PRON AUX VERB ADP DET ADJ NOUN NOUN PRON AUX VERB ADP DET ADJ PROPN DET ADJ NOUN PUNCT PRON AUX ADV DET NOUN PRON AUX DET ADJ NOUN SCONJ PART AUX VERB PRON PRON AUX VERB ADP DET ADJ NOUN NOUN PRON AUX VERB ADP DET ADJ PROPN DET ADJ NOUN PUNCT PRON AUX ADV DET NOUN PRON AUX DET ADJ NOUN SCONJ PART AUX VERB PRON PRON AUX VERB ADP DET ADJ NOUN NOUN PRON AUX VERB ADP DET ADJ PROPN DET ADJ NOUN PUNCT PRON AUX ADV DET NOUN PRON AUX DET,0.03336921420882669,0.34888636363636377,183,929,0.7213114754098361,0.35702459729020136
"[Bør, minimum, være, 10, av, hvert, kjønn, ., Det, er, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, et, styre, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, bedriftsforsamling, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, valgkomité, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, bedriftsforsamling, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, valgkomité, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, bedriftsforsamling, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, valgkomité, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, bedriftsforsamling, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, valgkomité, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn, skal, være, representert, i, en, bedriftsforsamling, ., Det, er, heller, ikke, noe, krav, om, at, begge, kjønn]",AUX NOUN AUX NUM ADP DET NOUN PUNCT PRON VERB PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN AUX AUX ADJ ADP DET NOUN PUNCT PRON AUX ADV PART DET NOUN SCONJ SCONJ DET NOUN,0.030959752321981424,0.37969565217391194,187,969,0.7005347593582888,0.4160792405606903
"[Artikkel, 3, tar, opp, Kommisjonens, forslag, til, direktiv, om, beskyttelse, av, arbeidstakere, mot, kreftfremkallende, stoffer, i, arbeidsatmosfæren, ., Artikkelen, tar, opp, Kommisjonens, forslag, til, direktiv, om, vern, av, arbeidstakere, mot, eksponering, for, kjemikalier, på, arbeidsplassen, (, rådsdirektiv, 90/394/EØF, ), ., Artikkelen, tar, opp, Kommisjonens, forslag, til, direktiv, om, vern, av, arbeidstakere, mot, eksponering, for, biologiske, agenser, på, arbeidsplassen, (, rådsdirektiv, 92/85/EØF, ), ., Artikkelen, tar, opp, Kommisjonens, forslag, til, direktiv, om, vern, av, arbeidstakere, mot, eksponering, for, fysiske, agenser, på, arbeidsplassen, (, rådsdirektiv, 93/104/EØF, ), ., Artikkelen, tar, opp, Kommisjonens, forslag, til, direktiv, om, vern, av, arbeidstakere, mot, eksponering, for, kjemiske, agenser, på, arbeidsplassen, (, rådsdirektiv, 94/33/EF, ), ., Artikkelen, tar, opp, Kommisjonens, forslag, til, direktiv, om, vern, av, arbeidstakere, mot, eksponering, for, fysiske, agenser, på, arbeidsplassen, (, rådsdirektiv, 96/82/EF, ), ., Artikkelen, tar, opp, Kommisjonens, forslag, til, direktiv, om, vern, av, arbeidstakere, mot, eksponering, for, biologiske]",NOUN NUM VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT NOUN VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT ADJ NUM PUNCT PUNCT NOUN VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT ADJ NOUN PUNCT PUNCT NOUN VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT ADJ NUM PUNCT PUNCT NOUN VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT ADJ NUM PUNCT PUNCT NOUN VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT ADJ NUM PUNCT PUNCT NOUN VERB ADP PROPN NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP ADJ,0.03868471953578337,0.40513705583756265,147,1034,0.3673469387755102,0.013018623572563299
