tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Noen, beskjed, i, tilfelle, han, ikke, kommer, ?, —, Ja, ,, han, sa, at, han, kanskje, kom, til, å, bli, litt, forsinket, ., —, Ja, ,, det, er, i, orden, ., Jeg, skal, vente, på, ham, ., —, Det, er, best, De, går, inn, i, stuen, og, venter, ,, sa, fru, Stewart, og, reiste, seg, ., —, Jeg, skal, si, fra, til, ham, når, han, kommer, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal, vente, her, ., —, Ja, ,, det, er, best, De, gjør, det, ., —, Takk, ,, fru, Stewart, ., Jeg, skal]",DET NOUN ADP NOUN PRON PART VERB PUNCT PUNCT INTJ PUNCT PRON VERB SCONJ PRON ADV VERB SCONJ PART VERB ADJ ADJ PUNCT PUNCT INTJ PUNCT PRON AUX SCONJ NOUN PUNCT PRON AUX VERB ADP PRON PUNCT PUNCT PRON AUX ADJ PRON VERB ADP ADP NOUN CCONJ VERB PUNCT VERB PROPN PROPN CCONJ VERB PRON PUNCT PUNCT PRON AUX VERB ADP ADP PRON SCONJ PRON VERB PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX VERB ADV PUNCT PUNCT INTJ PUNCT PRON AUX ADJ PRON VERB PRON PUNCT PUNCT NOUN PUNCT PROPN PROPN PUNCT PRON AUX,0.0416141235813367,0.4262096774193533,222,793,0.4864864864864865,0.2978195829512736
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, det, var, middag, ., Og, da, var, det, ikke, annet, å, gjøre, enn, å, gå, til, bords, ., Men, da, de, hadde, satt, seg, til, bords, ,, sa, jomfru, Hansen, :, -, Nå, ,, hva, synes, dere, om, den, nye, hushjelpen, ?, -, Hun, er, flink, ,, svarte, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru, Hansen, ., -, Hun, er, flink, ,, sa, fru, Hansen, ., -, Hun, er, flink, ,, sa, jomfru]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB SCONJ PRON AUX NOUN PUNCT CCONJ ADV AUX PRON PART DET PART VERB SCONJ PART VERB ADP NOUN PUNCT CCONJ SCONJ PRON AUX VERB PRON ADP NOUN PUNCT VERB PROPN PROPN PUNCT PUNCT ADV PUNCT PRON VERB PRON ADP DET ADJ NOUN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN PROPN PUNCT PUNCT PRON AUX ADJ PUNCT VERB PROPN,0.04532967032967033,0.3653313696612728,194,728,0.422680412371134,0.16850946826469743
"[Det, synspunkt, at, miljøskifte, og, nye, impulser, er, av, det, gode, for, barn, og, ungdom, ,, er, ikke, ukjent, ., Det, er, en, utbredt, oppfatning, at, det, er, sunt, for, barn, å, skifte, miljø, og, komme, bort, fra, det, vante, og, trygge, ., Det, er, en, oppfatning, som, har, vært, særlig, utbredt, i, de, kretser, som, har, vært, opptatt, av, å, få, barn, og, ungdom, bort, fra, bymiljø, og, inn, i, landlige, omgivelser, ., Det, er, en, oppfatning, som, har, vært, særlig, utbredt, i, de, kretser, som, har, vært, opptatt, av, å, få, barn, og, ungdom, bort, fra, bymiljø, og, inn, i, landlige, omgivelser, ., Det, er, en, oppfatning, som, har, vært, særlig, utbredt, i, de, kretser, som, har, vært, opptatt, av, å, få, barn, og, ungdom, bort, fra, bymiljø, og, inn, i, landlige, omgivelser, ., Det, er, en, oppfatning, som, har, vært, særlig, utbredt, i, de, kretser, som, har, vært, opptatt, av, å, få, barn, og, ungdom, bort, fra, bymiljø, og, inn, i, landlige, omgivelser, ., Det, er, en, oppfatning, som, har, vært, særlig, utbredt, i, de, kretser, som, har, vært, opptatt, av, å, få, barn, og, ungdom]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX ADP DET ADJ ADP NOUN CCONJ NOUN PUNCT AUX PART ADJ PUNCT PRON AUX DET ADJ NOUN SCONJ PRON AUX ADJ SCONJ NOUN PART VERB NOUN CCONJ VERB ADP ADP DET ADJ CCONJ ADJ PUNCT PRON AUX DET NOUN PRON AUX AUX ADJ ADJ ADP DET NOUN PRON AUX AUX ADJ SCONJ PART VERB NOUN CCONJ NOUN ADP ADP NOUN CCONJ ADP ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX ADJ ADJ ADP DET NOUN PRON AUX AUX ADJ SCONJ PART VERB NOUN CCONJ NOUN ADP ADP NOUN CCONJ ADP ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX ADJ ADJ ADP DET NOUN PRON AUX AUX ADJ SCONJ PART VERB NOUN CCONJ NOUN ADP ADP NOUN CCONJ ADP ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX ADJ ADJ ADP DET NOUN PRON AUX AUX ADJ SCONJ PART VERB NOUN CCONJ NOUN ADP ADP NOUN CCONJ ADP ADP ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX ADJ ADJ ADP DET NOUN PRON AUX AUX ADJ SCONJ PART VERB NOUN CCONJ NOUN,0.030434782608695653,0.38539609644087225,189,920,0.6613756613756614,0.33730774001520897
"[Nei, sa, Beatrice, Bare, gå, og, legg, deg, du, ,, så, skal, jeg, ta, meg, av, det, her, ., Jeg, har, vært, ute, en, vinternatt, før, ,, og, jeg, skal, nok, greie, å, få, det, til, å, brenne, ., Jeg, har, jo, fyrstikker, ., Hun, tok, en, eske, opp, av, lom, men, og, tente, på, en, fyrstikk, ., Men, så, sloknet, den, og, hun, måtte, tenne, en, ny, ., Og, så, sloknet, den, også, ., Hun, ble, stående, og, se, på, fyrstikkene, og, på, de, tørre, kvistene, og, så, sa, hun, :, Jeg, kan, ikke, få, det, til, å, brenne, ., Jeg, har, aldri, gjort, det, før, ., Jeg, har, aldri, gjort, opp, varme, ., Jeg, har, aldri, vært, ute, en, vinternatt, før, ., Hun, så, på, ham, med, et, blikk, som, var, fullt, av, angst, og, forvirring, ., Han, tok, fyrstikkesken, fra, henne, og, tente, på, en, ny, ., Så, tok, han, en, kvist, og, la, den, på, den, tørre, veden, og, så, en, til, og, enda, en, og, så, en, til, ., Og, så, var, det, som, om, han, hadde, gjort, det, tusen, ganger, før, ., Han, la, på]",INTJ VERB PROPN ADV VERB CCONJ VERB PRON PRON PUNCT ADV AUX PRON VERB PRON ADP PRON ADV PUNCT PRON AUX AUX ADP DET NOUN ADP PUNCT CCONJ PRON AUX ADV NOUN PART VERB PRON SCONJ PART VERB PUNCT PRON VERB ADV NOUN PUNCT PRON VERB DET NOUN ADP ADP PROPN CCONJ CCONJ VERB ADP DET NOUN PUNCT CCONJ ADV VERB PRON CCONJ PRON AUX VERB DET ADJ PUNCT CCONJ ADV VERB PRON ADV PUNCT PRON VERB ADJ CCONJ VERB ADP NOUN CCONJ ADP DET ADJ NOUN CCONJ ADV VERB PRON PUNCT PRON AUX PART VERB PRON SCONJ PART VERB PUNCT PRON AUX ADV VERB PRON ADP PUNCT PRON AUX ADV VERB ADP NOUN PUNCT PRON AUX ADV AUX ADP DET NOUN ADP PUNCT PRON VERB ADP PRON ADP DET NOUN PRON AUX ADJ ADP NOUN CCONJ NOUN PUNCT PRON VERB NOUN ADP PRON CCONJ VERB ADP DET ADJ PUNCT ADV VERB PRON DET NOUN CCONJ VERB PRON ADP DET ADJ NOUN CCONJ VERB DET ADP CCONJ ADV PRON CCONJ VERB DET ADP PUNCT CCONJ ADV AUX PRON SCONJ SCONJ PRON AUX VERB PRON NUM NOUN ADP PUNCT PRON VERB ADP,0.04603580562659847,0.3789085948158262,191,782,0.7382198952879581,0.3396049163884999
"[For, 2, av, elevene, har, vi, også, fått, til, en, avtale, med, en, lokal, bedrift, om, utplassering, i, bedrift, i, 2, uker, i, løpet, av, skoleåret, ., Dette, er, en, fin, mulighet, for, elevene, til, å, få, et, innblikk, i, hvordan, det, er, å, jobbe, i, en, bedrift, ,, og, kanskje, få, en, fot, innenfor, i, en, bedrift, de, ønsker, å, jobbe, i, senere, ., Vi, har, også, fått, til, en, avtale, med, en, lokal, bedrift, om, utplassering, i, bedrift, i, 2, uker, i, løpet, av, skoleåret, ., Dette, er, en, fin, mulighet, for, elevene, til, å, få, et, innblikk, i, hvordan, det, er, å, jobbe, i, en, bedrift, ,, og, kanskje, få, en, fot, innenfor, i, en, bedrift, de, ønsker, å, jobbe, i, senere, ., Vi, har, også, fått, til, en, avtale, med, en, lokal, bedrift, om, utplassering, i, bedrift, i, 2, uker, i, løpet, av, skoleåret, ., Dette, er, en, fin, mulighet, for, elevene, til, å, få, et, innblikk, i, hvordan, det, er, å, jobbe, i, en, bedrift, ,, og, kanskje, få, en, fot, innenfor, i, en, bedrift, de, ønsker, å, jobbe, i, senere, .]",ADP NUM ADP NOUN AUX PRON ADV VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN ADP NUM NOUN ADP NOUN ADP NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN SCONJ PART VERB DET NOUN ADP ADV PRON AUX PART VERB ADP DET NOUN PUNCT CCONJ ADV VERB DET NOUN ADP ADP DET NOUN PRON VERB PART VERB ADP ADJ PUNCT PRON AUX ADV VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN ADP NUM NOUN ADP NOUN ADP NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN SCONJ PART VERB DET NOUN ADP ADV PRON AUX PART VERB ADP DET NOUN PUNCT CCONJ ADV VERB DET NOUN ADP ADP DET NOUN PRON VERB PART VERB ADP ADJ PUNCT PRON AUX ADV VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN ADP NUM NOUN ADP NOUN ADP NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN SCONJ PART VERB DET NOUN ADP ADV PRON AUX PART VERB ADP DET NOUN PUNCT CCONJ ADV VERB DET NOUN ADP ADP DET NOUN PRON VERB PART VERB ADP ADJ PUNCT,0.03423848878394333,0.3694486215538832,187,847,0.6524064171122995,0.3071655753926734
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, kurs, i, regi, av, AOF-foreningen, for, Helge, land, ., Kursene, er, åpne, for, alle, interesserte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Det, er, AOF-foreningen, for, Helgeland, som, står, som, arran, gør, av, kursene, ,, og, de, vil, bli, holdt, på, forskjellige, steder, på, Helgeland, ., Kursene, er, åpne, for, alle, interesserte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene, er, åpne, for, alle, interes, serte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene, er, åpne, for, alle, interesserte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene, er, åpne, for, alle, interes, serte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene, er, åpne, for, alle, interesserte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene, er, åpne, for, alle, interes, serte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene, er, åpne, for, alle, interesserte, ,, og, det, er, ennå, ikke, for, sent, å, melde, seg, på, ., Kursene]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN NOUN ADP NOUN ADP NOUN ADP PROPN NOUN PUNCT NOUN AUX ADJ ADP DET ADJ PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT PRON AUX NOUN ADP PROPN PRON VERB SCONJ ADJ PROPN ADP NOUN PUNCT CCONJ PRON AUX AUX VERB ADP ADJ NOUN ADP PROPN PUNCT NOUN AUX ADJ ADP DET ADJ PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN AUX ADJ ADP DET NOUN VERB PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN AUX ADJ ADP DET ADJ PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN AUX ADJ ADP DET NOUN VERB PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN AUX ADJ ADP DET ADJ PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN AUX ADJ ADP DET NOUN VERB PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN AUX ADJ ADP DET ADJ PUNCT CCONJ PRON AUX ADV PART ADV ADJ PART VERB PRON ADP PUNCT NOUN,0.04083885209713024,0.3706884480746774,198,906,0.6060606060606061,0.28398987708579176
"[Personell, og, organisering, av, sekretariatet, for, Markedsrådet, og, Forbrukertvistutvalget, -, Forbrukertilsynet, 
, Forbrukertilsynet, /, Artikler, /, Uncategorized, /, Personell, og, organisering, av, sekretariatet, for, Markedsrådet, og, Forbrukertvistutvalget, 
, Personell, og, organisering, av, sekretariatet, for, Markedsrådet, og, Forbrukertvistutvalget, 
, 02.07.2004, —, FO, 2004-1184-2, BJAA, /, OVI, 
, Forbrukerombudet, viser, til, departementets, brev, av, 28., juni, 2004, vedrørende, ovennevnte, ., 
, Forbrukerombudet, har, i, dag, en, bemanning, på, totalt, 23, årsverk, ., Av, disse, er, det, to, årsverk, som, er, knyttet, til, arbeidet, med, markedsføring, av, alternativ, behandling, og, to, årsverk, som, er, knyttet, til, arbeidet, med, markedsføring, av, skolemedisin, ., I, tillegg, er, det, to, årsverk, som, er, knyttet, til, arbeidet, med, markedsføring, av, finansielle, tjenester, og, ett, årsverk, som, er, knyttet, til, arbeidet, med, markedsføring, av, kreditt, ., Disse, årsverkene, er, ikke, knyttet, til, arbeidet, med, markedsføring, av, alternativ, behandling, og, skolemedisin, ., Det, er, således, 19, årsverk, som, er, knyttet, til, arbeidet, med, markedsføring, av, alternativ]",NOUN CCONJ NOUN ADP NOUN ADP PROPN CCONJ PROPN PUNCT PROPN SPACE PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ NOUN ADP NOUN ADP PROPN CCONJ PROPN SPACE NOUN CCONJ NOUN ADP NOUN ADP PROPN CCONJ PROPN SPACE NUM PUNCT PROPN PROPN PROPN PUNCT PROPN SPACE PROPN VERB ADP NOUN NOUN ADP ADJ NOUN NUM ADJ ADJ PUNCT SPACE PROPN VERB ADP NOUN DET NOUN ADP ADJ NUM NOUN PUNCT ADP PRON AUX PRON NUM NOUN PRON AUX ADJ ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ NUM NOUN PRON AUX ADJ ADP NOUN ADP NOUN ADP NOUN PUNCT ADP NOUN AUX PRON NUM NOUN PRON AUX ADJ ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ NUM NOUN PRON AUX ADJ ADP NOUN ADP NOUN ADP NOUN PUNCT DET NOUN AUX PART VERB ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT PRON AUX ADV NUM NOUN PRON AUX ADJ ADP NOUN ADP NOUN ADP NOUN,0.04793863854266539,0.38752515090543255,157,1043,0.4394904458598726,0.13770816204912303
"[De, nevnte, artiklene, i, FN-rapporten, er, skrevet, av, forskere, fra, hele, verden, ,, og, er, basert, på, forskning, som, er, publisert, i, vitenskapelige, tidsskrifter, ., I, tillegg, har, forskerne, gått, gjennom, over, 3000, vitenskapelige, artikler, som, ikke, er, publisert, i, tidsskrifter, ., De, har, også, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjoner, ., I, tillegg, har, de, gått, gjennom, over, 1000, rapporter, fra, ulike, FN-organer, og, andre, internasjonale, organisasjon]",DET VERB NOUN ADP NOUN AUX VERB ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX VERB ADP NOUN PRON AUX VERB ADP ADJ NOUN PUNCT ADP NOUN AUX NOUN VERB ADP ADP NUM ADJ NOUN PRON PART AUX VERB ADP NOUN PUNCT PRON AUX ADV VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADP NOUN AUX PRON VERB ADP ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN,0.028144239226033423,0.38384191176470395,176,1137,0.5738636363636364,0.2658310988819966
"[Bør, minimum, være, 10, av, hver, ,, men, det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for, å, ha, flere, av, samme, type, ,, men, det, er, ikke, noe, krav, om, det, ., Det, er, ikke, noe, i, veien, for]",AUX NOUN AUX NUM ADP DET PUNCT CCONJ PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN SCONJ PART VERB ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PART DET NOUN ADP PRON PUNCT PRON VERB PART PRON ADP NOUN ADP,0.0345679012345679,0.35482260183968617,213,810,0.8215962441314554,0.5753229595299051
"[Artikkel, 3, tar, opp, Kommisjonens, rolle, i, å, sikre, at, medlemslandene, overholder, sine, forpliktelser, etter, konvensjonen, ., Artikkel, 4, omhandler, Kommisjonens, rolle, i, å, fremme, konvensjonens, formål, og, å, bidra, til, å, styrke, samarbeidet, mellom, medlemslandene, ., Artikkel, 5, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, tredjeland, og, internasjonale, organisasjoner, ., Artikkel, 6, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, ikke-statlige, organisasjoner, ., Artikkel, 7, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, akademiske, institusjoner, ., Artikkel, 8, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, andre, relevante, internasjonale, organisasjoner, ., Artikkel, 9, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, andre, relevante, internasjonale, organisasjoner, ., Artikkel, 10, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, andre, relevante, internasjonale, organisasjoner, ., Artikkel, 11, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, andre, relevante, internasjonale, organisasjoner, ., Artikkel, 12, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, andre, relevante, internasjonale, organisasjoner, ., Artikkel, 13, omhandler, Kommisjonens, rolle, i, å, fremme, samarbeid, med, andre, relevante]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB SCONJ NOUN VERB PRON NOUN ADP NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN NOUN CCONJ PART VERB SCONJ PART VERB NOUN ADP NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP NOUN CCONJ ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN NUM VERB PROPN NOUN SCONJ PART VERB NOUN ADP DET ADJ,0.031171019376579612,0.35537785588752135,165,1187,0.2909090909090909,0.17117368196724242
