tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, ble, arrangert, store, mesterskap, ., I, Sverige, ble, det, arrangert, et, stort, mesterskap, i, 1920, ,, og, i, 1921, ble, det, arrangert, et, stort, mesterskap, i, Finland, ., I, 1922, ble, det, arrangert, et, stort, mesterskap, i, Sverige, ,, og, i, 1923, ble, det, arrangert, et, stort, mesterskap, i, Finland, ., I, 1924, ble, det, arrangert, et, stort, mesterskap, i, Finland, ,, og, i, 1925, ble, det, arrangert, et, stort, mesterskap, i, Sverige, ., I, 1926, ble, det, arrangert, et, stort, mesterskap, i, Finland, ,, og, i, 1927, ble, det, arrangert, et, stort, mesterskap, i, Sverige, ., I, 1928, ble, det, arrangert, et, stort, mesterskap, i, Finland, ,, og, i, 1929, ble, det, arrangert, et, stort, mesterskap, i, Sverige, ., I, 1930, ble, det, arrangert, et, stort, mesterskap, i, Finland, ,, og, i, 1931, ble, det, arrangert, et, stort, mesterskap, i, Sverige, ., I, 1932, ble, det, arrangert, et, stort, mesterskap, i, Finland, ,, og, i, 1933, ble, det, arrangert, et, stort, mesterskap, i, Sverige, ., I, 1934, ble, det, arrangert, et, stort]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON AUX VERB ADJ NOUN PUNCT ADP PROPN AUX PRON VERB DET ADJ NOUN ADP NUM PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT CCONJ ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN PUNCT ADP NUM AUX PRON VERB DET ADJ,0.037486218302094816,0.4162004662004646,182,907,0.5824175824175825,0.15028113751785951
"[Det, var, ein, gong, ein, mann, som, hadde, ein, katt, som, heitte, Pus, ., Han, var, så, glad, i, katten, sin, at, han, ville, ikkje, at, nokon, skulle, ta, han, ., Men, så, ein, dag, kom, det, ein, mann, og, ville, ta, katten, hans, ., Han, ville, ikkje, at, nokon, skulle, ta, han, ,, men, han, ville, at, katten, skulle, få, leva, i, fred, ., Men, så, ein, dag, kom, det, ein, mann, og, ville, ta, katten, hans, ., Han, ville, ikkje, at, nokon, skulle, ta, han, ,, men, han, ville, at, katten, skulle, få, leva, i, fred, ., Men, så, ein, dag, kom, det, ein, mann, og, ville, ta, katten, hans, ., Han, ville, ikkje, at, nokon, skulle, ta, han, ,, men, han, ville, at, katten, skulle, få, leva, i, fred, ., Men, så, ein, dag, kom, det, ein, mann, og, ville, ta, katten, hans, ., Han, ville, ikkje, at, nokon, skulle, ta, han, ,, men, han, ville, at, katten, skulle, få, leva, i, fred, ., Men, så, ein, dag, kom, det, ein, mann, og, ville, ta, katten, hans, ., Han, ville, ikkje, at, nokon, skulle, ta, han, ,, men, han, ville, at, katten, skulle, få, leva, i, fred, ., Men, så, ein, dag, kom, det, ein, mann, og, ville, ta, katten]",PRON AUX X X X NOUN PRON VERB ADJ NOUN PRON ADJ PROPN PUNCT PRON AUX ADV ADJ ADP NOUN PRON SCONJ PRON VERB ADV SCONJ PROPN X VERB PRON PUNCT CCONJ ADV ADJ NOUN VERB PRON X NOUN CCONJ AUX VERB NOUN PRON PUNCT PRON VERB ADV SCONJ PROPN X VERB PRON PUNCT CCONJ PRON VERB SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV ADJ NOUN VERB PRON X NOUN CCONJ AUX VERB NOUN PRON PUNCT PRON VERB ADV SCONJ PROPN X VERB PRON PUNCT CCONJ PRON VERB SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV ADJ NOUN VERB PRON X NOUN CCONJ AUX VERB NOUN PRON PUNCT PRON VERB ADV SCONJ PROPN X VERB PRON PUNCT CCONJ PRON VERB SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV ADJ NOUN VERB PRON X NOUN CCONJ AUX VERB NOUN PRON PUNCT PRON VERB ADV SCONJ PROPN X VERB PRON PUNCT CCONJ PRON VERB SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV ADJ NOUN VERB PRON X NOUN CCONJ AUX VERB NOUN PRON PUNCT PRON VERB ADV SCONJ PROPN X VERB PRON PUNCT CCONJ PRON VERB SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT CCONJ ADV ADJ NOUN VERB PRON X NOUN CCONJ AUX VERB NOUN,0.028792912513842746,0.34548009367681415,213,903,0.7652582159624414,0.29323499606630543
"[Det, var, så, mye, som, var, galt, med, denne, bilen, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne, tro, det, var, sant, ., Jeg, hadde, aldri, sett, noe, lignende, i, hele, mitt, liv, ., Det, var, en, bil, som, var, så, dårlig, at, jeg, ikke, kunne]",PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART AUX VERB PRON AUX ADJ PUNCT PRON AUX ADV VERB DET ADJ ADP ADJ PRON NOUN PUNCT PRON AUX DET NOUN PRON AUX ADV ADJ SCONJ PRON PART VERB,0.026637069922308545,0.36014084507042265,210,901,0.7238095238095238,0.43975834071922126
"[Ja, det, var, en, fin, dag, i, dag, og, jeg, har, vært, ute, og, gått, en, tur, med, hunden, min, og, det, var, så, deilig, å, kjenne, solen, varme, og, høre, fuglene, kvitre, og, se, på, alle, de, fine, blomstene, som, er, i, full, blomst, ute, nå, ., Det, er, så, fint, å, se, at, det, er, så, mange, som, har, begynt, å, plante, blomster, ute, nå, og, det, er, så, koselig, å, se, at, det, er, så, mange, som, har, begynt, å, pynte, opp, med, blomster, ute, nå, og, det, er, så, fint, å, se, at, det, er, så, mange, som, har, begynt, å, pynte, opp, med, blomster, ute, nå, og, det, er, så, koselig, å, se, at, det, er, så, mange, som, har, begynt, å, pynte, opp, med, blomster, ute, nå, og, det, er, så, fint, å, se, at, det, er, så, mange, som, har, begynt, å, pynte, opp, med, blomster, ute, nå, og, det, er, så, koselig, å, se, at, det, er, så, mange, som, har, begynt, å, pynte, opp, med, blomster, ute, nå, og, det, er, så, fint, å, se, at, det, er, så, mange, som, har, begynt, å, pynte]",INTJ PRON AUX DET ADJ NOUN ADP NOUN CCONJ PRON AUX AUX ADP CCONJ VERB DET NOUN ADP NOUN PRON CCONJ PRON AUX ADV ADJ PART VERB NOUN NOUN CCONJ VERB NOUN VERB CCONJ VERB ADP DET DET ADJ NOUN PRON AUX ADP ADJ NOUN ADP ADV PUNCT PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB NOUN ADP ADV CCONJ PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB ADP ADP NOUN ADP ADV CCONJ PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB ADP ADP NOUN ADP ADV CCONJ PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB ADP ADP NOUN ADP ADV CCONJ PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB ADP ADP NOUN ADP ADV CCONJ PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB ADP ADP NOUN ADP ADV CCONJ PRON AUX ADV ADJ PART VERB SCONJ PRON VERB ADV ADJ PRON AUX VERB PART VERB,0.03495630461922597,0.344175531914896,194,801,0.8041237113402062,0.38136578489469014
"[Ja, det, er, en, god, ide, at, få, en, advokat, til, at, hjælpe, dig, med, at, få, styr, på, din, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ,, og, det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde, ud, af, at, løse, en, sag, ., Det, er, ikke, altid, ,, at, man, selv, kan, finde]",INTJ PRON AUX DET ADJ NOUN SCONJ VERB DET NOUN SCONJ SCONJ NOUN ADV SCONJ SCONJ ADJ NOUN ADP PRON NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT CCONJ PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX X PROPN ADV SCONJ VERB DET NOUN PUNCT PRON VERB PART NOUN PUNCT SCONJ PRON DET AUX VERB,0.037037037037037035,0.3651768033946263,203,756,0.5566502463054187,0.22966088595370107
"[Så, var, det, tid, for, å, ta, farvel, med, de, to, som, har, vært, mine, beste, venner, i, mange, år, ., Det, var, en, trist, og, vemodig, dag, for, oss, alle, sammen, ., Vi, har, hatt, mange, fine, turer, sammen, ,, og, vi, har, hatt, mange, fine, stunder, sammen, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange, fine, stunder, sammen, med, gode, minner, og, gode, minner, ., Vi, har, hatt, mange]",ADV VERB PRON NOUN SCONJ PART VERB NOUN ADP DET NUM PRON AUX AUX PRON ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX DET ADJ CCONJ ADJ NOUN ADP PRON DET ADV PUNCT PRON AUX VERB ADJ ADJ NOUN ADV PUNCT CCONJ PRON AUX VERB ADJ ADJ NOUN ADV PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ,0.02679528403001072,0.3132579185520365,194,933,0.5773195876288659,1.0
"[Det, var, som, om, jeg, ikke, hadde, noe, å, gjøre, på, denne, jord, ., Jeg, var, så, trøtt, og, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten, at, jeg, ikke, orket, å, gjøre, noe, som, helst, ., Jeg, var, så, sliten]",PRON AUX ADP SCONJ PRON PART VERB PRON PART VERB ADP DET NOUN PUNCT PRON AUX ADV ADJ CCONJ ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ SCONJ PRON PART VERB PART VERB PRON ADP ADV PUNCT PRON AUX ADV ADJ,0.027058823529411764,0.37902621722846425,202,850,0.7871287128712872,0.18108031944940703
"[Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, mat, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø, heile, befolkninga, ., I, mange, land, er, det, ikkje, så, enkelt, å, få, tak, i, nok, mat, til, å, brødfø]",PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB ADJ NOUN PUNCT ADP ADJ NOUN AUX PRON X ADV ADJ PART VERB NOUN ADP ADV NOUN SCONJ PART VERB,0.030120481927710843,0.37387964148527636,194,830,0.7061855670103093,0.37864350849496103
"[Kor, mange, prosent, av, dei, som, har, fått, innvilga, søknad, om, bustøtte, ,, har, fått, innvilga, bustøtte, i, løpet, av, dei, siste, 12, månadene, ?, 
, Svar, :, I, perioden, 1., januar, til, 31., desember, 2020, fekk, i, alt, 3, 630, husstandar, innvilga, bustøtte, ., Av, desse, fekk, 1, 430, husstandar, innvilga, bustøtte, i, løpet, av, dei, siste, 12, månadene, ., Det, er, ein, auke, på, om, lag, 1, 000, husstandar, frå, året, før, ., 
, I, perioden, 1., januar, til, 31., desember, 2020, fekk, i, alt, 1, 430, husstandar, innvilga, bustøtte, ., Av, desse, fekk, 1, 330, husstandar, innvilga, bustøtte, i, løpet, av, dei, siste, 12, månadene, ., Det, er, ein, auke, på, om, lag, 1, 000, husstandar, frå, året, før, ., 
, I, perioden, 1., januar, til, 31., desember, 2020, fekk, i, alt, 1, 430, husstandar, innvilga, bustøtte, ., Av, desse, fekk, 1, 330, husstandar, innvilga, bustøtte, i, løpet, av, dei, siste, 12, månadene, ., Det, er, ein]",ADV ADJ NOUN ADP NOUN PRON AUX AUX VERB NOUN ADP NOUN PUNCT AUX AUX VERB NOUN ADP NOUN ADP DET ADJ NUM NOUN PUNCT SPACE NOUN PUNCT ADP NOUN ADJ NOUN ADP ADJ NOUN NUM VERB ADP PRON NUM NUM NOUN VERB NOUN PUNCT ADP X VERB NUM NUM NOUN VERB NOUN ADP NOUN ADP DET ADJ NUM NOUN PUNCT PRON AUX X X ADP ADP NOUN NUM NUM NOUN PROPN NOUN ADP PUNCT SPACE ADP NOUN ADJ NOUN ADP ADJ NOUN NUM VERB ADP PRON NUM NUM NOUN VERB NOUN PUNCT ADP X VERB NUM NUM NOUN VERB NOUN ADP NOUN ADP DET ADJ NUM NOUN PUNCT PRON AUX X X ADP ADP NOUN NUM NUM NOUN PROPN NOUN ADP PUNCT SPACE ADP NOUN ADJ NOUN ADP ADJ NOUN NUM VERB ADP PRON NUM NUM NOUN VERB NOUN PUNCT ADP X VERB NUM NUM NOUN VERB NOUN ADP NOUN ADP DET ADJ NUM NOUN PUNCT PRON AUX X,0.05019305019305019,0.44447802197802005,160,777,0.48125,0.21834286733520308
"[Det, er, veldig, mange, som, har, fått, med, seg, at, det, er, en, del, som, har, vært, på, tur, i, det, siste, ., Det, er, jo, veldig, hyggelig, ,, men, det, er, også, veldig, mange, som, har, vært, på, tur, som, ikke, har, fått, med, seg, at, det, er, en, del, som, har, vært, på, tur, i, det, siste, ., Det, er, jo, veldig, hyggelig, ,, men, det, er, også, veldig, mange, som, har, vært, på, tur, som, ikke, har, fått, med, seg, at, det, er, en, del, som, har, vært, på, tur, i, det, siste, ., Det, er, jo, veldig, hyggelig, ,, men, det, er, også, veldig, mange, som, har, vært, på, tur, som, ikke, har, fått, med, seg, at, det, er, en, del, som, har, vært, på, tur, i, det, siste, ., Det, er, jo, veldig, hyggelig, ,, men, det, er, også, veldig, mange, som, har, vært, på, tur, som, ikke, har, fått, med, seg, at, det, er, en, del, som, har, vært, på, tur, i, det, siste, ., Det, er, jo, veldig, hyggelig, ,, men, det, er, også, veldig, mange, som, har, vært, på, tur, som, ikke, har, fått, med, seg, at, det, er, en, del, som, har, vært, på]",PRON AUX ADJ ADJ PRON AUX VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX AUX ADP NOUN ADP DET ADJ PUNCT PRON AUX ADV ADJ ADJ PUNCT CCONJ PRON AUX ADV ADJ ADJ PRON AUX AUX ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX AUX ADP NOUN ADP DET ADJ PUNCT PRON AUX ADV ADJ ADJ PUNCT CCONJ PRON AUX ADV ADJ ADJ PRON AUX AUX ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX AUX ADP NOUN ADP DET ADJ PUNCT PRON AUX ADV ADJ ADJ PUNCT CCONJ PRON AUX ADV ADJ ADJ PRON AUX AUX ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX AUX ADP NOUN ADP DET ADJ PUNCT PRON AUX ADV ADJ ADJ PUNCT CCONJ PRON AUX ADV ADJ ADJ PRON AUX AUX ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX AUX ADP NOUN ADP DET ADJ PUNCT PRON AUX ADV ADJ ADJ PUNCT CCONJ PRON AUX ADV ADJ ADJ PRON AUX AUX ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX AUX ADP,0.031212484993997598,0.385867346938775,203,833,0.8768472906403941,0.4831940598817577
