raw,identity,number,category,type,filled_words,honest_categories,ddp,ddf,dmc,re,an,asf,svp,pa,rci,ps,om,pr,asm,is,qas,or,cds,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' bar nepike, men ikke som hushjelp', ' frivillig i en flyktningleir istedenfor å sitte på et', ' leder ved institusjonens kjøkkenav deling - med mulighet', ' lærer i stedet. Det er jo der hun treffer og', ' frivillig. Hun kan få både norskopplæring, språk']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert og det synes som om kvinnen ikke', ' prostituert. Tolv perso ner er tiltalt', ' hjelpepleier helt fram til hun ble arrestert ved', ' tjenestepike eller har tatt seg arbeid som «', ' prostituert - en virksomhet som ifølge norsk st']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' daglig leder for Skibladnersvennene fra', ' fastlege ved Stokmarknes legesenter i', ' miljøarbeider, har hun mistet jobben hun har. Nå', ' lærer ved skolen. ', ' le der i Frivilligsentralen i Stor fjord']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' ren holder og nattevakt og job bet i', ' renholder. En ansatt i et selskap i Oslo', ' lærer i barneskolen, skal overgre pene', ' lege for Leger Uten Grenser. Tirs', ' helse søster. Og det var ingen ting ved jobben']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' flyvertinne, mens mannen drøm mer om å', ' kå ret til Miss World, og for hvert', ' lege. Men hun vet ikke om mannen vil la', ' en berømt skuespiller. 20.00 Hellstrøm rydder', ' en av de største og mest berømte i USA. I']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' om det var i stand til det, hvis de er', ' «bigamiforbryter» slik at', ' frivillig på en barneheim i Thailand mens han studer', ' skuespiller eller synge på en av Oslos musikkl', ' en del av det hun lærer på skolen og derfor']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 1, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' en «levemann» eller kvinne, eller ved', ' lærer. Her kommer jeg til poenget. Hvis det', ' prostituert, eller har vært medlem av en krimin', ' ufaglært arbeidskraft i hjemlandet og har', ' en av «de hvite» i landet. Dels']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 1, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' assistent. På sikt vil hun bli styrer. -', ' assisterende avdelingsjordmor i 1916, og', ' lærer her, men det var det han også gjorde,', ' assistent i barnehagen på et tidspunkt da barnet ennå ikke', ' ny daglig leder i Amedia, måtte jeg nesten']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' journalist og ble sendt på oppdrag til en landsby tre', ' «fillett» hos bakeren, de laget', ' nattevakt, og jeg er veldig takknemlig', ' modell i Italia. - De hadde en italiensk kvinne', ' en gal og ga alt og litt ekstra.\nDet blir']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' popstjerne, og hun blir raskt den mest', ', å bli den som vinner over de andre på', ' lege eller forsker og om en mer framgangs', '. Det er alltid trist når dette eventyret slutter', ', er de fleste av oss så sterkt opptatt og']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 1, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en stor barneskole. Men så viser det', ' interiørarki tekt. På mange mater ligger', ' konsulent i et ad vokatfirma fremfor å vi', ' frilanser og ikke ansette folk, men det blir', ' en mann. Hun jobbet mer enn noen andre, hun sov']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Paris. Der bor også den', ' skuespiller og instruktør. I et lengre intervju med The', ' skuespiller. Han vet heller ikke at hun har funnet', ' modell, nå har gitt henne problemer når hun vil', ' prostituert, og at sønnen har gått i samme']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Møbelfaglig Senter i', ' ny daglig leder i Nordlaks Produkter AS 1.', ' sykepleier i 1990, da hadde hun allerede vært lærer', ' lærervikar i skolefri tidsordningen for de', ' prosjektleder i Nordmøre museum i oktober 2009. Hun']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved Berg barnehage i Trondheim. Denne stillingen vil hun', ' lærer. Og jeg har jobbet under henne som le', ' lærer og var opptatt av å se de unge. Etter', ' journalist.\nvar så fin, og der var det', ' lærer i grunn skolen.\nI løpet av tiden med syke']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New Yorks teaterverden. Med:', '. Til slutt havner hun til sist i Bris', ' flyvertinne.\njenters drømmer er en', ' fotballspil ler, seiv om det er andre på', '. Det er ikke så lett å beskrive akkurat hva']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et normalt menneske. Og hun burde selvfølgelig ta noen', ' leder for en av landets mest fremad stormende', ' sykepleier. - Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun hadde så dårlig rygg.\nmen', ' flyvertinne og ikke bli en slik som ikke']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' hushjelp. I tillegg til dette får hun litt', ' barnepasser.\nMoren er ikke den eneste i', ' «profesjonell» stripper.\nI går ble', ' serveringsdame i Paris siden hun var 15', ' hushjelp og mor og lærer i den lokale sko']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' rådmann og kommunalsjef i Sel kommune.\nDet', ' «byfogedfrue» på Røros', ' vaktmes ter. Han skal nå vurdere om han', ' assistentlege da sykehuset ble bygget, i 1964.', ' husholderske for en rik familie. Dermed flyttet hun']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og moren er sykepleier og var på jobb', ' dagmam ma. Etter hvert fikk også Eli', ' sekretær. Faren som var fra Sør-Tyskland', ' hjemmehjelp for gamle i kommunen.\nnominasjon', ' lærer. - Jeg jobbet som lærer frem til jeg']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Lily er vakker og', ' flyvertinne. Den gang ei. Moren', ' tatt ut til landslaget så fort som mulig. Hun', ' operasangerinne, og faren drømmer om at', ' sykepleier eller advokat, så kan hun ha noe å']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, men i stedet gå på skole og studer', ' bamepleier eller hjelpepleier.\noppfølging er', ' en hjelper. Det er vanskelig å forestille seg at', ' hjemmehjelp. Men da hun tok kontakt med sosial', ' au pair. Men da hun ankom Frankrike, ble']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gaijole i en av forstedene', ' modell.\nnabokona i Malawi', ' «skjønnhetssalong-medarbeider». Og', ' lærling. - Å hjelpe folk å få drømmejob', ' spebarn pleierske. Han ble arrestert']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
